id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Blocked Shots_home,Blocked Shots_away,Completed Passes_home,Completed Passes_away,result,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,Pass Success %_home,Pass Success %_away
8S0cTveQ,20.04.2019 19:30,Al Feiha,Al-Faisaly,3,4,43%,57%,11.0,18.0,5.0,11.0,6.0,7.0,13.0,14.0,1.0,7.0,2.0,2.0,15.0,19.0,7.0,2.0,12.0,11.0,,,,,108.0,118.0,59.0,87.0,4.0,3.0,0,0,,,,,A,,,,,,,,
zwoxMdm0,20.04.2019 17:55,Al Shabab,Al Hazem,2,0,53%,47%,8.0,14.0,5.0,8.0,3.0,6.0,19.0,13.0,6.0,10.0,0.0,1.0,16.0,25.0,8.0,3.0,13.0,18.0,,,,,76.0,85.0,52.0,90.0,2.0,2.0,0,0,,,,,H,,,,,,,,
ETqtLG26,19.04.2019 19:45,Al Ahli SC,Al Wehda,3,2,49%,51%,8.0,12.0,3.0,5.0,5.0,7.0,16.0,14.0,2.0,4.0,0.0,1.0,15.0,21.0,3.0,0.0,14.0,15.0,,,,,116.0,131.0,74.0,86.0,3.0,3.0,0,1,,,,,H,,,,,,,,
plhPOb3s,19.04.2019 19:30,Al Raed,Ohod,5,1,52%,48%,11.0,8.0,7.0,3.0,4.0,5.0,16.0,23.0,8.0,3.0,3.0,2.0,18.0,24.0,2.0,2.0,20.0,14.0,,,,,95.0,86.0,67.0,58.0,1.0,2.0,0,0,,,,,H,,,,,,,,
I1jXMxYg,19.04.2019 17:45,Al Qadisiya,Al Batin,0,2,52%,48%,10.0,12.0,5.0,7.0,5.0,5.0,19.0,19.0,5.0,4.0,0.0,2.0,38.0,21.0,5.0,5.0,19.0,17.0,,,,,147.0,106.0,104.0,58.0,2.0,4.0,0,0,,,,,A,,,,,,,,
8jqpKzIC,18.04.2019 19:45,Al Ittihad,Al Ettifaq,2,0,53%,47%,14.0,13.0,5.0,4.0,9.0,9.0,13.0,13.0,7.0,5.0,2.0,2.0,14.0,27.0,4.0,3.0,11.0,11.0,,,,,74.0,96.0,68.0,83.0,0.0,2.0,0,1,,,,,H,,,,,,,,
vBiTNIIm,18.04.2019 19:45,Al Nassr,Al Fateh,5,0,64%,36%,10.0,5.0,6.0,1.0,4.0,4.0,9.0,12.0,4.0,2.0,1.0,1.0,14.0,12.0,1.0,1.0,11.0,8.0,,,,,137.0,96.0,82.0,71.0,2.0,2.0,0,0,,,,,H,,,,,,,,
nDClV0QD,13.04.2019 17:50,Al Nassr,Al Ittihad,2,3,56%,44%,20.0,10.0,5.0,6.0,15.0,4.0,21.0,8.0,7.0,6.0,0.0,4.0,24.0,14.0,3.0,3.0,8.0,17.0,,,,,114.0,92.0,93.0,55.0,1.0,5.0,0,0,,,,,A,,,,,,,,
K6O66HmD,12.04.2019 19:45,Al Ahli SC,Al Hilal,0,1,42%,58%,5.0,7.0,2.0,4.0,3.0,3.0,16.0,17.0,7.0,9.0,4.0,1.0,27.0,29.0,3.0,2.0,13.0,15.0,,,,,81.0,103.0,61.0,76.0,3.0,2.0,1,0,,,,,A,,,,,,,,
bizb8wJ0,12.04.2019 19:45,Al Wehda,Al-Faisaly,1,2,53%,47%,5.0,9.0,3.0,8.0,2.0,1.0,19.0,9.0,2.0,6.0,0.0,1.0,24.0,31.0,6.0,2.0,9.0,18.0,,,,,,,,,2.0,2.0,0,0,,,,,A,,,,,,,,
