id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,result
vTfPizR8,02.03.2024 15:00,Damac,Al Ettifaq,0,2,0.30,1.86,44%,56%,4,10,1,4,2,4,1,2,17,10,2,5,2,0,11,18,2,1,11,18,1,0,,,384,489,328,431,11,9,65,96,28,43,16,8,1,3,5,2,A
MipUjftF,01.03.2024 18:00,Al Hilal,Al Ittihad,3,1,2.16,0.27,67%,33%,16,6,9,2,2,3,5,1,20,22,7,2,1,3,23,27,1,6,23,16,0,0,2,3,514,254,452,183,28,34,132,64,81,45,18,29,8,3,10,9,H
W0CcZRAs,01.03.2024 15:00,Abha,Al Taee,2,0,1.40,0.79,45%,55%,10,10,5,2,5,4,0,4,20,15,3,7,3,2,21,24,2,3,14,19,0,0,2,3,330,409,261,339,14,8,86,100,29,47,22,11,6,4,7,8,H
YV3ZUCJe,01.03.2024 15:00,Al Akhdoud,Al Riyadh,1,2,1.58,0.84,49%,51%,14,10,5,5,8,1,1,4,7,11,8,9,1,1,33,22,3,4,12,6,0,0,1,2,344,366,268,281,15,19,108,98,53,39,16,40,9,2,10,1,A
0xdLhGB2,29.02.2024 18:00,Al Nassr,Al Hazem,4,4,4.51,1.66,69%,31%,26,14,9,5,8,5,9,4,17,10,14,4,0,3,16,4,1,5,11,16,0,0,1,4,520,236,452,174,12,7,124,54,62,17,16,36,13,5,11,6,D
j7EUVh4k,29.02.2024 15:00,Al Raed,Al Feiha,1,2,1.03,1.80,46%,54%,13,13,3,7,5,4,5,2,14,14,2,1,2,1,23,30,5,2,14,12,1,0,1,2,395,480,308,398,27,19,102,121,32,23,20,21,3,1,10,4,A
KONbyFtS,29.02.2024 15:00,Al Wehda,Al Taawon,3,3,1.87,1.36,41%,59%,10,17,5,9,1,3,4,5,15,7,5,5,1,3,17,18,6,2,6,13,0,0,1,1,332,476,262,405,11,14,88,107,26,42,12,12,6,5,10,13,D
E55otwSd,26.02.2024 18:00,Al Ittihad,Al Wehda,2,1,3.39,0.87,64%,36%,23,8,7,3,9,2,7,3,8,17,12,2,2,1,32,16,2,5,16,8,1,0,1,4,480,278,406,197,16,21,164,64,97,22,10,52,9,3,8,9,H
S89kucs3,26.02.2024 15:00,Al Ettifaq,Al Hilal,0,2,1.10,1.54,39%,61%,10,10,3,5,4,5,3,0,15,17,7,5,2,2,24,19,3,3,13,15,0,0,2,3,313,500,239,416,11,13,71,100,46,57,18,21,5,6,8,6,A
tYOfxeRL,25.02.2024 18:00,Al Shabab,Al Nassr,2,3,2.69,1.37,54%,46%,15,12,7,6,4,1,4,5,11,18,10,3,5,2,20,17,3,5,15,13,1,0,5,2,458,402,385,338,15,15,97,86,56,25,9,23,3,1,8,8,A
C0R2Hgkd,25.02.2024 15:00,Al Feiha,Abha,3,2,1.24,2.28,34%,66%,13,16,6,4,6,4,1,8,21,10,4,6,1,3,22,19,2,3,11,15,1,0,1,3,262,481,186,404,11,25,75,91,29,53,34,12,1,13,4,6,H
4zOfJFKq,24.02.2024 18:00,Al Hazem,Al Khaleej,1,1,0.90,0.25,42%,58%,15,9,6,1,7,4,2,4,13,14,6,5,2,2,17,14,0,5,18,11,0,0,3,3,342,472,272,416,9,9,77,103,48,36,13,25,6,5,10,5,D
0M7cwyCF,24.02.2024 15:00,Al Taee,Al Ahli SC,1,4,0.44,3.01,44%,56%,5,20,3,8,2,9,0,3,14,20,5,9,2,0,16,17,4,2,17,13,0,0,5,1,355,440,282,366,15,21,88,104,32,46,28,10,1,8,12,13,A
MV8gvHd9,23.02.2024 18:00,Al Fateh,Damac,1,1,1.05,1.26,45%,55%,12,14,4,2,3,4,5,8,8,13,9,7,2,1,17,15,1,3,14,6,0,0,2,0,372,464,298,376,16,17,91,100,51,55,16,15,5,5,12,9,D
Y9SbIZZk,23.02.2024 15:00,Al Riyadh,Al Raed,1,1,0.41,1.12,55%,45%,6,13,3,4,2,6,1,3,21,14,2,4,1,3,25,12,3,2,12,21,0,0,2,2,444,352,364,275,8,17,96,87,28,43,14,10,5,7,5,13,D
2RyTNeCS,23.02.2024 15:00,Al Taawon,Al Akhdoud,3,1,1.08,0.48,61%,39%,13,9,7,3,5,4,1,2,6,11,2,3,4,0,25,19,2,4,7,6,0,0,2,2,614,382,540,329,15,13,101,78,25,35,13,12,1,4,5,11,H
l4VCRwD3,18.02.2024 18:00,Al Ittihad,Al Riyadh,2,0,1.81,0.30,57%,43%,12,11,6,0,6,7,0,4,14,14,2,2,1,2,14,13,0,4,15,11,0,0,1,2,559,347,,,20,11,123,56,77,34,,,8,10,9,15,H
SfUGQcS9,18.02.2024 15:00,Al Hilal,Al Raed,3,1,1.75,0.23,66%,34%,17,5,6,1,11,1,0,3,10,16,7,2,3,3,16,14,0,3,13,9,0,0,4,0,679,191,,,11,21,154,45,91,20,,,14,9,8,13,H
QVqI5djp,17.02.2024 18:00,Al Nassr,Al Fateh,2,1,2.43,1.29,60%,40%,24,15,9,6,10,3,5,6,18,14,8,6,3,3,13,20,5,7,11,15,0,0,1,4,552,253,,,16,15,119,50,81,44,,,27,21,7,14,H
WSz8SJcc,17.02.2024 15:00,Al Hazem,Al Feiha,1,3,1.57,2.81,51%,49%,19,12,4,7,11,2,4,3,10,12,7,4,1,2,22,13,4,3,11,9,0,0,2,2,457,410,,,13,14,113,99,68,47,,,28,13,9,8,A
hxx4Tari,16.02.2024 18:00,Al Akhdoud,Al Ahli SC,3,2,0.67,1.75,38%,62%,10,14,3,6,2,8,5,0,11,11,3,8,2,2,13,34,4,0,10,9,0,1,2,2,158,488,,,10,13,61,145,24,79,,,14,32,10,3,H
vZmM4G5j,16.02.2024 18:00,Al Wehda,Al Taee,1,1,0.39,0.80,55%,45%,12,15,1,3,9,12,2,0,11,10,6,8,3,0,14,28,2,0,10,11,0,0,2,1,376,264,,,22,11,109,97,48,43,,,24,19,8,6,D
Kl7kAxrT,16.02.2024 15:00,Damac,Al Shabab,0,1,0.41,0.72,45%,55%,10,10,2,6,3,2,5,2,12,12,2,4,3,1,30,17,5,2,9,15,1,0,3,2,321,461,,,18,17,81,119,33,37,,,9,14,9,8,A
K2nOOycM,15.02.2024 18:00,Al Khaleej,Al Ettifaq,0,2,0.92,2.32,50%,50%,7,12,1,5,3,6,3,1,13,10,3,5,2,1,12,19,3,1,10,17,0,0,2,2,385,399,,,23,15,79,95,25,49,,,17,19,8,4,A
MHTKPHsG,15.02.2024 15:00,Abha,Al Taawon,1,1,0.15,1.26,39%,61%,5,16,0,6,2,5,3,5,18,13,5,6,1,0,23,32,5,0,13,20,0,0,3,2,341,543,,,13,8,59,143,26,46,,,16,28,9,11,D
Q1IMGMbo,07.02.2024 19:00,Al Taee,Al Ittihad,0,3,0.48,1.65,42%,58%,16,16,3,5,11,8,2,3,12,12,5,5,2,2,12,22,2,3,9,11,0,0,3,2,275,507,,,20,27,121,104,44,48,,,23,18,21,15,A
4hHQFtEi,30.12.2023 19:00,Al Shabab,Al Wehda,1,0,1.48,0.37,57%,43%,12,7,3,1,4,5,5,1,11,17,8,3,2,2,18,21,1,2,15,10,0,0,2,1,482,363,407,285,20,11,106,88,68,31,15,23,6,4,11,10,H
YX8sCbDG,30.12.2023 19:00,Al Taawon,Al Nassr,1,4,1.81,2.09,45%,55%,13,20,8,6,3,11,2,3,17,18,0,5,3,3,12,12,2,7,13,15,0,0,2,3,479,587,401,530,15,11,97,105,36,54,14,13,1,6,6,12,A
p80ECAnU,30.12.2023 16:00,Al Fateh,Al Akhdoud,0,0,1.77,0.32,64%,36%,16,8,6,2,9,3,1,3,12,14,8,2,2,1,22,23,2,6,12,11,0,0,2,4,486,287,410,217,21,15,117,73,72,33,15,26,7,1,8,14,D
fsAwDvbA,29.12.2023 19:00,Al Ahli SC,Al Khaleej,1,0,1.87,0.14,60%,40%,15,6,6,3,6,2,3,1,10,16,8,2,0,0,13,13,3,5,23,19,0,0,2,4,494,333,423,256,15,26,145,69,78,15,14,29,4,2,9,12,H
nHnt8Ufo,29.12.2023 16:00,Al Feiha,Al Hilal,0,2,0.05,1.12,27%,73%,2,14,0,6,1,6,1,2,11,14,1,4,5,4,17,28,4,0,11,12,0,0,5,1,239,646,153,555,21,16,62,162,28,91,34,6,2,5,15,6,A
bFGUE0Tc,29.12.2023 16:00,Al Raed,Abha,4,3,2.42,1.33,58%,42%,19,6,7,5,7,1,5,0,13,13,3,0,0,0,23,21,2,3,14,13,0,0,2,3,474,338,400,267,12,14,113,86,48,13,8,24,7,1,5,6,H
CIKYDKr4,28.12.2023 16:00,Al Ettifaq,Al Hazem,1,1,1.91,1.61,63%,37%,14,7,4,3,4,2,6,2,12,10,13,4,1,2,21,13,2,3,13,9,0,0,0,1,507,314,450,248,15,11,121,68,69,33,16,29,6,2,7,6,D
tb8oBISM,28.12.2023 16:00,Al Riyadh,Damac,1,0,0.57,1.11,35%,65%,4,12,2,1,2,6,0,5,15,20,1,6,3,5,11,18,1,1,24,14,0,0,2,2,298,543,241,468,11,12,66,129,22,80,26,11,2,5,9,7,H
6Xyv6u49,26.12.2023 19:00,Al Ittihad,Al Nassr,2,5,0.83,3.65,40%,60%,10,16,5,8,5,8,0,0,22,13,3,4,3,5,16,13,3,3,12,15,1,0,5,4,338,509,268,451,9,13,93,96,41,47,,,,,,,A
S6GpJf3n,24.12.2023 19:00,Al Wehda,Al Riyadh,3,1,1.63,0.91,45%,55%,10,11,8,6,1,5,1,0,9,12,7,9,4,2,13,19,5,5,8,8,0,0,1,2,376,448,320,375,7,13,97,83,36,37,28,18,4,4,12,7,H
jo1ADjXN,23.12.2023 19:00,Al Ittihad,Al Raed,1,3,0.85,1.96,61%,39%,9,16,3,7,1,8,5,1,16,9,3,5,1,3,8,13,4,2,8,16,1,0,2,1,590,371,511,316,12,14,128,70,30,48,14,15,1,9,5,14,A
dn81FC2B,23.12.2023 16:00,Al Taawon,Al Fateh,1,3,1.85,2.02,67%,33%,21,10,7,3,8,5,6,2,14,18,10,4,1,0,17,5,0,6,15,18,0,0,2,4,564,274,495,205,16,20,130,61,64,41,13,32,6,3,8,16,A
E3CtKzlt,22.12.2023 16:00,Al Akhdoud,Al Shabab,1,0,0.30,0.39,26%,74%,7,9,2,0,4,3,1,6,14,14,3,8,0,2,10,35,0,1,14,16,1,1,3,0,226,632,151,549,21,23,80,115,31,66,31,9,2,4,11,5,H
Ie9cGhm5,22.12.2023 16:00,Al Hazem,Al Ahli SC,0,4,0.87,2.11,40%,60%,10,19,4,12,4,4,2,3,15,16,3,12,2,0,24,21,8,4,17,16,0,0,3,2,291,435,245,366,15,22,89,104,43,45,23,13,2,7,8,7,A
lM4gHYXb,22.12.2023 16:00,Al Nassr,Al Ettifaq,3,1,3.20,0.37,66%,34%,20,5,11,2,6,3,3,0,16,10,4,1,2,4,8,23,1,8,10,15,0,0,1,2,659,337,600,263,17,18,148,45,75,23,6,24,10,2,14,6,H
AV5kIEIh,21.12.2023 19:00,Al Hilal,Abha,7,0,4.73,0.31,66%,34%,21,9,9,3,9,4,3,2,17,11,6,3,3,5,13,12,3,2,11,14,0,0,1,3,629,315,556,244,17,9,156,72,77,31,5,19,6,2,10,11,H
2RaZBwdJ,21.12.2023 16:00,Al Khaleej,Al Feiha,3,0,1.74,0.15,62%,38%,17,5,8,2,7,3,2,0,19,8,8,3,1,4,8,4,2,5,13,18,0,0,1,4,617,378,562,317,14,12,114,80,46,29,13,18,3,1,7,5,H
vBc6EWHH,21.12.2023 16:00,Damac,Al Taee,3,0,2.07,0.31,46%,54%,25,7,9,2,9,3,7,2,22,12,8,5,5,4,21,25,2,6,9,18,0,1,1,6,338,397,284,337,12,10,80,70,40,32,19,19,5,1,5,5,H
