id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,result
O6PqM6Cc,25.11.2023 19:00,Al Wehda,Al Khaleej,3,1,2.07,1.54,45%,55%,13,12,5,7,6,2,2,3,19,10,3,4,4,3,13,10,6,2,8,15,0,0,0,3,333,437,279,393,16,13,80,83,43,42,21,20,11,0,3,6,H
EeIdJ4dG,25.11.2023 19:00,Damac,Abha,4,2,1.53,1.58,59%,41%,22,13,9,6,6,4,7,3,13,21,6,3,7,0,20,13,4,5,16,14,0,1,0,5,455,305,393,224,16,16,106,81,68,33,14,17,2,3,14,7,H
CWcXC2Zq,25.11.2023 16:00,Al Hazem,Al Hilal,0,9,0.23,4.19,31%,69%,5,23,2,15,3,5,0,3,11,14,4,6,6,1,11,10,6,2,9,9,0,0,1,2,313,708,253,641,11,11,61,130,29,58,16,7,2,7,10,5,A
pbBvBt4d,24.11.2023 19:00,Al Nassr,Al Akhdoud,3,0,1.59,0.12,70%,30%,17,8,7,5,6,2,4,1,13,14,9,2,3,4,16,13,5,4,12,9,0,0,0,3,681,283,615,224,12,17,116,82,58,35,9,20,5,1,11,12,H
trKlLQR3,24.11.2023 19:00,Al Taee,Al Raed,4,3,2.55,2.46,78%,22%,16,9,8,6,2,2,6,1,10,8,8,3,2,0,9,6,3,4,10,13,0,1,2,3,641,187,591,128,8,29,150,27,87,12,4,40,8,2,6,16,H
KYIhKpsA,24.11.2023 16:00,Al Ettifaq,Al Ittihad,1,1,1.28,1.12,42%,58%,11,13,3,3,5,7,3,3,12,7,4,3,1,0,27,20,2,2,7,12,0,0,0,1,374,541,304,462,18,16,111,101,45,24,10,19,8,3,8,3,D
SbM0IOBM,24.11.2023 16:00,Al Taawon,Al Riyadh,1,2,1.84,1.94,53%,47%,22,12,6,3,10,6,6,3,13,11,6,6,2,1,12,13,1,5,12,18,1,1,0,3,471,414,392,335,20,14,126,85,38,30,23,19,8,3,6,14,A
hOIDJDja,11.11.2023 19:00,Al Wehda,Al Nassr,1,3,0.71,1.37,40%,60%,16,15,5,9,7,4,4,2,6,5,4,7,5,4,6,6,6,4,10,12,0,0,1,0,390,591,330,515,10,16,100,105,52,38,18,12,5,2,9,6,A
AaT8Kgyg,11.11.2023 16:00,Al Akhdoud,Al Hazem,2,1,1.05,1.78,36%,64%,16,18,7,5,5,8,4,5,12,14,3,5,2,0,18,23,4,5,12,12,1,0,3,3,298,536,222,447,17,13,71,137,36,72,33,5,7,10,7,7,H
ddP4LZLn,11.11.2023 16:00,Al Feiha,Al Ettifaq,0,0,1.31,0.71,52%,48%,15,15,5,5,7,7,3,3,13,10,6,6,0,3,12,17,5,5,11,11,0,0,1,2,508,461,452,399,19,13,114,88,36,48,17,15,3,6,8,6,D
0lMLHiLB,10.11.2023 19:00,Al Ittihad,Abha,4,2,2.64,2.65,52%,48%,14,16,6,4,6,6,2,6,11,14,4,6,3,0,8,13,2,2,11,14,0,0,2,1,444,391,393,328,15,11,99,91,28,64,25,10,1,8,6,2,H
pGQuNnci,10.11.2023 16:00,Al Hilal,Al Taawon,2,0,2.51,0.38,64%,36%,14,8,5,2,4,5,5,1,17,15,8,3,2,6,14,20,2,3,17,15,0,0,2,4,473,266,419,204,21,22,123,53,65,34,16,23,7,3,6,10,H
WCxbb3Kj,09.11.2023 19:00,Al Riyadh,Al Fateh,1,1,1.48,1.13,53%,47%,15,16,5,3,6,9,4,4,6,14,1,9,1,0,10,5,2,4,18,12,0,1,2,3,543,474,493,422,17,14,101,102,42,45,10,10,4,2,8,8,D
vuLPGBzI,09.11.2023 19:00,Damac,Al Ahli SC,2,2,0.99,1.05,49%,51%,11,9,4,6,6,3,1,0,13,15,3,5,7,2,19,11,4,2,10,14,0,0,0,3,439,451,362,379,12,16,96,98,46,35,12,20,2,3,7,8,D
WEHHIX55,09.11.2023 16:00,Al Khaleej,Al Taee,3,1,2.56,0.72,46%,54%,15,12,9,4,3,3,3,5,15,16,2,5,4,1,10,12,3,6,13,14,1,1,4,3,338,399,281,356,20,12,78,86,42,52,16,12,4,5,6,6,H
KxZgaq5p,09.11.2023 16:00,Al Raed,Al Shabab,2,1,1.29,1.17,32%,68%,13,19,4,6,4,12,5,1,11,10,6,4,1,2,15,26,5,2,9,8,0,0,1,2,277,601,207,529,15,19,71,146,32,90,32,12,5,8,11,5,H
h2sw7z7g,05.11.2023 19:00,Al Ahli SC,Al Riyadh,3,0,0.91,0.02,59%,41%,11,10,8,2,3,6,0,2,6,13,3,7,2,1,5,11,2,5,10,6,0,0,,,587,387,542,325,18,16,133,78,40,45,,,,,,,H
MsZg3h6I,05.11.2023 16:00,Al Hazem,Al Wehda,1,2,1.24,1.46,42%,58%,9,14,1,4,5,7,3,3,13,12,7,4,0,3,12,17,2,0,15,14,2,0,3,2,299,426,221,362,12,11,92,104,40,60,,,,,,,A
Whts6fMa,05.11.2023 16:00,Al Taawon,Damac,0,0,0.48,1.09,64%,36%,17,12,4,2,10,7,3,3,15,11,9,5,1,1,22,12,2,4,11,16,0,0,2,1,566,313,491,246,20,12,143,60,63,42,,,,,,,D
OSxZ7Gim,04.11.2023 19:00,Al Ettifaq,Al Raed,0,0,0.35,0.08,65%,35%,19,2,5,0,6,1,8,1,6,5,7,1,4,0,18,4,0,5,8,11,0,0,3,4,605,334,524,246,8,19,181,58,74,7,,,,,,,D
EHVo5Ey6,04.11.2023 19:00,Al Nassr,Al Khaleej,2,0,0.26,0.20,71%,29%,8,11,4,2,1,8,3,1,17,19,2,4,7,7,9,12,2,2,12,11,0,0,1,2,779,309,728,258,5,14,140,77,54,48,,,,,,,H
0QwZQebP,04.11.2023 16:00,Abha,Al Akhdoud,3,2,0.25,0.85,55%,45%,10,22,4,7,2,11,4,4,12,8,2,10,1,3,20,22,5,1,10,13,0,0,0,3,463,362,367,271,6,21,99,64,43,35,,,,,,,H
2ZP0MF6t,03.11.2023 19:00,Al Shabab,Al Ittihad,1,0,0.59,0.42,32%,68%,9,9,1,4,6,2,2,3,14,12,5,6,0,6,20,21,4,0,12,8,0,0,5,0,299,643,210,556,19,20,75,136,39,63,,,,,,,H
0YXc2CLO,03.11.2023 16:00,Al Fateh,Al Hilal,0,2,0.57,1.64,52%,48%,17,12,4,7,7,3,6,2,23,14,4,5,1,0,12,12,5,4,15,22,0,0,1,4,435,401,374,346,21,21,79,99,46,43,,,,,,,A
SKZk4YjC,03.11.2023 16:00,Al Taee,Al Feiha,3,3,1.56,1.40,51%,49%,11,17,5,7,5,4,1,6,17,15,5,7,2,1,12,15,4,2,13,15,0,0,1,4,421,415,353,337,20,19,85,117,53,54,,,,,,,D
bR20gHxf,28.10.2023 20:00,Al Wehda,Al Ettifaq,2,3,,,54%,46%,12,10,5,8,3,2,4,0,18,11,6,2,0,2,23,30,5,3,11,15,0,0,3,2,450,378,373,285,24,14,111,87,63,60,,,,,,,A
tAraEIEJ,28.10.2023 17:00,Abha,Al Shabab,2,1,,,43%,57%,10,15,4,7,4,7,2,1,14,9,5,4,3,6,10,3,6,2,13,14,0,1,1,3,312,433,246,362,9,14,82,86,40,31,,,,,,,H
ve12DxUP,28.10.2023 17:00,Al Feiha,Al Nassr,1,3,,,37%,63%,16,19,6,7,6,6,4,6,9,13,4,2,3,2,9,8,4,5,11,7,0,0,2,1,407,691,342,633,14,13,76,129,39,71,,,,,,,A
hl24hyh0,27.10.2023 20:00,Al Hilal,Al Ahli SC,3,1,,,50%,50%,12,12,5,3,5,5,2,4,9,16,2,5,4,0,18,18,2,2,11,14,0,0,0,4,378,383,299,307,17,23,105,103,53,51,,,,,,,H
lGeDjFMC,27.10.2023 17:00,Al Raed,Al Fateh,1,2,,,52%,48%,16,9,6,2,7,5,3,2,6,8,4,4,0,1,8,8,0,5,15,15,0,0,4,3,395,379,338,322,12,16,118,76,50,36,,,,,,,A
pxvV8dxs,27.10.2023 17:00,Al Taee,Al Riyadh,3,2,,,58%,42%,9,7,4,4,3,2,2,1,20,12,4,5,0,3,9,15,2,1,13,18,0,0,2,1,553,398,493,326,13,20,107,76,39,36,,,,,,,H
pObdfcNm,26.10.2023 20:00,Al Ittihad,Al Hazem,2,2,,,60%,40%,12,12,5,5,4,5,3,2,11,7,9,2,0,1,20,14,3,3,8,13,0,0,2,2,541,360,475,296,23,21,128,75,63,47,,,,,,,D
Wv18ie76,26.10.2023 17:00,Al Khaleej,Al Taawon,1,1,,,43%,57%,9,16,2,4,3,11,4,1,21,9,6,6,1,0,11,13,3,1,10,18,0,0,2,3,361,490,293,432,21,13,74,120,36,48,,,,,,,D
S6fHkZyJ,26.10.2023 17:00,Damac,Al Akhdoud,2,0,,,50%,50%,13,13,4,4,6,6,3,3,16,9,4,6,3,4,25,26,4,2,6,12,0,0,2,3,390,390,307,304,13,12,83,102,44,51,,,,,,,H
8xlItvgl,22.10.2023 17:00,Al Riyadh,Al Ettifaq,1,0,,,32%,68%,5,17,3,4,2,8,0,5,14,13,0,9,2,0,9,22,4,2,11,14,0,0,4,1,286,589,211,508,18,12,48,156,16,87,,,,,,,H
CUpZxdhD,21.10.2023 20:00,Al Ahli SC,Al Wehda,3,1,,,57%,43%,17,3,7,1,7,1,3,1,15,16,3,1,2,3,11,15,0,4,14,13,0,1,1,3,439,332,378,270,17,15,86,90,34,38,,,,,,,H
2a9iew8s,21.10.2023 20:00,Al Shabab,Al Taee,2,0,,,46%,54%,21,5,7,1,8,3,6,1,15,21,7,5,0,1,16,21,1,5,23,17,0,0,1,3,367,441,310,377,19,9,92,116,76,58,,,,,,,H
hQNL0apK,21.10.2023 17:00,Al Hazem,Al Raed,4,3,,,42%,58%,6,19,6,8,0,5,0,6,15,12,1,11,1,2,24,27,5,2,12,13,0,0,0,1,356,468,293,401,16,19,77,104,28,66,,,,,,,H
QDrNub8f,21.10.2023 17:00,Al Nassr,Damac,2,1,,,59%,41%,12,16,2,6,6,5,4,5,15,17,3,6,2,3,16,19,5,0,17,17,0,0,2,2,562,389,506,323,12,14,111,79,40,30,,,,,,,H
bRtVwxw7,20.10.2023 20:00,Al Fateh,Abha,4,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,H
0jNPaJaQ,20.10.2023 20:00,Al Hilal,Al Khaleej,1,0,,,66%,34%,20,10,6,1,11,5,3,4,11,18,9,3,4,4,19,15,1,5,17,8,0,0,2,2,566,302,500,228,16,17,164,57,92,22,,,,,,,H
EZOH1uVD,20.10.2023 17:00,Al Akhdoud,Al Feiha,1,2,,,56%,44%,15,13,6,3,5,5,4,5,10,13,8,2,5,6,18,17,1,5,10,9,0,0,,,490,400,405,310,18,17,123,105,73,43,,,,,,,A
44sRvIN0,20.10.2023 17:00,Al Taawon,Al Ittihad,1,1,,,49%,51%,15,12,3,8,9,3,3,1,12,9,4,11,0,2,11,31,7,2,8,10,0,0,1,2,488,508,418,420,28,12,99,101,47,51,,,,,,,D
C62nn0VQ,07.10.2023 20:00,Al Khaleej,Al Raed,0,0,,,54%,46%,9,11,1,4,6,3,2,4,12,10,1,4,3,1,17,4,4,1,11,21,0,0,2,4,440,377,393,327,14,17,98,69,40,22,,,,,,,D
j1HiQI87,07.10.2023 20:00,Al Wehda,Al Feiha,1,1,,,58%,42%,12,8,3,4,8,3,1,1,15,14,5,3,1,3,15,12,3,2,13,16,0,0,2,3,467,351,406,287,12,6,132,87,49,29,,,,,,,D
UoTrSvve,07.10.2023 17:00,Al Akhdoud,Al Hilal,0,3,,,27%,73%,6,22,1,10,4,9,1,3,13,7,2,10,1,2,22,18,7,1,7,11,1,0,4,1,218,608,144,545,9,20,54,122,25,98,,,,,,,A
I79wlM0E,06.10.2023 20:00,Al Ittihad,Al Ahli SC,0,1,,,62%,38%,17,5,4,2,9,1,4,2,11,12,4,3,2,2,23,15,1,4,10,11,0,0,2,4,567,359,512,286,17,21,139,88,74,34,,,,,,,A
vHAZl2o8,06.10.2023 17:00,Al Nassr,Abha,2,2,,,60%,40%,25,8,6,6,11,2,8,0,11,17,8,2,8,1,13,7,4,4,11,9,1,0,0,4,517,345,446,261,15,12,131,69,83,27,,,,,,,D
UokEsKwr,05.10.2023 20:00,Al Ettifaq,Al Fateh,1,2,,,54%,46%,14,8,6,2,6,3,2,3,12,14,3,1,2,0,7,8,0,5,13,12,0,0,2,1,478,419,438,355,9,13,113,61,67,36,,,,,,,A
CAImRbg1,05.10.2023 17:00,Al Riyadh,Al Shabab,2,2,,,29%,71%,8,18,4,5,2,6,2,7,21,15,2,10,3,2,15,11,3,2,14,17,0,0,2,1,243,556,167,504,12,8,50,147,13,87,,,,,,,D
0WbrmtGK,05.10.2023 17:00,Al Taawon,Al Taee,3,0,,,49%,51%,15,14,7,4,7,8,1,2,14,11,4,5,2,2,9,19,4,4,11,12,0,0,0,2,465,460,402,395,22,13,95,121,41,72,,,,,,,H
GrPvTKOl,05.10.2023 14:00,Damac,Al Hazem,4,1,,,51%,49%,8,12,6,4,0,5,2,3,16,12,6,1,2,1,16,24,3,3,15,12,0,0,1,0,474,459,413,398,15,19,75,115,38,48,,,,,,,H
pd27oTvG,30.09.2023 20:00,Al Ahli SC,Al Ettifaq,0,0,,,49%,51%,15,4,3,2,8,2,4,0,14,16,8,2,3,0,17,20,2,3,11,14,0,0,1,1,415,450,365,376,17,11,112,91,56,42,,,,,,,D
MLPzU09r,30.09.2023 20:00,Al Khaleej,Damac,0,2,,,53%,47%,18,8,7,4,6,3,5,1,17,20,2,2,1,3,18,15,2,7,18,15,0,0,4,1,497,441,435,380,8,14,121,78,48,37,,,,,,,A
d2CnnuET,30.09.2023 17:00,Al Fateh,Al Wehda,5,1,,,53%,47%,15,7,7,5,5,1,3,1,12,17,1,4,1,0,16,9,4,2,15,11,0,0,1,2,385,337,320,277,11,12,70,92,38,49,,,,,,,H
pMX2lVfc,30.09.2023 17:00,Al Raed,Al Akhdoud,1,2,,,58%,42%,15,9,3,5,4,3,8,1,12,18,10,2,1,0,21,15,3,2,17,11,0,0,2,3,464,332,384,241,10,29,99,66,60,42,,,,,,,A
IZVAn9P9,30.09.2023 14:00,Abha,Al Riyadh,0,1,,,59%,41%,18,5,2,2,10,2,6,1,22,10,5,3,1,3,11,10,1,2,10,25,0,0,1,1,425,305,355,232,14,13,106,58,47,19,,,,,,,A
vqX6mkA3,29.09.2023 20:00,Al Hilal,Al Shabab,2,0,,,49%,51%,23,9,8,1,9,7,6,1,18,23,7,2,5,6,7,16,1,6,17,13,0,0,1,1,435,449,379,386,22,19,98,88,60,49,,,,,,,H
WITbkBui,29.09.2023 17:00,Al Feiha,Al Ittihad,0,0,,,34%,66%,9,11,4,5,2,4,3,2,17,13,3,5,3,3,13,23,5,4,10,14,0,0,1,2,328,628,257,551,21,20,77,133,20,72,,,,,,,D
Sp3ItJyi,29.09.2023 17:00,Al Hazem,Al Taawon,1,3,,,38%,62%,11,18,3,11,2,2,6,5,12,15,8,5,3,0,24,15,8,2,13,10,0,0,1,0,305,526,249,461,14,21,64,120,58,63,,,,,,,A
lf4EsaMp,29.09.2023 17:00,Al Taee,Al Nassr,1,2,,,42%,58%,11,19,6,6,2,8,3,5,17,16,4,0,1,5,17,17,4,5,16,13,0,0,4,2,360,513,310,453,18,22,65,124,28,70,,,,,,,A
IBDrmLbN,22.09.2023 20:00,Al Nassr,Al Ahli SC,4,3,,,60%,40%,14,21,7,9,3,8,4,4,14,15,1,6,2,4,12,15,6,3,14,12,0,0,2,2,494,297,419,246,25,19,87,93,36,74,,,,,,,H
zmOwl1qH,22.09.2023 20:00,Al Wehda,Abha,4,0,,,66%,34%,24,8,12,4,8,1,4,3,14,15,6,1,4,3,12,15,4,8,11,12,0,0,1,1,464,238,401,177,6,15,74,77,45,31,,,,,,,H
48m9YLqU,22.09.2023 17:00,Al Akhdoud,Al Khaleej,0,1,,,51%,49%,9,9,4,6,3,2,2,1,15,20,8,6,1,3,18,14,5,4,22,17,0,0,2,3,344,333,272,265,13,25,76,52,40,46,,,,,,,A
UkLVkNE4,22.09.2023 17:00,Al Riyadh,Al Feiha,1,3,,,52%,48%,9,15,3,8,5,5,1,2,6,15,6,5,0,1,9,12,5,2,18,9,0,0,1,0,485,454,432,389,11,19,127,93,62,51,,,,,,,A
YNRMiqph,21.09.2023 20:00,Al Ittihad,Al Fateh,2,1,,,58%,42%,16,7,4,3,3,0,9,4,12,12,5,4,2,1,11,18,2,2,13,11,0,0,3,3,558,398,499,324,19,26,144,87,64,29,,,,,,,H
fXSIhPUo,21.09.2023 20:00,Al Shabab,Al Hazem,4,1,,,56%,44%,11,7,7,5,2,2,2,0,17,15,4,3,1,4,9,15,4,3,14,14,0,0,3,1,517,395,449,341,9,12,103,93,62,43,,,,,,,H
jaMRj3ab,21.09.2023 17:00,Al Ettifaq,Al Taee,4,3,,,55%,45%,16,11,6,6,7,4,3,1,11,6,6,3,1,2,9,6,3,2,8,13,0,0,3,2,529,428,478,374,9,15,117,49,54,30,,,,,,,H
tUvyUuho,21.09.2023 17:00,Al Taawon,Al Raed,2,1,,,41%,59%,13,14,5,3,6,10,2,1,16,20,5,9,0,1,15,21,2,3,17,15,0,0,2,2,335,464,258,381,12,19,68,107,30,66,,,,,,,H
OCKZlsUA,21.09.2023 17:00,Damac,Al Hilal,1,1,,,45%,55%,14,10,4,2,7,5,3,3,10,10,4,2,2,0,16,15,1,3,11,11,0,0,2,1,413,512,342,439,9,14,103,92,51,62,,,,,,,D
zTadyOaB,16.09.2023 20:00,Al Ahli SC,Al Taawon,3,2,,,45%,55%,12,12,6,5,4,5,2,2,13,19,4,6,2,3,18,17,3,3,18,9,1,1,4,1,347,419,283,359,10,19,68,98,44,37,,,,,,,H
dx1hx4p5,16.09.2023 17:00,Al Hazem,Al Taee,1,1,,,44%,56%,11,12,4,6,3,5,4,1,14,24,5,8,1,2,16,14,5,3,26,16,0,0,5,3,316,417,251,361,16,13,81,87,40,38,,,,,,,D
Sd9ytnot,16.09.2023 17:00,Al Raed,Al Nassr,1,3,,,37%,63%,11,16,2,7,8,6,1,3,16,11,1,5,1,3,11,10,4,1,10,12,1,0,1,4,319,546,259,493,13,15,76,131,25,54,,,,,,,A
EDBmwpVb,16.09.2023 14:00,Abha,Al Ettifaq,1,3,,,37%,63%,11,9,4,3,4,4,3,2,19,6,3,4,1,3,17,20,0,3,5,16,0,0,2,1,297,501,231,435,17,13,64,94,33,42,,,,,,,A
0A7qvQFh,15.09.2023 20:00,Al Hilal,Al Riyadh,6,1,,,67%,33%,31,9,12,2,12,5,7,2,15,17,3,4,2,3,11,9,1,6,16,14,0,0,1,4,601,290,535,223,20,12,123,59,81,36,,,,,,,H
rga0zrFH,15.09.2023 20:00,Al Khaleej,Al Fateh,1,3,,,48%,52%,14,8,6,7,4,0,4,1,8,18,6,3,1,3,16,10,4,5,16,8,0,1,1,2,418,470,365,412,11,14,101,82,52,36,,,,,,,A
6m8uu60n,15.09.2023 17:00,Al Feiha,Al Shabab,0,1,,,42%,58%,13,6,2,2,10,2,1,2,18,17,5,4,4,3,15,13,1,2,19,16,0,1,3,2,360,489,296,430,19,21,84,98,50,58,,,,,,,A
Mqb4Z1UN,14.09.2023 20:00,Al Wehda,Damac,4,2,,,51%,49%,10,12,7,6,3,3,0,3,18,16,2,2,0,2,13,15,4,3,13,18,0,1,1,2,410,405,352,328,18,19,85,96,19,35,,,,,,,H
SMxVK2FU,14.09.2023 17:00,Al Akhdoud,Al Ittihad,0,1,,,38%,62%,8,10,4,5,3,2,1,3,9,12,5,6,5,1,23,20,4,4,9,9,0,0,1,0,334,583,261,502,28,13,102,105,67,47,,,,,,,A
z9XAPQ0a,02.09.2023 20:00,Al Ettifaq,Damac,3,1,,,61%,39%,11,7,7,2,0,4,4,1,11,10,4,1,4,1,12,9,1,4,11,10,0,0,1,2,571,362,514,310,12,8,99,70,42,34,,,,,,,H
EaWEOpG5,02.09.2023 20:00,Al Fateh,Al Ahli SC,5,1,,,38%,62%,10,18,6,9,4,5,0,4,19,16,6,6,1,3,17,14,8,1,16,18,0,1,3,4,289,482,224,414,17,25,71,134,38,74,,,,,,,H
f9vNMOpI,02.09.2023 20:00,Al Hazem,Al Nassr,1,5,,,31%,69%,5,19,4,10,1,6,0,3,15,17,0,8,3,4,10,12,5,3,15,12,0,0,0,1,284,635,222,565,12,7,61,144,17,57,,,,,,,A
dOLJN4VB,02.09.2023 20:00,Al Shabab,Al Khaleej,1,3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,A
lWwRLr0O,02.09.2023 20:00,Al Taawon,Al Wehda,4,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,H
6ZS6Q6og,01.09.2023 20:00,Al Ittihad,Al Hilal,3,4,,,44%,56%,16,14,9,7,3,5,4,2,16,12,5,11,2,0,12,16,3,6,13,15,0,0,3,1,383,492,325,420,9,18,82,107,42,51,,,,,,,A
SrU2RnWn,01.09.2023 20:00,Al Riyadh,Al Akhdoud,0,1,,,51%,49%,7,7,1,3,5,1,1,3,17,24,5,8,3,2,13,18,2,1,21,16,0,0,0,1,391,378,322,306,9,9,89,73,33,50,,,,,,,A
8bmWW88P,01.09.2023 17:00,Al Feiha,Al Raed,0,0,,,45%,55%,11,5,3,1,2,2,6,2,14,18,5,8,1,0,23,11,1,3,15,15,0,0,1,3,400,490,336,421,19,16,111,101,46,32,,,,,,,D
pKvbSSGt,01.09.2023 17:00,Al Taee,Abha,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,H
G40p95GI,29.08.2023 20:00,Al Ahli SC,Al Taee,2,0,,,60%,40%,23,3,9,1,8,2,6,0,14,23,7,1,3,0,17,19,1,7,23,17,0,1,2,2,467,328,410,267,23,9,94,77,60,18,,,,,,,H
zgqmAo1C,29.08.2023 20:00,Al Khaleej,Al Hazem,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,D
feal8PVO,29.08.2023 20:00,Al Nassr,Al Shabab,4,0,,,55%,45%,16,3,10,1,3,0,3,2,14,19,5,4,5,5,10,13,1,6,17,14,0,1,2,5,503,419,465,367,19,27,118,67,50,35,,,,,,,H
2uouC7Wa,29.08.2023 17:00,Al Akhdoud,Al Taawon,0,1,,,37%,63%,4,17,2,6,2,9,0,2,17,13,5,4,1,4,12,28,5,2,12,13,0,0,3,2,356,626,280,561,20,21,88,129,47,70,,,,,,,A
d2pqBRo6,29.08.2023 17:00,Damac,Al Fateh,2,2,,,30%,70%,11,19,4,9,5,5,2,5,12,11,3,10,2,3,13,22,7,2,13,10,0,0,2,1,265,630,196,559,18,20,67,138,24,65,,,,,,,D
6DiWDT1m,28.08.2023 20:00,Al Hilal,Al Ettifaq,2,0,,,64%,36%,21,6,6,2,9,3,6,1,12,10,8,0,2,1,17,14,2,4,11,11,0,0,1,0,635,370,573,303,13,18,134,68,74,23,,,,,,,H
SMhSE9ns,28.08.2023 20:00,Al Raed,Al Riyadh,3,0,,,48%,52%,10,9,4,4,5,2,1,3,16,15,6,6,1,3,22,25,4,1,13,14,0,0,2,2,415,453,344,378,14,11,98,94,46,41,,,,,,,H
lxsyDmHg,28.08.2023 20:00,Al Wehda,Al Ittihad,0,3,,,46%,54%,11,10,1,5,7,3,3,2,16,10,5,4,1,3,15,19,2,1,9,14,0,0,2,1,403,491,340,430,17,14,89,65,54,40,,,,,,,A
0EPbWyIE,28.08.2023 17:00,Abha,Al Feiha,2,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,H
MNQfXH28,25.08.2023 20:00,Al Fateh,Al Nassr,0,5,,,32%,68%,9,24,1,7,5,11,3,6,14,13,3,9,4,2,11,14,2,1,9,14,0,0,1,1,323,689,262,627,12,13,65,101,57,95,,,,,,,A
8rq89EA1,25.08.2023 20:00,Al Shabab,Damac,1,1,,,67%,33%,20,7,5,2,8,4,7,1,20,23,10,0,4,3,12,10,1,4,17,16,0,0,4,4,507,258,450,197,13,18,78,58,73,31,,,,,,,D
KInC8YP7,25.08.2023 20:00,Al Taawon,Abha,1,0,,,63%,37%,19,13,6,1,11,7,2,5,12,23,6,6,4,2,18,12,1,5,17,9,0,0,1,3,512,293,440,223,16,19,110,92,76,45,,,,,,,H
ELq4Afee,25.08.2023 17:00,Al Feiha,Al Hazem,0,0,,,51%,49%,7,5,1,1,3,3,3,1,16,9,5,3,3,2,6,11,1,1,9,16,0,0,1,2,460,442,405,384,8,15,71,85,52,38,,,,,,,D
IgjeCGQr,24.08.2023 20:00,Al Ahli SC,Al Akhdoud,1,0,,,67%,33%,14,6,1,1,6,5,7,0,16,17,3,2,2,0,14,13,1,0,14,14,0,0,0,2,553,268,483,189,16,24,138,69,74,22,,,,,,,H
Gp4TGdIR,24.08.2023 20:00,Al Ettifaq,Al Khaleej,1,1,,,59%,41%,16,2,7,1,6,1,3,0,13,23,10,1,4,0,14,18,0,6,21,14,0,0,3,1,544,398,483,326,12,11,130,83,69,15,,,,,,,D
MN4PHx3L,24.08.2023 20:00,Al Raed,Al Hilal,0,4,,,40%,60%,7,20,2,10,3,8,2,2,11,15,4,5,1,1,10,16,6,2,15,13,1,1,3,0,335,497,265,446,19,9,61,109,27,60,,,,,,,A
zVp0Bztk,24.08.2023 20:00,Al Riyadh,Al Ittihad,0,4,,,42%,58%,9,17,4,8,3,3,2,6,13,11,4,3,2,3,16,14,4,4,10,11,0,0,3,1,440,631,382,578,12,18,82,119,47,47,,,,,,,A
8K0LIImF,24.08.2023 17:00,Al Taee,Al Wehda,0,3,,,57%,43%,6,16,3,5,2,7,1,4,17,20,1,5,3,3,26,25,2,3,17,11,0,0,1,1,417,311,348,242,26,33,107,99,37,34,,,,,,,A
n5CCKvJ2,19.08.2023 20:00,Al Hilal,Al Feiha,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,D
QeBGJbY8,19.08.2023 20:00,Al Ittihad,Al Taee,2,0,,,55%,45%,14,8,8,2,3,4,3,2,12,11,7,0,3,1,9,14,2,6,10,10,0,0,2,2,587,473,528,418,18,16,130,91,57,37,,,,,,,H
Ym9Veet2,19.08.2023 17:00,Abha,Al Raed,1,0,,,31%,69%,8,14,2,5,3,4,3,5,13,12,1,12,1,0,9,16,5,1,10,12,0,0,3,2,273,563,275,501,15,6,54,140,20,97,,,,,,,H
bVGIbcdq,18.08.2023 20:00,Al Hazem,Al Ettifaq,0,2,,,52%,48%,5,5,2,3,2,2,1,0,4,1,4,2,1,3,3,9,1,2,13,13,0,0,3,0,361,331,303,284,11,7,74,51,43,23,,,,,,,A
CYKMcHBk,18.08.2023 20:00,Al Nassr,Al Taawon,0,2,,,61%,39%,24,8,5,6,9,2,10,0,17,13,13,4,5,3,20,7,4,5,8,14,0,0,2,2,574,387,509,315,7,19,136,76,110,19,,,,,,,A
