id,date,home_team,away_team,home_goals,away_goals,status,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Blocked Shots_home,Blocked Shots_away,Completed Passes_home,Completed Passes_away,result
lj8zU1ne,31.05.2023 20:00,Al Adalah,Al Ettifaq,0,2,,,,48%,52%,14,11,2,5,5,3,10,8,12,7,2,1,12,15,3,2,6,11,402,449,13,12,81,83,76,48,2,0,0,0,7,3,340,383,A
xClVkq9E,31.05.2023 20:00,Al Hilal,Al Raed,3,2,,,,66%,34%,13,10,5,4,5,4,11,13,5,3,3,5,16,18,2,2,12,7,651,322,18,16,104,62,86,41,0,2,0,0,3,2,596,268,H
bLkRjPg8,31.05.2023 20:00,Al Ittihad,Al Taee,2,0,,,,54%,46%,10,12,2,3,6,5,9,12,8,2,1,2,20,11,3,0,11,8,484,420,14,13,119,82,102,53,3,1,0,0,2,4,422,362,H
rD7vTL11,31.05.2023 20:00,Al Khaleej,Abha,3,1,,,,47%,53%,20,6,9,3,6,2,9,15,9,6,2,1,16,11,2,6,15,8,351,407,17,16,68,71,84,51,4,1,1,0,5,1,290,340,H
WYmZl3OK,31.05.2023 20:00,Al Nassr,Al Fateh,3,0,,,,45%,55%,15,11,8,2,4,8,8,12,5,4,2,2,14,12,2,5,11,6,443,554,19,17,75,80,63,74,1,1,0,0,3,1,390,502,H
fiFRVNHr,31.05.2023 20:00,Al Taawon,Al Batin,3,1,,,,56%,44%,19,14,8,5,8,2,9,18,3,4,3,2,4,23,4,5,15,7,478,377,26,19,87,73,61,59,2,0,1,0,3,7,426,319,H
xG4WUsXl,31.05.2023 20:00,Al Wehda,Al Feiha,0,1,,,,46%,54%,2,26,1,8,1,10,11,25,1,4,3,0,9,15,7,1,21,14,424,483,15,19,84,129,43,99,2,2,0,0,0,8,324,376,A
M36rSuH7,31.05.2023 20:00,Damac,Al Shabab,1,4,,,,48%,52%,4,18,3,10,0,6,18,9,4,5,3,4,14,17,6,2,9,15,384,418,13,8,75,93,62,73,2,3,1,0,1,2,330,378,A
zmr1F2X1,27.05.2023 20:00,Abha,Al Hilal,0,3,,,,50%,50%,11,13,3,6,5,5,21,8,10,6,2,6,,,3,3,6,17,415,420,4,11,85,65,58,49,3,1,0,0,3,2,356,359,A
GpSaHO2k,27.05.2023 20:00,Al Batin,Al Adalah,2,2,,,,45%,55%,6,20,2,9,2,6,12,15,2,5,3,0,,,7,0,15,12,412,493,18,18,82,84,42,67,2,1,0,0,2,5,349,434,D
ddqcGrIe,27.05.2023 20:00,Al Ettifaq,Al Nassr,1,1,,,,26%,74%,12,30,4,8,5,12,8,14,6,8,0,2,16,12,7,3,17,6,198,549,15,17,58,112,51,120,3,4,0,0,3,10,133,480,D
ljWrvnA2,27.05.2023 20:00,Al Fateh,Damac,1,1,,,,55%,45%,9,14,3,5,5,8,13,9,3,6,1,1,11,12,4,2,12,17,480,373,17,16,56,50,39,49,2,4,0,0,1,1,421,328,D
hrTaz49R,27.05.2023 20:00,Al Feiha,Al Ittihad,0,3,,,,52%,48%,10,8,0,5,4,3,14,17,3,1,2,2,,,2,0,15,12,438,411,18,14,82,57,52,40,1,1,0,0,6,0,372,341,A
2gzmw6P8,27.05.2023 20:00,Al Raed,Al Khaleej,0,0,,,,49%,51%,7,8,4,3,1,4,15,15,3,4,2,2,22,12,3,4,15,14,411,414,16,18,111,105,80,73,3,0,0,0,2,1,334,337,D
O8OeypfL,27.05.2023 20:00,Al Shabab,Al Taawon,0,3,,,,47%,53%,10,8,1,5,6,2,15,17,3,3,2,1,,,2,1,14,14,415,484,16,20,70,85,57,54,1,2,1,0,3,1,365,423,A
pIPixQvF,27.05.2023 20:00,Al Taee,Al Wehda,1,2,,,,52%,48%,12,12,3,4,5,5,13,11,6,5,3,6,22,23,2,2,9,10,391,356,15,11,126,118,72,91,0,1,0,0,4,3,308,281,A
Wf1OzD3A,23.05.2023 20:30,Al Ittihad,Al Batin,1,0,,,,62%,38%,15,3,4,0,6,2,11,11,8,5,1,0,22,19,0,3,12,12,596,360,25,23,90,70,73,33,1,3,0,0,5,1,527,290,H
xfTeI4mq,23.05.2023 20:30,Al Nassr,Al Shabab,3,2,,,,45%,55%,13,9,6,3,5,3,15,11,7,4,4,0,16,20,1,3,8,18,392,495,13,13,81,98,62,59,4,4,0,0,2,3,335,429,H
t68BwFJi,23.05.2023 18:00,Al Adalah,Al Hilal,2,0,,,,23%,77%,7,19,3,6,3,7,15,11,4,10,0,2,10,10,6,1,10,12,180,607,10,14,55,71,28,88,3,2,1,0,1,6,130,564,H
0AVOFBRp,22.05.2023 20:30,Al Taawon,Al Taee,2,1,,,,54%,46%,10,24,4,6,4,14,12,13,6,5,2,1,13,21,5,2,15,13,445,369,9,4,73,73,72,66,4,1,0,0,2,4,378,315,H
2F97ve4o,22.05.2023 20:30,Al Wehda,Al Khaleej,1,4,,,,49%,51%,9,11,2,7,4,1,20,18,2,3,2,1,20,20,3,1,19,20,392,405,22,20,91,83,54,41,1,1,0,0,3,3,323,326,A
AuDFxZYc,22.05.2023 18:00,Al Ettifaq,Al Fateh,0,4,,,,39%,61%,9,11,1,8,4,1,15,9,4,3,1,3,8,12,4,1,11,12,284,449,14,10,74,77,50,60,3,1,2,0,4,2,227,400,A
pb5SZWIG,22.05.2023 18:00,Al Feiha,Al Raed,1,1,,,,62%,38%,16,4,4,2,5,1,12,10,8,1,2,1,13,18,1,3,11,11,539,346,14,12,85,60,71,23,1,4,0,0,7,1,458,260,D
lWBJygl4,22.05.2023 18:00,Damac,Abha,1,0,,,,44%,56%,10,9,4,4,2,3,13,27,4,6,7,1,14,19,4,3,22,11,362,450,9,13,86,93,56,56,2,1,0,1,4,2,289,370,H
CW5G7EZN,19.05.2023 20:00,Damac,Al Hilal,0,1,,,,30%,70%,8,8,2,2,5,4,20,9,1,6,0,5,20,28,1,2,8,15,280,665,12,19,71,100,34,82,3,3,0,0,1,2,200,586,A
21UYPekh,18.05.2023 18:00,Abha,Al Ettifaq,2,1,,,,56%,44%,11,10,6,4,3,4,13,12,2,5,2,2,23,20,3,4,11,11,470,367,13,17,90,79,75,65,3,2,0,0,2,2,406,304,H
ARXtOZJ4,18.05.2023 18:00,Al Shabab,Al Wehda,0,1,,,,65%,35%,12,8,5,3,4,1,12,14,7,1,1,1,22,15,2,5,15,11,581,325,16,18,103,71,84,42,1,2,0,0,3,4,498,253,A
v7PcKiJT,16.05.2023 20:30,Al Hilal,Al Ittihad,2,2,,,,67%,33%,18,15,6,6,7,7,13,20,8,2,1,1,21,12,4,4,19,10,581,286,13,18,99,74,80,48,3,1,0,0,5,2,513,217,D
ppQgLX3N,16.05.2023 20:30,Al Taee,Al Nassr,0,2,,,,45%,55%,9,17,0,5,4,8,14,10,2,2,1,3,16,22,3,0,9,7,401,488,11,8,80,148,58,105,1,2,0,0,5,4,333,435,A
lIWpNgZA,15.05.2023 20:30,Al Fateh,Al Adalah,2,4,,,,68%,32%,17,14,6,7,4,5,13,12,7,2,2,0,18,21,3,4,10,13,554,265,20,16,137,83,107,47,2,1,0,0,7,2,474,191,A
KxuUQyzn,15.05.2023 18:00,Al Batin,Al Feiha,0,0,,,,52%,48%,6,15,0,1,5,10,17,12,4,1,3,0,20,16,1,0,10,18,396,377,12,23,56,67,58,50,0,1,0,0,1,4,331,299,D
6gRkMDlH,15.05.2023 18:00,Al Khaleej,Al Taawon,0,2,,,,38%,62%,13,17,4,8,4,5,11,9,6,8,1,2,16,14,6,4,9,8,364,611,3,17,93,134,77,100,2,1,0,0,5,4,300,545,A
G4YxPF4b,15.05.2023 18:00,Al Raed,Damac,5,0,,,,34%,66%,13,11,6,2,6,6,16,10,0,6,0,2,24,20,2,1,11,17,290,548,10,14,95,100,43,77,1,2,0,0,1,3,217,477,H
U7GB8fKH,14.05.2023 18:00,Al Ettifaq,Al Shabab,1,0,,,,28%,72%,13,24,3,2,6,10,7,7,6,10,4,1,17,20,2,2,4,7,244,622,16,12,71,90,45,105,0,1,0,0,4,12,167,562,H
G4C79z5B,10.05.2023 18:00,Al Batin,Al Taee,4,3,,,,46%,54%,20,14,10,4,6,6,16,3,10,2,1,1,22,12,1,6,8,25,349,454,20,23,99,96,105,58,4,3,0,0,4,4,280,381,H
riEaBdza,09.05.2023 18:00,Al Feiha,Al Fateh,3,0,,,,37%,63%,10,5,5,1,3,2,13,14,4,6,5,5,13,16,1,2,15,7,363,607,17,15,74,98,58,82,2,1,0,0,2,2,288,543,H
MsD3AGk5,09.05.2023 18:00,Al Taawon,Al Raed,2,1,,,,52%,48%,16,15,5,5,8,5,16,25,4,4,2,1,26,25,4,3,22,14,425,387,15,17,92,111,67,72,3,5,0,0,3,5,361,308,H
tntQRHKu,08.05.2023 20:30,Al Ittihad,Abha,4,0,,,,50%,50%,14,7,9,2,2,3,4,17,4,3,3,1,20,13,2,5,15,6,545,540,12,16,80,92,60,49,0,1,0,0,3,2,471,471,H
QFJfCxLh,08.05.2023 18:00,Al Adalah,Al Wehda,1,2,,,,56%,44%,10,9,5,5,5,4,26,17,3,6,2,5,14,21,3,4,17,21,324,252,14,14,75,74,58,58,1,3,0,0,0,0,246,177,A
jN4K6YlU,08.05.2023 18:00,Al Nassr,Al Khaleej,1,1,,,,65%,35%,22,7,6,3,11,3,14,15,8,2,2,2,30,10,2,5,14,15,604,332,16,14,129,58,118,27,2,3,0,0,5,1,535,257,D
6B0WB89C,03.05.2023 20:30,Al Shabab,Al Fateh,1,0,,,,49%,51%,18,16,8,1,4,8,,,10,4,2,1,,,1,7,14,11,442,466,12,15,95,98,83,56,4,3,0,1,6,7,377,408,H
SK1SClf6,03.05.2023 20:30,Al Wehda,Damac,0,2,,,,56%,44%,12,9,4,6,5,1,,,6,3,7,3,,,4,4,14,16,431,346,11,16,105,85,81,48,1,2,0,0,3,2,354,258,A
I9UKIvrP,03.05.2023 18:00,Al Taawon,Al Ittihad,2,1,,,,34%,66%,8,21,4,9,3,6,,,4,15,0,4,,,8,2,14,9,269,499,13,16,69,85,35,104,3,2,1,0,1,6,216,432,H
h2LnEbjt,02.05.2023 20:30,Al Khaleej,Al Ettifaq,2,1,,,,44%,56%,13,7,3,1,7,4,,,4,5,0,0,,,0,1,10,12,351,451,17,15,68,98,48,67,1,1,0,0,3,2,274,369,H
Ey4vAnvP,02.05.2023 20:30,Al Taee,Al Feiha,2,1,,,,46%,54%,5,14,3,4,1,8,,,3,6,1,3,,,3,1,14,8,456,518,17,23,63,91,43,76,,,0,0,1,2,400,449,H
pdCNDUv0,02.05.2023 18:00,Abha,Al Adalah,1,0,,,,55%,45%,13,9,3,2,4,5,,,7,3,1,3,,,2,2,11,7,487,393,14,10,106,91,87,73,2,1,0,0,6,2,410,327,H
zo5zBSOI,02.05.2023 18:00,Al Raed,Al Batin,3,1,,,,45%,55%,22,14,6,3,9,9,,,5,5,0,3,,,2,3,20,13,364,426,20,16,96,125,94,111,4,2,0,0,7,2,295,360,H
23a1bkuD,28.04.2023 20:30,Al Feiha,Al Khaleej,0,3,,,,65%,35%,14,11,1,4,11,4,,,10,2,1,3,,,1,1,14,12,552,306,13,20,106,77,84,47,3,1,0,0,2,3,456,213,A
80jiLCnQ,28.04.2023 20:30,Al Nassr,Al Raed,4,0,,,,60%,40%,18,6,7,4,6,2,,,3,1,7,2,,,4,3,15,3,655,447,20,18,113,80,68,25,2,1,0,0,5,0,598,370,H
KvAdaVP6,28.04.2023 18:00,Al Ettifaq,Damac,2,0,,,,41%,59%,10,12,4,2,4,7,,,3,2,4,1,,,2,2,17,9,336,484,21,18,105,111,63,64,2,2,0,1,2,3,262,400,H
xW8FFjAm,28.04.2023 18:00,Al Fateh,Al Wehda,1,1,,,,46%,54%,18,12,4,2,8,7,,,4,4,3,2,,,1,3,12,17,363,432,24,12,85,98,64,60,0,5,0,1,6,3,296,355,D
buABGWfs,27.04.2023 20:30,Al Ittihad,Al Shabab,2,1,,,,35%,65%,11,24,7,5,3,12,12,6,4,3,0,2,14,16,4,5,13,18,304,554,12,13,84,118,63,87,4,3,1,0,1,7,226,480,H
U9imMhXJ,27.04.2023 18:00,Al Adalah,Al Taawon,2,1,,,,48%,52%,8,10,3,4,2,3,11,8,5,3,1,1,15,19,3,1,15,15,387,414,11,13,96,97,56,77,3,0,0,0,3,3,309,344,H
Wh8JEAPg,27.04.2023 18:00,Al Taee,Abha,1,0,,,,44%,56%,12,13,4,4,7,6,4,11,3,9,1,1,16,28,4,3,16,8,395,491,21,13,69,92,60,77,3,1,0,0,1,3,307,395,H
nPKjDI5n,18.04.2023 21:00,Al Hilal,Al Nassr,2,0,,,,53%,47%,14,11,6,3,3,7,12,22,5,3,3,1,22,16,3,4,21,13,502,451,18,10,118,95,53,31,3,4,0,0,5,1,429,376,H
G635c9fJ,14.04.2023 21:00,Al Batin,Al Hilal,1,0,,,,24%,76%,14,25,6,3,6,10,14,10,3,9,0,0,17,17,3,5,10,13,218,716,15,20,56,102,34,95,3,3,0,0,2,12,155,642,H
WjsQ8rc3,14.04.2023 21:00,Al Ettifaq,Al Feiha,1,0,,,,48%,52%,9,17,2,5,4,6,10,9,3,8,1,0,11,10,5,1,7,16,448,470,22,20,96,125,52,67,1,1,0,0,3,6,363,384,H
WK8LcIl2,11.04.2023 21:00,Al Khaleej,Al Shabab,2,3,,,,43%,57%,14,9,7,4,3,4,14,20,3,7,3,1,17,9,1,5,15,17,397,525,13,23,101,104,69,57,2,3,0,0,4,1,337,458,A
YN7p2Xul,10.04.2023 21:00,Al Hilal,Al Taee,2,2,,,,70%,30%,25,9,9,6,8,3,5,8,11,1,0,2,15,10,4,7,9,7,669,301,20,21,138,70,141,38,0,4,0,0,8,0,597,242,D
jaIu3DQs,10.04.2023 21:00,Al Raed,Al Fateh,0,3,,,,31%,69%,7,14,1,7,4,1,15,9,0,6,0,2,21,17,4,1,14,14,304,659,20,15,64,90,27,69,1,3,1,0,2,6,232,597,A
CE6l1ief,10.04.2023 21:00,Damac,Al Adalah,2,2,,,,48%,52%,13,11,5,3,6,7,13,19,6,6,4,1,21,20,1,3,15,16,317,348,14,15,65,62,63,64,3,2,0,0,2,1,245,277,D
tjjCKudF,09.04.2023 22:00,Al Wehda,Al Ittihad,1,2,,,,54%,46%,9,8,2,3,3,4,11,9,5,9,2,1,16,19,1,1,8,15,448,390,18,16,93,96,61,74,2,3,0,0,4,1,373,325,A
nTj8LLt9,09.04.2023 21:00,Abha,Al Batin,3,2,,,,47%,53%,8,18,6,6,1,8,16,13,5,6,2,3,13,22,4,3,19,13,394,425,24,14,76,109,56,87,4,2,0,0,1,4,305,355,H
tlBh0BA0,09.04.2023 21:00,Al Feiha,Al Nassr,0,0,,,,41%,59%,5,18,1,3,3,12,16,9,1,7,1,5,21,19,3,1,8,14,409,567,26,17,71,82,36,76,2,1,0,0,1,3,316,496,D
8xh4M1R2,09.04.2023 21:00,Al Taawon,Al Ettifaq,1,1,,,,64%,36%,26,16,7,5,11,7,8,10,11,4,1,3,15,15,4,6,11,9,492,282,16,13,88,62,88,42,2,1,0,0,8,4,407,201,D
hU9HbbZe,07.04.2023 21:00,Al Shabab,Al Hilal,3,0,,,,42%,58%,13,11,8,4,5,4,13,14,3,6,3,5,7,14,4,5,17,15,415,568,18,14,59,100,35,68,1,2,0,1,0,3,362,516,H
0WUx6tsM,06.04.2023 21:00,Al Fateh,Al Khaleej,2,0,,,,61%,39%,11,13,5,5,3,4,18,18,5,2,4,0,14,17,5,3,14,19,553,344,23,20,111,85,69,54,3,3,0,0,3,4,464,273,H
vNTt50dS,05.04.2023 21:00,Abha,Al Taawon,1,1,,,,47%,53%,16,9,5,3,7,3,11,7,6,4,1,3,12,22,2,4,12,10,438,482,18,11,107,105,64,80,2,4,0,1,4,3,345,384,D
EFWU72C9,05.04.2023 21:00,Al Batin,Al Wehda,2,0,,,,38%,62%,6,15,3,5,2,4,14,17,2,4,4,2,10,18,5,1,19,18,298,514,20,20,72,72,55,64,2,2,0,0,1,6,217,416,H
b7ADavKk,05.04.2023 21:00,Al Taee,Al Raed,2,2,,,,60%,40%,5,8,2,5,2,1,12,14,1,4,1,2,15,24,3,0,15,10,554,364,15,18,97,92,41,69,2,0,0,0,1,2,493,295,D
h6VY6MRF,04.04.2023 21:00,Al Adalah,Al Nassr,0,5,,,,47%,53%,9,13,3,9,2,3,11,10,3,1,1,4,15,16,4,3,12,12,422,495,14,19,83,91,47,48,1,1,0,0,4,1,352,427,A
Czt4SZh0,04.04.2023 21:00,Al Feiha,Al Hilal,0,2,,,,41%,59%,8,13,2,4,5,6,16,14,4,4,3,5,10,17,2,2,11,16,348,485,20,10,83,87,65,78,1,1,0,0,1,3,271,418,A
p4690K4q,04.04.2023 21:00,Al Ittihad,Damac,3,0,,,,48%,52%,12,7,6,1,4,5,9,15,6,4,1,0,18,8,1,3,11,7,469,502,13,25,89,100,50,52,3,2,1,0,2,1,398,416,H
OA7GyvWD,01.04.2023 21:00,Al Hilal,Al Khaleej,2,0,,,,67%,33%,14,9,5,2,6,5,18,15,8,3,3,4,22,18,2,3,12,13,627,301,17,15,108,86,79,46,1,2,0,0,3,2,552,231,H
QgjznLkj,18.03.2023 18:30,Al Hilal,Al Ettifaq,3,0,,,,69%,31%,16,7,7,0,5,4,1,7,4,1,4,1,20,10,0,4,3,4,764,346,8,10,96,60,75,26,1,3,0,0,4,3,705,283,H
8IeVn1zp,18.03.2023 18:30,Al Nassr,Abha,2,1,,,,70%,30%,17,8,5,4,8,1,14,10,13,2,1,4,13,24,3,3,15,16,492,224,14,19,129,57,81,18,4,6,0,1,4,3,421,139,H
6993isSS,18.03.2023 18:30,Al Raed,Al Shabab,2,2,,,,29%,71%,7,25,5,6,1,12,12,12,2,9,1,5,17,23,4,3,14,9,278,652,25,16,88,134,55,144,2,0,0,0,1,7,183,580,D
CnAahNCM,18.03.2023 14:00,Al Fateh,Al Ittihad,1,5,,,,67%,33%,9,20,3,9,5,9,9,6,3,6,2,0,15,12,4,2,6,12,552,271,22,23,104,64,92,61,2,3,0,0,1,2,485,199,A
E1idg3cG,17.03.2023 18:30,Al Wehda,Al Taawon,1,1,,,,52%,48%,4,12,1,3,1,4,22,11,9,6,2,3,15,23,2,0,9,19,466,435,14,13,112,90,70,56,1,2,0,0,2,5,399,367,D
4pkvou5d,17.03.2023 14:00,Al Feiha,Al Adalah,1,1,,,,58%,42%,16,3,4,1,10,0,12,12,6,3,1,0,25,18,0,3,10,12,555,403,23,23,122,92,92,51,1,1,0,0,2,2,460,317,D
ImwM9Osc,17.03.2023 14:00,Damac,Al Batin,1,0,,,,43%,57%,13,11,8,1,2,6,11,27,5,2,5,2,18,14,1,7,29,8,346,451,28,12,103,118,55,79,4,2,0,0,3,4,264,369,H
Wx2ifqrA,16.03.2023 14:00,Al Khaleej,Al Taee,2,2,,,,35%,65%,5,10,2,3,2,6,13,10,2,9,2,1,8,22,1,0,12,15,329,600,26,24,79,106,30,75,2,2,0,0,1,1,235,497,D
hWEPupTG,11.03.2023 16:00,Al Adalah,Al Raed,0,3,,,,64%,36%,14,12,3,7,8,3,15,14,8,7,3,1,22,19,4,3,12,15,529,304,9,13,126,96,79,56,6,3,1,0,3,2,446,218,A
CYUQwOcT,11.03.2023 14:00,Al Taee,Damac,1,3,,,,64%,36%,15,4,3,3,7,0,14,11,7,1,1,3,12,20,0,2,15,12,535,299,16,23,71,80,59,42,3,4,0,0,5,1,455,214,A
rHLdY1Lj,10.03.2023 18:30,Al Taawon,Al Hilal,0,4,,,,38%,62%,13,21,2,13,6,5,13,12,6,8,3,1,16,21,9,2,10,13,406,664,18,14,116,191,81,131,1,1,0,0,5,3,339,592,A
YsWMv4rN,10.03.2023 14:00,Abha,Al Fateh,2,2,,,,47%,53%,7,14,3,4,3,7,9,14,4,5,2,1,22,28,2,1,18,10,386,444,21,15,115,129,56,89,1,0,0,0,1,3,297,360,D
pMaucobi,09.03.2023 18:30,Al Ittihad,Al Nassr,1,0,,,,58%,42%,12,6,3,3,5,2,11,12,4,6,0,1,21,20,3,2,13,12,529,389,18,24,79,83,46,27,1,1,0,0,4,1,456,309,H
hn3mePS3,09.03.2023 18:30,Al Shabab,Al Feiha,3,2,,,,46%,54%,8,14,4,4,2,6,18,15,1,8,2,3,12,19,2,1,15,14,451,504,12,13,79,76,44,81,3,4,0,0,2,4,391,438,H
UDHhZs6p,09.03.2023 14:00,Al Batin,Al Khaleej,1,0,,,,36%,64%,9,20,4,6,4,6,14,9,4,11,2,1,11,21,6,3,8,15,306,516,24,23,105,104,42,110,2,1,0,0,1,8,225,434,H
OCbqd5Dc,09.03.2023 14:00,Al Ettifaq,Al Wehda,1,1,,,,52%,48%,11,6,4,3,5,1,14,11,6,0,2,2,24,19,2,3,9,14,429,412,13,16,94,93,77,45,0,4,0,0,2,2,349,322,D
AmcZUSEb,06.03.2023 18:30,Al Hilal,Al Fateh,1,2,,,,64%,36%,11,11,3,5,4,6,11,15,9,5,1,4,17,19,3,2,15,10,504,291,19,14,114,76,97,64,3,3,0,0,4,0,430,216,A
KIGHs6b4,04.03.2023 18:30,Al Shabab,Al Adalah,1,2,,,,57%,43%,20,11,7,5,12,2,13,17,3,5,1,0,22,13,3,6,14,13,472,351,15,12,103,80,72,69,2,5,0,0,1,4,405,280,A
6FCDrnqb,04.03.2023 14:00,Damac,Al Taawon,1,2,,,,53%,47%,13,7,4,5,7,2,14,14,6,5,0,3,13,14,3,3,16,15,383,353,13,11,94,76,75,59,1,4,0,0,2,0,320,281,A
