id,date,home_team,away_team,home_goals,away_goals,status,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Blocked Shots_home,Blocked Shots_away,Completed Passes_home,Completed Passes_away,result
zDcTM7kH,09.09.2020 19:35,Al Adalah,Al Ittihad,0,2,,,,48%,52%,11,10,4,5,3,5,,,7,4,0,1,,,3,4,5,8,302,332,11,9,55,80,48,40,1,1,0,0,4,0,,,A
niRouk5o,09.09.2020 19:35,Al Ahli SC,Al Raed,2,0,,,,42%,58%,12,6,4,2,6,3,,,2,5,2,2,,,2,2,17,6,284,397,17,11,64,75,34,33,4,1,0,0,2,1,,,H
rw1yLoKT,09.09.2020 19:35,Al Hazem,Al Wehda,0,2,,,,55%,45%,9,15,5,6,2,8,,,2,4,1,0,,,4,5,6,11,279,235,5,10,86,83,60,49,1,3,0,0,2,1,,,A
hlUgwTZc,09.09.2020 19:35,Al Hilal,Al Shabab,2,1,,,,61%,39%,19,6,10,3,6,3,,,5,0,4,2,,,2,8,15,10,468,286,7,13,113,72,74,53,1,0,0,0,3,0,,,H
WvTcxmk4,09.09.2020 19:35,Al Nassr,Al Ettifaq,3,2,,,,44%,56%,7,14,4,3,3,6,,,2,5,0,0,,,1,1,10,5,355,450,13,19,82,74,34,29,2,0,0,0,0,5,,,H
bRUkv9Ki,09.09.2020 19:35,Al Taawon,Al Feiha,1,0,,,,60%,40%,11,6,2,2,6,4,,,5,1,1,5,,,2,1,10,12,237,166,7,6,,,,,1,5,0,1,3,0,,,H
pnm3G5Sp,09.09.2020 19:35,Al-Faisaly,Abha,2,1,,,,45%,55%,7,4,3,1,2,2,,,3,2,0,1,,,0,1,9,3,191,234,10,5,105,89,46,39,1,0,0,0,2,1,,,H
E3dXLR4N,09.09.2020 19:35,Damac,Al Fateh,4,3,,,,40%,60%,8,9,5,5,2,3,,,2,6,1,1,,,2,1,9,11,156,240,4,4,,,,,4,2,0,0,1,1,,,H
Aee288zO,04.09.2020 19:35,Abha,Al Ahli SC,2,1,,,,45%,55%,8,7,4,3,3,2,,,7,5,3,3,,,2,2,8,8,232,284,12,9,77,98,36,49,3,0,0,0,1,2,,,H
0KzCSBLu,04.09.2020 19:35,Al Ettifaq,Damac,0,2,,,,69%,31%,14,7,5,3,7,2,,,8,2,0,2,,,1,5,11,10,598,279,12,16,117,65,72,33,1,1,0,0,2,2,,,A
6X5CQkjh,04.09.2020 19:35,Al Fateh,Al Taawon,1,0,,,,48%,52%,11,6,3,0,3,3,,,4,6,5,1,,,0,2,20,18,350,372,10,18,79,95,57,46,4,3,0,0,5,3,,,H
Oba67SkU,04.09.2020 19:35,Al Feiha,Al Adalah,2,0,,,,46%,54%,21,9,7,2,10,3,,,6,3,2,0,,,2,5,10,11,397,462,16,15,0,0,0,0,1,4,0,0,4,4,,,H
vBZFRVzn,04.09.2020 19:35,Al Ittihad,Al Nassr,1,1,,,,39%,61%,11,16,7,6,4,6,,,3,6,1,0,,,5,6,11,14,323,517,17,11,71,83,33,45,3,3,0,0,0,4,,,D
pO4GP95b,04.09.2020 19:35,Al Raed,Al-Faisaly,2,1,,,,46%,54%,9,10,3,4,4,4,,,3,7,0,1,,,3,1,14,17,304,355,9,4,85,90,32,48,3,4,1,0,2,2,,,H
hl8ONmzB,04.09.2020 19:35,Al Shabab,Al Hazem,1,0,,,,51%,49%,14,15,6,2,8,12,,,5,4,1,1,,,2,5,17,11,369,346,7,12,98,117,54,81,6,1,0,0,0,1,,,H
vo4KOTK4,04.09.2020 19:35,Al Wehda,Al Hilal,1,3,,,,36%,64%,16,7,4,4,8,3,,,8,2,4,3,,,1,3,11,10,273,522,12,9,75,78,32,33,3,1,0,0,4,0,,,A
SW5c9lLH,30.08.2020 19:40,Al Ahli SC,Al Shabab,1,1,,,,50%,50%,21,9,3,3,12,4,,,2,3,4,0,,,2,2,11,10,411,424,10,15,81,58,43,31,4,1,0,0,6,2,,,D
