id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Pass Success %_home,Pass Success %_away,Completed Passes_home,Completed Passes_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
EybfilYu,14.05.2021 20:00,Al Ahli SC,Al Qadisiya,1,0,53%,47%,12,10,1,2,9,5,2,3,5,5,0,2,2,0,21,8,6,2,432,385,15,8,111,110,74,70,1,0,,,,,,,,,H
OCMlW42U,14.05.2021 20:00,Al Hilal,Al Batin,1,1,76%,24%,25,6,9,1,10,5,6,0,11,2,0,2,0,8,11,9,1,1,571,179,14,13,73,57,77,28,0,0,,,,,,,,,D
pMNpXpmO,14.05.2021 18:20,Al Ain,Al Nassr,0,2,44%,56%,15,12,1,5,12,5,2,2,4,6,0,0,3,1,7,12,2,2,359,478,16,8,76,83,49,62,0,2,,,,,,,,,A
2cYuYQXH,14.05.2021 18:15,Al-Faisaly,Abha,2,1,59%,41%,19,11,9,3,4,6,6,2,7,4,0,1,2,7,10,21,2,5,435,289,15,19,67,51,71,44,0,0,,,,,,,,,H
lfUyZ6IB,14.05.2021 17:50,Al Ettifaq,Al Shabab,4,3,46%,54%,22,14,13,4,3,6,6,4,4,2,0,3,1,9,20,9,3,1,390,470,8,15,121,150,90,109,0,0,,,,,,,,,H
SSH5WDdD,07.05.2021 20:50,Al Taawon,Al Ahli SC,4,2,48%,52%,14,10,8,5,4,4,2,1,5,2,1,1,3,4,20,14,3,2,390,427,21,3,119,102,74,63,1,0,,,,,,,,,H
GtWTzTma,07.05.2021 20:40,Al Shabab,Al Hilal,1,5,42%,58%,11,16,6,8,3,5,2,3,6,9,5,1,3,5,9,14,6,2,390,528,13,14,68,79,43,61,1,0,,,,,,,,,A
QiwHwV3t,05.05.2021 20:40,Al Nassr,Al-Faisaly,4,3,48%,52%,12,7,5,4,4,1,3,2,6,2,2,0,1,1,20,13,6,3,380,409,15,17,105,105,55,55,1,0,,,,,,,,,H
rHkBm6X4,29.04.2021 20:35,Al Qadisiya,Al-Faisaly,1,2,50%,50%,7,16,2,4,2,8,3,4,1,6,3,0,2,1,15,14,2,2,338,338,10,13,87,69,67,69,0,1,,,,,,,,,A
nkYguruo,25.04.2021 21:00,Al Taawon,Al Fateh,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,A
fXUXZn35,17.04.2021 21:10,Al Wehda,Al Ettifaq,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,A
b5yPy9Yh,17.04.2021 20:35,Al Fateh,Damac,1,1,54%,46%,17,12,6,5,7,2,4,5,8,2,1,0,4,5,13,11,2,3,384,323,17,12,71,74,58,46,0,0,,,,,,,,,D
KExLxkJn,16.04.2021 21:10,Al Ittihad,Al Batin,0,0,66%,34%,19,4,6,1,7,2,6,1,10,2,0,0,1,6,11,7,2,2,571,295,11,16,83,51,83,31,0,0,,,,,,,,,D
UXelecZD,16.04.2021 20:35,Al Qadisiya,Al Raed,0,1,41%,59%,11,14,4,4,4,8,3,2,3,2,2,0,3,4,16,16,3,2,342,482,16,10,76,94,50,68,1,0,,,,,,,,,A
lxJ1Xgs7,15.04.2021 20:50,Abha,Al Ain,1,0,35%,65%,13,14,3,2,9,9,1,3,9,4,0,0,2,2,16,11,2,2,259,473,14,17,86,98,58,73,0,0,,,,,,,,,H
K2EcYZR0,10.04.2021 19:15,Al Ettifaq,Al Qadisiya,1,3,67%,33%,17,16,7,6,5,7,5,3,4,6,2,2,3,6,18,16,3,1,533,249,13,13,110,76,68,39,0,0,,,,,,,,,A
bmQlzdcl,10.04.2021 17:55,Al Batin,Al Shabab,1,4,45%,55%,13,23,6,14,1,7,6,2,2,4,0,1,10,5,7,14,1,2,405,522,14,13,84,74,57,70,0,1,,,,,,,,,A
tCFgZFCf,10.04.2021 17:55,Al-Faisaly,Al Fateh,2,3,63%,37%,17,15,6,7,6,4,5,4,5,10,0,2,4,4,14,23,1,2,421,249,4,12,134,100,105,76,0,0,,,,,,,,,A
ppMpyxrr,09.04.2021 19:50,Al Ittihad,Al Hilal,2,0,38%,62%,8,22,6,6,1,8,1,8,6,18,1,1,6,4,12,18,1,1,331,509,10,22,88,94,48,87,0,0,,,,,,,,,H
S4ZIuIZQ,09.04.2021 18:05,Damac,Al Nassr,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,H
lEzFtbKK,09.04.2021 18:00,Al Taawon,Al Ain,3,0,56%,44%,18,8,6,3,9,4,3,1,4,2,4,2,3,3,19,22,3,4,412,333,11,9,96,95,65,44,0,0,,,,,,,,,H
82JHsv5E,08.04.2021 19:50,Al Ahli SC,Al Raed,2,3,63%,37%,13,11,4,6,9,2,0,3,3,3,5,2,3,2,14,18,2,5,503,295,8,12,98,60,62,36,0,0,,,,,,,,,A
tjvJMxTl,21.03.2021 14:10,Al Ain,Al Wehda,4,0,54%,46%,14,10,8,1,4,5,2,4,7,5,2,2,1,4,19,6,2,2,338,280,13,13,123,112,61,54,0,0,,,,,,,,,H
CGZENIDr,21.03.2021 14:05,Abha,Damac,3,4,47%,53%,13,16,10,8,2,5,1,3,5,9,1,0,4,7,13,11,4,3,373,415,10,10,88,82,75,63,1,0,,,,,,,,,A
A7mmSb5R,20.03.2021 18:45,Al Hilal,Al Qadisiya,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,H
G8WVJzD7,20.03.2021 18:45,Al Nassr,Al Batin,7,0,59%,41%,16,11,10,4,5,5,1,2,3,6,3,1,4,3,12,12,2,3,520,353,9,13,84,79,53,34,0,0,,,,,,,,,H
SrbrTvjL,20.03.2021 16:40,Al Shabab,Al Taawon,1,3,59%,41%,18,15,10,5,6,5,2,5,5,7,3,3,2,9,12,15,0,4,543,365,6,13,77,68,64,42,0,0,,,,,,,,,A
G8fvUKzF,20.03.2021 16:30,Al Ettifaq,Al-Faisaly,1,0,50%,50%,6,13,2,2,2,10,2,1,6,6,1,0,2,1,14,9,2,4,416,400,14,16,87,86,41,61,0,0,,,,,,,,,H
KtwNLdre,20.03.2021 16:30,Al Fateh,Al Ahli SC,4,1,48%,52%,15,15,8,5,5,9,2,1,7,4,4,0,4,4,22,16,2,2,372,393,11,22,72,82,52,45,1,0,,,,,,,,,H
25SRKGc1,20.03.2021 14:15,Al Raed,Al Ittihad,1,1,57%,43%,16,6,5,2,4,4,7,0,8,2,1,1,1,4,13,6,4,2,446,344,8,14,94,73,70,32,1,1,,,,,,,,,D
UBKDrKk8,15.03.2021 17:10,Al Wehda,Abha,1,4,63%,37%,22,8,9,5,10,3,3,0,11,2,3,3,1,8,8,16,1,2,451,272,19,16,87,77,79,37,0,0,,,,,,,,,A
MoezV0L8,11.03.2021 18:45,Al Ahli SC,Al Nassr,1,2,48%,52%,10,10,3,6,2,3,5,1,6,3,0,3,4,2,12,14,1,3,422,456,11,12,140,156,60,77,0,0,,,,,,,,,A
redWVt62,11.03.2021 17:05,Al Wehda,Al Hilal,2,4,28%,72%,11,19,7,9,3,5,1,5,2,7,4,3,5,5,15,13,1,1,232,600,15,17,78,98,40,76,0,0,,,,,,,,,A
6wDm7cT1,11.03.2021 14:10,Damac,Al Ettifaq,1,1,47%,53%,15,13,6,4,4,6,5,3,14,3,0,0,3,5,10,13,2,2,365,425,23,13,91,104,60,66,0,0,,,,,,,,,D
SnEq8wEe,10.03.2021 18:45,Al Ittihad,Al Shabab,2,1,43%,57%,10,25,4,6,5,11,1,8,1,4,0,0,5,2,9,12,3,6,380,503,9,11,57,70,31,46,0,0,,,,,,,,,H
YPEu9Jbk,10.03.2021 18:15,Al-Faisaly,Al Raed,0,1,59%,41%,3,15,1,3,2,9,0,3,1,9,0,3,2,1,16,20,2,2,461,323,13,20,86,64,29,22,0,0,,,,,,,,,A
