id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Pass Success %_home,Pass Success %_away,Completed Passes_home,Completed Passes_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
fy5Lf8Ms,11.02.2021 16:05,Al Ettifaq,Abha,4,1,53%,47%,13,18,6,8,7,6,0,4,1,10,2,1,7,2,16,12,1,4,512,426,14,18,75,84,40,36,0,0,,,,,,,,,H
2strskhr,09.02.2021 16:10,Al Fateh,Al Nassr,1,1,36%,64%,9,16,3,3,3,8,3,5,4,5,0,2,2,2,22,8,2,2,279,507,11,16,72,93,25,39,0,0,,,,,,,,,D
d03FoVqR,09.02.2021 14:05,Al Ain,Al Hilal,0,5,43%,57%,9,16,4,10,3,4,2,2,2,1,0,0,5,4,16,11,2,3,419,569,18,12,61,92,23,21,0,0,,,,,,,,,A
hSIgalEQ,06.02.2021 16:20,Al Shabab,Al Raed,4,1,50%,50%,13,9,7,2,3,4,3,3,5,8,1,0,1,4,17,16,1,0,464,430,11,12,92,113,46,75,0,0,,,,,,,,,H
ziOl0UbK,06.02.2021 14:00,Damac,Al Qadisiya,2,2,44%,56%,8,13,2,7,5,4,1,2,2,4,0,0,5,0,14,17,1,2,298,396,20,14,119,121,62,63,0,1,,,,,,,,,D
d0Pp1AqE,05.02.2021 18:15,Al Wehda,Al Ahli SC,2,4,52%,48%,15,13,8,5,5,4,2,4,5,3,0,3,2,6,14,6,1,0,448,416,26,18,57,72,33,39,0,0,,,,,,,,,A
rcy3xR6D,05.02.2021 13:40,Al Batin,Al-Faisaly,0,2,56%,44%,16,14,2,5,6,8,8,1,8,6,3,0,3,2,11,13,1,2,479,389,10,19,88,73,51,33,0,0,,,,,,,,,A
WMXbw7i7,04.02.2021 18:15,Al Nassr,Al Taawon,3,0,62%,38%,14,3,5,0,4,2,5,1,3,3,2,6,0,2,15,19,4,5,512,307,10,17,79,68,42,27,0,0,,,,,,,,,H
lbrfvmx1,04.02.2021 16:50,Al Ittihad,Al Fateh,4,1,49%,51%,15,25,7,6,6,16,2,3,2,7,0,2,5,3,15,19,2,3,426,423,4,11,146,129,71,84,0,0,,,,,,,,,H
A7qjuTMf,04.02.2021 16:15,Al Hilal,Abha,2,3,69%,31%,17,7,5,3,4,2,8,2,5,3,7,2,0,3,11,15,1,2,598,267,9,22,126,81,82,34,0,0,,,,,,,,,A
tYvnt97l,04.02.2021 14:05,Al Ain,Al Ettifaq,1,0,47%,53%,11,17,3,4,7,8,1,5,2,6,0,1,4,2,13,10,3,1,351,378,15,15,69,73,28,34,0,0,,,,,,,,,H
rcaBnBUK,31.01.2021 18:10,Al Ahli SC,Al Batin,2,2,48%,52%,8,6,4,3,4,1,0,2,6,4,3,1,1,2,15,14,2,2,415,465,10,17,73,86,42,29,0,0,,,,,,,,,D
lz07miFE,31.01.2021 16:00,Al Qadisiya,Al Wehda,2,2,58%,42%,13,14,5,5,3,6,5,3,5,2,0,1,3,3,14,13,4,2,437,320,14,7,80,84,30,24,1,0,,,,,,,,,D
Aq13lXa8,31.01.2021 13:45,Al Raed,Damac,4,2,62%,38%,17,6,8,3,8,1,1,2,7,2,1,0,1,4,10,8,3,5,517,308,12,14,101,80,47,28,0,1,,,,,,,,,H
OttTPmN7,30.01.2021 16:00,Al Ettifaq,Al Ittihad,2,0,45%,55%,20,14,7,2,7,7,6,5,9,2,2,0,2,5,14,10,3,2,407,494,19,16,84,94,38,37,0,0,,,,,,,,,H
pjsPQT71,30.01.2021 14:00,Abha,Al Shabab,2,3,41%,59%,10,22,3,12,3,8,4,2,5,8,1,3,9,1,9,12,1,1,367,561,17,13,82,95,41,55,0,0,,,,,,,,,A
jTsLR9he,30.01.2021 13:40,Al-Faisaly,Al Taawon,0,0,67%,33%,17,4,5,1,6,3,6,0,5,3,1,5,1,5,12,20,2,3,541,252,12,16,204,129,247,121,0,0,,,,,,,,,D
0UVaTfSn,26.01.2021 13:30,Al Batin,Al Ain,2,1,47%,53%,13,14,4,6,8,4,1,4,5,2,1,0,5,2,22,9,3,2,359,402,16,13,79,98,53,68,0,0,,,,,,,,,H
YJNCQhC5,25.01.2021 16:45,Al Wehda,Al Shabab,2,4,42%,58%,12,17,5,7,2,8,5,2,9,2,2,3,3,3,12,13,3,2,346,494,16,18,83,88,43,45,0,0,,,,,,,,,A
St1oAXRO,25.01.2021 16:15,Al-Faisaly,Al Hilal,1,1,41%,59%,14,13,7,5,3,3,4,5,4,9,0,2,4,6,14,12,2,2,358,498,12,13,66,71,36,36,0,0,,,,,,,,,D
2gSGPCRB,25.01.2021 13:40,Al Taawon,Damac,3,1,55%,45%,13,10,4,6,4,1,5,3,4,4,4,1,5,1,19,10,2,1,413,331,18,12,88,79,56,44,0,1,,,,,,,,,H
C4Z3SEsg,24.01.2021 18:10,Al Ettifaq,Al Ahli SC,1,2,58%,42%,19,15,3,5,12,6,4,4,4,2,0,4,3,2,16,12,1,1,487,361,13,11,175,127,223,161,0,0,,,,,,,,,A
67WeUzDt,24.01.2021 16:40,Al Ittihad,Al Nassr,1,1,57%,43%,11,10,2,3,4,5,5,2,6,3,3,1,2,1,12,15,2,3,464,360,11,12,76,69,37,35,0,0,,,,,,,,,D
fTO8RYda,24.01.2021 15:55,Al Fateh,Al Raed,0,2,56%,44%,13,9,2,3,7,6,4,0,7,1,1,1,1,2,15,15,3,3,389,316,19,17,74,82,35,34,0,0,,,,,,,,,A
4bpUYG4P,24.01.2021 13:55,Abha,Al Qadisiya,2,2,48%,52%,14,14,6,4,8,6,0,4,4,7,3,1,2,4,11,8,2,0,419,454,5,11,84,82,43,41,0,0,,,,,,,,,D
lj2sBDCI,20.01.2021 18:10,Al Nassr,Al Wehda,3,1,65%,35%,16,6,8,1,2,3,6,2,5,2,3,1,0,5,14,17,3,7,518,262,20,18,95,77,37,28,0,0,,,,,,,,,H
fT2wCgcC,20.01.2021 16:10,Al Hilal,Al Taawon,2,0,57%,43%,14,16,6,6,7,7,1,3,1,7,1,2,6,4,22,13,4,3,532,382,9,12,90,79,35,31,0,0,,,,,,,,,H
YgCIGHrs,20.01.2021 13:55,Damac,Al Batin,2,0,49%,51%,13,12,5,1,6,6,2,5,6,5,2,1,1,3,20,20,2,5,362,387,12,8,64,74,34,21,1,1,,,,,,,,,H
tQbZCZs6,19.01.2021 18:10,Al Ahli SC,Abha,3,0,41%,59%,16,13,8,6,6,4,2,3,3,7,2,1,6,5,11,11,1,2,353,493,16,13,98,98,68,70,0,0,,,,,,,,,H
b19UDFSa,19.01.2021 16:10,Al Shabab,Al-Faisaly,1,1,54%,46%,16,14,5,5,3,6,8,3,10,5,1,0,4,4,11,12,1,3,437,377,16,13,70,75,36,34,0,0,,,,,,,,,D
SCZkLczQ,19.01.2021 15:50,Al Qadisiya,Al Fateh,1,1,35%,65%,9,20,4,7,4,9,1,4,3,8,2,3,6,3,22,20,1,2,245,431,16,7,98,110,41,71,0,0,,,,,,,,,D
CpBMFybm,19.01.2021 14:00,Al Ain,Al Ittihad,1,2,60%,40%,19,8,5,5,9,2,5,1,10,2,2,0,3,4,16,10,2,3,527,355,14,12,111,83,61,29,0,0,,,,,,,,,A
KAAQEeDg,19.01.2021 13:40,Al Raed,Al Ettifaq,2,3,41%,59%,13,17,5,5,5,9,3,3,5,2,1,0,2,3,22,12,3,2,303,428,23,15,90,81,44,40,0,0,,,,,,,,,A
E9VoMwLJ,15.01.2021 18:10,Al Ahli SC,Al Hilal,0,0,29%,71%,17,13,7,7,5,4,5,2,7,9,2,3,7,7,10,9,2,2,270,671,12,17,118,292,204,386,0,0,,,,,,,,,D
06s4cfrJ,15.01.2021 16:10,Al Raed,Al Nassr,0,1,37%,63%,5,10,1,2,4,3,0,5,2,3,2,2,1,1,16,12,6,0,308,525,23,16,52,90,30,52,0,0,,,,,,,,,A
YuXq2ITm,15.01.2021 13:55,Damac,Al Wehda,0,0,55%,45%,8,9,4,2,4,4,0,3,6,3,1,0,2,4,18,15,4,2,398,325,14,9,84,70,39,26,0,1,,,,,,,,,D
WQkm1xqf,14.01.2021 18:10,Al Ittihad,Abha,0,1,54%,46%,9,19,4,7,2,8,3,4,4,6,1,1,6,4,7,19,1,3,457,366,11,14,82,62,43,42,1,0,,,,,,,,,A
MFr0bzTC,14.01.2021 15:50,Al Fateh,Al Taawon,1,2,59%,41%,18,16,7,5,8,7,3,4,3,4,0,2,3,6,15,18,1,1,464,317,11,16,71,120,92,61,0,0,,,,,,,,,A
4vleaGD6,14.01.2021 15:45,Al Ettifaq,Al Batin,1,1,50%,50%,11,8,2,4,7,2,2,2,5,5,2,2,3,1,11,18,2,0,455,434,15,25,112,118,88,76,0,0,,,,,,,,,D
Qmki0db0,14.01.2021 13:55,Al Ain,Al Shabab,0,3,48%,52%,7,19,2,9,3,5,2,5,3,6,3,0,6,2,12,8,1,1,377,410,19,20,135,140,41,68,0,0,,,,,,,,,A
jHsu3bEs,14.01.2021 13:30,Al-Faisaly,Al Qadisiya,2,2,51%,49%,15,7,4,2,6,3,5,2,7,2,4,3,0,2,21,12,2,1,368,355,9,13,64,66,35,27,0,0,,,,,,,,,D
ddZCaP7k,09.01.2021 17:55,Al Ittihad,Damac,1,0,61%,39%,14,10,3,2,7,3,4,5,6,3,1,1,2,2,19,12,4,2,597,384,16,21,117,101,50,47,0,0,,,,,,,,,H
6RG3MnF2,09.01.2021 15:55,Al Shabab,Al Ettifaq,1,0,51%,49%,13,14,5,6,5,5,3,3,3,7,2,2,6,4,18,13,6,2,429,407,13,8,73,80,36,48,0,0,,,,,,,,,H
pIF7L6U8,09.01.2021 13:30,Al Taawon,Al Raed,0,0,53%,47%,10,11,5,5,3,4,2,2,4,6,1,1,5,5,19,12,5,2,349,315,13,10,98,110,60,50,0,1,,,,,,,,,D
EiKBKQqF,08.01.2021 17:55,Al Nassr,Al Ain,3,0,56%,44%,14,4,5,2,5,0,4,2,2,3,4,3,2,2,16,19,1,4,519,410,16,14,101,73,69,27,0,0,,,,,,,,,H
EyWm5opS,08.01.2021 15:40,Al Qadisiya,Al Ahli SC,3,1,41%,59%,6,23,4,7,1,10,1,6,4,10,0,2,6,1,13,13,5,1,334,480,15,14,61,78,32,50,1,0,,,,,,,,,H
jJYGbqNe,08.01.2021 13:20,Al Batin,Al Hilal,2,2,27%,73%,14,15,3,8,4,5,7,2,7,7,0,3,6,1,24,13,2,3,218,624,13,18,58,86,29,42,0,0,,,,,,,,,D
4MxLc3x2,07.01.2021 16:35,Al Wehda,Al Fateh,0,0,50%,50%,14,18,5,7,7,7,2,4,4,2,2,0,7,5,17,11,3,2,383,371,10,17,191,153,275,11,0,0,,,,,,,,,D
I5z905hq,07.01.2021 13:50,Abha,Al-Faisaly,1,0,45%,55%,8,12,5,4,3,5,0,3,2,10,2,3,4,4,8,17,0,2,325,400,18,14,39,35,30,47,0,0,,,,,,,,,H
tOXu77FF,02.01.2021 16:20,Al Ahli SC,Al Taawon,0,3,55%,45%,10,13,2,5,4,6,4,2,5,4,0,2,2,2,16,21,0,3,449,367,13,18,86,77,34,31,0,0,,,,,,,,,A
SKTy8m09,02.01.2021 13:25,Al Raed,Al Qadisiya,2,2,48%,52%,8,16,3,6,4,8,1,2,0,5,1,0,4,1,26,11,4,1,356,366,17,12,137,182,71,127,1,0,,,,,,,,,D
pdvX8Tp3,01.01.2021 15:35,Al Ettifaq,Al Wehda,1,2,61%,39%,17,10,5,4,9,5,3,1,2,4,2,2,2,4,14,17,0,5,455,277,11,14,124,104,64,40,0,0,,,,,,,,,A
65uT99Vd,01.01.2021 13:50,Al Ain,Abha,2,4,68%,32%,16,15,6,6,6,8,4,1,8,4,4,1,2,4,10,10,0,4,670,305,13,11,104,85,82,41,0,0,,,,,,,,,A
vamsn6wj,01.01.2021 13:45,Damac,Al Fateh,1,2,57%,43%,11,11,2,6,6,3,3,2,7,3,3,0,4,1,18,22,3,4,383,293,10,18,179,177,112,83,0,0,,,,,,,,,A
zoXq6RUL,31.12.2020 17:50,Al Hilal,Al Shabab,1,1,75%,25%,24,5,5,1,11,4,8,0,11,0,2,0,0,4,12,15,2,5,692,243,5,20,85,39,68,22,0,1,,,,,,,,,D
dzbxmnOq,31.12.2020 15:55,Al-Faisaly,Al Nassr,2,3,52%,48%,10,12,3,5,4,5,3,2,3,1,3,1,2,1,11,17,2,3,405,385,11,12,159,42,28,35,0,0,,,,,,,,,A
IknooQhd,31.12.2020 13:10,Al Batin,Al Ittihad,1,2,42%,58%,12,21,4,6,6,10,2,5,2,3,1,1,4,3,13,17,1,4,354,495,35,22,63,81,47,62,0,0,,,,,,,,,A
rXX2Yn9j,27.12.2020 17:40,Al Qadisiya,Al Ettifaq,1,2,45%,55%,8,24,2,10,5,10,1,4,3,8,0,4,8,1,18,16,5,3,352,433,14,8,61,74,37,39,0,0,,,,,,,,,A
lU82gloG,27.12.2020 15:55,Al Raed,Al Ahli SC,1,2,49%,51%,22,11,5,8,14,3,3,0,8,4,0,0,6,4,19,17,0,3,384,420,22,16,85,81,53,59,0,0,,,,,,,,,A
WhEcfUV9,27.12.2020 15:35,Al Fateh,Al-Faisaly,3,2,46%,54%,18,13,4,4,7,7,7,2,8,4,3,1,2,1,23,11,3,3,390,467,12,23,84,85,42,43,1,0,,,,,,,,,H
h2FgeAG3,27.12.2020 13:45,Al Ain,Al Taawon,1,0,47%,53%,8,9,5,1,1,6,2,2,1,4,3,1,1,4,14,21,2,3,391,423,10,18,83,103,40,69,0,0,,,,,,,,,H
pxCocWoi,27.12.2020 13:40,Abha,Al Wehda,0,1,53%,47%,13,17,4,8,5,6,4,3,5,6,2,0,7,4,14,14,2,2,385,347,17,19,87,85,57,60,0,0,,,,,,,,,A
buGkdj1c,26.12.2020 17:50,Al Hilal,Al Ittihad,1,1,71%,29%,23,7,5,3,13,2,5,2,10,1,0,0,2,4,15,19,0,3,617,259,15,17,90,49,56,28,0,0,,,,,,,,,D
Ms7AiSFS,26.12.2020 15:50,Al Nassr,Damac,2,2,69%,31%,18,9,4,2,9,2,5,5,5,3,0,1,0,2,16,8,2,3,610,265,11,23,264,134,387,180,0,0,,,,,,,,,D
SK76h80M,26.12.2020 13:15,Al Shabab,Al Batin,3,1,46%,54%,9,21,4,6,3,10,2,5,3,6,0,3,5,1,17,11,1,0,417,477,13,12,201,174,251,303,0,0,,,,,,,,,H
nmXXw9oT,22.12.2020 17:50,Al Ahli SC,Al Fateh,1,0,42%,58%,15,21,5,5,9,11,1,5,5,11,2,0,5,4,15,15,1,2,299,398,14,11,69,76,42,47,0,0,,,,,,,,,H
8dYTvkWM,22.12.2020 16:20,Al Wehda,Al Ain,2,1,36%,64%,11,8,6,3,4,2,1,3,3,11,0,2,2,4,6,10,1,3,341,604,15,11,175,230,141,162,0,0,,,,,,,,,H
Mun8qDHi,22.12.2020 15:50,Al-Faisaly,Al Ettifaq,0,3,48%,52%,4,16,1,4,2,6,1,6,3,5,0,0,1,1,16,16,5,1,419,469,20,14,58,67,11,14,0,0,,,,,,,,,A
I7uHsin4,22.12.2020 13:40,Damac,Abha,2,1,41%,59%,9,9,3,3,5,3,1,3,3,4,4,0,2,1,9,14,3,2,311,447,8,5,64,96,33,38,0,0,,,,,,,,,H
CUvLtB1A,21.12.2020 17:50,Al Ittihad,Al Raed,0,0,49%,51%,14,9,4,1,8,4,2,4,5,4,1,1,1,4,16,16,1,2,425,448,12,18,75,70,25,24,0,0,,,,,,,,,D
4tZbZSgp,21.12.2020 15:55,Al Taawon,Al Shabab,4,0,40%,60%,12,19,5,6,4,6,3,7,5,4,1,5,6,1,12,8,2,4,319,466,9,11,63,73,36,47,0,0,,,,,,,,,H
vHtDrXWc,21.12.2020 15:30,Al Qadisiya,Al Hilal,1,3,34%,66%,10,10,2,5,8,2,0,3,1,6,1,3,2,1,10,12,2,1,320,609,15,19,72,96,42,55,0,0,,,,,,,,,A
QXrPuVGG,21.12.2020 13:10,Al Batin,Al Nassr,1,2,50%,50%,11,13,4,6,3,5,4,2,4,4,0,6,4,3,14,14,1,1,371,371,15,9,81,95,33,57,0,0,,,,,,,,,A
UoaML9Pp,13.12.2020 17:45,Al Hilal,Al Wehda,1,2,75%,25%,14,5,6,3,5,2,3,0,5,2,6,2,1,5,15,13,1,3,645,213,16,16,139,83,87,36,0,0,,,,,,,,,A
rkm4pg2o,12.12.2020 17:45,Al Nassr,Al Ahli SC,1,2,59%,41%,20,9,9,5,6,3,5,1,10,3,1,2,3,8,18,15,0,4,448,316,13,32,76,53,40,28,0,0,,,,,,,,,A
YwKoSBnH,12.12.2020 15:30,Al Fateh,Al Batin,1,2,59%,41%,15,8,5,3,2,3,8,2,11,0,4,1,1,4,22,14,2,4,398,298,7,16,131,97,43,16,0,0,,,,,,,,,A
44FsTiXA,12.12.2020 15:25,Al Ettifaq,Damac,4,2,59%,41%,17,9,8,2,6,5,3,2,2,5,0,1,0,4,11,11,0,1,502,332,23,16,234,179,187,237,0,0,,,,,,,,,H
rkRYUD2b,12.12.2020 13:35,Abha,Al Taawon,0,0,44%,56%,7,15,2,1,3,8,2,6,3,10,2,1,1,2,6,12,2,1,375,470,16,17,77,91,40,51,0,0,,,,,,,,,D
fg8fQkHT,11.12.2020 17:45,Al Shabab,Al Ittihad,1,1,59%,41%,23,11,7,4,12,6,4,1,11,4,1,1,3,6,18,19,2,4,445,314,11,13,64,56,38,25,0,0,,,,,,,,,D
CUIkRV1N,11.12.2020 15:50,Al Raed,Al-Faisaly,0,2,68%,32%,22,7,8,3,7,2,7,2,10,0,2,2,1,8,15,14,2,1,535,252,19,18,89,53,51,29,0,0,,,,,,,,,A
QDGwUXH4,11.12.2020 13:35,Al Ain,Al Qadisiya,1,2,72%,28%,19,14,7,7,9,4,3,3,6,3,0,0,5,6,15,8,1,1,651,256,12,9,122,79,70,43,0,0,,,,,,,,,A
UoNUVgmh,07.12.2020 17:45,Al Nassr,Al Ettifaq,2,2,61%,39%,18,11,5,4,10,4,3,3,9,2,3,1,2,3,10,18,2,5,527,349,11,24,96,87,69,52,0,0,,,,,,,,,D
dYOMXFIu,07.12.2020 15:50,Al Raed,Al Hilal,0,1,34%,66%,4,11,1,5,3,5,0,1,2,7,0,1,4,1,10,9,2,1,329,636,15,12,100,137,41,64,0,0,,,,,,,,,A
dv8OuAaJ,07.12.2020 15:30,Al Fateh,Abha,1,3,62%,38%,12,21,3,7,5,8,4,6,4,1,6,0,4,2,21,14,2,2,443,275,17,20,115,89,96,47,0,0,,,,,,,,,A
zPNQWZXo,06.12.2020 17:45,Al Wehda,Al Ittihad,1,2,48%,52%,15,16,5,8,7,4,3,4,7,7,1,3,6,4,8,14,2,1,360,393,13,18,85,78,45,40,0,0,,,,,,,,,A
AN5CrCF0,06.12.2020 15:25,Al Qadisiya,Al Shabab,2,1,36%,64%,10,13,7,4,2,6,1,3,5,6,2,2,3,5,14,16,1,1,275,465,10,16,83,118,22,27,0,0,,,,,,,,,H
SbG7qh0f,05.12.2020 15:45,Al-Faisaly,Al Ain,1,1,36%,64%,8,8,2,3,5,4,1,1,3,7,1,3,2,1,13,17,4,1,327,569,15,4,88,110,42,58,0,0,,,,,,,,,D
Im9KtjpD,05.12.2020 15:35,Al Batin,Al Taawon,1,1,35%,65%,8,19,3,7,2,6,3,6,1,10,1,0,6,2,17,14,3,2,275,498,14,8,115,238,93,275,0,0,,,,,,,,,D
OQ9GsWU6,05.12.2020 13:30,Damac,Al Ahli SC,4,3,39%,61%,12,17,7,6,3,3,2,8,11,3,0,0,3,3,12,12,3,2,299,514,14,17,64,95,38,38,0,0,,,,,,,,,H
xGIPiGhE,03.12.2020 15:40,Al Hilal,Al Fateh,3,0,59%,41%,14,12,5,4,6,5,3,3,6,5,1,2,4,2,17,15,2,2,514,348,14,19,74,66,36,43,0,0,,,,,,,,,H
OCUsTWFD,03.12.2020 13:35,Abha,Al Nassr,2,1,31%,69%,8,21,4,11,1,5,3,5,4,9,0,1,10,2,10,13,1,2,237,528,14,9,41,77,18,46,0,0,,,,,,,,,H
l8H3pYpl,29.11.2020 17:40,Al Ahli SC,Al-Faisaly,2,1,47%,53%,8,11,3,5,3,3,2,3,4,5,1,3,4,1,26,15,3,2,419,469,23,11,54,65,23,20,0,0,78,83,326,389,,,,,H
KYCaoEVs,29.11.2020 16:10,Al Wehda,Al Batin,3,2,38%,62%,18,20,6,4,7,9,5,7,7,7,1,0,2,3,10,12,2,3,251,406,10,17,49,65,32,41,0,0,,,,,,,,,H
IPQXkfNQ,29.11.2020 13:15,Al Taawon,Al Ettifaq,1,1,49%,51%,10,14,1,5,8,7,1,2,3,3,2,0,4,0,23,16,2,2,346,354,24,10,75,76,52,62,0,0,,,,,,,,,D
SpyZUho1,28.11.2020 13:35,Al Ain,Al Raed,1,0,57%,43%,8,7,3,3,1,4,4,0,4,6,2,3,3,2,11,10,4,3,466,350,12,17,79,88,32,39,0,1,,,,,,,,,H
z1yTjz8K,27.11.2020 17:40,Al Ittihad,Al Qadisiya,1,0,52%,48%,11,16,2,2,4,12,5,2,3,6,2,0,2,1,17,12,1,1,534,493,19,23,72,75,35,51,0,0,,,,,,,,,H
pMVwUC07,27.11.2020 15:40,Al Shabab,Damac,2,1,69%,31%,12,9,7,2,5,4,0,3,4,2,2,3,1,5,12,10,2,2,591,248,18,14,70,45,39,26,0,0,,,,,,,,,H
tUYMXf1r,24.11.2020 17:30,Al Ettifaq,Al Fateh,0,4,62%,38%,24,10,3,6,14,2,7,2,7,6,0,1,2,3,17,18,3,2,421,265,15,32,85,79,48,37,0,0,,,,,,,,,A
fXxRWEGl,24.11.2020 15:50,Al Taawon,Al Wehda,1,0,64%,36%,12,5,3,0,7,2,2,3,14,4,3,3,0,2,18,14,1,0,444,245,9,12,220,163,181,117,0,1,,,,,,,,,H
zmdfxygR,23.11.2020 18:15,Al Hilal,Al Nassr,2,0,56%,44%,7,19,3,7,1,6,3,6,4,6,3,1,7,1,13,14,6,4,461,347,15,19,96,100,58,55,0,0,,,,,,,,,H
lWcnvcOE,23.11.2020 16:15,Al Ahli SC,Al Shabab,2,2,43%,57%,12,13,5,3,5,10,2,0,1,5,3,1,1,3,15,22,,,373,483,19,17,75,74,42,43,0,0,,,,,,,,,D
lfxVVYVf,23.11.2020 15:45,Al-Faisaly,Al Ittihad,1,1,56%,44%,10,13,5,8,4,5,1,0,4,3,3,1,7,4,16,16,3,3,499,398,10,11,79,74,48,25,0,0,,,,,,,,,D
ddcjwHwL,23.11.2020 15:25,Al Qadisiya,Al Batin,2,2,51%,49%,15,14,5,4,8,6,2,4,6,1,2,4,2,3,19,14,2,2,382,379,12,19,75,70,41,33,1,1,,,,,,,,,D
8zLaGgW7,23.11.2020 13:30,Damac,Al Ain,0,2,43%,57%,12,10,4,4,5,5,3,1,8,1,4,2,2,4,9,9,2,1,337,482,12,16,167,130,187,116,0,0,,,,,,,,,A
Auaruw98,23.11.2020 13:15,Al Raed,Abha,2,1,54%,46%,13,14,4,2,3,7,6,5,2,7,0,2,1,2,16,8,3,0,494,425,12,16,87,86,50,35,0,0,,,,,,,,,H
fXGeHZG1,07.11.2020 17:45,Al Nassr,Al Qadisiya,2,0,55%,45%,24,14,7,4,8,9,9,1,14,8,1,1,4,5,19,23,2,3,387,331,11,13,74,59,39,26,0,0,,,,,,,,,H
0AHiIF1e,07.11.2020 15:35,Al Fateh,Al Shabab,1,3,41%,59%,5,16,1,9,3,5,1,2,1,4,4,3,6,0,20,15,2,4,274,386,7,16,85,96,48,58,1,0,,,,,,,,,A
MJImJenk,07.11.2020 13:35,Al Ain,Al Ahli SC,3,4,59%,41%,19,13,8,6,8,5,3,2,3,2,1,0,2,5,10,10,0,2,466,332,11,13,95,92,41,43,0,0,,,,,,,,,A
4rOrKyXr,06.11.2020 17:45,Al Ittihad,Al Taawon,1,1,58%,42%,11,11,2,4,5,4,4,3,1,5,2,1,3,1,15,16,2,2,486,349,18,10,29,26,19,139,0,0,,,,,,,,,D
2ZyHOHOR,06.11.2020 15:45,Al Batin,Abha,3,0,52%,48%,19,7,6,3,7,3,6,1,7,3,0,0,3,3,17,14,1,2,421,412,19,17,112,112,65,55,0,0,,,,,,,,,H
8CxDPc9L,06.11.2020 15:30,Al Ettifaq,Al Hilal,0,2,42%,58%,12,8,3,5,5,2,4,1,3,7,4,2,3,3,11,11,,,402,560,14,9,65,69,39,37,0,0,,,,,,,,,A
dxZ8QwfF,06.11.2020 13:35,Damac,Al-Faisaly,0,0,50%,50%,14,5,3,1,9,2,2,2,12,4,0,0,1,3,10,16,1,5,404,423,12,14,72,83,35,32,0,0,,,,,,,,,D
EDq4RJv9,05.11.2020 17:45,Al Wehda,Al Raed,2,3,56%,44%,16,8,3,7,8,1,5,0,7,3,2,2,4,1,15,18,4,4,379,315,8,15,164,109,201,89,0,0,,,,,,,,,A
zNp0SaP2,01.11.2020 17:50,Al Shabab,Al Nassr,2,1,57%,43%,16,12,5,5,7,4,4,3,4,4,2,0,4,3,13,14,3,1,440,323,11,16,95,81,75,55,0,0,,,,,,,,,H
n7iI3Gn2,31.10.2020 17:50,Al Ittihad,Al Ahli SC,2,0,39%,61%,7,13,3,6,4,5,0,2,0,7,1,0,6,1,15,12,0,1,314,466,15,13,57,76,27,34,0,0,,,,,,,,,H
8GhE4dXe,31.10.2020 16:15,Abha,Al Ettifaq,3,2,46%,54%,14,16,5,5,6,8,3,3,9,7,3,0,3,2,11,10,4,2,352,396,11,12,112,132,45,47,1,1,,,,,,,,,H
Qi395xIk,31.10.2020 15:50,Al Hilal,Damac,2,0,73%,27%,19,11,7,3,8,6,4,2,5,8,1,1,3,5,11,13,3,3,741,252,11,12,93,54,40,25,0,1,,,,,,,,,H
Cla56I2q,30.10.2020 17:50,Al Wehda,Al-Faisaly,1,2,51%,49%,16,13,4,5,9,7,3,1,8,1,4,0,3,3,19,14,3,2,368,373,16,17,83,71,46,29,0,0,,,,,,,,,A
f9CwBbfS,30.10.2020 13:40,Al Ain,Al Fateh,2,4,62%,38%,14,13,4,8,7,1,3,4,7,7,0,0,4,2,15,23,2,1,427,256,14,22,,,,,1,0,,,,,,,,,A
GIDZBvuM,29.10.2020 17:50,Al Qadisiya,Al Taawon,1,0,52%,48%,16,10,7,3,6,5,3,2,5,4,1,2,3,6,16,18,2,3,342,294,19,22,75,76,73,46,0,0,,,,,,,,,H
ldswDKPF,29.10.2020 15:50,Al Batin,Al Raed,2,1,57%,43%,8,5,4,2,4,2,0,1,3,3,2,4,1,2,15,18,1,5,435,339,16,11,115,73,45,28,0,1,,,,,,,,,H
A5rZD0A9,24.10.2020 18:55,Al Fateh,Al Ittihad,2,2,44%,56%,17,17,4,5,7,8,6,4,6,3,3,0,3,2,19,10,4,0,290,385,15,14,117,108,64,57,0,0,,,,,,,,,D
GrqVEte3,24.10.2020 16:40,Al Ettifaq,Al Ain,2,1,54%,46%,17,14,7,6,4,4,6,4,5,4,5,1,5,5,12,17,3,1,479,396,9,12,161,157,128,148,0,0,,,,,,,,,H
2uuRFMuc,23.10.2020 18:55,Al-Faisaly,Al Batin,2,1,46%,54%,11,11,3,6,6,1,2,4,3,7,1,0,5,1,11,16,2,2,423,491,17,17,65,57,38,31,0,0,,,,,,,,,H
