id,date,home_team,away_team,home_goals,away_goals,status,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Blocked Shots_home,Blocked Shots_away,Completed Passes_home,Completed Passes_away,result
8WtwVAsA,27.06.2022 20:00,Al Feiha,Al Ettifaq,0,1,,,,52%,48%,13,12,6,5,6,5,,,5,7,2,2,,,4,6,7,12,284,258,18,12,85,74,58,42,2,3,0,0,1,2,,,A
Q7yrUUdG,27.06.2022 20:00,Al Hilal,Al-Faisaly,2,1,,,,47%,53%,6,14,2,3,2,8,,,6,7,1,0,,,2,0,19,10,389,415,16,24,102,66,57,59,2,4,0,1,2,3,,,H
4bznTlCM,27.06.2022 20:00,Al Ittihad,Al Batin,0,0,,,,69%,31%,11,7,3,3,6,2,,,9,5,1,0,,,3,3,14,14,490,223,11,23,98,76,72,40,1,5,0,0,2,2,,,D
bLZkS8RS,27.06.2022 20:00,Al Nassr,Al Fateh,2,1,,,,47%,53%,14,9,5,4,6,4,,,4,2,0,3,,,3,3,5,9,271,309,17,12,73,85,55,61,1,4,1,0,3,1,,,H
YDQHNSZq,27.06.2022 20:00,Al Raed,Abha,1,0,,,,33%,67%,13,6,4,2,6,3,,,1,5,1,0,,,2,3,10,8,247,499,17,7,,,,,2,1,0,0,3,1,,,H
GxGMMnkj,27.06.2022 20:00,Al Shabab,Al Ahli SC,0,0,,,,43%,57%,6,24,0,6,6,14,,,3,7,7,2,,,6,0,22,18,292,377,24,9,53,74,28,55,2,2,1,0,0,4,,,D
fTEQL64d,27.06.2022 20:00,Al Taee,Al Hazem,3,0,,,,45%,55%,17,4,5,1,8,2,,,3,5,6,1,,,1,2,17,11,337,397,21,13,64,82,48,48,1,1,0,0,4,1,,,H
UurZVjS3,27.06.2022 20:00,Damac,Al Taawon,1,1,,,,45%,55%,5,16,1,5,3,6,,,1,6,1,5,,,4,0,21,12,354,420,14,18,,,,,2,1,0,0,1,5,,,D
l870HiDA,23.06.2022 20:00,Abha,Al Feiha,0,0,,,,63%,37%,8,10,1,2,5,5,,,2,3,2,0,,,2,1,16,7,495,284,8,12,74,70,46,35,0,2,0,0,2,3,,,D
2BB4GBSG,23.06.2022 20:00,Al Ahli SC,Al Raed,1,3,,,,74%,26%,21,7,6,4,7,2,,,5,4,1,0,,,1,5,9,10,508,189,9,12,,,,,2,2,0,0,8,1,,,A
pz19FVsN,23.06.2022 20:00,Al Batin,Damac,2,1,,,,38%,62%,12,17,6,7,5,5,,,5,3,1,1,,,6,4,18,14,253,406,15,14,,,,,0,1,0,0,1,5,,,H
MFvRXCci,23.06.2022 20:00,Al Ettifaq,Al Ittihad,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
tK1vA95p,23.06.2022 20:00,Al Fateh,Al Hilal,0,3,,,,61%,39%,11,14,4,9,3,3,,,5,2,0,2,,,6,4,8,18,453,287,21,15,,,,,4,4,0,1,4,2,,,A
KA0r9TKj,23.06.2022 20:00,Al Hazem,Al Nassr,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
zJrVWWCc,23.06.2022 20:00,Al Taawon,Al Shabab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
OQaDEkcT,23.06.2022 20:00,Al-Faisaly,Al Taee,1,0,,,,57%,43%,7,8,2,2,5,4,,,1,3,1,4,,,2,1,15,14,437,325,19,20,,,,,3,2,0,0,0,2,,,H
6PR1djyo,29.05.2022 20:00,Al Hilal,Abha,2,0,,,,69%,31%,22,9,10,1,5,4,,,10,2,0,8,,,1,8,17,4,678,301,12,18,106,82,95,42,2,2,0,0,7,4,,,H
Gf9hJDrb,29.05.2022 20:00,Al Taee,Al Ittihad,1,0,,,,46%,54%,8,8,3,3,4,4,,,4,5,3,2,,,3,2,16,6,375,425,30,22,95,98,46,44,4,0,0,0,1,1,,,H
l8oV1CDN,29.05.2022 18:20,Al Feiha,Al Taawon,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
AHnR2hbH,29.05.2022 18:15,Damac,Al Fateh,0,3,,,,55%,45%,8,13,2,8,3,5,,,5,6,2,2,,,5,2,11,8,411,337,18,13,76,66,30,35,1,1,0,0,3,0,,,A
fo8dIXc4,28.05.2022 18:20,Al Nassr,Al Ahli SC,1,1,,,,67%,33%,17,7,7,3,2,3,,,7,1,4,4,,,2,6,12,12,399,204,16,15,78,63,66,25,2,3,0,0,8,1,,,D
KSFqLZDo,28.05.2022 18:20,Al-Faisaly,Al Ettifaq,1,1,,,,51%,49%,7,14,2,5,2,7,,,3,5,2,0,,,4,1,18,15,371,356,19,15,62,73,29,34,3,2,0,0,3,2,,,D
WWzz1WST,27.05.2022 20:00,Al Raed,Al Shabab,0,2,,,,40%,60%,6,16,1,7,3,6,,,9,4,3,5,,,5,1,9,10,337,502,21,26,70,111,35,41,1,0,0,0,2,3,,,A
bJEmKgTi,27.05.2022 18:25,Al Hazem,Al Batin,2,3,,,,42%,58%,7,15,3,7,4,6,,,1,6,1,5,,,4,1,15,17,274,357,13,13,57,79,23,43,1,4,1,0,0,2,,,A
SEWt5NNm,23.05.2022 20:00,Al Ittihad,Al Hilal,1,3,,,,41%,59%,14,7,5,3,2,2,,,5,6,3,0,,,0,4,15,14,285,410,20,9,58,76,53,59,2,1,0,0,7,2,,,A
2JqLmMhD,23.05.2022 18:20,Al Feiha,Damac,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
dWuBAq0Q,22.05.2022 20:00,Al Ahli SC,Abha,1,1,,,,56%,44%,21,7,10,4,10,1,,,8,3,2,1,,,3,9,8,13,496,386,14,19,97,91,102,67,3,1,0,0,1,2,,,D
E7j6BPpK,22.05.2022 18:00,Al Fateh,Al Taee,1,2,,,,65%,35%,12,6,6,3,5,2,,,9,6,1,1,,,1,5,13,24,446,240,17,19,86,65,73,41,2,5,0,0,1,1,,,A
GMX2C5VD,21.05.2022 20:00,Al Raed,Al Nassr,0,3,,,,49%,51%,14,12,5,7,4,4,,,5,3,0,2,,,4,5,11,11,366,382,22,24,52,52,32,30,0,2,0,0,5,1,,,A
buSx638s,21.05.2022 18:00,Al Ettifaq,Al Hazem,5,2,,,,43%,57%,16,20,7,6,9,6,,,4,6,0,1,,,4,2,19,14,304,401,12,16,77,64,24,24,4,1,0,0,0,8,,,H
OSpHl2w7,12.05.2022 19:50,Al Shabab,Al-Faisaly,1,0,,,,68%,32%,19,5,6,2,11,2,,,5,1,4,1,,,2,5,17,9,587,269,11,13,85,50,47,10,1,2,0,1,2,1,,,H
6ijCkrO0,12.05.2022 18:20,Al Taawon,Al Batin,1,0,,,,39%,61%,9,9,1,2,7,6,,,4,3,1,0,,,2,0,17,14,322,502,28,19,84,97,60,74,3,2,0,0,1,1,,,H
ttF8QZ8h,11.05.2022 17:55,Al Ettifaq,Al Hilal,0,2,,,,28%,72%,9,19,2,7,6,6,,,5,11,4,3,,,5,2,11,16,223,590,14,14,59,54,18,24,1,0,0,0,1,6,,,A
S0i8jO8f,07.05.2022 19:50,Al Taee,Al Raed,2,2,,,,45%,55%,7,11,3,2,4,4,,,4,9,1,2,,,0,1,16,13,324,365,17,15,87,76,37,44,4,0,0,0,0,5,,,D
Ywh4i4gl,07.05.2022 18:20,Al Hazem,Al Feiha,3,1,,,,58%,42%,15,6,5,2,6,3,,,3,1,1,2,,,1,2,19,13,433,303,18,19,76,84,52,43,2,3,0,0,4,1,,,H
Kzl0hpvr,07.05.2022 18:10,Damac,Al Hilal,2,4,,,,31%,69%,7,27,4,14,2,7,,,1,8,6,2,,,10,2,14,13,230,509,13,11,65,87,38,76,2,2,0,0,1,6,,,A
EgBXdQVQ,06.05.2022 19:50,Al Nassr,Al Shabab,4,2,,,,47%,53%,14,12,9,6,4,3,,,2,6,4,0,,,4,5,7,23,418,463,16,9,94,96,44,66,1,5,0,0,1,3,,,H
z3CTc6GK,06.05.2022 18:10,Abha,Al-Faisaly,0,0,,,,51%,49%,13,7,6,2,7,4,,,4,5,2,3,,,2,6,16,8,429,417,5,7,107,113,74,71,,,0,0,0,1,,,D
SxDPbn1E,06.05.2022 17:50,Al Fateh,Al Ittihad,4,4,,,,59%,41%,12,10,7,6,1,1,,,6,6,2,1,,,2,3,9,17,408,274,14,23,100,80,62,55,1,2,0,0,4,3,,,D
lnELaSo8,05.05.2022 19:50,Al Batin,Al Ahli SC,2,2,,,,42%,58%,6,20,2,7,3,11,,,3,3,0,3,,,5,0,15,18,317,437,13,18,86,115,47,77,2,4,0,0,1,2,,,D
nszwyq97,05.05.2022 18:20,Al Taawon,Al Ettifaq,0,4,,,,58%,42%,19,14,6,7,6,5,,,7,4,1,2,,,3,6,12,11,476,258,20,18,111,110,84,65,4,3,0,0,7,2,,,A
tSZZBzfa,03.05.2022 18:10,Al Feiha,Al Hilal,1,0,,,,28%,72%,5,28,2,3,2,13,,,2,7,1,3,,,3,1,11,9,241,612,19,23,73,114,37,113,2,2,0,0,1,12,12,81,H
URGGsm1s,19.03.2022 16:55,Abha,Al Taawon,1,1,,,,52%,48%,11,12,3,4,5,7,,,5,5,6,3,,,3,2,9,9,411,378,13,11,82,83,40,46,2,3,0,0,3,1,,,D
SIUlnThQ,19.03.2022 16:45,Al Batin,Al Raed,2,0,,,,37%,63%,12,5,6,2,3,3,,,2,1,2,4,,,2,4,16,17,342,562,15,9,62,87,31,32,3,0,0,0,3,0,,,H
YeVpm9wK,18.03.2022 18:50,Al Hilal,Al Ahli SC,4,2,,,,58%,42%,14,14,6,4,6,9,,,3,4,3,0,,,2,2,16,10,512,353,20,14,90,72,62,57,1,1,0,0,2,1,,,H
KhRtlkOD,18.03.2022 17:05,Al Ittihad,Al Hazem,3,0,,,,52%,48%,13,14,8,3,2,7,,,5,5,4,1,,,3,5,16,15,390,369,26,19,107,90,87,56,2,3,0,0,3,4,,,H
GK00ucKD,18.03.2022 17:00,Al Taee,Al Shabab,2,2,,,,41%,59%,9,8,6,3,3,3,,,1,2,5,1,,,1,4,12,12,332,483,17,15,98,114,60,61,2,1,0,0,0,2,,,D
xU1dtw57,17.03.2022 18:50,Al Nassr,Al Feiha,1,0,,,,58%,42%,21,13,10,4,9,6,,,5,7,0,2,,,4,9,14,9,505,350,18,23,69,61,49,36,2,3,0,1,2,3,,,H
8fchsJk1,17.03.2022 16:55,Damac,Al Ettifaq,1,0,,,,55%,45%,15,10,5,2,7,6,,,0,5,2,2,,,2,4,9,17,455,365,18,17,106,102,50,62,3,2,0,1,3,2,,,H
U3blraze,17.03.2022 16:45,Al-Faisaly,Al Fateh,1,0,,,,41%,59%,12,12,4,3,4,6,,,5,7,0,1,,,3,3,13,15,336,470,10,8,62,80,34,65,5,3,0,0,4,3,,,H
z55upL5r,13.03.2022 18:45,Al Shabab,Al Ittihad,0,2,,,,55%,45%,16,15,5,7,8,4,,,6,2,1,4,,,5,5,15,12,473,393,17,19,88,77,71,53,3,4,0,0,3,4,,,A
IPIDl1cR,13.03.2022 16:50,Al Raed,Al Hilal,0,1,,,,22%,78%,4,9,1,4,3,2,,,1,8,4,2,,,3,1,11,7,208,715,20,21,60,121,26,96,1,0,0,0,0,3,,,A
