id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Throw-ins_home,Throw-ins_away,Pass Success %_home,Pass Success %_away,result
rocGM5Vq,07.05.2016 15:00,Avellino,Como,1,1,52%,48%,10,7,6,2,4,5,13,13,6,4,1,3,1,5,12,10,1,0,3,1,,,,,D
40oPKq0d,07.05.2016 15:00,Crotone,Latina,1,1,50%,50%,6,5,3,1,3,4,20,25,2,5,1,1,0,2,24,19,0,0,3,3,,,,,D
rRMkNPIT,07.05.2016 15:00,L.R. Vicenza,Entella,2,1,51%,49%,17,4,9,2,8,2,14,17,4,6,1,0,1,7,16,14,0,1,3,4,,,,,H
hGv7qTxc,07.05.2016 15:00,Livorno,Perugia,1,1,52%,48%,12,8,3,2,9,6,26,13,6,3,2,3,1,2,11,23,0,0,0,3,,,,,D
l4NoO53N,07.05.2016 15:00,Novara,Ascoli,2,0,57%,43%,15,7,9,2,6,5,22,9,9,3,1,3,2,7,8,19,0,0,2,5,,,,,H
EVSFs779,07.05.2016 15:00,Pro Vercelli,Trapani,1,1,55%,45%,13,4,5,2,8,2,16,17,6,5,2,2,1,4,15,14,0,1,4,4,,,,,D
CGoJtRMF,07.05.2016 15:00,Salernitana,Modena,0,0,47%,53%,7,9,2,3,5,6,23,16,2,9,1,3,3,2,15,20,0,1,3,3,,,,,D
pUqRv5iS,07.05.2016 15:00,Ternana,Cesena,1,1,51%,49%,9,21,6,12,3,9,12,26,8,7,0,1,11,5,26,11,0,1,4,3,,,,,D
Q9nLLPpj,06.05.2016 20:30,Bari,Cagliari,0,3,52%,48%,15,15,7,7,8,8,15,15,5,4,1,0,4,7,14,15,0,0,4,3,,,,,A
6qlXWkgi,02.05.2016 20:30,Cesena,Pro Vercelli,2,1,51%,49%,14,4,7,2,7,2,14,16,6,5,1,1,1,5,15,13,0,1,2,2,,,,,H
KnhyW98c,01.05.2016 17:30,Como,Ternana,1,2,47%,53%,11,12,6,7,5,5,21,15,2,11,1,3,5,5,14,18,0,0,4,3,,,,,A
U17pQRYA,30.04.2016 15:00,Ascoli,Salernitana,2,2,40%,60%,6,17,3,5,3,12,15,18,0,8,0,2,3,1,18,13,0,0,3,2,,,,,D
QmBp9n1p,30.04.2016 15:00,Brescia,L.R. Vicenza,0,1,47%,53%,6,24,2,12,4,12,17,22,7,7,1,4,11,2,21,13,1,0,3,1,,,,,A
4vAl86Gj,30.04.2016 15:00,Cagliari,Livorno,2,2,52%,48%,11,6,4,5,7,1,19,20,6,7,3,1,3,2,17,18,1,0,4,5,,,,,D
ADOsPolH,30.04.2016 15:00,Entella,Pescara,0,0,52%,48%,11,10,3,3,8,7,23,17,4,4,1,1,3,3,16,22,0,0,1,1,,,,,D
E9iuVTN3,30.04.2016 15:00,Lanciano,Avellino,1,2,56%,44%,5,16,4,9,1,7,20,13,8,3,1,1,7,3,12,19,1,0,3,6,,,,,A
h0jqUmwA,30.04.2016 15:00,Latina,Spezia,0,0,48%,52%,11,1,4,0,7,1,18,24,5,1,2,0,0,4,22,18,0,0,3,3,,,,,D
C26pSR7M,30.04.2016 15:00,Perugia,Bari,0,0,48%,52%,9,4,1,2,8,2,15,14,3,6,,,2,1,14,15,0,0,4,3,,,,,D
6P5lRoNS,30.04.2016 15:00,Trapani,Novara,0,0,56%,44%,5,10,1,3,4,7,15,20,8,3,7,1,3,1,13,14,0,0,1,2,,,,,D
YB7tT7hG,29.04.2016 20:30,Modena,Crotone,1,1,45%,55%,11,9,8,4,3,5,13,21,5,2,0,0,3,7,21,13,0,0,2,3,,,,,D
ShTcIjvb,25.04.2016 20:30,Novara,Perugia,2,2,53%,47%,17,9,6,4,11,5,21,20,6,2,3,10,2,4,17,11,1,0,1,4,,,,,D
jB8tR7J4,24.04.2016 17:30,Latina,Entella,0,1,49%,51%,13,7,8,3,5,4,13,28,12,2,1,2,2,8,27,11,2,1,6,5,,,,,A
CtV9FlOG,24.04.2016 15:00,Salernitana,Livorno,3,1,48%,52%,13,18,7,10,6,8,12,19,6,7,1,0,9,4,18,12,1,0,1,1,,,,,H
YeJIDShT,23.04.2016 18:00,L.R. Vicenza,Spezia,0,3,51%,49%,14,7,5,4,9,3,16,6,4,4,0,4,1,5,6,12,0,0,,,,,,,A
INo7eTWp,23.04.2016 15:00,Bari,Modena,1,1,54%,46%,8,9,4,3,4,6,16,10,6,4,2,0,2,3,8,16,0,0,2,4,,,,,D
WQZlKC9o,23.04.2016 15:00,Cagliari,Lanciano,1,1,49%,51%,9,8,5,2,4,6,13,22,3,4,2,2,1,4,20,11,0,0,2,1,,,,,D
AHYhJWOi,23.04.2016 15:00,Crotone,Como,2,0,50%,50%,9,13,3,5,6,8,10,16,4,8,0,1,5,1,16,9,0,1,,,,,,,H
6qS1HAg4,23.04.2016 15:00,Pescara,Brescia,2,1,58%,42%,18,8,11,3,7,5,22,8,15,6,1,1,2,9,7,21,1,1,2,4,,,,,H
06R5GU8A,23.04.2016 15:00,Pro Vercelli,Avellino,1,1,50%,50%,12,15,5,7,7,8,16,20,6,3,5,1,6,4,15,15,0,0,1,2,,,,,D
dl9xSm4b,23.04.2016 15:00,Ternana,Ascoli,1,3,53%,47%,7,4,4,4,3,0,16,26,6,1,7,2,1,3,19,14,0,0,4,3,,,,,A
f5KEE8wN,23.04.2016 15:00,Trapani,Cesena,2,1,,,,,,,,,,,,,,,,,,,0,0,,,,,,,H
0MFTT9Zo,19.04.2016 20:30,Ascoli,Bari,0,1,52%,48%,6,4,1,2,5,2,13,17,14,3,1,1,1,1,16,12,1,0,1,3,,,,,A
K6xqOLAJ,19.04.2016 20:30,Avellino,Trapani,1,3,52%,48%,17,9,4,5,13,4,12,20,8,1,2,2,2,3,18,10,1,0,4,1,,,,,A
ro5YSTlh,19.04.2016 20:30,Brescia,Entella,2,0,53%,47%,11,14,6,4,5,10,16,27,3,5,1,3,4,4,26,13,0,0,1,5,,,,,H
GxOEIaYt,19.04.2016 20:30,Como,Cagliari,1,1,39%,61%,6,11,3,4,3,7,19,12,6,9,1,1,3,2,11,18,0,0,3,2,,,,,D
UuSIHJmm,19.04.2016 20:30,Lanciano,Novara,2,1,46%,54%,8,15,7,5,1,10,18,22,9,6,4,0,4,5,18,18,0,0,3,3,,,,,H
C4HNGw3g,19.04.2016 20:30,Livorno,Latina,1,0,59%,41%,18,6,6,1,12,5,31,22,11,1,2,0,1,5,20,31,0,0,3,6,,,,,H
jeGRFcIa,19.04.2016 20:30,Modena,Perugia,3,0,52%,48%,13,7,8,5,5,2,21,8,7,4,1,0,5,5,7,21,0,0,2,3,,,,,H
pWUUEHX5,19.04.2016 20:30,Salernitana,L.R. Vicenza,0,0,44%,56%,14,10,6,3,8,7,11,20,6,3,1,1,3,6,19,10,0,0,5,1,,,,,D
OMTYDymC,19.04.2016 20:30,Spezia,Pescara,0,1,61%,39%,11,5,6,4,5,1,20,15,9,3,2,0,3,6,13,20,0,0,2,2,,,,,A
6oJwDe2I,19.04.2016 20:30,Ternana,Pro Vercelli,2,2,49%,51%,6,8,3,2,3,6,8,16,3,5,1,0,0,1,15,8,0,0,2,0,,,,,D
bcymNuQP,18.04.2016 20:30,Cesena,Crotone,2,1,52%,48%,10,5,5,4,5,1,31,16,6,1,0,2,3,3,16,29,0,0,2,2,,,,,H
OvN4A2tK,16.04.2016 15:00,Bari,Como,3,0,60%,40%,8,10,4,6,4,4,19,11,6,2,1,2,6,1,10,17,0,0,3,3,,,,,H
63C99MeQ,16.04.2016 15:00,Cagliari,Brescia,6,0,65%,35%,12,5,7,1,5,4,16,22,6,4,5,0,1,1,17,16,0,1,2,4,,,,,H
MVGPUkKu,16.04.2016 15:00,Entella,Modena,1,0,59%,41%,5,4,1,2,4,2,20,20,4,11,0,1,2,0,20,19,0,0,1,3,,,,,H
rkg0axYI,16.04.2016 15:00,L.R. Vicenza,Ternana,2,1,49%,51%,9,12,4,3,5,9,16,10,3,11,2,2,2,2,8,14,0,0,0,3,,,,,H
xn3u40Jm,16.04.2016 15:00,Latina,Lanciano,2,2,52%,48%,20,15,10,5,10,10,11,16,10,4,0,2,3,8,16,9,0,0,5,1,,,,,D
Gx2q3KYg,16.04.2016 15:00,Novara,Livorno,2,1,45%,55%,10,14,6,7,4,7,21,30,6,4,4,7,6,4,26,14,0,1,5,5,,,,,H
b1il2vl0,16.04.2016 15:00,Perugia,Avellino,2,0,53%,47%,10,7,3,5,7,2,13,12,5,5,1,0,5,1,11,13,0,0,2,1,,,,,H
4bfd0IIC,16.04.2016 15:00,Pro Vercelli,Salernitana,1,1,67%,33%,13,5,5,3,8,2,21,20,14,1,6,1,2,4,14,20,0,0,2,2,,,,,D
AczK96lU,16.04.2016 15:00,Trapani,Ascoli,4,3,60%,40%,13,8,11,7,2,1,18,17,6,2,4,0,4,7,13,18,0,1,2,5,,,,,H
Ayeh1b36,15.04.2016 21:00,Pescara,Cesena,1,0,54%,46%,7,4,2,1,5,3,22,21,4,6,3,1,1,1,18,21,0,0,4,4,,,,,H
8Cby5t4s,15.04.2016 19:00,Crotone,Spezia,0,0,54%,46%,3,5,3,2,0,3,13,12,2,3,0,0,2,3,12,13,0,0,0,3,,,,,D
pYZxd3RQ,11.04.2016 20:30,Brescia,Perugia,2,2,61%,39%,9,8,3,4,6,4,18,17,4,6,1,5,2,1,16,13,0,0,2,3,,,,,D
4IG9jskl,10.04.2016 17:30,Como,Pro Vercelli,1,1,56%,44%,23,7,9,2,14,5,18,16,6,5,2,2,1,8,14,16,0,0,5,3,,,,,D
