id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,result,Fouls_home,Fouls_away,Pass Success %_home,Pass Success %_away,Blocked Shots_home,Blocked Shots_away,Goal Kicks_home,Goal Kicks_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Completed Passes_home,Completed Passes_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away
OlImmjKB,22.05.2015 20:30,Ternana,Varese,2,0,58%,42%,17.0,3.0,8.0,0.0,9.0,3.0,12.0,17.0,4.0,0.0,2.0,2.0,28.0,29.0,0.0,6.0,0,0,1.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,
URIqlW45,22.05.2015 20:30,Trapani,Pro Vercelli,2,1,47%,53%,6.0,22.0,2.0,8.0,4.0,14.0,,,2.0,6.0,2.0,0.0,,,7.0,1.0,0,0,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,
jHNOd3i8,16.05.2015 18:00,Bari,Brescia,3,2,51%,49%,15.0,16.0,7.0,12.0,8.0,4.0,14.0,17.0,9.0,7.0,0.0,0.0,11.0,20.0,10.0,4.0,0,0,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,
AohEYj5I,16.05.2015 15:00,Avellino,Trapani,1,1,54%,46%,17.0,6.0,7.0,3.0,10.0,3.0,19.0,17.0,8.0,7.0,1.0,2.0,20.0,24.0,2.0,6.0,0,0,3.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,
A5zcveys,16.05.2015 15:00,Catania,Cittadella,2,3,52%,48%,10.0,7.0,4.0,7.0,6.0,0.0,22.0,31.0,5.0,2.0,2.0,0.0,22.0,20.0,4.0,2.0,0,0,5.0,5.0,A,,,,,,,,,,,,,,,,,,,,,,
IVw5xZ5g,16.05.2015 15:00,Entella,Latina,2,0,56%,44%,13.0,8.0,8.0,0.0,5.0,8.0,34.0,13.0,4.0,5.0,0.0,5.0,16.0,33.0,0.0,6.0,0,1,0.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,
O8v1wFjm,16.05.2015 15:00,Frosinone,Crotone,3,1,47%,53%,11.0,14.0,6.0,7.0,5.0,7.0,17.0,21.0,5.0,3.0,0.0,0.0,13.0,19.0,6.0,3.0,1,1,4.0,5.0,H,,,,,,,,,,,,,,,,,,,,,,
xYg6zDz6,16.05.2015 15:00,Lanciano,Spezia,0,2,50%,50%,11.0,14.0,5.0,10.0,6.0,4.0,15.0,18.0,4.0,6.0,0.0,1.0,22.0,22.0,8.0,5.0,0,0,2.0,0.0,A,,,,,,,,,,,,,,,,,,,,,,
zDFy2MiG,16.05.2015 15:00,Livorno,L.R. Vicenza,1,1,42%,58%,5.0,7.0,2.0,5.0,3.0,2.0,10.0,32.0,1.0,7.0,2.0,1.0,28.0,23.0,4.0,1.0,1,0,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,
GOhAZWkC,16.05.2015 15:00,Modena,Ternana,1,2,51%,49%,14.0,14.0,8.0,7.0,6.0,7.0,18.0,16.0,15.0,7.0,1.0,1.0,24.0,27.0,5.0,7.0,1,0,5.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,
21UtYJE7,16.05.2015 15:00,Pro Vercelli,Bologna,1,1,,,,,,,,,,,,,,,,,,,0,0,,,D,,,,,,,,,,,,,,,,,,,,,,
dMx9ygLa,16.05.2015 15:00,Varese,Pescara,2,1,48%,52%,9.0,12.0,6.0,7.0,3.0,5.0,19.0,15.0,6.0,6.0,3.0,3.0,22.0,26.0,6.0,4.0,0,0,2.0,3.0,H,,,,,,,,,,,,,,,,,,,,,,
U7MSeN6E,15.05.2015 20:30,Perugia,AC Carpi,2,0,55%,45%,6.0,6.0,4.0,1.0,2.0,5.0,15.0,21.0,3.0,5.0,1.0,0.0,10.0,32.0,1.0,2.0,0,0,3.0,4.0,H,,,,,,,,,,,,,,,,,,,,,,
r1NUzMUl,10.05.2015 18:00,Crotone,Varese,1,0,54%,46%,6.0,5.0,3.0,3.0,3.0,2.0,23.0,15.0,3.0,0.0,2.0,1.0,35.0,26.0,3.0,2.0,0,1,2.0,4.0,H,,,,,,,,,,,,,,,,,,,,,,
OAVxZaa1,09.05.2015 15:00,AC Carpi,Lanciano,0,0,54%,46%,4.0,9.0,0.0,4.0,4.0,5.0,13.0,15.0,2.0,5.0,1.0,0.0,27.0,23.0,4.0,0.0,0,0,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,
tY0aLtV1,09.05.2015 15:00,Bologna,Avellino,1,1,53%,47%,13.0,5.0,7.0,1.0,6.0,4.0,23.0,19.0,4.0,6.0,1.0,4.0,31.0,23.0,0.0,6.0,1,0,5.0,5.0,D,,,,,,,,,,,,,,,,,,,,,,
dtqnqpN8,09.05.2015 15:00,Brescia,Catania,4,2,56%,44%,8.0,12.0,5.0,8.0,3.0,4.0,11.0,17.0,12.0,2.0,0.0,2.0,12.0,22.0,6.0,1.0,0,0,1.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,
j3rjr4xF,09.05.2015 15:00,Cittadella,Frosinone,1,1,53%,47%,14.0,7.0,7.0,4.0,7.0,3.0,18.0,20.0,8.0,4.0,0.0,0.0,21.0,17.0,3.0,6.0,0,0,4.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
rwurpQ72,09.05.2015 15:00,Latina,Bari,2,0,45%,55%,12.0,14.0,4.0,6.0,8.0,8.0,18.0,22.0,7.0,6.0,1.0,0.0,19.0,35.0,6.0,2.0,0,0,3.0,3.0,H,,,,,,,,,,,,,,,,,,,,,,
nVyatr7R,09.05.2015 15:00,Pescara,Perugia,2,2,50%,50%,11.0,11.0,9.0,7.0,2.0,4.0,18.0,21.0,2.0,5.0,1.0,0.0,11.0,17.0,5.0,7.0,0,2,4.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
hlQW22xA,09.05.2015 15:00,Spezia,L.R. Vicenza,0,0,50%,50%,9.0,7.0,1.0,3.0,8.0,4.0,14.0,28.0,6.0,2.0,2.0,2.0,19.0,31.0,3.0,1.0,0,0,3.0,4.0,D,,,,,,,,,,,,,,,,,,,,,,
lvOQy2Fr,09.05.2015 15:00,Ternana,Pro Vercelli,0,1,50%,50%,16.0,9.0,8.0,5.0,8.0,4.0,16.0,17.0,6.0,1.0,1.0,2.0,34.0,18.0,4.0,8.0,1,0,4.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,
UgsfsOiL,09.05.2015 15:00,Trapani,Modena,3,0,50%,50%,12.0,11.0,4.0,3.0,8.0,8.0,21.0,20.0,2.0,9.0,2.0,3.0,22.0,24.0,3.0,2.0,0,0,4.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,
tntYZupe,08.05.2015 20:30,Livorno,Entella,2,1,54%,46%,13.0,8.0,7.0,5.0,6.0,3.0,12.0,20.0,8.0,7.0,0.0,1.0,39.0,20.0,4.0,5.0,0,1,4.0,4.0,H,,,,,,,,,,,,,,,,,,,,,,
6iU3W6w3,03.05.2015 18:00,Modena,AC Carpi,1,2,55%,45%,15.0,11.0,10.0,5.0,5.0,6.0,13.0,20.0,11.0,3.0,1.0,1.0,25.0,15.0,3.0,9.0,1,1,3.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,
GQ3mOroq,03.05.2015 15:00,Avellino,Pescara,3,2,53%,47%,12.0,14.0,7.0,7.0,5.0,7.0,21.0,19.0,5.0,6.0,2.0,1.0,21.0,26.0,5.0,4.0,0,0,4.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,
