id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
AkQ5ZNvG,13.05.2023 14:00,Benevento,Modena,2,1,1.39,1.74,42%,58%,13,21,5,4,4,10,4,7,20,11,7,2,1,2,9,27,3,3,17,10,3,2,390,548,295,447,16,12,103,104,39,58,0,0,H
0zXxSuXk,13.05.2023 14:00,Brescia,Pisa,1,1,1.14,1.16,49%,51%,11,12,3,3,2,6,6,3,17,17,3,5,2,1,30,10,2,2,16,13,3,5,333,344,223,239,7,10,103,86,43,39,0,0,D
OhU9YsfM,13.05.2023 14:00,Cagliari,Palermo,2,1,1.04,1.00,54%,46%,14,17,7,3,5,8,2,6,11,15,7,9,1,0,25,26,2,5,9,16,3,3,430,355,345,271,11,10,104,111,49,56,0,1,H
hUJOkqPd,13.05.2023 14:00,Como,Ternana,3,1,1.53,0.93,48%,52%,21,11,6,4,9,4,6,3,10,15,6,3,1,3,14,19,3,3,5,12,2,3,359,390,273,299,10,12,92,115,39,45,0,1,H
IFTDX19S,13.05.2023 14:00,Spal,Parma,0,1,1.87,1.60,49%,51%,20,16,5,4,9,7,6,5,10,12,5,6,4,2,7,14,3,5,8,10,1,2,445,463,359,383,16,14,74,115,31,70,0,0,A
K0XhxQfc,13.05.2023 14:00,Sudtirol,Cittadella,1,1,0.81,0.81,50%,50%,9,11,4,2,4,3,1,6,17,17,3,2,1,2,19,20,1,3,14,16,5,4,404,414,305,314,10,9,104,92,43,46,0,0,D
KOFuTLHq,13.05.2023 14:00,Venezia,Perugia,3,2,2.34,3.11,58%,42%,10,14,5,4,4,6,1,4,17,11,6,6,3,3,25,26,2,2,9,13,1,3,452,324,364,244,15,14,97,93,42,58,0,1,H
CxZOkO7a,07.05.2023 16:15,Parma,Brescia,2,0,1.46,0.80,40%,60%,8,11,3,6,3,5,2,0,16,14,4,6,1,4,18,25,6,1,13,10,3,3,350,528,275,446,19,14,65,127,38,36,0,0,H
vik5VgMp,06.05.2023 16:15,Palermo,Spal,2,1,1.22,0.59,38%,62%,10,11,5,3,3,8,2,0,13,14,5,5,2,1,17,21,2,3,11,11,2,2,336,555,260,472,14,18,84,124,46,59,0,0,H
IFZKj4hg,06.05.2023 14:00,Cittadella,Benevento,3,1,1.39,1.35,51%,49%,20,15,12,2,5,10,3,3,21,17,3,5,0,2,24,12,1,9,16,18,3,3,348,327,248,225,8,20,107,90,52,33,0,0,H
tAYlw6ui,06.05.2023 14:00,Cosenza,Venezia,1,1,1.94,1.33,54%,46%,19,11,4,5,13,4,2,2,15,11,7,6,2,1,23,17,4,3,8,13,2,1,433,374,354,290,14,14,108,99,62,35,0,0,D
MmtChQNt,06.05.2023 14:00,Genoa,Ascoli,2,1,3.12,0.67,48%,52%,17,12,8,2,5,6,4,4,14,20,8,1,4,1,20,22,1,6,16,13,2,2,369,399,274,314,12,17,85,109,44,26,0,0,H
4CVGipwm,06.05.2023 14:00,Modena,Bari,1,1,1.68,0.60,46%,54%,13,12,5,3,7,6,1,3,13,14,7,7,0,1,18,22,2,4,13,13,3,2,376,453,298,388,20,15,118,107,62,40,0,0,D
neRymMiI,06.05.2023 14:00,Pisa,Frosinone,1,3,0.91,0.77,50%,50%,19,9,7,4,8,3,4,2,13,14,3,2,1,2,19,15,1,6,14,11,2,3,396,415,304,319,13,26,113,96,58,29,0,0,A
84SXm2xC,06.05.2023 14:00,Reggio Calabria,Como,2,1,1.92,0.60,43%,57%,17,12,4,1,10,6,3,5,20,17,6,8,1,9,21,22,0,2,16,11,1,3,283,369,214,291,8,9,65,85,28,38,1,0,H
xx88UDyi,06.05.2023 14:00,Ternana,Sudtirol,0,1,0.53,1.37,54%,46%,12,17,1,3,4,9,7,5,10,15,5,8,0,1,25,28,2,1,15,10,3,1,409,352,333,260,19,18,129,78,45,41,0,0,A
jTXSlrN5,05.05.2023 20:30,Perugia,Cagliari,0,5,1.38,2.01,60%,40%,19,12,4,6,9,6,6,0,14,16,8,3,5,1,37,15,1,4,13,15,3,1,434,302,338,211,13,17,122,74,90,33,0,0,A
hY52YMxP,01.05.2023 20:30,Frosinone,Reggio Calabria,3,1,1.59,0.71,48%,52%,12,9,5,3,7,6,,,,,4,6,2,0,,,2,2,8,8,1,1,,,,,,,118,77,48,48,0,1,H
p2FswoOg,01.05.2023 18:00,Venezia,Modena,5,0,3.69,0.66,52%,48%,19,10,9,1,10,9,,,,,8,5,1,2,,,1,4,9,8,2,2,,,,,,,85,95,35,31,0,0,H
Es7bZ2NI,01.05.2023 15:00,Ascoli,Pisa,2,1,1.01,0.73,53%,47%,16,12,7,4,9,8,,,,,9,1,3,0,,,3,5,9,18,3,4,,,,,,,110,89,56,39,0,0,H
WfZ6qmoQ,01.05.2023 15:00,Bari,Cittadella,1,1,0.61,1.41,39%,61%,9,19,3,7,6,12,,,,,4,9,0,0,,,6,2,11,14,1,3,,,,,,,84,111,31,63,0,0,D
IFDkyPh6,01.05.2023 15:00,Benevento,Parma,2,2,1.36,2.65,58%,42%,18,17,6,6,12,11,,,,,7,5,5,0,,,4,4,13,17,3,1,,,,,,,97,100,55,35,0,1,D
lzMYv7gs,01.05.2023 15:00,Brescia,Cosenza,2,1,1.11,0.91,49%,51%,15,9,7,4,8,5,,,,,4,5,0,1,,,3,5,12,13,1,0,,,,,,,113,107,35,31,0,0,H
SQKxvR8m,01.05.2023 15:00,Sudtirol,Genoa,0,0,1.03,0.50,36%,64%,10,11,4,2,6,9,,,,,5,6,1,0,,,2,4,8,11,0,1,,,,,,,84,140,27,63,0,0,D
OhEox5w0,01.05.2023 12:30,Como,Palermo,1,1,1.72,1.88,43%,57%,14,14,3,3,11,11,,,,,5,9,0,3,,,2,2,10,15,2,1,,,,,,,86,108,31,48,0,0,D
Kvfpc6FP,30.04.2023 16:15,Cagliari,Ternana,2,1,2.45,0.36,58%,42%,15,10,7,3,8,7,,,,,5,5,1,1,,,2,5,15,17,3,2,,,,,,,111,97,57,50,0,1,H
WIHgzq8C,30.04.2023 16:15,Spal,Perugia,1,1,1.22,1.37,64%,36%,12,14,5,3,7,11,,,,,6,7,3,1,,,2,4,8,12,3,3,,,,,,,128,93,61,43,0,0,D
v1ATVTGQ,23.04.2023 16:15,Pisa,Bari,1,2,0.07,0.14,30%,70%,8,17,3,5,5,5,0,7,15,12,2,10,0,4,11,24,3,2,12,13,5,2,224,510,152,429,15,13,87,115,20,55,2,0,A
KKV2pTVJ,23.04.2023 16:15,Ternana,Venezia,1,4,0.00,0.03,58%,42%,13,14,5,7,6,4,2,3,11,15,2,4,2,1,19,11,3,4,14,10,3,3,490,349,399,260,17,16,109,67,44,35,0,0,A
tAdeRmPs,22.04.2023 16:15,Palermo,Benevento,1,1,,,55%,45%,18,16,9,5,6,6,3,5,13,13,7,11,1,1,21,24,4,8,12,12,1,3,456,357,368,284,15,19,115,92,46,38,0,0,D
AklCN5O6,22.04.2023 14:00,Cittadella,Genoa,0,1,0.53,0.29,35%,65%,9,15,2,3,3,10,4,2,19,16,5,5,3,0,28,19,2,2,13,19,8,3,302,564,200,468,11,12,72,123,40,58,1,0,A
CvvXW91K,22.04.2023 14:00,Como,Ascoli,1,1,0.87,0.27,50%,50%,17,11,2,5,7,3,8,3,17,15,6,2,4,1,21,17,4,1,12,18,1,3,305,325,224,243,14,11,96,87,44,36,0,0,D
IFiKLqgJ,22.04.2023 14:00,Frosinone,Sudtirol,0,0,0.32,0.26,66%,34%,19,10,8,3,6,4,5,3,11,9,10,2,1,1,25,23,3,8,8,9,0,1,598,316,521,229,4,18,145,72,66,21,0,0,D
vPhGMPwD,22.04.2023 14:00,Modena,Spal,0,0,0.28,0.29,53%,47%,13,14,0,4,9,9,4,1,14,19,9,4,2,2,19,15,4,0,18,13,1,1,327,310,225,239,14,14,98,84,65,28,0,0,D
lz03PRgf,22.04.2023 14:00,Parma,Cagliari,2,1,0.57,0.52,50%,50%,14,12,5,5,7,5,2,2,21,18,3,5,1,5,15,26,4,3,15,20,5,4,388,378,329,319,13,13,77,91,54,63,0,0,H
Wbk8Oo90,22.04.2023 14:00,Perugia,Cosenza,0,0,0.18,0.09,49%,51%,12,6,1,1,5,3,6,2,28,17,3,4,2,5,39,24,1,1,11,15,4,3,363,391,259,278,14,19,125,93,50,38,0,1,D
zXeaQ7vl,21.04.2023 20:30,Reggio Calabria,Brescia,1,2,1.39,2.78,61%,39%,18,11,5,5,3,5,10,1,16,18,7,9,2,2,24,13,3,4,15,15,1,2,501,312,418,213,11,15,129,91,57,33,1,2,A
6smsAnf7,16.04.2023 16:15,Ternana,Pisa,2,1,,,59%,41%,12,4,5,2,5,2,2,0,19,14,8,0,3,1,27,21,1,3,11,18,3,1,447,327,339,209,15,25,147,87,62,17,0,0,H
x2eQDUfr,15.04.2023 16:15,Cagliari,Frosinone,0,0,,,56%,44%,10,12,2,6,6,3,2,3,19,24,7,3,1,2,21,22,6,2,23,15,1,4,387,313,291,216,15,11,107,94,69,41,0,0,D
YmuTXknE,15.04.2023 14:00,Ascoli,Sudtirol,1,0,,,62%,38%,25,4,9,2,9,1,7,1,12,15,10,3,0,1,32,31,2,8,15,12,6,4,409,252,326,147,14,23,141,96,61,32,0,0,H
WKIcIAnR,15.04.2023 14:00,Bari,Como,2,2,,,68%,32%,16,10,4,5,8,5,4,0,8,13,9,6,3,0,28,15,3,2,10,8,2,3,606,280,529,200,10,11,145,69,75,35,0,0,D
Kpio969D,15.04.2023 14:00,Benevento,Reggio Calabria,1,1,,,57%,43%,18,8,2,2,9,5,7,1,26,13,3,2,1,1,26,27,1,1,11,26,1,1,420,324,328,218,13,9,134,91,57,43,0,0,D
KpFgJjXK,15.04.2023 14:00,Cosenza,Cittadella,1,1,,,38%,62%,4,11,2,4,1,5,1,2,21,14,3,8,4,1,22,29,3,1,10,20,1,2,290,471,198,374,15,17,74,122,33,56,0,0,D
OIcxBSv1,15.04.2023 14:00,Genoa,Perugia,2,0,,,62%,38%,18,10,8,0,6,7,4,3,22,12,5,6,2,1,28,24,0,6,10,21,0,3,538,319,451,215,20,17,113,106,51,54,0,0,H
QNFkKWHE,15.04.2023 14:00,Spal,Brescia,2,2,,,50%,50%,18,10,5,7,8,2,5,1,18,13,4,4,1,1,26,22,5,3,11,17,2,2,361,368,267,263,11,12,110,93,33,36,0,0,D
GhfUClAl,15.04.2023 14:00,Venezia,Palermo,3,2,,,43%,57%,7,13,5,4,0,4,2,5,12,14,6,3,6,3,15,20,2,2,9,10,0,2,343,460,260,366,16,17,112,96,44,53,0,0,H
pSbYB8Pf,14.04.2023 20:30,Modena,Parma,1,1,,,39%,61%,12,11,2,5,7,6,3,0,15,15,5,1,3,4,24,18,4,1,12,11,0,1,361,568,257,481,18,16,106,106,42,37,0,0,D
4AIIHwdG,10.04.2023 20:30,Palermo,Cosenza,0,0,,,61%,39%,12,10,2,2,5,8,5,0,14,17,7,6,0,2,19,11,2,2,17,13,4,3,496,319,404,237,13,10,121,86,56,35,0,0,D
dpJEIJtA,10.04.2023 18:00,Pisa,Cagliari,0,0,,,42%,58%,10,13,2,2,3,7,5,4,18,16,5,7,2,6,22,38,2,2,14,12,2,0,303,402,193,303,17,12,80,121,33,88,0,0,D
AFX2dTP7,10.04.2023 15:00,Brescia,Ternana,1,0,,,46%,54%,13,17,5,4,4,9,4,4,12,20,3,4,1,2,18,26,4,4,18,11,3,1,360,420,275,344,13,6,70,110,42,73,0,0,H
x2Zfbkee,10.04.2023 15:00,Cittadella,Parma,0,1,,,53%,47%,10,10,1,3,5,4,4,3,22,18,2,2,4,1,37,33,2,1,14,21,3,2,376,354,226,229,22,18,135,101,71,28,0,0,A
