id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
SpBiXLdm,07.05.2021 14:00,Venezia,Pordenone,0,0,63%,37%,14,10,4,2,9,6,1,2,6,2,2,2,2,4,16,13,0,0,4,1,546,319,15,16,108,81,65,49,,,,,D
tzEi21cD,04.05.2021 14:00,Chievo,Cremonese,1,1,41%,59%,11,12,2,3,6,7,3,2,8,6,7,3,2,1,12,12,0,0,1,2,308,460,14,7,65,117,39,60,,,,,D
YNkIIMsf,04.05.2021 14:00,Cittadella,Entella,1,0,64%,36%,20,7,2,4,11,1,7,2,7,3,2,2,4,1,22,18,0,1,1,2,554,317,28,10,143,66,88,29,,,,,H
2qFm3sr7,04.05.2021 14:00,Empoli,Cosenza,4,0,53%,47%,15,7,7,1,6,4,2,2,5,3,1,2,1,3,12,6,0,0,2,1,505,449,6,14,115,82,49,24,,,,,H
Y9Aq4NS0,04.05.2021 14:00,L.R. Vicenza,Brescia,0,3,40%,60%,10,9,6,3,4,4,0,2,6,3,1,2,0,6,11,18,0,0,2,3,354,557,12,6,82,124,36,50,,,,,A
tQAwQ4kK,04.05.2021 14:00,Monza,Lecce,1,0,51%,49%,9,18,2,3,6,9,1,6,2,6,4,3,3,1,12,20,0,0,1,1,484,437,17,18,109,108,41,63,,,,,H
zmAsPO4Q,04.05.2021 14:00,Pescara,Reggiana,1,0,41%,59%,11,13,5,3,2,6,4,4,4,7,1,0,3,4,17,16,0,0,4,1,349,509,8,27,71,133,43,82,,,,,H
fXjEJ2Sm,04.05.2021 14:00,Pisa,Venezia,2,2,43%,57%,21,16,7,5,11,9,3,2,3,7,0,3,3,5,19,16,1,0,5,2,318,409,9,17,99,104,35,45,,,,,D
xdd9KrDs,04.05.2021 14:00,Pordenone,Salernitana,1,2,62%,38%,14,11,5,3,4,5,5,3,7,4,4,0,1,4,17,22,0,0,2,4,429,252,8,20,126,82,46,50,,,,,A
fJBu53Df,04.05.2021 14:00,Reggio Calabria,Ascoli,2,2,52%,48%,10,14,3,9,4,3,3,2,6,6,4,4,7,1,23,20,0,0,3,4,318,307,14,16,105,82,39,22,,,,,D
