id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
Iuce2nuN,06.03.2021 16:00,Venezia,Brescia,0,1,53%,47%,18,13,9,4,3,7,6,2,9,4,3,1,3,9,11,18,1,0,2,4,451,412,7,14,68,76,34,44,,,,,A
xQwSdQ2p,06.03.2021 14:00,Cosenza,Frosinone,1,2,42%,58%,9,19,2,11,3,4,4,4,10,10,2,0,9,1,16,17,0,0,5,2,327,452,21,13,85,104,37,42,,,,,A
29IQHRvA,06.03.2021 14:00,Cremonese,Salernitana,0,1,67%,33%,14,7,3,3,5,2,6,2,4,1,0,3,2,3,8,20,0,0,2,1,515,262,21,29,150,98,82,45,,,,,A
OIci3SPG,06.03.2021 14:00,Entella,Ascoli,0,0,52%,48%,9,21,4,7,5,8,0,6,2,7,1,2,7,4,15,17,0,2,3,4,441,388,17,11,96,108,45,57,,,,,D
WrNUGofG,06.03.2021 14:00,Pescara,Spal,0,1,47%,53%,17,8,1,4,6,2,10,2,11,4,3,2,3,1,13,23,1,0,4,3,461,531,8,15,105,136,38,40,,,,,A
OIJMI7P3,06.03.2021 14:00,Pisa,Reggio Calabria,0,0,52%,48%,17,11,2,3,7,6,8,2,4,6,0,5,3,2,19,20,0,0,1,0,343,318,12,14,116,77,36,44,,,,,D
j5wEk9eH,02.03.2021 21:00,L.R. Vicenza,Cremonese,3,1,37%,63%,17,16,7,5,6,5,4,6,3,4,6,3,4,4,13,18,0,0,1,1,334,583,6,15,97,134,35,69,,,,,H
2q7W7jBo,02.03.2021 19:00,Ascoli,Pisa,0,2,59%,41%,7,12,1,4,3,6,3,2,9,3,1,0,2,1,18,24,0,0,5,1,418,293,11,29,115,89,68,21,,,,,A
YTr9jktB,02.03.2021 19:00,Brescia,Cosenza,2,0,55%,45%,19,10,5,4,8,3,6,3,8,5,2,1,4,3,10,5,0,1,2,2,515,440,14,15,113,111,60,40,,,,,H
tz6z7AQi,02.03.2021 19:00,Chievo,Pordenone,3,0,51%,49%,6,13,3,3,3,7,0,3,4,7,1,1,3,0,17,10,0,0,2,2,469,444,9,17,67,173,20,58,,,,,H
0vTmq7Yp,02.03.2021 19:00,Cittadella,Pescara,0,1,62%,38%,7,7,3,1,1,4,3,2,5,0,0,2,0,3,19,17,0,0,3,3,531,324,24,15,163,74,64,29,,,,,A
AFgm48AA,02.03.2021 19:00,Lecce,Entella,0,0,69%,31%,20,7,7,0,8,5,5,2,9,2,4,1,0,7,9,14,0,0,3,4,623,288,9,13,170,77,77,22,,,,,D
UexIlTAN,02.03.2021 19:00,Reggio Calabria,Empoli,0,3,52%,48%,13,19,2,7,6,8,5,4,2,5,4,1,4,2,14,17,0,0,0,3,453,421,18,14,106,87,47,58,,,,,A
Sj4r5le4,02.03.2021 19:00,Salernitana,Spal,0,0,40%,60%,13,8,4,3,7,4,2,1,3,4,1,0,3,4,18,13,0,0,1,1,293,461,10,13,101,120,57,43,,,,,D
OIyMmmQT,02.03.2021 17:00,Frosinone,Monza,2,2,50%,50%,18,12,9,4,5,3,4,5,5,2,2,0,2,7,15,20,0,0,4,3,428,437,10,15,99,115,53,39,,,,,D
l05v6Uub,01.03.2021 21:00,Venezia,Reggiana,2,1,57%,43%,15,11,6,4,5,4,4,3,8,4,1,3,3,4,16,23,0,0,3,2,418,336,6,21,120,98,60,52,,,,,H
K8TUkIk0,27.02.2021 18:00,Entella,Brescia,1,1,48%,52%,14,8,6,3,4,4,4,1,9,3,1,2,2,5,10,16,0,0,1,1,399,445,10,12,107,82,41,56,,,,,D
GzNwldKC,27.02.2021 16:00,Monza,Cittadella,0,0,49%,51%,8,10,1,2,5,4,2,4,8,9,3,2,2,1,15,20,0,0,2,4,443,468,10,19,82,117,32,72,,,,,D
YBXYlx56,27.02.2021 14:00,Cosenza,Chievo,1,0,32%,68%,6,19,1,8,5,8,0,3,1,5,0,1,8,0,10,8,0,0,2,0,297,597,22,7,75,147,29,61,,,,,H
fRLsmGZI,27.02.2021 14:00,Cremonese,Frosinone,4,0,41%,59%,8,11,5,5,2,4,1,2,3,7,2,2,5,1,24,13,2,0,5,5,303,434,14,14,76,106,25,53,,,,,H
tGwkeDRu,27.02.2021 14:00,Pescara,Lecce,1,1,46%,54%,9,9,4,3,3,2,2,4,3,3,2,2,2,3,11,9,0,0,1,1,466,545,9,13,109,124,38,57,,,,,D
K6xgfXtn,27.02.2021 14:00,Pisa,L.R. Vicenza,2,2,54%,46%,8,15,2,8,2,7,4,0,0,7,0,2,6,0,17,18,0,0,5,1,379,326,20,18,119,93,31,47,,,,,D
QoUQjbzf,27.02.2021 14:00,Pordenone,Ascoli,1,1,39%,61%,7,10,1,5,4,4,2,1,4,5,2,3,4,0,23,12,0,0,3,1,307,482,23,17,105,132,34,48,,,,,D
2VRcgidh,27.02.2021 14:00,Spal,Reggio Calabria,1,4,46%,54%,11,17,3,10,4,4,4,3,4,6,1,4,6,2,14,24,1,0,3,4,360,414,13,8,84,99,41,43,,,,,A
fwp5iVQ4,26.02.2021 21:00,Empoli,Venezia,1,1,61%,39%,15,3,4,3,9,0,2,0,7,1,2,2,2,3,15,11,0,0,1,1,589,387,16,15,167,89,70,23,,,,,D
0Gp1hBBb,26.02.2021 19:00,Reggiana,Salernitana,0,0,65%,35%,8,13,3,4,2,5,3,4,4,4,1,1,4,3,11,15,0,0,1,1,555,279,15,18,122,108,26,56,,,,,D
QPhjvLjl,21.02.2021 21:00,Lecce,Cosenza,3,1,51%,49%,15,5,5,3,6,1,4,1,2,4,4,5,2,2,14,11,0,0,2,2,485,464,9,13,132,103,40,38,,,,,H
dAOkaMSD,21.02.2021 15:00,Reggio Calabria,Pordenone,1,0,53%,47%,8,11,1,0,4,5,3,6,2,5,4,1,0,0,14,18,0,0,2,2,386,321,14,11,85,129,28,74,,,,,H
nusaxaL0,20.02.2021 18:00,Pisa,Empoli,1,1,41%,59%,15,19,4,3,10,13,1,3,3,5,4,2,2,3,14,9,0,0,,,326,464,10,14,91,126,31,61,,,,,D
GEo3yJz7,20.02.2021 16:00,Chievo,Monza,0,1,51%,49%,6,5,1,2,3,2,2,1,7,3,3,0,1,1,13,26,1,0,2,3,473,467,14,9,128,96,57,25,,,,,A
4zScc0cQ,20.02.2021 14:00,Ascoli,Salernitana,0,2,69%,31%,16,12,4,4,5,7,7,1,6,3,2,3,2,4,13,16,0,0,1,3,606,265,16,18,141,89,70,43,,,,,A
8lrewu6f,20.02.2021 14:00,Brescia,Cremonese,1,2,49%,51%,7,17,2,6,3,6,2,5,2,8,5,0,4,1,15,21,0,0,0,3,426,444,12,4,105,109,35,58,,,,,A
ADSgbtrK,20.02.2021 14:00,Cittadella,Reggiana,0,3,59%,41%,15,13,4,6,8,6,3,1,10,3,2,4,3,4,18,18,0,0,3,1,495,373,16,24,138,99,66,20,,,,,A
6qEPhK5s,20.02.2021 14:00,L.R. Vicenza,Spal,2,2,45%,55%,15,11,6,6,6,3,3,2,5,6,3,0,4,4,21,19,0,0,5,3,332,425,12,20,126,120,60,39,,,,,D
neVMivLm,20.02.2021 14:00,Venezia,Entella,3,2,62%,38%,19,11,6,4,8,5,5,2,2,1,5,1,2,3,21,27,0,1,5,3,429,272,6,18,112,79,48,25,,,,,H
f5p7zwjD,19.02.2021 21:00,Frosinone,Pescara,0,0,59%,41%,13,6,1,2,7,2,5,2,4,1,1,2,2,1,17,18,0,0,2,3,566,393,9,12,153,72,58,26,,,,,D
dA2KqsTQ,15.02.2021 21:00,Cosenza,Reggio Calabria,2,2,56%,44%,20,13,8,5,7,5,5,3,12,4,1,1,3,6,17,21,0,0,4,4,421,343,16,21,126,107,47,32,,,,,D
YVTCQ1Ml,14.02.2021 18:00,Brescia,Chievo,1,0,51%,49%,10,22,3,3,4,13,3,6,3,12,0,0,3,2,18,12,0,0,1,2,472,421,9,12,120,130,33,69,,,,,H
veF9Rs7r,14.02.2021 17:05,Reggiana,Ascoli,1,0,47%,53%,6,20,2,9,1,5,3,6,4,9,1,1,9,1,21,13,0,1,5,3,366,402,33,24,86,113,35,49,,,,,H
8lMPNa67,14.02.2021 15:00,Entella,Frosinone,2,3,54%,46%,14,10,5,4,7,4,2,2,5,3,0,1,1,3,15,20,0,0,4,3,424,355,4,14,106,83,52,21,,,,,A
foILOui1,13.02.2021 16:00,Spal,Empoli,1,1,45%,55%,10,15,3,3,3,6,4,6,3,6,3,1,2,2,17,13,0,0,2,1,430,521,13,13,128,138,41,66,,,,,D
MiA7nqq8,13.02.2021 14:00,Cremonese,Lecce,1,2,53%,47%,14,13,5,3,4,5,5,5,3,2,0,8,2,4,9,19,1,0,2,3,473,415,23,24,66,48,32,24,,,,,A
Ekknu1yr,13.02.2021 14:00,Pescara,Venezia,0,2,44%,56%,9,12,3,5,6,4,0,3,4,12,3,0,3,3,12,17,0,0,3,2,369,478,19,12,43,55,12,42,,,,,A
CMSGPLye,13.02.2021 14:00,Pordenone,Cittadella,0,1,46%,54%,11,15,3,3,4,6,4,6,6,7,2,2,2,3,11,20,0,0,1,1,321,391,28,18,52,66,27,34,,,,,A
0r9Bo3bE,13.02.2021 12:00,Salernitana,L.R. Vicenza,1,1,33%,67%,8,16,3,3,4,8,1,5,3,4,3,0,2,2,18,15,0,0,1,1,247,507,13,12,54,83,16,33,,,,,D
IJ3GpNDK,12.02.2021 21:00,Monza,Pisa,0,2,60%,40%,15,14,4,5,6,7,5,2,5,3,4,0,3,4,19,21,0,0,3,3,482,332,16,16,136,79,91,23,,,,,A
tKZYXqUE,10.02.2021 21:00,Chievo,Reggiana,1,0,57%,43%,16,9,7,3,6,2,3,4,7,11,3,2,3,6,14,10,0,0,1,1,446,320,15,22,133,87,62,39,,,,,H
xnTsWNbR,10.02.2021 19:00,Reggio Calabria,Entella,1,0,45%,55%,12,9,3,3,7,2,2,4,8,5,3,2,3,2,26,14,0,0,4,1,285,350,13,13,109,98,27,52,,,,,H
jV6tSgtd,09.02.2021 21:00,Ascoli,Frosinone,1,1,54%,46%,15,5,4,1,7,3,4,1,4,5,1,0,0,3,19,18,1,1,2,3,436,364,15,18,110,93,56,50,,,,,D
pY3YTFBq,09.02.2021 19:00,Cittadella,Cosenza,1,1,46%,54%,15,12,5,3,4,6,6,3,6,5,1,0,2,4,18,8,0,0,6,4,373,432,16,18,141,92,51,48,,,,,D
86yRZ5a2,09.02.2021 19:00,Empoli,Pescara,2,2,72%,28%,23,9,6,6,9,3,8,0,9,3,1,3,4,4,11,20,0,0,1,3,583,225,15,22,151,62,67,24,,,,,D
UL5pRDe2,09.02.2021 19:00,L.R. Vicenza,Monza,1,2,52%,48%,13,14,3,5,5,6,5,3,2,6,6,3,3,2,23,14,0,0,5,1,430,391,20,10,111,99,44,39,,,,,A
viR5Ye3S,09.02.2021 19:00,Lecce,Brescia,2,2,44%,56%,12,9,5,3,6,5,1,1,6,3,5,1,1,3,9,20,0,0,1,1,386,493,19,13,101,123,37,47,,,,,D
fNwwX3qL,09.02.2021 19:00,Pisa,Salernitana,2,2,59%,41%,15,12,7,6,8,4,0,2,6,1,4,4,4,5,12,18,0,0,3,3,416,281,6,10,99,114,51,46,,,,,D
nczVYPE8,09.02.2021 19:00,Spal,Pordenone,1,3,64%,36%,9,14,1,6,4,4,4,4,7,3,2,2,3,0,19,20,0,0,3,2,524,288,8,9,115,71,39,48,,,,,A
d87xTZQk,09.02.2021 19:00,Venezia,Cremonese,3,1,43%,57%,7,21,3,4,4,10,0,7,3,9,5,0,3,0,14,22,0,0,3,3,355,457,15,13,70,131,31,61,,,,,H
00S1ZylM,07.02.2021 21:00,Reggiana,Entella,2,1,48%,52%,13,15,5,3,8,8,0,4,4,5,5,1,2,3,17,13,0,0,3,2,329,356,18,15,111,97,39,62,,,,,H
r5s3EzCd,06.02.2021 18:00,Pordenone,L.R. Vicenza,1,2,54%,46%,12,16,6,7,5,5,1,4,6,5,0,2,5,5,19,25,0,0,2,4,365,317,10,15,123,84,59,38,,,,,A
4EraFGdj,06.02.2021 16:00,Monza,Empoli,1,1,61%,39%,23,11,5,2,6,7,12,2,11,5,4,3,1,4,13,15,0,1,1,3,498,321,10,11,133,67,68,35,,,,,D
O2R1Gdsp,06.02.2021 14:00,Brescia,Cittadella,3,3,41%,59%,19,23,7,6,8,14,4,3,5,7,2,2,3,4,15,10,1,0,4,1,329,461,10,7,94,126,35,72,,,,,D
hzPgybJ9,06.02.2021 14:00,Cosenza,Spal,1,1,44%,56%,14,15,6,6,6,4,2,5,3,8,1,4,5,5,14,15,0,0,1,2,391,485,10,9,86,113,46,57,,,,,D
d8VpwKlc,06.02.2021 14:00,Cremonese,Pisa,2,1,50%,50%,11,12,7,3,4,7,0,2,4,3,2,2,2,5,18,15,0,0,2,2,407,391,13,18,107,98,58,41,,,,,H
WQNczIYF,06.02.2021 14:00,Frosinone,Venezia,1,2,65%,35%,8,11,2,4,2,4,4,3,3,3,0,3,2,1,17,15,0,0,1,0,578,295,14,19,126,86,39,35,,,,,A
ABZlxv43,06.02.2021 14:00,Pescara,Reggio Calabria,0,2,34%,66%,6,15,2,5,2,4,2,6,2,5,0,0,3,2,15,21,0,0,4,4,292,524,17,18,79,125,14,56,,,,,A
nw4YXOCH,06.02.2021 14:00,Salernitana,Chievo,1,1,26%,74%,12,15,5,5,4,8,3,2,5,8,2,2,4,4,21,12,0,0,2,1,193,558,16,18,86,133,34,49,,,,,D
hG4UY4cB,05.02.2021 21:00,Lecce,Ascoli,1,2,60%,40%,14,13,3,5,8,3,3,5,10,5,2,2,3,2,12,14,0,0,4,6,449,300,6,15,109,92,45,37,,,,,A
INw45rXd,02.02.2021 14:00,Pisa,Frosinone,0,0,54%,46%,19,9,5,1,9,6,5,2,6,3,2,0,1,5,11,15,0,0,0,3,422,358,12,10,122,106,48,33,,,,,D
dlBLzRSb,01.02.2021 21:00,Reggio Calabria,Salernitana,0,0,66%,34%,12,9,5,2,5,4,2,3,4,2,0,3,2,5,15,19,0,0,3,5,451,226,10,14,102,96,44,57,,,,,D
h2PeK5rI,31.01.2021 21:00,Cittadella,Cremonese,1,1,54%,46%,12,25,5,5,2,8,5,12,7,9,6,2,4,4,16,18,1,0,2,4,353,296,18,12,91,90,39,47,,,,,D
AX89wTrt,31.01.2021 16:00,Spal,Monza,1,1,50%,50%,10,8,3,3,6,3,1,2,3,5,1,1,2,2,25,18,0,0,5,4,458,468,20,17,100,103,36,43,,,,,D
lO7Dxmbn,31.01.2021 15:00,Chievo,Pescara,3,1,54%,46%,10,13,4,3,3,4,3,6,3,4,2,1,2,1,16,21,0,0,1,1,526,456,27,17,86,86,51,47,,,,,H
IcCHy7Dh,30.01.2021 16:00,Pisa,Reggiana,1,0,53%,47%,17,14,3,4,8,7,6,3,8,5,2,4,4,2,19,16,0,0,3,3,350,320,11,13,50,51,23,24,,,,,H
dzWnMRD5,30.01.2021 14:00,Ascoli,Brescia,2,1,64%,36%,25,6,6,2,9,3,10,1,4,1,1,0,1,4,11,26,0,0,4,4,515,298,10,12,137,111,60,45,,,,,H
nPOaJPcO,30.01.2021 14:00,Empoli,Frosinone,3,1,32%,68%,10,21,5,5,2,11,3,5,7,7,0,0,4,2,9,5,0,0,,,286,612,7,21,84,127,32,70,,,,,H
EBQiLoTB,30.01.2021 14:00,Entella,Cosenza,1,2,51%,49%,9,11,5,3,3,6,1,2,1,0,4,4,1,4,15,13,0,0,1,3,429,403,8,14,123,97,35,40,,,,,A
pAs3IqDU,30.01.2021 14:00,Pordenone,Lecce,1,1,42%,58%,16,13,4,1,8,5,4,7,6,4,3,2,0,3,21,17,0,0,5,4,315,463,17,10,104,120,55,39,,,,,D
vD0QZpr5,29.01.2021 21:00,L.R. Vicenza,Venezia,0,0,43%,57%,13,17,1,1,7,11,5,5,7,6,3,2,1,1,17,12,1,0,3,1,338,441,15,12,109,72,36,44,,,,,D
Gfe3zOXM,27.01.2021 19:00,Chievo,Cittadella,2,1,45%,55%,10,14,6,4,2,8,2,2,3,3,1,0,3,4,15,20,0,0,1,5,372,451,18,16,66,51,46,42,,,,,H
UaC59lUa,25.01.2021 21:00,Brescia,Monza,0,1,43%,57%,11,11,3,4,5,1,3,6,5,6,1,0,3,3,21,13,0,0,5,2,375,518,11,6,100,125,47,48,,,,,A
xQFD7SbC,24.01.2021 21:00,Cremonese,Spal,1,1,54%,46%,26,8,8,1,9,4,9,3,11,3,0,7,0,7,18,18,0,0,3,1,452,387,16,18,143,85,65,32,,,,,D
bu4M56TO,24.01.2021 15:00,Lecce,Empoli,2,2,46%,54%,8,14,3,7,4,5,1,2,2,9,3,1,5,1,15,14,0,0,3,3,375,456,10,11,94,108,40,62,,,,,D
SfvWP9Et,23.01.2021 16:00,Salernitana,Pescara,2,0,37%,63%,12,16,5,3,6,8,1,5,4,6,1,0,3,3,17,15,0,0,4,2,308,536,24,12,120,126,49,62,,,,,H
j9D1AUEg,23.01.2021 14:00,Ascoli,Chievo,0,0,52%,48%,8,7,2,2,4,3,2,2,4,7,1,5,2,2,17,15,0,0,3,3,454,410,11,17,99,101,44,40,,,,,D
OMB988q6,23.01.2021 14:00,Cosenza,Pordenone,0,0,40%,60%,8,18,4,4,3,9,1,5,2,11,0,3,4,4,11,14,1,1,0,5,305,442,7,11,68,114,21,83,,,,,D
Kl5I6nEI,23.01.2021 14:00,Frosinone,Reggio Calabria,1,1,61%,39%,24,7,7,4,11,3,6,0,8,4,3,2,3,6,11,18,0,0,3,4,514,334,10,10,118,108,62,42,,,,,D
Qoh4Uk6P,23.01.2021 14:00,Reggiana,L.R. Vicenza,2,1,43%,57%,5,12,2,4,1,6,2,2,2,6,4,0,3,0,19,18,0,0,5,3,318,407,12,15,113,122,37,54,,,,,H
AJTzPTTn,23.01.2021 14:00,Venezia,Cittadella,1,0,33%,67%,14,14,3,1,6,8,5,5,3,7,4,2,1,2,16,19,0,0,1,2,246,495,14,10,80,113,35,66,,,,,H
OMXvOmqg,22.01.2021 21:00,Entella,Pisa,2,1,51%,49%,13,15,3,5,5,7,5,3,3,11,4,4,4,1,15,16,0,0,3,1,306,279,12,22,79,89,44,53,,,,,H
dGkyzZKj,19.01.2021 19:00,L.R. Vicenza,Chievo,1,1,35%,65%,13,12,4,2,5,7,4,3,2,6,1,1,1,3,15,10,0,0,4,1,335,625,11,14,87,109,48,70,,,,,D
YXIdBAam,18.01.2021 21:00,Spal,Reggiana,2,0,57%,43%,19,5,7,2,7,3,5,0,12,0,1,0,2,5,17,15,0,0,1,3,485,391,8,12,113,104,57,32,,,,,H
x6mSeVa0,17.01.2021 21:00,Empoli,Salernitana,5,0,59%,41%,26,18,12,5,9,7,5,6,3,9,2,3,5,7,9,14,0,0,2,3,484,323,21,13,38,24,20,16,,,,,H
OMkvgTqJ,17.01.2021 15:00,Pescara,Cremonese,0,2,42%,58%,12,14,4,4,7,6,1,4,5,2,3,2,2,4,16,20,0,0,1,1,400,563,21,16,90,140,35,37,,,,,A
fsKhCjps,16.01.2021 16:00,Reggio Calabria,Lecce,0,1,64%,36%,22,9,6,1,8,6,8,2,6,2,0,2,0,6,17,22,0,1,1,6,459,272,7,11,139,84,62,26,,,,,A
fsbNdBpf,16.01.2021 14:00,Cittadella,Ascoli,1,0,50%,50%,18,11,8,6,8,2,2,3,6,7,1,2,6,7,19,15,0,0,2,0,289,301,17,22,106,81,67,30,,,,,H
pWjzf9UC,16.01.2021 14:00,Monza,Cosenza,2,2,60%,40%,19,11,5,3,10,3,4,5,7,6,1,3,1,3,14,17,0,1,1,2,555,370,10,23,129,96,51,43,,,,,D
QRTMHCMJ,16.01.2021 14:00,Pisa,Brescia,1,0,46%,54%,15,7,4,1,9,5,2,1,7,3,2,0,1,3,15,16,0,0,2,1,322,387,16,17,95,106,45,58,,,,,H
x2XQGWyQ,16.01.2021 14:00,Pordenone,Venezia,2,0,34%,66%,11,17,3,5,5,9,3,3,1,12,5,4,5,1,23,10,0,0,1,2,283,499,21,9,99,129,22,79,,,,,H
GdnWfkF6,15.01.2021 21:00,L.R. Vicenza,Frosinone,0,0,54%,46%,11,6,3,0,7,4,1,2,3,1,2,1,0,3,10,14,0,0,2,1,474,422,12,10,135,101,57,26,,,,,D
tvfJciVm,15.01.2021 19:00,Chievo,Entella,2,1,60%,40%,21,4,6,3,9,0,6,1,4,3,2,3,2,4,13,16,0,0,0,2,561,372,10,8,171,85,71,27,,,,,H
4QrDERhD,09.01.2021 14:00,Reggiana,Cittadella,0,2,52%,48%,8,15,4,6,3,7,1,2,2,7,3,1,4,4,15,26,1,0,3,4,,,,,82,119,36,60,,,,,A
MahlpY0l,04.01.2021 21:00,Brescia,L.R. Vicenza,0,3,60%,40%,13,12,3,6,6,4,4,2,4,3,2,1,3,3,17,13,0,0,1,3,563,380,14,20,149,99,43,24,,,,,A
UPedrCV0,04.01.2021 18:00,Cremonese,Chievo,0,2,43%,57%,9,7,3,3,2,4,4,0,3,6,3,4,1,3,16,16,0,0,3,2,398,529,18,16,120,116,37,45,,,,,A
nHfFbXFs,04.01.2021 18:00,Entella,Cittadella,1,0,36%,64%,2,13,1,2,0,9,1,2,3,11,2,2,2,0,11,18,0,0,4,2,288,481,12,14,78,135,23,58,,,,,H
Clo1sWp7,04.01.2021 18:00,Frosinone,Spal,1,2,48%,52%,17,12,5,4,5,5,7,3,5,6,1,5,2,4,12,10,0,0,1,1,469,497,10,11,101,128,41,54,,,,,A
vewm5ZxE,04.01.2021 18:00,Reggiana,Pescara,0,1,67%,33%,15,8,2,4,8,3,5,1,4,2,1,1,3,2,12,18,0,2,2,5,543,266,17,18,134,90,69,36,,,,,A
Ioxi4ghK,04.01.2021 18:00,Salernitana,Pordenone,0,2,43%,57%,13,15,3,6,5,6,5,3,2,3,2,0,4,3,18,20,2,0,6,4,294,407,14,11,109,115,45,30,,,,,A
r9gpoEor,04.01.2021 17:00,Ascoli,Reggio Calabria,2,1,61%,39%,6,12,3,5,3,5,0,2,4,5,1,1,4,1,11,18,0,0,3,1,577,364,14,21,147,87,34,36,,,,,H
Qik5tj0D,04.01.2021 16:00,Lecce,Monza,0,0,40%,60%,15,12,2,2,9,8,4,2,3,4,0,0,2,2,15,11,0,1,3,1,396,629,11,11,124,147,44,44,,,,,D
jZdhqhGf,04.01.2021 15:00,Cosenza,Empoli,0,2,44%,56%,12,16,1,7,5,5,6,4,6,5,3,5,5,1,17,13,0,0,3,2,385,480,15,9,93,120,32,50,,,,,A
p88m3D7Q,04.01.2021 15:00,Venezia,Pisa,1,1,62%,38%,19,12,11,4,4,5,4,3,11,2,4,0,3,10,15,17,0,0,3,4,472,301,15,30,154,71,84,36,,,,,D
AHGxkNnG,30.12.2020 21:00,Chievo,Venezia,1,1,58%,42%,16,11,3,5,10,4,3,2,9,2,3,0,4,2,15,11,0,0,1,3,482,369,29,15,142,80,74,29,,,,,D
WW4om1HS,30.12.2020 18:00,Empoli,Ascoli,1,1,55%,45%,19,14,5,5,7,4,7,5,4,2,3,1,4,4,13,21,0,0,1,4,469,387,14,18,144,82,70,28,,,,,D
8hdDrLPq,30.12.2020 18:00,L.R. Vicenza,Entella,0,1,62%,38%,16,7,4,3,8,3,4,1,9,2,2,2,2,4,17,12,0,0,4,4,555,346,8,17,132,91,53,24,,,,,A
2BuG2tHF,30.12.2020 18:00,Spal,Brescia,2,3,59%,41%,15,16,6,8,4,5,5,3,5,5,0,1,5,4,11,15,0,1,2,1,558,377,9,12,111,96,60,50,,,,,A
2FeHsuuj,30.12.2020 16:00,Monza,Salernitana,3,0,69%,31%,26,10,10,2,10,3,6,5,3,3,3,2,2,7,11,16,0,0,1,2,667,290,17,13,147,106,54,44,,,,,H
l8Ftls2M,30.12.2020 15:00,Cittadella,Lecce,2,2,53%,47%,19,16,8,8,8,4,3,4,5,3,5,4,6,6,10,14,0,0,1,3,460,404,14,9,140,112,71,43,,,,,D
t6fLtafd,30.12.2020 15:00,Pescara,Cosenza,0,0,58%,42%,24,8,3,2,13,3,8,3,5,6,2,0,2,3,22,12,0,1,2,5,460,325,14,20,115,85,46,34,,,,,D
dEx842n3,30.12.2020 15:00,Pordenone,Reggiana,3,0,35%,65%,15,8,7,4,3,4,5,0,3,0,0,1,4,4,18,17,0,1,3,1,255,498,11,15,82,84,51,26,,,,,H
jyxC3M19,30.12.2020 15:00,Reggio Calabria,Cremonese,1,0,52%,48%,5,8,3,3,2,3,0,2,3,2,4,1,3,2,18,15,0,1,2,3,427,393,15,15,115,115,45,30,,,,,H
zuxzV1ep,27.12.2020 21:00,Cremonese,Monza,0,2,44%,56%,13,9,3,5,8,2,2,2,3,4,3,2,3,3,13,12,0,0,1,3,379,517,24,7,109,133,49,45,,,,,A
MXeay4IG,27.12.2020 18:00,Brescia,Empoli,1,3,45%,55%,6,24,1,10,2,7,3,7,2,10,1,1,7,0,15,13,0,0,2,4,388,475,10,14,111,98,37,41,,,,,A
Onwdxp3A,27.12.2020 15:00,Ascoli,Spal,2,0,35%,65%,12,26,5,8,4,8,3,10,2,11,1,2,8,3,22,15,0,0,3,3,306,545,16,14,88,145,34,76,,,,,H
fof7ZsmT,27.12.2020 15:00,Cosenza,Pisa,1,1,50%,50%,13,24,3,8,8,15,2,1,5,7,2,1,7,2,17,13,0,0,2,1,403,402,15,14,93,106,36,50,,,,,D
2iHYk3X9,27.12.2020 15:00,Entella,Pescara,3,0,43%,57%,11,12,7,3,4,5,0,4,1,4,1,3,3,4,17,12,0,0,3,0,336,432,11,14,91,112,40,40,,,,,H
EVzvULAj,27.12.2020 15:00,Frosinone,Pordenone,1,1,52%,48%,15,13,5,5,7,7,3,1,4,6,1,1,4,4,14,19,0,0,2,1,440,383,21,7,90,119,32,77,,,,,D
SYOLh5mi,27.12.2020 15:00,Lecce,L.R. Vicenza,2,1,59%,41%,20,11,7,2,7,3,6,6,7,2,5,3,1,5,16,15,0,0,1,1,480,322,17,16,135,76,55,37,,,,,H
O0IUjqI3,27.12.2020 15:00,Venezia,Salernitana,1,2,65%,35%,23,5,8,3,8,1,7,1,8,2,0,2,1,7,13,19,0,0,1,2,511,291,6,21,144,90,67,49,,,,,A
txTPiP2c,27.12.2020 12:30,Reggiana,Reggio Calabria,0,1,48%,52%,7,19,3,6,3,7,1,6,4,8,3,1,5,3,12,22,0,1,0,2,363,382,26,26,108,108,41,54,,,,,A
rTHMNplH,22.12.2020 21:00,Empoli,Reggiana,0,0,52%,48%,19,5,6,0,8,3,5,2,9,2,2,4,0,6,12,14,1,0,2,3,416,383,11,24,115,62,52,37,13,15,0,21,D
OQ1LP6J4,22.12.2020 19:00,Cittadella,Frosinone,1,0,55%,45%,20,8,7,2,11,5,2,1,8,2,2,1,2,6,27,14,0,0,3,1,419,359,26,23,129,92,68,32,,,,,H
2H0POQYA,22.12.2020 19:00,Cosenza,Venezia,0,0,44%,56%,11,16,4,4,3,8,4,4,6,8,1,5,4,4,14,10,0,0,4,2,365,464,9,12,89,83,42,37,,,,,D
MJGQM43N,22.12.2020 19:00,L.R. Vicenza,Reggio Calabria,1,1,39%,61%,8,9,2,2,5,5,1,2,8,8,0,3,1,1,17,11,1,0,5,3,303,480,13,12,107,119,38,56,,,,,D
