id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
rehaVeGC,12.03.2022 16:15,Spal,Ascoli,1,2,45%,55%,12,18,6,7,3,3,3,8,3,6,3,2,5,5,18,15,0,0,2,2,301,364,185,251,16,11,118,77,62,56,,,,,A
rX9Cv0gQ,12.03.2022 14:00,Lecce,Brescia,1,1,57%,43%,15,9,4,4,9,3,2,2,9,4,1,2,3,3,8,20,1,0,2,3,367,274,258,164,14,15,115,94,58,43,,,,,D
lYheWy16,12.03.2022 14:00,Reggio Calabria,Perugia,0,1,46%,54%,13,10,4,5,7,4,2,1,5,4,2,2,4,4,15,17,0,0,4,2,330,379,228,285,17,13,109,123,32,60,,,,,A
veeR7et9,12.03.2022 14:00,Ternana,Cosenza,2,0,34%,66%,11,15,4,2,5,6,2,7,3,5,3,2,2,2,12,8,1,0,2,3,243,463,153,382,17,23,101,122,47,54,,,,,H
EF0rZwHm,11.03.2022 20:30,Parma,Cittadella,1,1,65%,35%,19,8,5,2,8,6,6,0,4,2,0,3,1,4,17,20,0,1,4,7,567,298,478,214,12,13,108,96,55,45,,,,,D
0ldQS2fE,06.03.2022 15:30,Ascoli,Frosinone,1,1,42%,58%,11,12,4,3,6,6,1,3,0,4,1,6,2,3,13,17,0,0,1,3,374,509,257,387,17,10,104,140,32,47,,,,,D
6ky5LKnl,06.03.2022 15:30,Crotone,Alessandria,0,0,47%,53%,12,11,3,2,6,6,3,3,5,8,3,2,2,3,21,16,0,1,5,3,280,315,160,218,18,6,99,89,37,29,,,,,D
0Cz9Kv2f,06.03.2022 15:30,L.R. Vicenza,Ternana,3,1,30%,70%,9,17,4,2,5,9,0,6,3,8,2,3,1,1,19,8,0,0,5,2,233,523,128,413,21,10,70,138,20,81,,,,,H
dvUHIIW6,06.03.2022 15:30,Perugia,Lecce,1,1,49%,51%,5,20,2,6,0,6,3,8,0,2,6,1,5,1,19,26,1,0,6,6,334,346,216,226,14,14,88,99,31,54,,,,,D
hnX0M0Xs,05.03.2022 16:15,Cremonese,Brescia,2,1,51%,49%,15,7,4,2,6,3,5,2,3,4,0,5,1,2,8,18,0,0,2,2,386,363,289,233,5,15,108,104,57,56,,,,,H
8EeURM9K,05.03.2022 14:00,Cittadella,Monza,1,2,59%,41%,23,8,4,4,8,4,11,0,12,2,2,1,2,3,22,22,0,2,4,8,389,280,296,174,14,11,119,81,74,35,,,,,A
n5fYQtPQ,05.03.2022 14:00,Como,Spal,0,2,46%,54%,10,20,4,7,3,8,3,5,3,8,2,3,5,4,7,13,0,0,0,2,373,430,252,331,9,9,104,147,28,73,,,,,A
v3ZCJbH0,05.03.2022 14:00,Parma,Reggio Calabria,1,1,53%,47%,15,9,6,1,4,5,5,3,14,0,0,1,0,5,17,20,0,0,2,6,415,383,351,311,12,23,101,84,73,51,,,,,D
zVSLHxnD,05.03.2022 14:00,Pordenone,Pisa,0,1,49%,51%,8,17,3,6,3,10,2,1,3,3,1,4,5,3,21,19,0,0,4,3,348,355,233,259,21,19,100,137,34,63,,,,,A
baIvphl2,02.03.2022 18:30,Frosinone,Cosenza,1,0,57%,43%,16,6,3,3,8,1,5,2,4,4,2,0,3,2,14,18,0,0,2,4,410,312,309,191,16,24,143,100,56,26,,,,,H
EXZOOYyq,02.03.2022 18:30,Lecce,Ascoli,3,1,44%,56%,12,12,8,3,2,6,2,3,4,4,3,3,2,5,10,16,0,0,2,2,342,439,242,323,15,11,95,137,45,45,,,,,H
W8UTNhik,02.03.2022 18:30,Monza,Parma,1,1,63%,37%,20,4,5,3,9,1,6,0,11,5,3,0,2,4,12,15,0,0,0,2,539,316,469,243,13,10,151,67,80,26,,,,,D
AaTXMC6e,02.03.2022 18:30,Pisa,Crotone,3,2,46%,54%,13,10,5,5,6,4,2,1,2,4,2,0,3,2,15,18,0,0,3,3,348,412,246,306,16,14,96,113,32,38,,,,,H
4MSyMWL1,02.03.2022 18:30,Reggio Calabria,L.R. Vicenza,3,1,43%,57%,12,24,5,5,5,8,2,11,1,9,3,0,4,2,13,12,0,0,2,2,346,449,260,377,23,15,74,111,26,76,,,,,H
IPWuLjy8,02.03.2022 18:30,Spal,Cittadella,0,0,53%,47%,13,7,4,2,5,4,4,1,5,4,1,3,2,4,20,25,0,0,3,3,325,295,220,181,16,10,124,75,51,43,,,,,D
p0flrNx4,01.03.2022 20:30,Alessandria,Como,1,1,70%,30%,29,8,10,2,12,4,7,2,16,2,2,1,1,9,17,10,0,1,4,1,517,233,441,155,7,10,132,72,93,17,,,,,D
roDisshA,01.03.2022 18:30,Benevento,Cremonese,1,1,50%,50%,9,11,4,4,3,3,2,4,6,5,2,0,3,3,14,12,0,0,1,2,446,448,327,337,20,16,111,121,39,56,,,,,D
x8Cet17G,01.03.2022 18:30,Brescia,Perugia,2,1,66%,34%,27,11,9,1,6,4,12,6,15,3,1,1,0,7,18,15,0,1,2,2,491,264,407,178,15,17,127,75,68,27,,,,,H
MccMTru8,01.03.2022 18:30,Ternana,Pordenone,1,0,53%,47%,13,13,5,5,5,5,3,3,3,4,2,1,5,4,12,18,0,1,0,1,444,385,332,260,18,19,129,119,53,53,,,,,H
OUHHU384,27.02.2022 15:30,Ascoli,Crotone,2,1,60%,40%,16,11,5,6,3,2,8,3,8,6,0,2,5,3,9,13,0,0,4,3,519,355,427,246,15,12,130,101,59,41,,,,,H
4tZETNNA,27.02.2022 15:30,Cittadella,Frosinone,3,0,48%,52%,12,10,5,3,1,6,6,1,3,5,0,3,3,2,17,21,0,0,2,4,328,345,185,196,16,19,101,111,39,62,,,,,H
jcyRQL7T,27.02.2022 15:30,Monza,Lecce,0,1,60%,40%,11,9,3,3,5,3,3,3,9,1,1,3,2,3,10,14,0,0,4,3,394,264,285,163,22,12,114,92,59,35,,,,,A
Op6upq8i,27.02.2022 15:30,Reggio Calabria,Pisa,1,0,37%,63%,10,20,6,6,4,10,0,4,3,9,2,1,6,5,18,23,0,0,1,5,250,412,156,334,17,11,80,107,16,65,,,,,H
zVCcLaVj,26.02.2022 16:15,Perugia,Benevento,0,1,58%,42%,20,11,2,6,8,2,10,3,16,2,2,2,5,2,11,13,1,0,2,1,382,303,294,199,13,17,124,90,76,25,,,,,A
nPEzoYYe,26.02.2022 14:05,Cosenza,Alessandria,2,1,55%,45%,6,9,4,2,2,4,0,3,7,2,1,1,1,2,9,17,0,0,1,2,373,308,264,223,13,17,95,97,39,29,,,,,H
rXXISswH,26.02.2022 14:00,Como,Brescia,1,1,36%,64%,9,17,3,3,3,7,3,7,4,9,6,0,2,2,12,22,0,0,2,4,278,491,173,385,22,16,73,152,29,81,,,,,D
xfXMR1hN,26.02.2022 14:00,L.R. Vicenza,Pordenone,1,0,51%,49%,8,12,3,2,3,6,2,4,5,6,2,3,2,2,19,14,0,0,4,3,413,388,287,265,17,19,96,106,46,56,,,,,H
dvEgMuGp,26.02.2022 14:00,Parma,Spal,4,0,47%,53%,14,9,6,3,6,4,2,2,5,5,0,5,3,2,14,18,0,0,2,2,401,456,333,388,17,21,109,77,35,44,,,,,H
2y5qq3Nc,26.02.2022 14:00,Ternana,Cremonese,1,2,47%,53%,12,15,6,6,5,4,1,5,3,6,6,1,4,5,21,15,0,0,2,3,374,427,248,302,21,19,93,138,41,52,,,,,A
rBdrG4gB,23.02.2022 18:30,Benevento,Como,5,0,66%,34%,24,4,6,3,8,1,10,0,3,0,3,0,3,1,13,8,0,1,1,4,610,329,562,271,4,10,141,44,65,11,,,,,H
QZomFO8H,23.02.2022 18:30,Brescia,Ascoli,2,0,51%,49%,20,17,4,3,11,6,5,8,5,6,2,0,3,2,10,10,0,0,2,3,461,451,390,373,14,24,128,94,62,38,,,,,H
h2FWoEJk,23.02.2022 18:30,Crotone,Cosenza,3,3,60%,40%,25,14,9,6,6,7,10,1,10,7,1,0,3,6,13,17,0,0,3,6,410,275,317,173,13,13,119,75,59,35,,,,,D
YakeD2wU,23.02.2022 18:30,Frosinone,Reggio Calabria,3,0,50%,50%,22,2,6,0,11,1,5,1,5,0,1,1,0,3,24,15,0,0,4,4,413,426,315,317,11,12,106,105,72,18,,,,,H
z9yN8Moo,23.02.2022 18:30,Lecce,Cittadella,1,2,61%,39%,17,8,4,3,10,3,3,2,3,4,0,3,1,3,16,21,0,0,2,5,459,312,333,188,11,16,119,113,56,40,,,,,A
WzgvHpv5,22.02.2022 18:30,Alessandria,Perugia,1,2,54%,46%,15,11,4,5,6,1,5,5,7,6,0,3,3,3,7,25,0,0,2,5,318,277,191,171,9,8,124,89,45,43,,,,,A
4QpiErON,22.02.2022 18:30,Cremonese,L.R. Vicenza,0,0,67%,33%,25,9,8,2,9,5,8,2,11,2,0,5,2,8,13,20,0,1,2,3,461,243,373,130,13,17,122,69,97,28,,,,,D
xEF5X5Oo,22.02.2022 18:30,Pisa,Parma,0,0,46%,54%,8,13,3,3,3,4,2,6,3,9,1,3,3,3,17,22,0,0,2,3,359,425,271,344,23,20,113,111,48,48,,,,,D
jHJ9WPwh,22.02.2022 18:30,Pordenone,Monza,1,4,37%,63%,17,21,5,8,5,7,7,6,6,6,0,2,4,4,16,10,0,0,4,2,327,571,244,482,11,19,104,121,54,41,,,,,A
pvJDVqgb,22.02.2022 18:30,Spal,Ternana,5,1,44%,56%,16,18,9,4,2,9,5,5,3,5,3,1,3,4,12,12,0,1,2,5,338,426,247,341,13,12,84,142,28,46,,,,,H
jHX42oPB,20.02.2022 15:30,Brescia,Frosinone,2,2,56%,44%,19,15,8,4,9,8,2,3,5,5,1,0,2,6,10,11,0,0,0,4,451,353,354,251,17,19,93,114,46,51,,,,,D
U7W815vI,20.02.2022 15:30,Cittadella,Benevento,0,1,42%,58%,9,13,4,4,5,6,0,3,6,4,3,1,3,4,17,16,0,1,4,4,295,420,202,325,10,18,109,104,33,42,,,,,A
EBGSnf4q,20.02.2022 15:30,Como,Cosenza,2,1,60%,40%,15,2,4,2,6,0,5,0,5,2,0,2,1,2,17,16,0,1,2,1,522,353,432,266,11,16,115,75,52,22,,,,,H
QZPHaq9U,20.02.2022 15:30,Lecce,Crotone,3,0,61%,39%,22,7,8,1,6,4,8,2,9,0,2,0,1,5,13,14,0,1,1,0,478,319,383,209,18,16,128,101,43,13,,,,,H
bNfWI69h,19.02.2022 16:15,Perugia,Cremonese,0,0,53%,47%,6,11,3,2,0,6,3,3,6,4,10,0,2,3,17,19,0,0,3,3,359,315,243,202,8,13,107,84,51,54,,,,,D
dtJ13R95,19.02.2022 14:00,Ascoli,Alessandria,3,0,39%,61%,16,11,7,4,5,4,4,3,2,7,1,1,4,4,25,9,0,0,2,2,273,425,197,349,20,18,88,93,45,51,,,,,H
CWLD0PgO,19.02.2022 14:00,L.R. Vicenza,Spal,1,1,41%,59%,15,7,5,3,6,3,4,1,4,3,4,6,2,4,5,13,0,0,0,3,316,468,204,345,29,18,100,135,43,48,,,,,D
2e1NKSvt,19.02.2022 14:00,Monza,Pisa,1,2,58%,42%,12,19,2,5,8,10,2,4,9,9,4,2,4,1,11,18,0,0,2,4,374,269,293,192,19,21,95,84,48,54,,,,,A
tn0RJnfn,19.02.2022 14:00,Parma,Ternana,2,3,55%,45%,26,16,5,7,14,6,7,3,12,5,0,1,4,3,9,13,0,0,0,1,496,429,418,345,11,22,122,97,84,49,,,,,A
xEgzIQOb,19.02.2022 14:00,Reggio Calabria,Pordenone,2,0,49%,51%,6,15,3,2,1,9,2,4,3,4,5,0,2,1,16,15,0,0,1,3,428,432,342,349,23,14,107,133,40,55,,,,,H
4nfOk8u6,16.02.2022 18:30,Alessandria,Lecce,1,1,46%,54%,8,9,2,2,3,6,3,1,3,8,0,2,1,1,20,16,0,0,3,4,284,330,177,215,13,17,46,91,33,44,,,,,D
GMcSlSfC,16.02.2022 18:30,Benevento,Ascoli,0,2,57%,43%,11,17,3,3,5,8,3,6,5,6,1,1,1,3,8,13,0,0,2,2,501,371,434,301,15,14,115,75,70,34,,,,,A
lzdzm6PO,16.02.2022 18:30,Crotone,Brescia,0,1,49%,51%,4,18,1,5,3,9,0,4,2,7,2,2,4,1,10,8,0,0,1,3,370,370,251,263,18,11,91,121,43,76,,,,,A
QiuJBk2P,16.02.2022 18:30,Frosinone,Como,1,2,59%,41%,20,6,4,4,9,2,7,0,9,2,2,1,2,3,22,11,0,0,1,1,513,363,434,260,11,24,54,81,99,15,,,,,A
YHYaizdS,15.02.2022 18:30,Cosenza,Perugia,1,2,56%,44%,17,17,7,6,5,6,5,5,6,8,0,2,4,6,11,23,0,0,1,4,430,340,342,254,12,15,91,83,49,51,,,,,A
AqcWmnAI,15.02.2022 18:30,Cremonese,Parma,3,1,33%,67%,8,15,3,5,4,4,1,6,3,5,2,4,4,0,15,15,0,0,1,4,305,610,223,526,11,16,88,121,31,67,,,,,H
S0Rp79At,15.02.2022 18:30,Pisa,L.R. Vicenza,2,2,58%,42%,28,8,9,2,12,4,7,2,13,7,0,3,0,7,15,15,0,0,2,4,413,307,322,202,12,18,118,83,81,24,,,,,D
MNQl6TPn,15.02.2022 18:30,Pordenone,Cittadella,0,1,47%,53%,17,14,3,6,8,1,6,7,6,8,2,3,5,3,18,18,0,0,2,5,341,399,221,280,7,11,108,111,49,58,,,,,A
zRUh5mug,15.02.2022 18:30,Spal,Reggio Calabria,1,3,58%,42%,15,13,2,4,6,5,7,4,4,3,0,3,1,1,16,18,0,0,2,5,464,337,365,251,22,14,142,105,72,27,,,,,A
IkKc47fa,15.02.2022 18:30,Ternana,Monza,0,1,50%,50%,14,13,6,5,5,6,3,2,3,7,2,1,4,6,19,21,0,0,4,0,359,375,266,286,16,17,128,103,61,39,,,,,A
80tjkyke,13.02.2022 15:30,Ascoli,Como,1,1,47%,53%,22,11,12,5,6,3,4,3,5,5,1,2,4,11,10,15,1,0,3,2,369,411,286,332,16,13,103,100,48,55,,,,,D
lCcmle41,13.02.2022 15:30,Brescia,Alessandria,1,1,61%,39%,17,8,2,4,7,4,8,0,11,2,2,3,3,1,12,14,0,0,2,4,431,292,299,162,12,17,138,108,83,27,,,,,D
t6pZBbd8,13.02.2022 15:30,Lecce,Benevento,1,1,53%,47%,18,14,6,2,7,10,5,2,11,3,4,0,1,5,21,13,0,0,2,1,357,328,250,228,17,12,109,86,61,39,,,,,D
Ec1BhAem,12.02.2022 16:15,Perugia,Frosinone,3,0,43%,57%,18,10,7,1,2,6,9,3,7,4,2,1,1,4,17,17,0,0,1,2,288,381,169,268,18,16,83,105,48,52,,,,,H
MN4JjlQa,12.02.2022 16:15,Reggio Calabria,Crotone,1,0,36%,64%,7,8,2,2,5,3,0,3,6,6,0,0,2,1,15,19,0,0,1,2,266,462,165,364,20,8,83,109,31,46,,,,,H
S2dimFJ7,12.02.2022 14:00,Cittadella,Cremonese,0,2,62%,38%,14,12,6,4,4,3,4,5,5,5,6,2,2,6,17,12,1,0,6,2,445,275,326,173,13,19,140,90,43,41,,,,,A
fRZehGtM,12.02.2022 14:00,L.R. Vicenza,Cosenza,0,0,64%,36%,15,12,3,4,8,5,4,3,8,5,1,1,4,3,13,11,0,0,3,2,470,264,372,173,15,18,139,81,71,35,,,,,D
f9lwBIBE,12.02.2022 14:00,Monza,Spal,4,0,69%,31%,19,2,9,0,5,2,5,0,4,1,1,0,0,5,22,14,0,1,2,3,590,259,515,164,13,13,129,74,74,21,,,,,H
z727gjts,12.02.2022 14:00,Parma,Pordenone,4,1,66%,34%,20,11,6,5,6,5,8,1,9,8,1,0,4,2,16,15,0,0,2,3,514,249,431,171,14,18,119,85,50,56,,,,,H
rX5FiUAg,12.02.2022 14:00,Pisa,Ternana,0,0,57%,43%,17,8,4,3,9,3,4,2,8,6,1,2,3,4,10,13,0,0,0,4,416,338,307,221,29,21,126,93,60,37,,,,,D
Ue2DyIKe,06.02.2022 16:15,Cremonese,Monza,3,2,38%,62%,13,12,4,3,7,8,2,1,2,5,1,4,1,1,14,14,0,0,4,3,285,476,193,402,20,18,95,107,43,65,,,,,H
8xb3buS8,06.02.2022 16:15,Pordenone,Spal,1,1,44%,56%,13,20,2,5,5,11,6,4,1,9,2,1,4,1,19,19,0,0,5,4,297,375,195,270,14,15,101,130,38,70,,,,,D
bRjGewCR,05.02.2022 18:30,Ascoli,Perugia,0,1,59%,41%,10,12,0,4,4,6,6,2,2,4,0,7,3,0,20,27,0,0,3,4,430,290,333,206,18,18,93,118,34,63,,,,,A
UoaaaLC2,05.02.2022 16:15,Frosinone,L.R. Vicenza,2,0,55%,45%,21,15,9,1,7,9,5,5,8,9,0,2,1,7,13,14,0,0,1,2,407,330,317,239,8,16,100,91,52,51,,,,,H
G21BdJdL,05.02.2022 14:00,Alessandria,Pisa,1,1,47%,53%,7,15,4,5,2,6,1,4,4,9,1,0,4,3,17,25,0,0,2,3,291,310,177,182,9,9,87,125,20,56,,,,,D
zmrricKr,05.02.2022 14:00,Benevento,Parma,0,0,55%,45%,24,9,1,0,11,6,12,3,5,4,1,2,0,1,16,13,0,0,0,4,420,340,341,251,11,13,123,93,58,52,,,,,D
U9snjHZl,05.02.2022 14:00,Como,Lecce,1,1,36%,64%,14,21,3,9,9,9,2,3,2,8,4,1,8,2,16,13,0,0,1,3,337,576,241,478,22,15,73,161,37,89,,,,,D
04zhgdRF,05.02.2022 14:00,Cosenza,Brescia,0,0,45%,55%,11,20,4,5,5,10,2,5,4,5,3,1,5,4,7,16,1,1,4,1,329,399,253,323,15,12,84,100,50,61,,,,,D
StLGzxz2,05.02.2022 14:00,Crotone,Cittadella,0,0,50%,50%,12,10,2,2,7,5,3,3,3,5,2,1,2,2,17,11,0,0,,,375,358,253,235,14,19,113,98,66,59,,,,,D
xC27casF,05.02.2022 14:00,Ternana,Reggio Calabria,2,0,51%,49%,17,11,8,3,4,6,5,2,3,3,1,0,3,6,17,18,0,1,3,3,363,329,258,213,15,17,118,105,56,33,,,,,H
4xsqeId3,30.01.2022 14:30,Cittadella,Cosenza,1,1,62%,38%,14,12,6,5,3,5,5,2,7,4,3,3,4,5,18,14,1,0,3,4,444,275,338,160,14,12,152,83,53,42,,,,,D
8b7zz5qi,30.01.2022 14:30,L.R. Vicenza,Alessandria,2,1,54%,46%,17,10,5,3,9,4,3,3,4,5,0,1,2,3,22,20,0,1,1,3,340,290,242,182,14,15,103,84,51,32,,,,,H
EeArYrE3,30.01.2022 14:30,Parma,Crotone,1,1,40%,60%,10,7,4,5,3,0,3,2,4,12,1,1,4,3,17,19,0,0,3,3,279,426,193,332,15,11,72,90,48,45,,,,,D
zBxMGsqT,26.01.2022 20:00,Lecce,L.R. Vicenza,2,1,61%,39%,15,6,4,1,8,2,3,3,6,4,1,0,0,2,12,15,0,0,1,4,499,324,409,227,12,18,129,71,44,27,,,,,H
UXJQpMc9,23.01.2022 18:30,Lecce,Cremonese,2,1,62%,38%,10,8,3,1,5,4,2,3,10,5,3,0,0,1,11,14,0,0,3,3,439,291,333,188,10,14,117,87,57,23,,,,,H
n9ULo2r3,23.01.2022 16:15,L.R. Vicenza,Cittadella,3,3,56%,44%,14,20,8,6,6,9,0,5,8,4,3,1,3,5,13,21,0,2,1,6,398,304,305,225,15,11,82,87,53,57,,,,,D
GlMxrKsS,22.01.2022 16:15,Perugia,Pordenone,0,1,60%,40%,15,14,5,3,9,9,1,2,4,7,3,0,2,5,20,15,0,0,1,3,392,248,292,162,10,14,109,109,62,51,,,,,A
2LrWOvyj,22.01.2022 14:00,Alessandria,Benevento,2,0,35%,65%,16,11,5,3,5,5,6,3,10,4,1,0,3,3,22,19,0,0,3,2,261,485,169,385,21,14,77,114,35,44,,,,,H
tCszObjd,22.01.2022 14:00,Brescia,Ternana,1,1,49%,51%,16,15,4,3,5,7,7,5,4,4,2,1,2,3,11,16,0,0,1,4,439,478,351,394,15,10,124,118,64,39,,,,,D
8IVHnrTd,22.01.2022 14:00,Como,Crotone,1,1,50%,50%,12,9,5,2,3,4,4,3,3,5,4,0,1,4,14,26,0,1,1,2,402,392,302,310,15,18,86,110,42,58,,,,,D
n1WmfxC9,22.01.2022 14:00,Cosenza,Ascoli,1,3,48%,52%,6,19,0,3,4,9,2,7,3,3,0,2,0,0,21,22,1,0,3,3,367,413,271,343,24,17,94,119,39,46,,,,,A
ryOUqtDF,22.01.2022 14:00,Monza,Reggio Calabria,1,0,55%,45%,16,3,6,0,7,2,3,1,11,0,4,1,0,5,20,21,0,0,2,3,419,359,334,261,17,33,126,86,84,28,,,,,H
dr45wvjq,22.01.2022 14:00,Spal,Pisa,0,0,50%,50%,15,9,0,3,10,6,5,0,5,2,2,0,3,0,17,22,0,0,3,4,358,350,248,250,15,11,105,117,54,59,,,,,D
xbNYr0SL,21.01.2022 20:30,Parma,Frosinone,0,1,45%,55%,16,12,0,5,9,5,7,2,5,5,1,1,4,0,13,14,0,0,2,3,419,530,316,438,10,13,114,117,56,44,,,,,A
KYAvZObc,16.01.2022 16:15,Monza,Perugia,2,2,56%,44%,15,14,5,4,5,6,5,4,5,3,0,4,2,3,14,18,0,0,0,4,432,348,332,238,14,15,131,87,62,39,,,,,D
AN3iWMrG,16.01.2022 16:15,Pordenone,Lecce,0,1,41%,59%,5,15,1,3,2,7,2,5,4,4,3,4,2,1,20,19,1,0,5,4,302,433,215,346,18,13,94,105,42,57,,,,,A
ry2aU0DS,16.01.2022 16:15,Spal,Benevento,1,1,48%,52%,13,15,6,2,3,6,4,7,4,11,0,1,1,5,15,8,0,0,0,1,449,463,353,373,11,6,88,109,39,80,,,,,D
hn9nX2T9,15.01.2022 16:15,Pisa,Frosinone,1,3,47%,53%,8,16,2,7,3,2,3,7,3,8,2,3,4,1,12,18,0,0,3,5,348,390,263,291,20,15,104,98,39,52,,,,,A
6gTiBL6j,15.01.2022 14:00,Cremonese,Como,2,0,51%,49%,15,12,8,1,6,8,1,3,5,7,1,4,1,6,15,11,0,1,3,3,472,448,385,360,10,13,112,114,58,47,,,,,H
lE2eVtbM,15.01.2022 14:00,Reggio Calabria,Brescia,0,2,49%,51%,8,12,2,7,4,1,2,4,0,7,1,1,5,2,12,18,0,0,5,3,432,460,335,367,14,11,109,105,39,49,,,,,A
KdgRPKLq,14.01.2022 20:30,Ternana,Ascoli,2,4,58%,42%,22,8,8,6,10,2,4,0,5,1,1,0,2,6,15,15,0,0,3,3,508,372,416,285,19,23,132,98,70,21,,,,,A
Svn1L5Uc,13.01.2022 20:30,Benevento,Monza,3,1,64%,36%,18,7,7,2,9,4,2,1,2,4,2,2,1,4,11,13,0,2,4,3,578,317,529,246,12,16,131,69,61,31,,,,,H
S2UmC1ip,19.12.2021 16:15,Perugia,Ternana,1,1,44%,56%,12,13,2,1,4,8,6,4,9,4,1,1,0,1,18,17,0,0,2,5,286,374,178,269,18,15,93,134,45,39,,,,,D
MRG0NRao,19.12.2021 14:00,Alessandria,Parma,0,2,59%,41%,11,11,3,4,5,3,3,4,3,5,1,3,2,3,14,18,0,0,2,0,451,311,342,212,13,17,137,89,53,40,,,,,A
6Vp5KPq4,19.12.2021 14:00,Brescia,Cittadella,1,1,60%,40%,12,17,5,3,5,11,2,3,4,6,1,3,2,4,11,18,0,0,2,4,487,313,372,203,12,14,135,102,46,55,,,,,D
dKwIHNTM,18.12.2021 16:15,Frosinone,Spal,4,0,49%,51%,12,12,6,3,1,5,5,4,9,5,4,1,3,2,14,9,0,0,0,2,408,444,315,349,10,16,90,97,53,36,,,,,H
0IF4MoFi,18.12.2021 14:00,Ascoli,Cremonese,1,4,53%,47%,8,14,4,8,4,4,0,2,1,3,3,5,4,3,17,15,1,0,5,4,425,376,329,277,16,18,120,109,39,54,,,,,A
0hp9JqaA,18.12.2021 14:00,Como,Reggio Calabria,1,1,51%,49%,21,23,3,6,13,9,5,8,12,9,1,0,5,2,14,13,0,1,2,3,410,406,332,327,15,8,98,102,48,37,,,,,D
Qorudbsc,18.12.2021 14:00,Cosenza,Pisa,0,2,59%,41%,16,14,1,5,6,6,9,3,8,1,2,0,3,1,8,22,0,0,2,3,480,331,380,233,22,27,126,88,63,35,,,,,A
EelDI3EG,18.12.2021 14:00,Crotone,Pordenone,4,1,58%,42%,16,9,8,2,4,5,4,2,3,1,2,1,1,4,23,16,0,1,1,6,460,320,370,216,11,26,100,107,36,36,,,,,H
ENApHjwC,12.12.2021 20:30,Reggio Calabria,Alessandria,0,4,57%,43%,10,12,1,7,3,2,6,3,3,4,1,3,3,1,20,21,0,0,3,4,340,266,239,166,20,14,116,105,53,40,,,,,A
prJTKYwm,12.12.2021 16:15,L.R. Vicenza,Como,0,1,62%,38%,29,8,6,3,16,3,7,2,8,4,0,1,2,6,16,14,0,0,0,3,558,363,465,260,11,18,113,90,73,16,,,,,A
6c7xJC8a,12.12.2021 14:00,Parma,Perugia,1,1,42%,58%,9,9,5,2,2,3,2,4,2,3,4,2,1,4,12,19,0,0,3,4,305,428,208,344,13,8,72,120,35,36,,,,,D
zXBtIWN5,11.12.2021 16:15,Pisa,Lecce,1,0,37%,63%,8,13,2,6,4,4,2,3,3,11,2,5,6,1,15,16,0,0,3,4,261,423,156,316,13,20,75,135,37,54,,,,,H
GSScQfGP,11.12.2021 14:00,Cittadella,Ascoli,2,0,49%,51%,15,5,4,0,4,2,7,3,9,3,3,4,0,2,15,11,0,0,3,1,351,371,256,280,18,21,90,108,60,46,,,,,H
S68YJhgg,11.12.2021 14:00,Monza,Frosinone,3,2,57%,43%,15,12,7,5,7,7,1,0,2,3,1,4,3,4,16,19,0,0,1,3,429,323,341,233,13,19,86,86,46,34,,,,,H
bufcXE4d,11.12.2021 14:00,Pordenone,Cosenza,1,1,39%,61%,13,11,4,3,6,6,3,2,2,6,2,1,2,3,22,18,1,0,6,5,284,444,185,345,9,18,79,95,46,38,,,,,D
dn0kGAhI,11.12.2021 14:00,Spal,Brescia,0,2,54%,46%,15,14,3,7,6,4,6,3,7,3,4,2,5,3,7,16,0,0,1,2,488,428,379,317,13,13,109,127,41,70,,,,,A
8OSIbrNp,10.12.2021 20:30,Ternana,Benevento,0,2,52%,48%,17,14,5,5,6,2,6,7,6,6,1,2,3,5,11,12,0,0,1,2,447,404,348,298,14,24,131,97,59,41,,,,,A
Y7FPLEOt,10.12.2021 18:00,Cremonese,Crotone,3,2,43%,57%,16,11,5,7,6,3,5,1,3,1,5,2,5,2,14,16,0,0,2,1,392,546,290,429,15,6,131,111,52,37,,,,,H
nqBAzcOQ,05.12.2021 20:30,Alessandria,Cittadella,0,1,58%,42%,18,12,9,2,3,6,6,4,4,1,2,3,1,9,10,21,0,0,2,3,448,315,332,218,16,15,119,102,65,67,,,,,A
z9epUf1f,05.12.2021 16:15,Brescia,Monza,0,2,42%,58%,14,11,2,2,6,3,6,6,3,7,4,3,0,2,22,13,0,0,1,0,359,522,276,435,20,17,113,135,47,47,,,,,A
lhcxWGWs,05.12.2021 14:00,Ascoli,Parma,0,0,43%,57%,12,11,3,3,8,7,1,1,2,9,1,3,3,3,9,12,1,0,3,3,386,481,304,399,28,15,104,141,29,68,,,,,D
