id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
KnpGqqfJ,30.04.2022 14:00,Pisa,Cosenza,1,1,61%,39%,15,11,2,4,7,3,6,4,5,5,3,1,3,1,14,9,0,0,4,2,434,274,345,177,12,14,105,74,53,37,,,,,D
jZx1TToI,30.04.2022 14:00,Pordenone,Crotone,3,3,41%,59%,19,17,8,7,7,6,4,4,3,5,0,0,4,5,10,10,0,0,2,1,383,563,301,485,12,9,89,105,44,50,,,,,D
n1W9R7GU,30.04.2022 14:00,Spal,Frosinone,3,0,43%,57%,13,9,5,5,4,2,4,2,4,5,1,1,5,2,18,15,0,1,3,4,276,368,178,270,14,9,70,112,27,47,,,,,H
OM7Fnint,30.04.2022 14:00,Ternana,Perugia,1,0,43%,57%,15,11,7,3,3,5,5,3,4,2,1,4,3,6,16,20,0,0,4,2,257,347,171,254,11,13,101,99,32,48,,,,,H
GdrxZXHt,25.04.2022 20:30,Perugia,Parma,2,1,47%,53%,13,22,4,7,4,8,5,7,2,9,4,0,6,2,22,13,0,0,4,3,394,433,319,348,13,13,87,95,25,43,,,,,H
YZq9VbBl,25.04.2022 18:00,Benevento,Ternana,1,2,56%,44%,21,20,5,10,7,8,9,2,12,4,1,4,8,4,12,7,0,0,2,1,436,351,350,263,21,18,122,99,66,33,,,,,A
GbZDUIQf,25.04.2022 18:00,Brescia,Spal,1,1,63%,37%,12,12,3,2,6,5,3,5,7,6,0,3,1,2,14,14,0,0,3,4,457,264,370,164,10,14,121,84,64,34,,,,,D
U1wITxt1,25.04.2022 18:00,Como,L.R. Vicenza,0,2,55%,45%,14,14,6,7,7,3,1,4,4,10,0,0,5,6,13,11,0,0,0,3,487,394,399,309,15,24,96,96,39,42,,,,,A
xjqvyLmR,25.04.2022 15:00,Alessandria,Reggio Calabria,0,0,51%,49%,12,5,1,1,7,4,4,0,3,5,1,4,1,1,21,15,0,0,1,3,390,384,266,270,20,20,131,117,44,35,,,,,D
tdoCpPvD,25.04.2022 15:00,Cosenza,Pordenone,3,1,37%,63%,12,16,7,4,1,7,4,5,4,5,1,2,3,4,14,12,0,0,2,2,303,521,248,465,9,12,61,112,39,45,,,,,H
