id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,result
j3rjr4xF,09.05.2015 15:00,Cittadella,Frosinone,1,1,53%,47%,14,7,7,4,7,3,18,20,8,4,0,0,21,17,3,6,0,0,4,2,D
rwurpQ72,09.05.2015 15:00,Latina,Bari,2,0,45%,55%,12,14,4,6,8,8,18,22,7,6,1,0,19,35,6,2,0,0,3,3,H
nVyatr7R,09.05.2015 15:00,Pescara,Perugia,2,2,50%,50%,11,11,9,7,2,4,18,21,2,5,1,0,11,17,5,7,0,2,4,2,D
hlQW22xA,09.05.2015 15:00,Spezia,L.R. Vicenza,0,0,50%,50%,9,7,1,3,8,4,14,28,6,2,2,2,19,31,3,1,0,0,3,4,D
lvOQy2Fr,09.05.2015 15:00,Ternana,Pro Vercelli,0,1,50%,50%,16,9,8,5,8,4,16,17,6,1,1,2,34,18,4,8,1,0,4,3,A
UgsfsOiL,09.05.2015 15:00,Trapani,Modena,3,0,50%,50%,12,11,4,3,8,8,21,20,2,9,2,3,22,24,3,2,0,0,4,2,H
tntYZupe,08.05.2015 20:30,Livorno,Entella,2,1,54%,46%,13,8,7,5,6,3,12,20,8,7,0,1,39,20,4,5,0,1,4,4,H
6iU3W6w3,03.05.2015 18:00,Modena,AC Carpi,1,2,55%,45%,15,11,10,5,5,6,13,20,11,3,1,1,25,15,3,9,1,1,3,3,A
GQ3mOroq,03.05.2015 15:00,Avellino,Pescara,3,2,53%,47%,12,14,7,7,5,7,21,19,5,6,2,1,21,26,5,4,0,0,4,2,H
OSO8VQh9,02.05.2015 15:00,Bari,Cittadella,1,0,50%,50%,15,12,8,5,7,7,12,12,4,7,0,0,20,21,5,7,0,0,2,1,H
AqRKSOxS,02.05.2015 15:00,Catania,Livorno,1,1,49%,51%,5,16,1,4,4,12,17,21,3,9,3,2,19,41,3,0,0,0,5,1,D
EcsI83od,02.05.2015 15:00,Frosinone,Bologna,2,1,53%,47%,16,11,6,4,10,7,26,24,5,6,1,1,27,16,3,4,0,1,1,3,H
EcRS3rN3,02.05.2015 15:00,L.R. Vicenza,Entella,0,0,57%,43%,10,8,3,6,7,2,26,10,6,7,0,0,21,10,6,3,0,0,2,2,D
fH2iN20k,02.05.2015 15:00,Lanciano,Ternana,1,1,48%,52%,18,2,6,1,12,1,15,18,4,3,2,0,18,22,0,5,0,0,0,2,D
2s2eMMFe,02.05.2015 15:00,Perugia,Trapani,1,0,50%,50%,12,8,5,6,7,2,14,21,4,5,3,3,14,26,6,4,0,0,3,3,H
2JNCUp8F,02.05.2015 15:00,Pro Vercelli,Crotone,3,2,57%,43%,18,9,8,5,10,4,22,27,3,5,0,0,30,25,3,5,0,1,3,6,H
