id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,result
2TE5CWTt,03.03.2015 20:30,Bologna,Latina,0,0,56%,44%,9,13,5,3,4,10,18,18,8,5,0,1,28,24,3,5,0,0,2,2,D
AgIDAAbg,03.03.2015 20:30,Brescia,Modena,0,1,46%,54%,18,7,11,4,7,3,19,16,5,3,3,2,16,21,3,11,1,0,2,4,A
pCAQ78rC,03.03.2015 20:30,Cittadella,Varese,3,0,46%,54%,8,8,5,2,3,6,14,19,2,4,1,0,21,46,2,2,0,0,2,4,H
lpHH9UDa,03.03.2015 20:30,Frosinone,Perugia,2,1,46%,54%,10,13,5,7,5,6,19,22,2,5,1,1,23,33,6,3,0,0,3,3,H
hUcoi5wb,03.03.2015 20:30,L.R. Vicenza,Lanciano,2,2,58%,42%,10,8,10,4,0,4,20,18,5,6,0,1,20,21,2,8,1,1,2,5,D
dnxwHCLP,03.03.2015 20:30,Pescara,Crotone,2,1,47%,53%,11,13,4,4,7,9,10,22,6,11,2,0,32,23,3,2,1,0,4,3,H
6LBM8lT5,03.03.2015 20:30,Spezia,Pro Vercelli,5,2,49%,51%,15,6,9,5,6,1,17,9,12,3,2,4,14,16,3,4,0,2,1,5,H
vZ9U6ScI,03.03.2015 20:30,Ternana,Entella,0,1,56%,44%,5,3,2,2,3,1,13,19,7,2,1,0,65,28,1,2,2,0,3,2,A
GWI9Bjqm,03.03.2015 20:30,Trapani,Livorno,0,0,57%,43%,6,9,0,3,6,6,20,16,3,4,1,3,30,24,3,0,0,0,1,3,D
UZ0reVb6,28.02.2015 15:00,Avellino,Ternana,1,1,49%,51%,17,5,8,3,9,2,18,17,5,2,4,2,26,22,2,7,0,0,2,2,D
Qs4RbDas,28.02.2015 15:00,Catania,Frosinone,1,2,50%,50%,16,13,9,6,7,7,17,16,7,3,0,2,28,20,4,8,0,0,5,0,A
rJbWcXEm,28.02.2015 15:00,Crotone,Livorno,1,0,49%,51%,9,11,2,4,7,7,27,16,2,4,1,6,21,25,4,1,0,0,2,4,H
M9czciUg,28.02.2015 15:00,Entella,Pescara,2,5,45%,55%,8,21,3,14,5,7,14,15,3,4,0,0,28,22,9,1,1,0,5,1,A
lItbGuVE,28.02.2015 15:00,Lanciano,Cittadella,2,2,48%,52%,13,7,5,5,8,2,25,28,3,5,0,0,28,23,3,3,0,0,3,2,D
vmD999d2,28.02.2015 15:00,Modena,Bari,0,1,55%,45%,6,12,3,5,3,7,18,24,7,4,0,1,38,25,4,3,1,0,3,3,A
GWdvdBq0,28.02.2015 15:00,Perugia,Spezia,2,1,57%,43%,11,7,5,4,6,3,17,25,3,3,4,2,16,17,3,3,1,1,3,4,H
fesfHLF8,28.02.2015 15:00,Pro Vercelli,AC Carpi,0,0,51%,49%,8,13,4,8,4,5,24,21,3,6,9,3,22,30,8,4,0,0,1,2,D
rLwjI102,28.02.2015 15:00,Varese,Brescia,1,2,47%,53%,14,8,9,4,5,4,27,20,6,1,2,0,32,25,2,8,0,0,3,5,A
A58thoOi,27.02.2015 21:00,Bologna,L.R. Vicenza,0,2,38%,62%,7,7,5,4,2,3,9,23,2,4,3,1,21,26,2,5,1,0,3,1,A
CbjmfkEC,27.02.2015 19:00,Latina,Trapani,1,0,53%,47%,16,12,10,4,6,8,19,27,3,3,1,0,26,20,4,9,0,0,3,5,H
YBaMKZ43,22.02.2015 15:00,Pescara,Catania,1,0,43%,57%,12,5,2,2,10,3,12,21,8,7,1,1,18,23,2,1,1,0,5,1,H
tICzcWCd,22.02.2015 12:30,Livorno,Avellino,0,1,47%,53%,16,8,12,4,4,4,25,18,7,7,1,0,19,22,3,12,0,0,1,5,A
0dE5Aksd,21.02.2015 18:00,Bari,Lanciano,2,0,56%,44%,7,3,6,1,1,2,24,18,6,10,2,0,20,32,1,4,1,1,2,4,H
WM91BVRk,21.02.2015 15:00,AC Carpi,Entella,0,0,56%,44%,13,5,6,3,7,2,28,22,11,2,6,3,49,25,3,6,0,0,1,2,D
YoUQHXlM,21.02.2015 15:00,Brescia,Perugia,1,2,47%,53%,6,14,2,8,4,6,16,26,2,0,1,2,30,22,6,1,0,0,4,1,A
fL0ILFkc,21.02.2015 15:00,Cittadella,Bologna,0,1,42%,58%,7,11,3,5,4,6,23,24,2,10,2,2,20,25,4,3,0,0,1,3,A
nkYUGi4S,21.02.2015 15:00,Frosinone,Pro Vercelli,3,2,51%,49%,13,18,9,11,4,7,12,16,3,6,0,1,27,23,9,6,0,0,1,1,H
WE9xgR8o,21.02.2015 15:00,L.R. Vicenza,Crotone,1,0,56%,44%,9,4,4,0,5,4,20,19,6,4,1,1,23,20,0,3,0,0,1,3,H
vPUMIDZF,21.02.2015 15:00,Spezia,Modena,3,2,56%,44%,8,6,6,3,2,3,19,21,7,3,2,3,27,28,1,3,1,0,2,4,H
0YVIJgK9,21.02.2015 15:00,Ternana,Latina,0,2,51%,49%,9,12,2,7,7,5,10,15,7,1,1,0,33,29,5,2,1,0,5,1,A
hWAcCBCq,21.02.2015 15:00,Trapani,Varese,0,0,60%,40%,7,4,2,1,5,3,18,20,4,5,1,1,40,19,1,2,0,0,4,4,D
neyu8dLc,16.02.2015 20:30,Catania,Crotone,1,1,58%,42%,14,5,5,2,9,3,17,17,10,5,3,1,31,15,1,4,0,1,3,5,D
rsXa3YZS,14.02.2015 15:00,AC Carpi,Spezia,0,0,56%,44%,14,9,6,5,8,4,24,23,5,6,1,0,25,21,5,6,0,0,3,2,D
tIzq7Gz4,14.02.2015 15:00,Avellino,Frosinone,3,0,51%,49%,18,14,6,4,12,10,17,20,6,2,1,1,13,24,4,3,0,0,3,5,H
48LfUsWp,14.02.2015 15:00,Bari,L.R. Vicenza,0,1,48%,52%,7,7,2,3,5,4,23,20,0,3,3,1,26,23,2,2,0,0,4,4,A
pjJRbhrp,14.02.2015 15:00,Bologna,Ternana,0,0,53%,47%,12,8,4,4,8,4,14,13,5,3,1,0,17,9,4,4,0,0,2,3,D
SE8WcCcj,14.02.2015 15:00,Entella,Trapani,1,1,55%,45%,15,8,7,5,8,3,23,16,6,2,0,0,34,31,4,6,0,0,1,3,D
WnghpgTj,14.02.2015 15:00,Lanciano,Brescia,2,0,50%,50%,10,5,4,3,6,2,27,16,4,5,1,1,16,22,3,2,0,0,2,4,H
E7Se4EKM,14.02.2015 15:00,Latina,Pescara,2,0,60%,40%,26,8,14,2,12,6,21,16,12,2,1,0,30,20,2,12,1,1,4,4,H
84xy9x6i,14.02.2015 15:00,Pro Vercelli,Cittadella,0,1,55%,45%,10,7,5,4,5,3,18,18,6,3,0,0,39,28,3,5,1,0,1,3,A
hhvm6zjA,14.02.2015 15:00,Varese,Livorno,0,1,58%,42%,3,11,2,2,1,9,15,18,6,1,1,0,36,16,1,2,0,1,4,4,A
zHTi5f5G,13.02.2015 20:30,Perugia,Modena,2,0,54%,46%,7,7,4,6,3,1,26,19,5,11,3,3,23,30,6,2,0,0,2,4,H
WIRdeJyh,08.02.2015 18:00,Ternana,Brescia,2,1,46%,54%,13,8,7,5,6,3,6,24,1,3,4,0,25,26,4,5,0,0,0,3,H
vkEDiyyH,07.02.2015 15:00,Avellino,Latina,1,0,42%,58%,9,13,4,5,5,8,,,3,6,,,,,5,3,2,2,4,4,H
IFNhdaMo,07.02.2015 15:00,Crotone,Bologna,0,2,53%,47%,7,6,2,5,5,1,23,15,6,4,3,2,26,15,3,2,0,0,1,3,A
zH7MkF5T,07.02.2015 15:00,Entella,Spezia,2,0,49%,51%,15,12,10,6,5,6,22,19,4,12,1,0,16,40,6,8,0,0,2,2,H
hdfloZDp,07.02.2015 15:00,Frosinone,Lanciano,2,1,56%,44%,12,8,6,4,6,4,15,16,3,3,0,0,26,40,3,4,0,0,3,1,H
SrbRoA1I,07.02.2015 15:00,L.R. Vicenza,Perugia,3,1,61%,39%,11,2,3,2,8,0,38,19,4,0,0,4,12,17,1,0,0,0,3,3,H
4CZAXFqo,07.02.2015 15:00,Livorno,Bari,5,2,49%,51%,16,11,8,4,8,7,25,16,8,7,0,2,18,20,2,3,0,0,2,7,H
0bF9hHLA,07.02.2015 15:00,Pescara,Cittadella,1,1,49%,51%,11,10,6,6,5,4,22,21,6,2,4,4,25,26,5,5,0,0,0,1,D
MD3IjejN,07.02.2015 15:00,Varese,Pro Vercelli,1,1,53%,47%,15,10,8,6,7,4,17,11,8,2,1,0,34,28,5,7,0,1,0,1,D
EsH1fwib,06.02.2015 20:30,Trapani,AC Carpi,0,0,44%,56%,8,9,5,2,3,7,13,20,3,5,1,0,24,43,2,5,0,0,2,1,D
pAs4yPpJ,02.02.2015 20:30,Spezia,Avellino,0,1,56%,44%,14,9,6,5,8,4,23,14,8,4,0,1,26,24,4,6,1,0,3,3,A
plpCqMxt,31.01.2015 15:00,AC Carpi,Crotone,2,1,,,,,,,,,,,,,,,,,,,0,0,,,H
CEfWvbiB,31.01.2015 15:00,Bologna,Pescara,0,0,62%,38%,15,11,7,4,8,7,18,12,11,7,2,2,25,22,4,7,0,0,1,1,D
23mqxdyU,31.01.2015 15:00,Brescia,Entella,3,0,60%,40%,14,3,6,1,8,2,15,16,8,2,1,4,16,29,1,3,0,0,3,1,H
ETyTuvx5,31.01.2015 15:00,Catania,Perugia,2,0,50%,50%,14,11,9,5,5,6,22,19,4,6,1,0,19,23,5,7,0,1,3,5,H
6yfzvI6H,31.01.2015 15:00,Cittadella,Trapani,1,0,53%,47%,12,4,7,1,5,3,23,30,0,4,3,1,26,30,1,6,0,2,4,9,H
pShvwxMN,31.01.2015 15:00,Lanciano,Varese,1,2,58%,42%,19,4,10,3,9,1,19,17,7,0,0,0,33,13,1,9,0,0,3,1,A
hEmKs07h,31.01.2015 15:00,Latina,Livorno,3,2,56%,44%,20,7,15,3,5,4,21,14,8,6,1,3,24,15,1,12,1,2,5,4,H
W4nOtKMb,31.01.2015 15:00,Pro Vercelli,Modena,1,1,48%,52%,11,16,6,6,5,10,21,21,7,5,0,1,25,22,5,5,0,0,3,2,D
pK8MnjnC,31.01.2015 15:00,Ternana,L.R. Vicenza,0,2,49%,51%,11,8,3,3,8,5,11,16,6,6,3,1,37,31,1,3,0,0,1,3,A
OvqGrthn,30.01.2015 20:30,Bari,Frosinone,4,0,52%,48%,15,17,9,11,6,6,14,15,3,6,2,0,18,35,11,5,0,1,2,4,H
W6w0x5VC,25.01.2015 12:30,Modena,Lanciano,1,1,49%,51%,8,9,5,4,3,5,20,19,5,9,1,0,29,24,3,4,0,0,3,1,D
pUPnsTGs,24.01.2015 15:00,Avellino,Cittadella,1,2,54%,46%,16,9,11,6,5,3,21,23,7,4,0,1,27,19,4,10,0,0,3,3,A
viPjtmWm,24.01.2015 15:00,Crotone,Latina,2,1,50%,50%,10,4,5,1,5,3,25,22,2,4,2,2,33,34,0,3,0,1,2,3,H
ngpCmVwE,24.01.2015 15:00,Entella,Bologna,1,2,51%,49%,11,10,5,5,6,5,19,14,4,3,1,0,22,25,3,4,0,0,2,2,A
bguhvR00,24.01.2015 15:00,Frosinone,Spezia,1,1,57%,43%,13,5,5,2,8,3,24,25,6,3,3,1,37,21,1,4,0,0,2,2,D
WG4ImWW5,24.01.2015 15:00,L.R. Vicenza,Trapani,3,0,65%,35%,13,5,8,2,5,3,24,13,5,1,0,0,18,20,2,5,0,1,0,3,H
QqqGnkgK,24.01.2015 15:00,Livorno,Brescia,4,2,50%,50%,15,12,10,4,5,8,11,15,2,8,0,1,19,17,2,6,0,0,2,1,H
bwiUOo1D,24.01.2015 15:00,Perugia,Bari,1,1,56%,44%,11,8,4,2,7,6,22,19,6,2,0,1,28,16,1,3,0,1,3,4,D
xpvdwoG6,24.01.2015 15:00,Pescara,Ternana,1,2,55%,45%,13,8,8,3,5,5,14,11,12,5,1,1,21,21,1,7,0,0,2,2,A
88YKo98Q,24.01.2015 15:00,Varese,AC Carpi,0,1,56%,44%,8,9,5,4,3,5,26,15,7,2,1,1,28,29,3,5,0,0,3,4,A
IsOfu7of,23.01.2015 20:30,Catania,Pro Vercelli,4,0,56%,44%,11,12,7,5,4,7,23,21,3,6,1,2,15,21,5,3,0,0,2,5,H
lrGATSbe,19.01.2015 20:30,Bologna,Perugia,2,1,45%,55%,13,6,7,2,6,4,15,18,2,8,1,0,26,22,1,5,0,0,5,2,H
MXVVzB6L,18.01.2015 18:00,AC Carpi,Livorno,1,2,55%,45%,13,9,8,6,5,3,21,14,14,5,2,1,28,15,4,7,0,1,5,2,A
W65FSnE1,17.01.2015 15:00,Bari,Entella,0,0,55%,45%,19,5,6,2,13,3,21,22,6,1,0,4,26,28,2,6,0,0,1,2,D
zujyFTq2,17.01.2015 15:00,Brescia,Frosinone,3,1,50%,50%,13,14,10,9,3,5,17,22,5,8,1,0,15,15,8,7,0,0,3,3,H
v9QzzVLR,17.01.2015 15:00,Cittadella,Modena,1,1,52%,48%,13,6,7,4,6,2,23,18,9,3,1,0,34,27,3,6,0,0,2,3,D
lKXNxXy9,17.01.2015 15:00,Lanciano,Catania,3,0,52%,48%,16,13,8,4,8,9,16,20,1,1,0,0,19,18,4,5,1,0,3,5,H
xf5ElCHa,17.01.2015 15:00,Latina,L.R. Vicenza,0,0,52%,48%,8,7,5,2,3,5,20,18,8,4,1,3,27,28,2,5,0,0,2,2,D
rsXRyiiF,17.01.2015 15:00,Pro Vercelli,Avellino,1,1,48%,52%,10,14,4,6,6,8,22,25,3,3,1,1,22,22,5,3,0,0,2,4,D
tIC2VlUr,17.01.2015 15:00,Spezia,Varese,1,1,55%,45%,11,11,5,5,6,6,25,19,5,0,1,0,24,26,4,4,0,0,1,2,D
xpUJwDM2,17.01.2015 15:00,Ternana,Crotone,2,1,43%,57%,10,21,6,8,4,13,11,20,1,6,1,1,11,22,7,4,1,0,4,1,H
zuC6U8qk,17.01.2015 15:00,Trapani,Pescara,2,4,57%,43%,19,18,7,8,12,10,22,17,5,4,0,1,24,18,4,5,0,0,1,3,A
dQ8pPD79,28.12.2014 18:00,Livorno,Pescara,1,2,50%,50%,8,8,3,5,5,3,13,17,1,5,2,1,13,13,3,2,0,0,6,4,A
OK412j0d,28.12.2014 15:00,Avellino,Brescia,2,0,56%,44%,16,6,13,1,3,5,18,13,7,3,3,5,18,26,1,11,0,1,1,2,H
GEimQgh3,28.12.2014 15:00,Catania,AC Carpi,0,2,46%,54%,9,12,5,7,4,5,23,21,1,4,1,0,27,28,5,5,0,0,4,3,A
SEnTGkFk,28.12.2014 15:00,Entella,Crotone,1,1,55%,45%,11,7,6,4,5,3,21,21,7,1,2,2,43,21,3,5,0,0,1,3,D
b36Akh2g,28.12.2014 15:00,Frosinone,L.R. Vicenza,1,0,47%,53%,9,5,5,0,4,5,17,24,2,7,2,0,20,21,0,4,2,2,5,2,H
dliXF9Ue,28.12.2014 15:00,Lanciano,Bologna,1,2,49%,51%,11,12,6,5,5,7,17,10,4,4,0,0,19,20,3,5,0,0,0,3,A
zH7lOXMF,28.12.2014 15:00,Modena,Latina,0,0,49%,51%,9,9,6,4,3,5,27,16,5,4,0,1,21,28,4,6,0,0,1,2,D
Uw7hNixM,28.12.2014 15:00,Perugia,Cittadella,3,1,56%,44%,17,12,11,3,6,9,23,16,8,1,0,1,33,32,2,8,0,0,3,3,H
rsBdMBiS,28.12.2014 15:00,Pro Vercelli,Trapani,1,0,45%,55%,18,16,5,5,13,11,7,22,12,7,5,0,15,26,5,4,0,1,4,1,H
lOmPHVaq,28.12.2014 15:00,Varese,Ternana,2,0,57%,43%,9,8,6,5,3,3,17,23,5,2,2,0,39,32,5,4,0,1,2,3,H
xOhqRZxc,28.12.2014 12:30,Bari,Spezia,0,3,52%,48%,19,8,6,3,13,5,17,20,4,1,3,0,29,15,0,6,1,1,3,4,A
8Wx5Q2nn,24.12.2014 15:00,AC Carpi,Perugia,4,0,43%,57%,14,7,9,2,5,5,20,16,4,2,5,0,20,26,2,5,0,0,1,3,H
U57f6a1U,24.12.2014 15:00,Bologna,Pro Vercelli,3,0,49%,51%,14,9,7,4,7,5,14,14,3,4,2,1,24,23,4,4,0,0,1,0,H
Uuv1RrXu,24.12.2014 15:00,Brescia,Bari,2,1,53%,47%,8,18,4,8,4,10,19,13,5,8,1,1,30,23,7,2,0,0,3,2,H
2gx9PM1h,24.12.2014 15:00,Cittadella,Catania,3,2,51%,49%,17,5,8,5,9,0,16,19,7,2,1,1,20,26,3,5,0,4,4,5,H
tSB5jYnm,24.12.2014 15:00,L.R. Vicenza,Livorno,0,0,56%,44%,8,8,3,2,5,6,25,8,4,2,1,1,22,23,2,3,0,0,0,3,D
r3pHN0W4,24.12.2014 15:00,Latina,Entella,1,1,49%,51%,15,12,10,7,5,5,21,25,7,6,0,2,26,27,6,9,0,0,2,1,D
MgqLMKoB,24.12.2014 15:00,Pescara,Varese,2,0,51%,49%,12,12,5,4,7,8,13,19,1,6,3,0,18,16,4,3,0,1,2,1,H
jTmPLv1H,24.12.2014 15:00,Spezia,Lanciano,3,3,46%,54%,10,14,5,4,5,10,18,28,5,8,2,1,19,17,1,2,0,0,6,3,D
ShBh4CVq,24.12.2014 15:00,Ternana,Modena,1,0,56%,44%,13,7,7,3,6,4,16,13,7,4,1,1,16,17,3,6,0,0,1,3,H
AH0c3Wpj,24.12.2014 15:00,Trapani,Avellino,4,1,47%,53%,15,11,7,4,8,7,15,25,6,4,1,1,24,20,3,3,0,0,2,4,H
0veCOtHb,24.12.2014 12:30,Crotone,Frosinone,2,0,58%,42%,11,11,6,4,5,7,34,21,6,6,0,2,24,25,4,4,0,1,3,7,H
GYyeI5fP,20.12.2014 15:00,Bari,Latina,1,0,47%,53%,13,5,11,2,2,3,12,19,5,7,0,0,13,23,2,10,0,0,4,2,H
hfTMDP2t,20.12.2014 15:00,Catania,Brescia,2,2,47%,53%,11,19,9,9,2,10,17,26,4,5,2,0,15,20,7,7,0,0,4,1,D
dh9n8LWH,20.12.2014 15:00,Entella,Livorno,1,1,48%,52%,9,17,6,8,3,9,17,13,6,3,1,0,26,33,7,5,0,0,1,4,D
zJIRCqIn,20.12.2014 15:00,Frosinone,Cittadella,1,1,58%,42%,14,13,6,8,8,5,16,15,3,3,0,2,31,33,7,5,0,0,3,2,D
2yD1iEXt,20.12.2014 15:00,L.R. Vicenza,Spezia,1,0,52%,48%,10,9,5,4,5,5,17,23,10,3,2,3,19,21,4,4,1,0,4,1,H
E9HVB3Xh,20.12.2014 15:00,Modena,Trapani,2,1,57%,43%,20,8,8,3,12,5,19,16,14,4,3,1,29,20,2,6,0,0,1,3,H
MZGZANna,20.12.2014 15:00,Perugia,Pescara,2,2,55%,45%,13,9,8,3,5,6,18,15,3,3,0,0,22,21,1,6,1,0,2,3,D
0QFwAs25,20.12.2014 15:00,Pro Vercelli,Ternana,2,1,54%,46%,22,13,12,5,10,8,14,11,12,5,1,0,26,24,4,10,0,0,1,2,H
rk5r91HB,20.12.2014 15:00,Varese,Crotone,1,0,54%,46%,3,12,3,4,0,8,26,25,4,6,0,0,21,21,4,2,0,0,3,3,H
2VmDgMHO,19.12.2014 21:00,Avellino,Bologna,1,0,49%,51%,12,8,7,4,5,4,18,11,12,7,0,0,29,26,4,6,0,2,3,4,H
jF8j7unO,19.12.2014 19:00,Lanciano,AC Carpi,1,1,52%,48%,6,7,3,2,3,5,20,25,3,2,0,0,32,25,1,2,0,0,3,2,D
I7FTY8Ip,16.12.2014 20:30,Entella,Modena,1,1,59%,41%,20,7,6,4,14,3,18,21,10,2,3,1,24,18,3,5,0,0,2,2,D
MFhhbp3g,15.12.2014 20:30,Latina,Varese,1,0,63%,37%,13,6,7,2,6,4,20,18,7,5,1,2,31,24,2,6,0,0,3,5,H
88CH4nQP,13.12.2014 15:00,AC Carpi,Modena,1,0,51%,49%,10,4,5,3,5,1,32,19,6,2,2,2,31,33,3,4,0,0,5,3,H
SCZUtqYI,13.12.2014 15:00,Bologna,Frosinone,2,2,44%,56%,16,9,8,4,8,5,19,23,4,3,0,2,24,23,2,6,0,0,2,3,D
UHDD5SAJ,13.12.2014 15:00,Brescia,Spezia,0,1,47%,53%,7,10,2,8,5,2,19,21,3,6,1,2,21,14,7,2,0,0,4,1,A
004q06Yt,13.12.2014 15:00,Cittadella,Bari,0,1,56%,44%,7,12,2,1,5,11,21,14,6,8,0,0,27,20,0,2,0,0,1,3,A
vi3maQmm,13.12.2014 15:00,Crotone,Pro Vercelli,0,1,50%,50%,5,6,1,3,4,3,23,14,1,5,0,0,25,34,2,1,0,1,1,4,A
pdQZefPP,13.12.2014 15:00,Entella,L.R. Vicenza,2,1,53%,47%,12,7,7,2,5,5,21,30,8,4,6,0,17,26,1,5,0,1,2,4,H
Ykddc4Ia,13.12.2014 15:00,Livorno,Catania,4,2,58%,42%,11,13,6,3,5,10,20,12,6,4,1,6,16,25,1,2,0,0,4,4,H
SCe0dOX5,13.12.2014 15:00,Pescara,Avellino,0,0,53%,47%,5,5,2,1,3,4,23,19,4,2,0,0,22,23,1,2,1,1,3,2,D
63f4ermC,13.12.2014 15:00,Ternana,Lanciano,0,1,52%,48%,11,12,4,5,7,7,21,20,5,6,0,0,22,14,4,4,0,0,3,3,A
Ovk9f22I,12.12.2014 20:30,Trapani,Perugia,2,2,45%,55%,6,18,2,7,4,11,22,23,4,9,0,0,13,28,5,0,0,0,2,3,D
nB7WdzAJ,08.12.2014 17:30,L.R. Vicenza,Brescia,2,0,49%,51%,16,8,8,7,8,1,22,9,9,13,0,3,19,18,7,6,0,1,3,5,H
tM2Enm4s,08.12.2014 15:00,Modena,Livorno,0,0,56%,44%,10,7,3,2,7,5,19,18,4,4,3,1,29,21,2,3,0,2,1,3,D
fVTeU5lD,06.12.2014 15:00,Avellino,Crotone,1,2,54%,46%,12,10,5,5,7,5,18,22,9,1,1,3,31,21,3,4,0,0,2,3,A
roNwgkRD,06.12.2014 15:00,Bari,AC Carpi,0,1,46%,54%,11,11,8,5,3,6,10,23,8,9,0,0,24,28,4,8,1,0,6,2,A
MyMsh9tK,06.12.2014 15:00,Catania,Bologna,2,2,47%,53%,18,17,11,12,7,5,12,19,3,7,3,1,30,18,10,9,0,0,3,2,D
E9VQsPIC,06.12.2014 15:00,Lanciano,Trapani,2,2,58%,42%,12,8,7,3,5,5,14,14,7,3,1,0,37,23,1,5,0,0,2,2,D
zq2Io7Jm,06.12.2014 15:00,Perugia,Latina,0,0,50%,50%,10,5,4,1,6,4,16,19,3,5,5,6,29,26,1,4,0,0,1,3,D
EZ0MpRYg,06.12.2014 15:00,Pro Vercelli,Pescara,0,4,52%,48%,18,11,3,6,15,5,21,15,5,3,0,1,40,31,2,3,0,0,5,2,A
tdXIqol0,06.12.2014 15:00,Spezia,Cittadella,0,0,55%,45%,9,9,2,5,7,4,17,20,6,0,4,0,28,19,5,2,0,1,2,2,D
KnWMr536,06.12.2014 15:00,Varese,Entella,2,2,54%,46%,16,7,6,4,10,3,18,20,9,4,0,0,30,26,2,4,0,0,3,3,D
40BniTeQ,05.12.2014 20:30,Frosinone,Ternana,0,1,55%,45%,14,9,7,4,7,5,19,13,14,5,0,2,38,22,3,7,0,0,1,1,A
rTiEp6Hd,30.11.2014 12:30,Bologna,Bari,2,0,57%,43%,14,9,5,4,9,5,21,10,8,7,0,3,22,24,4,3,1,0,4,3,H
n1IfgbLd,29.11.2014 15:00,AC Carpi,Frosinone,0,0,44%,56%,7,15,4,6,3,9,25,15,5,9,0,1,26,26,6,4,1,0,5,5,D
04MbhIz3,29.11.2014 15:00,Cittadella,Brescia,1,1,45%,55%,5,16,3,7,2,9,24,14,1,9,2,3,13,13,6,2,2,0,2,4,D
fRL2ixj9,29.11.2014 15:00,Crotone,Modena,1,4,51%,49%,5,6,4,5,1,1,23,20,6,3,0,5,28,24,1,3,1,0,2,3,A
GvViVoZ6,29.11.2014 15:00,Entella,Avellino,0,0,56%,44%,9,9,3,4,6,5,18,23,6,2,3,0,27,31,4,3,0,0,2,1,D
YHK6jd5F,29.11.2014 15:00,Latina,Pro Vercelli,1,1,49%,51%,14,10,5,4,9,6,23,22,6,4,0,0,41,29,3,4,0,0,2,3,D
lSwyZTZs,29.11.2014 15:00,Livorno,Perugia,0,0,46%,54%,7,8,2,2,5,6,14,28,3,6,2,1,26,24,2,2,0,0,3,1,D
MuxqX74f,29.11.2014 15:00,Ternana,Catania,1,0,45%,55%,6,10,2,3,4,7,17,14,3,5,2,4,20,30,3,1,0,1,2,5,H
YFumWRJ0,29.11.2014 15:00,Trapani,Spezia,3,2,55%,45%,13,8,7,4,6,4,17,20,3,6,1,2,22,16,2,4,0,0,4,2,H
p6TmYjXI,29.11.2014 15:00,Varese,L.R. Vicenza,2,3,43%,57%,5,12,4,7,1,5,15,23,3,3,0,0,26,24,4,2,0,0,3,2,A
SIxuYmkl,28.11.2014 20:30,Pescara,Lanciano,1,1,46%,54%,13,10,3,4,10,6,12,19,5,4,3,2,30,31,3,2,0,0,3,4,D
QNFNfju4,23.11.2014 18:00,Catania,Latina,1,0,49%,51%,8,14,6,6,2,8,16,28,1,1,0,0,23,28,6,5,0,0,4,2,H
GhYWXSXj,22.11.2014 15:00,Avellino,Varese,0,0,56%,44%,13,3,8,0,5,3,30,15,11,0,1,4,28,27,0,8,0,0,1,4,D
UeMEdCAi,22.11.2014 15:00,Bari,Trapani,2,1,44%,56%,10,10,7,9,3,1,19,20,3,8,0,0,26,30,8,5,0,0,3,2,H
8nLIeWPc,22.11.2014 15:00,Brescia,AC Carpi,3,3,62%,38%,8,9,6,6,2,3,25,21,4,6,0,0,18,15,3,3,0,2,4,9,D
6FUqZWHC,22.11.2014 15:00,L.R. Vicenza,Cittadella,1,1,61%,39%,13,12,7,4,6,8,22,18,8,6,0,1,28,17,3,6,0,2,4,6,D
4xgAon2j,22.11.2014 15:00,Lanciano,Crotone,1,1,49%,51%,14,4,5,2,9,2,19,23,3,3,3,0,32,21,1,4,0,1,3,3,D
byEVhU9G,22.11.2014 15:00,Modena,Pescara,2,0,57%,43%,12,4,5,1,7,3,17,22,7,2,0,1,22,20,1,3,1,3,4,3,H
CvIZilPM,22.11.2014 15:00,Perugia,Ternana,2,2,58%,42%,10,5,5,3,5,2,26,22,9,2,1,3,24,20,1,3,1,0,6,3,D
f37vi8vT,22.11.2014 15:00,Pro Vercelli,Entella,2,0,55%,45%,8,6,5,2,3,4,13,27,4,2,3,1,30,22,2,3,0,0,2,2,H
dCg6nSnp,22.11.2014 15:00,Spezia,Bologna,1,1,42%,58%,11,6,1,4,10,2,25,17,4,3,0,2,19,25,3,0,0,0,3,4,D
4EERgAfA,21.11.2014 20:30,Frosinone,Livorno,5,1,58%,42%,16,7,8,3,8,4,16,13,3,4,1,0,27,16,2,3,0,1,2,6,H
xtQuzD26,16.11.2014 18:00,Avellino,L.R. Vicenza,0,1,56%,44%,9,4,4,2,5,2,26,24,5,3,3,3,37,21,1,4,0,0,1,1,A
zLsxqgth,16.11.2014 15:00,Crotone,Bari,3,0,58%,42%,9,10,5,4,4,6,29,16,4,4,1,0,23,16,4,2,0,0,1,2,H
UsstrDeb,16.11.2014 15:00,Latina,Lanciano,1,0,58%,42%,10,5,3,0,7,5,19,25,5,3,0,0,36,18,0,2,0,0,1,4,H
roopsXA4,16.11.2014 15:00,Livorno,Pro Vercelli,3,1,53%,47%,14,5,5,2,9,3,13,26,5,3,8,2,15,19,1,2,0,0,1,3,H
