id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Red Cards_home,Red Cards_away,result
fFgWMcdR,03.03.2024 16:15,Ascoli,Reggiana,0,0,0.86,0.78,47%,53%,8,11,3,3,3,3,2,5,23,20,3,7,1,0,27,24,3,3,18,22,2,2,320,350,198,229,12,13,100,102,44,49,24,16,14,22,1,0,D
CftbIH4r,03.03.2024 16:15,Bari,Spezia,1,1,0.45,0.49,56%,44%,11,10,3,4,5,3,3,3,16,11,5,8,1,0,18,21,3,2,10,17,3,3,461,354,387,252,16,20,77,98,46,38,17,11,19,21,0,0,D
OUq2HyKl,03.03.2024 16:15,Cittadella,Pisa,0,1,0.24,1.11,41%,59%,6,12,0,3,2,7,4,2,11,16,4,3,1,0,30,32,2,0,10,14,2,2,320,463,222,356,19,24,102,101,45,46,12,20,13,15,0,0,A
6gZ6GeZf,03.03.2024 16:15,Como,Venezia,2,1,0.48,0.56,46%,54%,8,10,4,3,1,2,3,5,14,10,5,5,0,2,21,17,2,2,10,13,1,2,382,433,305,357,8,8,75,101,34,54,34,14,20,23,0,0,H
ppYAFFl1,03.03.2024 16:15,Cosenza,Catanzaro,0,2,0.98,1.50,46%,54%,13,6,2,4,8,2,3,0,7,25,8,1,1,2,13,7,2,2,4,24,6,1,381,473,324,409,13,9,92,50,51,23,9,27,36,7,1,0,A
EJxFEZ37,03.03.2024 16:15,FeralpiSalo,Sampdoria,1,3,0.88,1.48,52%,48%,11,8,4,4,4,2,3,2,22,8,5,2,0,3,18,19,1,3,19,8,1,6,448,418,354,344,11,16,120,79,47,27,5,24,22,9,0,0,A
IyPZVF5S,02.03.2024 14:00,Brescia,Palermo,4,2,1.14,1.45,60%,40%,16,15,7,7,5,6,4,2,18,10,5,5,2,0,17,13,5,3,15,11,3,3,505,332,444,276,18,11,82,77,43,30,18,16,18,12,0,1,H
dr2aMoND,02.03.2024 14:00,Sudtirol,Lecco,1,0,0.78,0.18,69%,31%,14,7,2,0,8,4,4,3,18,15,10,4,1,1,19,23,0,1,17,13,4,3,529,226,454,148,19,21,124,68,58,34,16,26,30,20,0,0,H
Ao63L5xK,02.03.2024 14:00,Ternana,Parma,1,3,2.13,2.63,51%,49%,15,15,5,7,5,4,5,4,9,12,5,5,1,0,16,18,4,4,11,10,3,5,456,453,361,363,22,10,93,110,42,50,8,18,28,11,0,0,A
hj9X1dK1,28.02.2024 20:30,Pisa,Modena,2,2,0.94,1.36,42%,58%,5,9,4,4,0,3,1,2,15,12,3,6,1,3,18,28,2,2,12,11,3,5,366,487,271,392,15,19,64,135,33,48,37,11,10,29,1,0,D
bm0NOJRE,28.02.2024 20:30,Spezia,FeralpiSalo,0,2,0.80,0.81,67%,33%,19,9,2,2,10,6,7,1,14,17,8,3,0,2,30,17,0,2,13,15,3,1,555,280,458,197,17,13,139,69,51,30,8,30,28,12,0,0,A
GOfSNwsL,28.02.2024 20:30,Venezia,Cittadella,2,0,1.11,0.91,52%,48%,11,23,4,5,4,10,3,8,11,10,4,14,1,0,21,32,5,2,10,8,1,2,432,370,350,277,14,14,87,121,20,79,37,13,16,46,0,0,H
M1Zh9vSR,27.02.2024 20:30,Catanzaro,Bari,2,0,1.27,1.53,38%,62%,7,21,4,4,2,13,1,4,20,10,2,3,1,2,12,19,4,2,16,10,2,3,370,589,293,512,9,12,54,90,38,86,20,7,7,26,0,0,H
OALK4bzq,27.02.2024 20:30,Lecco,Como,0,3,0.15,1.08,49%,51%,6,18,1,6,3,8,2,4,9,21,4,6,3,2,26,22,3,1,7,17,2,0,427,454,327,352,14,16,65,83,66,88,30,26,25,27,0,0,A
WzLO3Ikk,27.02.2024 20:30,Palermo,Ternana,2,3,0.27,1.80,57%,43%,10,16,3,4,3,9,4,3,16,11,3,4,0,2,17,18,1,1,14,11,2,2,508,372,439,288,10,20,77,63,74,55,22,22,21,18,0,0,A
ARJS2x5e,27.02.2024 20:30,Parma,Cosenza,1,1,0.63,1.02,48%,52%,12,8,2,3,3,4,7,1,17,16,7,5,1,1,23,19,2,1,16,14,4,3,467,491,378,414,9,13,230,188,135,97,16,20,16,24,1,0,D
Kd1JPaC8,27.02.2024 20:30,Sampdoria,Cremonese,1,2,0.82,1.74,42%,58%,8,22,2,7,5,9,1,6,17,17,3,10,1,1,16,18,5,1,16,14,2,4,381,510,303,440,14,11,74,97,40,97,25,6,15,30,0,0,A
voQVWejM,27.02.2024 18:15,Ascoli,Brescia,1,1,1.51,0.10,54%,46%,15,5,5,1,8,3,2,1,23,20,4,0,3,1,26,24,0,4,21,16,1,1,404,346,284,205,12,19,240,185,168,69,10,34,29,5,0,0,D
6gDy1GZ7,27.02.2024 18:15,Reggiana,Sudtirol,1,1,0.93,0.58,54%,46%,9,9,1,4,4,4,4,1,15,11,2,2,0,3,15,17,3,0,11,12,2,2,581,484,495,395,12,16,93,78,64,49,14,17,19,8,0,0,D
hMsxDMS2,25.02.2024 16:15,Modena,Spezia,0,0,1.46,0.14,75%,25%,31,3,7,0,13,3,11,0,13,18,11,0,1,1,19,13,0,7,12,18,4,4,588,204,518,137,19,17,112,60,94,29,10,39,41,9,0,1,D
p6sriu6q,24.02.2024 16:15,Como,Parma,1,1,0.70,1.62,59%,41%,5,14,2,5,1,6,2,3,15,17,3,3,3,3,21,28,4,1,11,14,2,2,513,346,414,246,11,19,103,103,40,52,21,16,21,12,0,0,D
WCttCtr9,24.02.2024 16:15,Pisa,Venezia,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,A
vwplAKCL,24.02.2024 16:15,Ternana,Lecco,0,0,0.55,0.66,52%,48%,7,18,2,4,2,10,3,4,15,20,7,9,2,0,22,23,4,2,15,17,2,1,402,372,321,274,16,8,106,82,51,52,28,17,37,27,0,0,D
ABLRXyyG,24.02.2024 14:00,Brescia,Reggiana,0,0,0.83,0.78,42%,58%,11,11,2,5,4,4,5,2,17,15,0,2,1,1,22,27,5,2,13,14,2,1,386,531,309,445,27,16,118,134,28,50,25,9,15,25,0,0,D
vP4FeLcS,24.02.2024 14:00,Cittadella,Catanzaro,1,2,1.69,0.87,34%,66%,12,11,4,5,6,2,2,4,17,24,5,5,0,1,23,15,3,3,16,21,1,4,257,525,191,457,5,20,80,82,47,26,15,37,21,13,0,0,A
xEakkJzd,24.02.2024 14:00,Cremonese,Palermo,2,2,1.65,1.80,44%,56%,17,16,5,8,7,5,5,3,18,8,5,9,2,1,11,23,6,3,17,5,1,3,299,397,251,339,18,16,88,79,47,58,26,25,24,25,1,0,D
G4bglwj2,24.02.2024 14:00,FeralpiSalo,Ascoli,0,1,1.28,0.56,66%,34%,15,10,4,4,4,4,7,2,20,18,7,3,0,2,25,18,3,4,19,16,2,3,508,264,382,120,9,13,143,83,63,21,12,29,30,10,0,0,A
QZupB0cF,24.02.2024 14:00,Sudtirol,Bari,1,0,1.46,0.28,59%,41%,7,4,1,1,3,1,3,2,19,14,3,4,1,1,17,27,1,0,18,11,3,1,495,339,432,273,24,21,102,83,49,51,20,15,20,23,0,0,H
ri0ojaLk,23.02.2024 20:30,Cosenza,Sampdoria,1,2,1.93,0.96,60%,40%,19,7,6,3,9,3,4,1,7,9,12,0,2,0,25,24,1,5,10,8,2,5,498,353,416,269,15,17,127,63,75,16,13,36,41,7,0,0,A
0Y5Bd1rM,18.02.2024 16:15,Venezia,Modena,2,2,1.75,1.81,57%,43%,14,13,4,4,3,7,7,2,11,10,7,4,1,1,17,12,2,2,8,11,2,3,497,378,412,298,8,14,112,70,64,63,18,24,26,13,0,0,D
4nM8xtij,17.02.2024 16:15,Catanzaro,Sudtirol,2,2,2.02,0.31,59%,41%,16,6,6,3,6,1,4,2,24,13,6,2,0,0,15,14,1,4,13,24,3,3,539,368,471,296,14,16,124,79,44,17,7,19,23,11,1,0,D
dt9f0qqc,17.02.2024 16:15,Palermo,Como,3,0,1.14,0.74,33%,67%,7,17,4,3,1,10,2,4,20,19,0,8,4,2,16,15,3,1,16,14,1,3,246,487,177,424,27,18,56,123,15,49,27,6,7,24,0,0,H
WKMNYHL9,17.02.2024 16:15,Sampdoria,Brescia,1,1,1.12,0.20,50%,50%,13,8,3,4,4,3,6,1,15,10,2,6,0,0,10,18,3,2,17,12,1,2,471,446,391,370,10,21,98,97,53,55,15,15,11,27,0,0,D
Oz5BwMyp,17.02.2024 14:00,Bari,FeralpiSalo,1,0,1.34,0.24,49%,51%,8,8,3,2,3,5,2,1,18,15,4,0,1,0,18,20,2,2,17,14,3,1,378,392,279,302,25,22,101,121,47,34,13,9,19,12,0,0,H
rwLCy06d,17.02.2024 14:00,Lecco,Cosenza,1,3,1.76,1.85,53%,47%,25,15,6,6,12,4,7,5,17,14,13,2,3,3,38,25,3,5,12,12,5,4,389,352,292,256,14,22,93,87,81,33,14,36,36,15,0,0,A
AqDba3b3,17.02.2024 14:00,Parma,Pisa,3,2,1.54,1.56,47%,53%,16,8,9,3,1,4,6,1,14,11,3,2,1,2,23,22,1,6,12,10,2,3,469,532,400,447,13,24,126,73,58,27,5,15,13,9,0,0,H
h823bND9,17.02.2024 14:00,Reggiana,Ternana,0,2,1.05,1.97,60%,40%,17,10,6,6,7,4,4,0,20,20,7,4,2,3,23,11,4,6,17,18,3,3,507,340,395,244,14,19,107,104,40,28,9,20,19,15,0,0,A
Wb17csTF,17.02.2024 14:00,Spezia,Cittadella,4,2,1.65,0.96,65%,35%,15,7,8,3,4,3,3,1,17,18,4,4,1,0,15,27,1,4,18,19,1,6,591,300,523,212,14,18,126,81,48,31,21,21,24,18,0,2,H
nBsrel7H,16.02.2024 20:30,Ascoli,Cremonese,0,0,0.39,0.60,38%,62%,10,9,1,1,5,5,4,3,22,21,4,1,2,3,18,17,1,1,20,18,3,4,242,410,142,329,17,12,86,94,55,42,18,26,16,14,0,0,D
hlrvdUiB,11.02.2024 16:15,Ternana,Spezia,1,1,1.85,0.71,40%,60%,13,12,5,4,7,5,1,3,23,20,3,3,1,0,20,24,3,4,23,19,2,2,353,524,244,415,13,16,84,110,21,40,13,16,15,15,0,0,D
