id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Red Cards_home,Red Cards_away,result
jsiBXg9g,27.01.2024 14:00,Modena,Parma,3,0,0.62,0.53,43%,57%,6,17,4,5,1,6,1,6,15,16,1,4,1,2,16,15,5,1,12,15,2,1,423,551,328,479,29,12,65,139,22,63,19,8,2,12,0,0,H
OfkJVXw6,27.01.2024 14:00,Sudtirol,Cosenza,0,1,0.87,1.44,43%,57%,12,16,3,5,6,7,3,4,17,20,5,3,0,0,13,19,4,3,13,19,0,3,315,421,222,320,13,9,89,115,36,38,20,14,19,18,0,0,A
xbgNUigC,27.01.2024 14:00,Venezia,Ternana,1,0,1.70,0.24,62%,38%,18,6,5,0,8,4,5,2,13,20,7,4,3,0,16,7,0,4,11,17,2,1,374,238,311,169,0,9,82,45,59,12,4,28,28,13,0,1,H
Qa7WvxHJ,26.01.2024 20:30,Catanzaro,Palermo,1,1,0.83,1.04,63%,37%,12,6,1,3,7,3,4,0,12,12,4,5,1,0,13,24,2,0,12,9,1,1,579,333,517,270,10,24,95,71,27,44,15,11,17,24,0,0,D
QwWeSbXD,21.01.2024 16:15,Ascoli,Bari,2,2,2.39,1.48,58%,42%,25,11,7,4,7,4,11,3,15,17,11,4,0,0,23,12,2,5,18,17,4,5,397,304,296,207,26,20,122,88,77,26,9,45,47,16,0,0,D
4UUaRInK,20.01.2024 16:15,Cosenza,Venezia,4,2,2.09,1.74,43%,57%,22,16,7,5,3,6,12,5,13,16,5,8,0,1,15,25,3,3,9,13,3,2,351,473,263,375,18,8,83,118,36,42,33,15,19,20,0,0,H
nkYOLdAs,20.01.2024 16:15,Lecco,Pisa,1,3,1.38,1.65,49%,51%,18,14,3,5,8,4,7,5,15,15,6,4,2,1,18,19,2,2,13,14,5,2,371,396,276,314,24,18,91,104,45,40,18,27,26,15,0,0,A
tCXSKGPm,20.01.2024 16:15,Palermo,Modena,4,2,1.07,1.52,55%,45%,16,11,7,4,5,6,4,1,17,14,7,8,0,1,15,11,2,3,15,13,1,5,480,397,394,306,12,15,120,104,69,43,19,30,27,25,0,0,H
ratTCzaj,20.01.2024 14:00,Brescia,Sudtirol,1,1,1.10,0.50,49%,51%,10,9,4,2,2,5,4,2,13,12,6,4,0,1,16,24,1,3,14,11,2,3,403,405,316,324,14,20,109,110,50,55,25,26,20,26,0,0,D
ptncQx2Q,20.01.2024 14:00,FeralpiSalo,Catanzaro,3,0,0.84,1.36,33%,67%,13,11,8,3,2,5,3,3,17,13,3,3,4,2,16,17,3,5,16,10,3,5,305,641,221,542,15,19,84,118,39,44,28,13,15,21,0,0,H
fFyXJzuf,20.01.2024 14:00,Reggiana,Como,2,2,0.91,1.25,57%,43%,14,13,4,6,5,4,5,3,13,13,2,9,2,0,18,14,4,2,10,10,3,4,544,402,469,326,17,15,114,103,52,60,30,7,15,29,0,0,D
GUPuIE96,20.01.2024 14:00,Spezia,Cremonese,0,1,1.08,1.63,45%,55%,11,10,3,4,5,5,3,1,20,15,5,5,2,0,21,20,3,3,21,12,4,2,383,476,272,366,22,15,106,110,56,57,16,32,19,18,0,0,A
p4UqHYOC,20.01.2024 14:00,Ternana,Cittadella,3,1,1.31,1.71,43%,57%,15,18,7,4,5,10,3,4,15,10,5,8,1,1,16,35,3,4,15,9,3,2,323,414,218,321,21,16,78,105,24,79,28,8,17,32,0,0,H
xvRyJff0,19.01.2024 20:30,Sampdoria,Parma,0,3,0.62,1.42,56%,44%,11,12,4,3,6,5,1,4,10,11,2,6,3,1,9,11,0,4,10,7,1,1,558,435,465,342,20,12,118,89,88,53,20,24,21,11,0,0,A
8roc7cel,14.01.2024 16:15,Cremonese,Cosenza,1,0,0.45,0.53,55%,45%,12,7,6,4,4,0,2,3,14,14,11,2,0,7,20,22,4,5,7,14,3,5,446,379,369,299,17,18,111,88,53,36,17,29,34,16,0,0,H
xIk16HAf,14.01.2024 16:15,Parma,Ascoli,1,1,1.30,0.87,66%,34%,19,9,5,3,6,4,8,2,20,18,3,1,2,4,16,18,2,4,16,14,2,4,601,315,497,201,13,26,162,83,66,35,11,24,23,13,0,1,D
CzrE3FfD,14.01.2024 16:15,Venezia,Sampdoria,5,3,2.48,0.69,56%,44%,17,7,8,3,6,2,3,2,16,14,1,2,2,1,16,17,0,3,15,11,3,4,568,450,479,367,5,9,119,70,28,28,12,11,12,8,0,1,H
G8l55yQ0,13.01.2024 16:15,Pisa,Reggiana,2,2,1.43,0.64,64%,36%,17,7,8,2,3,3,6,2,16,20,6,3,0,1,21,16,0,6,14,19,7,2,529,291,449,208,12,18,140,76,48,23,11,32,23,14,0,0,D
dnGHRRt3,13.01.2024 14:00,Bari,Ternana,3,1,1.29,0.48,47%,53%,16,11,6,1,5,7,5,3,18,12,5,6,3,0,18,26,0,3,15,9,1,3,340,375,254,283,17,14,97,110,42,51,29,22,20,36,0,0,H
lfYOP5BF,13.01.2024 14:00,Cittadella,Palermo,2,0,1.43,0.47,49%,51%,16,8,6,3,5,3,5,2,10,20,2,4,3,0,22,24,3,4,10,17,1,2,422,441,352,346,18,18,106,97,51,37,21,21,21,13,0,1,H
Uing8wtr,13.01.2024 14:00,Como,Spezia,4,0,2.06,0.77,49%,51%,26,13,8,4,14,5,4,4,11,23,5,6,1,1,21,10,4,4,9,21,1,1,428,436,348,372,7,11,88,96,51,53,18,22,16,27,0,0,H
GxAWDGqp,13.01.2024 14:00,Modena,Brescia,1,2,1.78,0.79,66%,34%,14,11,2,5,8,4,4,2,21,15,10,5,1,2,25,18,3,1,18,13,4,5,452,282,441,184,13,15,122,86,46,34,7,26,30,9,0,0,A
bXwA4eu7,13.01.2024 14:00,Sudtirol,FeralpiSalo,1,0,1.78,0.58,41%,59%,13,17,2,5,8,4,3,8,13,13,6,6,2,0,16,17,5,1,12,11,2,3,358,508,261,422,21,7,77,140,27,64,18,19,22,26,0,0,H
j9FLQod9,12.01.2024 20:30,Catanzaro,Lecco,5,3,3.23,1.05,50%,50%,20,14,9,4,6,5,5,5,14,17,9,4,4,0,12,12,1,4,13,12,3,2,431,435,357,361,10,14,87,73,40,36,16,13,20,16,0,0,H
2mZQ44Zk,26.12.2023 20:30,Sampdoria,Bari,1,1,2.42,0.75,57%,43%,23,11,4,2,12,6,7,3,13,23,5,2,0,0,18,17,1,3,12,20,1,5,390,297,317,226,21,13,103,73,53,41,15,30,26,14,0,1,D
W4reAQBS,26.12.2023 18:00,Palermo,Cremonese,3,2,0.65,0.85,55%,45%,11,17,6,5,3,7,2,5,20,11,6,4,4,4,17,21,3,3,17,5,2,2,439,355,363,284,12,13,105,65,38,53,17,23,22,17,0,0,H
OYevE8C3,26.12.2023 15:00,Ascoli,Cittadella,0,0,0.70,1.47,47%,53%,12,11,5,3,5,8,2,0,16,15,6,2,2,1,33,16,3,5,17,16,3,4,309,345,174,220,14,22,122,90,50,55,19,36,24,24,0,0,D
ETN4IdyT,26.12.2023 15:00,Brescia,Parma,0,2,0.26,0.75,53%,47%,8,10,0,6,6,2,2,2,14,16,2,6,5,1,20,21,4,0,13,12,5,4,452,416,362,310,20,22,113,113,46,46,15,15,26,9,0,0,A
2PfrDSR9,26.12.2023 15:00,Cosenza,Como,1,2,0.59,1.30,46%,54%,4,10,2,6,1,4,1,0,16,26,6,3,5,0,33,25,4,1,16,17,3,2,308,381,216,271,16,16,82,89,26,35,11,12,23,13,0,0,A
AkfnCnsG,26.12.2023 15:00,FeralpiSalo,Venezia,2,2,1.04,1.52,32%,68%,8,11,3,4,4,4,1,3,12,12,3,4,1,0,17,16,2,1,12,13,2,2,272,593,205,507,6,18,76,128,28,50,17,8,10,23,0,0,D
ltgjB6dM,26.12.2023 15:00,Lecco,Sudtirol,2,1,0.91,1.29,50%,50%,10,12,4,5,5,3,1,4,23,18,1,2,0,2,20,19,4,2,18,16,5,3,373,375,275,283,16,18,81,106,41,37,12,15,15,13,0,0,H
tvYU3Old,26.12.2023 15:00,Spezia,Modena,1,1,1.29,1.68,51%,49%,19,12,2,6,9,4,8,2,18,12,6,4,1,1,19,17,5,1,15,12,2,3,421,422,344,343,16,12,100,96,63,27,13,24,29,11,0,0,D
IeHDS7Rd,26.12.2023 15:00,Ternana,Pisa,1,1,1.13,1.02,37%,63%,12,14,7,2,2,7,3,5,11,15,4,10,1,3,24,24,1,6,7,15,5,3,302,524,193,423,12,17,95,120,44,68,23,23,19,26,0,0,D
8QZM5pKq,26.12.2023 12:30,Reggiana,Catanzaro,1,0,1.20,0.51,39%,61%,8,7,2,4,3,3,3,0,20,11,2,5,2,0,17,12,4,1,20,8,2,5,379,579,304,509,15,8,82,117,31,49,19,6,8,19,0,0,H
S6t00kr4,23.12.2023 16:15,Bari,Cosenza,0,0,1.06,0.83,55%,45%,16,14,4,2,10,6,2,6,16,23,7,7,3,2,23,14,2,4,15,19,5,4,420,360,333,279,16,8,104,100,67,38,13,34,38,15,0,1,D
zDFqhRkp,23.12.2023 16:15,Pisa,Ascoli,1,0,0.34,0.50,63%,37%,6,10,2,1,2,5,2,4,15,12,3,1,2,1,17,36,1,1,13,10,5,3,598,337,497,229,20,14,94,147,19,47,45,11,14,21,0,0,H
E3Emio5j,23.12.2023 16:15,Sampdoria,FeralpiSalo,2,3,0.88,1.26,53%,47%,15,21,5,7,6,8,4,6,18,8,3,5,1,3,13,10,4,3,9,17,1,5,380,341,289,256,19,14,109,73,31,52,13,22,21,25,1,0,A
S62VFUsi,23.12.2023 16:15,Sudtirol,Reggiana,2,3,2.18,0.48,62%,38%,13,7,4,4,7,2,2,1,19,12,0,1,0,5,35,14,1,2,16,14,3,3,569,349,464,237,14,17,146,81,53,26,5,30,21,6,0,1,A
K6O0JxMM,23.12.2023 15:00,Catanzaro,Brescia,2,3,1.14,1.00,68%,32%,10,8,5,6,2,2,3,0,20,12,6,3,0,2,24,18,3,3,11,17,1,3,599,282,511,199,13,10,94,94,40,23,6,28,28,14,0,0,A
AVV4a9cA,23.12.2023 14:00,Cittadella,Spezia,4,1,1.55,0.64,49%,51%,24,16,7,5,9,6,8,5,13,14,7,3,0,0,40,20,4,3,13,12,2,4,347,362,240,256,25,20,98,136,75,78,29,26,26,19,0,0,H
M5Z8bTCG,23.12.2023 14:00,Como,Palermo,3,3,1.97,1.80,48%,52%,12,12,8,6,2,3,2,3,16,16,4,6,4,3,20,14,3,5,13,10,4,2,394,433,326,363,8,10,78,95,34,44,13,18,19,21,0,1,D
GSYCcmSM,23.12.2023 14:00,Cremonese,Modena,4,0,1.81,0.77,60%,40%,15,8,7,4,4,3,4,1,18,19,1,4,1,2,13,22,4,3,18,13,2,1,496,331,426,260,18,10,99,85,41,24,12,20,10,11,0,0,H
fJXGd7sT,23.12.2023 14:00,Parma,Ternana,3,1,1.22,1.31,58%,42%,21,12,8,2,9,6,4,4,12,6,5,8,0,4,17,9,1,5,7,10,0,3,553,391,474,306,14,20,102,94,41,37,17,21,9,23,0,0,H
tA6ZElcc,23.12.2023 14:00,Venezia,Lecco,2,2,0.79,1.20,61%,39%,10,6,5,2,4,2,1,2,14,14,3,1,2,0,26,17,0,3,12,12,2,3,576,376,487,276,10,32,151,78,76,27,10,32,29,9,0,1,D
6ZMy0LWN,17.12.2023 16:15,Lecco,Ternana,2,3,1.25,1.32,51%,49%,20,13,7,5,11,5,2,3,17,10,5,2,1,5,18,19,2,5,12,8,0,4,436,408,332,304,19,14,107,115,46,55,13,33,22,18,0,1,A
MVhX2Nn5,16.12.2023 16:15,Ascoli,Catanzaro,1,0,0.60,0.58,31%,69%,10,6,5,2,4,2,1,2,16,22,3,2,2,0,21,21,2,4,15,19,6,5,226,526,148,435,14,16,92,69,39,18,14,35,18,12,0,0,H
0Miy2s2B,16.12.2023 16:15,Cosenza,Parma,0,0,0.58,0.49,55%,45%,13,11,1,2,8,3,4,6,8,21,5,4,3,0,16,26,2,1,7,18,6,4,461,384,375,295,7,9,100,91,44,31,19,13,24,11,0,1,D
xID7fafo,16.12.2023 16:15,Palermo,Pisa,3,2,1.25,1.33,50%,50%,17,15,7,7,7,4,3,4,10,17,2,9,5,1,17,11,5,4,10,10,4,1,362,351,286,273,12,22,100,90,46,45,26,18,16,32,0,1,H
63KdKI6G,16.12.2023 14:00,Brescia,Como,2,0,1.63,1.54,42%,58%,11,21,5,5,4,11,2,5,13,15,2,5,1,0,16,16,5,3,13,14,2,2,366,497,274,406,23,12,105,92,35,56,24,8,13,23,0,0,H
SrOX01HH,16.12.2023 14:00,FeralpiSalo,Cremonese,1,0,0.39,1.08,32%,68%,7,18,4,6,1,10,2,2,12,15,1,6,2,0,23,28,6,3,10,12,0,4,270,553,161,444,15,23,98,123,42,73,31,16,8,34,0,0,H
0dMuaunU,16.12.2023 14:00,Modena,Cittadella,1,1,0.62,0.62,58%,42%,9,11,2,4,3,3,4,4,24,17,5,6,0,0,21,20,3,1,21,17,2,4,486,335,381,240,15,25,82,122,36,61,22,17,12,26,0,0,D
tjvl3ibo,16.12.2023 14:00,Reggiana,Sampdoria,1,2,0.42,1.33,51%,49%,8,14,3,6,3,6,2,2,19,16,3,7,1,2,19,16,4,2,16,15,4,4,423,419,322,312,11,14,88,123,35,52,19,19,18,18,0,1,A
lGsd1VSc,16.12.2023 14:00,Venezia,Sudtirol,2,3,1.76,2.03,62%,38%,9,10,3,3,3,4,3,3,9,14,6,2,0,1,27,17,0,1,9,12,3,3,570,358,478,264,15,22,155,82,65,39,8,18,26,7,1,0,A
Ktwh2BDi,15.12.2023 20:30,Spezia,Bari,1,0,0.99,0.44,55%,45%,18,12,2,4,10,5,6,3,17,16,10,7,0,1,22,18,4,1,14,15,5,4,419,349,338,271,28,20,104,72,49,36,13,21,22,16,1,0,H
tIKAoMHU,10.12.2023 16:15,Como,Modena,2,1,1.54,1.99,46%,54%,7,22,4,7,2,8,1,7,15,11,2,7,1,2,22,17,6,2,12,10,1,4,388,457,301,368,20,18,93,98,35,40,24,11,16,24,1,0,H
Wt0K5P2n,10.12.2023 16:15,Parma,Palermo,3,3,1.16,0.51,70%,30%,24,8,7,3,12,4,5,1,17,16,10,1,1,1,27,11,0,4,16,13,4,3,581,264,510,190,15,25,132,65,98,15,3,45,44,4,0,0,D
OvViLbiA,10.12.2023 16:15,Reggiana,Brescia,1,1,0.73,1.43,55%,45%,8,12,2,4,3,4,3,4,16,16,0,5,0,1,16,23,3,1,13,15,5,4,534,437,436,342,12,10,108,122,37,52,29,20,12,14,1,0,D
K2W1mrmI,09.12.2023 16:15,Catanzaro,Pisa,2,0,1.11,0.92,35%,65%,8,14,5,5,2,5,1,4,12,8,2,6,2,1,21,18,5,3,10,6,3,2,330,613,286,552,9,11,66,113,25,63,27,9,13,28,0,0,H
E5Tgk4I5,09.12.2023 14:00,Ascoli,Spezia,1,2,1.11,1.09,45%,55%,12,7,4,5,6,2,2,0,13,19,7,3,1,1,31,18,3,3,12,17,3,3,278,348,160,250,16,13,123,76,57,38,18,44,30,16,0,0,A
8SSclOXB,09.12.2023 14:00,Bari,Sudtirol,2,1,2.18,0.67,50%,50%,17,10,3,5,8,1,6,4,17,13,10,5,1,0,20,24,4,1,16,11,3,4,372,390,300,312,18,17,109,91,53,30,12,23,36,9,0,1,H
2RL6n22O,09.12.2023 14:00,Cittadella,Cosenza,2,0,0.50,1.25,50%,50%,13,11,3,5,6,6,4,0,22,17,3,1,2,3,30,31,5,1,16,15,3,5,353,353,236,233,27,22,111,119,58,53,27,10,14,16,0,0,H
hj1G65mt,09.12.2023 14:00,Cremonese,Venezia,1,0,0.95,1.26,46%,54%,9,13,2,4,7,8,0,1,16,15,3,6,1,2,17,21,4,1,12,13,4,2,351,417,280,346,11,16,88,86,42,48,20,15,18,21,1,0,H
E5kP4qIh,09.12.2023 14:00,Sampdoria,Lecco,2,0,1.48,0.96,52%,48%,20,13,5,5,7,4,8,4,13,13,4,10,1,0,22,14,5,3,15,12,5,3,439,382,350,299,16,16,112,88,50,49,21,25,23,28,0,0,H
S8gT33Xb,09.12.2023 14:00,Ternana,FeralpiSalo,2,1,1.15,0.96,50%,50%,16,16,4,2,8,10,4,4,11,15,7,3,2,1,17,20,1,2,9,12,2,3,387,387,292,293,23,20,116,104,44,43,17,24,25,22,0,0,H
plWmMvx4,03.12.2023 16:15,Brescia,Sampdoria,3,1,1.16,0.29,37%,63%,13,10,4,3,6,5,3,2,17,21,4,7,2,1,17,19,2,1,15,19,4,3,301,514,210,419,11,16,104,138,37,48,21,13,16,20,0,0,H
hhWMnBd7,03.12.2023 16:15,Lecco,Bari,1,0,0.38,0.80,49%,51%,10,13,5,1,3,9,2,3,17,13,3,4,0,3,16,28,1,4,12,13,5,3,447,454,366,366,20,11,98,116,37,57,13,13,19,18,0,0,H
IwzoiQmg,03.12.2023 16:15,Sudtirol,Como,0,1,0.31,0.74,42%,58%,8,16,1,4,4,4,3,8,9,21,6,2,3,1,27,14,3,1,8,17,1,3,368,531,281,445,15,10,84,113,54,44,19,24,23,8,0,0,A
vmysh6Yn,02.12.2023 16:15,Spezia,Parma,0,1,0.66,0.78,46%,54%,6,13,1,6,4,4,1,3,17,12,3,7,5,0,16,25,5,1,15,6,1,2,446,505,346,410,18,10,100,114,31,67,24,14,11,19,0,0,A
6yYElXRf,02.12.2023 14:00,Cosenza,Ternana,1,3,2.21,1.30,55%,45%,18,16,6,7,6,6,6,3,15,10,11,4,1,0,28,16,4,5,14,9,2,4,390,325,301,235,14,9,103,87,69,45,14,30,33,17,1,0,A
pSWImis1,02.12.2023 14:00,FeralpiSalo,Cittadella,0,1,0.66,2.34,50%,50%,14,9,4,5,4,4,6,0,19,10,6,2,0,0,32,26,4,4,18,11,2,2,397,406,275,271,26,24,131,114,55,49,27,27,29,17,0,0,A
WrVQoVBD,02.12.2023 14:00,Modena,Reggiana,2,1,0.58,0.35,48%,52%,12,8,7,3,3,4,2,1,19,24,6,6,3,0,16,20,2,5,17,20,2,4,364,379,287,313,21,15,97,105,38,40,21,15,14,25,0,1,H
pQywgnJt,02.12.2023 14:00,Pisa,Cremonese,0,0,0.37,0.43,52%,48%,15,10,4,2,5,5,6,3,18,11,5,4,2,2,32,24,2,4,16,9,3,4,428,382,338,293,25,14,120,112,43,46,21,25,22,17,0,0,D
zFUkjp3a,02.12.2023 14:00,Venezia,Ascoli,3,1,2.15,1.01,60%,40%,23,17,6,4,10,6,7,7,19,13,6,4,1,4,20,26,3,3,13,12,1,3,466,302,360,197,13,17,90,129,45,50,25,22,23,23,0,0,H
Ym99AElE,01.12.2023 20:30,Palermo,Catanzaro,1,2,0.71,1.66,49%,51%,14,17,8,7,5,6,1,4,12,24,8,4,4,2,25,14,5,7,9,19,4,5,375,432,290,353,12,12,109,67,68,26,6,42,42,6,0,0,A
AFgSw1en,28.11.2023 18:30,Como,Lecco,0,0,0.82,0.92,57%,43%,16,11,3,4,9,4,4,3,15,14,3,2,0,3,30,22,4,3,11,14,2,3,484,358,385,264,6,13,111,86,58,30,18,21,18,16,0,0,D
4WkYR98P,28.11.2023 18:30,Sudtirol,Brescia,1,1,0.47,0.69,43%,57%,10,8,4,3,4,3,2,2,20,21,5,5,3,0,19,30,2,3,18,15,1,4,343,463,246,367,19,7,99,99,42,46,27,18,17,19,0,1,D
6NhtzYC1,26.11.2023 16:15,Catanzaro,Cosenza,2,0,1.52,0.88,44%,56%,12,14,3,4,7,8,2,2,21,16,6,8,0,0,13,27,4,1,21,16,3,4,357,436,275,357,18,12,74,116,25,58,36,12,14,38,0,0,H
OCrAkDCl,26.11.2023 16:15,Ternana,Palermo,1,1,1.03,0.80,45%,55%,16,16,4,5,9,7,3,4,12,11,7,8,3,3,17,25,4,3,8,10,3,2,352,442,255,344,19,14,120,109,55,43,24,25,24,27,1,0,D
GERqNKMc,25.11.2023 16:15,Pisa,Brescia,1,1,0.79,1.01,63%,37%,12,18,2,7,6,9,4,2,12,12,3,6,3,2,27,12,6,1,9,8,2,2,563,322,479,241,7,8,136,74,55,33,16,32,27,19,0,0,D
Ob3yyEce,25.11.2023 14:00,Bari,Venezia,0,3,0.79,1.21,46%,54%,17,13,4,6,5,4,8,3,9,13,8,2,1,1,17,17,3,4,7,14,3,0,474,576,397,498,13,17,117,112,52,32,12,27,32,11,0,0,A
48BqZiS7,25.11.2023 14:00,Cittadella,Sudtirol,2,1,0.94,0.16,47%,53%,14,5,6,2,6,2,2,1,18,13,5,2,0,2,36,29,1,4,14,13,3,5,333,374,229,243,15,20,125,85,58,29,13,20,19,13,0,0,H
IBaRcy58,25.11.2023 14:00,Como,FeralpiSalo,2,1,0.39,0.66,60%,40%,14,11,7,3,4,5,3,3,8,17,3,5,4,1,20,19,2,5,8,12,2,2,561,368,483,280,12,13,136,95,49,21,21,16,27,17,1,1,H
d2bVdeKE,25.11.2023 14:00,Cremonese,Lecco,1,0,1.04,1.06,55%,45%,16,11,2,3,10,4,4,4,12,23,6,7,3,2,17,15,3,1,11,19,4,2,470,378,396,296,22,16,109,91,65,36,21,20,16,26,0,0,H
EwgzdFZK,25.11.2023 14:00,Parma,Modena,1,1,1.02,0.22,62%,38%,18,6,7,1,7,2,4,3,14,16,10,5,0,4,28,12,0,6,9,16,3,2,531,338,450,264,18,30,143,53,69,9,7,43,28,11,1,0,D
hUiveZlR,25.11.2023 14:00,Reggiana,Ascoli,1,1,0.77,0.13,69%,31%,18,6,3,3,11,2,4,1,12,13,9,5,1,0,25,16,2,2,11,11,2,4,604,273,493,160,16,14,149,90,61,43,16,33,33,14,0,0,D
A9v6jgcr,24.11.2023 20:30,Sampdoria,Spezia,2,1,1.08,1.01,51%,49%,14,9,4,2,4,5,6,2,23,22,2,6,3,1,27,14,1,2,19,19,5,4,387,377,315,302,15,14,88,81,49,35,10,24,18,19,0,0,H
xOSuO07i,12.11.2023 16:15,Brescia,Cremonese,0,3,0.60,1.73,38%,62%,15,25,1,5,6,10,8,10,14,14,4,9,1,3,14,18,2,1,11,13,3,3,317,530,247,459,17,16,92,113,29,40,16,14,18,19,0,0,A
OzLlpIz9,12.11.2023 16:15,Lecco,Parma,3,2,2.31,1.39,47%,53%,16,12,7,7,5,4,4,1,12,14,5,3,2,2,15,26,5,4,10,13,3,4,425,480,348,398,13,15,70,108,26,44,25,12,15,16,0,1,H
W0Odrd5L,12.11.2023 16:15,Palermo,Cittadella,0,1,0.69,0.92,58%,42%,10,15,0,3,4,8,6,4,16,16,2,4,3,1,25,22,2,0,15,11,1,4,458,331,372,240,12,14,86,100,49,47,26,23,23,20,0,0,A
EPD1sGKR,12.11.2023 16:15,Spezia,Ternana,2,2,1.63,0.93,56%,44%,22,13,9,5,5,6,8,2,20,18,4,5,0,1,21,21,3,7,19,17,2,3,444,366,355,252,11,10,136,70,69,42,10,30,42,16,0,0,D
IcKhqxjF,11.11.2023 16:15,Modena,Sampdoria,0,2,0.41,0.82,55%,45%,8,14,2,4,4,5,2,5,13,15,5,2,1,0,19,15,2,2,13,13,5,3,456,379,367,284,13,25,115,105,42,45,15,18,19,17,1,0,A
61H5NfTe,11.11.2023 14:00,Ascoli,Como,0,1,0.63,1.03,47%,53%,8,9,4,3,2,2,2,4,27,29,3,3,7,4,32,18,2,4,19,19,3,5,396,451,293,358,14,15,90,90,38,34,12,21,16,14,0,0,A
phG9MEr2,11.11.2023 14:00,Cosenza,Reggiana,2,0,1.68,0.34,51%,49%,11,8,6,2,3,2,2,4,20,13,3,2,1,1,17,24,2,4,12,19,4,3,366,351,308,280,12,8,126,86,37,28,9,11,18,10,0,0,H
ppMpobL2,11.11.2023 14:00,FeralpiSalo,Bari,3,3,1.58,1.81,37%,63%,11,15,5,5,4,4,2,6,21,19,1,3,2,1,17,12,2,2,19,18,4,5,283,481,214,411,16,19,94,97,28,52,12,15,10,21,0,0,D
GYaTxzTr,11.11.2023 14:00,Sudtirol,Pisa,1,2,0.62,2.02,43%,57%,10,8,2,5,3,3,5,0,23,17,3,0,2,1,23,16,3,1,20,15,2,6,381,534,290,445,17,20,112,102,62,29,4,25,22,5,0,0,A
p84Xyfrk,10.11.2023 20:30,Venezia,Catanzaro,2,1,2.02,0.31,28%,72%,10,6,5,2,1,2,4,2,8,17,1,3,0,1,16,16,1,3,8,17,2,1,299,756,210,668,7,4,89,163,17,59,18,7,9,22,1,0,H
GhYhP1tg,08.11.2023 18:30,Lecco,Spezia,0,0,1.50,0.90,51%,49%,20,17,4,4,8,8,8,5,19,19,5,2,5,1,23,16,4,4,17,14,3,6,406,393,314,283,16,20,100,118,55,47,24,29,27,17,0,0,D
Q5CsOLOl,08.11.2023 18:30,Palermo,Brescia,1,0,0.72,0.98,44%,56%,9,18,3,4,4,7,2,7,23,10,2,4,1,2,18,31,4,2,19,8,3,4,308,392,220,292,16,20,97,106,37,57,24,18,23,23,0,0,H
6wZIWb69,05.11.2023 16:15,Cremonese,Spezia,3,0,1.92,0.88,47%,53%,21,17,12,5,7,6,2,6,11,17,5,7,2,1,16,16,5,9,10,15,3,1,418,468,345,393,12,18,96,99,36,65,,,,,0,1,H
pUXMVILF,05.11.2023 16:15,Parma,Sudtirol,2,0,1.58,0.51,50%,50%,10,10,3,2,4,6,3,2,14,15,4,3,1,2,15,30,2,1,13,14,0,5,500,490,410,400,17,13,100,103,55,38,,,,,0,0,H
hfyVTdjS,05.11.2023 16:15,Reggiana,Lecco,1,1,1.04,0.71,50%,50%,16,16,6,4,7,7,3,5,17,11,2,7,1,1,16,19,3,5,15,10,4,3,420,405,346,338,14,16,75,110,41,55,,,,,0,0,D
byEcPGbq,04.11.2023 16:15,Sampdoria,Palermo,1,0,1.18,0.39,44%,56%,16,9,6,4,7,1,3,4,16,21,2,8,4,1,11,10,4,5,16,17,4,1,340,428,260,352,13,9,80,63,33,37,,,,,0,0,H
byhS9yad,04.11.2023 14:00,Bari,Ascoli,1,0,0.67,0.29,57%,43%,18,7,3,3,6,4,9,0,15,18,10,7,1,0,20,18,3,2,15,17,3,4,402,309,325,230,17,19,114,70,53,23,,,,,0,0,H
CvtAYKyc,04.11.2023 14:00,Catanzaro,Modena,1,2,1.03,0.42,61%,39%,10,9,5,4,3,4,2,1,29,15,2,2,1,3,20,21,2,4,27,13,2,4,564,356,463,258,14,13,95,85,30,23,,,,,0,0,A
zJlcaHUj,04.11.2023 14:00,Cittadella,Brescia,3,2,0.93,0.93,48%,52%,16,16,5,4,6,8,5,4,13,11,5,4,0,1,32,25,2,2,12,14,2,3,353,384,228,248,16,17,117,121,53,43,,,,,0,0,H
OEqEXvi3,04.11.2023 14:00,Cosenza,FeralpiSalo,1,1,0.43,1.92,56%,44%,8,19,3,5,3,8,2,6,14,13,6,8,0,2,12,19,4,2,12,13,2,4,444,335,370,262,12,9,103,107,36,47,,,,,0,0,D
E3xRUxyM,04.11.2023 14:00,Pisa,Como,1,1,0.88,1.18,57%,43%,15,12,4,2,6,6,5,4,11,13,4,6,3,0,23,20,1,3,11,10,3,3,487,354,374,248,16,23,109,118,40,44,,,,,0,0,D
