id,date,home_team,away_team,home_goals,away_goals,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Ball Possession_home,Ball Possession_away,Completed Passes_home,Completed Passes_away,Throw-ins_home,Throw-ins_away,result
jwcbLXAe,01.05.2019 15:00,AC Carpi,Cremonese,1,2,18,18,6,7,12,11,16,13,9,7,4,0,5,5,9,16,0,0,0,1,267,564,14,0,98,110,47,33,,,,,,,A
h2sctZnL,01.05.2019 15:00,Cosenza,Venezia,1,1,11,8,2,1,9,7,15,11,5,4,0,1,0,1,11,14,0,0,1,4,450,583,8,2,96,103,51,17,,,,,,,D
UN8kNgtq,01.05.2019 15:00,Crotone,Benevento,1,0,5,24,2,6,3,18,24,16,5,11,1,9,6,1,16,16,1,0,3,3,274,517,2,11,58,123,34,68,,,,,,,H
dzllreI8,01.05.2019 15:00,Foggia,Salernitana,3,1,10,12,5,6,5,6,21,24,6,5,3,4,5,2,22,17,0,0,3,3,467,395,12,18,104,101,33,50,,,,,,,H
4t12KiQ1,01.05.2019 15:00,Padova,Lecce,2,1,9,10,4,2,5,8,19,18,4,6,2,2,1,2,16,17,0,0,5,3,353,581,12,24,70,146,25,72,,,,,,,H
8E7gMDek,01.05.2019 15:00,Perugia,Cittadella,0,0,15,11,5,2,10,9,23,23,10,4,6,1,2,5,19,21,1,0,2,2,402,453,15,16,86,126,45,41,,,,,,,D
Iqkpqy32,01.05.2019 15:00,Verona,Livorno,2,3,10,14,3,5,7,9,25,15,6,5,1,4,2,1,15,21,0,0,3,4,488,353,7,7,135,105,70,37,,,,,,,A
EBrgsFXE,01.05.2019 12:30,Palermo,Spezia,2,2,11,10,3,5,8,5,15,19,8,1,4,2,3,1,15,13,0,0,3,1,467,519,10,17,130,119,73,37,,,,,,,D
vB1EPRpp,28.04.2019 21:00,Lecce,Brescia,1,0,14,9,2,1,12,8,16,17,8,3,3,1,1,1,14,15,0,1,4,3,597,335,4,5,122,88,79,43,,,,,,,H
4IAnU7xT,28.04.2019 15:00,Cittadella,Ascoli,2,2,14,10,5,5,9,5,21,21,6,2,3,7,3,3,19,15,0,0,2,2,359,345,17,1,120,87,40,44,,,,,,,D
UaU6VHY2,28.04.2019 15:00,Cremonese,Foggia,1,0,17,5,9,3,8,2,12,19,13,3,0,3,3,8,19,9,0,0,3,2,428,457,6,16,111,84,58,27,,,,,,,H
KlNJSFIL,27.04.2019 18:00,Spezia,Perugia,1,1,10,2,5,2,5,0,17,9,4,2,0,1,1,4,9,15,0,0,2,2,525,514,,,126,120,44,63,,,,,,,D
xQXETe3F,27.04.2019 15:00,Livorno,Palermo,2,2,11,13,6,5,5,8,27,11,4,3,3,0,3,4,9,25,0,1,2,1,419,530,17,34,135,134,43,72,,,,,,,D
OMTAUyl9,27.04.2019 15:00,Pescara,Verona,1,1,8,17,1,7,7,10,20,27,4,4,4,2,6,0,24,17,0,0,4,3,377,551,8,7,78,133,35,58,,,,,,,D
