id,date,home_team,away_team,home_goals,away_goals,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Ball Possession_home,Ball Possession_away,Throw-ins_home,Throw-ins_away,result
hYoZhacU,12.05.2018 15:00,Pro Vercelli,Ternana,2,1,5,9,2,3,3,6,18,16,5,4,6,1,2,0,11,17,0,0,3,1,363,313,8,10,84,84,88,69,,,,,H
vVsVgurO,11.05.2018 20:30,Avellino,Spezia,1,0,12,9,3,3,9,6,13,12,2,3,4,1,3,2,10,12,0,0,2,1,393,456,14,9,160,172,110,112,,,,,H
25OOn6Ut,07.05.2018 20:30,Empoli,Cremonese,1,1,17,10,6,1,11,9,13,22,3,1,4,3,0,5,18,9,0,0,2,0,694,361,2,8,190,134,142,79,52%,48%,,,D
lMQzp4Ea,06.05.2018 17:30,Cesena,Parma,2,1,14,16,5,5,9,11,18,13,4,7,2,2,4,3,10,15,1,0,3,4,405,383,18,10,80,76,54,55,43%,57%,,,H
f1I8tV77,05.05.2018 15:00,Ascoli,Avellino,1,1,11,11,3,3,8,8,11,15,3,1,3,0,2,2,12,11,0,0,2,3,525,382,7,23,103,84,93,56,54%,46%,,,D
WpGuqOT5,05.05.2018 15:00,Bari,Perugia,3,1,10,13,4,7,6,6,15,14,2,7,2,2,6,1,12,13,0,0,2,1,443,412,13,26,100,87,64,86,54%,46%,,,H
846j5Ep8,05.05.2018 15:00,Cittadella,Brescia,2,2,14,15,8,8,6,7,16,19,6,5,1,1,6,6,18,15,0,0,2,2,408,376,39,9,158,147,114,100,45%,55%,,,D
M7Af4YaE,05.05.2018 15:00,Frosinone,AC Carpi,1,0,9,7,5,1,4,6,23,9,11,4,0,4,1,4,9,19,0,0,1,1,393,397,27,16,116,104,73,50,51%,49%,,,H
rLJqrrqC,05.05.2018 15:00,Novara,Pescara,1,1,19,10,6,4,13,6,13,16,3,7,1,1,3,5,15,12,0,0,2,2,321,477,7,8,102,105,51,50,53%,47%,,,D
GYHitMDO,05.05.2018 15:00,Salernitana,Entella,1,0,18,20,7,3,11,17,12,20,5,14,3,2,3,6,17,11,0,0,1,4,507,374,17,9,102,109,76,97,49%,51%,,,H
xrJms2bI,05.05.2018 15:00,Spezia,Pro Vercelli,5,1,21,18,9,5,12,13,12,11,4,4,1,2,4,4,10,10,0,0,1,3,340,412,2,13,87,82,79,80,52%,48%,,,H
AVRWppag,05.05.2018 15:00,Ternana,Palermo,2,3,13,14,4,6,9,8,17,25,6,6,5,9,3,2,21,11,0,0,2,2,432,464,13,9,112,95,85,73,44%,56%,,,A
tdNSoQqm,05.05.2018 15:00,Venezia,Foggia,2,1,10,13,3,5,7,8,15,18,5,7,3,1,4,1,14,15,0,0,2,1,273,575,12,4,75,91,62,95,48%,52%,,,H
2o4apD8r,01.05.2018 18:00,Perugia,Salernitana,1,1,17,3,7,2,10,1,20,17,7,1,3,2,1,6,14,17,0,0,3,3,476,405,11,11,186,151,125,76,63%,37%,,,D
4AOOjFVE,01.05.2018 15:00,AC Carpi,Empoli,0,0,13,9,4,2,9,7,21,14,1,7,6,7,2,4,9,14,0,0,0,1,289,798,6,3,94,139,33,70,34%,66%,,,D
r1NSkZpL,01.05.2018 15:00,Brescia,Frosinone,1,2,7,12,3,6,4,6,18,23,4,6,3,2,4,2,19,16,0,0,3,5,279,422,12,19,142,161,99,108,37%,63%,,,A
QPCXlg0R,01.05.2018 15:00,Cremonese,Novara,1,1,13,2,3,2,10,0,25,15,7,0,0,0,1,2,15,24,0,1,4,5,494,268,7,11,94,71,98,47,59%,41%,,,D
fRyXpPsd,01.05.2018 15:00,Entella,Ascoli,1,1,10,17,3,8,7,9,19,26,6,6,3,2,7,2,24,17,1,0,5,2,363,448,26,4,96,107,75,75,47%,53%,,,D
d833qXNl,01.05.2018 15:00,Foggia,Spezia,2,1,17,12,6,1,11,11,14,12,7,8,1,1,0,4,11,14,0,0,1,1,489,422,13,5,107,122,70,85,50%,50%,,,H
za27riwe,01.05.2018 15:00,Parma,Ternana,2,0,15,12,6,4,9,8,15,14,6,6,5,0,4,4,9,15,0,0,2,2,381,444,10,17,117,117,97,110,54%,46%,,,H
dpLGhy12,01.05.2018 15:00,Pescara,Cesena,0,0,11,7,3,1,8,6,14,16,7,4,0,2,1,3,15,12,0,0,0,1,517,364,13,10,114,102,84,62,51%,49%,,,D
GAJ4sBh1,01.05.2018 15:00,Pro Vercelli,Venezia,0,2,18,9,0,2,18,7,15,22,4,2,5,2,0,0,17,13,0,0,0,2,571,354,7,22,129,92,106,59,59%,41%,,,A
zyKKieG8,01.05.2018 12:30,Avellino,Cittadella,0,2,19,18,7,7,12,11,33,13,8,2,1,5,5,7,12,26,0,0,2,3,378,325,20,11,157,144,114,101,61%,39%,,,A
hCfzpqc2,30.04.2018 20:30,Palermo,Bari,1,1,9,6,1,1,8,5,16,13,4,1,4,0,0,0,9,16,0,2,2,6,452,534,3,8,168,181,117,81,56%,44%,,,D
pSSpZRrp,28.04.2018 15:00,AC Carpi,Avellino,0,0,3,6,3,2,0,4,15,28,6,8,2,1,2,3,26,14,0,1,3,3,353,409,11,6,74,124,72,89,41%,59%,,,D
tKediR4S,28.04.2018 15:00,Ascoli,Perugia,2,2,11,10,5,6,6,4,23,15,3,3,1,2,4,3,14,21,0,0,0,2,357,281,25,20,109,90,75,60,54%,46%,,,D
Cv4ue953,28.04.2018 15:00,Cesena,Frosinone,1,0,10,4,4,1,6,3,20,17,3,5,2,6,1,3,15,14,0,0,2,1,265,399,15,16,90,103,74,90,48%,52%,,,H
Ym5ydkjc,28.04.2018 15:00,Cittadella,Foggia,3,1,12,3,5,1,7,2,14,21,6,4,5,5,0,2,16,9,0,0,2,3,315,432,13,7,79,59,53,24,52%,48%,,,H
