id,date,home_team,away_team,home_goals,away_goals,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Ball Possession_home,Ball Possession_away,Throw-ins_home,Throw-ins_away,result
0pOMdSuF,28.03.2018 20:30,Ascoli,Bari,1,0,9,11,5,4,4,7,19,18,2,4,3,2,4,4,15,17,0,0,2,1,237,583,9,4,102,158,36,82,43%,57%,,,H
vVZDblB2,25.03.2018 20:30,Cesena,Perugia,1,1,12,9,6,3,6,6,24,16,4,5,0,1,3,5,15,22,0,0,1,3,269,481,9,20,91,99,84,81,45%,55%,,,D
QTQkfZJG,25.03.2018 18:00,Venezia,Cittadella,2,1,9,8,6,4,3,4,17,21,3,7,1,0,3,4,20,17,0,0,2,1,399,465,10,2,97,103,73,97,50%,50%,,,H
ILYHc8Q8,25.03.2018 15:00,Cremonese,Entella,0,1,9,7,5,4,4,3,29,24,8,6,4,5,3,6,20,24,0,0,3,3,573,400,29,28,161,151,130,106,53%,47%,,,A
nwSoeF4A,25.03.2018 15:00,Palermo,AC Carpi,4,0,10,8,7,4,3,4,19,12,3,2,1,6,4,3,11,13,0,0,0,1,647,268,19,17,121,83,81,66,65%,35%,,,H
IPlJx7lq,25.03.2018 15:00,Pescara,Empoli,0,1,2,8,0,3,2,5,17,22,2,4,2,5,2,0,20,12,0,0,5,2,371,735,6,14,90,132,46,57,36%,64%,,,A
jBYxcyzb,25.03.2018 15:00,Pro Vercelli,Avellino,0,0,8,2,5,1,3,1,16,16,5,3,1,0,1,5,15,16,0,0,1,1,502,280,14,9,150,107,82,36,62%,38%,,,D
jFtWZ4Y1,25.03.2018 15:00,Salernitana,Novara,1,0,7,6,4,3,3,3,20,16,3,3,0,1,3,3,16,19,0,0,1,2,351,398,8,5,97,99,67,80,49%,51%,,,H
COsSzoJe,25.03.2018 15:00,Ternana,Frosinone,0,0,5,9,1,4,4,5,16,27,5,8,0,1,5,2,27,15,0,0,2,1,280,406,7,14,98,102,59,91,43%,57%,,,D
UahNyR3k,25.03.2018 12:30,Parma,Foggia,3,1,17,6,10,4,7,2,14,29,7,2,8,1,3,7,21,13,0,1,3,1,381,395,20,20,143,131,131,64,48%,52%,,,H
U1Xtdek4,24.03.2018 20:30,Bari,Brescia,3,0,10,5,5,3,5,2,21,19,6,3,3,4,3,2,16,17,0,0,1,4,608,483,11,23,0,0,0,0,54%,46%,,,H
dlZYcHKi,24.03.2018 18:00,Spezia,Ascoli,1,1,6,9,2,4,4,5,11,14,5,3,3,0,3,1,11,11,1,0,3,3,462,379,17,3,111,95,77,64,54%,46%,,,D
65iDtGkH,19.03.2018 20:30,AC Carpi,Pro Vercelli,2,0,20,14,7,1,13,13,11,12,8,7,2,2,1,5,12,10,0,0,0,1,363,422,7,18,136,134,123,90,53%,47%,,,H
Ot28sdzB,18.03.2018 17:30,Avellino,Pescara,2,2,18,16,4,6,14,10,13,19,13,4,1,2,4,2,18,11,0,0,1,3,494,406,20,5,115,93,96,58,52%,48%,,,D
ttinzESp,17.03.2018 15:00,Ascoli,Ternana,2,1,13,6,4,2,9,4,20,13,4,5,1,0,1,2,12,20,1,1,1,4,331,367,5,7,89,87,52,53,55%,45%,,,H
xQadpbjh,17.03.2018 15:00,Brescia,Cremonese,1,1,12,6,4,4,8,2,17,18,7,2,0,2,3,3,18,15,0,1,1,4,526,328,43,10,178,132,127,89,53%,47%,,,D
tb6mnKLu,17.03.2018 15:00,Cittadella,Bari,0,0,9,8,6,2,3,6,12,16,9,3,5,1,2,6,11,11,0,0,1,1,494,538,11,6,107,116,53,37,49%,51%,,,D
roVUbc5o,17.03.2018 15:00,Empoli,Venezia,3,2,16,12,6,7,10,5,14,16,9,6,3,2,5,3,12,12,0,0,2,1,570,340,15,6,105,91,79,56,58%,42%,,,H
Awb4rxL4,17.03.2018 15:00,Entella,Parma,2,0,11,8,5,3,6,5,20,11,3,8,1,2,3,3,10,19,0,0,2,2,373,439,6,23,95,107,66,72,51%,49%,,,H
pdjHuz5N,17.03.2018 15:00,Frosinone,Salernitana,0,0,11,12,2,4,9,8,17,22,5,0,2,2,4,2,21,16,0,0,3,3,441,332,4,21,131,110,76,58,49%,51%,,,D
GGb0qI5b,17.03.2018 15:00,Novara,Palermo,2,2,11,14,5,6,6,8,18,19,2,3,3,0,4,3,16,18,1,0,2,4,370,496,7,23,87,106,38,58,43%,57%,,,D
vX4KvfKT,17.03.2018 15:00,Perugia,Spezia,3,0,14,7,9,3,5,4,14,19,2,7,3,0,3,6,15,13,0,0,3,1,480,461,16,5,93,113,62,101,50%,50%,,,H
Kl5iovyn,16.03.2018 20:30,Foggia,Cesena,2,1,19,8,2,1,17,7,16,18,11,3,1,2,1,0,17,14,0,0,1,2,670,203,10,11,116,75,85,45,61%,39%,,,H
MJWFKDB0,13.03.2018 18:00,Bari,Spezia,1,1,15,11,7,5,8,6,17,18,8,5,4,1,4,6,14,14,0,0,0,2,550,319,21,2,147,101,109,61,56%,44%,,,D
8lIRt4S2,13.03.2018 18:00,Pescara,AC Carpi,0,1,10,6,3,2,7,4,13,15,7,0,0,2,1,3,15,13,0,0,0,2,627,395,4,16,176,118,131,61,53%,47%,,,A
YXtAY0it,12.03.2018 20:30,Novara,Brescia,2,1,18,13,3,4,15,9,22,20,6,0,3,3,3,1,17,20,0,0,3,3,372,384,5,19,143,158,90,89,54%,46%,,,H
4xVsRzjU,11.03.2018 17:30,Empoli,Entella,2,1,13,3,4,1,9,2,24,21,8,6,1,0,0,2,19,22,0,0,3,4,384,209,7,6,185,152,114,105,53%,47%,,,H
WOfrwsqP,11.03.2018 15:00,Salernitana,Avellino,2,0,6,9,4,2,2,7,22,26,3,5,1,0,2,2,24,22,0,2,1,2,427,483,24,11,138,176,71,105,49%,51%,,,H
2DYQUIj5,10.03.2018 18:00,Palermo,Frosinone,1,0,17,12,8,4,9,8,23,21,8,6,1,0,4,7,20,22,0,0,2,3,487,342,17,17,148,137,96,89,59%,41%,,,H
AwxZSdLH,10.03.2018 15:00,Bari,Pro Vercelli,2,2,14,12,6,4,8,8,14,16,5,9,1,2,2,4,16,12,0,0,1,0,524,338,9,21,134,87,70,41,57%,43%,,,D
SftEXK6n,10.03.2018 15:00,Cesena,AC Carpi,0,0,14,8,2,3,12,5,12,15,4,2,2,2,3,2,13,10,0,0,3,0,310,423,5,10,111,115,98,75,58%,42%,,,D
tbpIWvMh,10.03.2018 15:00,Cremonese,Cittadella,1,1,15,9,3,5,12,4,21,16,3,6,2,1,4,2,14,20,0,0,2,1,300,388,14,4,81,69,65,68,39%,61%,,,D
OMZMVbya,10.03.2018 15:00,Perugia,Foggia,2,0,8,22,3,6,5,16,15,19,0,9,5,1,6,1,14,14,0,0,2,4,360,393,17,10,134,165,74,106,47%,53%,,,H
WnwVTx6B,10.03.2018 15:00,Pescara,Parma,1,4,9,13,4,6,5,7,13,14,3,3,0,2,2,3,14,12,0,0,2,3,444,449,19,10,86,83,59,53,29%,71%,,,A
h2RwSGzO,10.03.2018 15:00,Spezia,Ternana,1,1,15,10,5,4,10,6,14,20,14,2,2,2,3,4,18,12,0,0,3,1,481,395,18,22,94,91,97,56,56%,44%,,,D
U329UluP,10.03.2018 15:00,Venezia,Ascoli,1,0,9,10,1,1,8,9,16,18,6,5,3,1,1,0,16,15,0,1,1,4,513,408,17,16,92,80,87,54,54%,46%,,,H
SdXBLgdf,06.03.2018 18:30,Cesena,Pro Vercelli,2,2,12,7,8,2,4,5,14,14,7,4,0,0,1,6,14,14,0,0,1,0,256,476,6,17,116,113,62,59,49%,51%,,,D
6qvqIKk2,06.03.2018 18:00,Perugia,Brescia,2,0,10,11,5,5,5,6,14,17,6,4,6,3,5,3,11,11,0,0,0,1,414,427,0,0,133,177,75,114,48%,52%,,,H
rm0cXje6,03.03.2018 15:00,Ascoli,Salernitana,1,3,9,8,3,7,6,1,16,16,6,6,0,2,4,2,16,14,0,0,1,3,,,,,117,116,53,51,48%,52%,17,0,A
0OAhYWu0,03.03.2018 15:00,Cittadella,Pescara,2,0,7,11,2,3,5,8,16,19,1,8,3,0,3,0,16,16,0,0,2,4,,,,,107,98,79,80,56%,44%,,,H
E78tyZes,03.03.2018 15:00,Frosinone,Novara,1,0,17,3,9,0,8,3,24,13,9,2,2,2,0,8,11,23,0,0,1,2,,,,,123,116,88,50,56%,44%,25,32,H
dxPSHBeJ,03.03.2018 15:00,Spezia,Cesena,1,2,7,8,3,4,4,4,17,8,6,2,0,2,2,2,8,15,0,0,1,3,,,,,137,88,105,51,59%,41%,0,35,A
AuDAteYJ,03.03.2018 15:00,Ternana,Cremonese,2,1,7,6,5,4,2,2,21,22,2,10,0,4,3,3,22,17,0,0,1,2,,,,,94,106,69,92,45%,55%,28,28,H
WUw3NFRs,27.02.2018 20:30,Cremonese,Frosinone,2,2,10,15,4,5,6,10,17,27,2,8,3,0,3,2,24,16,0,0,3,3,278,468,14,10,76,117,48,83,50%,50%,,,D
htzuJ0zd,27.02.2018 20:30,Empoli,Avellino,1,1,18,5,4,1,14,4,12,18,6,4,3,2,0,3,16,11,0,1,0,3,759,354,15,26,112,87,103,55,61%,39%,,,D
nuHVuOs9,27.02.2018 20:30,Entella,Cittadella,0,1,10,7,2,2,8,5,22,21,1,3,2,0,1,2,21,21,0,0,3,3,383,287,18,7,70,59,55,42,51%,49%,,,A
f5GZvrcF,27.02.2018 20:30,Novara,Foggia,0,1,27,5,3,2,24,3,22,18,6,2,5,3,1,3,14,18,1,1,3,3,467,428,22,32,145,140,102,46,51%,49%,,,A
bJzyKtLk,27.02.2018 20:30,Palermo,Ascoli,4,1,15,12,9,3,6,9,19,14,6,3,3,2,2,6,12,15,0,0,2,3,400,436,18,8,105,112,44,42,55%,45%,,,H
0AVJJXQ6,27.02.2018 20:30,Venezia,Ternana,2,0,14,13,7,4,7,9,22,19,3,6,3,2,4,5,17,21,0,1,2,4,602,357,8,7,80,69,39,30,56%,44%,,,H
EgT7MZtl,26.02.2018 20:30,Salernitana,Parma,0,1,18,10,5,2,13,8,20,13,7,5,1,4,1,5,12,16,0,0,2,2,599,291,,,96,72,47,30,55%,45%,,,A
vZg4P2cS,24.02.2018 15:00,AC Carpi,Entella,0,0,10,14,4,4,6,10,20,18,4,10,1,5,4,4,17,15,0,0,2,3,297,554,,,116,140,63,99,38%,62%,,,D
6PBc6Njj,24.02.2018 15:00,Ascoli,Cesena,2,1,18,8,8,6,10,2,15,10,9,3,1,2,5,6,9,13,0,1,2,3,603,254,,,138,107,61,36,64%,36%,,,H
CM2mTpb3,24.02.2018 15:00,Avellino,Novara,2,1,13,17,4,7,9,10,17,26,4,5,3,0,6,2,23,17,0,0,1,2,322,433,,,93,105,43,71,44%,56%,,,H
YV3qUQrc,24.02.2018 15:00,Cittadella,Empoli,1,1,5,10,4,3,1,7,12,20,7,6,3,2,2,3,17,10,0,0,0,2,248,635,,,82,123,64,96,35%,65%,,,D
O0Mh73yp,24.02.2018 15:00,Foggia,Brescia,1,2,9,10,2,4,7,6,15,20,6,5,2,0,2,1,18,15,0,0,3,3,484,337,,,140,149,94,88,48%,52%,,,A
6LedROSF,24.02.2018 15:00,Frosinone,Perugia,1,3,16,10,11,6,5,4,23,14,4,3,1,0,3,10,13,23,2,0,2,4,440,356,,,94,89,93,65,57%,43%,,,A
pGA15s6d,24.02.2018 15:00,Pescara,Cremonese,0,0,9,6,4,1,5,5,22,23,7,5,4,2,2,4,19,20,0,0,3,1,462,313,,,95,97,74,66,52%,48%,,,D
fohhS4D9,24.02.2018 15:00,Pro Vercelli,Palermo,0,0,11,9,3,1,8,8,17,13,3,3,2,2,1,3,11,15,0,0,1,2,290,459,,,98,147,50,65,45%,55%,,,D
nuVQBqTS,24.02.2018 15:00,Ternana,Bari,1,2,6,8,3,4,3,4,13,22,8,2,3,3,2,2,19,10,0,0,1,0,374,641,,,79,123,60,86,40%,60%,,,A
KSyXKM5q,23.02.2018 21:00,Parma,Venezia,1,1,18,12,5,4,13,8,11,29,6,4,5,0,3,4,24,11,0,0,1,4,454,427,,,184,140,125,82,49%,51%,,,D
0re0QrrM,23.02.2018 19:00,Spezia,Salernitana,3,0,10,9,4,2,6,7,16,17,3,3,3,1,2,1,13,15,0,0,0,2,473,477,,,135,106,49,42,57%,43%,,,H
hIVMCPDM,18.02.2018 17:30,Brescia,Ternana,3,1,7,15,5,7,2,8,19,20,2,8,2,0,6,2,18,19,0,0,4,4,,,,,101,104,42,80,53%,47%,,,H
6oum0nUG,18.02.2018 15:00,Frosinone,Ascoli,2,0,9,12,4,6,5,6,13,14,2,5,2,1,6,2,12,12,0,0,2,1,,,,,91,116,33,57,41%,59%,,,H
bqKRh4Mj,17.02.2018 15:00,Cesena,Cittadella,0,1,12,17,3,2,9,15,21,10,5,3,2,1,1,3,8,19,0,0,4,3,,,,,81,80,70,51,52%,48%,38,0,A
Ei2EG7Ec,17.02.2018 15:00,Empoli,Parma,4,0,10,7,5,2,5,5,15,14,5,2,0,3,2,1,14,12,0,0,1,1,,,,,131,91,76,66,59%,41%,,,H
8E1IFRT3,17.02.2018 15:00,Entella,Pescara,0,0,9,4,5,0,4,4,23,23,8,6,2,1,0,5,21,22,0,0,2,4,,,,,117,108,64,73,55%,45%,,,D
KhLNgp7p,17.02.2018 15:00,Foggia,AC Carpi,3,0,7,5,5,2,2,3,15,8,4,6,0,2,2,2,8,13,0,0,1,2,,,,,119,102,54,54,60%,40%,,,H
ERWID5bG,17.02.2018 15:00,Novara,Spezia,1,1,8,6,4,2,4,4,26,15,6,4,2,3,1,3,13,23,0,0,2,5,,,,,116,100,74,56,56%,44%,,,D
0lbAHmai,17.02.2018 15:00,Perugia,Palermo,1,0,5,9,2,2,3,7,19,19,4,10,2,2,2,1,17,17,0,0,2,1,,,,,105,113,40,63,49%,51%,,,H
n50MEoqA,17.02.2018 15:00,Salernitana,Pro Vercelli,0,0,12,10,4,5,8,5,22,21,6,8,2,4,5,4,19,18,0,0,0,2,,,,,115,82,99,66,54%,46%,,,D
lAUia6qN,17.02.2018 15:00,Venezia,Avellino,3,1,13,6,8,1,5,5,16,12,12,2,1,2,0,5,11,14,0,0,1,0,,,,,142,84,110,53,63%,37%,,,H
S0TebQbT,16.02.2018 20:30,Cremonese,Bari,0,1,9,5,3,3,6,2,16,13,12,1,3,1,2,3,10,15,0,0,0,1,,,,,127,92,88,42,54%,46%,,,A
z74Ip7UT,12.02.2018 20:30,Palermo,Foggia,1,2,9,10,4,5,5,5,15,14,7,6,1,0,3,3,13,15,1,0,0,2,,,,,109,90,60,49,52%,48%,,,A
QVqS4AFo,11.02.2018 17:30,Cittadella,Novara,1,3,12,10,2,6,10,4,19,18,5,4,2,6,3,1,16,13,0,0,1,5,,,,,107,98,83,73,50%,50%,,,A
4MrW3UUi,11.02.2018 15:00,Parma,Perugia,1,1,12,4,4,1,8,3,28,18,2,5,1,1,0,3,17,27,0,0,4,3,,,,,121,93,59,38,54%,46%,,,D
EiG9nTaH,10.02.2018 15:00,AC Carpi,Cremonese,1,1,7,12,4,5,3,7,12,16,6,8,1,1,4,3,15,11,0,0,5,3,,,,,97,131,79,97,44%,56%,,,D
hrFDomFN,10.02.2018 15:00,Ascoli,Empoli,1,2,6,3,1,2,5,1,19,19,4,1,3,4,0,0,16,15,0,0,2,4,,,,,120,124,56,29,44%,56%,,,A
6RG5m9pB,10.02.2018 15:00,Avellino,Cesena,1,1,16,3,7,2,9,1,22,14,10,2,2,1,1,6,12,21,0,0,2,1,,,,,102,85,65,33,59%,41%,,,D
CSeptRxo,10.02.2018 15:00,Bari,Frosinone,1,0,7,6,3,2,4,4,16,15,4,12,0,2,2,2,15,14,0,0,4,2,,,,,117,112,62,96,45%,55%,,,H
Mcwy3lpb,10.02.2018 15:00,Pescara,Salernitana,1,0,4,4,2,2,2,2,11,22,3,3,6,2,2,1,16,9,0,0,2,1,,,,,76,89,52,48,48%,52%,,,H
SzI1lkV4,10.02.2018 15:00,Pro Vercelli,Brescia,0,0,9,4,0,1,9,3,26,27,2,2,5,2,1,0,22,24,1,0,4,2,,,,,154,158,97,114,53%,47%,,,D
fByq1SEA,10.02.2018 15:00,Spezia,Venezia,1,1,7,7,2,2,5,5,18,23,7,4,1,2,1,1,22,16,0,0,3,1,,,,,136,102,81,67,50%,50%,,,D
0lxu28a4,10.02.2018 15:00,Ternana,Entella,0,1,16,5,3,4,13,1,17,13,9,1,2,1,3,3,11,16,1,0,4,2,,,,,111,96,94,69,55%,45%,,,A
W8OhjB0h,05.02.2018 20:30,Entella,Spezia,0,1,8,9,2,4,6,5,12,18,0,2,0,0,3,2,18,12,0,0,3,1,,,,,141,127,67,49,47%,53%,,,A
pCSdkVFb,04.02.2018 17:30,Cesena,Ternana,4,3,19,9,9,6,10,3,18,17,3,4,5,3,3,5,12,15,0,0,2,0,,,,,101,112,95,78,49%,51%,,,H
O4IxpzvJ,03.02.2018 15:00,Brescia,Parma,2,1,6,6,3,2,3,4,19,19,9,5,3,3,1,1,16,16,0,0,3,3,,,,,96,112,67,77,52%,48%,,,H
xnPliion,03.02.2018 15:00,Cremonese,Pro Vercelli,2,3,9,7,5,4,4,3,27,14,8,6,1,4,1,3,13,23,0,0,2,2,,,,,83,67,96,65,57%,43%,,,A
WjDIlbPm,03.02.2018 15:00,Foggia,Avellino,2,1,7,5,3,3,4,2,20,18,8,0,3,5,2,1,15,15,0,1,3,1,,,,,93,81,81,66,58%,42%,,,H
beQphXVu,03.02.2018 15:00,Frosinone,Pescara,3,0,9,7,6,5,3,2,20,22,4,3,7,2,5,3,15,18,0,0,1,3,,,,,124,120,74,62,50%,50%,,,H
2H8EkvAs,03.02.2018 15:00,Novara,Ascoli,1,2,11,8,5,4,6,4,14,22,7,2,1,1,2,4,21,13,0,0,3,2,,,,,133,105,118,61,56%,44%,,,A
jiKUod96,03.02.2018 15:00,Perugia,Cittadella,1,3,12,9,7,5,5,4,20,15,3,4,2,1,2,6,13,19,2,0,4,4,,,,,108,125,69,82,40%,60%,,,A
h61Rnxf0,03.02.2018 15:00,Salernitana,AC Carpi,1,2,10,7,6,3,4,4,17,16,5,6,3,0,1,5,13,17,0,0,1,1,,,,,161,111,116,78,51%,49%,,,A
AsCMmIvf,03.02.2018 15:00,Venezia,Bari,3,1,7,7,4,3,3,4,18,15,11,8,3,2,2,1,12,16,1,0,3,3,,,,,82,137,49,105,44%,56%,,,H
pEJYpGOC,02.02.2018 20:30,Empoli,Palermo,4,0,7,10,5,6,2,4,5,18,4,11,3,0,6,1,15,5,0,0,2,2,,,,,75,79,50,76,46%,54%,,,H
IqXse0nK,29.01.2018 20:30,Ternana,Salernitana,2,2,14,7,6,4,8,3,16,20,5,1,2,1,2,4,18,15,0,0,2,3,,,,,123,81,86,62,54%,46%,,,D
CnthYxu7,28.01.2018 17:30,Cittadella,Frosinone,1,2,14,8,5,4,9,4,15,19,3,5,2,0,2,4,17,15,0,0,2,2,,,,,111,97,103,69,51%,49%,,,A
08MnfK1Q,27.01.2018 15:00,AC Carpi,Spezia,2,1,11,7,4,3,7,4,12,17,4,11,0,2,2,2,17,10,0,0,3,2,,,,,100,109,71,96,43%,57%,,,H
bNQnyuel,27.01.2018 15:00,Avellino,Cremonese,0,0,12,6,3,1,9,5,16,14,8,5,2,2,1,3,12,14,0,0,1,2,,,,,103,96,79,56,51%,49%,,,D
hpQjzaAf,27.01.2018 15:00,Bari,Empoli,0,4,8,15,1,9,7,6,14,11,6,4,0,1,5,1,11,13,0,0,3,1,,,,,110,124,72,62,39%,61%,,,A
WzPfZIP0,27.01.2018 15:00,Entella,Foggia,1,2,9,9,4,6,5,3,19,23,7,4,8,0,4,3,15,19,0,0,1,2,,,,,117,103,67,45,50%,50%,,,A
vwpGt1XQ,27.01.2018 15:00,Palermo,Brescia,2,0,9,7,5,3,4,4,16,21,6,3,4,1,3,3,17,15,0,0,1,2,,,,,180,131,111,87,55%,45%,,,H
jwudXdfD,27.01.2018 15:00,Parma,Novara,3,0,11,3,6,1,5,2,19,21,5,3,2,1,1,3,19,18,0,1,3,5,,,,,102,66,55,51,58%,42%,,,H
0noCssIK,27.01.2018 15:00,Pro Vercelli,Ascoli,2,0,8,10,3,4,5,6,23,23,2,4,3,1,4,1,20,22,0,0,2,1,,,,,90,136,78,105,46%,54%,,,H
pKMrxLur,27.01.2018 15:00,Venezia,Cesena,1,0,7,7,3,4,4,3,13,14,2,7,1,2,4,2,13,11,0,0,1,5,,,,,128,93,62,66,59%,41%,,,H
4tTwdtXD,26.01.2018 20:30,Pescara,Perugia,0,2,6,9,1,5,5,4,25,18,4,2,0,6,3,1,18,19,0,0,2,3,,,,,200,122,136,58,57%,43%,,,A
dfSPVqJ8,21.01.2018 15:00,Brescia,Avellino,2,3,9,7,4,4,5,3,19,16,3,5,1,1,1,2,15,18,0,0,3,2,,,,,124,119,54,45,53%,47%,,,A
vJHUU3YE,20.01.2018 20:30,Cesena,Bari,1,1,13,11,5,5,8,6,19,14,4,8,2,5,4,4,12,14,0,0,1,3,,,,,148,216,103,140,44%,56%,,,D
lh74O1Br,20.01.2018 18:00,Spezia,Palermo,0,0,4,9,1,2,3,7,15,11,7,4,2,0,2,1,9,15,0,0,1,2,,,,,89,103,67,79,49%,51%,,,D
nqLxTs3R,20.01.2018 15:00,Ascoli,Cittadella,1,2,4,12,3,7,1,5,22,16,3,6,4,1,5,2,12,21,0,0,3,3,,,,,95,122,40,68,51%,49%,,,A
6T19NLQl,20.01.2018 15:00,Cremonese,Parma,1,0,17,6,8,2,9,4,14,8,8,3,1,2,2,7,7,12,0,0,2,1,,,,,97,98,92,62,54%,46%,,,H
jH3LKJA7,20.01.2018 15:00,Empoli,Ternana,2,1,12,6,9,2,3,4,15,14,8,5,4,0,1,7,10,15,0,0,1,1,,,,,117,69,97,59,60%,40%,,,H
pK0DMute,20.01.2018 15:00,Foggia,Pescara,0,1,10,4,3,3,7,1,19,19,5,3,3,4,2,3,16,15,0,0,1,2,,,,,133,96,98,67,56%,44%,,,A
vs0HLae1,20.01.2018 15:00,Frosinone,Pro Vercelli,4,0,11,12,4,5,7,7,20,17,4,5,2,4,5,0,15,16,0,0,0,2,,,,,124,115,65,65,54%,46%,,,H
hMLYTNmL,20.01.2018 15:00,Novara,AC Carpi,1,0,6,4,2,0,4,4,23,26,4,3,7,1,0,1,19,22,0,0,4,4,,,,,126,114,57,45,54%,46%,,,H
hMs4q3m8,20.01.2018 15:00,Perugia,Entella,2,0,10,6,5,2,5,4,19,17,0,4,1,2,2,3,16,17,0,0,1,3,,,,,117,103,84,92,50%,50%,,,H
WCt8rN2E,20.01.2018 15:00,Salernitana,Venezia,3,2,7,12,4,7,3,5,14,18,12,3,0,1,5,1,18,13,1,1,2,1,,,,,98,132,56,75,44%,56%,,,H
xWhmIQl9,28.12.2017 20:30,AC Carpi,Bari,0,0,0,13,0,6,0,7,11,9,4,6,1,2,6,0,8,9,0,0,1,0,,,,,115,144,41,81,52%,48%,,,D
WYkuKnKd,28.12.2017 20:30,Avellino,Ternana,2,1,11,12,7,3,4,9,14,22,4,5,6,3,2,5,16,11,0,0,1,1,,,,,117,133,50,63,47%,53%,,,H
r9gqJ6Z2,28.12.2017 20:30,Brescia,Ascoli,0,1,12,7,6,2,6,5,15,18,13,1,2,2,1,6,16,13,0,0,1,1,,,,,200,144,148,66,57%,43%,,,A
GMiiHp4F,28.12.2017 20:30,Cremonese,Cesena,1,0,14,2,3,1,11,1,18,15,8,5,3,2,1,2,12,16,0,1,2,4,,,,,110,94,95,60,57%,43%,,,H
I3TLWP32,28.12.2017 20:30,Entella,Novara,2,1,8,4,3,3,5,1,23,26,5,5,5,0,2,1,21,23,0,1,2,4,,,,,106,76,103,78,56%,44%,,,H
YcndG4JL,28.12.2017 20:30,Foggia,Frosinone,1,2,9,9,4,4,5,5,21,21,3,5,1,6,2,3,20,15,0,0,1,2,,,,,95,113,69,86,54%,46%,,,A
Clo0FOYR,28.12.2017 20:30,Palermo,Salernitana,3,0,12,4,7,1,5,3,27,13,3,3,0,4,1,4,13,23,0,1,1,4,,,,,100,90,74,68,55%,45%,,,H
rXyW92dk,28.12.2017 20:30,Perugia,Empoli,2,4,9,6,7,3,2,3,23,11,4,2,1,4,0,5,10,19,0,0,1,5,,,,,114,109,100,78,48%,52%,,,A
QeRz9MBe,28.12.2017 20:30,Pescara,Venezia,1,0,11,9,5,1,6,8,13,20,5,1,2,1,1,4,18,12,0,0,2,3,,,,,119,104,87,53,51%,49%,,,H
4nQv8tR1,28.12.2017 20:30,Pro Vercelli,Cittadella,1,2,5,6,2,2,3,4,25,21,5,0,1,4,0,1,20,21,0,0,3,2,,,,,117,103,94,81,52%,48%,,,A
UTXRArsq,27.12.2017 20:30,Parma,Spezia,0,0,3,9,1,4,2,5,17,12,7,6,0,1,4,1,12,16,1,0,4,4,,,,,40,60,21,45,51%,49%,,,D
I7FaF3HU,21.12.2017 20:30,Ascoli,Pescara,1,1,9,4,4,1,5,3,16,12,5,4,2,2,0,3,10,14,1,0,5,4,,,,,111,107,60,53,55%,45%,,,D
fTj5zmmt,21.12.2017 20:30,Bari,Parma,0,0,7,5,5,3,2,2,14,17,6,4,2,1,3,5,15,13,0,0,4,2,,,,,101,97,75,53,49%,51%,,,D
YJk9Z62n,21.12.2017 20:30,Cesena,Palermo,1,1,5,16,2,7,3,9,13,17,1,1,2,2,6,1,15,11,0,0,1,1,,,,,85,101,38,67,40%,60%,,,D
EV66YQHh,21.12.2017 20:30,Cittadella,AC Carpi,0,1,22,3,8,1,14,2,11,15,12,1,2,0,0,8,13,11,0,0,2,2,,,,,90,48,55,22,66%,34%,,,A
hM5AXpXb,21.12.2017 20:30,Empoli,Brescia,1,1,15,9,6,5,9,4,19,20,8,3,1,2,4,5,19,17,0,0,0,3,,,,,59,59,53,49,53%,47%,,,D
nq5EW4n5,21.12.2017 20:30,Frosinone,Entella,4,3,19,7,10,6,9,1,29,21,7,1,5,3,3,6,16,26,0,0,3,2,,,,,118,102,84,57,56%,44%,,,H
0n9IVO1B,21.12.2017 20:30,Novara,Perugia,1,1,5,16,2,7,3,9,15,20,4,6,6,2,6,1,14,13,0,0,2,1,,,,,125,142,61,90,54%,46%,,,D
rBbNUrHH,21.12.2017 20:30,Salernitana,Foggia,0,3,15,9,4,5,11,4,14,12,7,1,1,0,2,4,11,14,0,0,2,2,,,,,107,100,102,62,51%,49%,,,A
KzMjDGop,21.12.2017 20:30,Spezia,Avellino,1,0,6,11,2,5,4,6,14,20,4,2,0,2,5,1,20,12,0,0,1,1,,,,,106,136,54,78,47%,53%,,,H
lAQfCz1j,21.12.2017 20:30,Ternana,Pro Vercelli,4,3,11,6,4,5,7,1,22,14,2,6,2,4,2,0,12,18,0,0,2,2,,,,,122,103,75,64,54%,46%,,,H
S0PbBfGd,20.12.2017 20:30,Venezia,Cremonese,1,1,8,15,3,6,5,9,12,14,5,3,1,0,5,2,13,12,1,0,2,3,,,,,116,103,56,61,50%,50%,,,D
rkNnI5XB,17.12.2017 17:30,Pescara,Novara,1,0,10,9,8,2,2,7,10,21,6,2,0,0,2,7,21,10,0,0,3,1,,,,,101,109,77,87,42%,58%,,,H
