id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Throw-ins_home,Throw-ins_away,Blocked Shots_home,Blocked Shots_away,Goal Kicks_home,Goal Kicks_away,result
QeNptS4C,06.05.2017 15:00,Ascoli,Benevento,1,1,58%,42%,8,5,2,4,6,1,7,24,5,4,11,0,3,1,13,7,5,5,0,2,,,,,,,D
n5Ots8k6,06.05.2017 15:00,Avellino,Bari,1,1,54%,46%,11,9,5,4,6,5,24,21,7,4,4,3,3,4,17,21,2,3,0,0,,,,,,,D
zR4y3kCP,06.05.2017 15:00,Brescia,Latina,1,1,49%,51%,19,12,8,4,11,8,16,19,9,2,1,2,3,7,18,14,2,1,0,0,,,,,,,D
AJe3b9Kt,06.05.2017 15:00,Cesena,Novara,0,1,64%,36%,15,5,7,2,8,3,24,11,9,3,0,1,1,7,11,23,1,6,0,1,,,,,,,A
YLQhv6ZO,06.05.2017 15:00,Entella,Verona,1,2,51%,49%,8,9,2,2,6,7,22,22,4,3,0,0,0,1,22,22,3,2,1,0,,,,,,,A
YLnOgoZB,06.05.2017 15:00,Frosinone,Trapani,1,0,51%,49%,11,9,8,4,3,5,18,16,5,5,3,0,4,7,13,18,1,2,0,0,,,,,,,H
vamKfRJ5,06.05.2017 15:00,L.R. Vicenza,Ternana,0,1,52%,48%,9,10,2,5,7,5,15,23,7,5,1,0,4,2,22,15,1,2,0,0,,,,,,,A
08lGe74a,05.05.2017 20:30,Perugia,Spezia,0,0,54%,46%,6,11,3,4,3,7,16,16,6,3,2,2,4,3,14,14,2,2,0,0,,,,,,,D
z5T0jCSJ,01.05.2017 20:30,Salernitana,Frosinone,1,3,43%,57%,12,16,3,6,9,10,6,22,7,5,1,2,3,2,21,4,4,0,2,0,,,,,,,A
4tZyrlz0,01.05.2017 15:00,Verona,L.R. Vicenza,3,2,54%,46%,15,4,8,2,7,2,22,15,5,5,1,1,0,5,14,21,3,1,1,1,,,,,,,H
nqm6UU50,01.05.2017 12:30,Benevento,Avellino,2,1,60%,40%,13,8,12,5,1,3,27,18,7,3,1,5,4,10,17,22,3,5,0,0,,,,,,,H
QZoATlL6,30.04.2017 17:30,Novara,Brescia,2,3,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,A
IPWPpjjs,29.04.2017 15:00,Bari,Pisa,0,0,50%,50%,32,27,4,1,2,4,21,28,8,3,3,2,1,4,25,19,2,3,0,0,18,14,26,22,,,D
M1uJRSkJ,29.04.2017 15:00,Cittadella,Cesena,2,3,53%,47%,10,7,7,5,3,2,22,26,11,4,3,0,2,5,23,22,1,4,0,0,,,,,,,A
I9r2VAjf,29.04.2017 15:00,Latina,Ascoli,0,0,50%,50%,12,5,3,3,9,2,26,16,7,5,3,1,3,3,13,25,3,4,0,0,,,,,,,D
EeS4kWsQ,29.04.2017 15:00,Pro Vercelli,Perugia,0,1,54%,46%,11,8,4,4,7,4,18,13,4,2,1,1,3,4,12,17,0,4,0,1,26,22,,,8,14,A
dGVTqA5m,29.04.2017 15:00,Spezia,Spal,0,0,50%,50%,15,4,5,0,10,4,11,24,8,6,2,0,0,5,22,11,1,1,0,0,28,25,,,12,18,D
