id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Throw-ins_home,Throw-ins_away,Goal Kicks_home,Goal Kicks_away,result
xvozRA9R,27.07.2020 21:00,Pordenone,Salernitana,1,1,39%,61%,9,13,4,4,5,9,18,22,2,5,0,2,4,3,22,16,3,4,360,529,6,9,105,92,37,40,0,0,,,,,D
zFQAK8ne,27.07.2020 21:00,Spezia,Entella,0,0,65%,35%,8,7,3,1,5,6,16,21,3,3,4,4,1,3,17,13,2,1,506,269,11,18,127,82,52,31,0,0,,,,,D
d2jW8Bmq,24.07.2020 21:00,Ascoli,Pordenone,2,2,63%,37%,19,14,7,5,12,9,12,18,6,3,1,2,3,5,16,10,3,2,559,324,15,13,121,105,57,46,0,0,,,,,D
MkP0gWmd,24.07.2020 21:00,Chievo,Cittadella,4,1,58%,42%,17,5,8,3,9,2,12,11,9,2,2,1,2,4,10,10,1,4,618,433,13,7,122,93,60,35,0,1,,,,,H
4Ab4DiuS,24.07.2020 21:00,Cosenza,Pisa,2,1,45%,55%,14,12,4,5,10,7,19,10,5,2,0,2,4,2,10,17,3,2,388,482,11,18,87,120,38,33,0,0,,,,,H
zgkz8V2k,24.07.2020 21:00,Cremonese,Spezia,0,0,29%,71%,6,11,1,7,5,4,12,21,3,8,4,1,7,1,17,11,3,0,270,678,7,17,65,165,17,72,0,0,,,,,D
reAeFDAF,24.07.2020 21:00,Entella,Perugia,0,2,60%,40%,20,7,4,3,16,4,18,19,6,4,1,2,1,4,18,16,2,2,595,375,14,7,137,78,67,20,0,0,,,,,A
raQdfCYk,24.07.2020 21:00,Frosinone,Benevento,2,3,51%,49%,15,18,4,5,11,13,21,23,4,4,4,4,2,2,19,17,2,3,424,413,7,7,129,104,57,25,0,0,,,,,A
xb7mHZu3,24.07.2020 21:00,Salernitana,Empoli,2,4,41%,59%,16,16,5,10,11,6,16,19,4,6,1,0,6,3,18,16,1,2,327,454,10,10,93,88,39,35,1,0,,,,,A
QJa0EXPL,24.07.2020 21:00,Trapani,Pescara,1,0,37%,63%,14,20,7,8,7,12,16,21,6,4,1,0,8,6,20,14,3,2,320,575,23,13,100,129,45,81,0,1,,,,,H
WK6iGge9,24.07.2020 21:00,Venezia,Juve Stabia,1,0,49%,51%,9,9,5,2,4,7,17,21,4,7,2,3,2,4,19,14,3,3,421,417,16,15,101,103,44,32,0,0,,,,,H
b78qIFQd,24.07.2020 18:45,Livorno,Crotone,1,5,38%,62%,6,22,3,10,3,12,8,18,2,4,2,0,5,2,16,9,1,0,385,631,11,11,79,98,29,43,0,0,,,,,A
M9eDFM4b,17.07.2020 21:00,Benevento,Livorno,3,1,66%,34%,27,14,8,7,19,7,18,13,3,7,1,3,6,5,13,16,2,1,639,364,6,13,126,81,63,23,0,0,,,,,H
WvTjbLZN,17.07.2020 21:00,Cittadella,Ascoli,1,2,59%,41%,13,9,4,4,9,5,24,17,3,6,0,4,2,3,19,18,4,5,448,300,17,15,112,111,51,26,0,0,,,,,A
GpAGEtK4,17.07.2020 21:00,Crotone,Salernitana,1,1,69%,31%,17,6,6,1,11,5,25,17,3,2,0,2,0,5,13,27,0,5,481,265,7,21,120,72,44,27,0,1,,,,,D
lxRhehJq,17.07.2020 21:00,Empoli,Entella,2,4,56%,44%,15,18,4,9,11,9,18,12,4,4,5,5,5,2,12,17,2,3,491,405,7,10,93,78,49,39,2,0,,,,,A
AVRfcukU,17.07.2020 21:00,Juve Stabia,Chievo,3,2,48%,52%,15,11,4,2,11,9,22,12,4,2,0,1,1,1,13,20,3,3,373,400,9,17,116,63,52,50,1,0,,,,,H
0f74Hrzn,17.07.2020 21:00,Perugia,Cremonese,0,0,64%,36%,9,13,5,8,4,5,14,14,3,5,3,1,8,5,11,12,1,2,650,408,12,12,149,125,33,52,0,0,,,,,D
fy9KD0ZA,17.07.2020 21:00,Pisa,Trapani,3,2,80%,20%,16,10,5,4,11,6,27,21,2,2,1,5,2,2,20,20,7,4,570,218,12,16,138,94,54,29,0,1,,,,,H
ni30IOKu,17.07.2020 21:00,Pordenone,Cosenza,1,2,58%,42%,21,10,4,4,17,6,16,13,2,4,2,2,2,3,11,15,1,1,577,441,14,8,155,96,74,34,0,0,,,,,A
x0bPCKlH,17.07.2020 21:00,Spezia,Venezia,0,1,67%,33%,28,6,7,2,21,4,18,15,8,3,2,2,1,7,16,15,2,2,613,343,15,11,139,69,70,19,0,0,,,,,A
rJd9G2kh,17.07.2020 18:45,Pescara,Frosinone,1,1,45%,55%,14,12,8,3,6,9,35,19,4,6,1,4,2,7,18,31,2,2,364,431,21,11,86,109,29,37,0,0,,,,,D
vRwN45jt,13.07.2020 21:00,Ascoli,Empoli,1,0,38%,62%,13,13,3,4,10,9,18,26,4,4,2,2,4,2,23,16,5,2,334,497,12,9,91,142,31,81,0,0,,,,,H
YqRE0gvP,13.07.2020 21:00,Cremonese,Chievo,1,0,33%,67%,9,8,4,1,5,7,9,19,5,7,1,3,1,3,19,9,1,2,398,692,15,13,93,121,48,55,0,0,,,,,H
zDZs0s5B,13.07.2020 21:00,Crotone,Pordenone,1,0,72%,28%,8,14,4,2,4,12,20,15,9,6,0,3,2,3,15,20,1,3,589,286,12,8,107,98,39,29,0,0,,,,,H
tjzv1Nk5,13.07.2020 21:00,Entella,Pisa,1,1,69%,31%,14,11,5,4,9,7,16,13,7,4,2,1,3,4,13,16,2,3,596,326,16,15,130,101,70,37,0,0,,,,,D
80rR3P5n,13.07.2020 21:00,Frosinone,Juve Stabia,2,2,66%,34%,13,13,4,7,9,6,20,18,8,4,2,1,5,2,16,21,3,5,494,292,9,5,115,61,56,21,1,0,,,,,D
E3Yoa1KH,13.07.2020 21:00,Livorno,Spezia,0,1,18%,82%,4,16,1,7,3,9,12,20,0,9,2,3,6,1,15,10,1,1,258,871,14,6,81,232,14,86,1,0,,,,,A
xIie9orP,13.07.2020 21:00,Salernitana,Cittadella,4,1,52%,48%,16,6,5,1,11,5,24,22,3,4,0,2,0,1,22,24,1,1,365,357,15,15,94,104,37,31,0,0,,,,,H
KtNA1ZOI,13.07.2020 21:00,Trapani,Benevento,2,0,32%,68%,11,14,4,1,7,13,18,20,7,4,3,1,1,2,17,17,1,3,214,601,20,7,65,143,37,47,0,0,,,,,H
UFWZ13za,13.07.2020 21:00,Venezia,Pescara,1,1,53%,47%,14,8,3,4,11,4,9,26,7,3,2,2,3,2,24,7,6,2,545,507,13,13,116,104,54,36,1,1,,,,,D
nisV2qLh,13.07.2020 18:45,Cosenza,Perugia,2,1,34%,66%,16,15,3,3,13,12,16,15,4,5,0,2,2,1,15,16,2,1,353,628,12,6,90,133,42,49,0,0,,,,,H
6H754yu0,10.07.2020 21:00,Ascoli,Salernitana,3,2,33%,67%,11,18,5,7,6,11,20,18,2,9,3,3,5,2,20,15,3,2,247,473,15,6,68,128,16,63,0,0,,,,,H
QHbdW5o7,10.07.2020 21:00,Benevento,Venezia,1,1,56%,44%,12,8,3,3,9,5,19,20,3,2,1,2,2,2,17,18,1,3,524,425,13,20,114,86,44,26,0,0,,,,,D
nTO23ef6,10.07.2020 21:00,Chievo,Trapani,1,1,57%,43%,21,22,8,7,13,15,16,14,6,7,0,1,6,7,13,16,2,3,482,384,10,20,110,120,48,45,0,0,,,,,D
EJSQBJnQ,10.07.2020 21:00,Cittadella,Crotone,1,3,48%,52%,10,14,6,6,4,8,19,18,5,4,4,4,3,5,15,17,4,3,468,502,18,14,103,84,38,28,0,0,,,,,A
K05g7wes,10.07.2020 21:00,Empoli,Frosinone,2,0,49%,51%,12,19,3,3,9,16,20,19,1,9,3,2,3,1,14,16,2,3,403,431,14,14,107,140,28,63,0,1,,,,,H
zTTMCaXJ,10.07.2020 21:00,Livorno,Cremonese,1,2,42%,58%,3,19,1,7,2,12,13,13,3,6,3,1,5,0,10,12,1,2,461,619,15,15,95,100,34,62,0,0,,,,,A
Y39c6cAm,10.07.2020 21:00,Pescara,Perugia,2,2,47%,53%,10,12,4,3,6,9,16,15,4,3,2,1,1,2,15,17,2,4,464,518,10,9,80,101,26,38,0,0,,,,,D
SQ815HPg,10.07.2020 21:00,Pordenone,Pisa,1,0,37%,63%,13,18,2,5,11,13,12,19,2,7,0,0,5,1,19,12,2,0,344,509,7,13,98,102,45,52,0,0,,,,,H
nDzulGfJ,10.07.2020 21:00,Spezia,Cosenza,5,1,55%,45%,15,6,6,4,9,2,13,14,5,4,3,1,3,1,10,13,2,3,521,436,14,11,92,100,21,29,0,0,,,,,H
QJN62F9C,10.07.2020 18:45,Juve Stabia,Entella,1,1,45%,55%,8,13,0,5,8,8,13,13,5,3,2,3,4,0,12,10,1,1,381,445,9,21,111,76,45,39,1,1,,,,,D
Qq7cywBD,03.07.2020 21:00,Cosenza,Ascoli,0,1,50%,50%,15,9,6,5,9,4,25,17,6,2,4,5,4,6,13,20,2,3,434,429,6,17,102,102,50,22,0,0,,,,,A
