id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Completed Passes_home,Completed Passes_away,result
65RfQCvo,11.07.2020 20:00,Goztepe,Genclerbirligi,1,3,65%,35%,16,5,7,3,4,1,5,1,6,0,4,1,0,6,6,13,2,1,565,316,10,13,121,70,86,35,0,0,,,,,,,A
hz92mqts,09.07.2020 20:00,Besiktas,Kasimpasa,3,2,53%,47%,16,14,6,4,7,7,3,3,4,7,3,2,2,3,12,14,3,1,469,400,11,16,81,80,66,64,0,0,,,,,,,H
00CAoNAg,09.07.2020 20:00,Gaziantep,Konyaspor,3,1,55%,45%,18,15,8,8,8,6,2,1,9,5,0,2,7,5,15,9,3,5,438,386,9,11,104,75,85,40,0,0,,,,,,,H
WQ76n3em,09.07.2020 17:30,Rizespor,Kayserispor,3,2,46%,54%,14,17,8,4,3,4,3,9,1,5,2,0,2,5,16,15,3,3,393,474,21,15,76,77,67,57,0,1,,,,,,,H
MFvlULuJ,08.07.2020 20:00,Alanyaspor,Galatasaray,4,1,32%,68%,13,21,6,6,5,11,2,4,6,10,3,3,5,2,7,6,1,1,289,623,12,9,71,105,49,86,0,0,,,,,,,H
ngWZiPXP,08.07.2020 20:00,Goztepe,Ankaragucu,2,2,51%,49%,10,16,5,7,3,8,2,1,1,3,2,1,5,3,14,21,2,4,408,389,16,10,109,99,63,72,0,0,,,,,,,D
rPupV1QC,08.07.2020 17:30,Sivasspor,Yeni Malatyaspor,0,1,65%,35%,11,8,1,4,8,3,2,1,6,0,2,1,3,1,8,16,1,3,506,286,12,17,121,88,80,46,0,0,,,,,,,A
zJSVh5IJ,08.07.2020 17:30,Trabzonspor,Antalyaspor,2,2,59%,41%,15,13,3,7,8,5,4,1,4,5,1,1,5,1,14,17,1,5,490,343,16,20,87,107,77,74,0,0,,,,,,,D
viBEpsQa,07.07.2020 20:00,Basaksehir,Denizlispor,2,0,58%,42%,13,10,4,3,5,5,4,2,6,1,2,1,3,2,15,12,3,1,487,354,9,8,96,79,78,51,0,0,,,,,,,H
QmouWsB6,07.07.2020 17:30,Genclerbirligi,Fenerbahce,1,1,28%,72%,17,15,6,7,8,6,3,2,6,5,0,3,6,5,13,14,3,4,215,551,11,13,78,103,48,78,0,0,,,,,,,D
hzmXX3tf,06.07.2020 20:00,Kayserispor,Besiktas,3,1,34%,66%,9,12,4,8,5,4,0,0,0,7,3,2,7,1,18,15,1,1,295,537,23,19,80,98,29,85,0,0,,,,,,,H
d8gOZPBs,05.07.2020 20:00,Galatasaray,Trabzonspor,1,3,45%,55%,9,10,4,5,2,3,3,2,4,5,0,2,2,3,13,16,2,3,403,482,6,15,90,111,62,76,1,0,,,,,,,A
8r9ltSYD,05.07.2020 20:00,Konyaspor,Rizespor,1,0,60%,40%,13,5,4,1,4,2,5,2,4,5,0,0,1,3,14,17,3,2,510,325,11,10,104,74,64,48,0,0,,,,,,,H
hzR1IOt7,05.07.2020 17:30,Kasimpasa,Sivasspor,0,0,42%,58%,6,16,2,5,2,7,2,4,4,9,1,3,5,2,19,9,3,2,342,457,11,19,76,90,47,79,1,0,,,,,,,D
vXrTYqRm,04.07.2020 20:00,Antalyaspor,Basaksehir,0,2,48%,52%,11,16,3,4,6,10,2,2,4,4,2,0,2,3,24,12,1,2,424,455,17,10,96,103,55,71,0,0,,,,,,,A
ncnyXNe0,04.07.2020 20:00,Fenerbahce,Goztepe,2,1,54%,46%,11,10,5,4,5,5,1,1,8,5,0,1,3,3,12,9,2,2,433,368,11,13,109,77,70,40,1,0,,,,,,,H
fa7dv63Q,04.07.2020 17:30,Ankaragucu,Alanyaspor,1,4,38%,62%,20,15,8,7,6,5,6,3,4,7,0,2,3,7,14,11,2,2,312,492,11,15,81,98,61,76,0,0,,,,,,,A
nZ7hunlK,04.07.2020 17:30,Yeni Malatyaspor,Genclerbirligi,0,0,39%,61%,4,8,1,1,2,6,1,1,2,8,5,2,1,1,10,7,5,2,299,469,3,12,69,76,58,66,0,0,,,,,,,D
6wV5HrdD,03.07.2020 20:00,Denizlispor,Gaziantep,0,1,58%,42%,9,8,0,4,6,3,3,1,7,4,5,1,3,0,17,21,2,1,474,341,11,15,135,80,86,46,0,0,,,,,,,A
banP45C7,29.06.2020 20:00,Genclerbirligi,Kasimpasa,0,2,55%,45%,12,16,3,9,8,5,1,2,4,3,0,7,7,3,13,9,2,2,479,410,7,18,115,87,76,57,0,0,,,,,,,A
Q5vBS84E,28.06.2020 20:00,Basaksehir,Galatasaray,1,1,37%,63%,11,21,4,6,6,6,1,9,4,7,0,2,5,3,15,9,7,1,335,564,13,13,73,98,51,87,1,0,,,,,,,D
8UTFRSJK,28.06.2020 20:00,Gaziantep,Antalyaspor,1,1,60%,40%,19,8,2,1,9,4,8,3,7,3,3,2,0,1,16,13,2,3,449,307,15,14,115,82,102,54,0,1,,,,,,,D
bDRcJ4R0,28.06.2020 17:30,Rizespor,Denizlispor,2,2,65%,35%,16,5,7,1,6,3,3,1,5,1,3,0,0,5,19,11,2,1,572,316,11,10,117,91,77,51,0,0,,,,,,,D
KMSgKpCf,28.06.2020 17:30,Sivasspor,Kayserispor,0,2,66%,34%,21,9,5,4,12,4,4,1,9,4,0,1,2,5,11,16,3,4,457,241,17,16,110,77,82,24,0,0,,,,,,,A
OfZpM6sr,27.06.2020 20:00,Goztepe,Alanyaspor,3,3,52%,48%,7,14,3,6,4,3,0,5,3,4,4,2,3,2,12,12,3,2,434,409,11,14,99,95,59,70,0,0,,,,,,,D
6FnJQnZQ,27.06.2020 20:00,Trabzonspor,Ankaragucu,1,1,60%,40%,7,9,2,4,3,4,2,1,2,4,4,1,3,1,14,28,4,8,434,289,19,12,109,102,81,58,0,1,,,,,,,D
2oYlLQdl,27.06.2020 17:30,Fenerbahce,Yeni Malatyaspor,3,2,70%,30%,18,8,4,4,11,3,3,1,6,3,2,1,2,1,12,14,3,4,495,204,11,13,108,72,75,46,0,1,,,,,,,H
nFu7Tlk8,26.06.2020 20:00,Besiktas,Konyaspor,3,0,70%,30%,15,4,4,2,10,2,1,0,3,5,4,5,2,1,14,6,3,0,699,297,13,13,94,55,92,42,0,1,2,3,4,4,,,H
OtfC77Sl,22.06.2020 20:00,Alanyaspor,Trabzonspor,2,2,53%,47%,17,12,8,6,5,3,4,3,8,2,2,3,4,6,12,16,3,1,401,369,24,11,94,86,73,51,1,1,,,,,,,D
xpbG6Rse,22.06.2020 20:00,Antalyaspor,Rizespor,3,1,42%,58%,10,8,7,4,2,2,1,2,6,4,0,2,3,4,16,15,2,2,341,460,15,13,93,103,82,72,0,0,,,,,,,H
EogyGVK8,21.06.2020 20:00,Galatasaray,Gaziantep,3,3,63%,37%,10,10,6,6,3,1,1,3,2,6,1,2,3,3,18,14,6,1,522,293,14,11,85,91,50,58,1,0,,,,,,,D
naiqE9kL,21.06.2020 20:00,Konyaspor,Sivasspor,2,2,50%,50%,10,11,5,2,5,5,0,4,1,5,1,0,0,3,13,6,3,1,503,490,11,8,105,102,51,75,0,0,,,,,,,D
UJf88mDr,21.06.2020 17:30,Kasimpasa,Fenerbahce,2,0,42%,58%,12,13,5,6,4,6,3,1,4,3,0,2,6,3,15,11,4,0,339,486,10,10,86,103,52,74,0,0,,,,,,,H
K8mL5oc1,20.06.2020 20:00,Denizlispor,Besiktas,1,5,35%,65%,11,17,3,10,6,3,2,4,4,8,0,0,5,2,15,9,2,0,308,578,23,7,59,79,47,65,0,0,,,,,,,A
88huFkzF,20.06.2020 20:00,Yeni Malatyaspor,Goztepe,2,1,27%,73%,7,10,3,2,2,5,2,3,2,6,3,1,1,1,10,11,2,1,217,588,17,10,62,102,38,76,0,0,,,,,,,H
SA8tDT4R,20.06.2020 17:30,Kayserispor,Genclerbirligi,2,0,51%,49%,15,16,4,3,10,6,1,7,3,12,2,0,3,2,14,9,4,3,450,399,16,12,91,102,54,108,0,0,,,,,,,H
0rkXGB52,19.06.2020 20:00,Ankaragucu,Basaksehir,1,2,37%,63%,10,20,2,11,6,4,2,5,5,8,1,2,9,1,19,15,4,4,248,421,12,16,100,111,66,103,0,0,17,21,24,19,,,A
bwBlhSS1,15.06.2020 20:00,Sivasspor,Denizlispor,1,0,58%,42%,16,9,4,2,6,5,6,2,5,4,1,0,2,3,19,13,3,2,475,345,12,14,119,102,54,35,0,1,,,,,,,H
Kli4DxaA,14.06.2020 20:00,Gaziantep,Ankaragucu,1,1,53%,47%,5,16,1,7,4,4,0,5,4,11,4,0,6,0,10,19,3,3,391,336,14,10,107,87,61,85,0,0,,,,,,,D
nygdFbUc,14.06.2020 20:00,Rizespor,Galatasaray,2,0,32%,68%,8,15,4,3,3,10,1,2,1,10,4,0,3,2,17,18,4,3,280,590,19,17,61,106,34,91,0,1,,,,,,,H
UabiGvFi,14.06.2020 17:30,Genclerbirligi,Konyaspor,2,1,46%,54%,12,19,3,3,5,13,4,3,4,3,1,3,2,1,15,13,2,2,390,469,14,17,87,93,64,71,0,0,,,,,,,H
QRi0EIq4,13.06.2020 20:00,Besiktas,Antalyaspor,1,2,76%,24%,25,11,6,4,10,6,9,1,11,2,5,1,2,5,12,13,3,3,633,208,12,11,88,67,107,40,0,0,,,,,,,A
jD7tflbk,13.06.2020 20:00,Yeni Malatyaspor,Kasimpasa,1,2,54%,46%,14,11,1,3,8,4,5,4,5,5,2,1,1,0,9,13,1,2,440,366,12,9,101,87,80,76,0,0,,,,,,,A
WOf8CdEG,13.06.2020 17:30,Basaksehir,Alanyaspor,2,0,59%,41%,18,12,6,4,6,6,6,2,6,6,4,0,4,4,10,13,1,3,523,358,16,9,113,78,79,57,0,0,,,,,,,H
KnCpg8De,12.06.2020 20:00,Fenerbahce,Kayserispor,2,1,40%,60%,10,11,4,6,6,3,0,2,2,3,0,2,5,2,6,14,1,2,417,620,21,11,92,90,64,64,1,0,,,,,,,H
CM8xeUrq,12.06.2020 20:00,Goztepe,Trabzonspor,1,3,65%,35%,18,10,7,7,9,3,2,0,1,3,0,0,4,6,10,16,2,3,494,277,11,14,86,86,64,49,0,1,,,,,,,A
Sbd1TyRF,17.03.2020 18:00,Goztepe,Rizespor,2,0,54%,46%,14,4,4,1,5,3,5,0,5,1,2,4,1,2,11,17,1,2,529,444,15,17,91,79,83,54,0,0,,,,,,,H
pfHRaJUA,16.03.2020 18:00,Antalyaspor,Sivasspor,1,0,58%,42%,17,8,6,3,8,0,3,5,3,7,0,3,3,5,12,17,1,4,491,352,12,12,137,96,80,64,0,1,,,,,,,H
63IN0aF4,15.03.2020 17:00,Galatasaray,Besiktas,0,0,61%,39%,16,3,4,2,8,1,4,0,5,4,2,4,2,4,15,15,1,2,607,376,14,13,150,94,115,59,0,0,,,,,,,D
OvTI1u0b,15.03.2020 14:00,Trabzonspor,Basaksehir,1,1,52%,48%,17,12,2,5,8,5,7,2,7,3,0,1,4,1,6,14,1,1,443,422,18,17,118,106,83,52,0,0,,,,,,,D
ILUYccaN,15.03.2020 11:30,Kayserispor,Yeni Malatyaspor,2,1,48%,52%,15,15,5,8,9,3,1,4,3,5,2,6,7,3,19,9,3,1,454,481,14,9,75,81,35,70,0,0,,,,,,,H
AyPE2Lph,14.03.2020 18:00,Konyaspor,Fenerbahce,1,0,29%,71%,8,10,2,0,3,8,3,2,0,5,1,1,0,1,14,10,7,2,274,676,11,6,56,98,21,70,2,0,,,,,,,H
0pKwcHET,14.03.2020 15:00,Alanyaspor,Gaziantep,1,0,48%,52%,9,16,2,0,5,14,2,2,1,6,3,3,0,1,8,10,0,3,427,447,11,11,87,83,55,66,0,0,,,,,,,H
vVVUbwpH,14.03.2020 12:00,Denizlispor,Genclerbirligi,1,0,47%,53%,19,13,8,2,8,9,3,2,5,10,7,0,2,7,9,11,1,2,361,372,20,8,74,83,47,65,0,0,,,,,,,H
x6B5hyNp,13.03.2020 18:00,Ankaragucu,Rizespor,2,1,28%,72%,13,15,3,2,6,6,4,7,8,7,0,1,1,1,15,17,2,3,215,554,16,15,77,82,61,66,0,1,,,,,,,H
j9amHKao,13.03.2020 18:00,Kasimpasa,Goztepe,2,0,45%,55%,11,9,5,3,5,4,1,2,4,7,5,4,3,3,15,13,3,2,422,516,9,12,105,114,77,86,0,0,,,,,,,H
p0zc1JsN,11.03.2020 18:00,Yeni Malatyaspor,Trabzonspor,1,3,56%,44%,6,13,3,5,2,2,1,6,5,6,3,1,2,2,12,9,3,2,462,365,23,33,124,100,98,91,0,0,,,,,,,A
lAlQlqgg,09.03.2020 18:00,Genclerbirligi,Antalyaspor,1,1,49%,51%,20,7,8,2,7,5,5,0,8,3,1,5,1,7,11,11,3,1,400,423,8,17,88,78,98,68,0,0,,,,,,,D
GEPA31Vo,08.03.2020 17:00,Sivasspor,Galatasaray,2,2,37%,63%,10,11,8,6,2,2,0,3,6,6,2,1,4,6,15,12,1,2,314,543,17,17,103,121,61,74,0,0,,,,,,,D
IqgUm38a,08.03.2020 14:00,Rizespor,Alanyaspor,1,1,61%,39%,12,22,4,5,6,11,2,6,2,5,2,2,4,3,10,15,1,3,561,355,17,21,105,97,71,79,0,0,,,,,,,D
OnqkquNU,08.03.2020 11:30,Kasimpasa,Kayserispor,5,1,40%,60%,16,13,10,4,3,5,3,4,2,3,0,3,3,5,19,15,3,4,355,521,10,10,88,97,55,81,0,0,,,,,,,H
dzhYnNN5,07.03.2020 18:00,Fenerbahce,Denizlispor,2,2,51%,49%,9,12,3,8,5,3,1,1,3,3,2,2,6,1,16,20,7,4,423,417,9,7,78,68,64,60,1,0,,,,,,,D
jZpso1hI,07.03.2020 15:00,Gaziantep,Trabzonspor,1,1,40%,60%,10,6,3,2,5,3,2,1,5,2,1,1,1,2,8,14,2,5,342,527,18,14,76,80,58,62,0,0,,,,,,,D
pdpopL7O,07.03.2020 15:00,Goztepe,Basaksehir,0,3,61%,39%,17,12,1,4,9,7,7,1,7,0,0,2,1,1,10,10,1,2,567,365,19,4,93,91,76,53,0,1,,,,,,,A
xOQ64sGu,07.03.2020 12:00,Yeni Malatyaspor,Konyaspor,1,1,49%,51%,8,9,4,3,3,2,1,4,4,8,1,1,2,3,15,14,1,2,415,424,15,7,82,106,45,66,1,1,,,,,,,D
vaswnswC,06.03.2020 18:00,Besiktas,Ankaragucu,2,1,66%,34%,12,12,2,5,6,4,4,3,1,5,4,4,4,0,14,17,3,5,528,269,16,18,94,82,59,49,0,0,,,,,,,H
vw62Z3g6,02.03.2020 18:00,Basaksehir,Gaziantep,3,1,57%,43%,20,22,10,8,5,9,5,5,7,4,4,0,7,7,9,7,1,0,510,402,20,16,33,22,27,16,0,0,,,,,,,H
AJkMkPwm,02.03.2020 18:00,Kayserispor,Goztepe,1,0,41%,59%,9,13,3,2,5,6,1,5,0,5,3,1,2,2,17,13,4,1,363,490,16,17,26,17,19,11,0,0,,,,,,,H
IT46YN8C,01.03.2020 17:00,Galatasaray,Genclerbirligi,3,0,61%,39%,12,9,6,2,4,4,2,3,5,10,2,4,2,3,7,10,1,4,534,325,12,16,96,95,77,80,0,0,,,,,,,H
WC2fyQOg,01.03.2020 14:00,Ankaragucu,Sivasspor,0,3,41%,59%,8,21,2,9,5,7,1,5,4,7,0,0,6,2,14,17,2,2,340,487,15,16,78,84,65,68,1,0,,,,,,,A
pG6bzpv0,01.03.2020 11:30,Denizlispor,Yeni Malatyaspor,2,0,60%,40%,24,2,11,0,5,1,8,1,12,2,0,2,0,9,17,23,0,4,407,281,17,11,85,90,94,45,0,1,,,,,,,H
