id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Completed Passes_home,Completed Passes_away,result
GMZ8PSPs,17.02.2020 18:00,Antalyaspor,Kasimpasa,3,1,53%,47%,16,6,9,3,5,2,2,1,3,5,4,3,2,6,12,15,4,3,467,392,25,14,110,103,74,71,0,0,,,,,,,H
f9ttMgJk,17.02.2020 18:00,Gaziantep,Rizespor,2,0,46%,54%,21,6,3,1,13,3,5,2,7,2,1,3,1,1,14,14,3,4,396,473,16,18,109,93,82,59,0,1,,,,,,,H
4p7useeF,16.02.2020 17:00,Galatasaray,Yeni Malatyaspor,1,0,58%,42%,18,10,3,4,9,4,6,2,6,5,1,6,4,2,8,20,2,3,466,327,18,13,79,73,68,72,0,0,,,,,,,H
t6xxNZ3q,16.02.2020 14:00,Trabzonspor,Sivasspor,2,1,50%,50%,12,18,4,3,6,9,2,6,7,7,1,0,2,2,9,16,2,1,416,399,20,18,88,83,56,72,0,0,,,,,,,H
rVIWrHQ2,16.02.2020 11:30,Alanyaspor,Genclerbirligi,0,1,58%,42%,23,14,11,6,9,5,3,3,3,7,4,1,5,11,11,8,3,2,465,325,21,19,100,78,98,84,0,0,,,,,,,A
MLHzryt9,15.02.2020 18:00,Ankaragucu,Fenerbahce,2,1,25%,75%,9,16,3,7,4,6,2,3,1,2,0,3,6,1,13,12,1,2,212,631,18,14,81,120,38,100,0,0,,,,,,,H
GOUlKXm2,15.02.2020 15:00,Konyaspor,Goztepe,1,3,53%,47%,14,12,5,3,5,6,4,3,8,3,1,3,0,4,10,12,2,0,484,432,8,9,71,68,59,36,0,0,,,,,,,A
AqZCOnul,15.02.2020 12:00,Denizlispor,Kayserispor,0,1,53%,47%,9,17,3,4,5,10,1,3,10,5,1,2,3,3,11,19,,,473,422,13,13,100,85,80,70,0,0,,,,,,,A
xYVpLDYe,14.02.2020 18:00,Basaksehir,Besiktas,1,0,34%,66%,6,19,3,7,2,7,1,5,0,5,4,1,7,2,14,11,3,3,298,568,24,15,95,154,39,115,0,0,,,,,,,H
pzi6SetM,09.02.2020 17:00,Kasimpasa,Galatasaray,0,3,40%,60%,11,19,3,8,7,5,1,6,4,5,3,0,6,3,12,11,2,0,377,605,10,11,94,95,70,78,0,0,,,,,,,A
2FH28zkj,09.02.2020 14:00,Sivasspor,Basaksehir,1,1,52%,48%,14,8,4,1,5,3,5,4,7,2,2,0,0,3,12,11,0,3,379,354,12,17,102,113,72,44,0,0,,,,,,,D
OQkARFeS,09.02.2020 11:30,Kayserispor,Antalyaspor,2,2,54%,46%,15,11,9,3,3,3,3,5,8,8,1,3,1,7,16,15,4,4,410,353,19,18,90,101,70,77,0,0,,,,,,,D
YuDb9GZq,08.02.2020 18:00,Fenerbahce,Alanyaspor,1,1,69%,31%,15,5,3,2,7,3,5,0,5,2,3,4,1,2,11,13,3,4,626,288,19,15,130,70,86,34,0,0,,,,,,,D
l8ccUHB9,08.02.2020 15:00,Besiktas,Gaziantep,3,0,68%,32%,17,11,8,2,4,5,5,4,10,5,7,2,2,5,14,13,3,2,594,278,12,14,147,96,127,72,0,0,,,,,,,H
fobgVcd3,08.02.2020 15:00,Genclerbirligi,Trabzonspor,0,2,41%,59%,13,15,2,7,5,6,6,2,5,9,0,2,5,2,19,11,8,1,276,419,17,11,81,82,72,84,0,1,,,,,,,A
t6G67f4d,08.02.2020 12:00,Konyaspor,Denizlispor,0,0,64%,36%,20,10,5,2,9,3,6,5,7,4,2,0,2,5,14,18,2,1,641,366,12,15,135,103,77,53,0,0,,,,,,,D
rBfkWwsc,07.02.2020 18:00,Yeni Malatyaspor,Ankaragucu,0,1,64%,36%,12,15,2,7,7,5,3,3,10,3,0,0,6,2,7,16,1,2,491,278,14,23,120,84,103,59,1,0,,,,,,,A
UXBTec5p,03.02.2020 18:00,Denizlispor,Goztepe,1,1,59%,41%,19,8,7,3,8,3,4,2,8,1,1,0,2,6,11,14,2,4,478,335,8,20,117,88,96,47,0,0,,,,,,,D
WWQWDdRS,02.02.2020 17:00,Galatasaray,Kayserispor,4,1,62%,38%,11,10,5,2,5,7,1,1,5,4,1,1,1,1,16,10,2,1,590,368,22,17,114,77,89,48,0,0,,,,,,,H
trYJGbsA,02.02.2020 14:00,Alanyaspor,Yeni Malatyaspor,2,1,42%,58%,14,12,7,2,6,6,1,4,7,6,4,0,1,5,12,17,2,3,324,469,14,12,84,94,69,60,1,0,,,,,,,H
zV2JIKCc,02.02.2020 14:00,Gaziantep,Sivasspor,5,1,42%,58%,11,21,7,8,3,10,1,3,6,2,0,5,7,2,13,14,3,4,277,387,13,12,70,81,59,83,0,0,,,,,,,H
dv4FJ0ci,02.02.2020 11:30,Ankaragucu,Kasimpasa,1,1,56%,44%,11,19,3,3,6,13,2,3,3,9,2,2,2,2,14,15,3,3,422,312,21,25,104,94,65,80,0,0,,,,,,,D
2iZFHvS3,01.02.2020 18:00,Trabzonspor,Fenerbahce,2,1,36%,64%,16,23,4,9,7,7,5,7,6,10,2,1,8,2,20,14,4,5,278,518,24,17,75,124,62,95,0,1,14,22,17,21,,,H
l8ySExCM,01.02.2020 15:00,Rizespor,Besiktas,1,2,35%,65%,14,7,4,2,9,2,1,3,4,4,0,2,0,3,15,10,3,0,329,628,13,10,60,79,46,69,0,0,13,16,15,18,,,A
z5XNFIdG,01.02.2020 12:00,Antalyaspor,Konyaspor,0,0,41%,59%,6,15,2,3,1,6,3,6,12,4,0,2,3,2,16,10,3,0,355,531,17,11,95,119,77,70,0,0,12,16,24,25,,,D
ryGXfHKj,31.01.2020 18:00,Basaksehir,Genclerbirligi,3,1,49%,51%,9,14,3,5,3,6,3,3,3,8,3,1,4,0,11,13,1,1,426,418,17,18,101,96,67,82,0,0,,,,,,,H
xzXl3uDA,27.01.2020 18:00,Sivasspor,Rizespor,1,1,60%,40%,17,5,5,3,12,2,,,6,1,2,1,2,4,10,16,1,5,,,,,111,88,103,44,0,0,17,12,20,19,,,D
ANuY6NDo,26.01.2020 17:00,Konyaspor,Galatasaray,0,3,46%,54%,6,6,4,5,2,1,,,8,6,5,0,2,4,9,14,0,2,,,,,103,118,81,65,0,0,14,14,30,17,,,A
GQVh2aSG,26.01.2020 14:00,Goztepe,Besiktas,2,1,52%,48%,10,5,6,4,4,1,,,5,4,2,5,3,4,14,14,4,4,,,,,90,113,62,81,0,0,19,16,23,19,,,H
OjZ00wcT,26.01.2020 11:30,Denizlispor,Antalyaspor,0,3,56%,44%,9,8,3,6,6,2,,,8,4,1,2,3,3,12,16,2,2,,,,,131,97,86,63,0,0,18,13,27,24,,,A
fBsp4Lc4,25.01.2020 18:00,Fenerbahce,Basaksehir,2,0,52%,48%,24,3,9,1,15,2,,,6,7,0,0,1,7,13,18,0,1,,,,,98,86,77,67,0,0,18,13,14,28,,,H
ryvt51rb,25.01.2020 15:00,Kasimpasa,Alanyaspor,1,2,50%,50%,4,12,2,4,2,8,,,4,7,0,0,2,1,23,21,3,1,,,,,119,108,73,86,1,0,21,23,27,20,,,A
lEvx6sTi,25.01.2020 12:00,Kayserispor,Ankaragucu,1,1,58%,42%,12,8,5,2,7,6,,,12,3,2,1,1,4,20,15,5,6,,,,,95,73,80,51,0,1,16,22,18,23,,,D
Y5dkrvyo,24.01.2020 18:00,Genclerbirligi,Gaziantep,1,0,58%,42%,13,7,6,2,7,5,,,10,2,2,2,2,5,11,8,3,2,,,,,84,80,102,77,0,0,10,13,17,16,,,H
fiJ2irEb,20.01.2020 18:00,Rizespor,Genclerbirligi,2,0,49%,51%,8,7,4,3,4,4,,,4,0,1,1,3,2,19,14,1,1,,,,,90,99,56,67,0,0,15,20,20,24,,,H
KYQkfpUu,19.01.2020 17:00,Besiktas,Sivasspor,1,2,65%,35%,12,9,7,5,5,4,,,14,5,1,1,3,6,5,21,2,6,,,,,101,77,102,58,0,1,22,6,22,14,,,A
xzBJm0DN,19.01.2020 14:00,Galatasaray,Denizlispor,2,1,50%,50%,14,4,4,2,10,2,,,5,9,0,2,1,2,15,10,1,4,,,,,101,69,86,58,0,0,12,15,18,17,,,H
2HI6j2T4,19.01.2020 14:00,Trabzonspor,Kasimpasa,6,0,55%,45%,12,3,9,2,3,1,,,5,2,2,1,2,3,15,14,1,4,,,,,92,80,66,53,0,1,15,17,16,14,,,H
WdANnKST,19.01.2020 11:30,Antalyaspor,Goztepe,0,3,47%,53%,8,6,2,3,6,3,,,9,5,0,1,0,2,16,8,4,2,,,,,92,89,82,47,1,0,9,16,21,23,,,A
YyVgg4qn,18.01.2020 18:00,Gaziantep,Fenerbahce,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,A
G0KbhObh,18.01.2020 15:00,Basaksehir,Yeni Malatyaspor,4,1,58%,42%,11,9,6,7,5,2,,,4,5,2,2,6,2,15,21,2,4,,,,,97,86,67,64,0,0,23,17,18,18,,,H
t8HAkMrB,18.01.2020 12:00,Alanyaspor,Kayserispor,5,1,59%,41%,16,9,8,5,8,4,,,2,2,5,2,4,3,10,17,0,2,,,,,98,90,83,45,0,1,19,15,24,10,,,H
OW6FltbH,17.01.2020 18:00,Ankaragucu,Konyaspor,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,A
U5FvmTMC,29.12.2019 17:00,Rizespor,Fenerbahce,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,A
vHMRkVxf,29.12.2019 14:30,Alanyaspor,Konyaspor,2,1,56%,44%,16,4,7,2,9,2,,,11,1,1,1,1,5,8,13,1,4,,,,,147,107,104,31,0,0,14,9,21,22,,,H
CUKZm976,29.12.2019 14:30,Gaziantep,Yeni Malatyaspor,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,D
SONmcDpK,29.12.2019 12:00,Sivasspor,Goztepe,1,0,55%,45%,10,2,4,0,6,2,,,3,1,2,1,0,3,17,13,1,1,,,,,112,107,67,47,0,0,13,19,32,30,,,H
8dErnmxJ,28.12.2019 18:00,Galatasaray,Antalyaspor,5,0,59%,41%,11,7,7,3,4,4,,,6,3,1,4,3,3,16,18,2,4,,,,,131,89,80,58,0,0,22,17,17,17,,,H
dbSidXaQ,28.12.2019 15:30,Basaksehir,Kasimpasa,5,1,50%,50%,14,18,9,6,5,12,,,5,8,0,1,5,4,21,12,2,3,,,,,86,85,60,85,0,0,13,21,17,11,,,H
YwMVlkh0,28.12.2019 15:30,Trabzonspor,Kayserispor,6,2,53%,47%,21,6,13,3,8,3,,,14,2,2,1,1,7,8,10,0,2,,,,,128,91,109,38,0,0,11,10,15,10,,,H
tW3OjBNm,28.12.2019 13:00,Ankaragucu,Denizlispor,2,2,44%,56%,16,7,5,3,11,4,,,2,3,3,0,1,3,22,9,2,1,,,,,122,100,107,63,0,1,9,25,17,29,,,D
b7EJii8s,27.12.2019 18:30,Besiktas,Genclerbirligi,4,1,65%,35%,17,4,6,3,11,1,,,8,5,8,2,2,2,12,9,2,4,,,,,95,62,92,24,0,2,11,20,16,8,,,H
lYOqbgVD,23.12.2019 18:00,Denizlispor,Alanyaspor,1,5,55%,45%,7,14,3,10,4,4,,,4,7,0,1,5,2,12,21,1,3,,,,,104,101,71,66,0,0,22,12,24,19,,,A
OUuMrEVQ,23.12.2019 18:00,Konyaspor,Trabzonspor,0,1,45%,55%,8,5,3,2,5,3,,,3,3,2,0,1,3,13,17,5,2,,,,,105,102,81,59,1,0,17,15,18,22,,,A
v3sgyWN0,22.12.2019 17:00,Fenerbahce,Besiktas,3,1,50%,50%,17,7,6,2,5,3,6,2,9,5,5,2,1,3,18,21,2,3,,,,,99,90,87,70,0,0,23,23,19,26,,,H
nTp1Z9hD,22.12.2019 14:30,Kayserispor,Basaksehir,1,4,45%,55%,16,22,4,9,8,10,4,3,6,7,4,3,5,3,11,6,3,2,,,8,12,77,89,64,83,0,0,9,16,16,18,,,A
0CrkxC8f,22.12.2019 12:00,Genclerbirligi,Sivasspor,2,2,54%,46%,11,9,7,6,4,3,,,8,7,1,2,4,5,16,11,3,2,,,,,107,95,70,72,0,0,13,17,21,23,,,D
tASmvYwr,21.12.2019 18:00,Goztepe,Galatasaray,2,1,43%,57%,14,12,6,1,7,9,1,2,2,5,1,2,1,4,6,9,4,2,,,,,84,87,53,71,0,0,11,7,11,19,,,H
YPtczjw7,21.12.2019 15:30,Kasimpasa,Gaziantep,3,4,50%,50%,7,6,4,5,3,1,,,8,3,2,4,1,1,12,15,4,2,,,,,74,59,79,58,0,0,19,14,15,21,,,A
ARyIqfGK,21.12.2019 13:00,Yeni Malatyaspor,Rizespor,0,2,56%,44%,11,7,5,3,6,4,,,6,4,3,1,1,5,11,12,2,3,,,,,128,79,80,39,0,0,13,14,25,24,,,A
K0Riwhgl,20.12.2019 18:30,Antalyaspor,Ankaragucu,2,2,55%,45%,14,6,3,3,9,2,2,1,6,0,4,2,1,1,20,21,2,3,,,,,103,105,58,27,0,0,18,18,18,22,,,D
M5eNNCg1,16.12.2019 18:00,Basaksehir,Konyaspor,1,1,57%,43%,19,6,6,2,8,2,5,2,9,0,2,0,1,5,14,10,0,3,,,,,127,107,101,43,0,0,10,16,20,23,,,D
WzHrVf1R,16.12.2019 18:00,Trabzonspor,Denizlispor,1,2,61%,39%,15,10,7,4,5,3,3,3,5,3,3,1,2,6,11,13,0,1,,,,,131,82,88,49,0,0,14,14,23,18,,,A
lCm9oGo8,15.12.2019 17:00,Besiktas,Yeni Malatyaspor,0,2,67%,33%,12,4,1,3,8,0,3,1,4,0,2,2,1,1,11,12,6,3,,,,,136,102,115,43,1,0,14,13,33,19,,,A
EaMwWznL,15.12.2019 14:30,Sivasspor,Fenerbahce,3,1,34%,66%,13,9,3,4,7,3,3,2,5,7,5,4,3,0,19,12,4,3,,,,,98,121,63,84,0,2,14,23,14,25,,,H
0dfRMW87,15.12.2019 12:00,Gaziantep,Kayserispor,3,0,51%,49%,14,5,6,1,7,3,1,1,7,4,1,2,1,3,21,19,2,2,,,,,115,87,104,58,0,0,20,22,,,,,H
S2nDpz1E,14.12.2019 18:00,Galatasaray,Ankaragucu,2,2,74%,26%,14,7,5,3,7,4,2,0,12,3,1,2,1,3,10,15,2,5,,,,,147,82,141,53,0,1,14,9,29,16,,,D
S62EPYOl,14.12.2019 15:00,Genclerbirligi,Goztepe,3,1,44%,56%,8,11,5,1,3,9,0,1,2,4,0,4,0,2,17,11,3,1,,,,,102,133,57,80,0,0,15,17,19,35,,,H
Yq3AQE9r,14.12.2019 13:00,Rizespor,Kasimpasa,0,3,54%,46%,16,9,4,4,11,3,1,2,7,5,1,2,1,4,16,19,5,6,,,,,93,93,84,57,1,0,20,17,13,12,,,A
vs6IOhve,13.12.2019 18:30,Alanyaspor,Antalyaspor,0,0,55%,45%,15,8,1,1,7,4,7,3,6,3,1,0,1,1,22,19,3,3,,,,,125,101,81,60,0,0,19,24,34,27,,,D
SrKRYx22,09.12.2019 18:00,Kayserispor,Rizespor,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,H
OAgoQpb2,08.12.2019 17:00,Kasimpasa,Besiktas,2,3,34%,66%,11,19,5,7,4,7,2,5,5,9,2,3,4,3,10,12,,,,,,,87,128,71,111,0,0,15,12,6,18,,,A
jqtvS6Tk,08.12.2019 14:30,Antalyaspor,Trabzonspor,1,3,60%,40%,24,11,8,5,13,3,3,3,11,4,1,1,2,7,12,14,2,2,,,,,145,119,138,55,0,0,17,12,34,15,,,A
z9NZWGWE,08.12.2019 14:30,Denizlispor,Basaksehir,1,1,32%,68%,8,18,2,5,6,9,0,4,4,3,0,2,5,1,15,10,3,1,,,,,100,121,54,81,0,0,13,15,17,25,,,D
tnOVXdH8,08.12.2019 12:00,Konyaspor,Gaziantep,0,0,60%,40%,16,13,5,2,8,5,3,6,6,8,5,1,2,5,16,16,2,1,,,,,136,82,65,49,0,0,16,23,,,,,D
ChszTnEq,07.12.2019 18:00,Galatasaray,Alanyaspor,1,0,58%,42%,7,21,4,5,1,8,2,8,6,13,5,2,5,3,15,13,2,4,,,,,121,121,71,91,0,0,13,23,23,19,,,H
pKfsRQrd,07.12.2019 15:30,Ankaragucu,Goztepe,1,3,54%,46%,11,15,4,6,5,5,2,4,2,3,3,3,3,3,13,9,2,3,,,,,131,129,77,59,0,0,12,16,21,24,,,A
6B47XS5S,07.12.2019 13:00,Yeni Malatyaspor,Sivasspor,1,3,55%,45%,14,13,2,7,5,4,7,2,3,4,2,0,4,1,14,16,2,4,,,,,97,72,88,66,0,0,16,17,25,21,,,A
h803Y8jM,06.12.2019 18:30,Fenerbahce,Genclerbirligi,5,2,57%,43%,24,14,13,6,7,3,4,5,4,4,3,1,4,8,14,12,3,4,530,385,,,112,115,80,77,0,0,13,17,15,26,,,H
Kf2ezVL9,02.12.2019 18:00,Besiktas,Kayserispor,4,1,55%,45%,24,7,13,3,7,3,4,1,9,5,2,0,2,9,12,10,2,1,,,,,87,69,87,46,0,0,10,15,16,17,,,H
OS8nxiic,01.12.2019 17:00,Trabzonspor,Galatasaray,1,1,40%,60%,12,10,4,3,4,6,4,1,5,9,3,1,2,3,10,8,5,3,,,,,96,124,72,92,0,0,8,14,21,15,,,D
2J7jyB63,01.12.2019 14:30,Basaksehir,Antalyaspor,2,0,51%,49%,12,14,4,5,7,8,1,1,7,2,2,2,5,2,16,18,1,3,,,,,100,109,77,67,0,0,19,18,24,19,,,H
v14SWeFH,01.12.2019 12:00,Gaziantep,Denizlispor,1,2,60%,40%,18,5,3,2,11,2,4,1,5,2,4,1,1,2,10,18,3,5,,,,,100,83,104,64,0,0,19,14,24,17,,,A
bo1aZlyG,30.11.2019 18:00,Goztepe,Fenerbahce,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,D
APK4D7Ed,30.11.2019 15:30,Alanyaspor,Ankaragucu,5,0,49%,51%,19,7,12,2,3,4,4,1,6,9,2,1,2,7,14,12,1,2,400,423,20,14,114,108,77,75,0,0,14,16,19,30,323,327,H
GQReFTqp,30.11.2019 13:00,Rizespor,Konyaspor,3,1,38%,62%,9,13,5,2,3,5,1,6,3,2,4,0,1,2,16,9,1,0,,,,,93,138,47,76,0,0,9,20,24,25,,,H
ARaOXy0B,30.11.2019 13:00,Sivasspor,Kasimpasa,2,0,37%,63%,16,16,9,4,2,6,5,6,6,5,4,1,4,7,19,10,1,3,,,,,95,112,57,75,0,0,11,24,19,25,,,H
bkH0Emaj,29.11.2019 18:30,Genclerbirligi,Yeni Malatyaspor,3,3,46%,54%,16,11,8,7,7,2,1,2,10,2,1,5,4,5,15,12,2,2,,,,,82,78,97,75,0,0,16,15,,,,,D
voG4HGFU,25.11.2019 18:00,Antalyaspor,Gaziantep,1,1,57%,43%,24,10,5,4,15,4,4,2,5,3,3,2,3,4,19,18,2,3,426,333,11,21,108,95,97,58,0,0,20,22,23,11,341,242,D
z97BzvGh,24.11.2019 17:00,Yeni Malatyaspor,Fenerbahce,0,0,41%,59%,13,17,6,6,5,7,2,4,4,3,4,1,6,6,13,21,3,4,311,441,11,15,111,113,81,70,0,0,23,16,20,28,221,357,D
tn87yK0n,24.11.2019 14:30,Alanyaspor,Goztepe,0,1,52%,48%,14,6,7,2,6,2,1,2,6,2,2,4,1,7,12,10,3,1,,,,,72,75,84,48,0,0,14,14,26,26,,,A
hUDhKIVB,24.11.2019 14:30,Kasimpasa,Genclerbirligi,1,2,53%,47%,10,18,4,3,3,6,3,9,6,7,3,3,1,3,10,13,1,1,,,,,106,116,72,90,0,0,16,14,27,23,,,A
lCBFZcVb,24.11.2019 12:00,Kayserispor,Sivasspor,1,4,49%,51%,9,19,6,6,3,13,,,5,10,4,8,2,5,14,14,2,1,,,,,88,100,66,95,0,0,22,18,16,22,,,A
6XHdJxoI,23.11.2019 18:00,Konyaspor,Besiktas,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,A
2e93x0ot,23.11.2019 15:30,Ankaragucu,Trabzonspor,0,3,42%,58%,12,21,1,10,8,8,3,3,5,5,1,1,7,1,18,12,5,2,,,,,75,102,53,69,1,0,13,19,,,,,A
Wz1KYHp5,23.11.2019 13:00,Denizlispor,Rizespor,2,0,56%,44%,12,6,3,1,5,4,4,1,7,5,1,2,1,1,13,14,3,2,,,,,92,93,71,56,0,0,18,13,21,18,,,H
0fH0Id0O,22.11.2019 18:30,Galatasaray,Basaksehir,0,1,55%,45%,13,9,3,2,6,5,4,2,11,5,0,1,1,3,17,16,3,3,,,,,99,78,96,65,0,0,15,16,,,,,A
AiqF6a1C,10.11.2019 17:00,Basaksehir,Ankaragucu,2,1,52%,48%,16,19,7,6,8,8,1,5,7,4,0,0,5,5,13,9,1,2,,,,,107,106,82,69,0,0,9,13,,,,,H
A5OmLbG5,10.11.2019 17:00,Besiktas,Denizlispor,1,0,64%,36%,14,11,6,3,6,5,2,3,6,6,1,3,3,5,12,16,2,2,625,347,12,17,142,91,80,46,0,0,19,14,,,529,260,H
2uLuNKog,10.11.2019 14:30,Trabzonspor,Alanyaspor,1,0,40%,60%,7,13,2,4,2,5,3,4,4,6,1,2,4,1,8,18,4,4,300,449,21,20,81,77,56,63,1,1,18,9,,,205,347,H
6JxO4wWO,10.11.2019 12:00,Goztepe,Yeni Malatyaspor,1,1,38%,62%,7,7,3,2,3,4,1,1,4,4,3,3,1,2,19,13,6,6,267,443,17,6,76,86,49,47,1,1,17,21,,,190,353,D
SSwK5JGI,09.11.2019 18:00,Gaziantep,Galatasaray,0,2,55%,45%,7,12,0,3,4,7,3,2,7,6,3,7,1,0,17,13,3,1,393,340,10,11,109,110,81,72,0,0,20,21,,,315,271,A
WEPqMv1a,09.11.2019 15:30,Rizespor,Antalyaspor,1,0,45%,55%,5,33,3,8,1,12,1,13,3,10,1,0,8,2,18,13,2,4,,,,,101,115,55,113,1,0,13,19,,,,,H
KMQ5TM8P,09.11.2019 15:30,Sivasspor,Konyaspor,2,0,54%,46%,17,2,10,1,3,1,4,0,8,1,8,2,1,8,10,9,1,4,447,408,19,10,118,112,82,36,0,1,11,18,,,353,299,H
tQWWOtHt,09.11.2019 13:00,Genclerbirligi,Kayserispor,2,1,47%,53%,15,7,7,3,4,3,4,1,2,2,4,8,2,5,13,7,2,0,,,,,127,108,77,64,0,0,16,16,,,,,H
OlMyO0Wn,08.11.2019 18:30,Fenerbahce,Kasimpasa,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,H
Wx6SF3vQ,04.11.2019 18:00,Ankaragucu,Gaziantep,1,2,55%,45%,13,9,6,5,6,1,1,3,6,3,4,0,3,5,16,16,,,450,381,18,16,98,97,79,64,0,0,16,18,,,348,274,A
xvo78LWa,03.11.2019 17:00,Kayserispor,Fenerbahce,1,0,34%,66%,11,23,1,6,6,12,4,5,3,8,3,5,6,0,19,10,1,3,262,492,19,16,82,146,48,121,0,0,15,22,,,190,415,H
Ozs391Hg,03.11.2019 14:30,Kasimpasa,Yeni Malatyaspor,2,2,52%,48%,19,13,6,5,8,6,5,2,7,8,1,1,3,4,13,14,2,3,398,384,16,15,111,89,97,73,0,1,15,14,,,322,299,D
W0pB7un6,03.11.2019 12:00,Denizlispor,Sivasspor,0,2,52%,48%,10,16,2,6,6,6,2,4,2,6,1,3,4,2,14,22,4,3,391,368,14,16,116,119,66,81,0,0,25,15,,,271,247,A
hn7OGqPJ,02.11.2019 18:00,Antalyaspor,Besiktas,1,2,43%,57%,14,12,4,6,7,5,3,1,2,0,1,1,4,3,13,17,3,2,410,565,14,22,107,131,86,72,0,0,18,14,,,318,467,A
2LhfBNns,02.11.2019 15:30,Alanyaspor,Basaksehir,0,0,46%,54%,22,4,3,1,13,3,6,0,5,3,1,1,1,3,13,10,1,1,355,438,18,15,82,83,89,60,0,0,12,13,,,271,337,D
tCibAs2m,02.11.2019 15:30,Trabzonspor,Goztepe,0,1,60%,40%,21,6,6,2,9,4,6,0,8,3,2,0,1,6,3,10,0,3,597,413,22,26,128,100,113,52,0,0,10,6,,,498,328,A
xvPygtXC,02.11.2019 13:00,Konyaspor,Genclerbirligi,1,1,50%,50%,10,15,3,2,7,7,0,6,1,7,3,3,1,2,13,9,0,3,464,439,21,15,103,119,42,87,0,0,12,16,,,366,348,D
jsTuh0nJ,01.11.2019 18:30,Galatasaray,Rizespor,2,0,66%,34%,12,10,7,3,2,4,3,3,4,3,4,3,3,5,14,19,1,3,527,274,16,19,117,80,89,59,0,0,20,18,,,453,201,H
ITht46uE,28.10.2019 18:00,Basaksehir,Trabzonspor,2,2,51%,49%,21,9,5,6,12,1,4,2,3,6,3,2,4,3,13,7,2,3,471,452,17,20,107,82,69,58,0,0,8,15,,,400,369,D
dKip3QfK,27.10.2019 17:00,Besiktas,Galatasaray,1,0,42%,58%,13,14,7,2,4,9,2,3,7,0,2,4,2,6,11,15,2,3,384,540,16,14,112,136,67,76,0,0,19,13,,,278,444,H
EyYGc4Is,27.10.2019 14:30,Genclerbirligi,Denizlispor,0,2,62%,38%,16,10,7,3,5,6,4,1,6,6,3,0,1,7,13,9,1,2,529,328,8,15,101,86,84,54,0,0,9,15,,,425,210,A
rHPXgMH6,27.10.2019 14:30,Goztepe,Kasimpasa,1,4,58%,42%,12,16,4,8,5,6,3,2,4,4,0,3,4,3,13,18,4,3,437,324,8,21,105,86,77,63,0,0,21,12,,,361,244,A
8bXKdOXm,27.10.2019 12:00,Yeni Malatyaspor,Kayserispor,4,0,57%,43%,18,5,7,2,7,3,4,0,4,2,5,1,2,3,15,18,1,3,401,294,11,13,94,72,83,46,0,0,19,20,,,331,215,H
UDabuN2D,26.10.2019 19:00,Fenerbahce,Konyaspor,5,1,56%,44%,19,5,8,1,7,2,4,2,2,2,1,1,1,3,13,6,1,1,593,481,27,17,107,108,49,40,0,0,7,14,,,513,400,H
nkWOermf,26.10.2019 16:30,Gaziantep,Alanyaspor,1,1,63%,37%,9,7,3,2,5,4,1,1,9,1,3,2,1,2,19,13,3,3,448,274,11,14,113,95,96,51,0,0,15,22,,,338,160,D
vqsk2pAQ,26.10.2019 14:00,Sivasspor,Antalyaspor,2,1,49%,51%,9,8,3,3,6,2,0,3,7,9,0,3,2,1,15,8,3,1,386,398,14,26,94,101,68,77,0,0,12,16,,,300,309,H
4QQTf220,25.10.2019 19:30,Rizespor,Ankaragucu,2,0,59%,41%,22,15,8,3,7,8,7,4,8,3,0,2,3,6,20,11,1,3,477,340,12,31,94,94,73,44,0,0,12,21,,,401,231,H
8bBksqY0,21.10.2019 19:00,Konyaspor,Yeni Malatyaspor,0,2,57%,43%,6,12,3,6,2,5,1,1,3,3,0,1,4,3,10,16,1,2,601,437,9,11,114,92,62,55,1,0,17,10,,,516,372,A
IeFD2g49,20.10.2019 18:00,Denizlispor,Fenerbahce,1,2,40%,60%,3,8,1,3,2,4,0,1,5,4,1,2,1,0,12,12,2,0,332,514,17,17,83,106,58,48,0,0,16,14,,,228,413,A
OYF93Zl3,20.10.2019 15:30,Alanyaspor,Rizespor,5,2,47%,53%,21,5,11,3,5,1,5,1,8,4,1,1,1,6,21,16,0,1,368,428,20,10,102,88,72,48,0,0,18,21,,,299,347,H
