id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
hhO8gdjT,20.02.2022 17:00,Fenerbahce,Hatayspor,2,0,56%,44%,15,11,6,5,6,1,3,5,10,4,1,2,5,4,14,16,0,2,453,358,,,20,22,102,87,75,55,0,0,H
Spwqa0Mi,20.02.2022 14:00,Alanyaspor,Trabzonspor,0,4,59%,41%,17,18,4,6,11,7,2,5,5,10,1,1,2,4,8,9,,,472,329,,,18,15,61,64,65,76,0,0,A
OCWicvi4,20.02.2022 14:00,Karagumruk,Sivasspor,1,0,56%,44%,13,9,3,2,5,5,5,2,5,3,1,3,2,2,13,13,3,4,475,354,,,19,22,131,106,73,80,0,0,H
IZVedb6A,20.02.2022 11:30,Gaziantep,Adana Demirspor,0,3,48%,52%,9,18,4,9,3,4,2,5,4,7,4,2,6,4,13,6,2,1,433,463,,,17,14,91,80,65,65,0,0,A
E1P4fxyN,19.02.2022 17:00,Besiktas,Altay,1,0,54%,46%,18,9,8,1,7,5,3,3,7,2,1,1,1,7,16,11,3,1,446,395,,,17,16,77,70,79,36,0,0,H
EmpWuwMT,19.02.2022 14:00,Kayserispor,Giresunspor,2,1,39%,61%,14,12,3,6,10,4,1,2,2,8,4,1,5,1,13,16,4,3,342,531,,,11,16,82,94,47,73,0,0,H
pMXmbKyb,19.02.2022 11:30,Yeni Malatyaspor,Antalyaspor,1,2,42%,58%,15,11,3,5,8,5,4,1,9,2,1,5,3,2,7,7,1,1,439,636,,,16,8,74,80,71,46,0,0,A
zijcycUp,18.02.2022 18:00,Konyaspor,Kasimpasa,4,4,58%,42%,14,10,6,5,6,3,2,2,4,4,5,1,1,2,9,14,2,6,438,314,,,13,16,102,95,54,64,0,0,D
Wxz0eILG,18.02.2022 18:00,Rizespor,Basaksehir,0,2,47%,53%,17,7,5,4,6,3,6,0,7,2,1,1,2,5,3,18,2,4,442,521,,,18,15,92,110,83,67,0,0,A
GS0bm3Nu,14.02.2022 18:00,Adana Demirspor,Besiktas,1,1,52%,48%,17,12,3,6,7,5,7,1,8,4,4,8,5,2,17,13,3,2,403,386,,,16,16,84,85,75,46,0,0,D
hYeNsaiH,14.02.2022 18:00,Hatayspor,Goztepe,2,1,52%,48%,15,7,6,3,7,2,2,2,4,6,2,0,2,4,20,9,5,3,416,379,,,9,9,86,80,63,54,0,0,H
lta6oshh,13.02.2022 17:00,Kasimpasa,Alanyaspor,2,2,49%,51%,22,10,5,3,8,6,9,1,13,3,3,1,1,3,12,7,3,1,405,445,,,18,12,110,71,102,40,0,0,D
p8hFqLM4,13.02.2022 17:00,Trabzonspor,Konyaspor,2,1,46%,54%,15,11,6,4,6,5,3,2,6,4,0,0,3,4,10,13,0,3,409,467,,,13,19,115,107,75,72,0,0,H
I1Wcu6VI,13.02.2022 14:00,Antalyaspor,Karagumruk,3,0,53%,47%,15,9,7,3,5,2,3,4,4,1,1,2,3,4,13,12,1,3,550,491,,,17,16,103,105,60,74,0,0,H
fJa2nNxn,13.02.2022 11:30,Sivasspor,Yeni Malatyaspor,2,1,49%,51%,14,14,5,5,6,5,3,4,6,2,6,2,4,3,16,12,2,1,400,422,,,19,13,81,87,50,49,0,0,H
2q3Ap17b,12.02.2022 17:00,Galatasaray,Kayserispor,1,1,62%,38%,26,5,7,3,11,2,8,0,13,3,0,4,2,6,8,13,1,1,589,363,,,15,12,162,82,109,49,0,0,D
vBXgtnGC,12.02.2022 14:00,Basaksehir,Gaziantep,2,0,58%,42%,10,21,3,2,3,9,4,10,2,6,3,0,2,1,11,7,1,1,554,392,,,14,26,120,100,69,78,0,0,H
ObiJruxB,12.02.2022 14:00,Giresunspor,Fenerbahce,1,2,45%,55%,13,18,5,2,3,14,5,2,3,8,2,1,0,4,8,15,2,4,415,502,,,28,18,104,107,53,82,1,0,A
WOfRtJ6N,11.02.2022 18:00,Altay,Rizespor,0,0,65%,35%,12,10,3,2,6,4,3,4,6,3,2,1,2,3,23,12,2,3,450,233,,,16,21,99,90,77,58,0,0,D
vmk7kjgQ,06.02.2022 17:00,Besiktas,Antalyaspor,0,0,58%,42%,17,5,4,2,6,2,7,1,11,2,0,2,2,4,18,13,6,5,563,428,,,19,17,128,84,89,50,1,0,D
WpUor8o0,06.02.2022 17:00,Goztepe,Altay,0,2,55%,45%,22,5,4,2,10,3,8,0,6,6,1,2,0,4,13,14,3,3,366,304,,,22,12,109,73,99,54,0,0,A
pldbiCOD,06.02.2022 14:00,Alanyaspor,Galatasaray,1,1,58%,42%,14,7,5,4,7,1,2,2,8,1,4,3,3,4,13,13,0,1,511,380,,,11,14,98,82,92,54,1,0,D
AVuwpUGm,06.02.2022 14:00,Rizespor,Adana Demirspor,1,3,57%,43%,19,15,11,8,5,5,3,2,8,6,0,3,5,10,15,9,6,3,455,345,,,22,10,94,86,82,58,0,0,A
lMvsqlWg,05.02.2022 17:00,Fenerbahce,Basaksehir,0,1,52%,48%,12,14,2,6,5,4,5,4,1,6,2,5,5,2,17,12,3,4,458,429,,,19,12,102,79,64,57,0,0,A
dOa2jWwK,05.02.2022 14:00,Karagumruk,Yeni Malatyaspor,1,0,45%,55%,15,13,7,4,4,5,4,4,5,5,2,2,4,6,10,13,1,5,453,526,,,13,14,83,96,75,84,0,0,H
Wp8GSSoD,05.02.2022 14:00,Trabzonspor,Kasimpasa,1,0,45%,55%,7,15,4,4,3,9,0,2,2,3,2,1,4,3,19,14,3,5,396,464,,,17,12,133,133,68,83,1,1,H
tdyZpA1s,05.02.2022 11:30,Gaziantep,Sivasspor,5,1,52%,48%,11,13,7,5,3,7,1,1,4,3,1,5,4,2,15,11,4,3,461,411,,,19,14,88,88,68,82,0,1,H
plYksS06,04.02.2022 18:00,Kayserispor,Hatayspor,4,3,47%,53%,10,16,7,4,2,9,1,3,5,5,3,1,1,3,12,12,0,2,381,433,,,19,15,98,108,47,66,0,0,H
hf9CT8W6,04.02.2022 18:00,Konyaspor,Giresunspor,1,0,56%,44%,13,6,3,3,3,2,7,1,6,2,2,1,3,2,11,7,1,0,488,385,,,11,16,107,101,59,35,0,0,H
AgMLwgfE,23.01.2022 17:00,Galatasaray,Trabzonspor,1,2,52%,48%,16,19,6,5,6,11,4,3,4,8,0,0,3,5,15,16,2,4,410,373,,,17,15,54,82,50,52,0,0,A
l2CeXjXs,23.01.2022 14:00,Altay,Konyaspor,0,1,49%,51%,8,13,3,4,4,7,1,2,6,4,0,2,3,3,15,11,4,1,456,478,,,24,22,88,82,61,59,1,0,A
KOsLviP1,23.01.2022 14:00,Antalyaspor,Gaziantep,0,0,58%,42%,11,14,5,7,5,5,1,2,3,5,3,2,7,5,15,14,3,1,560,402,,,16,14,79,77,61,57,0,0,D
4UzPxD9K,23.01.2022 14:00,Giresunspor,Alanyaspor,1,3,55%,45%,15,12,5,5,6,4,4,3,7,2,1,1,2,4,14,13,1,4,532,443,,,12,14,119,83,76,33,0,0,A
zJE7UlH0,23.01.2022 11:30,Hatayspor,Rizespor,0,0,52%,48%,13,7,2,0,9,4,2,3,6,4,2,0,0,2,14,7,3,1,365,348,,,18,15,100,92,75,60,0,0,D
rLZSyXOQ,23.01.2022 11:30,Kasimpasa,Kayserispor,3,1,55%,45%,16,10,6,2,8,4,2,4,4,3,3,2,1,3,16,14,2,2,423,345,,,21,18,97,79,67,54,0,0,H
dSF3VU1f,22.01.2022 17:00,Basaksehir,Goztepe,1,2,71%,29%,20,6,7,5,10,1,3,0,6,2,2,1,3,6,7,9,1,1,690,283,,,18,17,104,75,80,35,0,0,A
YRoPwBv8,22.01.2022 14:00,Adana Demirspor,Karagumruk,5,0,55%,45%,17,8,9,5,7,2,1,1,7,4,3,1,5,4,15,9,1,4,462,392,,,14,19,80,74,74,39,0,1,H
25GaWAnl,22.01.2022 14:00,Sivasspor,Fenerbahce,1,1,48%,52%,18,9,5,3,7,2,6,4,9,6,5,1,2,4,14,19,2,3,316,366,,,17,19,95,90,76,55,0,0,D
W2NHvZv8,22.01.2022 11:30,Yeni Malatyaspor,Besiktas,1,1,37%,63%,11,18,4,3,6,10,1,5,3,6,2,4,2,3,13,12,2,2,358,621,,,15,16,101,139,66,121,0,0,D
CbIsRXf2,20.01.2022 18:00,Galatasaray,Kasimpasa,1,3,56%,44%,14,17,6,4,5,10,3,3,5,6,2,4,1,5,8,11,0,1,479,364,,,11,13,67,68,60,63,0,0,A
Q1rHuX9e,20.01.2022 15:00,Alanyaspor,Hatayspor,6,0,64%,36%,20,2,10,1,8,0,2,1,3,1,0,2,1,4,8,13,1,1,617,343,,,10,18,94,69,57,40,0,0,H
MTaYme2F,20.01.2022 15:00,Rizespor,Antalyaspor,2,1,48%,52%,11,18,4,10,3,5,4,3,6,7,1,3,9,2,15,15,2,3,321,354,,,16,12,100,90,65,64,0,1,H
nBqDtDfk,19.01.2022 18:00,Fenerbahce,Altay,2,1,61%,39%,18,3,5,1,9,1,4,1,4,2,0,1,0,3,16,23,2,4,570,368,,,24,17,112,70,60,27,0,0,H
Y7JwSDud,19.01.2022 18:00,Trabzonspor,Giresunspor,1,1,62%,38%,23,6,9,3,6,3,8,0,9,2,2,1,2,8,13,11,2,2,595,363,,,10,15,99,72,69,32,0,0,D
UZl8sguq,19.01.2022 16:00,Kayserispor,Basaksehir,1,0,32%,68%,3,14,1,3,1,7,1,4,2,1,1,0,3,0,14,13,2,3,320,684,,,18,15,61,90,26,68,0,0,H
Y33xmFHL,19.01.2022 15:00,Goztepe,Sivasspor,2,1,39%,61%,10,20,3,5,5,10,2,5,5,1,0,2,4,1,19,14,4,4,286,432,,,22,16,115,129,53,50,0,0,H
0EBPkHX2,18.01.2022 18:00,Karagumruk,Besiktas,0,1,46%,54%,12,11,5,3,6,6,1,2,3,4,5,4,2,5,10,13,1,1,413,496,,,10,19,110,94,66,59,0,0,A
SQ2tnZWR,18.01.2022 18:00,Konyaspor,Adana Demirspor,1,0,56%,44%,20,15,8,5,9,7,3,3,8,7,3,0,5,7,10,15,3,2,441,359,,,22,11,84,57,68,58,0,0,H
EsLkwvlc,16.01.2022 17:00,Hatayspor,Galatasaray,4,2,41%,59%,16,13,7,5,4,5,5,3,9,5,3,0,3,3,8,7,5,5,306,448,,,15,11,102,79,46,45,0,1,H
Cxs7EfBd,16.01.2022 14:00,Giresunspor,Kasimpasa,0,2,52%,48%,11,14,2,4,2,6,7,4,7,7,0,3,2,2,12,13,,,477,444,,,14,15,129,108,84,75,1,0,A
M7OcyII9,16.01.2022 11:30,Altay,Alanyaspor,0,2,33%,67%,16,12,5,7,5,3,6,2,9,0,2,1,5,5,20,7,4,1,296,655,,,10,17,56,60,62,33,0,0,A
K0w3YF2S,15.01.2022 17:00,Antalyaspor,Fenerbahce,1,1,39%,61%,14,4,3,2,6,0,5,2,1,1,0,4,1,2,18,10,3,1,380,595,,,10,15,73,95,49,49,0,0,D
jqUYSgQk,15.01.2022 14:00,Karagumruk,Rizespor,2,0,49%,51%,9,14,3,4,1,8,5,2,4,3,2,0,4,2,15,11,4,2,413,457,,,15,21,94,99,48,49,1,0,H
SpPgxb33,15.01.2022 14:00,Sivasspor,Trabzonspor,1,1,48%,52%,10,10,4,3,4,5,2,2,3,2,1,2,2,3,13,10,2,1,399,536,,,16,12,114,107,66,48,0,0,D
0bN1zxYF,15.01.2022 11:30,Adana Demirspor,Kayserispor,1,1,51%,49%,12,16,7,11,3,4,2,1,5,10,1,5,10,6,11,7,,,451,417,,,10,14,86,98,47,88,0,0,D
Yor3Fzdj,14.01.2022 18:00,Besiktas,Gaziantep,1,0,58%,42%,16,7,4,3,5,3,7,1,10,4,3,3,3,3,9,15,1,3,530,389,,,16,17,120,97,116,76,0,0,H
xtQUTZAq,14.01.2022 18:00,Yeni Malatyaspor,Goztepe,1,2,62%,38%,14,11,2,3,7,3,5,5,3,6,2,4,1,1,7,14,1,1,477,282,,,13,28,93,75,60,55,0,0,A
nw8NZ4s5,10.01.2022 18:00,Fenerbahce,Adana Demirspor,1,2,65%,35%,15,15,3,8,7,3,5,4,9,1,3,0,6,2,17,11,2,3,,,,,,,81,62,71,46,0,0,A
IcG6wmrt,09.01.2022 17:00,Rizespor,Besiktas,2,2,51%,49%,10,22,5,10,4,6,1,6,3,4,3,2,8,3,16,17,5,3,373,347,,,20,17,80,75,28,45,1,1,D
EP9FyRCh,09.01.2022 14:00,Goztepe,Antalyaspor,4,0,41%,59%,6,15,4,3,0,9,2,3,1,12,3,1,3,0,17,14,4,1,307,434,,,17,15,75,82,41,76,1,0,H
SnGVXrCH,09.01.2022 14:00,Kayserispor,Altay,1,0,51%,49%,10,8,3,1,2,5,5,2,8,2,7,1,1,2,14,12,0,1,423,414,,,26,23,96,96,53,54,0,0,H
hG8JzoSb,09.01.2022 11:30,Konyaspor,Sivasspor,0,1,62%,38%,15,11,4,2,7,4,4,5,8,5,1,4,1,4,9,14,3,3,462,276,,,13,15,92,84,65,49,0,0,A
SYzcJqcO,08.01.2022 17:00,Galatasaray,Giresunspor,0,1,63%,37%,22,6,7,3,10,2,5,1,12,1,1,1,2,7,18,12,2,0,571,349,,,10,19,122,93,99,43,0,0,A
pOQQYOdB,08.01.2022 14:00,Alanyaspor,Basaksehir,1,1,53%,47%,13,12,2,3,8,6,3,3,5,3,1,5,2,1,11,12,2,4,547,500,,,5,5,60,76,37,44,1,1,D
4CwaGGtp,08.01.2022 14:00,Kasimpasa,Hatayspor,3,1,45%,55%,15,13,8,5,7,5,0,3,6,4,1,1,4,5,9,15,2,0,348,415,,,8,7,80,101,61,70,0,0,H
txu1I3CU,08.01.2022 11:30,Gaziantep,Karagumruk,3,1,34%,66%,13,15,5,4,5,7,3,4,5,4,2,4,3,2,22,7,1,3,280,555,,,17,14,75,93,48,67,0,0,H
dlFAx7cn,07.01.2022 18:00,Trabzonspor,Yeni Malatyaspor,1,0,71%,29%,24,3,7,0,7,3,10,0,7,2,6,0,0,6,9,12,0,2,669,280,,,17,16,109,57,90,23,0,0,H
xvayO7rg,27.12.2021 18:00,Kayserispor,Sivasspor,3,0,38%,62%,10,10,6,5,4,4,0,1,2,7,3,2,5,3,14,10,3,0,355,568,,,17,13,82,110,36,79,0,0,H
K2ltNRca,27.12.2021 18:00,Konyaspor,Besiktas,1,0,46%,54%,12,12,4,6,4,5,4,1,6,3,2,0,6,3,16,14,3,4,362,440,,,19,14,91,91,55,45,0,0,H
bgmpMoD5,26.12.2021 17:00,Fenerbahce,Yeni Malatyaspor,2,0,66%,34%,17,8,8,1,5,7,4,0,3,1,7,3,1,6,15,10,1,1,693,335,,,23,15,133,88,66,46,0,0,H
OzeXOmTn,26.12.2021 14:00,Alanyaspor,Karagumruk,1,1,51%,49%,17,13,5,4,8,7,4,2,7,4,6,0,3,4,13,8,1,2,490,467,,,12,18,83,85,80,68,0,0,D
6JnlL5SB,26.12.2021 14:00,Goztepe,Adana Demirspor,1,1,66%,34%,15,9,4,4,8,2,3,3,7,3,5,1,3,3,15,14,2,1,514,278,,,14,21,149,124,106,45,0,0,D
pAohKPsI,26.12.2021 11:30,Rizespor,Gaziantep,0,1,54%,46%,9,12,1,3,5,5,3,4,5,3,0,3,2,1,14,11,,,464,396,,,15,21,96,97,62,66,0,0,A
UDeTPTDt,25.12.2021 17:00,Trabzonspor,Basaksehir,0,0,56%,44%,10,7,4,5,2,1,4,1,4,4,0,1,5,4,7,14,1,2,584,426,,,17,26,139,88,39,36,0,0,D
S491U95P,25.12.2021 14:00,Galatasaray,Antalyaspor,2,0,50%,50%,17,13,6,5,9,4,2,4,4,6,1,4,5,4,18,13,4,3,407,407,,,19,22,98,105,39,49,0,0,H
CdRE66DI,25.12.2021 14:00,Giresunspor,Hatayspor,0,1,54%,46%,19,7,5,3,7,3,7,1,7,6,1,1,2,5,14,11,3,3,443,411,,,15,9,112,96,81,60,0,0,A
jmQI5QSO,25.12.2021 11:30,Kasimpasa,Altay,2,0,55%,45%,21,8,10,2,4,4,7,2,7,4,4,1,2,8,18,23,1,6,388,323,,,16,15,87,89,80,53,0,1,H
IZkJHWLJ,23.12.2021 18:00,Besiktas,Goztepe,2,1,46%,54%,8,13,1,3,4,3,3,7,3,2,1,3,2,0,9,15,3,4,426,348,,,19,13,81,87,54,76,1,0,H
WxfNGjyQ,23.12.2021 15:00,Yeni Malatyaspor,Kayserispor,2,2,46%,54%,12,8,4,4,7,2,1,2,2,2,3,2,2,2,12,14,2,2,370,469,,,16,22,106,108,72,82,0,0,D
Qu3XgTTC,22.12.2021 18:00,Gaziantep,Alanyaspor,2,1,47%,53%,14,13,5,5,3,6,6,2,7,3,3,2,4,3,16,13,1,1,428,491,,,10,15,88,95,70,62,0,0,H
4W1ygmqJ,22.12.2021 18:00,Karagumruk,Fenerbahce,1,1,28%,72%,2,29,2,14,0,8,0,7,0,5,0,3,13,1,6,12,1,1,291,713,,,16,21,65,107,21,97,2,0,D
IZRA7nbC,22.12.2021 15:00,Hatayspor,Konyaspor,1,3,48%,52%,7,12,2,5,5,5,0,2,2,5,2,4,2,1,7,12,4,3,379,410,,,12,14,103,109,70,65,1,1,A
GAVgBUbm,22.12.2021 15:00,Sivasspor,Rizespor,1,1,57%,43%,22,6,7,2,13,4,2,0,3,2,1,1,1,6,12,13,0,5,485,376,,,7,9,118,97,71,45,0,2,D
ppzbAlEg,21.12.2021 18:00,Adana Demirspor,Galatasaray,2,0,37%,63%,10,15,3,7,5,6,2,2,2,7,2,0,7,1,20,14,3,2,301,490,,,26,18,77,118,43,94,0,0,H
6aO68Sr6,21.12.2021 18:00,Altay,Trabzonspor,1,2,30%,70%,14,15,8,5,4,8,2,2,4,5,0,1,3,7,16,8,3,3,303,735,,,17,22,86,133,65,83,0,0,A
xKWkCAqs,21.12.2021 15:00,Antalyaspor,Kasimpasa,1,1,44%,56%,9,11,4,5,3,4,2,2,6,3,3,1,4,3,18,18,2,4,341,439,,,16,20,76,98,57,54,0,0,D
OzZ198Ta,21.12.2021 15:00,Basaksehir,Giresunspor,3,1,64%,36%,20,6,8,2,6,3,6,1,6,3,3,0,1,5,12,9,1,1,683,377,,,12,12,113,72,100,41,0,0,H
Q5YSdVqf,19.12.2021 17:00,Fenerbahce,Besiktas,2,2,41%,59%,11,14,5,3,3,9,3,2,0,7,2,5,1,3,20,12,2,5,342,483,,,13,17,88,106,58,67,0,0,D
KSXWeka0,19.12.2021 14:00,Goztepe,Karagumruk,0,1,46%,54%,12,17,4,3,6,8,2,6,3,3,1,3,2,4,16,12,3,1,391,488,,,12,15,93,124,62,89,0,0,A
UwuKbiFs,19.12.2021 14:00,Kayserispor,Gaziantep,0,0,50%,50%,9,10,3,3,4,6,2,1,5,4,5,1,3,3,9,10,1,2,447,461,,,11,11,96,114,64,67,0,1,D
bJWze9E6,19.12.2021 11:30,Rizespor,Yeni Malatyaspor,1,0,62%,38%,14,8,4,2,7,4,3,2,7,1,5,5,2,3,17,9,2,2,494,299,,,17,20,63,45,61,40,0,0,H
SUhh3X6Q,18.12.2021 17:00,Alanyaspor,Adana Demirspor,1,3,61%,39%,10,11,4,6,4,4,2,1,4,3,0,2,3,3,17,16,2,1,542,340,,,10,16,74,84,73,61,0,0,A
K4kp5gxE,18.12.2021 17:00,Galatasaray,Basaksehir,1,1,58%,42%,18,8,4,3,8,4,6,1,5,1,3,1,2,3,16,13,4,7,544,409,,,10,12,118,85,82,38,0,1,D
C2UOcBUm,18.12.2021 14:00,Konyaspor,Antalyaspor,1,0,60%,40%,14,6,3,2,7,1,4,3,8,3,0,0,2,2,14,14,5,2,544,377,,,21,12,102,78,85,42,0,0,H
bell4DiK,18.12.2021 14:00,Trabzonspor,Hatayspor,2,0,59%,41%,17,6,9,3,6,3,2,0,6,1,4,1,3,7,7,8,0,1,587,409,,,18,11,115,103,59,45,0,0,H
IaB1tAaD,18.12.2021 11:30,Kasimpasa,Sivasspor,1,3,58%,42%,12,7,3,4,4,1,5,2,10,5,1,2,1,2,11,13,4,2,482,344,,,12,11,77,64,61,37,0,0,A
6P7csjp7,17.12.2021 18:00,Giresunspor,Altay,3,1,46%,54%,11,15,5,5,5,5,1,5,4,6,2,2,4,2,13,12,1,2,356,411,,,17,11,86,97,49,75,0,0,H
4YCEsavj,13.12.2021 18:30,Gaziantep,Fenerbahce,3,2,31%,69%,15,14,7,4,2,7,6,3,4,5,2,2,2,4,12,13,3,2,273,601,,,13,18,81,149,56,108,0,0,H
plhD20GF,13.12.2021 16:00,Sivasspor,Galatasaray,1,0,35%,65%,12,6,5,3,4,3,3,0,6,5,4,2,3,4,13,6,5,3,290,562,,,14,10,62,74,58,59,0,0,H
AVa052Wd,12.12.2021 17:00,Besiktas,Kayserispor,4,2,73%,27%,21,6,8,3,7,2,6,1,7,2,1,2,1,4,14,18,3,3,681,250,,,18,17,80,61,40,30,0,0,H
lMb44Mo3,12.12.2021 14:00,Yeni Malatyaspor,Alanyaspor,2,6,43%,57%,20,20,7,13,9,2,4,5,8,5,0,1,7,5,6,10,4,3,353,495,,,10,16,92,75,95,56,1,0,A
xpGtoYpr,12.12.2021 11:30,Adana Demirspor,Giresunspor,1,0,53%,47%,11,13,5,3,4,6,2,4,1,3,0,3,3,4,14,11,2,2,458,404,,,9,20,107,88,64,66,0,0,H
Wpl93t19,11.12.2021 17:00,Antalyaspor,Trabzonspor,2,1,39%,61%,13,12,5,5,3,6,5,1,5,3,0,0,4,3,13,9,1,4,362,567,,,12,15,90,93,64,53,0,0,H
GzFpph0l,11.12.2021 14:00,Basaksehir,Kasimpasa,2,1,64%,36%,13,10,3,3,5,3,5,4,8,3,1,0,2,1,14,13,2,3,578,328,,,7,9,103,100,71,60,0,0,H
C28grWU0,11.12.2021 14:00,Rizespor,Goztepe,3,1,53%,47%,15,14,5,6,8,6,2,2,5,8,0,2,5,2,15,11,2,0,368,319,,,21,15,69,93,58,75,0,1,H
rPBItJgd,11.12.2021 11:30,Karagumruk,Konyaspor,1,4,68%,32%,9,11,3,6,3,3,3,2,3,3,1,2,2,2,8,12,,,692,324,,,9,11,85,61,58,39,1,0,A
YB9kqCFf,10.12.2021 18:00,Altay,Hatayspor,1,2,47%,53%,5,12,2,6,2,5,1,1,3,6,1,3,4,1,16,11,3,3,375,424,,,25,18,114,91,59,60,0,0,A
plWsmLGS,06.12.2021 18:00,Goztepe,Gaziantep,2,1,37%,63%,11,15,4,2,3,11,4,2,7,3,3,1,1,2,13,11,5,3,278,479,,,15,17,82,107,77,71,1,0,H
CzYZlsnG,06.12.2021 18:00,Konyaspor,Yeni Malatyaspor,0,0,55%,45%,17,8,5,4,4,4,8,0,4,2,4,2,4,5,12,9,2,2,531,440,,,15,11,99,84,70,48,0,0,D
jRWwl11M,05.12.2021 17:00,Fenerbahce,Rizespor,4,0,48%,52%,16,4,8,1,6,2,2,1,5,3,1,1,1,4,22,9,1,1,420,444,,,15,17,190,175,88,71,0,0,H
r5qXULfp,05.12.2021 14:00,Giresunspor,Karagumruk,3,1,49%,51%,15,6,9,2,4,2,2,2,7,1,4,1,1,6,7,9,1,1,480,509,,,12,12,112,85,98,38,0,0,H
M9N9ruPq,05.12.2021 14:00,Hatayspor,Basaksehir,0,3,48%,52%,5,16,2,9,3,2,0,5,5,7,1,1,6,2,10,5,2,0,498,550,,,15,11,103,94,86,64,0,0,A
fawVkNW9,05.12.2021 11:30,Kayserispor,Antalyaspor,2,0,24%,76%,2,24,2,5,0,7,0,12,1,11,1,5,5,0,10,12,6,4,199,606,,,15,15,57,108,15,108,2,0,H
O0MJhPni,04.12.2021 17:00,Galatasaray,Altay,2,2,65%,35%,24,13,7,6,9,5,8,2,12,7,2,0,4,5,9,12,2,4,464,250,,,22,26,98,78,94,64,0,0,D
MouNiq2c,04.12.2021 14:00,Trabzonspor,Adana Demirspor,2,0,54%,46%,5,18,3,4,2,8,0,6,2,7,2,3,4,1,6,10,0,1,568,466,,,23,16,115,99,59,86,0,0,H
G8vRj3H3,04.12.2021 11:30,Alanyaspor,Sivasspor,0,1,57%,43%,9,10,1,2,4,7,4,1,5,5,0,5,1,1,15,14,2,3,582,428,,,16,22,101,83,73,61,0,1,A
MeryUuAj,03.12.2021 18:00,Kasimpasa,Besiktas,1,1,44%,56%,8,14,4,6,2,5,2,3,8,6,1,2,5,3,13,16,3,3,405,511,,,13,15,81,100,75,64,0,0,D
CMh1zrXM,29.11.2021 18:00,Goztepe,Fenerbahce,1,1,41%,59%,12,4,2,2,9,1,1,1,6,3,2,2,1,1,9,14,2,6,326,487,,,18,28,88,113,74,55,0,1,D
2Vqmu6Ii,28.11.2021 17:00,Yeni Malatyaspor,Galatasaray,0,0,36%,64%,7,13,2,2,4,6,1,5,4,7,0,4,2,2,8,13,5,2,312,548,,,8,17,91,122,55,105,0,0,D
Ayc1H2Qp,28.11.2021 14:00,Karagumruk,Trabzonspor,0,2,64%,36%,17,9,2,2,9,6,6,1,4,0,1,1,0,2,8,13,1,2,608,352,,,10,21,97,86,82,44,0,0,A
MXalwpm4,28.11.2021 14:00,Sivasspor,Hatayspor,4,0,51%,49%,15,2,8,0,5,1,2,1,4,2,3,2,0,4,15,9,1,3,389,381,,,14,4,91,90,63,42,0,1,H
YF5ZLrIT,28.11.2021 11:30,Gaziantep,Konyaspor,3,2,40%,60%,20,13,5,8,8,3,7,2,5,6,3,4,6,2,12,10,4,2,347,525,,,10,15,85,101,68,87,0,0,H
Ovoqtn3o,27.11.2021 17:00,Besiktas,Giresunspor,0,4,69%,31%,13,12,4,7,3,3,6,2,8,3,2,0,3,4,9,10,1,0,627,279,,,15,23,96,68,84,54,1,0,A
jDi5Z1nT,27.11.2021 14:00,Rizespor,Kayserispor,1,0,53%,47%,9,12,3,1,5,7,1,4,5,5,3,0,1,2,12,13,0,1,446,381,,,18,18,81,80,52,62,0,0,H
rs1pvQXc,27.11.2021 11:30,Antalyaspor,Alanyaspor,3,0,52%,48%,18,8,5,1,8,3,5,4,2,1,3,1,1,2,9,6,1,3,537,494,,,14,16,130,114,67,39,0,1,H
Gfahx42A,26.11.2021 18:00,Adana Demirspor,Kasimpasa,0,0,52%,48%,12,13,1,4,6,3,5,6,8,8,1,2,4,1,8,11,2,3,403,371,,,26,22,99,82,88,72,0,0,D
Uc3dyOHG,26.11.2021 18:00,Basaksehir,Altay,0,0,80%,20%,20,6,7,0,10,3,3,3,7,1,3,1,0,7,14,6,2,2,797,201,,,14,13,78,56,87,26,0,0,D
MBODQ63b,22.11.2021 18:00,Kayserispor,Goztepe,1,1,45%,55%,16,8,3,2,7,6,6,0,4,2,2,2,1,2,19,11,4,2,376,460,,,21,19,99,112,54,54,0,0,D
GEL5SSYo,22.11.2021 18:00,Trabzonspor,Gaziantep,3,0,49%,51%,11,25,5,5,3,12,3,8,2,12,0,0,5,2,6,16,0,4,437,439,,,16,18,94,93,51,93,0,0,H
xOM1T8Ju,21.11.2021 17:00,Galatasaray,Fenerbahce,1,2,58%,42%,14,10,4,6,4,3,6,1,4,1,2,1,4,3,13,17,5,5,470,346,,,15,10,85,80,68,56,0,1,A
C0HQN4mH,21.11.2021 14:00,Altay,Adana Demirspor,1,3,54%,46%,17,15,8,7,4,5,5,3,7,4,2,5,4,7,10,10,0,2,424,370,,,17,17,83,79,56,53,0,0,A
