id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
z1XGiKwd,13.05.2017 18:00,Adanaspor AS,Trabzonspor,1,1,42%,58%,4,8,3,3,1,5,14,10,2,5,1,4,17,23,2,2,9,10,3,2,1,0,,,D
Quw6Eso9,13.05.2017 18:00,Fenerbahce,Antalyaspor,0,1,52%,48%,5,7,3,6,2,1,30,23,5,3,2,7,30,15,5,3,21,23,3,5,0,0,,,A
neRECLFL,13.05.2017 15:00,Basaksehir,Genclerbirligi,2,1,58%,42%,11,6,5,4,6,2,15,20,6,1,6,3,33,16,3,3,14,12,1,2,0,0,,,H
GUVIBuVR,12.05.2017 19:00,Kasimpasa,Rizespor,4,2,48%,52%,18,10,10,5,8,5,14,13,2,9,4,2,14,9,3,6,9,12,0,1,0,1,,,H
IwIp7awq,12.05.2017 19:00,Kayserispor,Konyaspor,2,1,60%,40%,7,6,5,3,2,3,12,24,8,2,3,1,25,20,2,3,21,11,3,3,0,0,,,H
Oboyimmo,08.05.2017 19:00,Akhisarspor,Gaziantepspor,6,0,48%,52%,13,6,8,3,5,3,13,15,5,2,2,1,17,24,3,2,13,12,0,2,0,0,,,H
YZBzClPA,08.05.2017 19:00,Kardemir Karabuk,Ankaraspor,1,0,52%,48%,11,6,5,2,6,4,11,25,10,7,1,0,24,26,2,4,24,11,4,2,0,0,,,H
4fONEjuh,07.05.2017 18:00,Besiktas,Fenerbahce,1,1,57%,43%,16,4,9,2,7,2,20,18,11,5,1,2,18,24,1,8,17,18,1,7,0,2,,,D
vZw8gt9q,07.05.2017 15:00,Rizespor,Bursaspor,6,0,52%,48%,12,12,7,6,5,6,15,15,6,5,1,2,14,14,6,1,14,13,0,4,0,0,,,H
CKNRDAfb,06.05.2017 18:00,Galatasaray,Kasimpasa,1,3,57%,43%,12,7,5,6,7,1,15,9,7,1,0,0,23,13,3,4,9,15,3,0,1,0,,,A
nwGvB8vH,06.05.2017 18:00,Konyaspor,Alanyaspor,2,3,52%,48%,8,9,4,6,4,3,16,12,5,9,3,0,15,9,3,2,9,16,2,2,1,0,,,A
jBMVCU94,06.05.2017 15:00,Genclerbirligi,Adanaspor AS,0,1,61%,39%,16,3,10,1,6,2,21,21,16,4,0,2,30,18,0,10,21,19,2,1,0,0,,,A
IPxCh0Ok,06.05.2017 15:00,Trabzonspor,Kayserispor,2,3,50%,50%,13,10,4,5,9,5,20,16,6,0,0,2,19,25,2,2,16,18,3,5,0,0,,,A
Q3PJFWPo,05.05.2017 19:00,Antalyaspor,Basaksehir,0,1,44%,56%,8,12,4,5,4,7,20,29,5,6,2,2,13,21,4,4,27,18,5,2,0,0,,,A
hGf5d9PN,01.05.2017 19:00,Ankaraspor,Konyaspor,0,0,55%,45%,8,2,2,0,6,2,9,16,5,1,0,3,28,27,0,2,16,6,2,1,0,0,,,D
UyAu2Den,01.05.2017 19:00,Bursaspor,Galatasaray,0,5,36%,64%,2,14,0,5,2,9,13,12,0,3,3,3,22,30,0,0,9,10,2,1,0,0,,,A
joBy3gtt,30.04.2017 18:00,Adanaspor AS,Antalyaspor,2,5,47%,53%,11,16,4,9,7,7,21,12,6,2,0,4,19,15,4,2,12,17,3,1,0,0,,,A
Ic2haBu5,30.04.2017 18:00,Basaksehir,Besiktas,3,1,49%,51%,10,9,4,5,6,4,14,23,2,6,4,0,20,32,4,1,19,14,3,1,0,0,,,H
C0ap1XAh,30.04.2017 15:00,Fenerbahce,Rizespor,2,1,59%,41%,13,3,6,2,7,1,20,15,9,3,0,2,27,20,1,4,15,18,2,3,0,1,,,H
dl1dbVfB,30.04.2017 12:00,Kasimpasa,Akhisarspor,0,2,52%,48%,7,11,4,8,3,3,21,13,10,7,0,2,17,17,6,4,13,19,1,2,0,0,,,A
nwf9eTvU,29.04.2017 18:00,Trabzonspor,Genclerbirligi,0,0,50%,50%,20,3,6,1,14,2,23,15,7,9,1,4,24,24,1,6,14,19,1,4,0,1,5,20,D
EPe1ckAH,29.04.2017 15:00,Kayserispor,Alanyaspor,3,0,55%,45%,12,8,5,2,7,6,11,19,9,4,5,1,12,30,2,2,14,10,3,3,0,1,8,10,H
Oz3l0iQb,28.04.2017 19:00,Gaziantepspor,Kardemir Karabuk,0,0,58%,42%,9,12,2,2,7,10,19,16,4,3,2,1,33,34,2,2,14,18,3,5,0,0,,,D
WtvBnYea,24.04.2017 19:00,Besiktas,Adanaspor AS,3,2,56%,44%,16,5,7,2,9,3,17,10,13,7,1,4,18,18,0,4,9,13,0,3,0,0,,,H
AXxFohB5,23.04.2017 18:00,Galatasaray,Fenerbahce,0,1,55%,45%,12,5,6,3,6,2,20,21,9,0,2,0,25,19,2,6,19,20,0,4,0,0,,,A
W696kzCt,23.04.2017 12:30,Akhisarspor,Bursaspor,5,1,48%,52%,9,4,7,3,2,1,13,24,4,2,3,3,19,21,2,2,21,10,2,1,0,0,,,H
4K7EmEtg,22.04.2017 18:00,Antalyaspor,Trabzonspor,0,3,43%,57%,5,7,3,6,2,1,17,24,7,1,2,0,28,35,3,3,22,17,5,2,0,0,,,A
4fxJpCQB,22.04.2017 18:00,Genclerbirligi,Kayserispor,2,1,50%,50%,10,3,7,1,3,2,24,14,2,3,1,3,35,32,0,5,13,21,0,3,0,0,,,H
QT8AlfRn,22.04.2017 15:00,Alanyaspor,Ankaraspor,0,1,47%,53%,5,11,2,6,3,5,24,18,4,7,3,3,24,33,5,2,15,21,3,0,0,0,,,A
vDUVsAAU,22.04.2017 12:30,Rizespor,Basaksehir,3,3,44%,56%,10,14,4,6,6,8,14,12,3,3,1,2,24,19,3,1,11,12,4,3,1,0,,,D
IctNqWuI,21.04.2017 19:00,Kardemir Karabuk,Kasimpasa,0,0,59%,41%,9,4,3,2,6,2,20,18,7,7,4,2,11,17,2,3,14,18,3,1,0,0,,,D
0MVRrjeO,21.04.2017 19:00,Konyaspor,Gaziantepspor,1,2,57%,43%,5,3,3,2,2,1,12,15,4,4,0,3,26,19,0,2,15,9,1,0,0,0,,,A
A1dguyWr,12.04.2017 16:30,Gaziantepspor,Genclerbirligi,0,1,50%,50%,5,5,0,1,5,4,18,14,3,3,2,0,24,36,0,0,12,18,3,2,0,0,,,A
pGzlXhdC,10.04.2017 19:00,Basaksehir,Galatasaray,4,0,50%,50%,14,4,8,0,6,4,14,19,2,1,3,0,17,29,0,4,16,14,1,2,0,0,,,H
EkuhWCBI,10.04.2017 19:00,Kasimpasa,Konyaspor,1,1,46%,54%,10,10,3,6,7,4,10,17,10,5,6,0,9,22,5,2,11,10,2,1,0,0,,,D
vDpTyHss,09.04.2017 18:00,Adanaspor AS,Rizespor,1,3,56%,44%,5,8,2,4,3,4,16,15,4,4,3,1,40,20,1,1,12,15,2,0,0,0,,,A
CQryzeCg,09.04.2017 18:00,Fenerbahce,Akhisarspor,3,1,53%,47%,7,10,4,5,3,5,16,17,9,7,2,3,16,18,4,1,15,13,3,1,0,0,,,H
htvdVWQO,09.04.2017 15:00,Kayserispor,Ankaraspor,1,4,45%,55%,6,13,3,6,3,7,12,18,3,4,2,0,14,12,2,2,16,12,2,3,0,0,,,A
foIvfG3P,08.04.2017 18:00,Trabzonspor,Besiktas,3,4,48%,52%,9,14,6,5,3,9,17,21,2,2,2,2,31,29,1,3,19,15,2,2,0,0,,,A
O0nuZERa,08.04.2017 15:00,Gaziantepspor,Alanyaspor,2,3,41%,59%,6,8,2,4,4,4,18,14,0,6,2,0,17,18,1,0,12,18,0,1,0,0,,,A
6PypYYt6,08.04.2017 14:30,Genclerbirligi,Antalyaspor,1,1,46%,54%,6,11,4,9,2,2,18,17,6,4,0,1,29,30,8,3,17,17,3,3,0,0,,,D
I3qXzycm,07.04.2017 19:00,Bursaspor,Kardemir Karabuk,3,0,56%,44%,9,5,6,3,3,2,25,17,5,3,3,5,36,22,3,3,14,20,3,5,0,0,,,H
AcM5KFC6,03.04.2017 19:00,Galatasaray,Adanaspor AS,4,0,59%,41%,8,4,5,3,3,1,24,22,9,1,2,6,16,19,3,1,20,18,4,3,0,0,,,H
W6N1Lec0,02.04.2017 18:00,Besiktas,Genclerbirligi,3,0,58%,42%,16,4,8,3,8,1,25,21,6,3,2,2,27,34,3,5,19,23,2,3,0,0,,,H
6PFEIgsJ,02.04.2017 18:00,Konyaspor,Bursaspor,2,0,46%,54%,7,8,4,3,3,5,15,19,2,11,1,3,21,17,3,2,18,12,2,0,0,0,,,H
KS3dswKJ,02.04.2017 15:30,Ankaraspor,Gaziantepspor,0,2,53%,47%,8,10,4,4,4,6,16,19,8,4,2,3,22,19,2,4,17,13,1,0,0,0,,,A
bJ20tcZP,02.04.2017 15:00,Rizespor,Trabzonspor,0,1,56%,44%,8,9,3,4,5,5,13,19,11,1,4,0,33,17,3,3,15,13,1,3,0,0,,,A
OtOcMyrf,01.04.2017 18:00,Antalyaspor,Kayserispor,2,1,55%,45%,7,4,5,3,2,1,16,19,4,1,0,0,21,16,2,3,,,5,4,1,1,,,H
hMBAJZRC,01.04.2017 18:00,Kardemir Karabuk,Fenerbahce,0,1,55%,45%,10,7,5,5,5,2,24,17,10,5,2,5,27,31,4,5,,,2,3,0,0,,,A
pjPgNHSm,01.04.2017 15:00,Alanyaspor,Kasimpasa,3,1,48%,52%,14,9,9,5,5,4,15,11,9,3,2,4,14,17,4,6,11,15,5,4,0,0,,,H
2RZlOcDs,01.04.2017 12:30,Akhisarspor,Basaksehir,2,1,42%,58%,7,10,4,5,3,5,15,18,1,5,2,3,15,27,4,2,16,12,2,2,0,0,,,H
4vWjQpqS,19.03.2017 17:00,Antalyaspor,Besiktas,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,D
tKPUI2y2,19.03.2017 14:00,Basaksehir,Kardemir Karabuk,3,3,53%,47%,12,8,9,5,3,3,16,14,5,3,3,0,33,23,2,6,11,16,1,5,0,0,,,D
AL8JL4iq,19.03.2017 14:00,Bursaspor,Alanyaspor,1,3,50%,50%,11,6,6,3,5,3,16,25,3,2,6,0,28,23,0,5,19,16,3,2,0,0,,,A
2TQQJrMe,19.03.2017 11:30,Genclerbirligi,Rizespor,1,0,48%,52%,3,11,1,3,2,8,18,12,4,3,1,2,24,27,3,0,11,16,1,2,0,0,,,H
QmXnRQTL,18.03.2017 17:00,Adanaspor AS,Akhisarspor,2,1,49%,51%,12,9,7,4,5,5,19,19,1,2,2,1,31,35,3,5,17,18,2,2,0,0,,,H
