id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
vH4J2VT6,11.02.2017 14:00,Ankaraspor,Trabzonspor,0,1,49%,51%,15,4,4,2,11,2,28,20,7,3,2,0,28,17,1,4,18,28,4,2,0,0,,,A
lQAZCFiE,11.02.2017 11:30,Alanyaspor,Genclerbirligi,3,0,55%,45%,10,6,5,2,5,4,21,10,7,5,2,1,15,19,2,2,8,20,2,1,0,0,,,H
4bC65Xql,10.02.2017 17:00,Kardemir Karabuk,Besiktas,2,1,43%,57%,5,9,4,4,1,5,20,23,0,7,8,3,18,17,3,2,15,17,0,3,0,0,,,H
GbXh0x88,30.01.2017 18:00,Adanaspor AS,Kasimpasa,3,0,46%,54%,9,10,7,2,2,8,14,21,2,2,2,4,16,32,2,7,19,10,3,1,0,0,,,H
lCV0bGxL,30.01.2017 18:00,Besiktas,Konyaspor,5,1,56%,44%,12,7,8,4,4,3,10,12,5,6,2,1,7,16,3,3,10,9,2,0,0,0,,,H
04UviYUf,29.01.2017 17:00,Kayserispor,Fenerbahce,4,1,54%,46%,10,9,7,3,3,6,17,15,4,3,1,0,17,21,2,3,14,17,3,3,0,0,,,H
MJImkCa7,29.01.2017 14:00,Trabzonspor,Gaziantepspor,4,0,57%,43%,13,8,8,4,5,4,16,20,3,6,1,0,28,25,4,4,19,16,2,3,0,0,,,H
WUPzhEFl,29.01.2017 13:00,Basaksehir,Bursaspor,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,H
hvRWhf0r,29.01.2017 11:30,Genclerbirligi,Ankaraspor,1,1,50%,50%,9,11,4,5,5,6,17,12,4,3,0,2,26,24,4,3,12,15,3,2,0,0,,,D
fkWdadNE,28.01.2017 17:00,Antalyaspor,Alanyaspor,2,1,56%,44%,10,7,7,3,3,4,18,23,7,6,4,1,17,16,2,5,23,18,3,3,0,0,,,H
ncl4czhR,28.01.2017 17:00,Galatasaray,Akhisarspor,6,0,60%,40%,10,3,7,1,3,2,26,13,5,0,1,8,6,19,1,1,12,18,0,3,0,0,,,H
veTrjhp1,28.01.2017 14:00,Rizespor,Kardemir Karabuk,1,0,44%,56%,8,8,5,3,3,5,14,19,4,5,3,4,19,25,3,4,16,10,2,2,1,0,,,H
MyCJowgF,23.01.2017 18:00,Alanyaspor,Besiktas,1,4,38%,62%,8,10,4,7,4,3,23,13,2,12,0,5,20,16,3,3,13,18,1,4,0,0,,,A
8hARqHNR,22.01.2017 17:00,Fenerbahce,Basaksehir,1,0,52%,48%,4,6,1,2,3,4,15,25,2,1,2,0,30,21,2,0,23,17,6,3,0,0,,,H
6Tk2wF0e,22.01.2017 14:00,Kasimpasa,Trabzonspor,0,1,50%,50%,7,7,2,2,5,5,17,18,6,3,1,0,34,22,1,2,18,18,4,4,0,0,,,A
vslAygV7,22.01.2017 11:30,Ankaraspor,Antalyaspor,1,2,56%,44%,14,11,5,6,9,5,19,20,5,3,1,1,26,13,4,4,19,18,2,3,0,0,,,A
0SANpc8L,21.01.2017 17:00,Bursaspor,Adanaspor AS,0,1,55%,45%,5,4,1,3,4,1,30,22,3,1,2,0,32,18,2,1,20,30,3,3,0,0,,,A
hQobveok,21.01.2017 17:00,Kardemir Karabuk,Galatasaray,2,1,46%,54%,7,8,3,3,4,5,13,22,3,4,3,1,16,28,2,1,19,12,5,4,0,1,,,H
0jk6xZF1,21.01.2017 14:00,Konyaspor,Rizespor,2,1,55%,45%,11,8,3,4,8,4,17,8,4,6,0,0,17,22,3,1,8,17,4,2,0,0,,,H
vDMEnJw9,21.01.2017 11:30,Akhisarspor,Kayserispor,0,0,50%,50%,6,6,2,3,4,3,23,23,3,5,3,4,23,15,3,2,20,19,1,3,0,0,,,D
Q9IAmaO2,16.01.2017 17:00,Ankaraspor,Besiktas,0,2,52%,48%,6,11,2,7,4,4,15,18,3,1,5,1,30,21,5,2,13,14,2,2,0,0,,,A
8YopXwvM,15.01.2017 17:00,Fenerbahce,Adanaspor AS,2,2,,,,,,,,,,,,,,,,,,,,,,,0,0,,,D
K8klWcgS,15.01.2017 14:00,Gaziantepspor,Antalyaspor,0,3,44%,56%,9,7,5,6,4,1,21,17,9,6,2,1,29,18,3,5,15,20,3,1,1,0,,,A
YFVOPeWe,15.01.2017 11:30,Kasimpasa,Genclerbirligi,3,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,H
C6USOFo2,14.01.2017 17:00,Konyaspor,Galatasaray,0,1,,,,,,,,,,,,,,,,,,,,,,,0,0,,,A
xlxGRH1q,14.01.2017 14:00,Basaksehir,Kayserispor,5,0,53%,47%,11,8,8,4,3,4,15,13,4,4,1,1,16,21,4,3,12,14,1,1,0,0,,,H
nJcyZa99,14.01.2017 11:30,Alanyaspor,Rizespor,2,3,,,,,,,,,,,,,,,,,,,,,,,0,0,,,A
GvyKQyHk,14.01.2017 11:30,Kardemir Karabuk,Akhisarspor,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,H
Q9duYJOF,13.01.2017 18:00,Bursaspor,Trabzonspor,1,2,,,,,,,,,,,,,,,,,,,,,,,0,0,,,A
IqgXZuf3,26.12.2016 18:00,Trabzonspor,Fenerbahce,0,3,45%,55%,13,9,6,4,7,5,24,17,4,2,1,4,15,17,1,6,16,20,2,4,1,0,,,A
OpCtDInj,26.12.2016 17:00,Genclerbirligi,Bursaspor,3,1,49%,51%,16,7,8,2,8,5,13,19,8,5,2,0,23,21,1,5,17,13,,,0,0,,,H
QyJCW6mB,25.12.2016 17:00,Antalyaspor,Kasimpasa,2,1,56%,44%,6,12,5,6,1,6,10,15,4,5,1,0,34,17,5,3,14,10,4,3,0,0,,,H
UNCxEbXq,25.12.2016 17:00,Galatasaray,Alanyaspor,5,1,59%,41%,16,9,11,6,5,3,17,16,5,1,3,2,20,14,5,6,13,15,3,3,0,1,,,H
noK8XnY4,25.12.2016 14:00,Akhisarspor,Konyaspor,1,0,55%,45%,11,3,5,1,6,2,15,20,6,2,1,2,29,22,1,4,19,13,3,1,0,0,,,H
xlGpCx2d,25.12.2016 14:00,Kayserispor,Kardemir Karabuk,2,0,54%,46%,13,9,5,4,8,5,12,21,3,9,4,2,19,38,4,3,17,10,2,2,0,1,,,H
vgfTzMvc,25.12.2016 11:30,Rizespor,Ankaraspor,0,1,55%,45%,5,16,1,5,4,11,22,16,7,2,2,4,16,16,4,1,14,18,3,1,0,0,,,A
hbk9VQ2H,24.12.2016 17:00,Besiktas,Gaziantepspor,1,0,59%,41%,11,9,7,2,4,7,12,26,5,0,1,2,22,14,2,6,25,10,0,2,0,0,,,H
hOK4YSIb,24.12.2016 14:00,Adanaspor AS,Basaksehir,1,1,44%,56%,8,9,6,2,2,7,13,16,11,5,1,2,14,18,1,5,15,11,2,2,0,0,,,D
YsfZImJB,19.12.2016 18:00,Bursaspor,Antalyaspor,2,1,57%,43%,13,10,7,6,6,4,21,20,14,5,2,3,26,29,5,5,18,18,4,6,0,0,,,H
pIcwI7YH,19.12.2016 18:00,Fenerbahce,Genclerbirligi,3,0,48%,52%,6,11,4,6,2,5,17,18,4,13,6,2,23,21,6,1,12,15,1,1,0,0,,,H
vLfVJT35,18.12.2016 17:00,Alanyaspor,Akhisarspor,0,0,51%,49%,6,4,2,0,4,4,25,20,4,6,1,3,20,27,0,2,19,22,3,2,0,0,,,D
vLG0Z83h,18.12.2016 17:00,Ankaraspor,Galatasaray,2,2,46%,54%,19,7,7,4,12,3,10,22,10,2,6,1,13,20,2,5,17,9,1,1,0,0,,,D
0UeRK9la,18.12.2016 14:00,Adanaspor AS,Kayserispor,2,1,46%,54%,12,6,7,4,5,2,19,13,6,2,3,1,26,17,3,5,11,19,3,1,0,0,,,H
StmrHRmO,18.12.2016 11:30,Gaziantepspor,Rizespor,1,2,59%,41%,14,7,9,4,5,3,19,19,13,2,2,0,27,28,2,8,17,19,3,7,0,1,,,A
I5SiyVYu,18.12.2016 11:30,Kardemir Karabuk,Konyaspor,1,1,48%,52%,13,4,6,3,7,1,22,26,7,2,1,3,25,12,2,5,25,19,4,3,0,0,,,D
ddRezkln,17.12.2016 17:00,Kasimpasa,Besiktas,2,1,45%,55%,6,11,1,6,5,5,24,14,3,8,0,6,17,14,5,0,14,18,2,2,0,0,,,H
6XonGo3U,17.12.2016 14:00,Basaksehir,Trabzonspor,1,0,62%,38%,7,7,4,3,3,4,25,15,9,0,2,2,25,21,3,3,13,23,0,2,0,0,,,H
67zh6AZ5,12.12.2016 18:00,Antalyaspor,Fenerbahce,1,0,52%,48%,10,8,4,4,6,4,20,20,1,7,1,2,23,31,4,3,19,18,1,1,0,0,,,H
hOYa4l4I,11.12.2016 17:00,Galatasaray,Gaziantepspor,3,1,60%,40%,25,4,14,2,11,2,21,11,12,9,0,7,12,14,1,11,11,14,4,5,0,1,,,H
Au3ENB4t,11.12.2016 17:00,Konyaspor,Kayserispor,1,0,43%,57%,5,12,4,3,1,9,16,15,4,6,0,3,19,25,3,3,15,13,1,3,0,0,,,H
Orom7jKa,11.12.2016 14:00,Akhisarspor,Ankaraspor,1,2,44%,56%,8,8,5,5,3,3,24,27,7,2,1,2,19,22,3,4,26,22,4,3,0,0,,,A
YJBnSidP,11.12.2016 11:30,Kardemir Karabuk,Alanyaspor,0,2,53%,47%,9,6,4,4,5,2,22,22,8,4,3,2,37,23,2,4,19,20,2,3,0,0,,,A
pbZe5UlC,10.12.2016 17:00,Besiktas,Bursaspor,2,1,60%,40%,12,6,6,3,6,3,15,11,2,1,1,4,23,20,2,4,10,11,3,3,0,1,,,H
WEX338JO,10.12.2016 17:00,Genclerbirligi,Basaksehir,0,0,45%,55%,5,8,1,4,4,4,9,15,7,8,1,1,11,20,4,1,14,8,1,3,0,0,,,D
422IMVJn,10.12.2016 14:00,Rizespor,Kasimpasa,0,1,54%,46%,13,12,7,6,6,6,18,12,11,5,3,4,15,14,5,7,9,14,2,4,0,1,,,A
rg1MLkZh,09.12.2016 18:00,Trabzonspor,Adanaspor AS,4,1,55%,45%,18,5,8,3,10,2,12,15,7,5,2,0,16,13,2,4,13,12,2,2,0,1,,,H
6geJiBKC,05.12.2016 18:00,Bursaspor,Rizespor,2,1,50%,50%,8,10,2,6,6,4,14,16,3,8,2,4,16,19,5,0,14,10,2,3,0,0,,,H
GIsu9Ckm,05.12.2016 18:00,Kayserispor,Trabzonspor,0,1,59%,41%,5,8,0,4,5,4,15,15,6,3,1,1,24,23,3,0,17,14,2,3,0,0,,,A
pv7AgXk0,04.12.2016 17:00,Adanaspor AS,Genclerbirligi,0,2,52%,48%,10,7,3,4,7,3,19,17,9,3,0,0,27,23,2,3,17,19,4,3,0,0,,,A
xSryAhzs,04.12.2016 17:00,Kasimpasa,Galatasaray,1,2,38%,62%,8,6,5,5,3,1,7,24,4,1,5,1,18,27,3,4,19,6,4,2,1,0,,,A
Ausq8W4g,04.12.2016 14:00,Ankaraspor,Kardemir Karabuk,2,1,51%,49%,9,11,3,5,6,6,19,17,4,7,1,1,23,26,4,1,16,18,3,3,0,0,,,H
Is24FECJ,04.12.2016 14:00,Gaziantepspor,Akhisarspor,1,2,52%,48%,4,6,2,4,2,2,20,19,1,3,2,0,31,18,2,1,17,20,1,4,0,0,,,A
OU5Ehi56,04.12.2016 11:30,Alanyaspor,Konyaspor,2,3,51%,49%,19,8,10,3,9,5,17,16,9,1,2,3,18,9,0,8,14,14,4,4,0,1,,,A
4vEMjVZI,03.12.2016 17:00,Fenerbahce,Besiktas,0,0,46%,54%,5,1,0,0,5,1,22,23,4,1,3,1,26,33,0,0,20,21,2,3,0,0,,,D
dY08EYRP,03.12.2016 12:00,Basaksehir,Antalyaspor,2,2,46%,54%,11,9,7,5,4,4,14,16,4,3,1,2,30,18,3,5,15,12,3,2,1,1,,,D
xE32egLm,28.11.2016 18:00,Konyaspor,Ankaraspor,1,1,49%,51%,7,12,3,6,4,6,22,18,3,3,3,2,25,13,5,2,15,20,1,4,0,1,,,D
G426fDzf,27.11.2016 17:00,Rizespor,Fenerbahce,1,5,42%,58%,7,8,3,6,4,2,13,18,3,8,1,1,21,19,1,2,17,12,2,3,1,0,,,A
ITMV0FcQ,27.11.2016 14:00,Genclerbirligi,Trabzonspor,0,0,47%,53%,6,8,3,4,3,4,27,18,6,5,1,5,22,21,4,3,17,22,2,6,1,0,,,D
pOInvhjD,26.11.2016 17:00,Antalyaspor,Adanaspor AS,1,0,53%,47%,10,9,7,5,3,4,22,18,10,4,4,1,25,23,5,6,14,21,1,1,0,0,,,H
pGON2yTD,26.11.2016 17:00,Besiktas,Basaksehir,1,1,56%,44%,7,7,2,5,5,2,19,12,12,4,1,4,19,21,4,1,11,15,2,1,0,0,,,D
CAKvtEL0,26.11.2016 14:00,Akhisarspor,Kasimpasa,1,0,45%,55%,8,10,3,3,5,7,23,12,0,3,1,2,12,24,3,2,11,21,3,5,0,0,,,H
fkEcdZ5s,26.11.2016 11:30,Kardemir Karabuk,Gaziantepspor,2,0,50%,50%,16,2,8,1,8,1,10,22,6,4,1,4,19,16,1,6,21,6,1,0,0,1,,,H
6XJruYz7,25.11.2016 18:00,Alanyaspor,Kayserispor,3,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,H
O6NR1erK,25.11.2016 18:00,Galatasaray,Bursaspor,3,1,58%,42%,12,6,7,4,5,2,23,19,3,2,4,3,28,19,3,4,15,20,1,1,0,0,,,H
b7Gzsf6f,21.11.2016 18:00,Trabzonspor,Antalyaspor,0,1,54%,46%,16,5,5,3,11,2,29,19,3,5,0,4,25,13,2,5,19,25,8,5,0,0,,,A
Wh0f1Oi9,21.11.2016 17:00,Basaksehir,Rizespor,2,1,63%,37%,11,9,5,4,6,5,17,14,11,3,1,1,32,17,3,3,13,16,0,1,0,0,,,H
xf7o3pNd,20.11.2016 18:00,Fenerbahce,Galatasaray,2,0,53%,47%,6,3,2,1,4,2,27,15,2,1,3,0,23,25,1,0,12,27,2,6,0,0,,,H
Aqab0r7F,20.11.2016 12:00,Kasimpasa,Kardemir Karabuk,2,2,47%,53%,5,10,3,6,2,4,17,20,5,6,3,1,21,13,4,1,17,16,1,3,0,0,,,D
xhSRrGyr,20.11.2016 12:00,Kayserispor,Genclerbirligi,0,2,46%,54%,2,8,1,5,1,3,21,31,2,4,5,2,36,28,3,1,26,19,5,0,0,0,,,A
p0KausVk,19.11.2016 17:00,Adanaspor AS,Besiktas,1,2,,,,,,,,,,,,,,,,,,,,,,,0,0,,,A
GrRVszil,19.11.2016 17:00,Ankaraspor,Alanyaspor,2,0,53%,47%,10,9,5,4,5,5,17,25,8,7,2,1,13,17,4,3,23,16,3,3,0,0,,,H
OjJ3v1pd,19.11.2016 14:00,Bursaspor,Akhisarspor,0,0,62%,38%,11,6,5,2,6,4,17,13,10,6,1,0,36,14,2,5,12,17,2,2,0,0,,,D
lUAk24x3,19.11.2016 11:30,Gaziantepspor,Konyaspor,0,3,50%,50%,4,11,2,6,2,5,16,16,3,3,2,3,28,24,3,2,14,13,2,1,0,0,,,A
Kz8OsFZj,06.11.2016 17:00,Akhisarspor,Fenerbahce,1,3,51%,49%,9,3,2,3,7,0,20,7,5,5,2,3,19,22,0,1,5,17,2,4,0,0,,,A
WhvPoqhM,06.11.2016 17:00,Konyaspor,Kasimpasa,2,1,43%,57%,10,13,5,5,5,8,14,14,4,5,2,1,20,23,4,3,12,13,1,3,0,0,,,H
QFwTp37S,06.11.2016 14:00,Ankaraspor,Kayserispor,1,1,54%,46%,11,4,5,4,6,0,18,13,6,6,0,6,26,14,3,4,13,12,3,7,0,0,,,D
SOPftNFq,06.11.2016 11:30,Rizespor,Adanaspor AS,2,2,47%,53%,10,9,4,6,6,3,23,19,5,3,1,1,26,18,4,2,18,22,2,1,0,0,,,D
2aX8kRhc,05.11.2016 17:00,Antalyaspor,Genclerbirligi,1,0,49%,51%,14,7,5,1,9,6,20,26,5,4,0,1,18,25,1,4,26,19,2,6,0,0,,,H
dznClo83,05.11.2016 17:00,Besiktas,Trabzonspor,2,1,59%,41%,12,9,7,4,5,5,12,17,8,5,1,1,29,14,3,5,16,11,2,3,0,0,,,H
IkzLnPxG,05.11.2016 14:00,Kardemir Karabuk,Bursaspor,0,0,43%,57%,7,6,2,2,5,4,17,27,5,3,6,2,26,23,2,2,21,15,2,2,0,0,,,D
O8Y4j7wi,05.11.2016 11:30,Alanyaspor,Gaziantepspor,4,3,54%,46%,15,8,7,5,8,3,19,19,6,1,2,1,19,23,2,3,17,18,4,5,0,0,,,H
zRpGm5N9,04.11.2016 18:00,Galatasaray,Basaksehir,1,2,,,,,,,,,,,,,,,,,,,,,,,0,0,,,A
A1IllHdN,31.10.2016 18:00,Kasimpasa,Alanyaspor,2,1,52%,48%,5,10,3,7,2,3,18,17,4,3,2,0,19,20,6,1,15,18,2,3,0,0,,,H
lhHhmyCT,31.10.2016 18:00,Kayserispor,Antalyaspor,0,1,49%,51%,9,6,4,6,5,0,21,20,4,6,2,0,35,35,5,4,18,21,2,3,0,0,,,A
8xMXiacb,30.10.2016 17:00,Fenerbahce,Kardemir Karabuk,5,0,47%,53%,11,9,8,4,3,5,12,23,3,3,4,1,25,23,4,3,19,11,0,4,0,1,,,H
6X3KreKp,30.10.2016 14:00,Trabzonspor,Rizespor,2,2,54%,46%,9,9,5,3,4,6,27,31,6,2,2,2,22,19,1,3,29,25,4,5,0,0,,,D
hQNqkcsH,30.10.2016 11:30,Basaksehir,Akhisarspor,5,1,58%,42%,8,9,7,5,1,4,14,14,0,6,3,0,17,23,4,2,11,14,2,4,0,0,,,H
nNXOgLSo,29.10.2016 18:00,Adanaspor AS,Galatasaray,0,1,35%,65%,9,8,3,4,6,4,16,14,1,8,1,0,9,20,3,3,13,16,3,4,0,0,,,A
QDWShurh,29.10.2016 15:00,Bursaspor,Konyaspor,2,0,42%,58%,5,5,2,5,3,0,8,17,7,3,0,2,17,17,5,0,17,6,1,2,0,0,,,H
KCPyiJC4,29.10.2016 12:30,Gaziantepspor,Ankaraspor,3,1,55%,45%,3,8,2,4,1,4,22,22,7,6,2,0,25,17,3,0,20,22,2,4,0,1,,,H
EZOujwSA,28.10.2016 19:00,Genclerbirligi,Besiktas,1,1,46%,54%,8,12,3,7,5,5,15,26,5,6,3,3,20,20,6,2,23,12,3,2,0,0,,,D
EZ2AzbSN,24.10.2016 19:00,Konyaspor,Fenerbahce,0,1,58%,42%,4,6,1,3,3,3,18,10,4,2,0,0,27,18,2,1,10,18,0,4,0,0,,,A
n7q1vtTb,23.10.2016 18:00,Besiktas,Antalyaspor,3,0,59%,41%,17,5,8,1,9,4,22,14,5,3,2,1,16,12,1,5,12,21,2,4,0,1,,,H
dbhFZHsU,23.10.2016 15:00,Ankaraspor,Kasimpasa,1,2,52%,48%,16,6,7,4,9,2,10,23,13,3,2,1,25,20,2,6,21,9,3,2,0,0,,,A
0Wb6yvDH,23.10.2016 12:30,Kardemir Karabuk,Basaksehir,0,2,52%,48%,9,8,4,5,5,3,26,18,4,4,2,2,22,21,3,4,16,24,2,3,0,0,,,A
Egogt2bn,22.10.2016 18:00,Akhisarspor,Adanaspor AS,1,0,46%,54%,7,12,4,3,3,9,27,28,7,3,0,4,20,25,3,3,28,23,5,4,1,0,,,H
SI0bw0r5,22.10.2016 18:00,Galatasaray,Trabzonspor,0,1,61%,39%,13,4,5,2,8,2,21,14,9,0,1,4,33,19,1,5,13,17,0,3,0,0,,,A
8GpcuMDh,22.10.2016 15:00,Alanyaspor,Bursaspor,0,2,51%,49%,17,10,6,4,11,6,14,9,8,4,2,0,27,24,2,6,7,14,,,0,0,,,A
69a2xKcB,21.10.2016 19:00,Gaziantepspor,Kayserispor,1,2,48%,52%,13,6,7,2,6,4,19,13,6,4,1,2,35,29,0,6,12,17,1,1,0,0,,,A
b7vsVyjo,21.10.2016 18:00,Rizespor,Genclerbirligi,2,1,46%,54%,9,14,4,8,5,6,18,24,5,7,1,1,17,27,7,2,23,17,1,7,0,0,,,H
Eu6KR2qg,17.10.2016 18:00,Antalyaspor,Rizespor,1,1,55%,45%,7,6,3,5,4,1,21,19,5,3,3,0,28,19,4,2,16,21,3,3,0,0,,,D
0jsksrqt,16.10.2016 18:00,Trabzonspor,Akhisarspor,0,0,54%,46%,19,6,10,4,9,2,23,17,8,1,1,0,26,32,4,10,16,23,4,3,1,0,,,D
6mORPtE5,16.10.2016 15:00,Fenerbahce,Alanyaspor,1,1,54%,46%,10,8,5,5,5,3,15,19,10,5,3,3,20,14,4,4,16,12,5,7,0,1,,,D
S2CzOKrI,16.10.2016 12:30,Basaksehir,Konyaspor,1,1,54%,46%,7,4,2,3,5,1,11,15,10,1,1,1,30,23,2,1,14,10,5,2,0,0,,,D
825OQMba,16.10.2016 12:30,Bursaspor,Ankaraspor,0,0,49%,51%,11,21,3,8,8,13,23,20,3,4,1,2,27,16,8,3,19,21,4,3,0,0,,,D
lCDWO0TB,15.10.2016 19:00,Genclerbirligi,Galatasaray,0,1,46%,54%,11,9,6,5,5,4,18,19,3,3,4,1,23,26,4,6,15,17,2,3,0,0,,,A
zk7GSrUn,15.10.2016 18:30,Adanaspor AS,Kardemir Karabuk,1,2,49%,51%,8,12,3,6,5,6,25,18,3,6,2,0,17,15,4,2,16,25,6,3,1,0,,,A
zTFrMbDU,15.10.2016 16:00,Kayserispor,Besiktas,0,1,34%,66%,6,9,2,6,4,3,10,23,4,12,2,1,19,31,5,2,21,9,4,1,1,0,,,A
dxHvNvbO,15.10.2016 13:00,Kasimpasa,Gaziantepspor,0,0,50%,50%,13,5,6,1,7,4,15,17,6,1,3,1,21,15,1,6,14,14,2,6,0,2,,,D
tlkroipE,02.10.2016 18:00,Ankaraspor,Fenerbahce,1,1,51%,49%,7,8,1,2,6,6,21,15,7,10,0,1,20,28,1,0,15,20,3,1,0,0,,,D
Sp10M77D,02.10.2016 18:00,Konyaspor,Adanaspor AS,1,0,55%,45%,10,6,5,3,5,3,16,14,9,5,0,1,23,26,3,4,14,15,3,3,0,0,,,H
6BAuRVhr,02.10.2016 15:00,Alanyaspor,Basaksehir,0,5,41%,59%,12,10,3,6,9,4,16,19,1,4,1,1,20,23,1,3,18,15,1,1,0,0,,,A
p29qQk8l,02.10.2016 15:00,Galatasaray,Antalyaspor,3,1,58%,42%,16,5,5,3,11,2,13,14,7,2,2,4,27,14,2,2,12,9,1,1,0,0,,,H
hS8mP9Nf,01.10.2016 18:00,Gaziantepspor,Bursaspor,3,2,59%,41%,14,5,7,4,7,1,12,18,5,2,3,1,23,23,2,4,15,11,3,0,0,1,,,H
IDCBTOEt,01.10.2016 18:00,Rizespor,Besiktas,0,1,38%,62%,4,11,0,3,4,8,6,15,3,5,,,14,33,2,0,15,6,1,4,0,0,,,A
WI7iOTx1,01.10.2016 15:00,Kardemir Karabuk,Trabzonspor,4,0,58%,42%,6,7,5,2,1,5,18,23,3,3,5,1,34,40,2,1,18,17,0,2,0,0,,,H
EscdNmh7,01.10.2016 15:00,Kasimpasa,Kayserispor,3,1,51%,49%,15,5,6,1,9,4,19,21,3,2,2,1,35,25,0,3,19,18,4,4,0,1,,,H
0UXCVBpR,30.09.2016 19:00,Akhisarspor,Genclerbirligi,0,0,51%,49%,9,8,1,2,8,6,17,23,0,2,2,2,18,29,2,1,21,15,2,0,0,0,,,D
8z9ZHhGR,26.09.2016 19:00,Adanaspor AS,Alanyaspor,3,2,50%,50%,10,9,7,5,3,4,16,16,1,3,4,2,22,23,3,4,12,14,2,6,0,0,,,H
b5mEAA81,25.09.2016 18:00,Fenerbahce,Gaziantepspor,2,1,53%,47%,12,8,6,4,6,4,18,16,4,3,2,1,27,23,3,4,14,17,1,6,0,0,,,H
xdnI9UN7,25.09.2016 18:00,Genclerbirligi,Kardemir Karabuk,2,0,55%,45%,11,5,5,2,6,3,27,16,5,3,3,0,21,20,2,3,13,27,1,2,0,1,,,H
4rlABjge,25.09.2016 15:00,Bursaspor,Kasimpasa,1,0,55%,45%,7,11,5,5,2,6,15,25,4,5,3,5,27,30,5,4,22,10,4,1,1,0,,,H
h4U4XXFE,25.09.2016 12:30,Kayserispor,Rizespor,2,1,47%,53%,4,9,4,4,0,5,19,20,3,9,1,2,22,34,3,2,19,17,5,2,0,0,,,H
h8p6CWwk,24.09.2016 19:00,Besiktas,Galatasaray,2,2,47%,53%,14,10,8,8,6,2,14,20,8,8,2,0,19,14,6,6,18,14,2,3,0,0,,,D
nRT8WiVK,24.09.2016 15:00,Trabzonspor,Konyaspor,1,0,55%,45%,11,3,5,1,6,2,19,21,7,4,,,36,31,1,4,21,19,5,2,0,0,,,H
EDV0YD08,24.09.2016 12:30,Basaksehir,Ankaraspor,2,2,53%,47%,12,6,5,4,7,2,21,20,10,4,0,0,25,15,2,3,20,21,4,3,0,0,,,D
Aqe1DCOr,23.09.2016 19:00,Antalyaspor,Akhisarspor,0,0,48%,52%,10,5,5,2,5,3,28,24,4,4,1,0,23,23,2,5,23,28,2,3,0,0,,,D
IoGMKfW8,19.09.2016 19:00,Kasimpasa,Fenerbahce,1,5,40%,60%,7,15,3,8,4,7,18,18,5,6,0,2,22,17,3,2,18,16,2,4,0,0,,,A
ld744ZoS,18.09.2016 19:00,Akhisarspor,Besiktas,0,2,48%,52%,11,7,2,5,9,2,17,17,3,4,1,0,16,22,3,2,16,17,3,3,0,0,,,A
juOzciv2,18.09.2016 18:30,Gaziantepspor,Basaksehir,0,1,47%,53%,18,5,7,2,11,3,15,14,11,6,1,2,32,24,1,7,13,13,0,3,0,0,,,A
v14VIY0L,18.09.2016 16:00,Ankaraspor,Adanaspor AS,1,0,56%,44%,8,6,3,1,5,5,18,19,2,2,3,1,28,30,1,2,16,17,4,4,0,0,,,H
0A5RJEoF,18.09.2016 16:00,Konyaspor,Genclerbirligi,1,1,55%,45%,8,6,3,3,5,3,20,15,5,3,1,2,31,32,2,2,14,18,4,2,0,0,,,D
ClPWcXOe,17.09.2016 19:30,Galatasaray,Rizespor,2,0,66%,34%,9,7,6,2,3,5,17,18,7,3,2,1,25,13,2,4,16,16,1,3,0,0,,,H
6yfWagfq,17.09.2016 17:00,Alanyaspor,Trabzonspor,3,0,52%,48%,7,10,5,6,2,4,29,19,1,9,1,2,19,27,6,2,18,27,2,5,0,0,,,H
pShzaD9k,16.09.2016 19:00,Bursaspor,Kayserispor,3,1,44%,56%,10,9,5,3,5,6,20,18,3,5,0,3,23,29,2,2,18,17,5,3,1,0,,,H
4rCILzH2,16.09.2016 18:00,Kardemir Karabuk,Antalyaspor,3,2,58%,42%,7,7,3,3,4,4,26,21,6,2,1,4,22,30,1,0,20,22,3,2,0,0,,,H
bBUhnzQq,11.09.2016 19:00,Antalyaspor,Konyaspor,1,3,59%,41%,8,6,3,4,5,2,18,15,8,2,3,3,22,19,1,2,12,14,4,3,0,0,,,A
48X0pEfd,11.09.2016 19:00,Fenerbahce,Bursaspor,0,1,72%,28%,13,7,3,4,10,3,18,18,6,4,4,2,33,17,3,3,13,13,0,2,0,0,,,A
hUDe6eHF,11.09.2016 16:00,Rizespor,Akhisarspor,1,0,55%,45%,7,5,2,3,5,2,19,22,4,4,1,1,22,20,3,1,13,18,3,4,0,1,,,H
zg305FWL,11.09.2016 16:00,Trabzonspor,Ankaraspor,0,2,55%,45%,11,16,2,8,9,8,,,6,7,1,2,,,6,2,16,26,3,1,0,0,,,A
