id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Free Kicks_home,Free Kicks_away,result
YRF6n7E7,03.04.2021 12:30,Kayserispor,Goztepe,1,1,50%,50%,15,5,6,2,6,1,3,2,6,4,2,1,1,5,8,12,360,363,23,16,75,75,45,33,1,1,0,0,,,D
nVsJeBiL,21.03.2021 17:00,Besiktas,Fenerbahce,1,1,56%,44%,14,14,7,3,5,5,2,6,3,7,0,0,2,6,17,20,494,366,14,23,89,95,53,66,2,5,0,0,,,D
b9Ngk9Ul,21.03.2021 14:00,Denizlispor,Basaksehir,0,0,33%,67%,8,16,2,3,4,8,2,5,2,5,2,3,3,2,8,10,290,594,12,7,80,107,53,85,1,2,0,0,,,D
fyH2mma1,21.03.2021 11:30,Antalyaspor,Erzurumspor,3,1,61%,39%,9,8,5,4,3,2,1,2,6,3,0,3,3,2,12,15,548,362,16,18,120,109,63,49,2,3,0,0,,,H
b91OZTU1,21.03.2021 11:30,Konyaspor,Alanyaspor,1,0,33%,67%,8,10,4,0,3,7,1,3,3,4,1,1,0,3,22,18,279,575,15,7,61,87,38,55,3,4,0,0,,,H
UgXNfV6R,20.03.2021 17:00,Trabzonspor,Ankaragucu,4,1,58%,42%,14,12,9,7,2,2,3,3,4,1,2,0,6,5,14,10,585,419,14,22,98,71,69,57,1,2,0,0,,,H
v5vBcXM8,20.03.2021 14:00,Goztepe,Sivasspor,3,5,61%,39%,14,9,6,5,5,2,3,2,8,3,0,3,0,3,12,18,504,322,18,17,92,86,72,51,2,2,0,0,,,A
x0MclTqe,20.03.2021 14:00,Yeni Malatyaspor,Gaziantep,2,2,52%,48%,6,10,3,3,2,3,1,4,7,5,1,3,1,2,13,12,288,266,9,9,66,61,51,58,1,4,1,0,,,D
0Eu7bD72,20.03.2021 11:30,Genclerbirligi,Kasimpasa,2,1,29%,71%,8,12,2,7,5,4,1,1,3,8,1,2,6,0,8,6,263,605,8,10,83,146,50,101,3,1,0,0,,,H
4nOkjkFr,19.03.2021 17:00,Galatasaray,Rizespor,3,4,62%,38%,10,12,6,6,2,4,2,2,7,1,1,1,2,3,12,18,475,299,7,14,151,104,96,58,4,2,1,0,,,A
8vqFdixF,19.03.2021 14:00,Karagumruk,Kayserispor,3,0,52%,48%,10,12,7,3,2,5,1,4,7,7,1,2,3,4,16,9,539,476,12,10,97,102,60,64,2,1,0,0,,,H
MDuhsCxS,15.03.2021 17:00,Kasimpasa,Konyaspor,1,1,59%,41%,12,7,4,2,6,3,2,2,8,0,1,0,1,3,12,16,561,400,8,12,145,94,94,37,1,1,0,0,,,D
hYmyofw3,14.03.2021 17:00,Fenerbahce,Genclerbirligi,1,2,74%,26%,16,7,6,3,6,1,4,3,6,1,2,4,2,5,11,13,643,240,9,20,139,87,106,22,1,5,0,0,,,A
rNtlrhNL,14.03.2021 14:00,Erzurumspor,Trabzonspor,0,0,49%,51%,11,8,3,1,5,4,3,3,12,2,0,3,1,3,15,6,365,400,16,23,79,84,83,60,2,0,0,0,,,D
jqbGyj0k,14.03.2021 14:00,Gaziantep,Denizlispor,2,0,62%,38%,14,6,3,3,8,3,3,0,8,3,1,2,3,1,15,11,475,292,17,15,102,85,86,53,2,2,0,1,,,H
QRekNjod,14.03.2021 11:30,Ankaragucu,Goztepe,3,0,40%,60%,17,8,9,2,3,3,5,3,5,7,3,3,2,6,15,10,344,499,20,18,87,95,54,73,1,1,0,0,,,H
l0spqY7F,13.03.2021 17:00,Kayserispor,Galatasaray,0,3,37%,63%,7,18,1,7,4,6,2,5,3,3,2,2,4,1,17,11,329,553,13,16,74,126,47,77,1,1,0,0,,,A
p6cKzAFe,13.03.2021 14:00,Alanyaspor,Antalyaspor,4,0,60%,40%,14,7,7,2,4,2,3,3,5,5,1,1,2,3,13,18,615,393,14,17,86,75,57,58,0,5,0,0,,,H
ChaCxWpq,13.03.2021 14:00,Rizespor,Hatayspor,1,0,51%,49%,17,17,6,3,9,7,2,7,3,5,2,2,3,5,13,17,389,378,12,13,100,95,59,64,5,4,0,0,,,H
EskXozOd,13.03.2021 11:30,Sivasspor,Karagumruk,1,0,37%,63%,10,14,4,3,4,7,2,4,1,8,3,2,3,3,14,9,293,486,14,9,81,115,46,89,1,1,0,0,,,H
zcwtpEh9,12.03.2021 17:00,Basaksehir,Besiktas,2,3,32%,68%,9,14,3,5,3,5,3,4,4,1,0,0,2,1,13,10,374,781,13,15,98,131,46,81,3,1,0,0,,,A
4C7tPCGq,08.03.2021 17:00,Goztepe,Erzurumspor,3,1,47%,53%,16,11,7,4,5,7,4,0,7,2,0,3,3,4,18,14,339,382,24,19,104,132,60,65,2,3,0,1,,,H
d6I6VEwG,08.03.2021 17:00,Konyaspor,Fenerbahce,0,3,62%,38%,15,14,5,7,7,6,3,1,2,2,2,0,4,5,10,11,584,368,15,21,88,77,65,50,2,2,0,0,,,A
6HPgYGgc,08.03.2021 14:00,Antalyaspor,Kasimpasa,1,1,42%,58%,8,11,3,2,3,7,2,2,0,4,1,1,1,2,13,10,466,627,12,9,95,166,52,99,1,3,0,0,,,D
hELkZdvi,08.03.2021 14:00,Trabzonspor,Alanyaspor,1,3,49%,51%,18,11,5,6,7,3,6,2,3,4,0,3,3,4,17,8,416,432,14,15,116,96,89,60,3,3,0,0,,,A
0vPcXz93,07.03.2021 17:00,Galatasaray,Sivasspor,2,2,66%,34%,17,12,7,4,5,6,5,2,6,4,5,2,2,5,11,13,538,277,17,17,92,62,85,40,4,4,0,1,,,D
zcHAUYhM,07.03.2021 14:00,Genclerbirligi,Basaksehir,0,1,34%,66%,10,9,3,4,2,4,5,1,1,7,1,1,3,3,14,10,341,675,14,11,92,123,52,66,2,2,1,0,,,A
lte9Q4zi,07.03.2021 14:00,Hatayspor,Kayserispor,1,3,57%,43%,10,16,4,6,4,6,2,4,7,5,3,0,3,3,13,13,463,364,17,22,82,72,80,46,2,1,1,0,,,A
vVN1WfO9,07.03.2021 11:30,Karagumruk,Ankaragucu,0,1,63%,37%,16,4,3,3,10,1,3,0,4,2,2,2,2,3,20,11,529,315,13,10,76,78,71,49,1,1,0,0,,,A
UJGETh8S,06.03.2021 17:00,Besiktas,Gaziantep,2,1,61%,39%,10,8,3,3,6,4,1,1,4,5,4,2,2,1,15,10,568,357,15,20,110,94,58,76,1,1,0,0,,,H
nycoOWVk,06.03.2021 14:00,Denizlispor,Yeni Malatyaspor,3,2,47%,53%,13,11,6,5,6,6,1,0,4,4,1,2,3,3,18,14,364,429,14,14,119,95,52,58,3,2,0,0,,,H
Akd5RpLp,04.03.2021 17:00,Fenerbahce,Antalyaspor,1,1,62%,38%,16,7,6,2,6,4,4,1,11,1,2,1,1,5,16,17,579,365,9,16,83,61,95,37,5,5,0,1,,,D
OWC2UDyP,04.03.2021 14:00,Alanyaspor,Goztepe,1,1,66%,34%,15,7,7,0,5,5,3,2,10,3,1,1,0,6,9,12,554,284,12,20,126,88,89,31,1,2,0,0,,,D
dKsHmyxm,04.03.2021 14:00,Kasimpasa,Trabzonspor,1,2,47%,53%,13,14,5,4,4,7,4,3,6,5,1,2,2,4,17,16,433,503,12,12,92,94,75,75,1,2,0,0,,,A
QaZXqgyC,03.03.2021 17:00,Ankaragucu,Galatasaray,2,1,33%,67%,8,8,3,4,3,4,2,0,1,5,2,3,3,1,15,14,256,527,19,20,84,166,41,87,6,4,0,1,,,H
vqmClHMt,03.03.2021 17:00,Kayserispor,Rizespor,2,1,40%,60%,7,17,4,3,1,7,2,7,4,6,1,0,2,2,11,9,365,524,17,17,96,100,68,78,0,1,0,0,,,H
UXuPoF6a,03.03.2021 14:00,Basaksehir,Konyaspor,1,1,63%,37%,13,10,5,2,6,2,2,6,4,4,0,0,2,4,10,12,598,361,14,11,104,51,84,34,0,1,0,0,,,D
4jYyqDjI,03.03.2021 14:00,Sivasspor,Hatayspor,1,1,46%,54%,12,5,4,1,8,2,0,2,6,3,4,1,0,3,15,18,304,362,15,8,112,107,68,55,1,3,0,0,,,D
xz1pgcEP,03.03.2021 11:30,Erzurumspor,Karagumruk,2,2,46%,54%,14,11,4,6,8,4,2,1,3,6,2,0,4,2,15,12,316,385,20,16,85,85,75,59,4,1,0,0,,,D
zBtLneig,02.03.2021 17:00,Yeni Malatyaspor,Besiktas,0,1,36%,64%,9,13,4,3,4,6,1,4,4,10,1,2,2,4,17,14,269,493,21,11,83,123,63,90,2,0,0,0,,,A
rypTpZL5,02.03.2021 14:00,Gaziantep,Genclerbirligi,2,1,60%,40%,15,14,7,5,5,7,3,2,7,3,0,3,4,5,11,17,427,295,4,18,93,80,82,68,0,2,1,0,,,H
d62rZyNg,28.02.2021 17:00,Trabzonspor,Fenerbahce,0,1,49%,51%,16,12,1,8,8,3,7,1,5,7,0,2,7,1,13,15,411,438,20,17,95,77,75,71,1,2,0,0,,,A
48N3tKUJ,28.02.2021 14:00,Goztepe,Kasimpasa,1,0,52%,48%,5,6,1,3,3,2,1,1,3,4,4,0,3,0,15,7,547,501,18,9,115,130,67,78,3,2,1,1,,,H
QofaVgMI,27.02.2021 17:00,Galatasaray,Erzurumspor,2,0,66%,34%,10,8,4,3,4,4,2,1,5,3,2,3,3,2,11,14,557,279,21,14,115,79,75,53,3,3,0,0,,,H
zc1nYex0,27.02.2021 14:00,Antalyaspor,Basaksehir,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,D
0v9Zzbhs,27.02.2021 14:00,Rizespor,Sivasspor,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,D
EsDwzI7m,27.02.2021 11:30,Hatayspor,Ankaragucu,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,H
4GHSHzhJ,27.02.2021 11:30,Karagumruk,Alanyaspor,2,0,36%,64%,10,8,2,1,6,4,2,3,4,7,3,1,1,0,12,15,319,561,14,17,70,78,51,54,2,3,0,0,,,H
raM7uvpQ,26.02.2021 17:00,Besiktas,Denizlispor,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,H
rN4fWZ6C,26.02.2021 14:00,Genclerbirligi,Yeni Malatyaspor,1,1,69%,31%,13,12,3,2,8,9,2,1,13,4,3,1,1,2,14,10,504,232,14,9,81,78,93,54,3,0,1,1,,,D
4W5jXFi6,26.02.2021 14:00,Konyaspor,Gaziantep,0,0,60%,40%,10,13,2,2,3,5,5,6,6,7,7,4,2,2,9,17,473,295,19,10,116,100,72,80,2,2,0,0,,,D
rwoXS00K,22.02.2021 17:00,Ankaragucu,Rizespor,1,1,54%,46%,14,7,7,3,4,2,3,2,5,1,3,1,2,6,13,12,515,432,11,19,95,68,65,30,2,1,0,0,,,D
Iago5c8D,21.02.2021 17:00,Fenerbahce,Goztepe,0,1,67%,33%,22,6,5,2,9,3,8,1,13,1,2,0,1,5,17,18,538,268,8,21,130,75,106,31,1,2,0,0,,,A
QPIOIGxD,21.02.2021 14:00,Gaziantep,Antalyaspor,0,0,54%,46%,9,13,2,2,4,7,3,4,7,4,3,5,2,2,12,10,517,439,9,19,116,64,78,68,2,1,0,0,,,D
W2JKJdN6,21.02.2021 14:00,Sivasspor,Kayserispor,2,0,48%,52%,21,7,7,1,9,4,5,2,6,5,1,2,1,5,15,17,382,418,12,12,110,113,71,81,3,5,0,0,,,H
IaFGKx80,21.02.2021 11:30,Erzurumspor,Hatayspor,1,3,46%,54%,15,10,5,7,2,3,8,0,3,7,1,1,4,4,15,16,339,412,13,14,84,95,64,60,3,2,1,0,,,A
Q1zxSKFQ,20.02.2021 17:00,Alanyaspor,Galatasaray,0,1,72%,28%,24,8,6,1,13,3,5,4,12,1,2,1,0,6,16,18,634,250,19,22,178,116,103,48,3,0,0,0,,,A
SAM3NvOs,20.02.2021 14:00,Denizlispor,Genclerbirligi,1,0,45%,55%,10,12,4,1,2,10,4,1,5,4,3,4,1,3,17,15,369,433,23,16,84,91,62,77,2,1,0,0,,,H
zyQBLIhf,20.02.2021 14:00,Yeni Malatyaspor,Konyaspor,2,3,32%,68%,7,11,2,4,3,6,2,1,3,8,0,2,1,0,10,17,262,559,14,8,79,108,45,87,2,3,0,0,,,A
W2sTTtoE,20.02.2021 11:30,Kasimpasa,Karagumruk,3,2,45%,55%,13,8,6,3,5,3,2,2,13,3,2,2,1,3,11,10,385,491,18,24,115,101,75,53,1,2,0,0,,,H
dpR7Mbwl,19.02.2021 17:00,Basaksehir,Trabzonspor,0,1,47%,53%,7,10,1,3,3,2,3,5,3,3,3,1,2,1,11,9,474,558,22,22,60,96,57,62,3,2,1,0,,,A
v9fs6wg7,15.02.2021 17:00,Antalyaspor,Yeni Malatyaspor,1,1,55%,45%,11,3,4,1,5,1,2,1,1,3,3,1,1,3,9,14,583,475,17,9,87,84,50,54,0,3,0,0,,,D
jqMgFsWK,15.02.2021 14:00,Genclerbirligi,Besiktas,0,3,43%,57%,5,20,1,9,0,8,4,3,2,9,2,1,6,1,15,7,404,534,19,29,95,124,82,113,3,2,0,0,,,A
IH8nH318,14.02.2021 14:00,Galatasaray,Kasimpasa,2,1,52%,48%,15,8,10,2,3,3,2,3,8,2,0,2,1,8,13,22,374,352,9,21,175,145,95,45,0,4,0,0,,,H
lK1U8u9l,14.02.2021 14:00,Goztepe,Basaksehir,2,1,41%,59%,13,12,6,4,4,6,3,2,3,5,2,0,3,4,12,16,357,513,13,10,79,107,53,82,1,2,0,0,,,H
GCU3hKO7,14.02.2021 14:00,Hatayspor,Alanyaspor,0,0,35%,65%,7,13,1,7,5,4,1,2,3,7,2,2,7,1,13,18,276,530,21,17,95,139,70,101,2,3,1,0,,,D
d87jGNGE,14.02.2021 11:30,Konyaspor,Denizlispor,2,0,51%,49%,11,8,4,3,5,5,2,0,3,4,5,0,3,2,9,15,410,384,18,16,67,68,40,57,3,2,0,0,,,H
UZKcE1oR,13.02.2021 17:00,Karagumruk,Fenerbahce,1,2,53%,47%,12,7,3,3,6,2,3,2,8,4,3,0,1,2,12,16,543,499,19,17,88,89,58,62,2,1,0,0,,,A
rs1Y7aOf,13.02.2021 14:00,Trabzonspor,Gaziantep,1,0,55%,45%,8,9,4,2,2,3,2,4,2,4,3,4,2,3,8,13,487,380,12,21,81,71,72,60,3,4,1,0,,,H
zHcQ9Lgr,13.02.2021 11:30,Kayserispor,Ankaragucu,0,0,63%,37%,23,4,7,0,9,3,7,1,12,4,0,1,0,7,16,7,471,288,18,15,109,86,100,43,1,2,0,1,,,D
MXax7Jw1,12.02.2021 17:00,Rizespor,Erzurumspor,0,2,60%,40%,10,17,4,8,3,5,3,4,3,1,2,0,6,4,16,15,525,341,16,20,98,87,90,59,4,3,1,0,,,A
Uc7BFjQ3,08.02.2021 17:00,Yeni Malatyaspor,Trabzonspor,0,2,55%,45%,11,10,1,2,6,4,4,4,11,4,1,2,0,1,9,17,396,335,16,18,90,82,87,55,1,2,0,0,,,A
KSPKhTIj,08.02.2021 14:00,Gaziantep,Goztepe,2,0,38%,62%,8,6,2,4,3,2,3,0,2,2,2,5,4,0,15,14,308,518,16,11,71,105,66,78,1,0,0,0,,,H
zeAJDUfG,07.02.2021 17:00,Besiktas,Konyaspor,1,0,58%,42%,12,3,3,0,7,2,2,1,5,3,1,3,0,2,12,12,565,402,11,22,116,79,83,46,4,3,1,0,,,H
CKXnd2Pr,07.02.2021 14:00,Ankaragucu,Sivasspor,1,4,63%,37%,14,12,6,7,6,3,2,2,3,2,0,0,3,5,17,10,525,308,13,26,95,88,67,61,6,1,0,0,,,A
8nReftfe,07.02.2021 14:00,Denizlispor,Antalyaspor,1,1,39%,61%,9,13,3,2,6,6,0,5,2,3,1,3,1,2,20,9,358,607,10,13,95,117,54,84,2,2,0,0,,,D
29Qag091,07.02.2021 11:30,Erzurumspor,Kayserispor,1,1,40%,60%,7,8,2,5,4,3,1,0,1,5,0,1,4,1,12,13,321,478,11,18,77,102,48,65,3,1,1,0,,,D
tYAFEAuA,06.02.2021 17:00,Fenerbahce,Galatasaray,0,1,49%,51%,12,9,5,2,4,5,3,2,8,6,2,0,1,5,16,25,372,391,14,15,98,88,84,56,2,2,0,0,,,A
8rJ2HCei,06.02.2021 14:00,Alanyaspor,Rizespor,2,1,68%,32%,33,8,10,3,12,4,11,1,13,4,0,1,2,8,10,10,546,265,7,11,104,69,115,37,2,6,0,0,,,H
nZH6GWAc,06.02.2021 14:00,Basaksehir,Karagumruk,0,1,52%,48%,16,13,7,5,4,4,5,4,5,3,2,2,4,7,12,11,501,475,11,14,70,79,62,63,1,1,0,0,,,A
UeSieMvk,06.02.2021 11:30,Kasimpasa,Hatayspor,1,4,50%,50%,15,16,6,8,7,5,2,3,9,3,1,2,4,5,15,12,349,371,15,22,67,66,77,62,1,0,0,0,,,A
zFWW3gRi,04.02.2021 17:00,Trabzonspor,Denizlispor,1,0,61%,39%,25,4,5,3,11,1,9,0,5,5,0,0,3,4,6,18,573,361,23,23,111,77,73,49,0,3,0,0,,,H
zellbkeT,04.02.2021 14:00,Goztepe,Yeni Malatyaspor,2,2,66%,34%,25,10,7,5,10,3,8,2,10,2,2,2,3,5,18,14,506,270,12,12,86,62,89,35,0,1,0,0,,,D
8SUv2Xe4,03.02.2021 17:00,Antalyaspor,Besiktas,1,1,32%,68%,2,17,1,8,0,7,1,2,3,7,2,2,7,0,9,10,308,644,25,18,65,102,27,98,4,1,1,0,,,D
SUpt0BQG,03.02.2021 17:00,Konyaspor,Genclerbirligi,0,0,68%,32%,19,7,5,2,11,4,3,1,7,2,0,0,2,5,10,15,627,294,11,10,127,92,84,41,2,3,0,0,,,D
MippaVuN,03.02.2021 14:00,Karagumruk,Gaziantep,2,0,44%,56%,14,12,5,6,6,4,3,2,6,7,1,3,6,3,13,13,379,477,14,10,77,104,52,76,2,2,0,0,,,H
K6lptjZp,03.02.2021 14:00,Kayserispor,Alanyaspor,1,1,35%,65%,8,12,4,4,3,7,1,1,2,1,1,1,3,3,12,11,341,640,19,12,94,124,50,65,6,1,1,0,,,D
txRGg93p,03.02.2021 11:30,Sivasspor,Erzurumspor,0,0,54%,46%,8,9,3,3,4,5,1,1,4,5,2,2,3,3,19,19,370,304,13,16,123,100,86,77,1,1,0,0,,,D
lvnx1iBA,02.02.2021 17:00,Galatasaray,Basaksehir,3,0,55%,45%,11,10,5,3,4,3,2,4,6,5,3,1,3,2,6,10,482,400,17,13,104,100,66,44,1,2,0,0,,,H
MBSS4ZBo,02.02.2021 17:00,Rizespor,Kasimpasa,1,1,57%,43%,16,13,4,5,7,8,5,0,1,4,1,1,4,3,8,16,551,419,21,15,136,113,80,69,2,2,0,0,,,D
UyWz3Dtb,02.02.2021 14:00,Hatayspor,Fenerbahce,1,2,64%,36%,18,10,7,6,5,3,6,1,7,4,2,1,4,6,17,16,494,281,18,20,130,91,89,60,4,2,0,0,,,A
z1ibkfCb,31.01.2021 17:00,Besiktas,Trabzonspor,1,2,64%,36%,22,16,8,5,5,6,9,5,7,5,1,0,3,7,12,8,590,334,9,19,108,87,78,66,2,3,1,0,,,A
S895mYtB,31.01.2021 14:00,Alanyaspor,Sivasspor,3,1,46%,54%,9,11,4,4,4,5,1,2,1,5,2,3,3,1,15,15,374,427,13,15,96,110,49,80,2,1,0,0,,,H
OMNuXCdU,31.01.2021 14:00,Denizlispor,Goztepe,2,1,35%,65%,9,4,4,2,4,1,1,1,2,5,1,3,1,2,18,13,283,514,18,18,115,121,67,68,2,1,0,0,,,H
Ic2IpWQT,31.01.2021 14:00,Genclerbirligi,Antalyaspor,0,1,50%,50%,7,10,2,3,3,4,2,3,3,4,3,0,2,2,15,14,505,505,10,19,88,85,71,47,2,1,0,0,,,A
UNj2lER4,31.01.2021 11:30,Erzurumspor,Ankaragucu,1,0,43%,57%,11,6,5,2,4,2,2,2,3,4,4,0,2,4,26,17,260,343,18,22,86,85,59,61,7,6,1,2,,,H
vZckiGsn,30.01.2021 17:00,Fenerbahce,Rizespor,1,0,63%,37%,15,6,4,1,5,3,6,2,7,2,1,1,1,3,16,16,519,300,16,12,96,81,83,43,1,5,0,1,,,H
AXbAnhdH,30.01.2021 14:00,Basaksehir,Hatayspor,1,5,58%,42%,17,16,0,10,10,3,7,3,4,4,1,1,5,0,10,9,399,290,5,14,75,63,63,40,3,1,0,0,,,A
lOcEoCBN,30.01.2021 11:30,Kasimpasa,Kayserispor,0,1,57%,43%,15,15,4,5,3,5,8,5,3,5,0,3,4,4,17,14,492,368,9,19,111,102,70,59,2,0,0,0,,,A
dAhfjzch,29.01.2021 17:00,Gaziantep,Galatasaray,1,2,47%,53%,15,6,6,6,6,0,3,0,8,4,2,7,4,5,15,9,385,458,12,11,84,95,64,57,1,1,0,0,,,A
0raohdSu,29.01.2021 14:00,Yeni Malatyaspor,Karagumruk,0,0,33%,67%,6,16,1,7,4,5,1,4,7,7,1,3,7,1,13,9,208,436,10,16,87,82,54,77,3,1,1,0,,,D
KOsGxHSh,25.01.2021 17:00,Alanyaspor,Ankaragucu,4,3,64%,36%,24,9,7,5,7,3,10,1,13,4,0,1,2,3,12,17,459,262,7,27,84,66,99,45,1,3,0,0,,,H
AkhtqJkP,25.01.2021 17:00,Fenerbahce,Kayserispor,3,0,68%,32%,21,6,11,1,8,3,2,2,6,5,0,2,1,8,12,9,708,319,22,16,131,104,83,54,2,1,0,0,,,H
Cbv8vwbt,25.01.2021 14:00,Kasimpasa,Sivasspor,2,0,38%,62%,11,7,3,3,4,1,4,3,4,10,0,0,3,1,17,16,314,473,10,14,72,88,55,85,2,2,0,0,,,H
AJJyYhsO,24.01.2021 17:00,Besiktas,Goztepe,2,1,70%,30%,10,6,5,3,4,1,1,2,1,2,5,2,2,3,15,17,654,270,14,23,119,72,83,52,2,3,0,0,,,H
6LwCwcDn,24.01.2021 17:00,Gaziantep,Hatayspor,1,1,39%,61%,7,11,2,2,3,8,2,1,2,5,1,3,1,1,18,10,292,449,18,13,65,88,32,72,3,2,0,0,,,D
SfUWYYRH,24.01.2021 14:00,Denizlispor,Karagumruk,1,2,60%,40%,17,11,5,3,8,7,4,1,4,1,0,1,1,4,17,12,471,324,14,18,121,98,100,49,3,3,0,0,,,A
tvWOzec5,24.01.2021 14:00,Yeni Malatyaspor,Galatasaray,0,1,34%,66%,5,10,3,4,2,4,0,2,3,6,1,2,3,3,13,13,269,520,14,13,93,96,58,84,3,2,0,0,,,A
YX8cKZCO,24.01.2021 11:30,Konyaspor,Antalyaspor,0,0,51%,49%,8,6,0,3,4,2,4,1,6,2,0,4,3,0,8,12,543,517,7,16,84,67,63,39,1,1,0,0,,,D
l4VSZECB,23.01.2021 17:00,Basaksehir,Rizespor,1,1,75%,25%,17,4,4,1,6,3,7,0,9,1,0,0,0,3,13,10,597,207,6,12,112,53,111,28,2,2,0,0,,,D
2mXKyyra,23.01.2021 14:00,Genclerbirligi,Trabzonspor,1,2,36%,64%,13,14,2,8,7,4,4,2,5,5,6,0,6,1,10,13,318,602,20,21,76,102,62,86,2,2,0,0,,,A
0KAkMerC,21.01.2021 17:00,Ankaragucu,Kasimpasa,1,0,44%,56%,15,11,5,4,7,5,3,2,0,7,1,0,4,4,13,20,362,443,13,14,99,109,54,74,5,5,0,0,,,H
SUIxPcbg,21.01.2021 17:00,Sivasspor,Fenerbahce,1,1,45%,55%,11,8,4,4,3,2,4,2,7,3,2,2,3,3,15,11,396,501,17,15,120,146,65,74,2,1,0,0,,,D
fsAgLFcI,21.01.2021 14:00,Erzurumspor,Alanyaspor,1,1,35%,65%,3,6,2,2,1,3,0,1,1,9,0,2,1,1,16,11,309,583,18,13,55,87,50,78,4,2,0,1,,,D
6LHtOHDa,21.01.2021 14:00,Karagumruk,Besiktas,1,4,28%,72%,10,19,3,7,5,8,2,4,4,7,1,1,3,2,8,13,277,718,13,14,66,166,42,97,2,0,0,0,,,A
lp7oNyT5,20.01.2021 17:00,Galatasaray,Denizlispor,6,1,53%,47%,14,14,10,6,3,5,1,3,8,11,3,1,5,4,9,15,474,421,20,13,101,93,76,76,1,1,0,0,,,H
