id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Expected Goals (xG)_home,Expected Goals (xG)_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,result
jidAFKvj,22.05.2023 19:00,Trabzonspor,Karagumruk,4,1,46%,54%,12,9,6,3,4,4,2,2,11,15,2,1,2,4,13,21,2,3,13,7,114,124,60,80,0,0,1,0,,,,,,,,,H
C2UHYaoS,21.05.2023 19:00,Gaziantep,Giresunspor,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,A
YBVDZuWL,21.05.2023 19:00,Hatayspor,Fenerbahce,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,A
UseEEvfd,21.05.2023 18:00,Adana Demirspor,Besiktas,1,4,51%,49%,18,14,7,11,5,2,6,1,19,14,5,8,3,3,22,17,7,6,13,15,109,97,86,63,0,0,4,5,,,,,,,,,A
vDx5y219,21.05.2023 18:00,Antalyaspor,Basaksehir,0,0,35%,65%,15,5,9,4,5,0,1,1,10,15,6,2,3,3,23,23,4,9,12,7,83,95,64,37,0,0,0,2,,,,,,,,,D
pjw1xrn3,21.05.2023 15:00,Umraniyespor,Ankaragucu,1,2,56%,44%,17,17,4,8,8,4,5,5,11,14,4,9,3,1,18,27,6,3,11,11,95,94,49,72,0,0,2,2,,,,,,,,,A
6avcwOWd,20.05.2023 18:00,Galatasaray,Sivasspor,2,0,65%,35%,11,4,3,2,4,2,4,0,13,14,6,3,1,2,20,22,2,2,13,12,126,80,69,38,0,0,1,1,,,,,,,,,H
dUd6G0Pq,20.05.2023 18:00,Kayserispor,Alanyaspor,0,4,74%,26%,19,7,7,6,8,0,4,1,20,4,12,2,1,1,23,8,2,7,3,19,214,96,126,35,0,0,0,2,,,,,,,,,A
jmt9zMGF,20.05.2023 15:00,Kasimpasa,Istanbulspor AS,1,0,52%,48%,11,9,7,3,2,4,2,2,10,17,8,4,1,1,15,13,3,6,16,9,72,81,67,63,0,0,2,1,,,,,,,,,H
r3EJP42c,18.05.2023 19:00,Fenerbahce,Trabzonspor,3,1,58%,42%,13,9,9,6,4,3,0,0,16,10,9,3,1,2,14,33,5,6,10,14,135,122,62,40,0,0,0,2,,,,,,,,,H
x6NT2sep,17.05.2023 19:00,Ankaragucu,Antalyaspor,1,1,61%,39%,10,7,3,4,4,2,3,1,17,8,3,2,1,2,33,28,3,2,7,15,115,95,66,49,0,0,1,3,,,,,,,,,D
QR3OOOH3,17.05.2023 19:00,Besiktas,Gaziantep,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,H
K85vLtHS,17.05.2023 19:00,Giresunspor,Hatayspor,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,H
4I2SNrX9,17.05.2023 19:00,Karagumruk,Adana Demirspor,2,3,50%,50%,13,19,6,6,4,6,3,7,13,12,1,8,0,3,11,18,4,4,12,10,88,132,57,94,0,0,4,2,,,,,,,,,A
GdMX11Aj,17.05.2023 16:00,Basaksehir,Umraniyespor,1,1,33%,67%,6,14,3,4,2,8,1,2,10,13,3,4,1,4,23,23,3,2,13,7,91,153,50,119,1,0,2,1,,,,,,,,,D
xpGZLM1M,16.05.2023 19:00,Alanyaspor,Konyaspor,0,3,58%,42%,12,14,5,6,5,6,2,2,12,19,3,3,7,1,20,21,3,5,12,11,112,100,69,51,0,0,4,2,,,,,,,,,A
UaAFQpmi,16.05.2023 19:00,Istanbulspor AS,Galatasaray,0,2,45%,55%,9,20,1,5,6,8,2,7,11,15,3,9,5,0,18,14,3,1,12,10,93,112,38,74,0,1,3,1,,,,,,,,,A
bgHVM2nG,16.05.2023 16:00,Sivasspor,Kasimpasa,1,2,53%,47%,15,6,1,3,9,1,5,2,13,13,6,1,2,2,23,25,3,0,11,11,97,92,80,67,0,1,3,1,,,,,,,,,A
COwkAP2A,08.05.2023 19:00,Galatasaray,Basaksehir,1,0,61%,39%,19,8,5,5,14,3,,,,,10,4,2,3,,,5,4,10,5,143,89,80,37,0,0,2,1,,,,,,,,,H
UalpB5m4,08.05.2023 19:00,Trabzonspor,Ankaragucu,2,0,63%,37%,14,3,5,0,9,3,,,,,5,4,1,1,,,0,3,11,5,117,100,74,37,0,1,1,1,,,,,,,,,H
rqnYD73o,07.05.2023 19:00,Gaziantep,Karagumruk,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,A
Obsg9qIG,07.05.2023 19:00,Hatayspor,Istanbulspor AS,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,A
