id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Throw-ins_home,Throw-ins_away,result
Ucy3sLNt,11.05.2019 15:00,Rizespor,Galatasaray,2,3,50%,50%,13,12,3,5,9,4,1,3,11,19,3,1,3,1,2,1,17,10,5,1,309,317,252,244,9,20,70,75,58,58,1,0,,,A
CMQ7tuwm,10.05.2019 19:30,Antalyaspor,Bursaspor,0,1,57%,43%,3,16,1,5,2,10,0,1,21,14,0,8,2,1,4,1,13,20,4,3,489,358,379,260,8,9,100,91,64,77,1,0,,,A
KOPcYsoQ,06.05.2019 19:30,Alanyaspor,Konyaspor,2,4,64%,36%,18,8,7,4,10,3,1,1,15,19,11,6,2,2,0,5,16,13,3,6,428,248,344,158,14,14,125,100,103,63,0,0,,,A
x4CPT1gs,06.05.2019 19:30,Trabzonspor,Kayserispor,4,2,55%,45%,19,16,7,5,7,6,5,5,12,16,5,3,1,2,3,3,14,10,2,3,501,397,406,310,20,11,117,108,67,67,0,0,,,H
6LLgZNVJ,05.05.2019 18:00,Galatasaray,Besiktas,2,0,45%,55%,16,14,7,5,4,5,5,4,19,20,5,3,6,2,5,5,14,17,2,6,291,349,206,259,12,15,87,92,59,71,0,0,,,H
QPr7BKwD,05.05.2019 15:00,Akhisarspor,Yeni Malatyaspor,0,2,56%,44%,19,12,5,4,8,7,6,1,18,16,5,3,4,2,2,5,13,16,2,3,440,361,373,270,13,10,109,98,91,50,0,0,,,A
4GsBAvgJ,05.05.2019 15:00,Goztepe,Antalyaspor,4,1,52%,48%,17,9,11,1,1,4,5,4,9,8,6,0,2,1,0,7,7,9,0,6,475,444,407,377,11,11,80,67,76,42,0,1,,,H
GfBTSL8m,04.05.2019 18:00,Kasimpasa,Fenerbahce,1,3,38%,62%,9,14,2,6,6,5,1,3,16,17,5,9,2,5,3,1,15,12,5,0,335,547,270,470,6,15,92,95,48,81,0,0,,,A
v9paDt90,04.05.2019 15:00,Ankaragucu,Rizespor,2,2,45%,55%,10,16,3,5,5,7,2,4,14,15,7,4,1,1,3,1,15,13,5,2,345,442,266,350,19,13,110,134,86,88,0,0,,,D
Iaq3C0O6,04.05.2019 15:00,Erzurumspor,Bursaspor,2,0,56%,44%,8,15,3,2,3,8,2,5,13,12,4,7,2,2,2,1,9,11,3,2,447,334,343,221,12,25,118,108,58,60,0,0,,,H
dpefEMgf,03.05.2019 19:30,Sivasspor,Basaksehir,0,0,37%,63%,5,12,1,5,3,5,1,2,18,16,2,9,0,3,5,1,15,16,3,4,381,640,274,550,19,14,97,114,42,82,0,0,,,D
lKinGrPs,29.04.2019 19:00,Konyaspor,Galatasaray,0,0,34%,66%,4,11,2,0,1,7,1,4,8,10,4,7,2,2,0,2,8,6,1,1,320,625,231,553,11,5,94,143,49,102,0,0,,,D
nB5KKOGQ,29.04.2019 19:00,Yeni Malatyaspor,Kasimpasa,2,1,50%,50%,12,12,5,6,4,3,3,3,15,13,12,3,3,1,5,3,9,15,3,5,416,420,310,348,17,12,84,85,60,41,0,0,,,H
IuHH03Pf,28.04.2019 18:00,Besiktas,Ankaragucu,4,1,45%,55%,10,15,5,8,3,3,2,4,20,15,2,9,1,3,7,1,15,18,2,3,342,400,242,309,18,12,109,109,51,88,0,0,,,H
UZAFL41K,28.04.2019 15:00,Bursaspor,Akhisarspor,0,0,56%,44%,20,11,2,2,15,7,3,2,16,17,7,4,0,2,2,2,17,14,1,3,427,353,318,221,16,12,116,85,90,52,0,0,,,D
ve5Qbsf7,28.04.2019 15:00,Kayserispor,Alanyaspor,1,1,52%,48%,13,15,7,3,3,8,3,4,18,18,2,6,2,2,2,6,16,16,2,3,363,323,280,243,18,27,89,59,65,51,0,0,,,D
dWFLaNv1,27.04.2019 18:00,Fenerbahce,Trabzonspor,1,1,57%,43%,16,17,5,5,7,6,4,6,21,17,5,2,1,1,4,4,17,20,5,2,456,364,361,273,20,27,122,103,94,47,1,0,,,D
jqCBMpnE,27.04.2019 15:00,Antalyaspor,Erzurumspor,1,1,54%,46%,11,17,2,4,5,8,4,5,8,13,2,5,5,1,3,1,7,8,1,1,520,433,455,370,13,9,85,81,63,72,0,0,,,D
xtOTc19D,27.04.2019 15:00,Rizespor,Sivasspor,0,0,66%,34%,23,6,5,3,12,1,6,2,12,12,5,2,2,1,3,5,10,11,1,3,670,347,572,245,15,20,155,107,116,68,0,0,,,D
rsijF2vl,26.04.2019 19:30,Basaksehir,Goztepe,0,2,74%,26%,23,8,5,4,12,3,6,1,12,16,9,1,6,2,2,5,11,10,2,1,752,268,661,175,10,15,123,88,98,36,0,0,,,A
Aegp0WYq,22.04.2019 19:00,Sivasspor,Besiktas,1,2,35%,65%,8,21,4,6,3,11,1,4,17,20,4,8,2,2,4,3,18,15,1,3,299,570,206,478,18,19,97,147,62,92,0,0,,,A
l6CD1qAl,21.04.2019 18:00,Alanyaspor,Fenerbahce,1,0,46%,54%,25,7,8,1,11,4,6,2,16,17,10,4,5,2,1,7,12,14,0,1,361,436,280,320,17,17,115,114,88,59,0,0,,,H
UHauKiQF,21.04.2019 15:00,Basaksehir,Rizespor,1,1,62%,38%,16,9,5,1,6,6,5,2,20,13,7,2,0,2,0,4,14,19,0,4,549,334,412,238,16,16,105,77,99,61,0,0,,,D
AFD92Pfr,21.04.2019 12:30,Ankaragucu,Konyaspor,0,0,58%,42%,12,12,5,1,6,5,1,6,16,19,1,4,2,1,1,5,15,15,1,2,467,340,346,213,18,19,86,83,52,53,0,0,,,D
4Ihlajlj,20.04.2019 18:00,Galatasaray,Kayserispor,3,1,74%,26%,17,11,7,5,6,5,4,1,18,12,6,3,3,3,4,4,9,16,3,5,710,248,642,193,9,10,98,70,70,34,0,1,,,H
GEeyLXA9,20.04.2019 18:00,Goztepe,Erzurumspor,0,1,50%,50%,22,11,5,6,10,4,7,1,14,19,11,6,3,2,5,5,17,12,2,3,417,437,311,326,16,12,117,114,108,68,0,0,,,A
MidXLDe3,20.04.2019 15:00,Akhisarspor,Antalyaspor,1,2,65%,35%,21,10,9,6,11,4,1,0,9,18,17,1,3,1,4,8,15,8,2,2,536,307,453,231,13,17,140,87,147,34,0,0,,,A
r1cTMgtc,20.04.2019 15:00,Trabzonspor,Yeni Malatyaspor,2,1,62%,38%,20,11,8,3,8,6,4,2,15,14,7,3,1,0,2,6,13,15,2,3,538,333,473,252,18,32,96,79,64,49,0,1,,,H
r9ihbA3d,19.04.2019 19:30,Kasimpasa,Bursaspor,1,1,50%,50%,10,17,2,5,5,9,3,3,16,18,3,4,2,1,4,1,16,15,2,1,409,410,277,266,18,14,92,116,65,102,0,0,,,D
CKD96YeG,15.04.2019 19:00,Erzurumspor,Akhisarspor,2,1,48%,52%,16,13,5,8,11,3,0,2,14,11,6,3,0,5,7,3,11,9,1,2,418,461,333,360,11,12,105,108,78,73,0,0,,,H
YZ1I4CQS,14.04.2019 18:00,Fenerbahce,Galatasaray,1,1,37%,63%,6,14,2,2,4,7,0,5,13,18,2,5,3,2,1,1,14,12,5,4,299,517,205,434,20,11,86,120,43,88,1,0,,,D
I1U6nD4p,14.04.2019 15:00,Antalyaspor,Kasimpasa,1,0,36%,64%,10,25,5,7,3,14,2,4,17,17,4,5,0,4,7,4,15,11,2,2,263,433,188,357,16,23,81,97,55,93,1,0,,,H
jBCD5hBM,14.04.2019 15:00,Yeni Malatyaspor,Alanyaspor,1,1,60%,40%,18,8,5,4,7,3,6,1,14,14,3,4,0,1,3,4,14,15,1,5,426,284,359,200,12,24,120,85,111,46,1,1,,,D
MVKd9zCc,14.04.2019 12:30,Kayserispor,Ankaragucu,0,2,57%,43%,12,12,3,6,4,4,5,2,13,9,2,6,2,0,4,3,6,13,0,1,497,365,409,283,21,13,123,105,77,63,0,0,,,A
ro957EtA,13.04.2019 18:00,Besiktas,Basaksehir,2,1,47%,53%,15,12,6,5,8,4,1,3,19,16,10,4,0,1,4,4,14,16,2,2,398,477,311,367,15,17,113,114,77,67,0,0,,,H
4fA18fR3,13.04.2019 15:00,Konyaspor,Sivasspor,1,1,45%,55%,6,8,3,3,3,1,0,4,14,15,0,4,2,4,2,2,10,10,2,1,471,455,347,319,17,19,142,128,66,72,0,0,,,D
AeHhAGdi,13.04.2019 15:00,Rizespor,Goztepe,1,0,56%,44%,15,8,8,2,5,1,2,5,16,19,3,6,1,1,2,7,18,15,2,1,451,352,359,258,26,20,129,123,72,80,0,0,,,H
dhTAoXJj,12.04.2019 19:30,Bursaspor,Trabzonspor,0,1,52%,48%,18,11,3,3,9,6,6,2,12,19,10,7,2,1,2,3,18,11,3,3,370,348,272,248,32,23,106,88,90,52,0,0,,,A
4flWhFRG,08.04.2019 19:00,Rizespor,Besiktas,2,7,60%,40%,19,11,6,11,9,0,4,0,11,14,3,2,6,2,4,4,8,10,1,2,528,363,427,273,13,13,112,108,84,46,0,0,,,A
bHmzhZtN,07.04.2019 18:00,Basaksehir,Konyaspor,2,0,63%,37%,15,13,4,4,4,7,7,2,13,14,8,5,5,3,4,2,9,11,1,2,614,357,520,273,15,14,90,85,71,48,0,0,,,H
x8nvigdT,07.04.2019 15:00,Ankaragucu,Fenerbahce,1,1,36%,64%,12,14,3,6,6,5,3,3,8,23,5,7,3,0,5,2,20,8,4,3,302,533,228,447,14,16,76,100,51,79,1,1,,,D
jipSgeCA,07.04.2019 15:00,Goztepe,Akhisarspor,0,1,57%,43%,19,12,5,3,10,6,4,3,18,16,14,7,1,3,2,5,15,15,3,3,481,369,388,271,18,15,111,88,108,68,0,0,,,A
8SfNfyc4,07.04.2019 12:30,Kasimpasa,Erzurumspor,2,1,41%,59%,19,13,5,3,9,6,5,4,11,17,6,4,2,0,2,3,15,11,1,1,373,528,297,454,20,10,86,99,62,61,0,0,,,H
z1sGdcSi,06.04.2019 18:00,Galatasaray,Yeni Malatyaspor,3,0,67%,33%,25,8,6,2,8,3,11,3,13,12,12,1,2,1,2,3,9,14,2,2,499,257,429,175,17,20,114,68,118,61,0,0,,,H
dArCcwDo,06.04.2019 15:00,Alanyaspor,Bursaspor,1,0,56%,44%,18,10,4,3,8,3,6,4,13,17,4,2,3,0,3,3,15,13,6,2,398,321,292,196,17,23,92,85,72,64,0,0,,,H
f54TYgzo,06.04.2019 15:00,Sivasspor,Kayserispor,1,3,58%,42%,17,10,8,8,5,1,4,1,13,14,4,4,1,2,5,7,14,14,2,3,474,341,390,250,13,19,113,101,100,62,0,0,,,A
UydJeHsb,05.04.2019 19:30,Trabzonspor,Antalyaspor,4,1,61%,39%,21,12,7,3,7,8,7,1,15,12,8,1,1,3,2,3,12,12,1,1,531,347,444,268,24,22,99,63,91,41,0,0,,,H
r7Ixqvbh,17.03.2019 17:00,Bursaspor,Galatasaray,2,3,44%,56%,13,9,5,3,6,5,2,1,9,13,5,3,1,1,0,3,14,8,2,6,370,470,276,379,21,15,128,145,86,92,0,0,,,A
MiUTp0Tu,17.03.2019 14:00,Kayserispor,Basaksehir,1,1,29%,71%,12,34,6,10,5,19,1,5,10,15,1,15,2,0,9,5,14,9,3,1,246,592,166,523,16,12,74,131,33,129,0,0,,,D
fsMtrbDb,17.03.2019 11:30,Yeni Malatyaspor,Ankaragucu,3,1,43%,57%,8,11,4,3,3,7,1,1,17,13,4,4,1,4,2,1,12,15,2,2,354,484,268,383,11,14,85,96,55,62,0,0,,,H
OMDcvGCN,16.03.2019 17:00,Antalyaspor,Alanyaspor,3,0,40%,60%,9,12,4,5,3,7,2,0,12,18,1,5,1,2,5,1,17,10,3,2,355,505,264,406,14,13,77,110,34,94,0,0,,,H
IqD1wzST,16.03.2019 17:00,Besiktas,Goztepe,1,0,65%,35%,6,13,1,5,2,6,3,2,15,23,3,4,3,2,5,0,20,13,0,2,621,317,526,229,14,17,135,108,74,76,0,0,,,H
0rTXqKrn,16.03.2019 14:00,Akhisarspor,Kasimpasa,2,3,45%,55%,15,16,7,7,5,5,3,4,14,13,7,6,2,0,4,5,11,15,1,0,418,511,312,418,15,20,100,101,68,81,0,0,,,A
pWEgudcH,16.03.2019 14:00,Erzurumspor,Trabzonspor,0,1,53%,47%,20,13,7,3,8,10,5,0,13,13,3,4,1,2,2,7,11,13,2,3,450,395,372,311,22,20,99,95,78,55,0,0,,,A
SfKltxrB,16.03.2019 11:30,Konyaspor,Rizespor,0,2,47%,53%,9,10,1,4,5,4,3,2,14,13,6,3,1,2,2,1,16,17,1,2,432,504,331,397,21,16,83,83,74,49,1,0,,,A
l4LpsIS4,15.03.2019 18:30,Fenerbahce,Sivasspor,2,1,57%,43%,15,11,5,2,8,5,2,4,26,11,9,7,2,4,1,3,10,20,3,2,474,352,376,255,26,18,98,99,72,68,0,0,,,H
2mc3Uvqa,11.03.2019 18:00,Galatasaray,Antalyaspor,5,0,59%,41%,15,14,7,7,5,6,3,1,12,8,6,6,3,1,7,2,5,11,2,1,491,333,414,269,26,17,97,109,70,67,0,0,,,H
l4aFRxTH,10.03.2019 17:00,Besiktas,Konyaspor,3,2,62%,38%,20,4,12,3,7,1,1,0,23,16,9,1,2,4,1,9,14,20,2,3,605,392,501,283,10,7,161,110,118,44,0,0,,,H
z1eBSIDB,10.03.2019 14:00,Goztepe,Kasimpasa,0,0,56%,44%,12,4,2,2,8,1,2,1,27,17,7,1,3,2,2,2,14,25,1,3,446,349,354,252,22,23,109,106,81,53,0,0,,,D
WSlKQdrO,10.03.2019 14:00,Rizespor,Kayserispor,3,0,49%,51%,12,16,6,4,4,10,2,2,10,17,4,5,3,0,4,3,14,10,3,1,420,430,328,338,12,6,84,107,56,65,0,0,,,H
ros2W0En,10.03.2019 11:30,Alanyaspor,Erzurumspor,2,1,53%,47%,18,6,6,3,8,2,4,1,18,18,6,2,6,0,2,4,13,21,1,2,419,377,346,278,10,15,115,117,99,77,0,0,,,H
AJmOPGcU,09.03.2019 17:00,Ankaragucu,Bursaspor,0,0,53%,47%,10,12,4,2,5,6,1,4,8,11,5,4,0,2,2,4,11,7,1,1,457,392,337,287,10,17,114,117,63,71,0,0,,,D
Myt6VKTh,09.03.2019 17:00,Basaksehir,Fenerbahce,2,1,44%,56%,17,12,3,4,9,6,5,2,12,16,3,4,3,2,3,1,14,10,2,2,423,524,340,446,14,21,108,88,73,58,0,0,,,H
tvd7Tbb5,09.03.2019 14:00,Trabzonspor,Akhisarspor,2,1,59%,41%,17,10,8,4,8,5,1,1,20,21,7,0,1,0,3,6,20,21,5,3,489,343,403,268,15,8,109,77,89,54,0,0,,,H
lOsbXtat,08.03.2019 18:30,Sivasspor,Yeni Malatyaspor,2,0,47%,53%,13,10,5,3,6,6,2,1,17,20,6,10,1,1,3,3,18,17,1,3,353,406,247,296,16,8,104,99,63,55,0,0,,,H
djxrR5x7,04.03.2019 18:00,Akhisarspor,Alanyaspor,3,1,48%,52%,8,8,4,1,2,7,2,0,22,22,5,4,1,1,1,1,20,21,1,2,423,457,302,344,11,22,138,141,87,74,0,0,,,H
8GQRUmwr,04.03.2019 18:00,Kasimpasa,Trabzonspor,2,2,52%,48%,14,10,8,5,5,5,1,0,12,14,6,1,0,0,3,6,13,12,3,2,534,502,447,408,29,16,114,106,82,54,0,0,,,D
zsynQPiD,03.03.2019 17:00,Erzurumspor,Galatasaray,1,1,47%,53%,18,14,6,4,7,7,5,3,2,7,6,9,4,1,3,5,11,11,0,1,331,379,252,288,16,19,84,93,77,95,0,0,,,D
lQYZSR7f,03.03.2019 14:00,Yeni Malatyaspor,Basaksehir,0,2,41%,59%,9,9,2,5,6,4,1,0,15,10,4,3,1,3,3,2,10,12,2,3,331,470,240,375,11,12,92,103,59,53,0,0,,,A
xnFUl9UD,03.03.2019 11:30,Konyaspor,Goztepe,1,1,57%,43%,13,12,7,2,1,7,5,3,15,13,3,5,0,5,1,6,14,11,3,4,503,369,406,276,20,19,85,71,79,70,0,1,,,D
jyv0ZTUQ,02.03.2019 17:00,Fenerbahce,Rizespor,3,2,60%,40%,22,9,7,4,8,5,7,0,17,14,9,2,1,4,2,4,13,13,2,4,529,360,437,266,9,15,116,89,84,43,0,1,,,H
61qVT7hl,02.03.2019 14:00,Bursaspor,Sivasspor,3,2,53%,47%,12,4,5,3,5,1,2,0,12,21,7,1,1,2,1,2,21,10,3,1,454,408,356,315,21,12,102,81,62,39,0,0,,,H
SGXwSoN0,02.03.2019 14:00,Kayserispor,Besiktas,2,2,40%,60%,14,10,5,4,5,5,4,1,14,18,4,7,4,3,2,3,16,11,3,3,318,470,211,378,13,17,87,107,57,67,0,0,,,D
CpudzAFK,01.03.2019 18:30,Antalyaspor,Ankaragucu,2,4,56%,44%,17,10,5,4,8,3,4,3,24,9,4,4,1,1,0,3,8,23,3,6,423,342,342,248,11,14,112,96,65,48,0,0,,,A
GIomxWp8,25.02.2019 19:00,Besiktas,Fenerbahce,3,3,39%,61%,9,16,5,4,3,8,1,4,17,22,3,5,0,1,1,2,22,19,2,4,317,482,209,371,18,19,101,110,57,69,0,0,,,D
f9piyj0E,24.02.2019 17:00,Basaksehir,Bursaspor,3,0,47%,53%,11,14,6,3,4,8,1,3,15,14,3,5,1,3,3,3,13,13,0,2,407,456,243,282,19,5,102,138,50,98,0,0,,,H
lCg1ESh1,24.02.2019 17:00,Galatasaray,Akhisarspor,1,0,72%,28%,21,4,6,1,9,2,6,1,28,15,15,2,0,4,1,5,15,24,2,6,603,237,516,165,12,13,96,79,113,43,0,0,,,H
2Fc5Dn87,24.02.2019 14:00,Konyaspor,Kayserispor,0,1,62%,38%,8,10,1,2,4,5,3,3,14,9,6,4,2,4,1,1,7,10,2,1,619,362,523,262,15,22,123,99,75,52,0,0,,,A
6m4dF8we,24.02.2019 11:30,Ankaragucu,Erzurumspor,2,1,54%,46%,14,14,6,6,7,3,1,5,12,27,2,6,4,2,5,4,23,12,2,2,458,388,340,266,19,12,87,107,59,59,0,1,,,H
zaUHMjoL,23.02.2019 14:00,Alanyaspor,Kasimpasa,3,0,52%,48%,19,5,9,2,8,3,2,0,21,20,5,6,4,7,2,6,16,16,3,2,486,443,378,340,25,16,99,109,78,57,0,1,,,H
Sd5hGlOl,23.02.2019 11:30,Sivasspor,Antalyaspor,1,2,55%,45%,11,8,4,4,5,4,2,0,6,17,7,5,0,3,2,3,17,9,1,2,514,431,392,333,13,24,99,93,62,53,0,0,,,A
INJMLA0R,22.02.2019 18:30,Goztepe,Trabzonspor,1,3,55%,45%,8,13,1,6,5,6,2,1,8,13,10,3,0,0,3,0,13,9,2,1,515,417,382,321,18,17,100,79,90,53,0,0,,,A
KW5lHU8r,22.02.2019 18:30,Rizespor,Yeni Malatyaspor,3,0,58%,42%,14,11,6,3,5,5,3,3,19,13,3,2,3,0,3,3,11,18,2,3,539,387,420,261,10,13,101,93,63,53,0,0,,,H
AcdPG0c2,18.02.2019 18:00,Antalyaspor,Basaksehir,0,1,40%,60%,8,17,3,8,4,6,1,3,19,12,8,5,2,4,7,3,12,15,3,2,316,485,242,398,17,16,87,103,62,66,0,0,,,A
Q9fDJ2Dq,17.02.2019 17:00,Kasimpasa,Galatasaray,1,4,35%,65%,13,10,5,6,6,3,2,1,11,18,8,4,2,1,2,4,16,10,3,5,340,666,275,597,15,19,78,120,82,72,0,0,,,A
xpbHIMSk,17.02.2019 14:00,Kayserispor,Goztepe,2,1,45%,55%,15,8,4,2,8,1,3,5,10,12,3,5,2,0,1,2,10,10,4,1,394,469,311,375,14,19,111,131,60,60,0,0,,,H
KSHpOr5S,17.02.2019 14:00,Trabzonspor,Alanyaspor,0,2,62%,38%,13,10,2,6,3,2,8,2,16,21,4,2,2,0,4,2,17,17,1,2,549,329,450,233,24,42,102,89,79,66,0,0,,,A
W6cLHtrd,17.02.2019 11:30,Erzurumspor,Sivasspor,4,2,45%,55%,12,18,6,6,3,9,3,3,15,12,2,5,2,1,4,2,15,13,2,5,329,396,247,306,24,19,98,101,67,73,0,0,,,H
MeQDNWVE,16.02.2019 17:00,Fenerbahce,Konyaspor,1,1,68%,32%,18,3,3,2,7,1,8,0,11,23,11,3,7,1,1,2,16,10,3,1,575,278,493,182,14,8,91,82,80,22,0,1,,,D
