id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
Wvm6yKel,03.03.2024 11:30,Pendikspor,Konyaspor,0,2,1.25,1.97,51%,49%,9,13,0,5,7,6,2,2,22,16,4,4,1,2,16,18,3,0,16,20,5,5,109,97,46,34,0,0,A
xvVXgSBF,02.03.2024 17:00,Hatayspor,Fenerbahce,0,2,0.68,2.61,48%,52%,10,14,1,6,6,4,3,4,16,15,3,4,1,2,16,26,4,1,14,14,1,5,82,84,38,34,0,0,A
tCa3vmCS,02.03.2024 14:00,Rizespor,Kayserispor,3,0,1.71,1.39,49%,51%,21,14,8,6,9,8,4,0,12,13,3,2,2,0,16,20,6,5,11,13,1,4,97,94,53,38,0,0,H
rLoVZ6Kq,02.03.2024 11:30,Ankaragucu,Istanbulspor AS,1,1,1.14,0.86,54%,46%,15,14,5,6,9,7,1,1,13,5,10,2,1,1,22,17,5,4,4,12,3,4,125,71,62,30,1,1,D
Iyq2x0tr,01.03.2024 18:00,Kasimpasa,Sivasspor,0,0,1.10,0.42,60%,40%,17,7,3,3,7,2,7,2,12,17,5,1,1,2,22,22,3,3,16,10,2,1,140,78,53,24,0,0,D
xK2nrVC3,26.02.2024 18:00,Galatasaray,Antalyaspor,2,1,3.62,0.86,54%,46%,14,15,8,4,5,5,1,6,12,19,5,6,5,1,32,21,3,6,14,14,2,4,106,92,39,40,0,0,H
jN6jskS9,25.02.2024 17:00,Istanbulspor AS,Besiktas,0,2,0.86,0.88,49%,51%,17,15,5,6,5,8,7,1,16,10,4,7,2,1,14,16,4,5,8,15,1,3,92,123,52,64,0,0,A
lbQeL75j,25.02.2024 14:00,Karagumruk,Alanyaspor,1,1,1.04,1.88,35%,65%,5,20,1,6,4,9,0,5,12,4,1,11,1,2,8,12,5,0,10,14,3,2,77,132,16,97,1,0,D
G4Ewpiri,25.02.2024 14:00,Trabzonspor,Adana Demirspor,1,0,0.92,0.81,49%,51%,17,13,8,3,7,5,2,5,18,18,4,5,3,1,19,15,3,7,15,17,2,3,102,93,47,36,0,1,H
4QlPQTsT,25.02.2024 11:30,Sivasspor,Pendikspor,4,1,1.67,0.98,39%,61%,11,12,5,5,3,4,3,3,15,12,3,3,2,1,11,21,4,1,10,14,2,4,69,128,28,47,0,0,H
