id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
K4HqlrN3,14.01.2024 14:00,Antalyaspor,Trabzonspor,1,1,1.42,0.29,61%,39%,14,4,3,2,6,2,5,0,9,17,6,2,1,0,28,21,1,2,17,9,1,0,86,55,71,33,0,0,D
GWAhnMiG,14.01.2024 14:00,Samsunspor,Sivasspor,2,0,1.10,0.23,49%,51%,16,6,10,2,1,4,5,0,13,22,5,2,1,2,17,14,2,8,22,10,5,0,113,95,79,47,1,1,H
fN9dot7M,14.01.2024 11:30,Istanbulspor AS,Konyaspor,0,0,1.93,0.39,54%,46%,19,8,7,1,10,6,2,1,10,16,8,3,2,2,26,22,1,7,14,7,2,1,111,134,71,50,0,0,D
QsIukO7c,13.01.2024 17:00,Besiktas,Karagumruk,3,0,1.80,0.33,47%,53%,19,7,6,3,9,2,4,2,9,19,6,4,0,0,21,17,3,3,17,9,3,0,97,118,38,39,0,0,H
CvEyj4hi,13.01.2024 17:00,Rizespor,Adana Demirspor,1,0,1.77,0.48,48%,52%,15,15,6,3,4,6,5,6,12,20,9,4,1,1,30,24,3,5,19,11,1,0,94,146,47,42,0,0,H
AZZhRKFj,13.01.2024 14:00,Basaksehir,Alanyaspor,3,2,0.83,1.86,55%,45%,11,13,6,3,3,6,2,4,13,23,4,3,5,2,8,23,1,3,19,12,1,1,99,93,22,29,0,0,H
WrykS00p,13.01.2024 11:30,Ankaragucu,Kasimpasa,3,1,2.40,1.55,43%,57%,12,16,8,2,4,13,0,1,15,17,2,5,3,0,25,23,1,5,14,15,1,1,81,136,29,57,0,0,H
QqDLqTVH,13.01.2024 11:30,Hatayspor,Pendikspor,1,1,0.88,1.42,53%,47%,8,12,4,2,2,7,2,3,10,12,4,6,4,0,27,24,1,3,8,10,4,1,83,113,49,50,0,0,D
Cx1wGcBK,11.01.2024 18:00,Trabzonspor,Samsunspor,2,1,1.14,2.29,60%,40%,13,19,7,8,6,5,0,6,21,13,5,1,4,2,30,22,7,5,12,19,3,1,99,101,37,30,0,0,H
dAxAAyZs,11.01.2024 15:00,Sivasspor,Galatasaray,1,1,1.79,1.97,41%,59%,14,21,5,8,7,5,2,8,20,11,4,8,2,1,24,21,7,4,9,21,0,3,84,122,49,41,0,1,D
QL2VHJt8,10.01.2024 18:00,Adana Demirspor,Istanbulspor AS,2,2,1.46,1.17,59%,41%,18,13,7,5,2,5,9,3,19,10,7,7,4,4,23,14,3,5,6,15,0,3,128,69,50,29,0,0,D
jTasFHQQ,10.01.2024 18:00,Fenerbahce,Konyaspor,7,1,5.40,0.11,63%,37%,17,6,11,1,5,1,1,4,8,17,7,0,3,1,13,16,0,4,14,8,1,2,128,65,51,14,0,0,H
zXZxCThk,10.01.2024 15:00,Hatayspor,Gaziantep,0,0,0.52,0.15,58%,42%,14,7,7,2,4,3,3,2,5,18,5,5,4,1,22,7,2,7,14,4,3,0,137,66,76,21,0,0,D
4C1ZGwdE,10.01.2024 15:00,Karagumruk,Kayserispor,4,1,1.15,1.84,45%,55%,15,14,10,6,2,7,3,1,8,9,5,3,2,1,28,28,5,6,9,6,0,2,100,102,40,47,0,0,H
8pYpA7N1,09.01.2024 18:00,Kasimpasa,Basaksehir,0,3,0.58,2.35,54%,46%,15,7,1,5,5,0,9,2,17,17,6,3,1,5,25,17,2,1,16,12,2,1,106,77,50,22,0,0,A
ADtE9ell,09.01.2024 18:00,Rizespor,Besiktas,0,4,1.39,1.68,55%,45%,28,15,7,7,8,2,13,6,16,13,10,5,3,1,18,15,3,7,10,15,3,1,96,84,63,41,0,0,A
Mmxk9Rx8,09.01.2024 15:00,Alanyaspor,Ankaragucu,1,1,,,63%,37%,8,11,3,3,1,5,4,3,11,11,3,3,1,2,27,29,2,2,10,10,3,2,121,87,57,32,1,1,D
ENYtBm8e,09.01.2024 15:00,Pendikspor,Antalyaspor,0,1,1.41,1.53,54%,46%,14,12,3,2,9,6,2,4,16,13,5,7,3,0,39,19,1,3,10,16,2,4,139,92,67,36,0,0,A
YklrW91I,07.01.2024 17:00,Galatasaray,Konyaspor,3,0,2.77,0.57,58%,42%,27,7,9,4,14,3,4,0,16,21,13,3,2,2,24,18,4,6,20,14,3,3,117,77,64,25,0,0,H
jRbwXknC,07.01.2024 14:00,Istanbulspor AS,Fenerbahce,1,5,0.78,3.13,45%,55%,15,23,8,15,2,5,5,3,13,15,4,8,1,2,16,15,10,7,12,13,3,1,84,113,42,56,0,0,A
Cz0ZXVW5,07.01.2024 11:30,Kayserispor,Sivasspor,1,3,1.48,2.13,61%,39%,15,10,3,5,7,4,5,1,14,7,7,7,0,3,25,12,2,2,8,11,4,3,106,66,71,29,0,0,A
jRK8nVoa,06.01.2024 17:00,Ankaragucu,Trabzonspor,0,1,0.72,0.86,58%,42%,16,10,2,2,10,3,4,5,9,21,4,3,3,1,16,14,1,2,18,8,1,1,109,85,45,32,0,0,A
pQinVTGO,06.01.2024 17:00,Samsunspor,Karagumruk,1,0,1.51,0.23,45%,55%,12,7,4,1,5,4,3,2,15,24,3,5,2,2,17,29,1,3,22,14,2,3,92,109,36,35,0,0,H
0xSekX1t,06.01.2024 14:00,Basaksehir,Adana Demirspor,0,0,0.83,0.80,57%,43%,8,11,1,4,7,4,0,3,10,14,6,6,4,0,21,13,4,1,11,12,3,0,97,87,50,36,0,0,D
4UOCok15,06.01.2024 11:30,Rizespor,Hatayspor,2,0,0.85,0.74,40%,60%,10,16,3,0,4,10,3,6,13,14,3,4,3,3,17,22,0,1,11,10,0,2,73,117,32,42,0,0,H
IDM0liHn,05.01.2024 18:00,Antalyaspor,Alanyaspor,0,0,1.06,1.47,46%,54%,11,8,2,2,7,5,2,1,11,15,9,5,1,1,25,19,2,2,15,12,2,0,87,78,34,32,0,0,D
d4L4mBWh,05.01.2024 18:00,Besiktas,Kasimpasa,1,3,0.77,1.27,54%,46%,10,14,3,7,3,7,4,0,14,24,4,3,4,1,28,22,4,2,20,13,2,2,87,88,34,40,0,0,A
bTuUgDgP,05.01.2024 15:00,Gaziantep,Pendikspor,2,2,0.63,2.05,49%,51%,9,8,2,4,3,2,4,2,23,8,1,5,2,7,24,31,2,0,7,16,2,6,107,103,31,51,0,0,D
vgf0Lhm0,25.12.2023 18:00,Hatayspor,Besiktas,1,2,0.56,1.31,48%,52%,7,15,2,7,1,2,4,6,10,13,5,8,2,1,25,21,5,1,11,9,1,1,86,96,45,40,0,0,A
hdb4KC26,25.12.2023 18:00,Pendikspor,Ankaragucu,1,1,1.32,0.46,55%,45%,14,8,4,1,5,4,5,3,13,14,5,3,4,1,23,25,0,3,10,12,0,3,128,67,58,17,0,0,D
Q9dCIjXI,25.12.2023 15:00,Alanyaspor,Samsunspor,3,1,2.70,0.96,53%,47%,15,17,7,3,6,11,2,3,21,12,3,4,3,2,19,21,2,4,9,19,1,4,84,113,36,47,0,0,H
nJc8JWHC,25.12.2023 15:00,Kasimpasa,Rizespor,2,2,1.50,1.57,49%,51%,21,11,9,3,8,4,4,4,16,10,3,4,1,1,10,26,1,7,9,16,0,1,114,84,54,33,0,0,D
Mo7MzYnm,24.12.2023 17:00,Fenerbahce,Galatasaray,0,0,0.30,0.40,49%,51%,6,8,0,1,6,7,0,0,27,20,2,6,1,1,25,29,1,0,19,26,3,4,87,89,44,35,0,0,D
CCHnszAJ,24.12.2023 14:00,Adana Demirspor,Antalyaspor,2,1,1.35,1.64,44%,56%,6,22,2,3,3,10,1,9,11,15,1,10,0,1,19,27,2,0,17,10,4,2,78,134,19,55,0,0,H
r1eVYBHa,24.12.2023 11:30,Konyaspor,Kayserispor,2,0,1.94,0.90,43%,57%,11,13,4,4,3,5,4,4,18,9,2,5,2,1,16,19,4,2,6,19,1,4,87,91,30,24,0,0,H
8r3IyEXt,23.12.2023 17:00,Trabzonspor,Basaksehir,1,1,1.21,0.95,57%,43%,18,6,4,1,7,2,7,3,21,14,5,6,1,3,15,18,0,3,13,18,0,2,104,83,39,17,0,0,D
j3GjtfPP,23.12.2023 14:00,Karagumruk,Gaziantep,0,3,1.46,1.96,62%,38%,9,7,3,3,5,2,1,2,10,18,2,3,3,1,17,26,0,3,15,9,3,1,135,61,61,37,0,0,A
4AdRZi2g,23.12.2023 11:30,Sivasspor,Istanbulspor AS,1,0,1.21,0.25,44%,56%,16,6,6,0,8,4,2,2,13,7,9,7,0,1,13,17,0,5,7,12,0,2,89,108,39,42,0,0,H
Iw6iNEIm,21.12.2023 18:00,Ankaragucu,Hatayspor,0,0,1.35,0.73,50%,50%,13,11,4,5,4,2,5,4,13,11,6,5,2,0,17,22,5,4,9,15,0,2,76,87,47,52,0,0,D
l41mOf3s,21.12.2023 18:00,Besiktas,Alanyaspor,1,3,1.74,1.85,59%,41%,16,10,3,3,3,3,10,4,8,15,10,3,0,1,23,13,0,2,16,7,3,2,118,84,103,37,0,0,A
dU4eMYXg,21.12.2023 15:00,Rizespor,Pendikspor,5,1,3.19,0.33,59%,41%,8,12,5,5,2,6,1,1,11,12,5,6,5,0,18,19,4,0,9,11,2,3,93,87,52,46,0,1,H
vgYU5DmD,21.12.2023 15:00,Samsunspor,Konyaspor,1,1,1.19,1.51,47%,53%,8,12,3,2,4,5,1,5,16,17,4,8,0,6,29,32,1,2,18,11,3,0,95,93,66,57,0,0,D
neFLSzeQ,20.12.2023 18:00,Antalyaspor,Kasimpasa,0,0,0.38,0.30,50%,50%,9,6,1,3,5,3,3,0,11,11,5,11,1,0,31,25,3,1,10,11,2,2,67,79,66,73,0,0,D
02ZQ6gY6,20.12.2023 18:00,Galatasaray,Karagumruk,1,0,1.14,0.39,58%,42%,18,7,8,3,5,2,5,2,13,13,7,4,3,2,21,26,3,7,11,11,3,3,112,87,82,60,0,0,H
4ztI8F3f,20.12.2023 15:00,Kayserispor,Fenerbahce,3,4,1.88,1.61,50%,50%,16,13,6,6,5,4,5,3,11,23,5,3,2,1,26,19,2,3,22,11,2,5,94,101,52,49,0,2,A
hdMCUdQD,19.12.2023 18:00,Gaziantep,Adana Demirspor,2,2,1.00,1.73,40%,60%,15,15,5,7,5,4,5,4,10,16,5,5,1,1,20,22,5,3,15,9,0,1,73,103,51,69,0,0,D
rRvM7ZI0,19.12.2023 18:00,Istanbulspor AS,Trabzonspor,0,3,0.68,1.40,43%,57%,6,14,2,4,1,6,3,4,9,9,1,3,3,1,8,16,4,2,6,8,3,0,62,68,34,35,0,0,A
4WPGTGuK,19.12.2023 15:00,Basaksehir,Sivasspor,3,1,4.02,0.40,62%,38%,15,7,6,4,5,3,4,0,12,24,3,1,2,3,17,12,3,3,22,11,1,2,95,77,65,37,0,0,H
tWH4Uy9G,11.12.2023 18:00,Ankaragucu,Rizespor,1,1,0.75,1.36,38%,62%,15,13,7,2,5,6,3,5,20,11,2,1,0,0,13,19,1,6,11,19,4,6,61,103,24,54,1,1,D
IeuYC9wq,11.12.2023 18:00,Konyaspor,Sivasspor,0,1,0.22,0.39,61%,39%,13,10,1,3,7,3,5,4,13,10,7,2,2,0,19,24,2,1,8,13,3,4,154,107,74,36,0,0,A
S8BlYJ9i,10.12.2023 17:00,Gaziantep,Trabzonspor,1,3,0.47,2.49,46%,54%,8,20,4,11,4,6,0,3,15,6,2,3,0,4,21,19,8,3,6,11,1,2,110,107,35,26,0,0,A
6aAhXwPc,10.12.2023 14:00,Basaksehir,Hatayspor,1,0,0.90,1.82,36%,64%,9,16,4,3,5,8,0,5,18,19,1,7,2,1,12,24,3,3,19,18,3,3,72,108,23,60,1,0,H
tIxWFxfN,10.12.2023 14:00,Kayserispor,Pendikspor,2,0,1.57,1.66,59%,41%,11,11,5,4,4,4,2,3,9,12,4,5,3,0,22,13,4,3,9,9,0,1,115,102,58,39,0,0,H
fLtzFd9T,10.12.2023 11:30,Istanbulspor AS,Alanyaspor,0,1,0.44,2.61,50%,50%,11,18,2,7,4,11,5,0,11,24,1,9,2,0,14,16,6,2,23,10,1,2,105,109,47,50,0,0,A
n9I0VHgA,09.12.2023 17:00,Besiktas,Fenerbahce,1,3,1.26,4.47,46%,54%,4,23,1,10,1,10,2,3,15,16,1,6,0,3,19,24,7,0,18,13,5,4,99,116,23,52,0,0,A
vgI69zXj,09.12.2023 14:00,Samsunspor,Kasimpasa,4,2,2.27,1.40,35%,65%,12,13,7,6,4,4,1,3,13,21,3,4,5,5,22,40,4,3,15,9,1,0,116,120,37,47,0,0,H
lOacWcv4,09.12.2023 11:30,Antalyaspor,Karagumruk,2,1,0.13,0.85,37%,63%,2,11,2,2,0,5,0,4,20,14,2,4,1,3,20,27,1,0,15,17,4,7,71,155,22,81,1,0,H
02J2AGHp,08.12.2023 18:00,Galatasaray,Adana Demirspor,3,1,3.62,1.07,57%,43%,22,13,7,5,12,4,3,4,10,15,7,4,1,2,27,20,4,4,15,9,2,0,123,48,58,18,0,0,H
ShNQIvA4,04.12.2023 18:00,Fenerbahce,Sivasspor,4,1,1.31,0.85,48%,52%,9,10,5,4,1,5,3,1,12,20,4,2,2,0,25,22,3,2,18,12,1,1,94,118,48,29,0,0,H
84vOHbPA,03.12.2023 17:00,Ankaragucu,Besiktas,1,1,0.42,0.44,48%,52%,11,9,4,4,4,2,3,3,11,20,1,5,1,1,20,22,3,3,19,10,1,2,72,129,34,49,0,0,D
l2OMJKfb,03.12.2023 14:00,Trabzonspor,Kayserispor,0,1,0.76,0.44,53%,47%,15,9,2,4,10,3,3,2,18,9,4,2,2,3,16,22,3,2,7,15,3,2,128,75,60,41,0,0,A
xOf41wuU,03.12.2023 11:30,Kasimpasa,Gaziantep,4,2,2.02,2.88,53%,47%,24,15,7,4,8,6,9,5,15,21,5,6,3,3,15,13,2,3,19,13,5,5,97,91,54,41,1,0,H
txLELtQo,02.12.2023 17:00,Adana Demirspor,Samsunspor,2,3,1.06,2.18,61%,39%,11,11,4,6,4,3,3,2,14,11,7,4,3,1,34,19,3,2,9,13,2,2,111,104,53,33,0,0,A
8lj02JPN,02.12.2023 17:00,Pendikspor,Galatasaray,0,2,0.48,1.57,36%,64%,9,18,0,6,6,5,3,7,12,11,2,6,3,1,18,19,4,0,8,11,2,3,54,150,31,57,0,0,A
newSGIvH,02.12.2023 14:00,Rizespor,Basaksehir,3,2,2.68,1.39,49%,51%,19,16,7,9,6,5,6,2,14,11,6,5,0,1,15,20,7,4,10,13,2,3,92,98,49,56,0,0,H
vXtWdcmo,02.12.2023 11:30,Alanyaspor,Konyaspor,2,2,1.83,1.16,53%,47%,19,13,5,6,11,1,3,6,20,12,4,6,2,0,22,17,4,3,10,20,2,2,114,87,60,28,0,0,D
Ucid3aAH,01.12.2023 18:00,Hatayspor,Antalyaspor,3,3,,,51%,49%,14,13,8,7,5,2,1,4,6,16,6,5,2,1,22,23,4,5,14,5,2,2,106,77,39,22,0,0,D
fuPIK0uh,01.12.2023 18:00,Karagumruk,Istanbulspor AS,3,0,1.66,0.20,53%,47%,15,6,5,0,7,3,3,3,11,18,3,5,6,2,24,19,0,2,12,9,3,1,120,91,35,36,0,0,H
pA5z8Nen,27.11.2023 18:00,Basaksehir,Pendikspor,4,1,3.05,0.97,57%,43%,10,12,5,3,4,5,1,4,16,17,7,4,4,2,17,14,2,1,13,14,1,2,69,105,38,38,0,0,H
zabm5Lu5,27.11.2023 18:00,Sivasspor,Trabzonspor,3,3,1.43,1.22,41%,59%,17,13,9,6,5,5,3,2,10,11,5,2,0,0,18,22,3,6,11,10,1,1,91,103,47,40,0,0,D
txaq61Qb,26.11.2023 17:00,Fenerbahce,Karagumruk,2,1,1.90,0.53,56%,44%,9,9,3,2,5,5,1,2,17,22,1,2,2,1,20,23,1,1,20,17,5,4,115,112,41,28,0,0,H
2o0u7sBh,26.11.2023 14:00,Antalyaspor,Rizespor,0,0,0.74,1.05,48%,52%,16,8,10,3,4,4,2,1,18,12,6,4,0,1,26,17,3,10,12,17,1,5,102,105,44,48,0,0,D
UcVQmKAU,26.11.2023 14:00,Samsunspor,Besiktas,1,2,0.74,1.25,37%,63%,13,16,5,5,4,7,4,4,10,19,9,5,4,0,22,25,3,4,17,9,2,1,94,124,35,35,0,0,A
fuwEjMQB,26.11.2023 11:30,Kayserispor,Adana Demirspor,1,1,0.95,0.63,57%,43%,14,9,4,3,9,2,1,4,9,25,9,4,2,1,20,15,2,3,23,8,3,3,99,87,57,35,0,0,D
GfRMl0eO,25.11.2023 17:00,Galatasaray,Alanyaspor,4,0,3.27,0.18,65%,35%,26,4,11,1,9,2,6,1,11,18,9,3,6,3,21,13,1,7,12,8,1,1,141,59,77,31,0,0,H
6J6W83tt,25.11.2023 14:00,Gaziantep,Ankaragucu,0,1,0.32,0.62,49%,51%,9,12,2,5,6,4,1,3,19,7,2,4,0,0,20,20,4,2,8,19,4,5,109,91,53,34,0,0,A
nZ1i4ueB,25.11.2023 14:00,Konyaspor,Kasimpasa,2,0,1.82,0.69,57%,43%,17,8,7,1,8,3,2,4,14,11,2,9,0,1,28,33,1,5,11,12,0,1,97,91,29,50,0,0,H
YVyIkttI,25.11.2023 11:30,Istanbulspor AS,Hatayspor,2,1,1.82,1.12,46%,54%,15,10,10,3,3,4,2,3,16,9,8,6,1,3,4,21,2,8,9,14,2,3,93,100,31,48,0,0,H
UFpSaQ3P,12.11.2023 17:00,Adana Demirspor,Fenerbahce,0,0,0.15,0.98,59%,41%,4,18,0,9,4,6,0,3,16,13,3,5,1,2,20,18,9,0,13,15,3,3,76,90,25,49,0,0,D
vkz2gOtg,12.11.2023 14:00,Besiktas,Basaksehir,1,0,1.53,0.41,54%,46%,12,7,4,2,6,4,2,1,18,20,5,6,2,1,24,18,2,3,18,17,2,3,105,95,53,44,0,0,H
04OAi2B5,12.11.2023 14:00,Rizespor,Istanbulspor AS,1,0,0.34,0.43,42%,58%,8,7,3,0,2,5,3,2,7,21,6,6,4,0,19,25,0,2,17,7,1,0,96,144,38,64,0,0,H
Kp3yw3dC,12.11.2023 11:30,Pendikspor,Samsunspor,1,0,0.87,1.24,50%,50%,10,16,4,8,4,8,2,0,22,12,4,3,2,4,20,30,8,3,10,18,1,3,102,101,37,49,0,0,H
8AaXwqs6,11.11.2023 17:00,Hatayspor,Galatasaray,2,1,0.99,1.20,29%,71%,6,18,4,6,2,4,0,8,11,20,2,9,4,1,12,28,5,2,16,11,2,1,70,141,15,70,0,0,H
hb1qysRO,11.11.2023 14:00,Alanyaspor,Gaziantep,0,3,0.68,2.02,69%,31%,13,9,3,5,5,4,5,0,10,11,8,1,1,0,18,19,3,3,12,10,3,1,148,55,82,34,0,0,A
WOWgepCt,11.11.2023 14:00,Karagumruk,Sivasspor,3,0,1.89,0.89,50%,50%,13,11,7,3,2,6,4,2,6,17,5,4,1,2,23,25,3,4,16,4,2,2,92,116,34,24,0,0,H
E72uxNBI,11.11.2023 11:30,Kasimpasa,Kayserispor,3,4,2.24,1.22,55%,45%,19,8,9,5,8,2,2,1,17,8,6,4,4,2,21,15,1,6,4,15,0,1,132,75,48,28,0,0,A
MDP6hrda,10.11.2023 18:00,Ankaragucu,Antalyaspor,0,4,0.69,1.72,52%,48%,10,21,2,9,3,7,5,5,10,10,2,5,1,0,22,24,5,2,9,11,3,0,107,94,57,64,0,0,A
QoWcf4Rn,10.11.2023 18:00,Trabzonspor,Konyaspor,2,1,1.04,1.77,59%,41%,13,13,5,3,5,8,3,2,14,16,6,4,0,1,16,19,2,3,16,14,1,3,76,86,56,56,0,0,H
EBGcs3V7,08.11.2023 18:00,Samsunspor,Istanbulspor AS,2,1,1.47,0.53,52%,48%,12,6,4,3,5,3,3,0,12,20,7,2,3,2,25,33,2,2,17,12,3,5,82,68,55,46,0,0,H
pUkr0Zc8,06.11.2023 18:00,Gaziantep,Rizespor,2,0,1.79,0.84,41%,59%,9,14,5,2,2,7,2,5,9,8,3,5,0,1,17,27,2,3,8,8,3,1,88,127,37,66,0,0,H
YXnevhyk,06.11.2023 18:00,Kayserispor,Alanyaspor,1,0,1.24,1.24,64%,36%,12,9,4,6,4,1,4,2,12,20,8,5,3,3,20,17,6,3,17,9,1,3,122,77,60,38,0,0,H
vV7GsRss,05.11.2023 17:00,Antalyaspor,Besiktas,3,2,0.37,1.36,36%,64%,5,17,3,5,2,7,0,5,16,14,3,6,1,3,24,22,3,0,13,13,1,3,58,113,19,58,0,0,H
bXgnagDE,05.11.2023 14:00,Basaksehir,Ankaragucu,3,3,0.86,0.46,47%,53%,9,10,4,5,2,4,3,1,15,8,1,3,1,3,20,16,2,1,7,12,2,0,103,86,50,35,0,0,D
QoASvPRa,05.11.2023 14:00,Konyaspor,Karagumruk,1,1,0.64,1.02,50%,50%,10,9,3,2,4,5,3,2,19,16,2,8,3,1,24,24,1,2,13,19,2,4,128,88,41,33,0,0,D
neBOu5Cg,05.11.2023 11:30,Sivasspor,Adana Demirspor,1,1,2.53,0.59,39%,61%,19,14,10,4,7,4,2,6,15,17,5,6,3,0,7,19,3,9,14,15,1,3,88,115,47,52,0,0,D
IL6Ktocm,04.11.2023 17:00,Fenerbahce,Trabzonspor,2,3,2.40,0.51,68%,32%,12,6,4,4,4,1,4,1,26,14,10,4,0,3,26,14,1,2,14,27,5,4,86,73,59,19,1,0,A
WQ10yjL7,04.11.2023 14:00,Samsunspor,Hatayspor,2,1,2.15,0.97,57%,43%,15,10,6,3,5,5,4,2,15,11,12,4,4,0,10,21,2,4,7,16,3,7,121,92,48,22,0,1,H
COoawCje,04.11.2023 11:30,Istanbulspor AS,Pendikspor,2,4,2.02,3.68,58%,42%,15,22,4,11,7,6,4,5,9,17,4,7,3,1,11,11,7,2,14,8,2,3,71,100,56,67,0,0,A
hz3dxW51,03.11.2023 18:00,Galatasaray,Kasimpasa,2,1,1.57,0.67,60%,40%,13,12,3,5,6,5,4,2,15,16,5,3,5,3,19,20,4,1,11,12,2,3,135,97,50,22,0,0,H
KQ6KpfbL,30.10.2023 18:00,Besiktas,Gaziantep,2,0,1.81,1.14,62%,38%,13,12,6,6,4,5,3,1,17,16,7,3,1,1,14,22,6,4,15,16,2,5,141,78,74,38,1,1,H
2kdPqEDR,29.10.2023 17:00,Ankaragucu,Samsunspor,2,0,,,63%,37%,12,3,5,2,6,1,1,0,14,8,4,6,0,1,24,18,2,3,8,14,0,2,101,81,36,38,0,0,H
tz8GozqF,29.10.2023 17:00,Antalyaspor,Basaksehir,1,0,,,38%,62%,11,8,1,3,5,2,5,3,18,19,7,5,0,1,24,22,3,0,20,19,3,5,81,98,56,46,0,0,H
vc8IQY6k,29.10.2023 17:00,Pendikspor,Fenerbahce,0,5,,,39%,61%,2,19,0,10,2,5,0,4,13,11,0,6,4,2,17,27,5,0,7,11,1,2,63,113,11,61,0,0,A
C03CnGT8,29.10.2023 14:00,Karagumruk,Trabzonspor,0,0,,,44%,56%,6,12,3,0,2,10,1,2,13,12,6,3,4,2,30,22,0,3,8,11,2,1,98,93,35,37,0,0,D
Y948mdE2,28.10.2023 18:00,Adana Demirspor,Konyaspor,3,0,,,59%,41%,15,13,5,4,6,7,4,2,12,16,4,5,4,4,22,14,4,2,12,10,1,1,101,80,78,26,0,0,H
vBmiuYLr,28.10.2023 18:00,Rizespor,Galatasaray,0,1,,,35%,65%,11,20,3,5,5,6,3,9,12,16,6,5,2,1,15,30,4,3,14,11,3,3,88,122,41,75,0,0,A
W4QPOCy2,28.10.2023 15:00,Alanyaspor,Sivasspor,1,2,,,52%,48%,12,15,5,4,5,10,2,1,13,14,7,2,1,1,16,14,2,4,13,12,3,1,100,88,50,38,0,0,A
069EREiq,27.10.2023 19:00,Hatayspor,Kayserispor,1,2,,,54%,46%,18,8,9,2,5,4,4,2,17,10,12,1,0,4,18,19,1,8,10,15,5,0,118,72,58,22,0,0,A
YJ7MPhMe,27.10.2023 19:00,Kasimpasa,Istanbulspor AS,3,1,,,35%,65%,19,17,11,6,3,10,5,1,13,14,8,5,1,2,20,25,5,8,13,11,2,2,86,112,45,57,0,0,H
jXZUZxp3,23.10.2023 19:00,Karagumruk,Adana Demirspor,2,0,,,46%,54%,10,11,6,5,3,5,1,1,12,19,5,4,1,4,20,30,5,4,18,8,0,1,88,101,31,41,0,0,H
YePZYda9,23.10.2023 19:00,Trabzonspor,Alanyaspor,1,0,,,48%,52%,14,15,3,3,8,6,3,6,9,17,7,5,2,5,18,25,3,2,15,4,1,2,101,104,48,33,0,0,H
naTwYGEF,22.10.2023 18:00,Fenerbahce,Hatayspor,4,2,,,54%,46%,17,8,6,5,8,2,3,1,15,11,7,5,1,1,20,17,3,2,10,14,1,4,91,71,40,33,0,0,H
pzmqCZid,22.10.2023 18:00,Samsunspor,Basaksehir,0,0,,,36%,64%,20,7,5,0,8,4,7,3,11,18,8,0,1,3,21,18,0,5,17,8,2,2,111,80,56,23,0,0,D
OKbzEeNq,22.10.2023 15:00,Istanbulspor AS,Ankaragucu,2,1,,,48%,52%,7,9,3,1,2,3,2,5,15,15,2,5,2,1,10,21,0,1,14,14,0,3,80,123,32,62,0,0,H
tMSsXzUL,22.10.2023 12:30,Sivasspor,Kasimpasa,0,1,,,59%,41%,17,17,8,6,6,7,3,4,11,14,7,8,4,2,31,14,5,8,10,9,0,2,110,71,54,36,0,0,A
6qluDFxj,21.10.2023 18:00,Galatasaray,Besiktas,2,1,,,52%,48%,25,2,10,2,7,0,8,0,18,14,6,2,2,1,17,20,1,8,12,19,3,5,123,69,55,29,0,1,H
CtyRzJUd,21.10.2023 15:00,Gaziantep,Antalyaspor,1,0,,,38%,62%,10,8,2,2,4,2,4,4,14,17,6,4,1,0,38,19,2,1,16,14,1,2,81,95,52,31,0,0,H
KCRoWfqS,21.10.2023 15:00,Konyaspor,Pendikspor,1,2,,,61%,39%,16,8,8,3,5,4,3,1,16,11,5,2,7,4,19,19,1,7,4,12,1,3,123,77,57,31,0,0,A
na78IyFS,21.10.2023 12:30,Kayserispor,Rizespor,3,1,,,63%,37%,20,12,7,3,7,5,6,4,11,17,5,2,3,3,18,15,2,4,13,12,5,2,117,64,41,24,0,0,H
0rqR5bVM,08.10.2023 18:00,Hatayspor,Konyaspor,3,1,,,44%,56%,10,8,5,5,1,3,4,0,14,20,3,2,1,5,15,14,4,2,19,10,2,0,78,124,33,32,0,0,H
WQZd0xgp,08.10.2023 18:00,Kasimpasa,Fenerbahce,0,2,,,43%,57%,6,20,1,7,2,11,3,2,14,12,1,8,0,2,29,20,5,1,13,12,3,0,96,141,27,82,0,0,A
dAEeLwV9,08.10.2023 15:00,Besiktas,Istanbulspor AS,2,0,,,67%,33%,17,4,5,2,6,1,6,1,10,18,4,4,6,1,18,17,2,3,12,10,2,2,169,52,89,35,0,0,H
hx84JHaM,08.10.2023 12:30,Rizespor,Samsunspor,1,0,,,31%,69%,8,12,4,3,3,6,1,3,16,10,4,8,1,1,18,20,3,3,9,15,3,3,52,117,28,89,1,0,H
IJFiMJF3,07.10.2023 18:00,Antalyaspor,Galatasaray,0,2,,,39%,61%,12,11,4,7,7,2,1,2,24,17,3,7,2,3,18,23,5,4,15,21,1,3,90,105,49,40,0,0,A
OdGmNa0c,07.10.2023 18:00,Basaksehir,Gaziantep,2,0,,,51%,49%,8,12,3,1,1,8,4,3,12,14,5,7,3,2,13,21,1,1,12,10,,,89,133,29,63,0,0,H
