id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,result
vs26N8Fn,30.04.2016 15:00,Eskisehirspor,Trabzonspor,1,0,55%,45%,19,5,5,1,14,4,23,19,6,2,1,4,17,29,1,4,16,17,2,5,0,1,H
KxZq67pC,30.04.2016 12:30,Genclerbirligi,Basaksehir,0,0,48%,52%,11,10,4,6,7,4,16,13,6,4,0,2,24,28,6,4,13,13,3,0,0,0,D
f9QZSUiP,29.04.2016 19:00,Bursaspor,Galatasaray,1,1,50%,50%,18,13,5,4,13,9,13,15,6,7,0,1,8,19,3,4,9,11,0,2,0,0,D
hp6AMSUh,29.04.2016 18:00,Rizespor,Mersin,2,0,57%,43%,19,14,8,4,11,10,10,9,4,3,0,2,14,21,4,6,7,8,0,1,0,0,H
KEjcFBNP,25.04.2016 19:00,Gaziantepspor,Genclerbirligi,1,3,46%,54%,3,19,2,9,1,10,14,16,2,8,2,2,17,21,6,1,14,11,2,3,0,0,A
SrA6hlGC,24.04.2016 19:00,Trabzonspor,Fenerbahce,0,4,44%,56%,7,13,2,6,5,7,19,14,2,7,2,1,19,23,2,2,12,16,2,2,0,0,A
YLWX890g,24.04.2016 15:00,Galatasaray,Kasimpasa,4,1,56%,44%,10,18,6,6,4,12,23,20,4,3,3,4,11,13,5,2,16,17,1,2,0,0,H
8vmgGi8J,24.04.2016 12:30,Konyaspor,Rizespor,3,1,57%,43%,12,8,6,2,6,6,14,13,8,5,1,3,23,17,1,3,11,7,0,1,0,0,H
CCVy8TFa,24.04.2016 12:30,Mersin,Eskisehirspor,1,2,44%,56%,8,12,2,8,6,4,17,21,8,3,1,0,21,20,6,1,19,16,2,2,0,0,A
xfwPAVVt,23.04.2016 18:00,Akhisarspor,Besiktas,3,3,39%,61%,9,11,5,6,4,5,19,28,1,2,3,2,20,30,3,2,23,15,3,0,1,0,D
6ZUu7mV5,23.04.2016 15:00,Basaksehir,Sivasspor,2,2,54%,46%,12,6,7,2,5,4,19,20,8,2,6,3,33,27,0,5,14,16,3,1,0,0,D
6Z8Ai8VI,23.04.2016 12:30,Ankaraspor,Antalyaspor,3,0,51%,49%,14,7,7,0,7,7,20,20,5,4,0,0,15,25,0,4,20,20,1,1,0,0,H
GpxT9kom,22.04.2016 19:00,Kayserispor,Bursaspor,2,1,48%,52%,10,8,3,4,7,4,16,19,5,4,5,0,21,22,3,1,14,17,2,4,0,0,H
KbnZiHP1,18.04.2016 19:00,Genclerbirligi,Trabzonspor,3,1,53%,47%,10,8,4,1,6,7,14,15,5,2,2,1,26,26,0,1,11,13,2,5,0,0,H
KI6bfAo0,17.04.2016 18:00,Fenerbahce,Mersin,4,1,56%,44%,16,5,6,2,10,3,7,17,11,2,1,2,31,26,1,2,16,5,0,1,0,0,H
UTDocC1s,17.04.2016 15:00,Bursaspor,Akhisarspor,0,2,51%,49%,8,6,1,3,7,3,27,22,7,0,0,4,34,28,1,1,21,22,2,1,0,0,A
xfHgejWg,17.04.2016 12:30,Basaksehir,Gaziantepspor,4,1,58%,42%,23,5,10,3,13,2,16,18,6,2,5,0,17,18,2,6,12,19,0,4,0,1,H
ChZKFKH8,17.04.2016 12:30,Kasimpasa,Kayserispor,1,2,52%,48%,10,5,4,2,6,3,12,15,5,2,1,0,26,16,1,3,11,12,1,3,0,0,A
OjDkdWGm,16.04.2016 18:00,Sivasspor,Besiktas,1,2,43%,57%,7,4,2,2,5,2,14,22,4,3,4,5,34,22,0,1,16,7,1,2,0,0,A
h4jIEvXE,16.04.2016 15:00,Antalyaspor,Galatasaray,4,2,43%,57%,17,6,7,2,10,4,14,21,6,7,7,1,10,20,1,3,13,12,2,5,0,1,H
Y1zHG022,16.04.2016 12:00,Eskisehirspor,Konyaspor,1,2,49%,51%,10,12,4,4,6,8,24,10,6,4,0,4,17,14,2,3,12,18,2,2,1,0,A
b952gU06,16.04.2016 12:00,Rizespor,Ankaraspor,0,1,54%,46%,9,16,1,5,8,11,21,16,8,5,0,0,22,17,4,1,15,19,3,2,0,0,A
2HSXkzwH,13.04.2016 18:30,Galatasaray,Fenerbahce,0,0,53%,47%,3,17,1,4,2,13,24,22,3,4,3,9,31,20,4,1,19,15,2,0,0,0,D
ptfMfJuq,11.04.2016 19:00,Besiktas,Bursaspor,3,2,61%,39%,26,6,9,2,17,4,26,17,10,3,5,3,17,17,0,6,10,24,2,7,1,1,H
0zcz4NId,11.04.2016 18:00,Akhisarspor,Kasimpasa,0,1,49%,51%,4,11,1,7,3,4,18,12,2,6,1,0,21,30,6,1,7,16,4,2,1,0,A
hl2faaXR,10.04.2016 18:00,Trabzonspor,Basaksehir,1,1,50%,50%,7,14,3,5,4,9,24,19,2,9,2,1,13,20,4,2,16,20,3,3,1,0,D
vRev3sY2,10.04.2016 15:00,Kayserispor,Antalyaspor,0,0,55%,45%,12,2,2,1,10,1,23,16,8,1,3,6,26,24,1,2,14,16,2,2,0,0,D
Ec3j0uIL,10.04.2016 12:30,Mersin,Genclerbirligi,1,3,51%,49%,9,8,2,3,7,5,21,19,4,2,1,1,29,23,0,1,16,19,2,2,0,0,A
WYDo1L2F,09.04.2016 19:00,Konyaspor,Fenerbahce,2,1,50%,50%,5,11,2,4,3,7,7,22,2,5,3,1,34,44,3,0,18,6,1,1,0,0,H
OWhQgwek,09.04.2016 16:00,Galatasaray,Rizespor,1,1,55%,45%,16,8,7,2,9,6,13,13,11,9,0,2,17,23,1,6,13,11,2,2,0,0,D
6erVhcAe,09.04.2016 12:00,Ankaraspor,Eskisehirspor,0,0,50%,50%,14,5,5,0,9,5,21,18,5,5,3,1,31,23,0,5,15,18,1,2,0,0,D
Ymer21m9,08.04.2016 19:00,Gaziantepspor,Sivasspor,0,1,53%,47%,6,8,2,2,4,6,22,19,5,4,0,1,32,20,1,2,19,21,2,2,0,0,A
UinF2DMM,04.04.2016 19:00,Kasimpasa,Besiktas,2,1,35%,65%,10,10,4,4,6,6,16,26,3,10,3,1,27,13,3,2,23,15,2,3,0,0,H
4pk35Fx4,04.04.2016 18:00,Rizespor,Kayserispor,0,0,52%,48%,8,17,0,4,8,13,13,19,5,5,2,3,25,13,4,0,14,10,6,3,0,0,D
MkRgeVEd,03.04.2016 18:00,Fenerbahce,Ankaraspor,0,0,56%,44%,18,7,3,1,15,6,26,22,6,0,1,2,18,16,1,3,18,24,3,3,0,0,D
j1mB3g7G,03.04.2016 15:00,Antalyaspor,Akhisarspor,2,2,60%,40%,18,11,8,4,10,7,24,17,7,3,1,4,21,14,2,6,16,18,3,3,0,0,D
raSkdBaj,03.04.2016 12:30,Basaksehir,Mersin,3,0,46%,54%,10,12,4,5,6,7,11,26,4,2,7,1,16,22,5,1,17,11,1,1,0,0,H
CGyK1XyT,03.04.2016 12:30,Sivasspor,Bursaspor,1,2,49%,51%,15,12,3,7,12,5,17,20,6,5,3,0,21,23,5,2,15,16,2,0,0,0,A
ryl74ZiA,02.04.2016 18:00,Eskisehirspor,Galatasaray,4,3,51%,49%,12,6,7,3,5,3,15,20,2,2,4,0,26,14,0,3,14,12,2,4,0,0,H
lxTocipp,02.04.2016 15:00,Gaziantepspor,Trabzonspor,0,1,58%,42%,16,5,7,4,9,1,19,19,6,2,1,3,29,18,3,7,18,11,1,3,0,0,A
MLab6eNc,02.04.2016 12:30,Genclerbirligi,Konyaspor,0,1,48%,52%,12,10,4,4,8,6,25,12,2,4,2,0,20,35,3,4,10,24,2,1,0,0,A
8IZOid84,20.03.2016 15:00,Bursaspor,Kasimpasa,4,1,50%,50%,20,13,5,4,15,9,21,18,2,2,0,2,26,24,3,1,16,18,2,3,0,0,H
URzLhxgb,20.03.2016 12:30,Konyaspor,Basaksehir,1,1,49%,51%,9,11,3,2,6,9,21,9,6,3,0,0,23,28,1,2,7,20,1,2,0,0,D
zVQulE7T,20.03.2016 12:30,Mersin,Gaziantepspor,0,0,44%,56%,18,7,6,1,12,6,15,24,5,3,1,2,25,21,1,6,21,15,3,2,0,0,D
GO88qYFp,19.03.2016 18:00,Besiktas,Antalyaspor,1,0,57%,43%,7,6,2,0,5,6,17,16,12,0,3,3,16,25,0,1,11,17,2,1,0,0,H
8Ief7y8i,19.03.2016 15:00,Trabzonspor,Sivasspor,1,0,50%,50%,3,14,2,7,1,7,22,23,6,5,3,3,30,22,7,1,19,14,5,3,0,0,H
dvSykfhN,19.03.2016 12:30,Ankaraspor,Genclerbirligi,3,1,46%,54%,16,18,6,5,10,13,19,16,5,6,2,0,14,27,4,3,13,15,0,1,0,0,H
fF7CrhVj,18.03.2016 19:00,Akhisarspor,Rizespor,1,1,57%,43%,12,8,2,6,10,2,11,17,7,3,1,0,37,25,5,1,13,12,0,3,0,0,D
jsPTjGNA,18.03.2016 18:00,Kayserispor,Eskisehirspor,0,0,52%,48%,14,9,2,3,12,6,16,21,7,5,2,1,30,38,3,2,17,13,3,0,0,0,D
vqPe8Nih,15.03.2016 18:30,Trabzonspor,Besiktas,0,2,39%,61%,9,12,1,7,8,5,12,18,6,9,3,4,14,22,5,1,14,7,1,0,0,0,A
lE2byyON,14.03.2016 19:00,Antalyaspor,Bursaspor,3,0,56%,44%,10,7,4,2,6,5,10,8,13,4,1,1,8,9,2,1,12,20,2,6,0,1,H
ry22zewU,14.03.2016 18:00,Sivasspor,Kasimpasa,1,0,48%,52%,10,3,1,1,9,2,13,24,8,5,6,0,36,26,1,0,21,11,2,1,0,0,H
0hWGgIwh,13.03.2016 18:00,Fenerbahce,Kayserispor,1,0,56%,44%,21,3,11,0,10,3,23,16,10,0,2,4,28,25,0,10,12,17,1,7,0,3,H
AmZkuJOb,13.03.2016 15:00,Genclerbirligi,Galatasaray,1,1,43%,57%,9,10,2,3,7,7,15,25,3,4,7,0,25,26,2,1,17,17,1,2,0,0,D
