id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Goal Kicks_home,Goal Kicks_away,result
dKifTzlE,12.05.2015 18:45,Kardemir Karabuk,Eskisehirspor,2,2,63%,37%,21,6,6,2,15,4,21,15,9,3,1,0,23,15,0,4,10,19,0,0,2,2,,,D
fFDB4iBD,12.05.2015 18:45,Kasimpasa,Balikesirspor,2,3,51%,49%,14,6,3,3,11,3,22,20,2,1,2,2,17,23,0,1,17,19,0,0,3,4,,,A
tC975Xe7,12.05.2015 18:45,Mersin,Galatasaray,0,1,48%,52%,14,13,3,6,11,7,16,30,6,1,5,1,23,24,5,3,25,16,0,0,2,4,,,A
jNGf8ZBl,12.05.2015 15:45,Basaksehir,Sivasspor,2,1,58%,42%,16,5,5,2,11,3,22,12,4,0,0,1,26,16,1,3,13,19,0,0,2,3,,,H
8bBa7gRf,12.05.2015 15:45,Konyaspor,Genclerbirligi,1,0,50%,50%,12,6,3,2,9,4,23,20,5,3,0,8,21,23,2,2,21,13,0,0,0,2,,,H
vRoFS3c3,10.05.2015 18:00,Besiktas,Gaziantepspor,1,1,60%,40%,15,10,8,2,7,8,19,13,8,4,0,0,20,10,1,7,15,20,0,1,4,8,,,D
EqEhB2SS,10.05.2015 15:00,Rizespor,Trabzonspor,0,2,52%,48%,24,23,10,7,14,16,15,11,4,5,2,2,25,12,5,10,9,13,0,0,2,1,,,A
KMElCrDM,09.05.2015 18:00,Balikesirspor,Basaksehir,1,2,46%,54%,10,19,5,5,5,14,15,13,3,8,2,3,13,18,3,4,16,13,1,1,4,3,,,A
YTfP5tjj,09.05.2015 18:00,Sivasspor,Fenerbahce,2,3,43%,57%,8,24,5,7,3,17,16,23,1,6,0,1,23,21,4,3,22,13,0,0,1,3,,,A
j55K6Mzp,09.05.2015 15:00,Bursaspor,Kardemir Karabuk,7,1,59%,41%,20,9,9,2,11,7,19,19,2,3,2,4,17,21,1,2,18,16,0,0,1,2,,,H
0zmBTqrc,09.05.2015 12:30,Genclerbirligi,Akhisarspor,0,0,54%,46%,15,9,5,0,10,9,20,22,5,2,2,1,17,13,0,5,21,18,1,1,4,6,,,D
MkyKRNC9,08.05.2015 19:00,Eskisehirspor,Kasimpasa,4,1,48%,52%,7,5,5,2,2,3,17,16,3,2,2,1,27,29,1,1,14,16,0,0,2,2,,,H
CKgT405d,08.05.2015 19:00,Galatasaray,Konyaspor,1,0,65%,35%,13,9,4,5,9,4,15,8,7,4,1,0,32,22,5,3,8,15,0,0,2,6,,,H
