id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Goal Kicks_home,Goal Kicks_away,result
zsuq2qXO,14.02.2015 15:00,Akhisarspor,Kayseri Erciyesspor,1,0,52%,48%,14,9,9,3,5,6,18,32,8,3,7,2,29,36,3,8,22,16,0,0,2,3,,,H
8U9cL6Xn,14.02.2015 12:30,Kardemir Karabuk,Kasimpasa,0,0,56%,44%,9,12,4,3,5,9,19,18,8,2,2,3,24,27,3,4,17,19,0,0,4,3,,,D
UFMcjnYC,09.02.2015 19:00,Eskisehirspor,Galatasaray,1,2,48%,52%,18,10,5,6,13,4,18,16,6,7,1,1,20,25,4,4,15,18,0,0,1,2,,,A
SAlO67Ig,08.02.2015 18:00,Rizespor,Besiktas,1,2,47%,53%,3,15,1,6,2,9,19,15,6,5,0,2,20,20,4,0,15,17,2,0,3,2,,,A
CvShiSI6,08.02.2015 15:00,Bursaspor,Genclerbirligi,3,1,57%,43%,21,8,5,2,16,6,26,16,7,2,0,1,24,22,1,2,16,21,0,0,4,5,,,H
86L1k6mJ,08.02.2015 12:00,Balikesirspor,Konyaspor,0,1,46%,54%,9,15,0,3,9,12,12,14,5,8,0,0,30,28,2,0,15,10,0,0,3,0,,,A
tfjG8Tms,08.02.2015 12:00,Mersin,Kasimpasa,6,2,47%,53%,17,16,9,5,8,11,14,24,1,4,6,0,25,23,3,3,15,13,0,0,3,3,,,H
YmTlh830,07.02.2015 18:00,Fenerbahce,Trabzonspor,0,0,68%,32%,29,5,9,3,20,2,23,20,8,2,3,5,20,19,3,9,17,17,1,0,4,8,,,D
M99qEkQJ,07.02.2015 15:00,Kayseri Erciyesspor,Gaziantepspor,0,1,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
KpkK7m3m,07.02.2015 12:30,Sivasspor,Akhisarspor,2,0,51%,49%,22,10,5,3,17,7,13,20,7,5,3,4,28,19,3,3,16,9,0,0,2,1,,,H
zDDmD9uQ,06.02.2015 19:00,Basaksehir,Kardemir Karabuk,2,2,55%,45%,12,11,4,4,8,7,18,19,1,6,3,0,36,27,2,2,15,15,1,0,4,4,,,D
bHLxeAJs,01.02.2015 19:00,Galatasaray,Bursaspor,2,2,51%,49%,15,22,5,8,10,14,21,21,9,5,3,1,21,19,6,3,15,19,0,1,1,4,,,D
vRTpgllf,01.02.2015 15:00,Besiktas,Mersin,2,1,57%,43%,17,7,7,5,10,2,23,15,4,4,1,5,24,27,4,5,15,17,0,0,0,1,,,H
ttBsfUYm,01.02.2015 12:00,Genclerbirligi,Rizespor,0,2,47%,53%,7,10,4,4,3,6,24,15,8,7,0,1,26,21,2,4,15,25,3,0,7,1,,,A
d8ZAajBQ,01.02.2015 12:00,Konyaspor,Eskisehirspor,1,0,46%,54%,8,7,1,3,7,4,8,14,5,7,1,1,28,36,3,0,13,7,0,0,2,1,,,H
lrW21CtE,31.01.2015 18:00,Kardemir Karabuk,Fenerbahce,1,2,50%,50%,11,11,5,6,6,5,23,15,6,4,1,5,24,18,4,4,12,18,0,0,2,0,,,A
nwhKxT3D,31.01.2015 15:00,Gaziantepspor,Sivasspor,1,3,43%,57%,10,20,3,13,7,7,15,15,1,4,2,1,19,25,10,2,12,14,1,0,1,2,,,A
vDlCvkZ0,31.01.2015 12:30,Kasimpasa,Basaksehir,0,1,44%,56%,5,14,1,2,4,12,22,21,3,3,2,2,11,21,1,1,15,19,2,0,6,1,,,A
YZmGw9l7,30.01.2015 19:00,Trabzonspor,Kayseri Erciyesspor,2,1,44%,56%,14,13,8,2,6,11,20,28,4,5,0,2,20,22,1,6,24,20,0,1,6,1,,,H
SYU60WeK,30.01.2015 18:00,Akhisarspor,Balikesirspor,2,2,53%,47%,18,11,6,3,12,8,17,16,5,4,1,2,18,25,2,4,14,16,0,0,2,1,,,D
0Mk8uVJf,26.01.2015 19:00,Genclerbirligi,Besiktas,0,2,42%,58%,9,14,2,8,7,6,10,16,5,4,1,0,20,17,6,2,14,9,0,1,5,1,,,A
SCgWmgCE,25.01.2015 18:00,Galatasaray,Rizespor,2,0,52%,48%,21,16,5,6,16,10,14,18,8,10,3,0,18,19,6,3,15,13,0,0,1,1,,,H
KAYAtB4l,25.01.2015 15:00,Kardemir Karabuk,Kayseri Erciyesspor,1,2,43%,57%,12,12,6,4,6,8,16,25,8,4,4,1,24,11,2,5,19,16,2,0,6,3,,,A
OvmunXtR,24.01.2015 18:00,Akhisarspor,Eskisehirspor,2,2,56%,44%,13,7,3,4,10,3,21,15,3,4,1,1,18,23,2,1,15,18,0,0,4,5,,,D
lMfSlZd8,24.01.2015 18:00,Kasimpasa,Fenerbahce,0,3,54%,46%,11,14,3,7,8,7,21,12,7,6,2,3,26,26,4,3,11,21,0,0,2,3,,,A
061pQkK7,24.01.2015 15:00,Gaziantepspor,Balikesirspor,1,0,69%,31%,30,11,10,8,20,3,11,18,9,2,2,1,25,17,8,9,17,9,0,0,1,1,,,H
MF2tRV41,24.01.2015 12:30,Basaksehir,Mersin,2,2,58%,42%,17,8,6,3,11,5,25,16,2,3,1,2,26,21,1,4,15,22,0,0,2,5,,,D
tKZ6sikr,23.01.2015 19:00,Trabzonspor,Sivasspor,3,1,52%,48%,18,14,7,5,11,9,13,14,9,9,2,1,22,26,4,4,12,10,0,0,3,1,,,H
AyqymDRK,23.01.2015 18:00,Konyaspor,Bursaspor,2,3,41%,59%,13,13,6,5,7,8,23,22,6,5,4,3,19,23,2,4,18,17,0,0,3,5,,,A
YgATTXKr,05.01.2015 19:00,Balikesirspor,Trabzonspor,2,2,38%,62%,8,26,3,6,5,20,15,17,4,2,4,2,24,23,4,1,9,10,0,0,1,4,,,D
6ufml26c,05.01.2015 19:00,Mersin,Genclerbirligi,1,1,56%,44%,13,7,4,4,9,3,17,15,10,1,1,0,26,21,3,3,13,17,0,0,4,2,,,D
02gimML3,04.01.2015 18:00,Besiktas,Galatasaray,0,2,46%,54%,9,13,2,5,7,8,19,22,4,5,4,3,19,17,3,2,15,15,1,0,1,2,,,A
SG9XSizk,04.01.2015 15:00,Eskisehirspor,Gaziantepspor,1,3,54%,46%,17,9,5,5,12,4,15,19,5,4,1,2,38,23,2,4,17,10,0,0,1,2,,,A
dUn0o0jG,04.01.2015 12:30,Kayseri Erciyesspor,Kasimpasa,2,5,49%,51%,11,19,3,7,8,12,18,20,4,2,3,0,21,19,3,1,16,14,0,0,5,2,,,A
jXB0QbEj,04.01.2015 12:30,Sivasspor,Kardemir Karabuk,2,0,44%,56%,7,11,2,3,5,8,13,24,4,5,2,0,26,43,3,0,19,12,0,0,1,4,,,H
vghentyA,03.01.2015 18:00,Fenerbahce,Basaksehir,2,0,51%,49%,16,13,7,1,9,12,17,19,4,2,6,2,20,14,1,5,13,14,0,0,3,2,,,H
hxjqkrii,03.01.2015 15:00,Bursaspor,Akhisarspor,3,1,52%,48%,19,9,8,4,11,5,20,18,7,5,1,4,26,29,3,5,17,17,0,0,1,3,,,H
viDySBke,03.01.2015 12:30,Rizespor,Konyaspor,1,1,44%,56%,7,15,2,5,5,10,18,14,2,6,1,2,18,34,4,1,11,15,0,0,2,1,,,D
GdCRW0yN,29.12.2014 19:00,Trabzonspor,Eskisehirspor,1,4,57%,43%,11,15,3,7,8,8,21,21,3,1,2,8,29,20,3,2,17,14,0,0,3,2,,,A
KUIIYM6A,28.12.2014 18:00,Konyaspor,Besiktas,1,2,56%,44%,13,5,10,3,3,2,25,14,8,1,0,0,22,18,1,9,17,19,0,1,0,3,,,A
UuQ5yPMi,28.12.2014 15:00,Akhisarspor,Rizespor,0,4,53%,47%,12,10,4,6,8,4,20,14,5,2,1,2,28,21,2,4,12,18,0,0,4,2,,,A
YXMMXtMG,28.12.2014 12:30,Gaziantepspor,Bursaspor,1,2,42%,58%,5,12,3,4,2,8,17,25,4,2,3,1,16,23,2,2,21,14,0,0,4,5,,,A
fmBVVKjT,28.12.2014 12:30,Kasimpasa,Sivasspor,0,0,57%,43%,12,3,5,0,7,3,17,18,7,3,2,4,26,25,0,5,12,12,0,0,4,5,,,D
Q7JEZ2i4,27.12.2014 18:00,Fenerbahce,Mersin,1,0,56%,44%,22,10,8,3,14,7,12,16,10,3,1,0,24,17,3,7,13,13,0,0,3,3,,,H
jkR1x57o,27.12.2014 15:00,Basaksehir,Kayseri Erciyesspor,3,1,41%,59%,16,7,6,1,10,6,20,19,4,4,3,1,20,19,0,3,17,17,0,0,2,3,,,H
nHKAzqxb,27.12.2014 12:30,Kardemir Karabuk,Balikesirspor,0,1,62%,38%,26,8,9,5,17,3,15,22,10,5,2,0,28,18,4,9,18,15,0,0,2,2,,,A
CtDdRvap,26.12.2014 19:00,Genclerbirligi,Galatasaray,1,1,52%,48%,12,9,4,4,8,5,16,8,6,5,1,1,23,29,3,3,6,17,0,0,4,1,,,D
xnwKDLUp,22.12.2014 18:00,Rizespor,Gaziantepspor,0,1,51%,49%,13,7,3,3,10,4,26,21,2,2,4,3,21,24,2,3,14,23,1,1,3,6,,,A
YDfyMqN4,21.12.2014 18:00,Besiktas,Akhisarspor,3,1,53%,47%,10,11,4,5,6,6,19,17,5,2,1,2,24,19,4,1,18,17,0,0,0,3,,,H
2gnhI1MT,21.12.2014 15:00,Bursaspor,Trabzonspor,3,3,42%,58%,12,14,8,6,4,8,20,26,5,6,2,3,24,30,3,5,22,18,0,0,2,4,,,D
tvbqKNiH,21.12.2014 12:30,Balikesirspor,Kasimpasa,5,3,49%,51%,12,15,7,6,5,9,18,23,2,7,8,1,27,26,3,2,13,17,0,0,0,2,,,H
C4guL3xB,20.12.2014 18:00,Galatasaray,Mersin,3,2,57%,43%,16,11,3,4,13,7,23,14,1,2,2,3,25,20,2,0,12,21,0,1,4,4,,,H
KUdmJs7N,20.12.2014 15:00,Eskisehirspor,Kardemir Karabuk,1,1,53%,47%,17,9,7,2,10,7,18,16,9,1,0,0,23,25,1,6,11,16,0,0,2,2,,,D
jk5WMP7b,20.12.2014 12:30,Genclerbirligi,Konyaspor,5,0,56%,44%,11,9,9,2,2,7,20,13,1,9,1,1,28,18,2,4,14,19,0,0,2,2,,,H
xn1SN5hh,20.12.2014 12:30,Sivasspor,Basaksehir,0,2,51%,49%,15,11,2,6,13,5,11,15,3,5,2,1,40,24,4,2,14,11,0,0,4,3,,,A
rP1OOown,19.12.2014 19:00,Kayseri Erciyesspor,Fenerbahce,0,1,46%,54%,8,14,1,4,7,10,9,18,4,6,2,0,29,24,3,1,15,10,0,0,5,2,,,A
4IEdAnOh,15.12.2014 19:00,Trabzonspor,Rizespor,3,2,51%,49%,12,15,7,6,5,9,30,20,5,7,2,6,26,23,4,4,17,25,0,0,2,3,,,H
2XAH5OxO,14.12.2014 18:00,Gaziantepspor,Besiktas,0,1,40%,60%,7,18,0,7,7,11,21,24,4,3,1,4,24,28,6,0,20,18,0,0,3,5,,,A
4Y2KPRNu,14.12.2014 15:00,Mersin,Kayseri Erciyesspor,1,1,45%,55%,18,16,8,9,10,7,15,19,4,5,1,0,24,20,8,7,17,14,0,0,0,2,,,D
YiJ096wa,14.12.2014 12:30,Kardemir Karabuk,Bursaspor,3,2,52%,48%,16,13,5,7,11,6,18,26,3,1,2,1,33,22,5,2,24,14,1,2,5,8,,,H
tO9L4rhU,13.12.2014 18:00,Kasimpasa,Eskisehirspor,1,0,45%,55%,11,5,5,0,6,5,18,17,6,2,2,4,14,22,0,4,14,11,0,0,4,2,,,H
f7797p8B,13.12.2014 18:00,Konyaspor,Galatasaray,0,5,46%,54%,15,16,7,8,8,8,11,14,4,6,3,2,21,11,3,7,14,9,0,0,3,0,,,A
8ABD64NH,13.12.2014 15:00,Akhisarspor,Genclerbirligi,1,1,52%,48%,12,4,7,2,5,2,23,16,2,2,2,0,21,21,1,6,13,21,0,0,1,3,,,D
QRFhBS8n,13.12.2014 12:30,Basaksehir,Balikesirspor,1,0,60%,40%,32,7,12,3,20,4,12,19,14,2,0,0,19,15,3,11,20,11,0,0,3,3,,,H
CrI48Qh5,12.12.2014 19:00,Fenerbahce,Sivasspor,4,1,51%,49%,18,11,8,2,10,9,9,27,5,3,5,0,14,22,1,4,20,11,0,0,2,1,,,H
8dWvh58O,08.12.2014 18:00,Sivasspor,Kayseri Erciyesspor,1,1,48%,52%,19,8,6,2,13,6,16,13,8,3,1,2,15,21,1,5,11,14,1,0,1,4,,,D
YwvSf7O5,07.12.2014 18:00,Besiktas,Trabzonspor,3,0,49%,51%,11,4,6,1,5,3,17,25,5,5,2,5,25,29,1,3,18,14,0,0,2,5,,,H
MaKMGloP,07.12.2014 15:00,Eskisehirspor,Basaksehir,0,1,58%,42%,9,8,2,3,7,5,22,13,7,3,2,2,22,23,2,2,12,19,0,0,5,2,,,A
QDzKdTgg,07.12.2014 12:30,Bursaspor,Kasimpasa,5,1,55%,45%,15,14,8,7,7,7,21,23,4,3,4,3,19,17,6,3,18,16,0,0,4,4,,,H
r3QmC8gt,07.12.2014 12:30,Rizespor,Kardemir Karabuk,0,3,55%,45%,9,11,2,6,7,5,30,22,9,3,6,5,33,23,3,2,15,18,0,0,2,4,,,A
CUxWgRwC,06.12.2014 20:45,Galatasaray,Akhisarspor,2,1,54%,46%,20,4,4,2,16,2,18,12,5,2,0,3,21,20,1,2,11,15,0,0,1,5,,,H
rkoFc9vm,06.12.2014 17:45,Balikesirspor,Fenerbahce,0,1,45%,55%,4,7,0,3,4,4,17,6,5,7,2,4,29,22,2,0,6,21,0,0,2,3,,,A
vHvOem9a,06.12.2014 15:00,Genclerbirligi,Gaziantepspor,2,0,49%,51%,9,11,6,2,3,9,13,24,4,4,1,1,23,29,2,4,21,12,0,0,6,1,,,H
U5XzgogI,06.12.2014 12:30,Konyaspor,Mersin,2,0,51%,49%,9,12,3,5,6,7,11,20,4,6,0,2,19,15,5,1,19,11,0,1,2,1,,,H
Cr2tCmxq,01.12.2014 19:30,Trabzonspor,Genclerbirligi,4,1,50%,50%,16,14,8,7,8,7,17,21,6,9,1,1,20,28,6,4,18,14,0,0,4,3,,,H
baOsGHfE,01.12.2014 17:00,Kardemir Karabuk,Besiktas,1,2,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
2Xfg9oM1,30.11.2014 18:00,Fenerbahce,Eskisehirspor,2,2,65%,35%,19,10,7,4,12,6,15,16,9,2,1,1,16,13,2,5,13,11,1,0,1,2,,,D
UJdoB7ik,30.11.2014 15:00,Mersin,Sivasspor,2,0,46%,54%,11,12,4,1,7,11,23,25,2,3,7,1,20,28,1,2,17,20,0,0,2,1,,,H
AZFEGTTR,29.11.2014 18:00,Gaziantepspor,Galatasaray,0,1,47%,53%,15,13,3,4,12,9,18,27,5,3,1,3,19,23,3,3,25,17,0,0,2,3,,,A
Gzac85y8,29.11.2014 15:00,Kayseri Erciyesspor,Balikesirspor,4,0,51%,49%,13,10,6,4,7,6,15,16,4,9,3,0,10,27,4,2,11,15,0,0,2,0,,,H
4bnBbkPt,29.11.2014 12:30,Kasimpasa,Rizespor,3,1,56%,44%,20,7,10,1,10,6,20,20,6,3,1,7,26,15,0,7,19,13,0,0,3,2,,,H
8AekAR6e,28.11.2014 19:00,Basaksehir,Bursaspor,0,0,41%,59%,9,15,0,0,9,15,17,25,4,8,6,0,18,22,0,0,15,18,0,0,4,1,,,D
K8PwHcu8,28.11.2014 18:00,Akhisarspor,Konyaspor,0,0,38%,62%,9,19,1,4,8,15,22,12,5,5,1,3,25,22,4,1,7,19,1,0,3,2,,,D
29jy3AaS,24.11.2014 19:00,Bursaspor,Fenerbahce,1,1,52%,48%,16,12,7,3,9,9,21,13,6,5,1,3,20,31,2,6,13,16,0,0,3,5,,,D
MDN1JVq9,24.11.2014 18:00,Balikesirspor,Sivasspor,1,3,47%,53%,10,12,4,8,6,4,21,14,3,4,4,2,24,21,5,3,7,17,0,1,2,6,,,A
Yis7clNk,23.11.2014 18:00,Besiktas,Kasimpasa,2,0,47%,53%,6,14,3,3,3,11,23,26,3,2,5,3,17,24,3,1,22,20,0,0,1,4,,,H
4xD6IkaF,23.11.2014 15:00,Eskisehirspor,Kayseri Erciyesspor,2,1,52%,48%,19,9,10,2,9,7,14,15,7,1,0,1,19,27,1,8,13,11,0,0,5,2,,,H
Klw3bU7q,23.11.2014 12:30,Genclerbirligi,Kardemir Karabuk,2,2,53%,47%,11,6,8,4,3,2,24,17,4,2,2,1,21,22,2,6,14,22,0,0,2,2,,,D
f7VFeSi2,23.11.2014 12:30,Konyaspor,Gaziantepspor,2,0,54%,46%,13,11,4,5,9,6,15,21,9,0,4,0,29,23,5,2,18,11,0,0,4,2,,,H
GGWBd8xd,22.11.2014 18:00,Galatasaray,Trabzonspor,0,3,47%,53%,14,21,4,11,10,10,26,21,3,6,0,3,20,10,8,4,21,21,0,0,2,4,,,A
rNOcKBU2,22.11.2014 15:00,Akhisarspor,Mersin,1,1,54%,46%,13,9,6,3,7,6,22,15,4,3,0,3,32,28,2,5,14,19,0,0,1,1,,,D
GCGAH9EL,22.11.2014 12:30,Rizespor,Basaksehir,0,2,51%,49%,9,19,3,6,6,13,15,19,9,3,3,3,19,17,4,3,11,11,0,0,3,0,,,A
8zutqk8d,09.11.2014 18:00,Basaksehir,Besiktas,1,2,39%,61%,14,19,3,6,11,13,10,26,6,6,2,1,16,14,4,2,22,10,0,2,4,5,,,A
I5MW5CF9,09.11.2014 15:00,Trabzonspor,Konyaspor,3,2,52%,48%,13,13,6,4,7,9,18,24,5,2,5,4,20,19,2,3,15,14,0,0,2,2,,,H
UqtxpVhj,09.11.2014 12:30,Kasimpasa,Genclerbirligi,2,2,55%,45%,22,11,6,6,16,5,19,21,10,5,2,3,15,18,4,4,20,15,0,0,2,1,,,D
b1k6kiVS,09.11.2014 12:30,Kayseri Erciyesspor,Bursaspor,1,1,54%,46%,8,12,3,6,5,6,15,23,4,6,5,2,26,17,5,2,17,12,0,0,4,3,,,D
AuJO7Ypc,08.11.2014 19:30,Fenerbahce,Rizespor,2,1,63%,37%,26,2,11,1,15,1,14,13,10,1,1,1,39,17,0,9,7,13,0,1,4,5,,,H
ddLz5WUF,08.11.2014 17:00,Kardemir Karabuk,Galatasaray,1,2,54%,46%,10,11,3,7,7,4,18,14,6,3,0,3,17,35,5,2,12,15,0,0,2,2,,,A
OIiX3jpM,08.11.2014 13:30,Mersin,Balikesirspor,2,1,56%,44%,17,12,6,5,11,7,13,29,5,2,7,2,21,13,4,4,17,11,0,0,1,1,,,H
0AyYpBwp,07.11.2014 19:00,Gaziantepspor,Akhisarspor,1,0,49%,51%,11,9,2,3,9,6,22,27,4,7,4,2,33,33,3,1,25,17,0,0,2,5,,,H
OrNS6h03,07.11.2014 17:00,Sivasspor,Eskisehirspor,1,1,48%,52%,8,16,4,2,4,14,18,24,3,6,4,3,21,23,1,3,19,12,0,0,3,0,,,D
8GCfXi9p,03.11.2014 19:00,Konyaspor,Kardemir Karabuk,1,0,53%,47%,7,7,2,1,5,6,13,15,6,4,1,0,25,28,1,1,16,15,1,0,4,4,,,H
AucghgoA,03.11.2014 18:00,Eskisehirspor,Balikesirspor,2,2,60%,40%,22,14,9,3,13,11,14,18,8,6,7,0,29,14,1,7,12,13,0,0,4,5,,,D
2ZZRyY0T,02.11.2014 18:00,Besiktas,Fenerbahce,0,2,49%,51%,6,10,5,6,1,4,22,16,6,2,1,4,35,21,4,5,13,18,1,0,6,5,,,A
WlbkgZV3,02.11.2014 12:30,Gaziantepspor,Mersin,1,0,49%,51%,9,5,4,1,5,4,21,22,2,3,1,5,24,27,1,3,20,17,0,0,2,2,,,H
MJGbWBOj,02.11.2014 12:30,Rizespor,Kayseri Erciyesspor,1,1,41%,59%,10,18,2,9,8,9,17,16,3,9,1,0,12,23,8,1,14,16,1,0,3,3,,,D
ED3pfFGc,01.11.2014 18:00,Akhisarspor,Trabzonspor,1,1,48%,52%,14,12,3,5,11,7,26,21,3,3,1,2,24,33,4,2,21,22,0,0,2,3,,,D
42dciD0G,01.11.2014 15:00,Bursaspor,Sivasspor,3,0,57%,43%,22,6,9,4,13,2,37,17,5,3,2,3,22,18,4,6,16,33,0,1,2,5,,,H
Gx01jXFM,01.11.2014 12:30,Genclerbirligi,Basaksehir,1,0,44%,56%,7,12,5,4,2,8,12,20,4,3,0,3,22,28,4,4,19,11,0,0,2,1,,,H
zN4tee1i,31.10.2014 19:00,Galatasaray,Kasimpasa,2,1,49%,51%,8,11,3,4,5,7,20,24,2,0,5,0,22,30,3,1,17,18,0,0,3,2,,,H
t0q7tdnb,27.10.2014 19:00,Kayseri Erciyesspor,Besiktas,3,2,49%,51%,11,17,7,5,4,12,18,14,3,3,1,1,13,15,3,4,13,15,0,1,2,4,,,H
f5vmy1AI,26.10.2014 18:00,Basaksehir,Galatasaray,4,0,54%,46%,12,17,8,5,4,12,12,16,3,7,3,2,18,22,5,4,15,10,0,0,1,2,,,H
8noarIHo,26.10.2014 15:00,Trabzonspor,Gaziantepspor,4,4,52%,48%,17,8,5,6,12,2,21,23,5,5,3,2,24,22,2,1,19,16,0,0,3,1,,,D
OryOxEoN,26.10.2014 12:30,Mersin,Eskisehirspor,4,2,49%,51%,14,16,6,6,8,10,22,15,1,5,0,5,19,15,4,2,13,15,1,0,0,5,,,H
f3mBuG14,25.10.2014 18:00,Balikesirspor,Bursaspor,0,5,39%,61%,12,18,4,8,8,10,18,18,3,7,1,3,22,21,3,4,17,14,0,0,2,1,,,A
nwp3sxXi,25.10.2014 18:00,Fenerbahce,Genclerbirligi,2,1,55%,45%,15,4,7,1,8,3,15,21,8,1,2,2,23,21,0,5,19,14,0,0,2,5,,,H
WU1GJYvo,25.10.2014 15:00,Sivasspor,Rizespor,0,1,64%,36%,17,9,7,2,10,7,19,12,13,2,2,1,31,22,1,7,9,15,1,0,2,2,,,A
GIyKwfWG,24.10.2014 19:00,Kasimpasa,Konyaspor,2,0,56%,44%,25,9,7,2,18,7,26,22,5,5,3,8,17,25,2,5,16,17,0,0,3,2,,,H
xSxGvzHA,24.10.2014 17:30,Kardemir Karabuk,Akhisarspor,2,1,65%,35%,15,4,3,1,12,3,17,31,7,1,6,0,23,22,0,1,24,15,0,1,4,2,,,H
2cMuwNu6,20.10.2014 19:00,Rizespor,Balikesirspor,2,2,56%,44%,21,8,8,4,13,4,11,16,8,7,6,1,16,11,2,6,11,9,0,0,3,1,,,D
0ruqxseC,20.10.2014 18:00,Genclerbirligi,Kayseri Erciyesspor,0,0,46%,54%,7,17,0,4,7,13,20,16,5,4,1,2,21,16,4,0,12,16,0,0,3,1,,,D
trYWvqBg,19.10.2014 18:00,Akhisarspor,Kasimpasa,2,0,45%,55%,10,19,4,3,6,16,20,20,2,6,4,2,10,20,3,2,19,16,0,0,3,7,,,H
SzhdooYP,19.10.2014 18:00,Besiktas,Sivasspor,3,2,52%,48%,14,9,7,5,7,4,21,11,6,4,1,1,19,30,3,4,9,18,0,0,1,3,,,H
EXmhnRIJ,19.10.2014 15:00,Trabzonspor,Mersin,3,1,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
KYWzv3Qa,19.10.2014 12:30,Bursaspor,Eskisehirspor,2,2,51%,49%,10,12,6,7,4,5,15,27,7,4,6,0,25,18,5,4,22,17,0,0,3,3,,,D
YHUOt5ts,18.10.2014 18:00,Galatasaray,Fenerbahce,2,1,58%,42%,16,13,4,2,12,11,18,13,4,3,2,1,24,22,1,2,11,12,0,1,2,2,,,H
0UaANstJ,18.10.2014 15:00,Gaziantepspor,Kardemir Karabuk,1,0,51%,49%,5,2,4,2,1,0,16,28,2,3,3,1,29,31,2,3,21,15,0,0,4,2,,,H
C8TSuPem,18.10.2014 12:30,Konyaspor,Basaksehir,0,0,43%,57%,10,18,3,7,7,11,20,27,1,7,1,0,27,21,7,3,25,19,0,0,4,5,,,D
tSq9P3B6,05.10.2014 18:00,Balikesirspor,Besiktas,0,1,51%,49%,5,9,3,5,2,4,21,11,5,4,0,2,23,19,4,3,15,15,0,0,1,3,,,A
Mw16ONQC,05.10.2014 15:00,Eskisehirspor,Rizespor,1,2,54%,46%,15,3,6,2,9,1,20,15,8,1,1,2,26,22,0,5,13,17,0,0,1,2,,,A
t41MY7lK,05.10.2014 15:00,Kardemir Karabuk,Trabzonspor,3,0,50%,50%,10,8,4,2,6,6,29,23,2,7,1,3,17,25,2,2,22,26,0,0,1,5,,,H
2D2IZmZD,05.10.2014 12:30,Basaksehir,Akhisarspor,4,0,54%,46%,15,8,7,3,8,5,15,23,2,3,4,2,15,19,3,3,18,11,0,1,3,3,,,H
fBscS5Rm,04.10.2014 20:00,Fenerbahce,Konyaspor,2,1,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
8Eo1RPtf,04.10.2014 17:30,Kayseri Erciyesspor,Galatasaray,1,2,43%,57%,12,19,3,7,9,12,11,25,3,5,5,1,17,15,5,2,18,9,0,0,1,4,,,A
2yo5Qqd0,04.10.2014 15:00,Sivasspor,Genclerbirligi,1,0,53%,47%,16,8,7,3,9,5,15,18,7,5,1,2,35,27,3,6,15,12,0,0,3,3,,,H
Aw6QXR3Q,04.10.2014 13:30,Kasimpasa,Gaziantepspor,4,2,52%,48%,23,9,14,5,9,4,24,26,5,3,3,7,20,17,3,10,19,17,0,0,1,3,,,H
CnhhToCs,03.10.2014 19:00,Mersin,Bursaspor,2,1,50%,50%,11,19,5,6,6,13,16,28,1,3,3,1,21,16,5,3,26,15,0,0,8,4,,,H
lAxqLlKK,29.09.2014 19:30,Gaziantepspor,Basaksehir,0,0,43%,57%,9,8,1,3,8,5,15,26,5,4,0,2,17,28,3,1,26,15,0,0,1,4,,,D
fBLRCQR0,29.09.2014 17:00,Kardemir Karabuk,Mersin,0,2,55%,45%,13,8,2,4,11,4,25,16,1,2,1,6,17,21,2,2,17,24,0,0,1,3,,,A
bqSIEncl,28.09.2014 18:00,Akhisarspor,Fenerbahce,2,0,42%,58%,11,20,6,7,5,13,16,21,5,10,3,0,15,15,7,4,18,14,0,0,3,2,,,H
lYKVBps7,28.09.2014 15:00,Genclerbirligi,Balikesirspor,3,1,53%,47%,13,15,3,5,10,10,16,15,3,6,2,1,19,20,4,0,13,16,0,0,1,2,,,H
6omvMU4E,28.09.2014 15:00,Konyaspor,Kayseri Erciyesspor,1,1,43%,57%,10,9,3,2,7,7,16,25,8,2,3,2,14,14,1,2,21,16,0,0,4,4,,,D
2DtmK8ZQ,28.09.2014 12:30,Rizespor,Bursaspor,0,1,52%,48%,11,11,2,2,9,9,17,26,7,5,4,1,12,20,1,2,25,16,0,0,2,4,,,A
08OZA4dD,27.09.2014 19:00,Besiktas,Eskisehirspor,1,1,51%,49%,13,10,4,3,9,7,22,24,7,4,1,2,16,19,2,3,26,22,0,1,1,5,,,D
GKMND6Cf,27.09.2014 16:30,Trabzonspor,Kasimpasa,1,1,46%,54%,8,13,3,7,5,6,19,29,5,8,5,3,22,25,6,2,25,16,0,0,1,1,,,D
KhTEFSsr,26.09.2014 19:00,Galatasaray,Sivasspor,2,1,51%,49%,13,15,4,5,9,10,22,18,5,3,2,2,25,18,4,2,17,21,0,0,2,2,,,H
zmnka7c1,22.09.2014 20:30,Bursaspor,Besiktas,0,1,51%,49%,13,8,2,3,11,5,23,18,4,3,0,6,28,24,2,2,16,19,0,0,2,4,,,A
