id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
8fq15Ytb,11.02.2018 11:30,Akhisarspor,Bursaspor,1,0,41%,59%,9,7,3,3,6,4,23,20,3,3,1,1,12,20,3,2,19,22,5,2,89,98,50,54,0,0,,,H
YsGhelJj,11.02.2018 11:30,Kayserispor,Sivasspor,1,1,56%,44%,8,5,3,1,5,4,12,18,7,3,1,0,20,26,0,2,17,12,4,2,109,114,62,55,0,0,,,D
U9X93CBA,10.02.2018 17:00,Besiktas,Kardemir Karabuk,5,0,67%,33%,20,4,13,1,7,3,15,15,7,5,1,1,17,14,1,8,14,14,3,1,144,88,109,42,0,0,,,H
z7zI1jtN,10.02.2018 14:00,Genclerbirligi,Trabzonspor,0,0,49%,51%,13,9,9,1,4,8,19,15,7,5,1,0,28,27,1,9,14,19,1,2,55,50,37,33,0,0,,,D
EcZL0AeT,10.02.2018 11:30,Goztepe,Ankaraspor,3,3,53%,47%,9,13,5,7,4,6,20,15,3,6,2,7,26,17,4,2,13,13,4,4,106,93,49,61,0,0,,,D
no4zKXei,09.02.2018 18:00,Yeni Malatyaspor,Kasimpasa,1,1,57%,43%,6,7,5,2,1,5,19,15,10,1,1,0,30,19,1,4,14,19,2,3,125,103,60,49,0,0,,,D
vLvc6ERi,05.02.2018 18:00,Trabzonspor,Goztepe,0,0,61%,39%,17,6,9,4,8,2,28,16,6,3,3,1,23,26,4,9,13,28,3,5,125,92,82,36,0,0,,,D
0Uug7fCo,04.02.2018 17:00,Sivasspor,Galatasaray,2,1,54%,46%,7,12,3,4,4,8,14,14,3,5,0,3,22,26,3,1,16,10,2,2,118,128,65,90,0,0,,,H
M3ArmiRT,04.02.2018 14:00,Konyaspor,Basaksehir,1,1,46%,54%,11,4,4,4,7,0,10,15,7,7,0,0,33,17,3,3,14,10,2,3,101,93,69,41,0,1,,,D
bP1ArBZp,04.02.2018 11:30,Ankaraspor,Kayserispor,0,1,47%,53%,13,8,4,3,9,5,20,20,6,1,3,2,27,21,2,4,15,15,2,2,94,92,73,47,0,0,,,A
StBvlXBN,04.02.2018 11:30,Kasimpasa,Akhisarspor,2,0,49%,51%,11,7,6,2,5,5,13,20,6,4,5,2,24,21,2,4,15,10,1,1,99,111,66,69,0,0,,,H
MTuvjgsB,03.02.2018 17:00,Fenerbahce,Genclerbirligi,2,2,53%,47%,19,6,8,1,11,5,19,18,4,3,2,1,31,29,0,6,16,18,3,5,93,68,93,44,0,0,,,D
lGsWiFCb,03.02.2018 14:00,Antalyaspor,Yeni Malatyaspor,3,1,51%,49%,9,4,5,2,4,2,13,27,6,1,1,0,22,31,1,2,26,12,2,2,24,29,11,14,0,1,,,H
ljCzkDdH,03.02.2018 11:30,Kardemir Karabuk,Alanyaspor,1,0,48%,52%,6,7,4,3,2,4,16,16,8,5,2,3,15,25,3,3,14,13,6,2,81,90,59,53,0,0,,,H
rwsziZR4,02.02.2018 18:00,Bursaspor,Besiktas,2,2,48%,52%,7,13,5,9,2,4,17,24,6,6,2,1,26,19,7,3,22,16,4,2,104,94,63,74,0,0,,,D
UZG0xzDB,29.01.2018 18:00,Basaksehir,Kardemir Karabuk,5,0,65%,35%,17,4,13,2,4,2,6,9,5,0,3,0,18,17,2,8,6,6,0,1,139,71,89,31,0,0,,,H
tAK4yfSH,28.01.2018 17:00,Trabzonspor,Fenerbahce,1,1,45%,55%,7,11,2,6,5,5,21,20,2,11,5,0,26,31,5,1,15,21,2,3,92,103,40,68,0,0,,,D
fecCbQTD,28.01.2018 14:00,Akhisarspor,Antalyaspor,1,1,57%,43%,10,2,5,1,5,1,16,18,11,0,3,1,35,19,0,4,15,16,3,4,115,97,89,47,0,0,,,D
OY99zEsO,28.01.2018 11:30,Yeni Malatyaspor,Sivasspor,1,0,50%,50%,8,11,1,5,7,6,19,21,7,6,3,1,16,24,5,0,19,19,4,2,99,95,61,59,0,0,,,H
voOmuxTh,27.01.2018 17:00,Galatasaray,Ankaraspor,2,0,64%,36%,18,7,7,1,11,6,13,13,6,6,1,2,21,15,1,5,12,11,0,1,120,94,81,65,0,0,,,H
zDHdwGc5,27.01.2018 14:00,Goztepe,Kayserispor,1,1,55%,45%,10,2,5,1,5,1,25,11,2,1,0,1,31,21,0,4,11,25,1,7,130,105,63,45,0,2,,,D
6XPusbbt,27.01.2018 11:30,Alanyaspor,Bursaspor,3,1,54%,46%,10,5,5,3,5,2,24,15,5,3,0,3,23,17,2,2,15,21,1,3,98,91,53,34,0,0,,,H
0fPqtIDn,26.01.2018 18:00,Besiktas,Kasimpasa,2,1,56%,44%,12,9,7,5,5,4,19,20,5,4,3,4,21,18,4,5,18,14,3,2,106,89,81,72,0,0,,,H
dMIhvdra,26.01.2018 18:00,Genclerbirligi,Konyaspor,2,1,49%,51%,9,5,4,3,5,2,27,10,0,5,0,0,24,26,2,2,10,27,3,3,78,94,64,73,1,0,,,H
SrMHxq7f,22.01.2018 18:00,Kayserispor,Galatasaray,1,3,52%,48%,10,12,6,5,4,7,17,18,7,2,1,1,23,27,2,5,17,16,2,0,91,98,69,65,0,0,,,A
I9nYp7aE,21.01.2018 17:00,Antalyaspor,Besiktas,1,2,36%,64%,7,11,3,6,4,5,18,14,5,9,2,2,24,22,4,2,12,16,2,1,101,126,62,66,0,0,,,A
zoswpREK,21.01.2018 14:00,Bursaspor,Basaksehir,0,3,45%,55%,3,5,1,4,2,1,16,14,6,3,2,4,21,17,1,1,12,12,2,3,78,94,60,45,0,0,,,A
6ZKLy3M0,21.01.2018 11:30,Konyaspor,Trabzonspor,2,2,55%,45%,7,13,5,5,2,8,21,12,6,1,2,6,18,13,3,3,11,15,4,4,103,117,55,67,1,1,,,D
hjJTZtiD,21.01.2018 11:30,Sivasspor,Akhisarspor,1,1,56%,44%,12,5,3,4,9,1,25,16,4,2,2,2,19,15,3,2,14,23,3,3,124,81,86,48,0,1,,,D
EytsqoUQ,20.01.2018 17:00,Fenerbahce,Goztepe,2,1,58%,42%,7,5,2,3,5,2,11,23,9,4,6,0,27,12,2,1,17,11,3,4,138,87,103,41,0,0,,,H
EaKPzNy7,20.01.2018 14:00,Ankaraspor,Yeni Malatyaspor,0,0,58%,42%,7,8,4,5,3,3,10,13,5,4,1,0,21,21,5,4,12,10,1,1,94,62,54,35,0,0,,,D
WGS8v5xr,20.01.2018 11:30,Kardemir Karabuk,Genclerbirligi,0,2,53%,47%,7,10,3,3,4,7,25,17,7,2,0,4,29,19,1,3,17,20,2,3,124,123,66,63,0,0,,,A
pKWCwPil,19.01.2018 18:00,Kasimpasa,Alanyaspor,3,2,63%,37%,13,6,9,2,4,4,10,13,10,3,2,2,22,19,0,6,11,8,3,1,136,90,72,27,0,1,,,H
QFanN377,25.12.2017 18:00,Ankaraspor,Akhisarspor,3,2,57%,43%,16,6,11,3,5,3,19,22,2,3,3,2,24,18,1,8,19,17,2,4,96,82,58,43,0,1,,,H
v58eXmVE,24.12.2017 17:30,Galatasaray,Goztepe,3,1,56%,44%,12,6,7,5,5,1,11,21,3,3,4,2,20,23,4,4,17,9,4,2,97,95,61,50,0,0,,,H
p6ivPPxe,24.12.2017 14:30,Kasimpasa,Basaksehir,1,2,38%,62%,9,16,6,9,3,7,16,15,4,3,2,2,16,20,7,5,13,14,3,1,75,111,40,72,0,0,,,A
xtlWQo8r,24.12.2017 12:00,Kardemir Karabuk,Trabzonspor,1,1,45%,55%,10,8,4,4,6,4,19,23,5,5,1,5,33,15,3,3,22,14,6,2,109,106,59,54,0,0,,,D
zX14VRaR,24.12.2017 12:00,Kayserispor,Yeni Malatyaspor,0,1,60%,40%,11,5,7,4,4,1,17,9,5,2,0,3,24,17,3,7,9,14,2,4,107,79,84,42,0,0,,,A
vJmUomp8,23.12.2017 17:30,Konyaspor,Fenerbahce,1,1,50%,50%,7,12,3,9,4,3,15,12,2,7,3,3,33,28,8,2,7,12,4,0,107,135,49,78,0,0,,,D
SUtqOqh1,23.12.2017 14:30,Sivasspor,Besiktas,2,1,41%,59%,10,17,6,8,4,9,13,12,2,15,4,3,15,16,7,4,9,10,1,0,98,156,32,101,0,0,,,H
6FhzQ5Nl,23.12.2017 12:00,Bursaspor,Genclerbirligi,1,1,61%,39%,8,5,3,3,5,2,33,16,7,2,0,3,37,16,2,2,16,30,2,4,120,77,80,35,0,0,,,D
h8CaW7pL,22.12.2017 18:00,Antalyaspor,Alanyaspor,3,1,58%,42%,17,9,11,2,6,7,18,20,10,5,2,0,16,17,1,8,17,16,5,2,100,93,66,44,0,0,,,H
IFF2TJCq,18.12.2017 18:00,Fenerbahce,Kardemir Karabuk,2,0,58%,42%,9,7,5,4,4,3,21,18,10,6,1,1,18,15,4,3,16,20,4,6,125,90,88,68,0,0,,,H
CYxzYa4S,18.12.2017 18:00,Goztepe,Konyaspor,1,0,54%,46%,12,10,9,3,3,7,15,15,3,7,0,1,16,20,3,8,16,15,2,3,97,82,54,64,0,0,,,H
48ZRZLZF,17.12.2017 17:30,Besiktas,Ankaraspor,5,1,53%,47%,18,8,10,4,8,4,17,21,12,3,1,3,14,19,3,5,19,14,1,3,111,82,73,34,0,0,,,H
WIJ6SwSk,17.12.2017 14:30,Yeni Malatyaspor,Galatasaray,2,1,49%,51%,7,6,5,2,2,4,19,15,2,8,1,2,19,27,1,3,14,18,2,0,108,109,65,80,0,0,,,H
QuJARcsd,17.12.2017 12:00,Akhisarspor,Kayserispor,0,2,44%,56%,4,5,2,3,2,2,16,19,6,3,2,0,30,32,1,2,16,16,3,1,90,111,46,74,0,0,,,A
6iAmZ902,17.12.2017 12:00,Basaksehir,Antalyaspor,4,1,58%,42%,22,7,16,3,6,4,11,17,11,0,2,0,17,17,2,12,14,12,3,1,101,76,96,28,0,0,,,H
pr9iYTF8,16.12.2017 17:30,Trabzonspor,Bursaspor,1,0,54%,46%,14,2,2,1,12,1,16,20,4,5,5,1,14,27,1,1,15,15,3,1,106,99,73,59,0,0,,,H
4WHEQHd2,16.12.2017 14:30,Alanyaspor,Sivasspor,1,1,50%,50%,7,9,5,4,2,5,22,17,2,2,6,5,20,14,3,4,11,17,2,1,106,98,77,53,0,0,,,D
YsvWYukM,16.12.2017 12:00,Genclerbirligi,Kasimpasa,0,0,54%,46%,8,4,4,1,4,3,13,15,7,5,2,1,39,30,1,4,13,12,2,1,117,89,93,46,0,0,,,D
QHzOz2K9,11.12.2017 18:00,Konyaspor,Kardemir Karabuk,2,0,52%,48%,12,7,6,1,6,6,18,19,3,2,4,2,23,34,1,4,13,16,3,4,97,110,43,65,0,0,,,H
rgoJyr53,10.12.2017 17:30,Kayserispor,Besiktas,1,1,47%,53%,6,14,3,4,3,10,12,13,0,6,2,4,11,19,3,2,11,8,5,1,87,143,29,99,1,0,,,D
WIsFxOkc,10.12.2017 14:30,Sivasspor,Basaksehir,1,0,43%,57%,7,12,5,5,2,7,14,18,2,5,2,5,24,17,5,4,18,10,4,4,90,123,48,93,1,0,,,H
QHEhLMKM,10.12.2017 12:00,Ankaraspor,Alanyaspor,3,0,46%,54%,10,13,7,9,3,4,6,25,1,9,3,0,14,27,9,4,22,6,3,2,126,127,69,102,0,0,,,H
CEAlM25G,09.12.2017 17:30,Galatasaray,Akhisarspor,4,2,59%,41%,13,5,6,2,7,3,9,12,4,1,1,1,31,16,0,2,11,8,3,4,132,71,112,38,1,1,,,H
IFgXDvDd,09.12.2017 14:30,Antalyaspor,Genclerbirligi,1,1,52%,48%,8,5,3,4,5,1,20,15,2,6,0,2,27,21,3,2,17,20,1,4,80,78,49,40,0,0,,,D
KvEdKtzT,09.12.2017 12:00,Kasimpasa,Trabzonspor,0,3,48%,52%,7,8,6,7,1,1,18,15,6,4,0,2,21,22,4,6,15,16,2,1,109,129,63,69,0,0,,,A
Mm0OF0rp,09.12.2017 12:00,Yeni Malatyaspor,Goztepe,2,3,50%,50%,14,5,6,4,8,1,15,14,3,5,1,1,34,17,1,4,13,14,3,2,137,97,119,46,0,0,,,A
vPfTEKcj,08.12.2017 18:00,Bursaspor,Fenerbahce,0,1,40%,60%,5,8,2,4,3,4,19,16,2,5,1,4,17,29,3,2,16,13,2,3,107,147,46,76,0,0,,,A
lvb0fgG6,04.12.2017 18:00,Alanyaspor,Kayserispor,1,2,47%,53%,6,8,5,5,1,3,10,16,2,9,3,0,33,22,3,4,13,10,5,3,54,73,31,34,1,0,4,3,A
lfnO9YFg,04.12.2017 18:00,Trabzonspor,Antalyaspor,3,0,52%,48%,6,9,5,3,1,6,20,15,1,5,0,3,20,29,3,2,15,17,3,3,73,74,41,49,0,0,,,H
d418hXpJ,03.12.2017 17:30,Fenerbahce,Kasimpasa,4,2,59%,41%,14,7,8,3,6,4,17,19,3,3,1,3,27,19,1,4,15,14,3,1,154,79,108,50,0,0,,,H
CCqeGzwQ,03.12.2017 14:30,Basaksehir,Ankaraspor,1,0,58%,42%,14,7,7,2,7,5,19,9,4,2,0,0,12,17,2,6,9,19,2,3,90,70,74,61,0,0,,,H
b9uiHGNJ,03.12.2017 12:00,Genclerbirligi,Sivasspor,4,0,44%,56%,11,9,8,4,3,5,11,18,6,6,3,2,23,26,4,4,15,9,4,1,64,114,50,81,0,0,,,H
8rVQAE0m,03.12.2017 12:00,Konyaspor,Bursaspor,0,3,57%,43%,20,7,11,5,9,2,11,16,9,1,2,0,16,9,3,11,14,11,2,1,94,52,81,32,0,0,,,A
ID24gDVC,02.12.2017 17:30,Besiktas,Galatasaray,3,0,61%,39%,19,6,9,4,10,2,21,10,9,2,2,3,26,10,4,6,8,18,3,3,129,91,91,51,0,0,,,H
UiWMBfos,02.12.2017 14:30,Kardemir Karabuk,Goztepe,0,1,53%,47%,13,5,6,2,7,3,23,15,14,4,3,2,33,17,1,6,11,21,2,2,110,98,91,35,0,0,,,A
AmadeZ00,02.12.2017 12:00,Akhisarspor,Yeni Malatyaspor,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,D
Y75I2H8Q,27.11.2017 18:00,Kayserispor,Basaksehir,1,1,42%,58%,8,3,4,1,4,2,13,8,1,5,0,1,27,23,0,3,8,12,3,1,98,110,56,77,0,0,,,D
SAUIsGW0,26.11.2017 17:30,Antalyaspor,Fenerbahce,0,1,58%,42%,6,12,4,6,2,6,19,13,3,0,0,1,33,20,5,4,13,17,1,2,117,81,84,54,0,0,,,A
GWAD3cgK,26.11.2017 14:30,Kasimpasa,Konyaspor,2,1,48%,52%,11,11,7,1,4,10,14,12,4,4,2,0,20,24,0,5,8,12,2,0,71,81,37,46,0,0,,,H
AZJNtzn7,26.11.2017 12:00,Bursaspor,Kardemir Karabuk,2,1,53%,47%,8,11,4,4,4,7,20,15,6,7,2,4,17,24,3,2,13,16,3,4,97,126,54,80,0,0,,,H
UwilceWm,26.11.2017 12:00,Sivasspor,Trabzonspor,1,2,51%,49%,11,6,5,3,6,3,20,12,6,3,1,5,32,24,1,4,12,14,3,3,124,105,75,43,0,0,,,A
OxORuf1D,25.11.2017 17:30,Galatasaray,Alanyaspor,2,0,57%,43%,13,3,9,0,4,3,18,20,9,3,1,2,30,15,0,7,19,16,1,5,112,88,98,44,0,0,,,H
SO9idFof,25.11.2017 14:30,Yeni Malatyaspor,Besiktas,0,0,40%,60%,8,6,3,4,5,2,17,16,3,9,2,1,22,25,4,3,14,16,2,1,69,107,37,97,0,0,,,D
xtC94wvE,25.11.2017 12:00,Goztepe,Akhisarspor,2,0,59%,41%,10,5,7,0,3,5,14,14,12,2,2,3,20,21,0,5,12,11,2,1,142,80,88,61,0,0,,,H
zHipbyHs,24.11.2017 18:00,Ankaraspor,Genclerbirligi,2,0,45%,55%,4,9,3,2,1,7,13,22,1,9,3,2,13,21,2,1,19,11,1,1,94,110,56,78,0,0,,,H
23X6pInr,20.11.2017 18:00,Kardemir Karabuk,Kasimpasa,0,2,48%,52%,9,6,2,4,7,2,15,14,6,4,1,3,30,17,2,2,12,11,1,3,,,,,0,0,,,A
ldiWjK9E,19.11.2017 17:30,Fenerbahce,Sivasspor,4,1,61%,39%,11,4,6,1,5,3,17,20,8,3,4,2,18,24,0,2,15,15,3,6,0,0,0,0,0,1,,,H
lKVErdHf,19.11.2017 14:30,Trabzonspor,Ankaraspor,4,3,50%,50%,17,7,10,5,7,2,13,19,6,4,2,1,32,18,2,6,16,12,4,4,110,118,90,75,0,0,,,H
fcAuUd21,19.11.2017 12:00,Alanyaspor,Yeni Malatyaspor,1,0,46%,54%,8,9,5,6,3,3,14,19,8,2,2,2,18,31,6,4,17,12,1,2,,,,,0,0,,,H
rJjzjvPK,19.11.2017 12:00,Genclerbirligi,Kayserispor,1,2,42%,58%,9,10,3,6,6,4,21,22,4,8,6,2,23,22,4,2,16,19,0,3,,,,,0,0,,,A
dMfvkbvR,18.11.2017 17:30,Basaksehir,Galatasaray,5,1,55%,45%,6,12,5,6,1,6,10,13,4,5,2,2,17,29,5,0,10,9,0,2,0,0,0,0,0,0,,,H
tfWAqx2l,18.11.2017 14:30,Konyaspor,Antalyaspor,1,1,54%,46%,15,9,5,3,10,6,9,8,7,5,1,1,30,23,2,4,8,9,2,2,109,81,106,65,0,0,,,D
A5hSi0f8,18.11.2017 12:00,Bursaspor,Goztepe,0,0,53%,47%,11,9,2,2,9,7,16,8,11,5,3,0,12,18,2,2,4,16,0,3,100,89,91,63,0,0,,,D
Ym9qTGH7,17.11.2017 18:00,Besiktas,Akhisarspor,0,0,60%,40%,14,4,4,3,10,1,21,18,11,5,2,6,17,11,3,4,16,15,4,6,121,87,99,37,0,1,,,D
MoiijmJ3,05.11.2017 17:30,Goztepe,Besiktas,1,3,43%,57%,8,15,7,6,1,9,18,19,8,3,4,3,16,22,3,6,15,15,1,1,99,93,71,61,1,0,,,A
l07XVIXl,05.11.2017 17:30,Sivasspor,Konyaspor,2,1,52%,48%,13,9,11,5,2,4,17,11,7,2,0,1,29,28,4,9,11,17,0,2,107,110,71,48,0,0,,,H
0zByVxme,05.11.2017 14:30,Yeni Malatyaspor,Basaksehir,0,2,37%,63%,7,10,2,4,5,6,18,15,2,8,0,4,24,17,2,2,14,14,1,2,67,79,53,63,0,0,,,A
CG90TPBj,05.11.2017 12:00,Akhisarspor,Alanyaspor,0,4,54%,46%,5,14,4,7,1,7,13,12,3,6,2,0,15,15,3,4,10,13,2,2,110,91,67,53,0,0,,,A
6yISWbIr,04.11.2017 17:30,Ankaraspor,Fenerbahce,1,1,43%,57%,12,5,5,4,7,1,20,16,6,11,9,0,18,20,3,4,8,21,2,5,90,111,77,58,0,0,,,D
QJcrh9li,04.11.2017 14:30,Antalyaspor,Kardemir Karabuk,2,1,47%,53%,12,10,10,3,2,7,10,19,3,9,3,0,23,11,2,8,15,11,3,2,88,85,65,71,0,1,,,H
0xjek7Y9,04.11.2017 12:00,Kasimpasa,Bursaspor,2,2,45%,55%,13,13,9,5,4,8,14,11,1,4,3,1,18,23,3,7,7,12,2,3,78,97,47,69,1,0,,,D
UBfalRmG,04.11.2017 12:00,Kayserispor,Trabzonspor,0,0,54%,46%,11,3,4,0,7,3,25,11,9,1,0,1,21,31,0,4,10,25,2,3,102,90,82,54,0,0,,,D
vN1niT3c,03.11.2017 18:00,Galatasaray,Genclerbirligi,5,1,61%,39%,15,8,8,5,7,3,17,14,4,7,1,1,23,18,4,3,13,16,1,5,119,85,89,58,0,0,,,H
zF0HwAZc,30.10.2017 18:00,Fenerbahce,Kayserispor,3,3,49%,51%,12,7,5,4,7,3,15,17,6,6,4,1,17,36,1,2,13,14,3,1,84,91,56,68,0,0,,,D
YPAdU5dp,29.10.2017 17:30,Trabzonspor,Galatasaray,2,1,49%,51%,12,3,6,2,6,1,21,18,4,2,3,1,16,25,1,4,15,20,0,5,94,93,74,48,1,2,,,H
6udDvjKi,29.10.2017 14:30,Bursaspor,Antalyaspor,4,0,55%,45%,8,5,6,1,2,4,11,11,4,5,1,2,17,23,1,2,9,9,,,95,105,70,70,0,1,,,H
AXhUz8JG,29.10.2017 12:00,Kardemir Karabuk,Sivasspor,0,1,55%,45%,11,3,4,1,7,2,15,16,11,1,6,0,27,15,0,4,12,15,4,0,126,90,96,34,0,0,,,A
roixZolT,29.10.2017 12:00,Konyaspor,Ankaraspor,1,0,62%,38%,5,2,2,1,3,1,9,15,8,2,1,0,26,26,1,1,14,9,2,2,137,89,91,46,0,0,,,H
Slc9uW4o,28.10.2017 18:30,Alanyaspor,Besiktas,1,2,35%,65%,7,11,3,5,4,6,11,21,7,11,4,3,14,25,3,2,17,9,3,1,101,147,54,115,0,0,,,A
dUlQyl4A,28.10.2017 15:30,Basaksehir,Akhisarspor,2,1,57%,43%,8,7,4,4,4,3,11,9,5,2,3,0,27,23,3,2,6,11,2,3,144,88,99,63,0,0,,,H
E5aLxUl4,28.10.2017 13:00,Genclerbirligi,Yeni Malatyaspor,0,1,35%,65%,5,6,1,2,4,4,12,21,2,4,3,0,22,17,1,1,16,12,1,4,82,103,45,60,1,0,,,A
4fhYZRYM,27.10.2017 19:00,Kasimpasa,Goztepe,3,1,52%,48%,14,6,6,2,8,4,12,14,5,3,2,3,21,16,1,3,11,9,1,0,88,105,67,65,0,0,,,H
SlyvQj5b,23.10.2017 19:00,Besiktas,Basaksehir,1,1,50%,50%,13,9,3,5,10,4,16,12,9,5,0,3,15,13,4,2,12,12,5,2,113,106,82,63,0,0,,,D
MBzrPAK4,22.10.2017 18:30,Galatasaray,Fenerbahce,0,0,49%,51%,10,4,7,0,3,4,14,21,8,6,0,0,22,26,0,7,20,14,5,2,86,90,56,45,1,0,,,D
IwUjNlkH,22.10.2017 15:30,Kayserispor,Konyaspor,2,1,48%,52%,19,8,8,4,11,4,9,18,4,3,2,0,32,22,3,6,15,7,0,2,91,77,57,44,0,0,,,H
jiSbLSJT,22.10.2017 13:00,Sivasspor,Bursaspor,0,0,50%,50%,10,9,3,3,7,6,15,16,5,4,4,2,26,25,3,3,12,13,1,2,95,92,61,57,0,0,,,D
QqJQGnSp,21.10.2017 18:30,Yeni Malatyaspor,Trabzonspor,1,0,52%,48%,10,9,2,4,8,5,18,20,5,2,2,1,25,27,4,1,18,17,3,5,104,111,64,59,0,2,,,H
WMsVRCzn,21.10.2017 15:30,Akhisarspor,Genclerbirligi,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,D
dUSfM84N,21.10.2017 13:00,Ankaraspor,Kardemir Karabuk,3,0,48%,52%,9,8,5,4,4,4,20,16,2,5,5,4,19,15,4,2,11,17,2,1,108,102,58,67,0,0,,,H
EoXZQWkh,20.10.2017 19:00,Antalyaspor,Kasimpasa,2,1,59%,41%,13,8,8,2,5,6,17,18,6,5,1,2,20,10,1,6,17,14,4,5,113,93,101,64,0,1,,,H
02ZoOUZA,20.10.2017 19:00,Goztepe,Alanyaspor,3,3,48%,52%,10,9,4,5,6,4,16,18,4,9,3,3,20,15,2,1,12,15,1,5,59,63,67,72,0,0,,,D
x0MeDDLh,16.10.2017 19:00,Bursaspor,Ankaraspor,3,1,46%,54%,7,8,3,4,4,4,14,15,5,8,1,1,22,22,3,0,14,13,2,4,80,94,45,74,1,0,,,H
fyH0CXza,15.10.2017 18:30,Fenerbahce,Yeni Malatyaspor,3,1,53%,47%,16,7,10,2,6,5,16,24,7,4,3,3,20,26,1,7,21,14,1,1,106,86,72,40,0,0,,,H
hWrRShLu,15.10.2017 15:30,Trabzonspor,Akhisarspor,1,6,57%,43%,8,12,3,8,5,4,14,16,6,2,2,3,21,18,2,2,12,11,1,2,124,72,93,44,0,0,,,A
OG8H8kzO,15.10.2017 13:00,Kasimpasa,Sivasspor,2,3,43%,57%,8,11,3,5,5,6,20,18,6,5,1,2,15,23,2,1,15,17,4,4,49,58,27,33,0,0,,,A
277L79kU,14.10.2017 18:30,Konyaspor,Galatasaray,0,2,47%,53%,5,6,0,4,5,2,11,14,6,5,4,2,10,13,2,0,10,8,2,1,85,92,81,71,0,0,,,A
b9NiEg6n,14.10.2017 15:30,Antalyaspor,Goztepe,1,3,51%,49%,10,11,5,4,5,7,16,15,5,2,3,3,23,15,1,4,12,13,4,3,86,84,82,49,1,0,,,A
SlF8AB5B,14.10.2017 15:30,Basaksehir,Alanyaspor,2,1,58%,42%,10,12,6,7,4,5,10,11,6,4,3,0,23,22,6,4,10,10,2,1,153,107,108,70,0,0,,,H
thJC9VKH,14.10.2017 13:00,Kardemir Karabuk,Kayserispor,1,0,46%,54%,6,11,5,5,1,6,18,31,4,5,4,3,15,34,5,4,26,15,5,1,95,110,65,86,1,0,,,H
YRF4Bij5,13.10.2017 19:00,Genclerbirligi,Besiktas,2,1,42%,58%,9,8,5,2,4,6,12,25,4,9,5,2,17,28,1,3,20,10,3,0,91,102,59,95,0,1,,,H
AVaPE5u0,01.10.2017 18:30,Besiktas,Trabzonspor,2,2,54%,46%,9,10,3,7,6,3,21,17,1,4,0,0,23,19,5,1,17,20,4,4,114,111,69,70,0,0,,,D
WplYCqAC,01.10.2017 18:30,Goztepe,Basaksehir,1,2,58%,42%,15,5,7,3,8,2,18,15,8,4,3,5,32,12,1,6,11,11,,,116,81,86,57,0,0,,,A
dSeLFoQg,01.10.2017 15:30,Alanyaspor,Genclerbirligi,4,1,50%,50%,13,6,7,3,6,3,21,13,2,4,4,0,12,12,2,3,9,20,2,4,97,96,63,71,1,0,,,H
4nOmFZjt,01.10.2017 13:00,Yeni Malatyaspor,Konyaspor,1,1,53%,47%,4,6,1,2,3,4,23,17,3,2,2,1,20,22,1,0,15,22,5,2,97,95,54,51,1,0,,,D
hfkUDPf6,30.09.2017 18:30,Galatasaray,Kardemir Karabuk,3,2,55%,45%,12,7,7,5,5,2,11,14,8,3,2,2,34,19,3,4,12,9,4,3,117,87,98,58,0,0,,,H
0KhxC3PI,30.09.2017 15:30,Kayserispor,Bursaspor,3,1,59%,41%,9,7,4,2,5,5,13,11,5,7,0,2,23,25,1,1,12,11,1,2,98,91,69,58,0,0,,,H
vBitBNvP,30.09.2017 13:00,Ankaraspor,Kasimpasa,3,0,55%,45%,10,4,6,0,4,4,19,21,4,3,1,0,23,29,0,3,20,19,2,2,128,108,64,59,0,0,,,H
rqIMJFrP,30.09.2017 13:00,Sivasspor,Antalyaspor,3,1,51%,49%,8,14,4,7,4,7,26,16,4,3,0,4,23,24,6,1,16,22,2,5,97,99,49,62,1,0,,,H
25dHGRAm,29.09.2017 19:00,Akhisarspor,Fenerbahce,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,H
nZoMJfRR,25.09.2017 19:00,Antalyaspor,Ankaraspor,3,0,55%,45%,7,9,6,4,1,5,17,25,4,3,3,2,8,24,4,3,22,15,4,3,94,103,51,50,1,0,,,H
lrYmFEZr,24.09.2017 18:30,Bursaspor,Galatasaray,1,2,48%,52%,7,11,5,6,2,5,16,13,6,9,2,1,21,29,4,4,11,15,0,2,81,134,49,100,0,0,,,A
hzV4BWY7,24.09.2017 15:30,Kasimpasa,Kayserispor,1,1,44%,56%,10,7,5,4,5,3,11,16,2,5,1,0,28,31,3,4,17,11,1,1,64,65,34,34,0,0,,,D
