id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
pxY45mal,29.04.2018 18:00,Galatasaray,Besiktas,2,0,44%,56%,12,10,8,4,4,6,21,25,7,2,2,5,18,21,4,6,23,16,2,2,132,104,99,69,0,1,,,H
EHPL15bD,29.04.2018 15:00,Ankaraspor,Basaksehir,1,4,28%,72%,9,10,4,5,5,5,10,14,6,10,1,0,23,19,1,3,13,10,4,2,84,100,63,89,0,0,,,A
UP78P8jK,29.04.2018 12:30,Yeni Malatyaspor,Akhisarspor,0,0,54%,46%,10,5,2,0,8,5,18,15,4,5,1,2,31,23,0,2,14,16,0,1,89,94,66,62,0,0,,,D
GMsZA9yR,28.04.2018 18:00,Antalyaspor,Trabzonspor,1,2,46%,54%,14,7,10,4,4,3,10,18,9,4,1,2,26,13,2,9,17,8,4,3,106,89,90,53,0,0,,,A
6iMD3RT0,28.04.2018 18:00,Kasimpasa,Fenerbahce,1,4,44%,56%,13,13,4,10,9,3,15,24,5,2,3,1,28,24,6,3,21,14,2,1,86,99,68,74,0,0,,,A
zRQH2oq7,28.04.2018 12:30,Kayserispor,Alanyaspor,1,2,47%,53%,10,10,6,6,4,4,11,20,1,4,2,1,29,17,4,5,18,10,5,0,117,85,79,55,1,0,,,A
GM34QlyE,28.04.2018 12:30,Sivasspor,Genclerbirligi,1,0,49%,51%,9,5,7,4,2,1,15,13,4,5,1,3,20,23,4,6,12,12,0,4,119,108,47,54,0,0,,,H
S0N947Ef,27.04.2018 19:00,Goztepe,Kardemir Karabuk,5,0,56%,44%,17,8,11,2,6,6,4,13,6,2,1,0,14,12,2,6,11,4,0,1,99,73,78,41,0,0,,,H
WY7Vjlpe,23.04.2018 19:00,Fenerbahce,Antalyaspor,4,1,54%,46%,13,8,6,5,7,3,17,12,7,2,3,7,31,26,4,2,9,10,1,2,104,100,70,41,0,0,,,H
hr9RiUUl,22.04.2018 18:00,Besiktas,Yeni Malatyaspor,3,1,63%,37%,19,10,6,5,13,5,17,10,7,0,0,3,30,13,4,3,10,13,0,2,97,76,87,34,0,0,,,H
r9Necj7R,22.04.2018 15:00,Akhisarspor,Goztepe,1,1,47%,53%,7,8,2,4,5,4,18,18,3,7,4,1,26,29,3,1,14,18,2,3,101,99,68,64,0,0,,,D
KflQCV6E,22.04.2018 15:00,Konyaspor,Kasimpasa,2,0,50%,50%,11,8,3,1,8,7,10,14,9,8,3,0,19,27,1,1,11,9,2,1,93,104,72,75,0,0,,,H
pI9NhAFr,21.04.2018 18:00,Alanyaspor,Galatasaray,2,3,41%,59%,7,6,6,3,1,3,16,24,6,1,3,4,20,25,1,4,20,13,3,2,94,133,81,94,0,0,,,A
xWrVBkMK,21.04.2018 15:00,Trabzonspor,Sivasspor,0,2,49%,51%,14,5,9,3,5,2,18,22,6,1,6,1,11,18,1,9,14,15,2,1,106,84,70,46,0,0,,,A
Ecczj8a1,21.04.2018 12:30,Genclerbirligi,Ankaraspor,0,3,50%,50%,6,14,3,8,3,6,13,19,4,5,0,1,30,24,5,3,20,13,2,1,112,98,87,61,0,0,,,A
t4kMDBi8,21.04.2018 12:30,Kardemir Karabuk,Bursaspor,1,4,48%,52%,5,8,3,6,2,2,23,15,2,3,1,1,23,22,2,2,16,21,2,4,95,129,50,76,1,0,,,A
S01vkSE7,20.04.2018 19:00,Basaksehir,Kayserispor,3,1,54%,46%,9,3,5,2,4,1,15,20,4,3,2,1,18,23,1,2,18,13,1,1,100,103,57,49,0,0,,,H
