id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,result,Goal Kicks_home,Goal Kicks_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Blocked Shots_home,Blocked Shots_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away
Ikvwig2g,04.05.2014 14:30,Bursaspor,Trabzonspor,2,2,56%,44%,19.0,14.0,11.0,8.0,8.0,6.0,24.0,14.0,9.0,6.0,0.0,6.0,13.0,26.0,6.0,9.0,12.0,15.0,5.0,2.0,0,0,D,,,,,,,,,,,,,,
MNpUhFXt,04.05.2014 14:30,Rizespor,Sivasspor,1,1,51%,49%,16.0,13.0,4.0,4.0,12.0,9.0,15.0,19.0,3.0,3.0,2.0,0.0,26.0,18.0,3.0,3.0,16.0,14.0,1.0,3.0,0,0,D,,,,,,,,,,,,,,
QFsokXW5,03.05.2014 18:00,Besiktas,Kasimpasa,2,1,46%,54%,9.0,12.0,3.0,5.0,6.0,7.0,25.0,25.0,4.0,8.0,8.0,2.0,15.0,22.0,4.0,1.0,15.0,22.0,1.0,1.0,0,0,H,,,,,,,,,,,,,,
URM0As3E,03.05.2014 18:00,Galatasaray,Genclerbirligi,3,2,50%,50%,13.0,8.0,4.0,3.0,9.0,5.0,27.0,26.0,6.0,3.0,1.0,5.0,21.0,21.0,1.0,1.0,23.0,22.0,5.0,5.0,0,0,H,,,,,,,,,,,,,,
dtwsjDHa,03.05.2014 14:30,Antalyaspor,Elazigspor,1,2,50%,50%,15.0,13.0,3.0,4.0,12.0,9.0,24.0,23.0,2.0,1.0,2.0,1.0,21.0,16.0,2.0,2.0,20.0,23.0,5.0,7.0,0,1,A,,,,,,,,,,,,,,
zRlYiZnm,03.05.2014 14:30,Eskisehirspor,Kayserispor,1,4,59%,41%,9.0,12.0,2.0,6.0,7.0,6.0,20.0,19.0,6.0,2.0,4.0,3.0,25.0,16.0,2.0,1.0,20.0,17.0,2.0,1.0,0,0,A,,,,,,,,,,,,,,
jyOdBNm8,03.05.2014 14:30,Kardemir Karabuk,Konyaspor,2,2,44%,56%,12.0,12.0,3.0,3.0,9.0,9.0,20.0,26.0,2.0,7.0,2.0,1.0,10.0,25.0,1.0,2.0,22.0,15.0,2.0,2.0,0,0,D,,,,,,,,,,,,,,
nVVgmB1I,03.05.2014 14:30,Kayseri Erciyesspor,Gaziantepspor,1,0,50%,50%,15.0,5.0,4.0,2.0,11.0,3.0,14.0,11.0,6.0,2.0,1.0,1.0,24.0,20.0,2.0,3.0,9.0,12.0,4.0,4.0,1,0,H,,,,,,,,,,,,,,
jqILnvB7,27.04.2014 18:00,Elazigspor,Galatasaray,0,1,58%,42%,18.0,12.0,5.0,4.0,13.0,8.0,21.0,14.0,14.0,3.0,4.0,4.0,18.0,16.0,3.0,5.0,11.0,17.0,3.0,2.0,1,0,A,,,,,,,,,,,,,,
M3Q4jMBr,27.04.2014 18:00,Eskisehirspor,Kayseri Erciyesspor,0,1,57%,43%,18.0,5.0,7.0,2.0,11.0,3.0,15.0,9.0,6.0,3.0,1.0,1.0,30.0,16.0,1.0,7.0,12.0,18.0,1.0,3.0,0,0,A,,,,,,,,,,,,,,
4SF9ktRl,27.04.2014 18:00,Fenerbahce,Rizespor,0,0,60%,40%,18.0,6.0,3.0,2.0,15.0,4.0,11.0,12.0,6.0,2.0,2.0,5.0,21.0,17.0,2.0,3.0,17.0,10.0,1.0,3.0,0,0,D,,,,,,,,,,,,,,
ChJHmKe1,27.04.2014 18:00,Kasimpasa,Antalyaspor,2,0,57%,43%,15.0,11.0,4.0,4.0,11.0,7.0,15.0,10.0,3.0,4.0,0.0,2.0,15.0,20.0,4.0,2.0,15.0,17.0,2.0,3.0,0,0,H,,,,,,,,,,,,,,
U5oQc4J8,27.04.2014 18:00,Kayserispor,Kardemir Karabuk,1,3,60%,40%,15.0,8.0,5.0,5.0,10.0,3.0,20.0,15.0,9.0,2.0,3.0,2.0,12.0,9.0,2.0,4.0,17.0,24.0,2.0,3.0,0,0,A,,,,,,,,,,,,,,
CUzVdOYE,27.04.2014 18:00,Konyaspor,Akhisarspor,4,0,64%,36%,20.0,4.0,9.0,1.0,11.0,3.0,10.0,11.0,4.0,3.0,1.0,0.0,19.0,15.0,1.0,5.0,16.0,8.0,3.0,3.0,0,1,H,,,,,,,,,,,,,,
IVJDl0te,27.04.2014 18:00,Sivasspor,Besiktas,3,0,37%,63%,9.0,14.0,5.0,4.0,4.0,10.0,12.0,10.0,3.0,9.0,3.0,4.0,24.0,14.0,4.0,2.0,13.0,15.0,1.0,1.0,0,0,H,,,,,,,,,,,,,,
jLZYerlL,26.04.2014 18:00,Trabzonspor,Gaziantepspor,2,1,46%,54%,15.0,11.0,8.0,2.0,7.0,9.0,17.0,20.0,5.0,6.0,2.0,0.0,21.0,36.0,1.0,6.0,18.0,15.0,1.0,1.0,0,0,H,,,,,,,,,,,,,,
Kfvwe23R,25.04.2014 19:00,Genclerbirligi,Bursaspor,1,0,53%,47%,9.0,10.0,5.0,3.0,4.0,7.0,15.0,27.0,9.0,9.0,5.0,0.0,20.0,21.0,3.0,4.0,18.0,13.0,6.0,5.0,0,2,H,,,,,,,,,,,,,,
bRAerPJL,21.04.2014 19:00,Antalyaspor,Sivasspor,1,2,50%,50%,18.0,11.0,3.0,5.0,15.0,6.0,17.0,21.0,9.0,3.0,1.0,3.0,28.0,22.0,3.0,2.0,19.0,12.0,4.0,1.0,0,0,A,,,,,,,,,,,,,,
IVsMbp42,21.04.2014 19:00,Kardemir Karabuk,Eskisehirspor,0,0,36%,64%,14.0,6.0,7.0,1.0,7.0,5.0,10.0,24.0,3.0,8.0,1.0,0.0,33.0,14.0,1.0,7.0,18.0,10.0,1.0,2.0,0,0,D,,,,,,,,,,,,,,
