id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,Blocked Shots_home,Blocked Shots_away,result,Tackles_home,Tackles_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away
0WG5Wh4i,14.05.2021 21:00,Zamalek,Enppi,3,1,52%,48%,10.0,14.0,5.0,4.0,5.0,10.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,311.0,222.0,,,60.0,47.0,48.0,53.0,9.0,17.0,24.0,18.0,16.0,6.0,0,0,,,,,H,11.0,14.0,,,,
nTSN79Rj,14.05.2021 19:00,Ghazl El Mahallah,Al Masry,1,2,47%,53%,12.0,13.0,2.0,3.0,10.0,10.0,4.0,6.0,0.0,1.0,1.0,1.0,2.0,4.0,194.0,228.0,,,98.0,115.0,64.0,63.0,19.0,18.0,28.0,26.0,19.0,18.0,0,0,,,,,A,15.0,15.0,,,,
8xUJ8kCp,14.05.2021 17:00,El Ismaily,Aswan SC,3,2,73%,27%,13.0,13.0,5.0,4.0,8.0,9.0,4.0,4.0,0.0,3.0,2.0,2.0,2.0,2.0,490.0,103.0,,,120.0,81.0,69.0,44.0,18.0,20.0,23.0,11.0,21.0,12.0,0,0,,,,,H,11.0,17.0,,,,
48PbDV3T,14.05.2021 17:00,National Bank Egypt,Arab Contractors,0,1,55%,45%,12.0,9.0,3.0,7.0,9.0,2.0,3.0,0.0,0.0,1.0,6.0,3.0,2.0,1.0,309.0,231.0,,,113.0,124.0,54.0,51.0,,,0.0,0.0,22.0,13.0,0,0,,,,,A,11.0,9.0,,,,
Ao62lpa2,10.05.2021 21:30,Al Ahly,Zamalek,1,1,53%,47%,10.0,14.0,3.0,6.0,7.0,8.0,7.0,4.0,2.0,2.0,5.0,2.0,1.0,2.0,397.0,336.0,,,107.0,112.0,47.0,46.0,,,,,11.0,14.0,0,0,,,,,D,,,,,,
M7rzkdYF,10.05.2021 21:30,El Gouna,Aswan SC,1,1,57%,43%,11.0,9.0,3.0,4.0,8.0,5.0,5.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,399.0,141.0,,,141.0,109.0,69.0,45.0,,,,,13.0,14.0,0,1,,,,,D,,,,,,
SMtItYud,10.05.2021 21:30,National Bank Egypt,El Ismaily,0,2,30%,70%,4.0,15.0,3.0,4.0,1.0,11.0,3.0,7.0,3.0,2.0,2.0,3.0,1.0,1.0,162.0,429.0,,,99.0,110.0,53.0,77.0,,,,,18.0,14.0,1,0,,,,,A,,,,,,
6DuMuhe2,10.05.2021 21:30,Smouha,Wadi Degla,2,1,51%,49%,10.0,9.0,4.0,6.0,6.0,3.0,2.0,3.0,,,5.0,2.0,1.0,2.0,,,,,,,,,16.0,17.0,18.0,16.0,,,0,1,,,,,H,,,,,,
EF0smz3S,09.05.2021 21:30,Al Masry,Misr Lel Makkasa,0,0,58%,42%,10.0,6.0,1.0,1.0,9.0,5.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,5.0,428.0,224.0,,,102.0,80.0,58.0,45.0,,,,,17.0,22.0,0,0,,,,,D,,,,,,
GUsvlGmM,09.05.2021 21:30,El Gaish,Ghazl El Mahallah,3,1,49%,51%,14.0,7.0,9.0,4.0,5.0,3.0,6.0,7.0,,,3.0,6.0,3.0,2.0,,,,,70.0,73.0,39.0,38.0,13.0,23.0,20.0,24.0,,,0,0,,,,,H,,,,,,
KdwArfBq,09.05.2021 21:30,Enppi,Al Ittihad,0,0,49%,51%,5.0,8.0,1.0,3.0,4.0,5.0,5.0,4.0,0.0,1.0,3.0,1.0,1.0,2.0,188.0,255.0,,,106.0,146.0,40.0,62.0,,,,,11.0,17.0,0,0,,,,,D,,,,,,
bmxEsEQk,09.05.2021 21:30,Pyramids,Ceramica Cleopatra,2,4,59%,41%,25.0,6.0,6.0,5.0,19.0,1.0,9.0,0.0,3.0,1.0,1.0,4.0,3.0,5.0,364.0,164.0,,,128.0,89.0,76.0,23.0,,,,,14.0,9.0,0,0,,,,,A,,,,,,
rHqWkxJ9,08.05.2021 21:30,Arab Contractors,El-Entag El-Harby,1,1,59%,41%,7.0,6.0,2.0,1.0,5.0,5.0,7.0,2.0,2.0,0.0,0.0,1.0,3.0,5.0,276.0,162.0,,,55.0,54.0,54.0,42.0,,,,,21.0,22.0,0,0,,,,,D,,,,,,
nkjNiblc,06.05.2021 21:30,Al Ittihad,Al Ahly,1,2,39%,61%,9.0,16.0,4.0,4.0,5.0,12.0,6.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,190.0,454.0,,,102.0,125.0,58.0,66.0,,,,,20.0,11.0,0,0,,,,,A,,,,,,
d28EorqL,06.05.2021 21:30,Ghazl El Mahallah,Enppi,1,0,44%,56%,11.0,9.0,4.0,5.0,7.0,4.0,3.0,7.0,3.0,0.0,5.0,3.0,3.0,4.0,,,,,78.0,85.0,38.0,50.0,10.0,26.0,18.0,25.0,22.0,10.0,0,1,,,,,H,,,,,,
Yo2uTEBd,06.05.2021 21:30,Wadi Degla,Pyramids,1,3,49%,51%,10.0,23.0,2.0,11.0,8.0,12.0,6.0,3.0,0.0,1.0,8.0,1.0,1.0,4.0,221.0,349.0,,,86.0,100.0,40.0,74.0,,,,,12.0,16.0,0,0,,,,,A,,,,,,
QukRjI33,06.05.2021 21:30,Zamalek,Smouha,2,1,51%,49%,18.0,16.0,4.0,6.0,14.0,10.0,5.0,5.0,2.0,1.0,5.0,2.0,0.0,1.0,378.0,318.0,,,119.0,114.0,56.0,57.0,,,,,15.0,11.0,0,0,,,,,H,,,,,,
zBM4ZGYS,05.05.2021 21:30,Aswan SC,Al Masry,2,3,31%,69%,9.0,13.0,2.0,6.0,7.0,7.0,7.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,148.0,472.0,,,73.0,104.0,46.0,49.0,,,,,15.0,14.0,0,0,,,,,A,,,,,,
SpN0zcJM,05.05.2021 21:30,Ceramica Cleopatra,Arab Contractors,1,1,49%,51%,9.0,9.0,3.0,3.0,6.0,6.0,4.0,6.0,0.0,1.0,2.0,2.0,,,283.0,311.0,,,109.0,115.0,59.0,65.0,,,,,11.0,13.0,0,0,,,,,D,,,,,,
xK8WUzsp,05.05.2021 21:30,El Ismaily,El Gouna,3,2,51%,49%,6.0,6.0,6.0,3.0,0.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,5.0,293.0,269.0,,,95.0,86.0,46.0,50.0,,,,,20.0,29.0,0,0,,,,,H,,,,,,
KrbyUfdj,05.05.2021 21:30,Misr Lel Makkasa,El Gaish,0,2,67%,33%,9.0,8.0,4.0,4.0,5.0,4.0,4.0,1.0,,,2.0,4.0,3.0,1.0,,,,,71.0,60.0,33.0,35.0,12.0,12.0,23.0,14.0,,,0,0,,,,,A,,,,,,
lfOdyw4G,04.05.2021 21:30,El-Entag El-Harby,National Bank Egypt,1,3,55%,45%,20.0,11.0,7.0,4.0,13.0,7.0,6.0,3.0,2.0,0.0,1.0,6.0,,,306.0,234.0,,,104.0,94.0,81.0,51.0,,,,,11.0,17.0,0,0,,,,,A,,,,,,
6VYixJlA,03.05.2021 21:30,Ghazl El Mahallah,Al Ahly,1,0,37%,63%,10.0,13.0,4.0,6.0,6.0,7.0,2.0,6.0,2.0,2.0,6.0,3.0,6.0,1.0,123.0,433.0,,,86.0,143.0,44.0,107.0,,,,,22.0,11.0,0,0,,,,,H,,,,,,
b5VqvuKc,02.05.2021 21:30,Enppi,Misr Lel Makkasa,2,0,48%,52%,9.0,8.0,4.0,1.0,5.0,7.0,4.0,5.0,7.0,1.0,1.0,2.0,1.0,0.0,233.0,280.0,,,105.0,118.0,76.0,52.0,,,,,13.0,15.0,0,0,,,,,H,,,,,,
hSUmwaZ3,02.05.2021 21:30,Zamalek,Pyramids,1,1,50%,50%,13.0,9.0,2.0,3.0,11.0,6.0,4.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,340.0,317.0,,,82.0,79.0,56.0,57.0,,,,,14.0,20.0,0,0,,,,,D,,,,,,
46lgHHCp,01.05.2021 21:30,El Gaish,Aswan SC,3,0,55%,45%,14.0,9.0,9.0,4.0,5.0,5.0,4.0,3.0,3.0,0.0,4.0,6.0,1.0,1.0,256.0,215.0,,,103.0,95.0,69.0,55.0,,,,,14.0,9.0,0,0,,,,,H,,,,,,
rcmcGySj,01.05.2021 21:30,El-Entag El-Harby,El Ismaily,0,2,43%,57%,8.0,16.0,2.0,6.0,6.0,10.0,4.0,7.0,3.0,0.0,4.0,2.0,2.0,2.0,307.0,429.0,,,128.0,124.0,78.0,70.0,,,,,14.0,12.0,0,0,,,,,A,,,,,,
nR1RLc4T,01.05.2021 21:30,Smouha,Al Ittihad,2,2,43%,57%,12.0,14.0,6.0,5.0,6.0,9.0,3.0,5.0,0.0,1.0,3.0,4.0,4.0,2.0,156.0,237.0,,,100.0,116.0,56.0,75.0,,,,,18.0,21.0,0,0,,,,,D,,,,,,
006C8mUC,30.04.2021 21:30,Al Ahly,El Gouna,1,1,54%,46%,10.0,6.0,3.0,2.0,7.0,4.0,4.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,448.0,346.0,,,99.0,80.0,81.0,44.0,,,,,17.0,18.0,0,0,,,,,D,,,,,,
zibNMwkN,30.04.2021 21:30,National Bank Egypt,Ceramica Cleopatra,1,1,43%,57%,13.0,14.0,7.0,4.0,6.0,10.0,7.0,2.0,3.0,0.0,3.0,6.0,0.0,1.0,209.0,365.0,,,84.0,117.0,53.0,68.0,,,,,27.0,11.0,0,0,,,,,D,,,,,,
hS8INJZG,29.04.2021 21:30,Zamalek,Arab Contractors,2,2,60%,40%,17.0,9.0,5.0,3.0,12.0,6.0,6.0,7.0,1.0,2.0,1.0,3.0,1.0,3.0,422.0,237.0,,,127.0,94.0,81.0,44.0,,,,,16.0,13.0,0,0,,,,,D,,,,,,
CGoZfUaD,27.04.2021 21:30,Al Masry,Al Ahly,1,2,56%,44%,18.0,10.0,5.0,5.0,13.0,5.0,12.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,450.0,323.0,,,137.0,94.0,94.0,48.0,,,,,8.0,16.0,0,0,,,,,A,,,,,,
E3WoNnq6,26.04.2021 21:30,Zamalek,National Bank Egypt,4,1,59%,41%,18.0,8.0,7.0,2.0,11.0,6.0,5.0,8.0,0.0,0.0,1.0,3.0,3.0,2.0,422.0,214.0,,,102.0,90.0,58.0,47.0,,,,,18.0,17.0,0,1,,,,,H,,,,,,
EyAEOaKA,24.04.2021 21:30,Al Ittihad,Pyramids,0,2,50%,50%,16.0,9.0,5.0,5.0,11.0,4.0,6.0,5.0,2.0,1.0,3.0,5.0,1.0,1.0,263.0,303.0,,,95.0,96.0,61.0,49.0,24.0,9.0,25.0,20.0,10.0,22.0,0,0,,,,,A,,,,,,
MwidIael,24.04.2021 21:30,Enppi,Al Ahly,1,3,48%,52%,13.0,13.0,3.0,8.0,10.0,5.0,6.0,3.0,0.0,3.0,5.0,2.0,1.0,1.0,253.0,418.0,,,70.0,78.0,71.0,67.0,11.0,12.0,19.0,22.0,11.0,9.0,0,0,,,,,A,,,,,,
IB9AnOTE,22.04.2021 21:30,Arab Contractors,Wadi Degla,1,0,45%,55%,11.0,7.0,3.0,1.0,8.0,6.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,245.0,330.0,,,127.0,114.0,75.0,53.0,,,,,22.0,19.0,0,0,,,,,H,,,,,,
6w789TE6,22.04.2021 21:30,El-Entag El-Harby,Zamalek,0,2,52%,48%,8.0,7.0,3.0,2.0,5.0,5.0,4.0,2.0,1.0,1.0,0.0,3.0,1.0,4.0,368.0,236.0,,,123.0,96.0,82.0,46.0,,,,,11.0,18.0,1,1,,,,,A,,,,,,
M3zmiNdk,21.04.2021 21:30,Al Ahly,Smouha,1,2,63%,37%,27.0,3.0,8.0,3.0,19.0,0.0,8.0,3.0,0.0,1.0,1.0,7.0,1.0,3.0,477.0,157.0,,,153.0,96.0,96.0,42.0,,,,,12.0,13.0,0,0,,,,,A,,,,,,
Ay3rUrym,18.04.2021 21:30,Zamalek,Al Ahly,1,2,51%,49%,11.0,11.0,5.0,3.0,6.0,8.0,5.0,3.0,,,1.0,4.0,2.0,1.0,,,,,123.0,96.0,57.0,36.0,13.0,14.0,21.0,15.0,,,0,0,,,,,A,,,,,,
KtXsOSTa,17.04.2021 21:30,Ghazl El Mahallah,Pyramids,2,2,48%,52%,11.0,10.0,3.0,2.0,8.0,8.0,2.0,4.0,5.0,2.0,0.0,1.0,1.0,1.0,191.0,328.0,,,107.0,140.0,47.0,69.0,,,,,14.0,16.0,0,0,,,,,D,,,,,,
CzAG77qJ,16.04.2021 21:30,El Gouna,Enppi,1,0,47%,53%,9.0,7.0,3.0,3.0,6.0,4.0,3.0,5.0,1.0,1.0,3.0,2.0,3.0,1.0,247.0,205.0,,,112.0,112.0,59.0,62.0,,,,,15.0,14.0,1,0,,,,,H,,,,,,
xbFiDBFs,14.04.2021 21:30,Pyramids,Misr Lel Makkasa,1,1,56%,44%,9.0,10.0,6.0,5.0,3.0,5.0,3.0,2.0,3.0,2.0,4.0,5.0,0.0,1.0,499.0,267.0,,,149.0,83.0,90.0,40.0,,,,,19.0,12.0,0,0,,,,,D,,,,,,
KEWuuL4i,11.04.2021 19:00,Al Masry,El Gouna,1,0,51%,49%,13.0,10.0,5.0,1.0,8.0,9.0,6.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,239.0,237.0,,,108.0,117.0,66.0,59.0,,,,,18.0,32.0,0,0,,,,,H,,,,,,
OnH1R1zh,11.04.2021 17:00,Ceramica Cleopatra,El-Entag El-Harby,1,1,62%,38%,6.0,6.0,3.0,3.0,3.0,3.0,2.0,5.0,0.0,4.0,2.0,2.0,2.0,3.0,362.0,201.0,,,127.0,93.0,62.0,52.0,,,,,15.0,23.0,0,0,,,,,D,,,,,,
p25APu54,07.04.2021 21:00,El Ismaily,Al Masry,2,1,44%,56%,9.0,9.0,2.0,3.0,7.0,6.0,4.0,2.0,1.0,2.0,2.0,0.0,6.0,4.0,211.0,328.0,,,62.0,90.0,34.0,40.0,,,,,34.0,20.0,0,0,,,,,H,,,,,,
6B66QLkb,07.04.2021 19:00,Wadi Degla,National Bank Egypt,4,2,51%,49%,11.0,11.0,4.0,4.0,7.0,7.0,6.0,2.0,0.0,0.0,2.0,0.0,4.0,3.0,313.0,249.0,,,60.0,65.0,63.0,55.0,,,,,10.0,17.0,0,0,,,,,H,,,,,,
AqDcSsLo,07.04.2021 15:00,El Gouna,El Gaish,0,4,50%,50%,10.0,13.0,1.0,7.0,9.0,6.0,1.0,7.0,2.0,1.0,3.0,1.0,4.0,1.0,233.0,258.0,,,95.0,118.0,44.0,86.0,,,,,19.0,13.0,1,0,,,,,A,,,,,,
dtPF3bro,06.04.2021 17:00,Aswan SC,Enppi,1,0,43%,57%,5.0,11.0,3.0,3.0,2.0,8.0,2.0,8.0,1.0,3.0,3.0,2.0,,,161.0,265.0,,,56.0,78.0,47.0,81.0,,,,,20.0,18.0,0,0,,,,,H,,,,,,
KG1nLQDI,06.04.2021 15:00,Ghazl El Mahallah,Smouha,1,1,54%,46%,8.0,10.0,1.0,5.0,7.0,5.0,2.0,7.0,1.0,1.0,4.0,1.0,2.0,2.0,255.0,224.0,,,127.0,101.0,80.0,64.0,,,,,16.0,22.0,0,0,,,,,D,,,,,,
hWn3VAyQ,05.04.2021 19:00,Al Ittihad,Arab Contractors,4,2,53%,47%,17.0,15.0,7.0,4.0,10.0,11.0,4.0,6.0,1.0,3.0,2.0,3.0,0.0,1.0,236.0,310.0,,,135.0,119.0,62.0,81.0,,,,,14.0,12.0,0,0,,,,,H,,,,,,
6wTwP8Eg,03.04.2021 21:00,El Ismaily,Ceramica Cleopatra,1,2,65%,35%,14.0,4.0,4.0,2.0,10.0,2.0,8.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,391.0,171.0,,,117.0,104.0,73.0,58.0,,,,,25.0,24.0,0,0,,,,,A,,,,,,
OEwZPlam,03.04.2021 19:00,Al Masry,El Gaish,1,0,57%,43%,7.0,13.0,4.0,5.0,3.0,8.0,9.0,7.0,0.0,0.0,5.0,3.0,1.0,4.0,342.0,225.0,,,113.0,110.0,50.0,64.0,,,,,16.0,14.0,0,0,,,,,H,,,,,,
pOvVQUqs,02.04.2021 21:00,Misr Lel Makkasa,Smouha,1,1,56%,44%,9.0,13.0,4.0,5.0,5.0,8.0,5.0,7.0,2.0,3.0,4.0,3.0,3.0,2.0,363.0,307.0,,,118.0,119.0,49.0,77.0,,,,,13.0,26.0,0,0,,,,,D,,,,,,
EulaWjMJ,02.04.2021 17:00,Wadi Degla,El-Entag El-Harby,0,0,50%,50%,7.0,7.0,1.0,2.0,6.0,5.0,3.0,5.0,1.0,0.0,2.0,1.0,1.0,2.0,248.0,295.0,,,87.0,89.0,45.0,49.0,,,,,15.0,14.0,0,0,,,,,D,,,,,,
Sn84A9a0,16.03.2021 18:00,El Gaish,El Ismaily,1,1,46%,54%,6.0,9.0,2.0,5.0,4.0,4.0,1.0,0.0,5.0,2.0,4.0,1.0,1.0,2.0,98.0,162.0,,,105.0,123.0,52.0,78.0,,,,,26.0,18.0,0,0,,,,,D,,,,,,
ABDaBkpf,16.03.2021 16:00,Ceramica Cleopatra,Wadi Degla,1,2,58%,42%,13.0,6.0,3.0,4.0,10.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,4.0,3.0,356.0,212.0,,,115.0,87.0,75.0,42.0,,,,,14.0,16.0,0,0,,,,,A,,,,,,
IDYKIXiK,15.03.2021 16:00,National Bank Egypt,Al Ittihad,0,1,50%,50%,4.0,10.0,0.0,2.0,4.0,8.0,3.0,8.0,5.0,2.0,1.0,0.0,1.0,0.0,283.0,240.0,,,78.0,109.0,47.0,85.0,,,,,15.0,13.0,0,0,,,,,A,,,,,,
0xOPHi7Q,14.03.2021 14:00,Arab Contractors,Ghazl El Mahallah,0,1,56%,44%,11.0,8.0,2.0,4.0,9.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,678.0,546.0,,,98.0,85.0,62.0,46.0,,,,,15.0,15.0,0,0,,,,,A,,,,,,
WKEeCVUm,13.03.2021 18:00,Enppi,Al Masry,1,1,40%,60%,7.0,9.0,1.0,1.0,6.0,8.0,4.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,192.0,376.0,,,86.0,96.0,53.0,63.0,,,,,20.0,16.0,0,0,,,,,D,,,,,,
vNZGJDxE,12.03.2021 14:00,Smouha,Aswan SC,5,0,57%,43%,14.0,10.0,7.0,3.0,7.0,7.0,3.0,3.0,0.0,1.0,3.0,2.0,1.0,3.0,351.0,265.0,,,103.0,102.0,54.0,59.0,,,,,23.0,13.0,0,0,,,,,H,,,,,,
YPnVeAp7,11.03.2021 18:30,Zamalek,Ceramica Cleopatra,2,0,50%,50%,8.0,16.0,2.0,3.0,6.0,13.0,5.0,8.0,3.0,2.0,3.0,0.0,5.0,2.0,,,,,93.0,117.0,40.0,80.0,,,,,16.0,20.0,0,0,,,,,H,,,,,,
IVkR4tRl,10.03.2021 18:30,El Ismaily,Al Ahly,0,2,47%,53%,5.0,7.0,0.0,4.0,5.0,3.0,4.0,3.0,1.0,1.0,2.0,0.0,2.0,3.0,199.0,266.0,,,74.0,70.0,25.0,45.0,,,,,18.0,19.0,0,0,,,,,A,,,,,,
6ifSE5Xb,09.03.2021 18:00,Al Ittihad,Ghazl El Mahallah,0,0,56%,44%,7.0,5.0,2.0,1.0,5.0,4.0,12.0,3.0,0.0,4.0,1.0,2.0,0.0,1.0,296.0,157.0,,,121.0,94.0,92.0,69.0,,,,,12.0,19.0,0,0,,,,,D,,,,,,
j1cQdjV0,06.03.2021 18:00,Aswan SC,Pyramids,0,2,46%,54%,14.0,9.0,3.0,4.0,11.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,169.0,317.0,,,113.0,120.0,73.0,59.0,,,,,18.0,21.0,0,0,,,,,A,,,,,,
4peEahor,05.03.2021 18:00,El Gaish,Enppi,1,1,55%,45%,14.0,13.0,6.0,4.0,8.0,9.0,7.0,2.0,3.0,0.0,3.0,5.0,1.0,2.0,350.0,213.0,,,137.0,118.0,88.0,70.0,,,,,14.0,17.0,0,0,,,,,D,,,,,,
xbgMcWFf,05.03.2021 16:00,Al Ittihad,El-Entag El-Harby,2,0,58%,42%,17.0,3.0,8.0,0.0,9.0,3.0,5.0,1.0,2.0,1.0,0.0,6.0,1.0,2.0,343.0,183.0,,,147.0,86.0,101.0,51.0,,,,,20.0,18.0,0,1,,,,,H,,,,,,
ryfIbC0l,05.03.2021 14:00,Wadi Degla,El Ismaily,0,0,56%,44%,3.0,10.0,1.0,5.0,2.0,5.0,1.0,8.0,6.0,1.0,5.0,1.0,1.0,2.0,286.0,202.0,,,103.0,101.0,64.0,78.0,,,,,9.0,19.0,0,0,,,,,D,,,,,,
OjDo4YxR,04.03.2021 14:00,Ghazl El Mahallah,National Bank Egypt,0,0,62%,38%,25.0,7.0,7.0,1.0,18.0,6.0,7.0,1.0,1.0,2.0,1.0,7.0,1.0,3.0,373.0,98.0,,,141.0,83.0,113.0,41.0,,,,,16.0,18.0,0,1,,,,,D,,,,,,
QegZ2Ke1,02.03.2021 18:00,Al Masry,Pyramids,1,2,45%,55%,7.0,16.0,2.0,6.0,5.0,10.0,3.0,7.0,2.0,1.0,4.0,1.0,5.0,3.0,225.0,352.0,,,117.0,147.0,57.0,69.0,16.0,19.0,19.0,0.0,18.0,16.0,0,0,,,,,A,,,,,,
p0Es5ENK,02.03.2021 16:00,Misr Lel Makkasa,Arab Contractors,0,0,58%,42%,7.0,8.0,2.0,1.0,5.0,7.0,2.0,5.0,1.0,3.0,1.0,2.0,2.0,1.0,369.0,263.0,,,147.0,132.0,92.0,63.0,,,,,17.0,17.0,0,0,,,,,D,,,,,,
jwFw6f8E,02.03.2021 14:00,El Gouna,Smouha,2,2,49%,51%,9.0,12.0,4.0,7.0,5.0,5.0,5.0,14.0,0.0,1.0,5.0,2.0,3.0,1.0,206.0,207.0,,,84.0,93.0,48.0,83.0,,,,,30.0,16.0,0,0,,,,,D,,,,,,
U3GZVIPm,01.03.2021 18:30,Wadi Degla,Zamalek,0,0,44%,56%,7.0,19.0,1.0,7.0,6.0,12.0,3.0,8.0,2.0,0.0,7.0,1.0,2.0,1.0,324.0,504.0,,,37.0,67.0,19.0,38.0,,,,,10.0,15.0,0,0,,,,,D,,,,,,
Q3RBZ4DP,01.03.2021 16:00,Al Ittihad,Enppi,0,1,59%,41%,18.0,11.0,2.0,4.0,16.0,7.0,11.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,392.0,131.0,,,142.0,94.0,125.0,46.0,,,,,14.0,17.0,0,0,,,,,A,,,,,,
zsHVWbAs,28.02.2021 18:30,Al Ahly,El Gaish,2,1,58%,42%,16.0,8.0,6.0,4.0,10.0,4.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,1.0,418.0,214.0,,,132.0,107.0,87.0,65.0,,,,,15.0,13.0,0,0,,,,,H,,,,,,
6iWLQNm8,28.02.2021 13:30,Aswan SC,National Bank Egypt,0,2,41%,59%,12.0,4.0,4.0,2.0,8.0,2.0,5.0,2.0,1.0,3.0,0.0,4.0,1.0,3.0,222.0,335.0,,,104.0,97.0,60.0,48.0,,,,,12.0,17.0,0,0,,,,,A,,,,,,
fDQ9dOHU,26.02.2021 16:00,Al Masry,Ceramica Cleopatra,2,2,59%,41%,13.0,11.0,4.0,3.0,9.0,8.0,4.0,3.0,2.0,0.0,1.0,2.0,2.0,3.0,312.0,173.0,,,114.0,108.0,60.0,59.0,,,,,17.0,19.0,0,0,,,,,D,,,,,,
0lQ3yu2Q,25.02.2021 18:30,Pyramids,El Gouna,1,1,56%,44%,8.0,3.0,2.0,2.0,6.0,1.0,8.0,8.0,3.0,0.0,1.0,1.0,3.0,3.0,423.0,278.0,,,134.0,82.0,94.0,45.0,,,,,20.0,10.0,0,0,,,,,D,,,,,,
rmhhJutr,25.02.2021 16:00,Al Ittihad,Wadi Degla,2,1,48%,52%,14.0,8.0,4.0,5.0,10.0,3.0,5.0,4.0,1.0,1.0,4.0,2.0,4.0,4.0,299.0,288.0,,,112.0,99.0,68.0,52.0,,,,,19.0,19.0,0,0,,,,,H,,,,,,
fXEZzXxs,25.02.2021 13:30,El-Entag El-Harby,Enppi,0,0,46%,54%,11.0,9.0,3.0,3.0,8.0,6.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,208.0,318.0,,,102.0,103.0,61.0,47.0,,,,,22.0,17.0,0,0,,,,,D,,,,,,
IPzaxLnK,22.02.2021 18:30,Smouha,Al Masry,1,1,42%,58%,15.0,11.0,5.0,4.0,10.0,7.0,1.0,6.0,2.0,0.0,3.0,4.0,5.0,4.0,217.0,317.0,,,81.0,104.0,58.0,65.0,,,,,18.0,19.0,0,0,,,,,D,,,,,,
xhS7uDUP,21.02.2021 18:30,Al Ittihad,Aswan SC,1,3,63%,37%,18.0,9.0,5.0,5.0,13.0,4.0,11.0,2.0,4.0,0.0,2.0,4.0,1.0,3.0,414.0,168.0,,,117.0,93.0,82.0,58.0,,,,,18.0,20.0,0,0,,,,,A,,,,,,
vZyew1XD,21.02.2021 16:00,El Ismaily,Enppi,1,1,46%,54%,8.0,10.0,1.0,5.0,7.0,5.0,7.0,3.0,2.0,0.0,4.0,0.0,2.0,4.0,228.0,302.0,,,128.0,121.0,60.0,63.0,,,,,18.0,7.0,0,0,,,,,D,,,,,,
dMlV30te,21.02.2021 13:30,El Gouna,Arab Contractors,2,3,58%,42%,14.0,11.0,6.0,4.0,8.0,7.0,13.0,2.0,0.0,5.0,1.0,4.0,2.0,1.0,243.0,147.0,,,86.0,91.0,68.0,50.0,,,,,18.0,12.0,0,0,,,,,A,,,,,,
jF08b54F,20.02.2021 16:00,Misr Lel Makkasa,Wadi Degla,3,1,48%,52%,5.0,9.0,3.0,2.0,2.0,7.0,2.0,12.0,2.0,1.0,1.0,0.0,1.0,3.0,356.0,330.0,,,89.0,110.0,29.0,84.0,,,,,10.0,19.0,1,0,,,,,H,,,,,,
h8YXNLXQ,17.02.2021 18:30,Zamalek,El Ismaily,2,1,54%,46%,12.0,9.0,7.0,2.0,5.0,7.0,4.0,2.0,2.0,0.0,1.0,5.0,1.0,6.0,399.0,261.0,,,135.0,109.0,75.0,54.0,,,,,16.0,25.0,0,1,,,,,H,,,,,,
jJrDEHfD,17.02.2021 16:00,Ceramica Cleopatra,Al Ittihad,1,1,47%,53%,18.0,6.0,6.0,3.0,12.0,3.0,7.0,0.0,1.0,1.0,2.0,5.0,4.0,3.0,280.0,262.0,,,118.0,92.0,73.0,44.0,,,,,19.0,14.0,0,0,,,,,D,,,,,,
CSq9Fcu7,17.02.2021 16:00,El-Entag El-Harby,Ghazl El Mahallah,0,1,51%,49%,13.0,13.0,2.0,6.0,11.0,7.0,4.0,5.0,3.0,4.0,5.0,2.0,3.0,2.0,248.0,198.0,,,165.0,128.0,94.0,88.0,,,,,17.0,27.0,0,0,,,,,A,,,,,,
