iter	MultiClass
0	1.08567336
1	1.075149896
2	1.066202072
3	1.05867609
4	1.052464894
5	1.046922453
6	1.042078152
7	1.037936629
8	1.034218882
9	1.030707964
10	1.027801213
11	1.025253703
12	1.022839433
13	1.020760163
14	1.01854967
15	1.016179885
16	1.01458602
17	1.012999057
18	1.011612066
19	1.0104655
20	1.00919556
21	1.007917213
22	1.006830095
23	1.005419584
24	1.00461579
25	1.003891994
26	1.003097744
27	1.002102076
28	1.000963591
29	0.9994770035
30	0.998759102
31	0.9982020911
32	0.9975817861
33	0.9968903698
34	0.9963711289
35	0.9959179544
36	0.9953335581
37	0.9948306056
38	0.9944145014
39	0.9937841634
40	0.9933176012
41	0.9927833604
42	0.9923298248
43	0.9917951976
44	0.9908803326
45	0.9904803936
46	0.9900817221
47	0.9885523692
48	0.9879827737
49	0.9875552827
50	0.9870257617
51	0.9861533442
52	0.985788749
53	0.9854829883
54	0.9850995733
55	0.9843059422
56	0.9840729524
57	0.9830195579
58	0.9826387191
59	0.9822203331
60	0.9816723485
61	0.9810366095
62	0.9806056277
63	0.980286661
64	0.9799237252
65	0.9795176902
66	0.9792487983
67	0.9788145444
68	0.9781359886
69	0.9778838061
70	0.9776697856
71	0.9772377845
72	0.9766368105
73	0.9760970216
74	0.9758008024
75	0.9753428241
76	0.9747797498
77	0.9743738055
78	0.9739322712
79	0.9734748573
80	0.973111825
81	0.972706601
82	0.9721950511
83	0.9717823526
84	0.9713479261
85	0.9709155712
86	0.9705398085
87	0.9703411135
88	0.9698810105
89	0.9691799099
90	0.9689329647
91	0.9686225912
92	0.9683784493
93	0.968021699
94	0.9676251302
95	0.9673103491
96	0.9669824069
97	0.9667261239
98	0.9663237131
99	0.9660593049
100	0.9657407266
101	0.9651993742
102	0.9648630862
103	0.9646369846
104	0.9641833253
105	0.9638488619
106	0.9634011438
107	0.9630099167
108	0.962694921
109	0.9623716458
110	0.9619617001
111	0.9616241287
112	0.9611597587
113	0.960790422
114	0.9604628484
115	0.9601908783
116	0.9598583609
117	0.9594901834
118	0.9591949768
119	0.9589867861
120	0.9585331819
121	0.9582317327
122	0.9578077024
123	0.9573862895
124	0.9570522842
125	0.9567582358
126	0.9562065469
127	0.9554534418
128	0.9550584451
129	0.9547045796
130	0.9544733535
131	0.9542148232
132	0.9537114817
133	0.9533151675
134	0.9529661522
135	0.9527324621
136	0.9523458152
137	0.9518872665
138	0.9514943008
139	0.9512286028
140	0.9507804365
141	0.9504290468
142	0.9499895606
143	0.9493411819
144	0.9488802007
145	0.9483275959
146	0.948076691
147	0.9477932341
148	0.9473045515
149	0.947035616
150	0.9465241413
151	0.9461605959
152	0.9456931693
153	0.9453336741
154	0.9447403697
155	0.9445150057
156	0.9440217968
157	0.9435515136
158	0.9432505218
159	0.9428260509
160	0.9424460089
161	0.9420716179
162	0.9417561348
163	0.9414441463
164	0.9411148529
165	0.9406889024
166	0.9405009383
167	0.9402693349
168	0.9399079864
169	0.9394603461
170	0.9391281823
171	0.9388273489
172	0.9386220086
173	0.9382768973
174	0.9378966565
175	0.9375979647
176	0.9372919319
177	0.9370569818
178	0.9367861375
179	0.9363396371
180	0.93590816
181	0.9354990298
182	0.9349673408
183	0.9348062136
184	0.9344871485
185	0.9339874757
186	0.9334505864
187	0.9330304479
188	0.9327743432
189	0.932419878
190	0.9320543771
191	0.9316418732
192	0.9313351939
193	0.931063877
194	0.9307523489
195	0.9302648126
196	0.9297208169
197	0.9292681127
198	0.9289467446
199	0.9285731647
200	0.928210158
201	0.9278697669
202	0.9275835272
203	0.9271785738
204	0.9266466873
205	0.926197631
206	0.9258987829
207	0.9254932547
208	0.9251173513
209	0.9247034256
210	0.9243361991
211	0.9239758796
212	0.9236154629
213	0.9232652188
214	0.922981593
215	0.9222618612
216	0.921806873
217	0.9213993058
218	0.9210188977
219	0.9207511827
220	0.920263412
221	0.9198953837
222	0.9194657146
223	0.9190700341
224	0.9187758041
225	0.9186325855
226	0.9184072339
227	0.9180059312
228	0.9176039861
229	0.9172823594
230	0.917021162
231	0.9167789113
232	0.9164285958
233	0.9159489732
234	0.9156671707
235	0.9153236475
236	0.9149698011
237	0.91464875
238	0.9143472353
239	0.9140000122
240	0.9137067537
241	0.9133810469
242	0.9130579557
243	0.9127539368
244	0.9123815563
245	0.9120829011
246	0.9116642434
247	0.9113170506
248	0.9110372335
249	0.9107986206
250	0.9105748714
251	0.9102926002
252	0.9100381774
253	0.9095228912
254	0.9092012115
255	0.9089947927
256	0.9087505332
257	0.9084536341
258	0.9082773857
259	0.9078029327
260	0.9074705952
261	0.9070647824
262	0.9067114052
263	0.906316581
264	0.9059585688
265	0.9055418017
266	0.9051512285
267	0.904692597
268	0.9044117724
269	0.9043334133
270	0.9041054214
271	0.9037583729
272	0.903484918
273	0.903121236
274	0.9027643587
275	0.9024938589
276	0.9019713285
277	0.9014926126
278	0.9012593179
279	0.9009876829
280	0.9007194056
281	0.9004220101
282	0.9000614797
283	0.8997672524
284	0.8992385725
285	0.8989383388
286	0.8986762989
287	0.8984370944
288	0.8980893771
289	0.8978452422
290	0.8975010265
291	0.8973597554
292	0.8970329415
293	0.8966821463
294	0.8965207954
295	0.8962306553
296	0.8959556304
297	0.8955613989
298	0.8950648576
299	0.8946707147
300	0.894345912
301	0.8941747342
302	0.893834071
303	0.8933797793
304	0.89291224
305	0.8926551665
306	0.8924079365
307	0.8923115263
308	0.8920289601
309	0.891586691
310	0.8912300611
311	0.8907556217
312	0.8904802142
313	0.8903919572
314	0.890131398
315	0.8898735149
316	0.8896734944
317	0.8893395656
318	0.8891864341
319	0.8889101322
320	0.8885878788
321	0.888277755
322	0.887850386
323	0.8875903941
324	0.887461833
325	0.8871643953
326	0.8868477312
327	0.886627849
328	0.8863441675
329	0.8859797414
330	0.8857049999
331	0.8854431587
332	0.8852036075
333	0.884882885
334	0.8845986179
335	0.8843005724
336	0.8840599868
337	0.8838237949
338	0.8834653331
339	0.8831365844
340	0.8827859389
341	0.8823172305
342	0.881912749
343	0.8814323838
344	0.8811735266
345	0.8807625557
346	0.8804873116
347	0.8801029702
348	0.8796217111
349	0.8793020108
350	0.8789946323
351	0.8786213263
352	0.8783212178
353	0.878013426
354	0.8777757362
355	0.8775023066
356	0.8773355819
357	0.8771213811
358	0.8767559617
359	0.8765107493
360	0.8761742535
361	0.8760019767
362	0.8756977058
363	0.8753751645
364	0.8749361867
365	0.8746214308
366	0.8743158154
367	0.87384553
368	0.873668815
369	0.8733531219
370	0.873132362
371	0.87295903
372	0.8725782347
373	0.8724336501
374	0.8721918869
375	0.8718660189
376	0.8715514745
377	0.8711745009
378	0.8709898076
379	0.870827959
380	0.8705896567
381	0.870308482
382	0.8699820385
383	0.8697024651
384	0.8693576139
385	0.8691051004
386	0.8687961446
387	0.8685278095
388	0.8682960016
389	0.868054595
390	0.8676110053
391	0.8673278549
392	0.8671271443
393	0.8667624092
394	0.8663757667
395	0.8660421136
396	0.8658648925
397	0.8654650975
398	0.8650876493
399	0.8647858102
400	0.8645406217
401	0.8642992792
402	0.8639085914
403	0.863753383
404	0.8635026175
405	0.8632033953
406	0.8627989979
407	0.8626528943
408	0.8623692567
409	0.8620088087
410	0.8617649115
411	0.8615628079
412	0.8613813427
413	0.8611287621
414	0.860732839
415	0.8604952918
416	0.860296043
417	0.8601635307
418	0.8598469407
419	0.8595244276
420	0.8593308823
421	0.8591365584
422	0.8589826491
423	0.8587159074
424	0.8584396544
425	0.8580507439
426	0.8578676017
427	0.8576521328
428	0.857473589
429	0.8571189319
430	0.8566799949
431	0.8563952748
432	0.8561304604
433	0.8559304154
434	0.855490698
435	0.8552426112
436	0.8549616042
437	0.8546464174
438	0.8543115491
439	0.8539812253
440	0.8535448206
441	0.8532575302
442	0.8528325008
443	0.8526364845
444	0.8524063194
445	0.8520734302
446	0.8517128395
447	0.8513734242
448	0.8512219018
449	0.851063914
450	0.8507929605
451	0.850411257
452	0.8501673681
453	0.8498998945
454	0.8495685676
455	0.8493249071
456	0.8490495533
457	0.8487566286
458	0.8485039862
459	0.8481313767
460	0.8479360075
461	0.8477296447
462	0.8473505348
463	0.8470224578
464	0.8468396528
465	0.8465795192
466	0.8462269675
467	0.8458552737
468	0.8456312339
469	0.8453074963
470	0.8449847724
471	0.8447381069
472	0.8444013135
473	0.8441196544
474	0.8437815179
475	0.8434567751
476	0.843225191
477	0.8428078368
478	0.8426227681
479	0.8422725701
480	0.8419219896
481	0.8417228562
482	0.8414121812
483	0.8410817282
484	0.8408138342
485	0.840577641
486	0.8404163552
487	0.8401699421
488	0.8400191704
489	0.8398332853
490	0.8396227441
491	0.8394630322
492	0.8392204492
493	0.8389841269
494	0.8387578352
495	0.8385645911
496	0.8382177962
497	0.8379293566
498	0.837467622
499	0.8372388253
500	0.8369340512
501	0.83668854
502	0.8364145479
503	0.8360921193
504	0.8359348184
505	0.8356520481
506	0.8354313959
507	0.8351653153
508	0.8348247727
509	0.8345585971
510	0.8342180158
511	0.8339126725
512	0.8335865353
513	0.8333417786
514	0.8330084091
515	0.8327252701
516	0.8326138944
517	0.8322369387
518	0.8319547229
519	0.8318118881
520	0.831537814
521	0.8311038348
522	0.8308263655
523	0.8305812917
524	0.8302262123
525	0.8300677894
526	0.8296698286
527	0.8294288546
528	0.8292471539
529	0.8290065491
530	0.8286836905
531	0.8285016689
532	0.8282187639
533	0.827993162
534	0.8277796176
535	0.8274064735
536	0.8272667358
537	0.8270490187
538	0.8267070578
539	0.8264133513
540	0.8259255717
541	0.8257014636
542	0.8254421698
543	0.8251404546
544	0.8249438866
545	0.8247178724
546	0.8243543811
547	0.8241582213
548	0.8237522602
549	0.8234018934
550	0.8231522935
551	0.8228202147
552	0.8225839296
553	0.8222670337
554	0.8220944932
555	0.8218770968
556	0.8215878872
557	0.8213302922
558	0.8210414502
559	0.8208701989
560	0.8206061475
561	0.8202299193
562	0.8199987547
563	0.8197888631
564	0.8196171192
565	0.8192485577
566	0.8188847034
567	0.8186980867
568	0.8182962261
569	0.8181618138
570	0.8177580909
571	0.8175012042
572	0.8173592597
573	0.8171229866
574	0.8168109487
575	0.8165146299
576	0.8162021143
577	0.8159373948
578	0.8157324149
579	0.8152604478
580	0.8150196434
581	0.8148342877
582	0.8146159791
583	0.8143141742
584	0.8140639636
585	0.8137317825
586	0.8133990987
587	0.8130645154
588	0.8126688738
589	0.8124846589
590	0.8122893361
591	0.8119979749
592	0.811792423
593	0.8114991196
594	0.8112238698
595	0.8109266869
596	0.8104001783
597	0.8101347344
598	0.8098481152
599	0.8095265845
600	0.8091885892
601	0.8089460028
602	0.8086992019
603	0.8084394632
604	0.8083161451
605	0.8081086167
606	0.8078977288
607	0.8076952394
608	0.8074810774
609	0.8071868658
610	0.8068328305
611	0.8064457095
612	0.8061302144
613	0.8058915524
614	0.8057202159
615	0.8055386276
616	0.8051838625
617	0.8048306387
618	0.8045873999
619	0.8044461574
620	0.8041350609
621	0.8038653403
622	0.8036423653
623	0.8034275767
624	0.8031682745
625	0.8030155349
626	0.802751668
627	0.8025836202
628	0.8022407828
629	0.8020164105
630	0.8017639506
631	0.8015293298
632	0.8011487954
633	0.8008739987
634	0.8007321719
635	0.8004014437
636	0.8002205994
637	0.7999699599
638	0.7996748486
639	0.7994264768
640	0.799237326
641	0.7989811248
642	0.7987899523
643	0.798466935
644	0.7981857443
645	0.7978697574
646	0.7975036875
647	0.7973005293
648	0.7970577659
649	0.7968202266
650	0.7965720655
651	0.7964112197
652	0.7961284912
653	0.7958844789
654	0.7955547171
655	0.7952412851
656	0.7950762864
657	0.7948106627
658	0.7945577908
659	0.7943368434
660	0.7941404241
661	0.7938364186
662	0.7935596563
663	0.7934218779
664	0.7930615325
665	0.7928990121
666	0.7927310037
667	0.7925409894
668	0.7923155425
669	0.7921128979
670	0.7919726519
671	0.7916696544
672	0.7915350191
673	0.7912246597
674	0.7910175072
675	0.7908437735
676	0.7905058087
677	0.7902921758
678	0.7901214574
679	0.7898283493
680	0.7895342837
681	0.7893467714
682	0.7891009949
683	0.7887751744
684	0.7884760953
685	0.7881183752
686	0.7878203518
687	0.787590219
688	0.7873999813
689	0.7871636216
690	0.7869154616
691	0.7865722573
692	0.7862913549
693	0.7859637077
694	0.7856208214
695	0.7853729113
696	0.7851187791
697	0.78490213
698	0.78463918
699	0.7843891866
700	0.7841986632
701	0.7839792616
702	0.7837872943
703	0.7835348972
704	0.7832355854
705	0.7828666841
706	0.782531797
707	0.7822692812
708	0.7818945306
709	0.7816070991
710	0.7812644595
711	0.7809393561
712	0.7807644108
713	0.7805221224
714	0.7803889926
715	0.7801456216
716	0.7798966445
717	0.7796294893
718	0.7793887003
719	0.7790925209
720	0.7789099831
721	0.778607287
722	0.7782986641
723	0.7778678071
724	0.7776130631
725	0.777233589
726	0.7769348961
727	0.7767992043
728	0.7765764014
729	0.7762704297
730	0.7760591563
731	0.7757427181
732	0.7755154983
733	0.7751976841
734	0.7749594445
735	0.7747334455
736	0.7745033279
737	0.7744113507
738	0.7741871353
739	0.7738158038
740	0.7735218102
741	0.7733350198
742	0.7730467893
743	0.7727843712
744	0.7725603766
745	0.7722552031
746	0.7721020023
747	0.7718760303
748	0.7716640742
749	0.7714726732
750	0.7712443062
751	0.7709250702
752	0.7708287199
753	0.7704764602
754	0.7702216442
755	0.7698722783
756	0.7696053439
757	0.7692917439
758	0.7690974672
759	0.7688910213
760	0.768678167
761	0.7685166618
762	0.7683288308
763	0.7680907279
764	0.7678247921
765	0.7675549372
766	0.7672148969
767	0.7668449151
768	0.7666986447
769	0.7664045792
770	0.7661250001
771	0.765721682
772	0.7654956962
773	0.7652807986
774	0.765018302
775	0.7648349251
776	0.7646414128
777	0.7645039071
778	0.7642169779
779	0.764033742
780	0.7638053633
781	0.7634977003
782	0.7632854683
783	0.762977474
784	0.7627666108
785	0.7625773452
786	0.7623152323
787	0.7621453218
788	0.7618403955
789	0.7616920858
790	0.7614967717
791	0.7612456229
792	0.7611230083
793	0.7607644017
794	0.7605883315
795	0.7603822198
796	0.7601781716
797	0.7599428433
798	0.7597315878
799	0.7596232811
800	0.7593345888
801	0.759063184
802	0.7587611878
803	0.7585053372
804	0.7581425283
805	0.7579771644
806	0.7578274385
807	0.7576375607
808	0.7573613677
809	0.7571790274
810	0.7569354633
811	0.7567194843
812	0.7565865028
813	0.7562461185
814	0.7559220753
815	0.7556580615
816	0.7554456596
817	0.7551453369
818	0.7548429032
819	0.7545345796
820	0.7543662052
821	0.7540926875
822	0.7538034112
823	0.7535848903
824	0.7534035152
825	0.7530955242
826	0.7527363128
827	0.7524904032
828	0.7522275665
829	0.7520066773
830	0.7517560714
831	0.7515117805
832	0.7512269669
833	0.7511198036
834	0.7508841804
835	0.7506063319
836	0.7502911181
837	0.7500016357
838	0.7497853551
839	0.7495146554
840	0.7493857169
841	0.7490170649
842	0.7487755057
843	0.7486428902
844	0.7483864895
845	0.7480785565
846	0.7479354806
847	0.7476713551
848	0.7472719495
849	0.7470172534
850	0.7467636357
851	0.7464833494
852	0.7462553569
853	0.7460201101
854	0.7457877123
855	0.7456039864
856	0.7453646906
857	0.7451033552
858	0.7449179219
859	0.74449375
860	0.7443278096
861	0.7438922735
862	0.7436153884
863	0.7434205599
864	0.7432385746
865	0.7430593741
866	0.7428031228
867	0.7425775763
868	0.7424147407
869	0.7422020264
870	0.7419980953
871	0.7418212764
872	0.7414492304
873	0.7411318945
874	0.7407858807
875	0.7405211633
876	0.7401885653
877	0.7398563771
878	0.739509825
879	0.7392200728
880	0.7390135234
881	0.7386977838
882	0.7383674906
883	0.7380521006
884	0.7378542331
885	0.7376499277
886	0.7374533263
887	0.7372616571
888	0.7369655433
889	0.7367731387
890	0.7364772465
891	0.7362464218
892	0.7359811857
893	0.7358544963
894	0.7354846659
895	0.7353261195
896	0.7351916354
897	0.7350313704
898	0.7347805482
899	0.7344410678
900	0.7342372927
901	0.7339888912
902	0.7337642713
903	0.7335567964
904	0.7333161632
905	0.7330080214
906	0.732787806
907	0.7326207273
908	0.7322766079
909	0.7319356107
910	0.7317421191
911	0.7314676026
912	0.7312268589
913	0.7310452241
914	0.7308499676
915	0.7307050472
916	0.7304382503
917	0.7300728358
918	0.7299563446
919	0.7297850568
920	0.7295563457
921	0.7293283476
922	0.7290451247
923	0.7287696683
924	0.7284010562
925	0.7282482696
926	0.7281191348
927	0.7280008963
928	0.7277483464
929	0.7275483951
930	0.7273486471
931	0.7270560024
932	0.726868585
933	0.7266748008
934	0.7264657457
935	0.726189324
936	0.7258760775
937	0.7256315328
938	0.7253570408
939	0.725194577
940	0.7249666695
941	0.7247278462
942	0.7244374441
943	0.7242851833
944	0.7240587703
945	0.7238303856
946	0.7235617233
947	0.7232497307
948	0.7230360037
949	0.7227942069
950	0.7226570003
951	0.72230186
952	0.722092144
953	0.7219433287
954	0.721695084
955	0.7215211344
956	0.7211983222
957	0.7209299595
958	0.7206392964
959	0.7204598402
960	0.720313192
961	0.7201089581
962	0.7198157669
963	0.719659537
964	0.7194254564
965	0.7191068519
966	0.7189682023
967	0.7187673889
968	0.7185804364
969	0.7182240616
970	0.7178600059
971	0.7175101227
972	0.7172283102
973	0.7169642205
974	0.7167411699
975	0.7166474227
976	0.7164821486
977	0.7161240921
978	0.7159170698
979	0.7156622337
980	0.7154239788
981	0.7151448952
982	0.7148511221
983	0.714723903
984	0.7145501001
985	0.7142000808
986	0.7139370084
987	0.7135860009
988	0.7133500344
989	0.7130998431
990	0.7128355641
991	0.7126071151
992	0.7124446606
993	0.7121798975
994	0.7119698201
995	0.7117623015
996	0.7114584611
997	0.7111982505
998	0.7110608922
999	0.7107528846
