iter	Passed	Remaining
214	16023	58505
215	16101	58441
216	16177	58374
217	16249	58290
218	16324	58214
219	16396	58134
220	16466	58041
221	16536	57951
222	16617	57900
223	16687	57811
224	16761	57735
225	16837	57665
226	16913	57594
227	16985	57511
228	17060	57438
229	17127	57339
230	17193	57235
231	17261	57141
232	17325	57032
233	17397	56950
234	17471	56874
235	17545	56800
236	17614	56707
237	17685	56623
238	17761	56553
239	17837	56486
240	17915	56422
241	18002	56387
242	18092	56360
243	18166	56286
244	18237	56200
245	18315	56136
246	18400	56094
247	18476	56026
248	18553	55957
249	18624	55872
250	18700	55802
251	18784	55757
252	18854	55669
253	18937	55619
254	19023	55578
255	19102	55517
256	19170	55421
257	19244	55346
258	19318	55270
259	19397	55209
260	19478	55151
261	19563	55106
262	19639	55035
263	19715	54964
264	19796	54908
265	19875	54845
266	19951	54773
267	20034	54719
268	20107	54640
269	20185	54576
270	20258	54497
271	20336	54429
272	20409	54349
273	20491	54294
274	20568	54227
275	20653	54178
276	20739	54131
277	20825	54086
278	20902	54016
279	20985	53962
280	21058	53882
281	21137	53818
282	21214	53748
283	21297	53693
284	21379	53637
285	21456	53567
286	21534	53498
287	21610	53425
288	21688	53358
289	21764	53286
290	21847	53228
291	21925	53161
292	22003	53094
293	22080	53022
294	22153	52942
295	22224	52858
296	22296	52774
297	22377	52714
298	22467	52674
299	22553	52625
300	22622	52536
301	22691	52447
302	22767	52372
303	22845	52303
304	22924	52238
305	23003	52171
306	23073	52083
307	23142	51994
308	23214	51913
309	23305	51872
310	23380	51796
311	23468	51751
312	23585	51767
313	23655	51679
314	23734	51612
315	23806	51531
316	23884	51460
317	23959	51385
318	24035	51309
319	24106	51226
320	24181	51150
321	24258	51078
322	24333	51002
323	24418	50946
324	24486	50857
325	24561	50780
326	24639	50711
327	24717	50641
328	24791	50562
329	24870	50493
330	24947	50423
331	25024	50350
332	25100	50276
333	25176	50203
334	25261	50145
335	25344	50086
336	25416	50002
337	25493	49930
338	25572	49861
339	25650	49791
340	25736	49737
341	25828	49693
342	25912	49634
343	26027	49634
344	26105	49563
345	26183	49492
346	26263	49423
347	26338	49346
348	26412	49268
349	26487	49190
350	26572	49132
351	26647	49056
352	26723	48980
353	26807	48920
354	26888	48853
355	26972	48792
356	27047	48714
357	27119	48633
358	27192	48552
359	27267	48476
360	27345	48404
361	27424	48333
362	27503	48264
363	27580	48190
364	27656	48114
365	27732	48039
366	27812	47970
367	27898	47913
368	27983	47852
369	28063	47783
370	28135	47701
371	28206	47618
372	28286	47549
373	28361	47470
374	28434	47391
375	28517	47327
376	28593	47250
377	28670	47177
378	28742	47095
379	28811	47008
380	28881	46922
381	28959	46850
382	29037	46778
383	29113	46703
384	29195	46636
385	29274	46565
386	29353	46495
387	29431	46423
388	29510	46352
389	29586	46276
390	29667	46208
391	29740	46128
392	29816	46052
393	29889	45972
394	29974	45909
395	30054	45840
396	30132	45768
397	30210	45695
398	30287	45621
399	30365	45548
400	30438	45468
401	30522	45403
402	30601	45332
403	30679	45259
404	30752	45178
405	30832	45109
406	30914	45041
407	30990	44966
408	31069	44895
409	31151	44827
410	31238	44767
411	31311	44687
412	31381	44603
413	31454	44522
414	31538	44458
415	31619	44389
416	31694	44310
417	31764	44226
418	31843	44154
419	31920	44081
420	31998	44007
421	32074	43931
422	32154	43860
423	32236	43793
424	32331	43742
425	32428	43694
426	32512	43628
427	32593	43559
428	32679	43496
429	32763	43430
430	32853	43372
431	32936	43304
432	33009	43225
433	33085	43148
434	33171	43084
435	33250	43011
436	33335	42946
437	33440	42907
438	33525	42842
439	33606	42772
440	33694	42709
441	33768	42631
442	33844	42554
443	33922	42479
444	34001	42405
445	34084	42338
446	34173	42277
447	34267	42222
448	34353	42157
449	34424	42073
450	34508	42007
451	34585	41931
452	34672	41867
453	34769	41815
454	34855	41749
455	34934	41675
456	35011	41599
457	35089	41525
458	35163	41445
459	35245	41375
460	35321	41297
461	35390	41212
462	35470	41139
463	35564	41083
464	35652	41020
465	35746	40963
466	35828	40892
467	35910	40820
468	35983	40740
469	36069	40674
470	36145	40597
471	36224	40522
472	36304	40449
473	36385	40376
474	36472	40311
475	36550	40236
476	36627	40159
477	36732	40114
478	36839	40069
479	36945	40024
480	37051	39978
481	37135	39909
482	37212	39831
483	37300	39766
484	37381	39693
485	37467	39626
486	37542	39546
487	37626	39476
488	37700	39397
489	37785	39327
490	37859	39247
491	37925	39159
492	38002	39081
493	38079	39004
494	38155	38925
495	38223	38840
496	38294	38756
497	38370	38679
498	38455	38609
499	38527	38527
500	38603	38449
501	38680	38372
502	38756	38294
503	38847	38231
504	38927	38156
505	39001	38076
506	39081	38002
507	39162	37929
508	39244	37856
509	39315	37774
510	39392	37696
511	39469	37619
512	39547	37543
513	39627	37468
514	39708	37395
515	39800	37332
516	39900	37276
517	40007	37227
518	40096	37160
519	40184	37093
520	40274	37028
521	40358	36956
522	40441	36884
523	40514	36803
524	40604	36737
525	40714	36689
526	40842	36657
527	40955	36611
528	41056	36555
529	41184	36522
530	41285	36464
531	41379	36401
532	41481	36344
533	41588	36292
534	41681	36227
535	41758	36148
536	41836	36071
537	41913	35992
538	41999	35921
539	42088	35853
540	42178	35785
541	42272	35721
542	42357	35648
543	42442	35576
544	42532	35508
545	42622	35440
546	42710	35370
547	42784	35289
548	42871	35218
549	42946	35137
550	43024	35060
551	43102	34981
552	43188	34910
553	43268	34833
554	43348	34757
555	43427	34679
556	43503	34599
557	43578	34519
558	43658	34442
559	43744	34370
560	43822	34292
561	43912	34223
562	43994	34148
563	44086	34080
564	44162	34001
565	44272	33947
566	44380	33892
567	44493	33839
568	44611	33791
569	44722	33737
570	44809	33665
571	44892	33591
572	44960	33504
573	45029	33419
574	45103	33337
575	45181	33258
576	45266	33184
577	45346	33107
578	45424	33029
579	45508	32954
580	45598	32884
581	45676	32805
582	45756	32727
583	45835	32649
584	45911	32569
585	45988	32490
586	46068	32413
587	46150	32336
588	46231	32260
589	46304	32177
590	46379	32096
591	46458	32018
592	46533	31937
593	46608	31857
594	46693	31783
595	46775	31706
596	46856	31629
597	46935	31552
598	47013	31473
599	47089	31392
600	47167	31314
601	47238	31230
602	47314	31150
603	47386	31068
604	47460	30986
605	47534	30905
606	47609	30824
607	47706	30758
608	47789	30682
609	47871	30606
610	47949	30527
611	48036	30454
612	48119	30379
613	48190	30295
614	48254	30208
615	48333	30129
616	48408	30049
617	48491	29973
618	48571	29896
619	48651	29818
620	48727	29738
621	48805	29660
622	48886	29582
623	48962	29503
624	49041	29424
625	49119	29345
626	49198	29267
627	49308	29208
628	49397	29136
629	49485	29062
630	49569	28987
631	49663	28917
632	49790	28867
633	49929	28823
634	50010	28746
635	50123	28687
636	50215	28615
637	50322	28553
638	50411	28479
639	50486	28398
640	50560	28316
641	50635	28235
642	50718	28159
643	50796	28080
644	50877	28002
645	50967	27929
646	51049	27852
647	51140	27780
648	51224	27704
649	51310	27628
650	51394	27552
651	51479	27476
652	51565	27401
653	51670	27336
654	51765	27265
655	51853	27191
656	51929	27110
657	52020	27038
658	52113	26966
659	52211	26896
660	52294	26819
661	52394	26751
662	52505	26688
663	52592	26613
664	52682	26539
665	52756	26457
666	52847	26384
667	52933	26308
668	53026	26235
669	53131	26169
670	53241	26104
671	53353	26041
672	53446	25968
673	53549	25900
674	53638	25826
675	53731	25753
676	53818	25676
677	53897	25597
678	53976	25517
679	54098	25457
680	54204	25391
681	54288	25313
682	54369	25234
683	54446	25153
684	54525	25073
685	54621	25001
686	54714	24928
687	54812	24856
688	54907	24784
689	54991	24706
690	55075	24628
691	55170	24555
692	55260	24480
693	55344	24402
694	55447	24332
695	55531	24254
696	55614	24176
697	55707	24102
698	55792	24025
699	55873	23945
700	55954	23866
701	56034	23786
702	56110	23705
703	56194	23627
704	56286	23552
705	56370	23474
706	56454	23396
707	56534	23316
708	56617	23238
709	56697	23158
710	56784	23081
711	56855	22997
712	56938	22919
713	57014	22837
714	57092	22757
715	57167	22675
716	57245	22594
717	57325	22514
718	57409	22436
719	57493	22358
720	57579	22281
721	57657	22200
722	57752	22126
723	57856	22055
724	57930	21973
725	58021	21897
726	58115	21823
727	58204	21746
728	58298	21671
729	58387	21595
730	58463	21513
731	58547	21435
732	58648	21363
733	58749	21290
734	58841	21215
735	58924	21135
736	59007	21057
737	59087	20976
738	59171	20898
739	59258	20820
740	59336	20739
741	59422	20661
742	59513	20585
743	59589	20503
744	59677	20426
745	59771	20351
746	59846	20269
747	59931	20190
748	60024	20114
749	60113	20037
750	60209	19963
751	60303	19887
752	60384	19807
753	60488	19734
754	60578	19658
755	60672	19582
756	60771	19507
757	60870	19433
758	60956	19354
759	61033	19273
760	61120	19195
761	61206	19117
762	61290	19037
763	61376	18959
764	61461	18880
765	61545	18801
766	61640	18725
767	61737	18649
768	61822	18570
769	61915	18494
770	62001	18415
771	62098	18339
772	62174	18258
773	62259	18179
774	62358	18104
775	62440	18024
776	62533	17947
777	62618	17867
778	62711	17791
779	62792	17710
780	62875	17630
781	62969	17554
782	63053	17474
783	63148	17398
784	63253	17324
785	63361	17251
786	63455	17174
787	63534	17093
788	63616	17012
789	63705	16934
790	63790	16854
791	63871	16774
792	63940	16690
793	64031	16612
794	64108	16531
795	64188	16450
796	64270	16369
797	64348	16288
798	64426	16207
799	64498	16124
800	64575	16043
801	64661	15963
802	64744	15883
803	64834	15805
804	64920	15726
805	64995	15644
806	65069	15561
807	65143	15479
808	65223	15398
809	65302	15317
810	65385	15237
811	65458	15155
812	65524	15071
813	65614	14993
814	65699	14913
815	65773	14831
816	65850	14749
817	65933	14669
818	66021	14590
819	66101	14510
820	66173	14427
821	66248	14345
822	66331	14265
823	66416	14186
824	66490	14103
825	66575	14024
826	66667	13946
827	66765	13869
828	66848	13788
829	66924	13707
830	67000	13625
831	67087	13546
832	67161	13464
833	67238	13383
834	67311	13301
835	67390	13220
836	67472	13139
837	67550	13058
838	67638	12979
839	67724	12899
840	67807	12819
841	67904	12742
842	67994	12663
843	68077	12582
844	68159	12502
845	68238	12421
846	68309	12339
847	68390	12258
848	68474	12178
849	68556	12098
850	68642	12018
851	68724	11938
852	68806	11857
853	68879	11775
854	68958	11694
855	69041	11614
856	69113	11532
857	69186	11450
858	69267	11369
859	69356	11290
860	69429	11208
861	69516	11129
862	69600	11048
863	69673	10967
864	69758	10887
865	69830	10805
866	69909	10724
867	69983	10642
868	70059	10561
869	70139	10480
870	70222	10400
871	70298	10319
872	70388	10239
873	70464	10158
874	70550	10078
875	70640	9999
876	70732	9920
877	70822	9840
878	70910	9761
879	71002	9682
880	71078	9600
881	71157	9519
882	71237	9439
883	71314	9358
884	71396	9277
885	71474	9196
886	71552	9115
887	71628	9034
888	71709	8953
889	71786	8872
890	71870	8792
891	71946	8710
892	72020	8629
893	72097	8548
894	72181	8468
895	72257	8387
896	72326	8305
897	72399	8223
898	72479	8142
899	72566	8062
900	72645	7982
901	72726	7901
902	72804	7820
903	72882	7739
904	72962	7659
905	73044	7578
906	73116	7497
907	73191	7415
908	73276	7335
909	73363	7255
910	73437	7174
911	73519	7093
912	73596	7013
913	73674	6932
914	73757	6851
915	73831	6770
916	73905	6689
917	73988	6608
918	74071	6528
919	74144	6447
920	74226	6366
921	74302	6285
922	74381	6205
923	74460	6124
924	74545	6044
925	74629	5963
926	74707	5883
927	74783	5802
928	74863	5721
929	74943	5640
930	75013	5559
931	75092	5478
932	75171	5398
933	75251	5317
934	75330	5236
935	75416	5156
936	75507	5076
937	75592	4996
938	75673	4915
939	75751	4835
940	75823	4754
941	75903	4673
942	75991	4593
943	76063	4512
944	76135	4431
945	76210	4350
946	76288	4269
947	76362	4188
948	76445	4108
949	76524	4027
950	76593	3946
951	76673	3865
952	76754	3785
953	76828	3704
954	76904	3623
955	76977	3542
956	77055	3462
957	77138	3381
958	77216	3301
959	77284	3220
960	77358	3139
961	77436	3058
962	77514	2978
963	77594	2897
964	77676	2817
965	77754	2736
966	77828	2655
967	77903	2575
968	77975	2494
969	78061	2414
970	78146	2333
971	78236	2253
972	78313	2173
973	78392	2092
974	78480	2012
975	78556	1931
976	78632	1851
977	78713	1770
978	78794	1690
979	78882	1609
980	78988	1529
981	79105	1450
982	79238	1370
983	79348	1290
984	79433	1209
985	79532	1129
986	79634	1048
987	79736	968
988	79826	887
989	79928	807
990	80012	726
991	80088	645
992	80171	565
993	80256	484
994	80328	403
995	80404	322
996	80483	242
997	80568	161
998	80647	80
999	80732	0
