id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
p4WSuGkT,12.07.2022 21:00,Al Ahly,Future FC,4,0,61%,39%,21,11,8,4,8,6,5,1,6,14,4,3,1,3,21,25,4,4,10,4,3,1,510,317,431,237,24,11,100,73,61,41,0,0,H
hdELsxLG,12.07.2022 18:30,El Gaish,Pyramids,2,2,40%,60%,7,13,4,5,3,5,0,3,10,8,3,12,1,2,10,14,3,2,9,11,2,3,,,,,,,45,56,13,36,1,0,D
nJDPtdzN,12.07.2022 18:30,Zamalek,Arab Contractors,1,0,62%,38%,17,15,4,5,9,6,4,4,10,4,6,7,1,3,19,29,5,3,6,7,3,1,505,297,429,218,11,15,99,95,49,63,0,0,H
E5FHrI5A,12.07.2022 16:30,National Bank Egypt,Ghazl El Mahallah,2,1,54%,46%,10,10,4,2,5,5,1,3,21,18,3,5,4,0,13,22,1,2,20,21,3,2,365,309,279,215,14,10,91,99,39,48,0,1,H
GOxcfjpD,05.07.2022 21:00,El Gouna,Al Ahly,0,0,34%,66%,5,24,3,6,2,14,0,4,18,13,4,6,1,5,14,20,6,3,16,12,2,1,259,526,161,444,14,12,87,120,58,90,0,0,D
QZkOXCJh,29.06.2022 21:30,Smouha,Al Ahly,3,2,26%,74%,9,33,5,8,4,16,0,9,6,12,2,7,0,0,13,30,6,2,12,6,3,2,232,640,163,562,19,36,74,139,32,113,0,0,H
pOYQYh4n,29.06.2022 19:00,Pyramids,Enppi,1,0,66%,34%,7,6,3,2,4,4,0,0,7,16,11,6,5,0,22,13,2,2,11,8,4,0,575,295,489,208,8,11,128,96,78,45,0,0,H
6XZMZYlt,28.06.2022 21:30,Zamalek,Ceramica Cleopatra,3,2,48%,52%,11,23,5,9,4,12,2,2,14,17,4,4,1,3,10,14,7,2,16,9,1,3,369,396,271,319,17,10,92,108,38,78,0,0,H
UBbHEkJU,28.06.2022 19:00,Arab Contractors,National Bank Egypt,1,1,47%,53%,19,8,6,1,6,6,7,1,16,15,8,3,2,1,25,22,0,5,14,15,1,4,320,356,225,264,13,10,106,111,67,47,0,0,D
QJ10IXJ5,28.06.2022 19:00,Ghazl El Mahallah,El Ismaily,0,0,48%,52%,12,10,1,5,7,5,4,0,11,13,7,8,1,0,25,14,5,1,10,15,1,2,293,313,205,207,20,15,98,90,76,56,0,0,D
G8fDFV3O,27.06.2022 21:30,Future FC,El Gaish,0,1,69%,31%,13,4,2,3,8,1,3,0,14,14,3,0,1,0,31,17,2,2,12,17,1,4,485,226,402,141,15,15,119,74,82,25,0,0,A
fg64HiZB,27.06.2022 19:00,El Gouna,Eastern Company,2,3,62%,38%,18,14,5,5,9,5,4,4,20,17,6,3,2,1,26,14,2,3,16,19,3,1,413,256,304,146,10,12,119,88,71,40,1,0,A
Yq58GBlI,27.06.2022 19:00,Pharco,Al Ittihad,0,1,43%,57%,11,14,0,5,9,6,2,3,13,12,5,2,0,1,24,23,4,0,11,14,3,3,308,434,224,362,17,18,88,109,45,51,0,0,A
nT2dJD4a,26.06.2022 19:00,Misr Lel Makkasa,Al Masry,0,2,48%,52%,8,13,3,6,4,4,1,3,17,7,2,6,0,2,28,30,4,3,10,16,4,3,330,351,233,271,20,20,104,119,48,66,0,0,A
44DiKgkg,22.06.2022 21:30,Al Ahly,Ghazl El Mahallah,2,1,65%,35%,19,3,6,3,10,0,3,0,13,10,13,3,1,2,25,16,2,4,11,14,1,3,547,296,459,204,17,15,120,93,86,26,0,1,H
b7AqMFKt,22.06.2022 19:00,Eastern Company,Pyramids,0,3,33%,67%,12,9,3,4,5,3,4,2,12,15,5,4,3,3,20,17,1,3,15,11,1,1,287,573,208,497,16,12,82,108,49,63,1,0,A
hU9mLZZn,22.06.2022 19:00,National Bank Egypt,Zamalek,1,2,46%,54%,8,19,3,7,4,7,1,5,8,16,8,7,3,0,23,25,5,2,14,11,4,2,354,392,265,300,22,18,97,113,49,63,0,0,A
2awz63Ur,19.06.2022 20:00,Al Ahly,Zamalek,2,2,55%,45%,15,9,4,5,6,4,5,0,9,12,7,6,4,2,16,21,3,2,7,9,0,2,431,342,366,264,12,13,103,87,59,58,0,0,D
dbOHQeCP,18.06.2022 21:30,Al Ittihad,Misr Lel Makkasa,1,0,51%,49%,7,7,3,2,4,3,0,2,11,20,3,4,7,0,27,31,2,2,14,12,1,1,423,381,327,276,19,20,120,123,60,76,0,0,H
tjtV2hKI,18.06.2022 19:00,Al Masry,El Gouna,1,0,60%,40%,18,2,3,2,11,0,4,0,14,8,8,1,1,0,27,18,2,2,8,20,2,4,459,315,368,207,13,25,138,79,74,22,0,2,H
KtuZ1CZO,18.06.2022 19:00,Enppi,Future FC,1,2,58%,42%,9,12,3,9,5,3,1,0,12,8,7,2,0,2,17,14,7,2,11,11,3,3,435,323,367,243,11,17,109,89,67,47,0,0,A
nTtR3Y4C,17.06.2022 21:30,El Gaish,Smouha,3,3,50%,50%,10,13,4,4,4,5,2,4,15,15,4,4,4,4,19,22,1,1,14,13,5,3,272,274,191,186,13,9,88,83,44,41,0,0,D
j1mI5fz0,17.06.2022 19:00,Ceramica Cleopatra,Pharco,1,1,52%,48%,8,12,1,3,5,6,2,3,8,11,3,10,1,0,23,18,2,0,9,8,2,1,396,365,301,278,16,20,107,96,48,52,0,0,D
YPxN4Ek6,17.06.2022 19:00,El Ismaily,Arab Contractors,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,D
QiygO9Pq,15.06.2022 21:00,Al Ahly,Eastern Company,4,1,63%,37%,12,9,5,3,4,5,3,1,11,16,5,3,3,2,25,22,2,1,15,10,1,4,436,250,359,161,16,19,97,97,48,33,0,0,H
CAlE6zLg,30.05.2022 18:30,National Bank Egypt,Ceramica Cleopatra,0,0,52%,48%,7,11,2,4,2,7,3,0,9,16,5,4,1,0,29,27,4,2,16,7,2,1,404,372,309,273,19,7,111,113,38,56,0,0,D
vqy78djs,29.05.2022 18:30,Pyramids,Al Masry,3,1,60%,40%,11,5,4,2,6,2,1,1,12,12,2,2,0,3,19,21,1,1,13,13,2,1,509,342,424,270,16,11,119,101,58,34,0,1,H
boNxQOLE,29.05.2022 16:00,Future FC,Eastern Company,1,1,68%,32%,10,7,3,2,3,3,4,2,16,14,5,5,3,2,30,24,1,2,11,16,4,3,496,244,404,147,18,19,127,89,63,43,0,0,D
WvVj2LT7,28.05.2022 18:30,Smouha,Enppi,1,1,52%,48%,11,13,3,3,4,7,4,3,6,10,2,11,3,0,21,26,2,2,8,6,1,0,367,319,285,249,20,13,105,98,61,67,0,0,D
prJYQ468,28.05.2022 18:30,Zamalek,El Ismaily,2,1,61%,39%,11,8,4,3,4,2,3,3,19,10,6,5,0,4,17,17,2,2,12,18,1,0,474,311,403,239,19,16,110,87,55,42,0,0,H
hlWn31E1,28.05.2022 16:00,Ghazl El Mahallah,El Gaish,0,1,58%,42%,18,9,2,5,8,2,8,2,8,11,10,4,1,0,35,12,4,2,10,10,3,2,351,278,241,178,10,19,101,86,84,37,0,0,A
zDyr4sae,27.05.2022 21:00,Misr Lel Makkasa,Pharco,0,0,29%,71%,10,8,3,2,5,3,2,3,14,17,3,7,0,1,18,22,2,3,16,11,2,3,208,523,131,457,24,9,76,105,50,80,0,0,D
dMxv5Nqk,27.05.2022 18:30,El Gouna,Al Ittihad,1,0,45%,55%,18,12,3,0,11,9,4,3,13,11,6,6,0,2,27,16,0,2,11,11,3,1,325,398,229,301,10,20,98,101,61,72,0,0,H
hlEwYaDb,26.05.2022 21:00,Pyramids,Future FC,0,0,70%,30%,13,5,4,2,6,3,3,0,14,17,8,3,3,1,32,14,2,4,14,13,3,1,623,266,538,181,12,20,141,73,85,31,0,0,D
EcFZYubh,26.05.2022 18:30,Al Masry,National Bank Egypt,1,3,58%,42%,27,10,10,3,10,5,7,2,14,8,8,2,3,1,24,23,0,9,5,12,3,3,476,351,394,266,11,18,112,90,78,27,0,0,A
S6n8AqMR,24.05.2022 18:30,Enppi,Ghazl El Mahallah,2,2,56%,44%,8,10,3,3,3,3,2,4,17,13,4,4,0,1,19,17,1,1,13,17,2,2,373,308,281,214,17,22,115,82,55,42,0,0,D
prc3BP6L,23.05.2022 18:30,Pharco,El Gouna,0,0,65%,35%,8,11,1,2,4,3,3,6,19,15,3,3,0,0,23,23,2,1,13,19,2,0,601,310,526,229,12,22,109,93,61,53,0,0,D
6ibaC5iF,22.05.2022 21:00,Al Ittihad,Pyramids,1,0,30%,70%,11,14,5,3,6,7,0,4,11,10,3,11,3,2,15,28,3,4,9,12,1,0,228,547,145,455,21,16,74,94,42,74,0,0,H
xIgeDox9,22.05.2022 18:30,Al Masry,Future FC,0,1,53%,47%,12,14,3,8,7,4,2,2,22,21,4,3,1,2,15,16,7,3,17,20,2,4,388,334,321,270,17,16,106,79,63,40,0,0,A
bRfiERM2,22.05.2022 16:00,Ceramica Cleopatra,Misr Lel Makkasa,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,H
rJC4jOUe,22.05.2022 16:00,El Ismaily,National Bank Egypt,2,2,44%,56%,11,10,5,3,5,6,1,1,27,8,4,3,0,1,17,22,1,3,10,27,1,3,372,473,281,374,7,18,111,98,53,40,1,0,D
IVLQz2Tu,21.05.2022 21:00,Enppi,Al Ahly,1,2,32%,68%,8,23,4,7,3,8,1,8,10,14,3,8,3,1,18,17,5,3,15,9,5,2,251,545,180,453,14,14,93,118,53,82,1,0,A
ldD0i4Fk,21.05.2022 16:00,Eastern Company,Smouha,2,2,39%,61%,11,13,2,4,7,5,2,4,10,19,3,8,3,1,11,42,2,0,22,11,3,1,236,369,145,263,30,6,96,130,41,73,0,0,D
dMG8krp2,21.05.2022 16:00,El Gaish,Arab Contractors,1,0,56%,44%,7,7,1,1,4,5,2,1,23,16,5,6,1,6,24,23,1,0,15,17,1,1,344,267,246,171,10,14,104,82,53,51,0,0,H
A5Edhp0q,18.05.2022 20:00,National Bank Egypt,Al Ahly,0,0,34%,66%,13,17,4,5,5,10,4,2,10,18,7,7,2,1,16,18,5,4,16,10,4,2,272,543,181,449,11,8,69,122,38,75,0,0,D
6yAycQiS,17.05.2022 21:00,Zamalek,El Gaish,0,1,72%,28%,18,4,4,3,7,1,7,0,14,14,6,5,2,4,31,18,2,4,11,10,1,1,558,221,478,143,24,16,119,88,80,35,0,0,A
SpBXc6xM,17.05.2022 18:30,Future FC,Al Ittihad,4,3,50%,50%,9,19,5,3,0,7,4,9,12,12,5,10,1,1,19,15,0,1,10,11,1,2,442,432,361,346,17,23,109,114,45,63,0,0,H
YNBTbnNF,17.05.2022 16:00,El Gouna,Misr Lel Makkasa,0,1,65%,35%,22,11,4,4,12,6,6,1,12,10,15,2,2,2,28,21,3,4,8,11,1,1,414,235,326,139,13,15,140,91,94,37,0,0,A
KK7PaS79,16.05.2022 21:00,Smouha,Al Masry,2,1,39%,61%,8,9,6,3,1,5,1,1,10,15,3,6,2,3,19,17,2,4,14,10,2,3,281,420,212,342,16,26,99,122,32,69,0,0,H
xdIK08h3,16.05.2022 18:30,Ghazl El Mahallah,Eastern Company,1,0,42%,58%,6,17,2,2,3,8,1,7,14,22,1,7,2,1,11,24,2,1,21,13,4,0,300,407,195,308,14,12,79,116,32,73,1,0,H
b5JG1lwc,15.05.2022 21:00,Pyramids,Pharco,0,0,68%,32%,14,0,3,0,8,0,3,0,12,10,8,2,2,1,21,17,0,3,9,12,0,3,722,334,640,244,19,20,158,70,87,18,0,0,D
AkQYx50d,15.05.2022 18:30,Arab Contractors,Enppi,2,2,58%,42%,11,8,5,4,4,3,2,1,15,14,7,3,0,1,35,26,2,3,15,11,3,1,369,264,244,157,20,21,124,105,68,58,0,0,D
WbRUwooj,15.05.2022 16:00,El Ismaily,Ceramica Cleopatra,2,0,42%,58%,5,12,2,5,3,3,0,4,13,17,1,3,0,2,16,34,5,0,17,13,1,1,351,477,251,374,19,14,106,135,47,76,0,0,H
SWVbq7NS,11.05.2022 21:00,Misr Lel Makkasa,Pyramids,0,2,37%,63%,5,12,1,5,4,6,0,1,16,7,2,7,1,5,9,21,3,1,6,9,3,2,344,565,240,474,12,11,92,120,35,66,1,0,A
Y9Wfpm8M,11.05.2022 18:30,Al Ittihad,Smouha,2,5,62%,38%,12,21,2,8,8,6,2,7,7,13,2,7,3,0,23,18,3,0,12,9,0,3,508,306,426,224,15,18,130,107,72,57,0,0,A
fJXjoThG,11.05.2022 16:00,Al Masry,Ghazl El Mahallah,1,1,45%,55%,6,16,1,5,2,8,3,3,24,20,1,4,2,0,25,19,4,0,24,24,2,2,351,418,242,314,13,24,113,114,46,55,0,0,D
xrwnn9wA,10.05.2022 21:00,Zamalek,Enppi,0,2,73%,27%,19,8,4,5,11,1,4,2,16,8,7,5,1,7,33,20,3,4,12,16,3,2,569,204,480,124,17,14,150,80,89,47,0,0,A
bivrmkO3,10.05.2022 18:30,Ceramica Cleopatra,El Gouna,3,2,45%,55%,9,10,7,3,1,5,1,2,13,19,4,3,2,2,20,21,1,4,21,13,1,1,353,396,259,314,10,16,111,112,49,69,0,0,H
4UvvlV8c,09.05.2022 21:00,El Gaish,National Bank Egypt,1,1,44%,56%,11,8,5,4,4,2,2,2,16,14,7,4,2,3,30,17,3,4,14,16,,,263,337,167,229,8,12,116,82,48,36,0,0,D
jRzzkBgi,09.05.2022 18:30,Pharco,Future FC,1,0,38%,62%,5,15,3,4,2,7,0,4,22,15,3,5,2,3,19,34,4,2,17,21,3,1,327,508,241,427,17,13,98,120,29,72,0,0,H
lMdiQRGj,09.05.2022 16:00,Eastern Company,Arab Contractors,1,1,50%,50%,11,8,3,1,6,7,2,0,10,9,4,6,0,2,21,35,0,2,10,10,2,0,327,323,244,231,20,16,99,96,50,55,0,0,D
KEzcNTvj,06.05.2022 21:00,Smouha,Pyramids,0,2,39%,61%,8,9,1,3,5,3,2,3,16,11,4,5,1,2,28,26,1,1,12,17,3,2,354,550,259,475,18,17,84,109,43,52,0,0,A
Wlv1Mmfd,06.05.2022 18:30,El Ismaily,Al Masry,3,2,43%,57%,17,9,8,3,5,6,4,0,12,16,4,5,1,1,19,28,1,5,16,15,1,3,303,410,213,317,17,16,101,101,51,40,0,1,H
G2kimWI2,01.05.2022 21:30,Al Masry,Arab Contractors,0,2,68%,32%,20,6,5,3,10,2,5,1,20,11,10,1,0,0,24,14,1,5,12,26,2,1,494,246,407,160,16,22,137,78,82,21,0,0,A
2a19Ont2,01.05.2022 21:30,Eastern Company,Zamalek,1,2,34%,66%,9,15,2,4,5,7,2,4,11,14,2,6,6,1,21,24,2,1,12,11,3,3,279,534,182,445,18,2,99,124,41,68,0,0,A
fglenjY8,01.05.2022 21:30,El Gouna,Pyramids,1,2,41%,59%,6,12,3,8,2,3,1,1,6,14,3,8,2,1,23,25,6,2,14,7,2,1,375,551,272,439,15,14,107,113,38,66,0,0,A
St9dRldq,30.04.2022 21:30,Al Ittihad,Ghazl El Mahallah,3,0,60%,40%,17,9,7,0,9,6,1,3,15,15,3,5,2,2,25,26,0,4,16,14,0,3,473,306,381,192,9,14,127,102,40,47,0,1,H
6X70Q8Bk,30.04.2022 21:30,Ceramica Cleopatra,Al Ahly,1,1,33%,67%,7,22,1,2,5,10,1,10,8,14,4,4,0,2,27,15,1,0,17,7,3,0,266,554,179,469,11,14,74,130,37,78,0,0,D
ldc5PSQe,30.04.2022 21:30,El Gaish,El Ismaily,1,0,36%,64%,13,11,2,1,8,5,3,5,20,9,4,5,2,1,17,23,1,1,9,21,3,4,273,474,175,373,14,15,106,107,41,52,0,0,H
zXVTrHRG,29.04.2022 21:30,Enppi,National Bank Egypt,2,2,49%,51%,14,11,5,4,5,6,4,1,15,20,5,4,3,5,23,23,2,3,18,12,5,3,278,293,197,185,6,11,111,91,69,40,0,0,D
EHsLpwc4,29.04.2022 21:30,Misr Lel Makkasa,Future FC,0,3,47%,53%,13,16,3,8,7,5,3,3,11,10,1,3,1,1,26,20,5,3,9,13,,,459,515,375,425,18,7,129,89,70,43,0,0,A
dtXPqcCA,29.04.2022 21:30,Pharco,Smouha,0,0,55%,45%,14,13,3,4,9,7,2,2,15,18,6,3,0,3,15,17,4,3,17,12,3,1,392,327,297,235,24,20,95,99,46,44,0,0,D
0EwHoJsb,28.04.2022 21:30,Zamalek,Al Masry,2,1,62%,38%,21,6,5,3,13,2,3,1,12,17,9,1,0,3,14,17,2,3,19,13,3,4,469,300,387,213,24,17,95,106,57,46,0,0,H
S0u9muDo,27.04.2022 21:30,Al Ahly,El Gaish,0,0,72%,28%,13,8,3,2,6,6,4,0,16,11,7,1,1,3,28,15,2,3,10,15,,,655,261,545,174,18,16,122,81,80,35,0,0,D
6ivDnaSi,27.04.2022 21:30,Pyramids,Ceramica Cleopatra,0,1,79%,21%,18,4,5,2,10,2,3,0,10,7,4,2,0,0,28,12,1,5,8,9,2,1,890,226,785,134,14,8,144,80,78,26,0,0,A
fDAfUHCN,26.04.2022 21:30,Arab Contractors,Al Ittihad,1,1,46%,54%,14,14,3,4,7,5,4,5,10,15,5,3,0,0,36,20,3,2,15,9,3,1,281,336,175,238,11,20,120,109,61,46,0,0,D
lzAbTyST,26.04.2022 21:30,El Ismaily,Enppi,0,2,69%,31%,8,9,0,3,3,4,5,2,16,12,12,2,1,3,26,20,1,0,11,15,2,2,495,218,381,129,19,21,101,79,69,39,0,0,A
jqdQOezo,26.04.2022 21:30,National Bank Egypt,Eastern Company,2,1,56%,44%,13,11,6,4,5,6,2,1,14,17,7,3,4,2,28,29,3,4,15,12,2,3,356,280,257,182,14,9,111,114,49,41,0,0,H
rw7jVccH,25.04.2022 21:30,Future FC,El Gouna,3,2,57%,43%,15,10,6,5,9,4,0,1,16,14,7,5,4,2,24,20,3,3,11,16,2,3,388,301,311,236,14,7,82,85,71,50,0,1,H
MNIsXJS4,25.04.2022 21:30,Ghazl El Mahallah,Pharco,1,1,58%,42%,15,5,4,1,6,4,5,0,16,18,5,3,1,0,21,23,0,3,18,20,,,388,293,288,191,14,13,130,96,76,22,0,0,D
0EHoWwrB,25.04.2022 21:30,Smouha,Misr Lel Makkasa,1,0,57%,43%,15,12,6,2,4,8,5,2,12,11,7,8,2,2,27,25,2,5,10,10,1,2,458,335,335,214,21,26,123,114,68,58,0,0,H
WYPUZLrn,20.04.2022 21:30,El Gouna,Smouha,1,0,52%,48%,12,3,5,2,4,0,3,1,19,21,4,4,2,1,22,34,2,4,19,22,3,3,306,284,222,191,18,13,84,109,49,57,0,0,H
tApLFIcU,19.04.2022 21:30,Al Ittihad,Zamalek,0,2,35%,65%,6,17,2,6,3,9,1,2,11,25,4,5,3,0,28,25,4,2,21,12,1,1,287,528,217,452,13,14,95,123,41,61,1,0,A
2JoHGbrO,19.04.2022 21:30,El Gaish,Ceramica Cleopatra,1,0,37%,63%,7,11,5,3,1,6,1,2,17,13,7,2,3,1,20,37,3,4,12,15,3,2,270,451,148,334,17,15,108,118,45,81,0,0,H
M7UJHvTH,18.04.2022 21:30,Eastern Company,El Ismaily,0,2,31%,69%,10,8,4,2,3,3,3,3,20,15,6,6,2,0,28,19,0,4,13,21,2,4,235,529,129,417,19,10,107,117,57,52,0,0,A
rHVFIKDB,18.04.2022 21:30,Misr Lel Makkasa,Ghazl El Mahallah,0,1,59%,41%,15,8,5,4,6,4,4,0,16,18,5,0,0,1,34,21,3,5,21,16,2,2,365,250,229,117,11,9,93,93,65,43,0,0,A
lfWBJ0b5,18.04.2022 21:30,Pharco,Arab Contractors,1,0,47%,53%,4,11,2,3,2,4,0,4,12,16,2,8,2,3,16,25,3,1,17,10,3,1,358,387,292,296,13,18,86,92,36,47,0,0,H
KAKerVGF,15.04.2022 21:30,Ceramica Cleopatra,Future FC,0,3,46%,54%,10,7,6,5,2,1,2,1,17,20,10,3,3,2,20,16,2,6,19,14,6,4,354,425,258,342,14,10,93,84,61,37,1,0,A
08YPQ2or,15.04.2022 21:30,Ghazl El Mahallah,El Gouna,2,1,42%,58%,16,8,5,1,9,4,2,3,11,18,5,9,0,0,22,21,0,3,21,16,1,2,248,332,144,222,7,12,97,96,55,52,0,0,H
CpHmpin3,14.04.2022 21:30,Arab Contractors,Misr Lel Makkasa,1,1,47%,53%,3,9,2,3,1,4,0,2,21,15,4,3,4,2,29,29,2,1,12,18,5,2,320,354,201,235,10,14,100,98,38,61,0,0,D
YgIqoXWd,14.04.2022 21:30,El Gaish,Enppi,1,1,59%,41%,14,9,8,3,5,6,1,0,24,19,3,2,0,1,25,20,2,7,17,25,3,1,376,265,272,154,13,13,99,87,62,38,0,0,D
tKLiqB19,14.04.2022 21:30,National Bank Egypt,Al Ittihad,1,1,47%,53%,12,13,3,3,8,8,1,2,15,12,7,4,1,1,29,18,2,2,14,14,3,0,332,381,219,279,15,8,96,102,58,49,0,0,D
OrkRSkHS,12.04.2022 21:30,Zamalek,Pharco,0,0,68%,32%,12,5,3,1,8,3,1,1,22,18,9,4,1,3,31,21,1,3,17,17,2,3,582,277,513,194,14,23,139,85,69,40,0,0,D
xS25XD2c,09.04.2022 21:30,Al Masry,Al Ahly,1,0,36%,64%,13,10,3,3,3,5,7,2,18,14,6,6,3,0,21,28,3,2,9,18,2,2,259,485,168,364,23,16,110,116,45,52,0,0,H
KjhAWXH3,09.04.2022 21:30,Misr Lel Makkasa,Zamalek,0,1,38%,62%,9,11,1,3,6,3,2,5,12,16,4,3,1,1,27,26,2,1,16,15,2,1,275,460,179,371,19,10,89,111,50,57,0,1,A
by41Ygmi,09.04.2022 21:30,Pyramids,Ghazl El Mahallah,1,0,73%,27%,11,2,4,1,5,1,2,0,16,15,7,4,1,5,16,17,1,3,14,13,3,1,674,235,569,127,7,12,113,74,71,40,1,0,H
nqLqGCXM,06.04.2022 21:30,Al Ahly,Al Ittihad,1,0,63%,37%,18,5,4,2,8,2,6,1,13,4,10,3,0,7,27,16,2,3,5,11,2,0,506,296,425,212,15,20,115,87,73,43,0,0,H
U59MNIPu,06.04.2022 21:30,Pyramids,Zamalek,2,3,56%,44%,18,10,7,6,5,2,6,2,9,10,10,2,2,1,13,24,3,5,9,11,2,4,477,392,402,306,10,21,110,84,76,28,0,1,A
pK0K9AAj,17.03.2022 16:30,Eastern Company,El Gaish,0,0,38%,62%,6,11,2,2,2,6,2,3,10,13,2,4,1,1,18,31,2,2,15,12,2,3,254,417,172,323,13,12,88,128,25,72,0,0,D
0nPmFWnT,17.03.2022 14:00,Pharco,National Bank Egypt,2,2,50%,50%,10,6,4,4,3,1,3,1,20,15,0,1,1,4,24,30,2,2,14,17,3,2,373,355,275,247,6,17,103,101,41,53,0,0,D
67fMTV1M,16.03.2022 19:00,Enppi,Ceramica Cleopatra,0,0,44%,56%,5,11,0,2,3,5,2,4,28,14,3,3,2,1,24,28,2,0,12,27,1,2,316,409,209,296,19,19,98,121,40,63,0,0,D
SGeIUBnG,16.03.2022 16:30,Al Ittihad,El Ismaily,1,2,53%,47%,14,8,4,4,8,4,2,0,19,20,5,3,2,1,23,25,2,3,18,19,2,3,409,367,307,266,22,17,112,115,64,45,0,0,A
YgdEViX9,16.03.2022 14:00,El Gouna,Arab Contractors,1,2,63%,37%,10,12,3,4,7,6,0,2,12,14,5,3,1,1,20,16,2,2,14,11,2,4,410,240,331,152,11,12,126,70,62,48,0,0,A
6T1GAjep,15.03.2022 19:00,Future FC,Smouha,4,0,48%,52%,11,5,8,2,2,2,1,1,15,17,2,6,4,3,12,18,2,4,14,15,1,2,388,429,327,360,27,23,88,110,39,59,0,1,H
EBxUPM0l,09.03.2022 16:30,El Gaish,Al Masry,1,0,38%,62%,9,16,2,3,6,5,1,8,12,16,2,13,2,2,17,28,3,1,17,11,4,1,297,474,187,363,26,3,96,110,43,76,0,0,H
hMLuHhIG,09.03.2022 14:00,Ghazl El Mahallah,Future FC,0,0,45%,55%,14,12,3,3,7,6,4,3,15,25,5,5,2,0,13,26,3,3,29,14,2,1,306,377,196,266,17,10,104,111,56,61,0,0,D
ALrf3LuF,08.03.2022 19:00,Al Ahly,Pyramids,3,0,51%,49%,8,13,4,2,4,10,0,1,17,12,1,4,0,0,27,20,2,1,13,15,4,3,485,468,382,366,16,14,108,105,33,57,0,0,H
EVMyIY2A,08.03.2022 16:30,Ceramica Cleopatra,Smouha,1,1,36%,64%,5,12,1,2,3,8,1,2,21,26,3,4,0,1,23,20,1,0,28,20,5,1,252,440,167,365,22,19,94,117,40,59,0,0,D
dfSWIEm4,08.03.2022 14:00,Enppi,Eastern Company,1,2,63%,37%,13,8,2,5,7,3,4,0,10,11,7,3,3,2,30,13,3,1,10,12,3,4,404,244,312,149,6,10,131,86,91,50,0,0,A
I3TSJfYc,07.03.2022 19:00,Zamalek,El Gouna,2,1,47%,53%,8,7,5,2,0,4,3,1,15,13,7,4,2,0,26,16,1,3,13,17,2,2,384,434,290,358,22,15,102,91,42,50,0,0,H
OtUOKzJi,07.03.2022 16:30,El Ismaily,Pharco,0,0,56%,44%,8,7,3,3,2,1,3,3,19,26,6,4,3,1,24,26,3,3,21,17,3,2,419,331,328,220,17,14,122,103,70,49,0,0,D
C6QKLG3o,07.03.2022 14:00,National Bank Egypt,Misr Lel Makkasa,1,0,48%,52%,7,17,2,1,5,10,0,6,12,16,6,6,3,2,23,25,1,1,14,12,2,2,321,340,215,224,12,14,96,110,48,68,0,0,H
A1nxcXQp,04.03.2022 16:30,Arab Contractors,Pyramids,0,2,40%,60%,10,14,1,8,8,4,1,2,22,14,4,5,3,0,30,17,6,1,12,23,2,3,345,507,238,417,21,19,84,120,46,66,0,0,A
4rrG2ZgU,03.03.2022 16:30,Al Masry,Enppi,2,2,57%,43%,16,6,6,3,9,2,1,1,14,16,6,3,1,0,15,13,1,4,11,17,3,2,316,234,123,79,9,12,135,105,64,41,0,0,D
8zXkAaet,02.03.2022 19:00,Zamalek,Future FC,3,2,57%,43%,13,14,4,4,8,7,1,3,15,13,10,4,2,4,17,13,2,1,16,16,3,4,478,366,407,295,18,10,118,90,76,53,0,0,H
juvC3FvO,01.03.2022 19:00,Pharco,Al Ahly,1,4,46%,54%,11,15,4,5,4,6,3,4,17,25,4,0,0,4,17,16,2,3,26,16,2,4,331,413,266,329,10,21,91,99,44,49,0,0,A
dIv84ePH,01.03.2022 16:30,Misr Lel Makkasa,El Ismaily,2,2,39%,61%,13,18,4,5,5,6,4,7,14,16,4,9,2,1,18,25,3,2,17,14,1,1,274,430,,,7,8,102,99,48,54,0,0,D
IRu45yAB,01.03.2022 14:00,El Gouna,National Bank Egypt,1,2,64%,36%,23,12,11,7,11,2,1,3,13,18,11,6,2,1,23,21,5,10,16,14,3,1,376,223,283,128,5,21,122,94,82,38,0,0,A
xGO66Hf5,28.02.2022 16:30,Al Ittihad,El Gaish,1,1,46%,54%,9,14,1,3,4,5,4,6,11,23,1,3,5,3,21,24,2,0,25,11,6,1,317,363,183,238,18,14,118,125,44,68,0,0,D
bPP27cua,28.02.2022 14:00,Eastern Company,Ceramica Cleopatra,1,0,34%,66%,9,18,4,5,3,7,2,6,12,12,3,7,0,3,14,33,5,3,14,12,1,4,250,436,160,334,16,16,86,139,40,112,0,0,H
