id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
UPgHcxy2,22.08.2022 17:30,Ceramica Cleopatra,El Gaish,1,1,49%,51%,13,11,3,3,6,6,4,2,8,12,7,6,3,1,25,19,2,2,10,9,2,0,339,364,260,272,16,18,131,139,92,81,0,0,D
jZfDbILe,22.08.2022 17:30,Ghazl El Mahallah,Misr Lel Makkasa,1,0,69%,31%,28,5,7,2,17,1,4,2,6,16,18,1,0,0,22,17,2,6,16,6,1,0,481,235,406,156,15,13,118,85,110,29,0,0,H
lzxQvRVq,21.08.2022 21:00,Al Ahly,El Ismaily,0,0,45%,55%,3,9,2,4,1,4,0,1,9,12,4,6,2,3,12,9,4,2,9,6,0,1,391,476,322,413,16,15,85,107,43,56,0,0,D
xSEx5KrS,20.08.2022 18:30,Al Ittihad,National Bank Egypt,3,0,43%,57%,15,16,9,3,2,7,4,6,8,12,3,11,3,3,21,27,3,6,10,3,1,1,309,396,217,290,16,18,107,119,46,75,0,0,H
vsdZ50TL,19.08.2022 21:00,Pyramids,Smouha,5,1,73%,27%,17,3,7,3,7,0,3,0,8,11,7,1,1,0,13,16,2,2,11,10,2,5,643,237,574,169,13,16,121,96,84,39,0,1,H
pKdV6tEF,19.08.2022 18:30,Misr Lel Makkasa,Arab Contractors,0,3,42%,58%,11,13,1,5,7,6,3,2,11,9,4,6,0,1,20,17,2,1,10,12,1,0,361,481,253,396,9,12,98,109,41,65,0,0,A
6TcR7Mb9,19.08.2022 18:30,Pharco,Zamalek,0,1,43%,57%,13,19,2,5,4,5,7,9,5,9,5,3,2,1,18,19,4,2,7,4,2,0,355,488,284,425,16,15,96,99,69,56,0,0,A
lh3M82q3,18.08.2022 21:00,Future FC,Ceramica Cleopatra,1,1,49%,51%,8,25,4,7,4,10,0,8,12,12,5,7,2,0,15,22,6,3,8,10,1,1,407,420,333,361,12,16,88,111,40,77,0,0,D
dbGzoaid,18.08.2022 18:30,Al Masry,El Ismaily,4,1,66%,34%,11,8,7,1,3,5,1,2,6,14,7,4,1,0,10,15,0,3,13,6,3,2,527,271,455,198,15,18,112,79,37,27,0,1,H
A14I9rUd,18.08.2022 18:30,El Gouna,Ghazl El Mahallah,0,0,60%,40%,24,9,10,3,11,4,3,2,10,9,4,7,1,1,16,17,3,10,9,9,1,1,488,337,385,220,19,24,145,104,66,47,0,0,D
r9i50viq,17.08.2022 21:00,Eastern Company,Al Ahly,0,0,37%,63%,3,18,2,8,1,8,0,2,9,21,1,6,5,1,18,21,8,2,17,8,2,1,280,469,193,376,19,16,98,131,25,75,1,0,D
reCWouxj,17.08.2022 18:30,Enppi,El Gaish,0,1,65%,35%,14,9,4,6,2,2,8,1,19,17,12,3,1,2,24,13,5,4,17,20,1,2,560,313,469,233,10,13,115,93,78,48,0,0,A
0WMRnLMq,11.08.2022 18:30,El Ismaily,Al Ittihad,1,0,47%,53%,9,11,3,1,3,7,3,3,18,11,5,7,0,2,19,27,1,2,11,14,0,1,347,396,255,316,25,10,81,98,56,62,0,0,H
bNz0i1ES,10.08.2022 21:00,Al Ahly,Al Masry,2,0,55%,45%,5,2,3,1,1,1,1,0,18,18,3,5,0,3,18,21,1,1,15,14,3,0,366,287,301,226,17,10,85,109,41,50,0,0,H
jcydhsaM,10.08.2022 18:30,Arab Contractors,El Gouna,0,0,44%,56%,5,16,2,4,1,7,2,5,18,17,1,6,3,0,24,34,4,2,15,17,2,2,314,386,211,290,17,13,101,106,44,69,1,0,D
C6xhgNqG,10.08.2022 18:30,Smouha,Future FC,1,1,55%,45%,15,15,4,4,7,7,4,4,19,11,5,4,1,2,13,12,3,3,10,14,2,2,380,314,321,241,18,18,110,98,62,52,0,0,D
