id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Tackles_home,Tackles_away,Blocked Shots_home,Blocked Shots_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,result
xW46NxB0,29.06.2023 20:30,National Bank Egypt,Al Ahly,0,3,45%,55%,6,8,3,6,3,2,,,2,2,,,,,3,3,,,1,0,70,57,37,32,0,0,,,,,,,,,A
8d02OIef,29.06.2023 18:00,El Ismaily,Aswan SC,1,1,54%,46%,12,9,2,2,10,7,,,9,1,,,,,1,1,,,1,3,77,61,61,32,0,0,,,,,,,,,D
U51bPbtl,28.06.2023 20:30,Pyramids,Smouha,5,2,58%,42%,15,14,6,5,9,9,,,4,6,,,,,3,1,,,0,1,90,70,59,43,0,0,,,,,,,,,H
nsCgQvRs,28.06.2023 18:00,Al Masry,Future FC,2,0,42%,58%,5,17,2,7,3,10,,,1,7,,,,,7,0,,,0,2,75,76,33,57,0,0,,,,,,,,,H
ALKRUKIQ,27.06.2023 20:30,Zamalek,Ghazl El Mahallah,2,0,63%,37%,13,7,3,1,10,6,,,3,4,,,,,1,1,,,2,2,75,66,48,48,0,0,,,,,,,,,H
I9nzv8ph,22.06.2023 20:30,Haras El Hodood,Al Ahly,0,3,42%,58%,8,13,3,9,5,4,,,4,4,,,,,6,3,,,1,0,108,94,42,52,0,0,,,,,,,,,A
GbLNV03K,09.06.2023 19:00,Al Ittihad,National Bank Egypt,0,0,44%,56%,8,14,2,3,6,11,,,4,4,,,,,3,2,,,2,1,92,101,43,59,0,0,,,,,,,,,D
x8MJWtlE,08.06.2023 20:30,Aswan SC,Arab Contractors,1,1,66%,34%,13,11,2,6,11,5,,,12,5,,,,,5,1,,,2,1,131,74,85,31,0,0,,,,,,,,,D
xGGr8cBD,08.06.2023 18:00,El Ismaily,El Gaish,0,1,58%,42%,13,9,4,4,9,5,,,6,2,,,,,3,4,,,4,2,109,92,65,47,1,0,,,,,,,,,A
bPHv9wd7,07.06.2023 20:30,Smouha,Ceramica Cleopatra,2,2,24%,76%,10,17,5,10,5,7,,,1,8,,,,,8,3,,,2,1,81,128,38,102,0,0,,,,,,,,,D
