id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Tackles_home,Tackles_away,Blocked Shots_home,Blocked Shots_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,result
8bF7Dmmn,04.04.2023 21:15,Aswan SC,Smouha,1,1,63%,37%,11,10,1,3,7,2,15,14,2,5,3,2,29,38,2,0,16,15,2,1,104,98,75,61,0,0,28,19,3,5,489,283,335,148,D
feB3ETXu,04.04.2023 21:15,El Daklyeh,Pharco,0,0,56%,44%,7,5,2,1,5,4,21,18,2,1,4,1,30,24,1,2,17,22,2,2,114,90,60,54,0,0,,,0,0,,,,,D
jN4CC72h,03.04.2023 21:15,El Ismaily,Ceramica Cleopatra,1,1,43%,57%,7,11,3,3,4,6,16,15,1,3,1,4,17,24,2,2,17,14,2,2,114,120,36,53,0,0,18,16,0,2,357,462,261,375,D
vqyffQnO,03.04.2023 21:15,Haras El Hodood,Enppi,0,1,62%,38%,14,10,3,4,10,3,12,13,3,2,3,2,23,18,3,3,14,15,0,4,86,96,51,38,0,0,22,17,1,3,491,301,387,212,A
KtLhdnIB,31.03.2023 21:15,Ghazl El Mahallah,Al Ittihad,2,0,41%,59%,13,16,6,3,6,7,7,16,8,3,1,2,21,15,3,4,13,8,2,0,129,136,89,91,0,0,12,9,1,6,329,477,234,378,H
CGHpb8ma,31.03.2023 21:15,Pharco,Aswan SC,0,0,47%,53%,15,4,4,2,6,2,20,11,6,1,0,7,22,26,2,4,12,15,1,1,131,110,68,43,0,0,9,18,5,0,338,399,232,283,D
IDbNt7IO,30.03.2023 21:15,Ceramica Cleopatra,Arab Contractors,0,0,52%,48%,3,9,1,0,2,5,24,15,2,5,3,2,22,22,0,1,16,24,4,1,124,107,40,47,0,0,,,0,4,,,,,D
QJLlcS25,30.03.2023 21:15,Enppi,National Bank Egypt,2,1,32%,68%,6,7,3,2,2,3,12,14,4,3,0,1,14,25,1,1,17,14,5,2,85,114,36,58,1,0,17,8,1,2,249,509,138,406,H
bXJde6XH,30.03.2023 21:15,Smouha,El Ismaily,1,3,50%,50%,11,10,8,6,3,4,18,12,10,4,3,3,21,21,3,7,12,17,2,2,137,129,96,88,0,0,18,28,0,0,414,409,308,297,A
CGeFrTmC,13.03.2023 17:00,National Bank Egypt,Pyramids,2,1,34%,66%,10,17,5,4,5,5,6,18,8,7,1,1,13,23,3,3,18,5,3,1,85,136,42,77,0,0,15,22,0,8,292,571,182,444,H
Gl26pkJa,12.03.2023 18:00,Zamalek,Enppi,0,2,71%,29%,16,9,3,3,10,5,9,8,2,6,4,1,33,28,1,3,5,11,3,1,134,96,79,43,0,0,18,22,3,1,596,241,499,132,A
6weJsm3I,12.03.2023 14:00,Aswan SC,Future FC,1,2,46%,54%,11,6,4,3,3,2,9,16,3,2,3,0,30,31,1,3,14,11,4,0,128,143,88,59,0,0,15,16,4,1,349,432,229,320,A
ry4bnBlm,11.03.2023 18:00,Arab Contractors,Smouha,0,1,58%,42%,17,7,5,2,9,4,10,23,9,3,4,0,37,22,1,5,20,13,2,3,120,101,73,45,0,0,15,21,3,1,422,314,316,204,A
xb32oV3g,08.03.2023 17:00,El Ismaily,Pharco,0,0,59%,41%,10,9,1,3,6,5,15,15,2,3,1,1,18,32,3,1,14,14,1,1,101,93,50,46,0,1,9,10,3,1,441,305,340,204,D
IwEVSsxi,07.03.2023 16:00,Al Ahly,Arab Contractors,2,1,51%,49%,5,13,3,5,1,5,14,11,6,9,0,2,16,20,4,1,13,13,3,1,118,134,36,65,0,0,19,17,1,3,430,396,312,288,H
UXafmiZt,06.03.2023 16:00,Al Masry,El Gaish,1,0,41%,59%,15,8,6,1,4,2,13,14,4,9,1,2,28,29,1,5,16,12,4,2,118,132,39,45,0,0,18,30,5,5,284,406,190,287,H
OjNRiXQP,06.03.2023 14:00,El Daklyeh,Ghazl El Mahallah,2,1,37%,63%,14,7,4,2,6,2,5,11,3,5,2,1,21,34,1,2,12,5,2,1,90,121,37,65,0,0,24,20,4,3,276,471,167,373,H
p0ONhDBJ,05.03.2023 17:00,Haras El Hodood,Ceramica Cleopatra,0,0,42%,58%,8,7,1,2,6,3,15,14,5,3,2,1,20,28,2,1,13,17,1,1,95,118,36,60,0,0,28,12,1,2,301,427,188,330,D
WrLtUTYI,03.03.2023 18:00,Pyramids,Zamalek,0,0,52%,48%,11,9,2,1,3,5,21,22,7,9,3,1,15,26,1,2,20,19,3,2,97,104,56,58,0,0,17,9,6,3,434,394,349,304,D
hhMxV9JC,03.03.2023 16:00,Future FC,El Ismaily,0,0,62%,38%,14,7,4,1,10,4,13,16,7,3,5,1,27,21,1,4,10,13,3,2,132,105,65,40,0,0,13,20,0,2,551,341,463,245,D
dQSTWVl0,01.03.2023 17:00,Pharco,Arab Contractors,2,1,50%,50%,14,13,7,5,3,3,16,13,9,7,0,6,30,24,4,5,12,13,2,2,92,81,56,43,0,0,14,20,4,5,344,335,236,218,H
ATWXVk46,28.02.2023 18:00,Al Ahly,El Daklyeh,1,1,69%,31%,17,9,4,5,9,2,20,15,7,3,6,1,27,17,4,3,10,22,2,4,114,87,80,41,0,1,15,16,4,2,602,273,505,163,D
23TPXBZg,28.02.2023 16:00,Ceramica Cleopatra,National Bank Egypt,2,1,54%,46%,19,7,12,4,5,2,11,11,7,5,0,2,16,18,3,10,11,9,2,3,95,66,60,30,0,0,,,2,1,,,,,H
OCULYiKm,28.02.2023 16:00,Enppi,Al Masry,1,2,62%,38%,17,9,6,2,10,4,7,5,6,6,1,2,26,24,0,5,6,8,2,0,107,102,79,64,0,1,25,13,1,3,474,296,384,209,A
6yzHZX4s,27.02.2023 18:00,El Gaish,Al Ittihad,3,4,55%,45%,15,11,9,6,4,3,17,11,7,2,5,0,27,22,2,6,8,20,3,5,140,115,85,50,0,1,22,16,2,2,439,374,336,271,A
zkDqhtL8,27.02.2023 14:00,Ghazl El Mahallah,Aswan SC,1,2,59%,41%,10,17,2,6,6,8,14,12,5,6,1,4,35,23,4,1,12,12,1,7,89,75,50,54,0,0,16,21,2,3,467,319,365,231,A
UBCmi0zF,26.02.2023 16:00,Smouha,Haras El Hodood,3,0,54%,46%,19,7,4,3,8,4,11,16,7,1,2,2,23,19,3,1,13,12,1,1,107,96,62,33,0,0,10,13,7,0,428,365,318,255,H
M9VdUxT1,22.02.2023 18:00,Al Masry,Pyramids,0,0,44%,56%,7,8,2,3,2,3,12,28,5,3,2,2,23,25,3,2,26,13,1,2,97,119,38,44,0,0,11,8,3,2,321,463,204,345,D
OE9ugM52,22.02.2023 16:00,Arab Contractors,Future FC,0,0,45%,55%,13,11,4,4,7,4,5,19,4,4,3,1,15,28,4,4,16,6,2,1,110,120,47,48,0,0,27,15,2,3,348,532,265,431,D
zgTpXvqq,21.02.2023 18:00,Haras El Hodood,Pharco,0,0,49%,51%,2,5,0,1,2,4,20,19,2,1,3,3,24,20,1,0,17,11,1,1,115,109,43,78,0,0,,,0,0,,,,,D
UBjIyLzS,21.02.2023 16:00,El Ismaily,Ghazl El Mahallah,1,1,47%,53%,11,14,4,9,4,2,4,20,4,6,5,2,16,22,8,3,17,5,4,4,104,107,60,66,0,1,22,24,3,3,344,387,277,312,D
EqSlWbbk,21.02.2023 13:45,Aswan SC,Al Ahly,0,3,49%,51%,4,20,3,10,1,5,13,6,1,5,1,2,28,29,7,3,6,12,,,120,125,39,65,0,0,20,19,0,5,425,451,315,345,A
G8nEx1LL,20.02.2023 18:00,Enppi,El Gaish,0,0,46%,54%,5,4,1,1,4,2,16,13,4,6,1,1,24,27,1,1,13,17,1,1,119,124,33,52,0,0,15,17,0,1,378,423,267,300,D
MomAws6F,20.02.2023 16:00,El Daklyeh,Al Ittihad,1,2,45%,55%,14,15,6,5,8,9,6,7,8,7,1,0,18,35,3,5,7,6,1,0,107,115,62,59,0,0,29,12,0,1,353,443,245,347,A
rel6vNj9,19.02.2023 16:00,National Bank Egypt,Smouha,2,2,34%,66%,9,18,5,4,3,10,9,11,2,9,3,0,14,16,2,3,12,12,3,0,82,122,29,68,1,0,16,10,1,4,263,494,166,396,D
OhY4tqMd,16.02.2023 18:00,Pyramids,Enppi,2,1,61%,39%,9,4,3,1,3,2,17,20,4,1,9,2,18,17,0,1,15,16,3,5,146,85,70,27,0,0,19,11,3,1,555,357,466,263,H
2qX8u3y3,16.02.2023 16:00,Future FC,Haras El Hodood,1,0,66%,34%,15,8,4,3,7,5,5,14,5,4,6,0,28,16,3,3,10,7,3,3,154,96,76,32,1,0,28,21,4,0,652,336,571,248,H
dntJIuUk,13.02.2023 18:00,Smouha,Zamalek,1,3,48%,52%,21,13,9,8,6,4,10,11,8,1,1,2,21,16,5,8,11,11,2,0,107,95,73,38,0,0,14,18,6,1,343,384,259,295,A
ENjEJLEq,12.02.2023 17:00,Ceramica Cleopatra,Al Masry,3,0,45%,55%,13,16,4,4,6,6,19,30,0,3,3,4,16,22,4,1,32,16,,,101,144,43,60,0,1,28,28,3,6,356,416,255,317,H
CE4nO16S,11.02.2023 18:00,El Gaish,El Daklyeh,0,1,65%,35%,20,7,3,4,12,3,17,6,4,2,0,0,29,18,3,3,7,18,7,2,130,104,82,58,0,0,10,7,5,0,563,316,432,195,A
ru0rPsiM,11.02.2023 16:00,Pharco,National Bank Egypt,1,0,30%,70%,5,12,2,3,2,8,14,16,1,6,1,4,23,25,3,1,19,10,4,2,87,139,39,75,1,0,9,14,1,1,228,523,126,407,H
4l1vQNyG,10.02.2023 17:00,Ghazl El Mahallah,Arab Contractors,0,3,64%,36%,13,18,4,7,5,7,16,7,6,6,1,3,23,19,4,4,10,14,3,1,101,92,63,69,0,0,12,17,4,4,454,248,358,157,A
MPBZQ3M9,09.02.2023 13:45,Al Ittihad,Aswan SC,2,0,61%,39%,15,8,7,3,6,3,10,22,9,3,2,3,10,17,3,5,22,8,2,0,121,92,60,42,1,1,17,26,2,2,548,352,469,252,H
OvgWRq73,07.02.2023 18:00,Future FC,National Bank Egypt,3,0,52%,48%,10,6,6,1,1,5,10,10,1,4,0,1,14,30,1,3,9,11,0,4,96,111,46,63,0,0,27,18,3,0,528,459,440,364,H
UHgSSPic,07.02.2023 16:00,El Gaish,Pyramids,0,1,51%,49%,11,5,1,2,8,3,23,17,4,1,5,0,20,18,1,1,14,25,2,4,122,107,60,39,1,1,16,19,2,0,472,466,388,383,A
jRfOT5xi,07.02.2023 13:45,Smouha,Al Masry,1,1,59%,41%,10,13,1,3,7,9,28,15,5,8,1,5,19,17,2,0,16,24,2,4,113,100,48,59,0,0,16,23,2,1,428,287,315,178,D
vmFRTNMp,06.02.2023 16:00,Pharco,Zamalek,3,0,40%,60%,10,12,3,3,7,2,14,9,1,4,0,2,25,28,3,0,9,14,2,0,106,126,47,64,0,0,19,23,0,7,351,504,238,390,H
84OeZqaN,05.02.2023 18:00,Al Ittihad,El Ismaily,1,1,68%,32%,14,9,2,3,6,2,20,14,3,1,1,6,22,22,2,1,13,18,3,0,122,100,52,39,0,0,12,22,6,4,521,253,428,168,D
M7SaY3ET,05.02.2023 18:00,Ceramica Cleopatra,Enppi,0,1,70%,30%,12,4,2,4,8,0,6,17,3,2,6,1,38,18,3,2,12,8,0,3,137,82,79,40,0,1,8,33,2,0,585,249,479,131,A
nkzmy6UA,05.02.2023 13:45,El Daklyeh,Aswan SC,1,2,58%,42%,22,11,4,6,7,2,12,8,11,3,0,3,37,19,4,3,11,9,1,2,124,91,101,24,0,0,8,8,11,3,377,301,260,212,A
QuZjzQqH,05.02.2023 13:45,Ghazl El Mahallah,Haras El Hodood,1,2,65%,35%,15,10,4,5,9,3,10,22,8,1,6,0,23,16,3,3,16,11,2,3,128,91,86,34,0,0,7,14,2,2,471,260,389,169,A
vPzqxnF4,30.01.2023 16:00,National Bank Egypt,Ghazl El Mahallah,2,2,42%,58%,7,9,3,4,3,4,5,16,1,2,1,2,28,22,2,1,17,4,2,2,63,59,19,13,0,0,20,10,1,1,390,525,300,443,D
46rWvlVo,29.01.2023 18:00,Pyramids,Ceramica Cleopatra,2,2,43%,57%,8,14,3,4,3,6,8,11,3,9,1,4,25,16,2,1,10,8,0,4,72,100,29,71,1,0,20,13,2,4,382,498,280,407,D
0YyuwSab,29.01.2023 18:00,Zamalek,Future FC,2,1,41%,59%,12,20,8,5,3,8,9,12,2,3,1,2,31,25,4,6,12,7,0,2,101,133,41,67,0,0,8,18,1,7,355,491,262,397,H
j3flG4ho,29.01.2023 13:45,Enppi,Smouha,0,2,62%,38%,13,8,2,6,6,1,14,20,9,3,1,5,41,20,4,2,19,12,2,0,141,99,85,32,0,0,14,10,5,1,459,304,343,199,A
lf8MKppU,28.01.2023 16:00,Al Masry,Pharco,1,2,64%,36%,17,10,5,5,8,3,18,14,10,2,4,3,20,11,3,4,12,22,1,3,133,86,78,30,1,0,23,14,4,2,490,287,379,179,A
WIDHLQUN,27.01.2023 18:00,Arab Contractors,Al Ittihad,0,0,49%,51%,14,6,4,1,8,2,11,20,12,1,4,0,22,26,1,4,17,11,1,1,114,113,62,41,0,0,13,16,2,3,339,351,257,248,D
hSEDM6FH,27.01.2023 16:00,El Ismaily,El Daklyeh,3,1,40%,60%,10,14,4,3,4,7,13,19,7,4,3,5,27,36,2,1,16,8,2,0,93,116,49,62,0,0,29,15,2,4,268,387,168,300,H
b5F9Nn0B,27.01.2023 13:45,Aswan SC,El Gaish,2,2,54%,46%,16,17,4,4,10,9,12,9,2,4,4,1,31,20,2,2,7,10,3,3,125,123,64,55,0,0,10,17,2,4,480,422,366,319,D
nVB5OSp5,24.01.2023 18:00,Al Ahly,National Bank Egypt,1,0,52%,48%,18,5,8,0,7,5,20,9,9,3,2,4,18,23,0,7,9,18,0,1,102,99,63,44,0,0,19,27,3,0,445,397,343,294,H
46M0P8Vb,24.01.2023 18:00,Smouha,Pyramids,1,2,40%,60%,10,8,3,4,5,2,18,19,4,4,2,5,14,19,2,2,16,16,2,3,85,100,49,47,0,1,13,14,2,2,304,463,193,354,A
QFNdQlGh,24.01.2023 16:00,Ghazl El Mahallah,Zamalek,2,1,42%,58%,8,32,6,5,2,17,10,8,3,7,3,1,19,24,4,4,10,11,,,78,135,31,102,0,0,17,16,0,10,337,436,238,345,H
dtJhRU0n,24.01.2023 13:45,Future FC,Al Masry,1,1,55%,45%,8,6,4,2,2,2,24,14,2,3,3,2,25,25,1,3,16,24,0,2,101,96,50,46,0,0,42,14,2,2,425,344,317,248,D
IkKlSAot,23.01.2023 18:00,Al Ittihad,Haras El Hodood,1,0,64%,36%,15,10,2,4,6,4,12,11,5,1,1,3,16,16,4,1,13,13,1,2,99,82,75,42,0,0,16,11,7,2,551,310,455,224,H
IBHtKDgJ,23.01.2023 18:00,Ceramica Cleopatra,El Gaish,0,0,57%,43%,15,7,0,2,14,4,10,16,4,3,2,3,29,13,2,0,15,10,0,1,142,116,68,32,0,0,19,32,1,1,509,389,414,291,D
48DxLgvD,23.01.2023 13:45,Aswan SC,El Ismaily,0,0,63%,37%,9,10,1,3,7,7,15,19,5,1,0,2,27,29,3,1,19,16,1,3,80,86,57,45,0,0,16,22,1,0,422,260,318,162,D
AoEYLZO6,23.01.2023 13:45,Pharco,Enppi,0,1,59%,41%,11,9,0,4,9,4,14,10,6,4,6,1,26,20,3,0,8,18,2,2,101,96,53,41,0,0,14,15,2,1,457,314,342,204,A
WfFUMF90,22.01.2023 16:00,El Daklyeh,Arab Contractors,1,2,39%,61%,2,21,2,6,0,4,15,19,1,9,0,2,25,25,4,1,18,15,3,3,102,113,31,64,2,0,19,13,0,11,302,457,189,345,A
4YrYNeff,21.01.2023 19:30,Zamalek,Al Ahly,0,3,54%,46%,11,13,3,8,6,3,16,3,7,3,0,3,29,17,5,3,3,16,0,2,110,97,57,48,0,0,13,24,2,2,450,395,374,320,A
QspUOyul,20.01.2023 18:00,Ceramica Cleopatra,Smouha,0,2,70%,30%,15,8,5,3,6,4,20,12,7,0,3,1,34,15,1,5,11,21,1,2,140,91,79,25,0,0,9,20,4,1,528,227,413,113,A
WKpQPHPs,20.01.2023 16:00,Al Masry,Ghazl El Mahallah,1,1,44%,56%,16,13,7,7,5,3,19,8,3,8,1,3,27,16,6,6,8,18,4,1,128,99,67,52,0,0,10,23,4,3,330,426,239,327,D
fagbUcHQ,19.01.2023 18:00,Pyramids,Pharco,3,0,56%,44%,15,8,7,1,5,2,10,20,10,3,3,2,22,14,1,4,17,9,2,1,91,87,59,34,0,1,14,21,3,5,517,406,440,332,H
Cz4gVw2K,19.01.2023 15:45,National Bank Egypt,Al Ittihad,2,3,49%,51%,8,18,2,5,5,8,8,15,5,7,3,3,22,24,2,0,14,7,2,0,115,114,49,65,0,0,18,10,1,5,408,419,290,309,A
Yq5kWJnE,19.01.2023 13:45,Arab Contractors,Aswan SC,1,0,32%,68%,10,13,5,4,1,6,7,22,3,8,2,0,22,22,4,4,18,9,2,0,91,112,45,61,0,0,23,24,4,3,248,540,159,426,H
pUB77zAD,18.01.2023 18:00,Enppi,Future FC,2,3,43%,57%,9,9,5,4,2,2,13,16,3,5,0,5,19,23,1,3,17,10,3,2,101,89,52,40,0,0,10,16,2,3,345,467,262,368,A
6wD38Gf7,18.01.2023 16:00,El Gaish,El Ismaily,1,1,57%,43%,5,7,3,5,1,1,16,15,2,3,3,0,31,21,4,2,12,17,1,2,122,118,41,52,0,0,11,14,1,1,506,369,390,257,D
OENb9du1,18.01.2023 13:45,Haras El Hodood,El Daklyeh,0,1,44%,56%,7,14,3,1,3,11,15,16,2,8,3,3,19,20,0,3,13,11,0,2,106,122,36,71,0,0,17,20,1,2,362,459,257,342,A
CvKfAxQf,13.01.2023 18:00,El Ismaily,Arab Contractors,1,3,59%,41%,12,9,1,3,3,1,14,10,5,3,1,1,25,26,0,0,11,15,2,1,117,99,77,47,0,0,14,22,8,5,450,318,343,207,A
IHKjBIAl,13.01.2023 16:00,Pharco,Ceramica Cleopatra,1,1,46%,54%,7,13,3,5,1,5,15,17,2,3,4,5,15,34,4,2,14,12,3,3,102,130,37,86,0,0,28,19,3,3,390,441,272,322,D
vRLnCber,13.01.2023 13:45,Aswan SC,Haras El Hodood,1,1,67%,33%,13,12,4,4,2,5,7,13,6,5,1,0,28,27,3,3,13,8,2,1,128,98,60,51,0,0,16,17,7,3,508,255,389,152,D
bXwKGvmR,12.01.2023 18:00,Al Ahly,Al Masry,0,0,66%,34%,16,4,3,3,7,1,17,11,9,5,1,4,29,15,3,3,10,17,1,2,112,92,66,40,0,0,14,16,6,0,557,291,459,205,D
KtuGHKXK,12.01.2023 16:00,Ghazl El Mahallah,Enppi,1,0,48%,52%,5,11,4,1,1,5,14,24,2,8,7,2,21,28,1,3,14,12,4,5,89,133,36,76,0,0,15,16,0,5,367,385,244,278,H
QJuCI0IE,11.01.2023 18:00,Al Ittihad,Zamalek,0,0,40%,60%,11,10,3,4,4,4,8,17,2,5,1,1,32,33,4,3,18,7,2,0,109,159,42,72,0,0,17,19,4,2,367,546,267,452,D
CGy8Jt38,11.01.2023 18:00,Future FC,Pyramids,1,1,34%,66%,6,18,4,5,2,7,12,8,0,9,1,1,16,22,4,3,8,13,2,5,75,96,28,67,0,1,16,13,0,6,293,542,195,439,D
WKbLewB1,11.01.2023 13:45,El Daklyeh,National Bank Egypt,3,3,43%,57%,11,11,7,4,2,5,15,8,1,6,3,2,25,40,1,4,7,13,2,1,111,130,35,79,0,0,29,21,2,2,350,463,198,286,D
ABcPfcQ7,11.01.2023 13:45,Smouha,El Gaish,2,1,43%,57%,4,6,2,1,0,4,19,11,7,6,0,5,23,25,0,0,14,15,2,1,79,93,40,48,0,0,15,24,2,1,328,426,227,308,H
OfaHdJee,08.01.2023 18:00,El Gaish,Arab Contractors,1,2,67%,33%,13,10,5,4,7,6,11,11,10,3,2,2,19,19,2,4,11,10,4,0,152,102,60,32,0,0,7,18,1,0,533,262,427,158,A
p40Dcatk,08.01.2023 18:00,Smouha,Pharco,0,2,54%,46%,13,7,3,2,3,4,15,13,6,4,1,0,22,25,0,3,13,14,2,2,104,92,69,45,0,1,17,14,7,1,402,362,297,237,A
QJJt3LIR,08.01.2023 13:45,Haras El Hodood,El Ismaily,2,0,34%,66%,11,11,6,2,3,6,11,4,1,14,0,1,16,19,2,4,9,11,1,1,90,130,35,84,0,0,16,18,2,3,301,541,203,448,H
2uB8buRr,08.01.2023 13:45,National Bank Egypt,Aswan SC,0,0,55%,45%,8,4,1,0,4,2,12,7,4,4,1,3,40,38,0,1,9,9,3,2,148,123,66,56,0,0,32,24,3,2,486,402,328,262,D
h6LY4slF,07.01.2023 18:00,Al Masry,Al Ittihad,2,1,44%,56%,11,7,6,1,4,4,14,22,4,9,4,5,18,23,0,4,19,11,3,1,102,116,45,65,0,0,11,18,1,2,340,406,250,308,H
WdKx413L,07.01.2023 18:00,Ceramica Cleopatra,Future FC,2,3,45%,55%,9,9,2,6,4,1,11,11,4,4,3,1,20,18,3,0,12,12,3,4,109,92,52,43,0,0,21,16,3,2,338,414,266,335,A
zVQT5NY8,07.01.2023 13:45,Pyramids,Ghazl El Mahallah,4,0,59%,41%,26,7,10,2,12,5,3,4,6,2,0,0,20,11,2,6,7,5,1,1,141,83,64,29,0,0,14,16,4,0,597,418,528,347,H
dvSP63J2,05.01.2023 18:00,Zamalek,El Daklyeh,1,1,66%,34%,20,9,6,4,11,4,26,7,7,2,1,2,17,17,3,5,7,21,1,5,144,89,82,28,0,0,14,17,3,1,585,316,505,230,D
ryvrrKt2,05.01.2023 16:00,Enppi,Al Ahly,0,2,40%,60%,13,15,2,4,6,8,15,9,5,9,0,4,20,24,2,2,10,14,1,1,104,114,55,66,0,0,18,25,5,3,361,543,263,449,A
pjLvq0Re,04.01.2023 16:00,Pharco,El Gaish,1,1,58%,42%,10,9,3,3,4,4,10,18,6,3,2,3,34,20,2,2,16,10,1,1,123,96,57,51,0,0,11,25,3,2,496,357,412,263,D
2RVZqtCk,03.01.2023 19:00,Future FC,Smouha,1,1,69%,31%,8,9,1,3,7,6,18,11,5,5,2,1,19,26,2,0,9,18,2,3,132,112,65,51,0,0,35,20,0,0,567,253,448,134,D
Wru4k2lS,03.01.2023 18:00,El Ismaily,National Bank Egypt,0,0,48%,52%,8,8,0,3,7,4,14,14,5,5,5,2,26,30,3,0,9,13,0,2,108,116,58,58,0,0,16,21,1,1,415,461,285,333,D
OzXVpMdq,03.01.2023 13:45,Arab Contractors,Haras El Hodood,3,2,52%,48%,18,7,11,5,3,1,15,17,5,3,5,0,19,16,3,8,14,24,4,3,128,129,98,67,1,0,14,20,4,1,376,352,290,251,H
hht0jrZL,03.01.2023 13:45,Ghazl El Mahallah,Ceramica Cleopatra,0,3,58%,42%,11,11,2,4,7,6,14,15,5,7,3,0,20,23,1,2,14,16,2,2,107,75,63,59,0,0,26,19,2,1,429,302,332,208,A
ATjeiOJF,02.01.2023 18:00,Al Ahly,Pyramids,3,0,39%,61%,14,10,3,1,7,7,13,15,4,9,2,4,13,23,1,0,15,10,0,1,104,137,46,70,0,0,17,11,4,2,408,621,313,516,H
dQnih449,02.01.2023 16:00,Al Ittihad,Enppi,1,2,61%,39%,7,8,2,3,3,4,19,18,4,10,5,2,24,19,1,1,12,20,,,114,88,71,69,0,0,16,18,2,1,489,299,372,180,A
OClqfQZd,02.01.2023 13:45,Aswan SC,Zamalek,2,1,38%,62%,13,15,3,5,7,6,6,16,4,13,3,1,24,34,4,1,13,7,2,2,99,115,41,81,0,0,22,23,3,4,295,446,186,327,H
23mmgpk3,02.01.2023 13:45,El Daklyeh,Al Masry,0,1,50%,50%,8,5,1,1,4,3,18,14,4,2,0,3,22,15,0,1,18,14,0,1,125,115,47,50,0,0,12,14,3,1,401,403,294,316,A
OKr8Vtcd,30.12.2022 18:00,National Bank Egypt,Arab Contractors,2,1,52%,48%,8,17,4,5,3,9,17,11,1,8,0,0,28,30,4,2,14,20,2,3,102,127,53,54,0,0,10,19,1,3,315,274,203,164,H
pUq4WMsj,30.12.2022 16:00,Smouha,Ghazl El Mahallah,0,0,45%,55%,20,7,4,1,9,6,11,16,10,7,2,2,30,31,1,4,12,9,1,2,108,73,74,47,0,0,17,24,7,0,252,308,177,201,D
j7p0X2Sq,29.12.2022 18:00,Zamalek,El Ismaily,3,1,57%,43%,14,17,3,2,8,11,20,10,2,9,3,2,14,14,1,0,9,20,0,3,118,107,43,71,0,0,15,19,3,4,530,376,451,297,H
vVHWlVcH,29.12.2022 16:00,Al Masry,Aswan SC,1,2,51%,49%,15,11,6,4,5,3,10,10,13,7,0,0,28,16,2,5,14,11,3,1,84,85,54,43,0,0,20,15,4,4,403,391,306,285,A
d6SRkBrB,28.12.2022 18:00,Ceramica Cleopatra,Al Ahly,1,1,27%,73%,6,24,2,10,4,9,11,12,1,15,1,4,16,19,9,1,16,7,3,1,85,141,23,93,0,0,22,13,0,5,239,612,137,516,D
ltPJiXDb,28.12.2022 16:00,El Gaish,Haras El Hodood,2,2,68%,32%,11,8,3,3,5,2,12,16,1,4,6,2,28,22,1,1,12,9,1,0,124,95,75,55,0,0,18,18,3,3,573,269,489,177,D
IFTNjiT4,28.12.2022 16:00,Pharco,Future FC,2,3,61%,39%,14,8,4,3,5,5,18,12,4,1,0,4,12,13,0,2,16,20,2,3,130,86,50,45,0,0,17,18,5,0,506,331,426,244,A
AkQFhDbh,28.12.2022 13:45,Enppi,El Daklyeh,0,0,54%,46%,5,6,0,1,2,4,10,18,3,4,3,1,29,34,1,0,16,10,4,2,117,102,47,44,0,0,19,15,3,1,437,360,343,262,D
SQzBggqn,27.12.2022 16:00,Pyramids,Al Ittihad,3,0,59%,41%,17,6,4,1,10,4,9,9,8,4,1,3,20,26,1,2,10,10,1,2,103,113,73,65,0,0,16,23,3,1,558,380,485,319,H
GjX6fZTu,25.12.2022 18:00,Al Ahly,Smouha,0,0,65%,35%,6,5,1,3,4,2,16,15,5,2,3,1,36,29,3,1,14,15,2,2,112,93,65,37,0,0,13,11,1,0,541,288,405,153,D
vVe1ZkbU,25.12.2022 16:00,Arab Contractors,Zamalek,0,0,29%,71%,12,13,4,5,5,7,9,21,4,6,6,0,26,29,5,4,16,9,2,0,104,134,50,61,0,0,25,15,3,1,222,542,134,442,D
0vcczWrO,25.12.2022 13:45,El Ismaily,Al Masry,0,1,61%,39%,11,8,0,2,6,4,17,9,6,1,1,1,24,26,1,0,9,22,3,6,119,108,68,30,0,1,27,14,5,2,467,319,360,217,A
r32hyCTH,24.12.2022 18:00,Future FC,El Gaish,0,0,66%,34%,4,16,0,7,3,8,11,7,5,6,1,1,21,19,7,0,10,10,3,4,123,84,53,42,0,0,12,18,1,1,599,308,508,223,D
Ak4pwYb5,24.12.2022 16:00,Ghazl El Mahallah,Pharco,0,0,55%,45%,9,11,1,2,7,8,3,14,6,4,2,0,29,33,2,1,14,4,1,0,75,95,56,46,0,0,20,10,1,1,447,373,356,279,D
4C3lxhEB,24.12.2022 16:00,Haras El Hodood,National Bank Egypt,2,1,29%,71%,8,20,2,3,4,12,10,7,2,9,2,0,19,20,2,0,7,11,2,0,91,116,36,73,0,0,21,12,2,5,231,550,140,460,H
