id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Red Cards_home,Red Cards_away,result
pzoQpYwL,25.02.2024 15:00,Pharco,El Gaish,1,1,1.24,0.51,51%,49%,13,8,5,2,7,2,1,4,5,3,2,4,1,4,16,16,3,3,157,141,15,14,79,78,44,42,17,11,7,4,,,,,0,0,D
4KRduC1r,23.02.2024 18:00,Baladiyat El Mahalla,Ceramica Cleopatra,3,5,1.16,2.07,55%,45%,25,16,4,10,16,6,5,0,3,6,1,2,5,1,13,17,2,1,204,144,6,20,95,78,46,45,18,11,8,6,,,,,0,0,A
xAsInf98,20.02.2024 18:00,Al Masry,Baladiyat El Mahalla,3,0,0.93,0.37,55%,45%,12,7,4,2,6,5,2,0,6,4,2,2,2,1,18,10,2,0,484,345,17,16,93,81,56,43,23,11,14,12,,,,,0,0,H
jDoMoEOE,20.02.2024 18:00,El Daklyeh,Pharco,1,1,0.15,0.72,48%,52%,6,11,1,2,5,9,,,3,8,1,2,1,0,10,15,1,1,284,317,17,15,109,122,39,61,20,25,1,4,,,,,0,0,D
z53ZNAW7,20.02.2024 15:00,Ceramica Cleopatra,El Gouna,1,1,1.93,0.87,64%,36%,25,21,7,3,16,12,2,6,8,4,2,1,2,6,10,20,2,3,533,146,11,18,90,71,71,34,19,8,8,14,,,,,1,1,D
dE4VOjH1,19.02.2024 18:00,El Ismaily,Zamalek,0,0,0.25,1.18,43%,57%,11,17,3,2,6,12,2,3,7,8,3,1,2,3,15,9,3,2,273,444,18,16,85,129,54,69,13,25,9,3,,,,,0,0,D
Ac6NQCnk,19.02.2024 15:00,Future FC,Arab Contractors,2,2,1.35,1.01,60%,40%,11,10,5,3,5,4,1,3,4,2,3,3,1,3,16,15,3,4,503,227,18,16,99,80,58,31,20,14,4,7,,,,,0,0,D
SYGIRhXr,18.02.2024 18:00,Pyramids,Al Ittihad,1,0,0.92,0.08,78%,22%,15,9,8,0,7,3,0,6,6,2,3,3,0,7,7,6,0,2,679,104,17,10,156,82,93,38,28,11,10,10,,,,,0,0,H
djQnXE9L,18.02.2024 15:00,Enppi,Smouha,0,0,0.10,0.94,39%,61%,11,18,1,6,5,11,5,1,3,6,2,2,6,1,7,9,1,1,163,463,18,12,68,92,40,66,22,25,3,9,,,,,0,0,D
jDPjWYOR,18.02.2024 15:00,National Bank Egypt,ZED,1,1,1.20,0.27,59%,41%,25,7,4,2,21,1,0,4,12,2,3,0,1,3,11,10,1,1,475,214,10,12,152,104,130,45,37,10,9,8,,,,,0,0,D
0OWwZzu9,15.02.2024 18:00,El Ismaily,Ceramica Cleopatra,2,1,0.59,1.07,46%,54%,12,10,5,4,4,3,3,3,3,6,2,1,3,3,15,14,6,3,326,434,33,27,126,99,54,55,12,16,7,3,,,,,0,1,H
MXXZZGP2,15.02.2024 15:00,Baladiyat El Mahalla,Future FC,1,0,0.83,0.41,43%,57%,8,11,3,3,2,6,3,2,2,6,2,3,3,2,19,16,2,2,243,451,14,20,101,132,34,74,11,27,8,5,,,,,1,0,H
dftlCDXe,14.02.2024 18:00,ZED,Pyramids,0,0,0.26,0.84,39%,61%,8,13,2,3,3,8,3,2,4,4,4,0,3,2,6,12,2,4,185,504,17,10,81,144,30,67,11,17,8,6,,,,,0,0,D
