id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,Blocked Shots_home,Blocked Shots_away,result
QNiXQkWH,07.10.2020 17:30,Pyramids,ZED,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
nXhTRVGB,06.10.2020 20:00,El-Entag El-Harby,El Ismaily,0,1,61%,39%,11,8,0,2,11,6,5,2,0,2,1,0,2,2,505,251,385,161,105,97,59,36,,,,,,,1,0,,,,,A
KAMWSB15,05.10.2020 17:30,El Gouna,Al Masry,0,2,53%,47%,15,8,2,4,13,4,4,2,3,1,2,2,0,2,470,370,349,249,117,105,64,41,,,,,,,0,0,,,,,A
tdJANGPP,04.10.2020 20:00,Al Ahly,Arab Contractors,1,0,62%,38%,19,6,5,2,14,4,4,2,0,1,2,4,3,3,487,271,391,180,106,73,63,36,,,,,,,0,0,,,,,H
xS4tIfmm,04.10.2020 17:30,Al Ittihad,El Gaish,2,2,50%,50%,9,9,3,4,6,5,1,2,1,5,2,1,2,1,325,334,212,228,91,109,37,50,,,,,,,0,0,,,,,D
SGcgFhX5,03.10.2020 20:30,Misr Lel Makkasa,Pyramids,2,3,46%,54%,11,12,5,6,6,6,4,2,2,2,3,3,2,2,416,486,302,355,97,117,51,61,,,,,,,0,0,,,,,A
vi1cECnC,03.10.2020 17:30,Wadi Degla,Aswan SC,1,0,56%,44%,9,11,6,1,3,10,12,4,7,0,1,5,1,1,407,271,305,182,98,87,85,49,,,,,,,0,0,,,,,H
MFj2DW1I,03.10.2020 15:00,ZED,Enppi,1,1,47%,53%,7,14,4,4,3,10,4,7,3,2,3,3,1,1,318,411,223,299,81,109,39,81,,,,,,,0,0,,,,,D
ShF6OdAJ,02.10.2020 20:30,El Ismaily,Smouha,1,1,57%,43%,10,10,3,4,7,6,5,3,1,1,3,2,2,2,503,322,397,214,131,88,65,40,,,,,,,0,1,,,,,D
f3aoHE2g,02.10.2020 17:30,Haras El Hodood,El-Entag El-Harby,1,3,53%,47%,24,11,6,6,18,5,7,3,2,3,3,5,1,3,397,319,265,223,105,99,84,39,,,,,,,0,0,,,,,A
by6xJzYt,01.10.2020 20:00,Al Masry,Zamalek,0,1,56%,44%,12,7,7,4,5,3,4,2,5,2,3,7,4,3,530,373,420,290,70,45,42,24,,,,,,,0,1,,,,,A
YgbkGYHa,01.10.2020 17:30,El Gouna,Tanta,2,0,56%,44%,21,9,12,2,9,7,9,5,5,2,2,10,2,4,424,294,331,224,92,75,64,31,,,,,,,0,0,,,,,H
QmyOaDXI,29.09.2020 20:00,Pyramids,Al Ittihad,1,0,60%,40%,18,5,8,0,10,5,13,5,2,1,0,7,2,1,562,329,454,237,70,47,89,44,,,,,,,0,1,,,,,H
4Ep34yJm,29.09.2020 17:30,Enppi,Misr Lel Makkasa,1,0,44%,56%,5,10,2,1,3,9,7,3,3,3,1,1,2,1,364,493,255,387,109,108,64,73,,,,,,,0,0,,,,,H
8raX9ceQ,29.09.2020 15:00,Arab Contractors,ZED,6,0,54%,46%,18,17,9,3,9,14,9,2,2,1,3,3,,,520,412,419,324,78,79,54,43,,,,,,,0,0,,,,,H
Aioa5H3s,28.09.2020 20:00,Aswan SC,Al Masry,0,1,49%,51%,6,7,2,1,4,6,5,2,0,2,0,2,1,0,382,380,278,299,109,111,79,65,,,,,,,0,0,,,,,A
vXxG1Z26,28.09.2020 17:30,El Gaish,El Ismaily,0,1,47%,53%,11,12,2,5,9,7,5,4,1,1,4,2,4,1,344,385,249,268,107,105,66,43,,,,,,,0,0,,,,,A
ncxK0gIC,28.09.2020 17:30,El-Entag El-Harby,Wadi Degla,1,4,64%,36%,23,10,6,7,17,3,5,6,1,1,3,5,1,2,548,269,455,175,102,82,62,34,,,,,,,0,0,,,,,A
IHl73eYg,28.09.2020 15:00,Smouha,Haras El Hodood,2,0,53%,47%,12,10,5,2,7,8,6,7,5,0,2,3,1,2,367,357,254,246,93,101,59,83,,,,,,,0,0,,,,,H
j74SAwtK,27.09.2020 20:00,Zamalek,El Gouna,4,3,55%,45%,16,16,8,5,8,11,6,6,1,2,2,4,2,2,505,382,411,285,97,90,71,62,,,,,,,0,0,,,,,H
0tvC2Fm0,26.09.2020 20:00,Tanta,Al Ahly,0,1,43%,57%,7,13,1,3,6,10,0,5,0,0,2,1,0,2,307,445,225,347,75,104,28,61,,,,,,,0,0,,,,,A
Aw6QjIll,25.09.2020 20:00,Al Ittihad,Enppi,0,2,61%,39%,16,8,2,2,14,6,9,2,3,3,0,2,2,3,537,301,384,195,125,110,76,53,,,,,,,0,0,,,,,A
0SbwlGY6,25.09.2020 17:30,Misr Lel Makkasa,Arab Contractors,1,0,54%,46%,8,12,4,2,4,10,3,3,0,2,2,3,3,1,535,434,431,317,126,113,66,58,,,,,,,0,0,,,,,H
vDAUkx4f,25.09.2020 15:00,Haras El Hodood,El Gaish,0,0,48%,52%,12,12,2,5,10,7,7,2,0,4,5,2,2,1,316,318,204,209,108,90,91,60,,,,,,,0,0,,,,,D
xnklA6k9,24.09.2020 20:00,El Ismaily,Pyramids,1,3,54%,46%,15,10,6,7,9,3,9,3,3,0,4,5,6,1,458,369,342,269,125,100,96,51,,,,,,,0,0,,,,,A
Wn7MibZs,24.09.2020 17:30,Al Masry,El-Entag El-Harby,2,2,47%,53%,6,8,2,4,4,4,1,6,0,1,2,0,3,2,355,424,257,321,103,86,61,60,,,,,,,0,0,,,,,D
I39YldJ0,24.09.2020 17:30,El Gouna,Aswan SC,1,0,56%,44%,20,7,7,1,13,6,8,5,2,0,1,6,4,5,421,322,312,202,95,95,68,67,,,,,,,0,0,,,,,H
bDHtmzlD,24.09.2020 15:00,Wadi Degla,Smouha,0,0,57%,43%,10,7,2,0,8,7,11,6,2,0,0,2,2,3,497,306,389,226,98,94,74,44,,,,,,,0,0,,,,,D
CG5OBJQD,23.09.2020 20:00,ZED,Al Ahly,0,3,52%,48%,11,14,5,7,6,7,3,6,3,2,4,5,4,1,403,329,287,229,89,82,61,67,,,,,,,0,0,,,,,A
jkgh9Q4F,22.09.2020 20:00,Zamalek,Tanta,3,1,62%,38%,24,8,12,3,12,5,12,5,1,4,2,9,1,3,504,262,415,178,81,71,84,49,,,,,,,0,0,,,,,H
rPkpBnz3,21.09.2020 20:00,Pyramids,Haras El Hodood,1,0,59%,41%,12,10,3,3,9,7,2,4,5,3,3,2,3,4,461,318,338,204,107,118,60,54,,,,,,,0,0,,,,,H
2Db73zHd,21.09.2020 17:30,El Gaish,Wadi Degla,1,0,47%,53%,8,7,4,3,4,4,6,5,0,2,3,3,3,2,350,437,257,334,99,95,44,68,,,,,,,0,0,,,,,H
Ua0a5dnp,21.09.2020 17:30,Smouha,Al Masry,2,0,46%,54%,16,16,8,4,8,12,5,10,3,4,4,6,1,3,345,422,237,299,111,115,59,95,,,,,,,0,0,,,,,H
hv9X9xvT,21.09.2020 15:00,Enppi,El Ismaily,1,0,41%,59%,6,11,4,5,2,6,2,6,2,1,5,3,2,2,306,496,191,372,109,129,44,74,,,,,,,0,0,,,,,H
WOKOBb9G,20.09.2020 20:00,Arab Contractors,Al Ittihad,1,1,51%,49%,10,10,2,2,8,8,6,2,2,1,1,1,1,3,435,370,305,271,67,58,50,37,,,,,,,0,0,,,,,D
4YjtCSKd,20.09.2020 17:30,El-Entag El-Harby,El Gouna,2,1,43%,57%,10,18,3,5,7,13,3,7,1,1,4,1,3,4,288,433,223,341,78,98,54,73,,,,,,,0,1,,,,,H
2kGKCvfA,19.09.2020 20:00,Al Ahly,Misr Lel Makkasa,0,0,49%,51%,13,10,2,3,11,7,6,3,4,4,3,2,1,1,446,419,331,316,90,68,70,43,,,,,,,0,1,,,,,D
OMa34G1j,19.09.2020 17:30,Tanta,ZED,0,0,54%,46%,13,3,5,0,8,3,5,1,4,0,0,5,4,1,,,,,111,102,85,44,,,,,,,1,0,,,,,D
AFJSAIOM,18.09.2020 20:00,Aswan SC,Zamalek,1,0,37%,63%,7,17,3,6,4,11,2,3,2,4,6,2,3,1,240,490,160,365,94,127,37,84,,,,,,,0,0,,,,,H
GdzQjcXj,18.09.2020 18:00,Haras El Hodood,Enppi,3,2,55%,45%,9,6,4,2,5,4,7,4,2,3,0,1,1,0,347,245,244,151,84,74,77,43,,,,,,,0,1,,,,,H
ILfkcafN,17.09.2020 18:00,Al Masry,El Gaish,0,0,45%,55%,6,12,2,4,4,8,3,3,3,1,4,2,0,1,390,342,300,264,104,111,53,55,,,,,,,0,0,,,,,D
ObHGDKv4,16.09.2020 20:30,Wadi Degla,Pyramids,0,2,46%,54%,3,12,2,5,1,7,4,4,3,0,3,2,4,0,370,458,274,360,88,99,59,63,,,,,,,0,0,,,,,A
UaO7FtAi,16.09.2020 18:00,El Gouna,Smouha,1,2,66%,34%,12,10,5,3,7,7,7,1,0,2,1,4,1,1,531,221,434,145,147,87,110,57,,,,,,,1,0,,,,,A
AeisaLPA,15.09.2020 20:30,El Ismaily,Arab Contractors,1,1,51%,49%,10,7,3,2,7,5,5,1,2,0,1,2,2,2,316,270,156,169,106,104,70,47,,,,,,,0,0,,,,,D
tzSBE0Pc,15.09.2020 18:00,Misr Lel Makkasa,ZED,3,0,56%,44%,6,8,4,1,2,7,4,3,2,5,1,1,1,1,549,379,436,251,111,108,68,58,,,,,,,0,0,,,,,H
dCggdJ9T,14.09.2020 20:30,Al Ittihad,Al Ahly,0,0,49%,51%,6,10,3,3,3,7,3,5,2,0,3,3,4,2,338,352,238,255,83,77,64,53,,,,,,,0,1,,,,,D
x6yMiwIp,14.09.2020 18:00,Aswan SC,Tanta,4,0,56%,44%,10,9,5,2,5,7,1,4,2,4,2,1,2,2,418,330,310,221,105,120,52,70,,,,,,,0,0,,,,,H
hIcgkjeg,14.09.2020 15:30,Haras El Hodood,Al Masry,1,2,46%,54%,8,11,4,7,4,4,4,8,1,2,5,3,2,0,237,292,151,223,75,93,39,45,,,,,,,0,0,,,,,A
ObeobuuH,13.09.2020 20:00,Zamalek,El-Entag El-Harby,1,0,50%,50%,11,11,3,5,8,6,5,7,1,1,5,2,2,0,425,436,331,311,96,102,61,72,,,,,,,0,0,,,,,H
