id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,Blocked Shots_home,Blocked Shots_away,result
8nZKUIE2,25.08.2020 17:00,Enppi,Aswan SC,1,1,57%,43%,16,9,3,4,13,5,5,4,1,1,3,2,2,2,459,308,323,195,103,95,79,45,,,,,,,0,0,,,,,D
nslQ8yhq,23.08.2020 20:00,Wadi Degla,Al Ittihad,0,0,50%,50%,13,6,3,0,10,6,7,1,0,1,0,3,0,2,414,422,338,342,61,58,65,52,,,,,,,0,0,,,,,D
CKJtHap3,23.08.2020 17:00,Haras El Hodood,El Ismaily,2,2,49%,51%,10,9,2,3,8,6,7,6,0,4,1,0,3,0,281,305,167,182,108,95,97,81,,,,,,,0,0,,,,,D
6NSjfxwj,22.08.2020 21:00,Zamalek,Al Ahly,3,1,45%,55%,9,26,4,6,5,20,2,6,2,1,5,1,2,5,329,421,214,298,108,121,69,115,,,,,,,0,0,,,,,H
pERfgdhd,22.08.2020 18:30,Al Masry,Misr Lel Makkasa,0,2,41%,59%,6,5,2,2,4,3,7,1,4,3,0,2,3,1,292,426,194,339,120,113,67,42,,,,,,,0,0,,,,,A
YZ7kFwFF,22.08.2020 16:00,El Gaish,Tanta,1,0,46%,54%,14,12,3,1,11,11,3,5,2,1,1,2,2,2,283,364,187,244,106,121,63,62,,,,,,,0,0,,,,,H
29CgEcUL,22.08.2020 16:00,El Gouna,ZED,0,1,,,12,4,3,3,9,1,8,3,2,3,2,3,2,2,,,,,123,104,107,67,0,13,20,0,11,15,0,0,,,,,A
fq9oGJa9,21.08.2020 21:00,Smouha,Pyramids,1,2,38%,62%,10,12,6,5,4,7,3,4,1,0,3,5,3,1,328,594,220,478,88,128,61,77,,,,,,,1,0,,,,,A
bHFxIuVd,21.08.2020 18:30,Aswan SC,Arab Contractors,1,0,36%,64%,5,19,2,5,3,14,2,5,0,1,5,1,4,1,232,562,139,448,89,128,40,91,,,,,,,0,0,,,,,H
t0BcDHqS,21.08.2020 16:00,El-Entag El-Harby,Enppi,0,2,56%,44%,8,11,4,3,4,8,4,4,1,0,1,4,1,2,522,346,397,225,95,93,90,71,,,,,,,0,0,,,,,A
bsyLtJ8j,19.08.2020 20:00,El Ismaily,Wadi Degla,1,1,52%,48%,12,8,2,1,10,7,6,5,3,3,0,1,1,2,383,361,280,258,97,87,68,62,,,,,,,0,0,,,,,D
v1dfeINq,18.08.2020 21:00,ZED,Zamalek,0,0,57%,43%,6,2,2,1,4,1,3,6,0,0,1,2,3,3,203,154,157,101,115,104,64,87,,,,,,,0,0,,,,,D
rVAO0v0M,18.08.2020 18:30,Misr Lel Makkasa,El Gouna,1,0,47%,53%,7,10,3,6,4,4,2,7,3,1,6,2,2,1,,,,,105,165,56,121,13,19,21,31,16,12,0,0,,,,,H
UR6K1KpG,18.08.2020 16:00,Tanta,Haras El Hodood,0,1,58%,42%,13,8,7,2,6,6,7,4,4,2,1,7,0,2,467,282,336,162,145,113,118,85,7,3,7,0,2,6,0,0,,,,,A
0nF352oi,17.08.2020 21:00,Al Ahly,Aswan SC,3,0,60%,40%,11,3,5,0,6,3,6,8,0,1,0,2,,,525,315,408,216,123,83,99,58,,,,,,,0,0,,,,,H
vwE74M0c,17.08.2020 18:30,Arab Contractors,El-Entag El-Harby,2,1,49%,51%,12,20,2,4,10,16,1,5,1,0,3,0,2,3,466,501,376,411,129,125,78,93,,,,,,,0,0,,,,,H
n3HF20V9,17.08.2020 16:00,Enppi,Smouha,0,0,52%,48%,11,3,2,0,9,3,6,2,1,7,0,2,1,2,384,341,257,215,158,149,114,93,,,,,,,0,0,,,,,D
xhASabFS,16.08.2020 20:00,Pyramids,El Gaish,2,2,68%,32%,16,9,7,5,9,4,11,3,0,1,3,5,1,4,540,172,431,118,72,46,72,42,,,,,,,0,1,,,,,D
Sfxd9BnP,15.08.2020 20:00,Zamalek,Misr Lel Makkasa,1,0,51%,49%,12,4,5,0,7,4,6,4,6,3,0,4,1,3,362,337,278,264,114,89,62,43,,,,,,,0,0,,,,,H
GKAq079B,14.08.2020 21:00,El-Entag El-Harby,Al Ahly,1,1,43%,57%,4,23,3,8,1,15,2,6,2,0,7,2,1,2,275,413,176,293,68,104,36,88,,,,,,,0,0,,,,,D
fB9maROH,14.08.2020 18:30,Wadi Degla,Haras El Hodood,1,0,49%,51%,5,14,2,4,3,10,2,5,4,1,4,1,3,2,346,377,261,276,45,64,38,72,,,,,,,0,0,,,,,H
bqGv1mf5,14.08.2020 16:00,El Gouna,Al Ittihad,1,1,49%,51%,11,3,3,2,8,1,7,4,1,3,1,2,2,1,330,326,222,232,66,59,75,44,,,,,,,0,0,,,,,D
QVHW29Ph,13.08.2020 18:30,Smouha,Arab Contractors,1,1,52%,48%,8,8,2,2,6,6,5,3,0,0,1,1,1,2,310,332,241,234,95,84,50,50,,,,,,,0,0,,,,,D
CSDS3kAn,13.08.2020 16:00,Aswan SC,ZED,1,1,38%,62%,6,16,2,5,4,11,3,5,0,3,4,1,3,2,216,451,142,355,65,102,50,73,,,,,,,1,0,,,,,D
zs3ljWum,10.08.2020 21:00,Al Ittihad,Zamalek,1,1,48%,52%,2,13,2,8,0,5,2,6,1,1,7,1,,,,,,,71,101,42,89,10,15,19,21,15,10,0,0,,,,,D
n7XGsagp,10.08.2020 18:30,Pyramids,Tanta,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
nNy0S7Wr,09.08.2020 20:00,Al Ahly,Enppi,2,0,61%,39%,11,5,6,1,5,4,9,3,4,2,1,4,1,3,510,281,391,196,121,83,88,37,,,,,,,0,0,,,,,H
MckAo8fI,09.08.2020 17:00,Misr Lel Makkasa,Aswan SC,2,1,56%,44%,8,7,2,1,6,6,3,3,1,2,0,1,3,2,488,380,372,274,143,122,55,49,,,,,,,0,0,,,,,H
z3vfWGXG,06.08.2020 20:00,Zamalek,Al Masry,1,0,59%,41%,12,8,5,1,7,7,2,3,3,1,1,4,3,2,299,167,225,96,144,138,100,89,,,,,,,0,0,,,,,H
QVe1mUP5,11.03.2020 18:30,Al Ahly,Smouha,1,1,60%,40%,15,5,5,3,10,2,7,6,2,1,2,4,2,4,510,319,366,193,111,114,68,53,,,,,,,1,1,,,,,D
vZa5nluC,11.03.2020 18:30,Tanta,Wadi Degla,0,0,43%,57%,6,7,1,3,5,4,1,8,0,5,3,1,,,358,507,226,319,52,74,44,78,,,,,,,0,0,,,,,D
W8dclAAa,11.03.2020 16:00,Enppi,Pyramids,0,1,39%,61%,3,9,1,4,2,5,4,7,3,4,3,1,,,368,615,235,464,99,126,50,87,,,,,,,0,0,,,,,A
dj4piCQt,10.03.2020 16:00,Arab Contractors,El Gaish,1,1,52%,48%,7,17,2,5,5,12,5,4,1,1,4,1,1,1,406,390,289,281,95,119,51,73,,,,,,,0,0,,,,,D
vBHIehIP,09.03.2020 16:00,El Ismaily,El Gouna,1,1,54%,46%,11,13,2,5,9,8,4,8,3,4,4,1,2,1,439,365,307,236,138,108,52,60,,,,,,,0,0,,,,,D
KhHz2Tva,05.03.2020 16:00,El Gaish,Enppi,0,0,50%,50%,7,4,1,1,6,3,3,5,4,1,1,1,1,2,313,320,195,201,112,116,47,55,,,,,,,0,0,,,,,D
462xPJ70,24.02.2020 19:30,Al Ahly,Zamalek,2,0,50%,50%,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,0,0,,,,,H
dY4rvjD4,14.02.2020 19:15,Al Ahly,Al Masry,3,0,48%,52%,12,14,4,6,8,8,5,5,7,3,6,1,3,4,487,543,313,380,124,130,58,65,,,,,,,0,0,,,,,H
8CtIiOaf,11.02.2020 18:30,Arab Contractors,Pyramids,0,2,47%,53%,18,11,5,4,13,7,5,4,1,1,2,5,2,1,501,556,312,381,110,127,78,58,,,4,5,,,0,0,,,,,A
f9xEh4pl,10.02.2020 18:30,Al Ahly,El Gaish,3,0,65%,35%,24,4,11,2,13,2,6,1,1,2,2,8,1,3,592,290,401,162,103,62,92,44,,,,,,,0,0,,,,,H
xhYYmtaJ,10.02.2020 16:00,Wadi Degla,Al Masry,0,3,69%,31%,7,13,3,7,4,6,6,1,3,4,4,3,1,3,708,282,607,191,115,52,71,45,,,,,,,0,0,,,,,A
URUQk2U6,10.02.2020 13:30,Tanta,Enppi,0,0,45%,55%,3,8,1,2,2,6,5,5,3,1,2,1,5,0,380,486,252,329,78,81,67,84,,,,,,,1,0,,,,,D
0nwAgpVs,09.02.2020 18:30,El Ismaily,Zamalek,1,2,48%,52%,13,11,1,6,12,5,3,10,0,0,4,0,3,1,393,430,293,327,98,94,51,39,,,,,,,1,0,,,,,A
jyWMjrF0,09.02.2020 16:00,Haras El Hodood,El Gouna,2,2,39%,61%,8,7,3,3,5,4,3,4,2,2,1,1,1,1,252,419,127,309,55,48,46,48,,,,,,,0,0,,,,,D
b1ZUlMqD,08.02.2020 18:30,Misr Lel Makkasa,El-Entag El-Harby,1,1,51%,49%,11,8,5,2,6,6,1,3,2,2,1,4,4,1,419,406,302,291,82,69,60,53,,,,,,,0,0,,,,,D
tQbFdY2J,08.02.2020 16:00,ZED,Smouha,0,1,43%,57%,11,12,3,4,8,8,2,2,2,1,3,3,1,0,345,472,241,343,102,108,61,66,,,,,,,0,0,,,,,A
bwirbQMQ,08.02.2020 13:30,Al Ittihad,Aswan SC,0,1,69%,31%,10,6,3,4,7,2,14,2,1,1,3,3,2,0,569,226,427,119,117,82,119,55,,,,,,,0,0,,,,,A
IRZpa67K,06.02.2020 18:30,Pyramids,Al Ahly,1,2,44%,56%,8,11,3,5,5,6,5,6,4,1,3,2,3,2,356,486,238,357,103,134,53,78,,,,,,,2,0,,,,,A
rkivtR0r,06.02.2020 16:00,Al Masry,Tanta,2,2,65%,35%,15,6,5,3,10,3,7,4,1,2,1,3,2,4,533,243,420,129,130,93,71,48,,,,,,,1,0,,,,,D
x8EBp7hR,05.02.2020 18:30,Zamalek,Haras El Hodood,2,0,62%,38%,10,9,3,4,7,5,3,12,5,4,4,1,3,2,476,299,395,201,104,115,47,77,,,,,,,0,0,,,,,H
CUrexq07,04.02.2020 18:30,El Gaish,ZED,4,0,45%,55%,16,12,8,8,8,4,4,7,3,2,8,4,3,1,323,400,208,291,86,88,55,56,,,,,,,0,0,,,,,H
QXnay3FD,04.02.2020 16:00,El Gouna,Wadi Degla,1,0,41%,59%,14,6,4,1,10,5,3,2,5,1,1,3,2,2,352,536,231,419,116,109,97,66,,,,,,,0,0,,,,,H
U5gjwPp1,03.02.2020 18:30,Smouha,Misr Lel Makkasa,1,1,57%,43%,12,11,3,3,9,8,6,7,1,2,2,2,,,504,359,369,229,81,73,71,71,,,,,,,0,0,,,,,D
vyys0nhE,03.02.2020 16:00,El-Entag El-Harby,Al Ittihad,0,0,53%,47%,10,6,2,2,8,4,9,7,4,3,2,2,2,3,442,368,310,235,90,80,52,32,,,,,,,0,0,,,,,D
jFfnv5Vf,03.02.2020 16:00,Enppi,Arab Contractors,2,1,45%,55%,11,20,5,11,6,9,4,8,2,4,10,3,1,1,368,462,252,346,76,97,53,76,,,,,,,0,0,,,,,H
MujruoGl,03.02.2020 13:30,Aswan SC,El Ismaily,2,1,42%,58%,6,8,3,3,3,5,3,2,4,2,2,1,2,4,308,472,178,337,107,113,45,71,,,,,,,0,1,,,,,H
xCUCP5G1,30.01.2020 18:30,Al Ittihad,Smouha,1,1,48%,52%,6,18,2,5,4,13,4,11,2,1,4,1,0,2,379,413,244,269,79,89,54,93,,,,,,,0,0,,,,,D
AcEWqz2G,30.01.2020 16:00,El Ismaily,El-Entag El-Harby,3,2,42%,58%,13,9,8,5,5,4,4,5,0,4,3,5,2,2,320,483,205,344,117,151,68,106,,,,,,,0,0,,,,,H
QXA7omwL,29.01.2020 18:30,ZED,Pyramids,1,2,32%,68%,4,15,2,2,2,13,2,3,1,0,0,1,6,1,217,564,133,469,93,138,34,80,,,,,,,3,0,,,,,A
rkV8Qo1e,29.01.2020 16:00,Al Masry,El Gouna,1,2,46%,54%,8,14,3,3,5,11,5,10,5,1,2,2,3,1,328,397,204,271,84,70,66,89,,,,,,,0,0,,,,,A
WAB3nTNE,28.01.2020 18:30,Wadi Degla,Zamalek,1,1,62%,38%,12,5,4,2,8,3,6,3,2,5,1,3,0,1,635,376,545,288,98,73,66,50,,,,,,,0,0,,,,,D
hKCam988,27.01.2020 16:00,Misr Lel Makkasa,El Gaish,1,1,61%,39%,6,11,2,4,4,7,5,9,1,1,3,1,0,1,468,268,357,160,121,109,81,97,,,,,,,0,0,,,,,D
G2TGOPV7,27.01.2020 13:30,Haras El Hodood,Aswan SC,1,2,54%,46%,7,9,4,3,3,6,7,3,1,3,1,3,2,1,328,255,193,138,125,104,98,75,,,,,,,0,0,,,,,A
UoR4RRok,26.01.2020 16:00,Arab Contractors,Tanta,2,0,61%,39%,10,10,4,1,6,9,5,4,2,0,1,2,1,0,649,378,560,278,185,115,111,87,,,,,,,0,0,,,,,H
GMaTpGnA,21.01.2020 18:30,Pyramids,Misr Lel Makkasa,3,1,56%,44%,14,12,7,5,7,7,5,5,1,3,4,4,3,1,539,429,405,292,86,88,42,65,,,,,,,0,0,,,,,H
t47GmI2i,21.01.2020 13:30,Tanta,El Gouna,1,0,32%,68%,7,26,1,5,6,21,2,8,1,1,5,0,,,270,709,163,572,49,96,27,85,,,,,,,0,0,,,,,H
f7BKnxIc,20.01.2020 16:00,El Gaish,Al Ittihad,0,3,46%,54%,10,7,1,4,9,3,4,3,2,0,1,1,4,1,377,475,238,342,73,95,52,56,,,,,,,0,0,,,,,A
8Gx2Uf2T,20.01.2020 13:30,Aswan SC,Wadi Degla,1,3,48%,52%,13,14,5,6,8,8,6,6,6,6,3,4,2,1,401,449,261,333,124,120,82,60,,,,,,,0,0,,,,,A
UPwbVzmN,19.01.2020 18:30,Arab Contractors,Al Ahly,0,2,47%,53%,15,13,6,5,9,8,3,6,2,1,3,6,2,3,388,464,271,341,75,81,76,72,,,,,,,0,1,,,,,A
S0JYOYPj,18.01.2020 18:30,Smouha,El Ismaily,1,1,54%,46%,8,13,1,4,7,9,3,2,0,1,3,0,2,2,521,449,385,332,126,101,61,39,,,,,,,0,0,,,,,D
xW0PodX3,18.01.2020 16:00,El-Entag El-Harby,Haras El Hodood,1,0,54%,46%,13,12,4,1,9,11,8,7,7,3,1,3,3,0,445,367,306,218,90,111,85,98,,,,,,,0,0,,,,,H
lAKUPEAp,18.01.2020 13:30,Enppi,ZED,2,1,46%,54%,8,8,4,1,4,7,3,5,0,0,0,2,2,5,434,528,306,400,79,60,74,84,,,,,,,0,0,,,,,H
hr5jCeto,16.01.2020 18:30,Al Ittihad,Pyramids,1,1,48%,52%,9,7,3,2,6,5,2,11,0,2,1,2,1,3,450,499,322,354,78,86,54,79,,,,,,,0,0,,,,,D
GMDOGyYT,16.01.2020 16:00,Al Masry,Aswan SC,2,2,56%,44%,12,6,6,2,6,4,3,4,3,3,0,4,1,2,553,425,421,299,138,136,81,65,,,,,,,0,0,,,,,D
MaEKHHIN,15.01.2020 18:30,Al Ahly,Tanta,5,0,64%,36%,20,4,10,1,10,3,1,0,0,4,1,5,0,1,722,381,610,275,112,79,67,36,,,,,,,0,0,,,,,H
YwrwzaYi,15.01.2020 16:00,El Gouna,Zamalek,0,2,57%,43%,16,9,4,4,12,5,5,5,2,2,2,4,1,2,608,435,481,329,115,100,78,56,,,,,,,0,0,,,,,A
t4ooYx34,13.01.2020 16:00,Wadi Degla,El-Entag El-Harby,1,1,60%,40%,11,9,4,1,7,8,8,6,4,3,0,3,2,2,551,356,440,256,96,104,62,81,,,,,,,0,0,,,,,D
r9FGIc3H,12.01.2020 18:30,El Ismaily,El Gaish,2,1,49%,51%,12,12,6,5,6,7,7,5,1,0,4,4,1,3,350,387,239,268,117,109,63,63,,,,,,,0,0,,,,,H
2DnsZImb,12.01.2020 16:00,Misr Lel Makkasa,Enppi,1,1,60%,40%,15,6,5,4,10,2,6,4,3,0,3,4,4,0,458,290,322,161,88,72,79,44,,,,,,,0,0,,,,,D
fmqZzuJo,12.01.2020 13:30,Haras El Hodood,Smouha,0,0,39%,61%,8,11,4,1,4,10,4,4,6,4,1,4,1,1,297,493,177,365,90,93,65,61,,,,,,,0,0,,,,,D
OSzjXdIA,11.01.2020 16:00,ZED,Arab Contractors,1,3,56%,44%,8,13,3,7,5,6,5,5,1,0,4,2,2,3,500,381,373,265,97,83,67,63,,,,,,,0,0,,,,,A
fR7bO1Zu,08.01.2020 18:30,Enppi,Al Ittihad,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
YH62NLln,08.01.2020 16:00,Smouha,Wadi Degla,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
Uq0BLaJb,08.01.2020 13:30,El Gaish,Haras El Hodood,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
2cbJJwlB,07.01.2020 18:30,Pyramids,El Ismaily,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
O6aFKJY4,07.01.2020 16:00,El-Entag El-Harby,Al Masry,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
rgRh3I3U,07.01.2020 13:30,Aswan SC,El Gouna,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
Mwwp5vZH,05.01.2020 18:30,Al Ahly,ZED,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
Gtd7Mu4h,05.01.2020 16:00,Tanta,Zamalek,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
42Sl4blO,05.01.2020 13:30,Arab Contractors,Misr Lel Makkasa,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
UVKx7045,03.01.2020 18:30,Wadi Degla,El Gaish,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
MPcBjuKO,02.01.2020 18:30,Zamalek,Aswan SC,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
OUyfFOdP,02.01.2020 16:00,Al Masry,Smouha,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
fDSP92Kn,02.01.2020 13:30,Haras El Hodood,Pyramids,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
juMY7tka,01.01.2020 18:30,Misr Lel Makkasa,Al Ahly,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
rZb7iL4I,01.01.2020 16:00,El Ismaily,Enppi,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
0jTLAr5t,01.01.2020 13:30,Al Ittihad,Arab Contractors,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
Y3RT8MZh,30.12.2019 16:00,El Gouna,El-Entag El-Harby,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
OhKt6KJB,30.12.2019 13:30,ZED,Tanta,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
GQ3zYZ7S,29.12.2019 13:30,Aswan SC,El Gaish,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
dI0agsz6,25.12.2019 18:30,Pyramids,Wadi Degla,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
0j7je35g,25.12.2019 16:00,El Gaish,Al Masry,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
Sx9rcPzs,25.12.2019 16:00,Smouha,El Gouna,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
CSkEEi6E,25.12.2019 13:30,Enppi,Haras El Hodood,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
EgBffNKa,24.12.2019 18:30,El-Entag El-Harby,Zamalek,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
z9a3h1kC,24.12.2019 16:00,ZED,Misr Lel Makkasa,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
6T7ndqjm,24.12.2019 13:30,Tanta,Aswan SC,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
KY2SjlE7,23.12.2019 18:30,Al Ahly,Al Ittihad,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
YyiAFXj8,23.12.2019 16:00,Arab Contractors,El Ismaily,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
KYQz1YyF,21.12.2019 18:30,Al Masry,Pyramids,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
8baOiUb1,21.12.2019 16:00,Wadi Degla,Enppi,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
nqBFgjUl,21.12.2019 13:30,El Gouna,El Gaish,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
QBRW1EM8,20.12.2019 18:30,Zamalek,Smouha,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
YyVv0hiL,20.12.2019 16:00,Al Ittihad,ZED,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
QZ9JhAqe,20.12.2019 16:00,Misr Lel Makkasa,Tanta,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
G0KqaC6R,20.12.2019 13:30,Aswan SC,El-Entag El-Harby,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
I96BfWEr,20.12.2019 13:30,Haras El Hodood,Arab Contractors,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
nLSS2f72,19.12.2019 18:30,El Ismaily,Al Ahly,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
MR8luiFe,17.12.2019 18:30,Pyramids,El Gouna,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
0fP5mF7F,17.12.2019 16:00,Enppi,Al Masry,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
E15tsDpq,16.12.2019 18:30,El Gaish,Zamalek,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
M3Q1leh9,16.12.2019 16:00,Arab Contractors,Wadi Degla,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
S49ptXak,16.12.2019 16:00,Misr Lel Makkasa,Al Ittihad,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
8KSDogxS,16.12.2019 13:30,Tanta,El-Entag El-Harby,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
vuyckyw3,15.12.2019 18:30,Al Ahly,Haras El Hodood,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
UTT9nZML,15.12.2019 16:00,Smouha,Aswan SC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
0I7hvBU1,15.12.2019 13:30,ZED,El Ismaily,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
QyBNzxO9,12.12.2019 18:30,Zamalek,Pyramids,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
800SZewG,12.12.2019 16:00,Al Masry,Arab Contractors,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
M34WYFhM,12.12.2019 13:30,Al Ittihad,Tanta,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
S4XhjHNd,11.12.2019 18:30,Wadi Degla,Al Ahly,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
noCJyI83,11.12.2019 16:00,El Ismaily,Misr Lel Makkasa,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
IZk2TgGq,11.12.2019 16:00,Haras El Hodood,ZED,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
E1qBRXpd,10.12.2019 18:30,El-Entag El-Harby,Smouha,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
zBp7SDVk,10.12.2019 16:00,El Gouna,Enppi,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
ChsLZzMI,04.12.2019 18:30,Haras El Hodood,Al Ittihad,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
rDk4wJMg,04.12.2019 16:00,El Ismaily,Tanta,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
lI4lI8jo,02.12.2019 16:00,Smouha,El Gaish,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
Uo3jxUsH,30.11.2019 18:30,Al Ittihad,El Ismaily,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
je4nwASA,29.11.2019 16:00,Arab Contractors,El Gouna,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
rgqRVRKp,28.11.2019 16:00,El Gaish,El-Entag El-Harby,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
0UDBwvvi,27.11.2019 16:00,Pyramids,Aswan SC,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
QDdaz8CT,27.11.2019 13:30,Tanta,Smouha,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
ddmVUozi,26.11.2019 18:30,Misr Lel Makkasa,Haras El Hodood,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
vLCFxbgc,26.11.2019 16:00,ZED,Wadi Degla,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
nNceylcN,25.11.2019 18:30,Enppi,Zamalek,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
xYcWthTo,25.11.2019 16:00,El Gouna,Al Ahly,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
rc1tOwN6,23.11.2019 16:00,Arab Contractors,Aswan SC,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
hSrXp1UJ,23.11.2019 13:30,Tanta,El Gaish,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
bmnuuWcb,22.10.2019 17:30,Wadi Degla,Misr Lel Makkasa,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
