id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Tackles_home,Tackles_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Completed Passes_home,Completed Passes_away,result
MB2QKWn0,18.08.2021 21:00,Misr Lel Makkasa,National Bank Egypt,3,5,50%,50%,18,14,10,8,8,6,7,3,0,5,3,7,8,12,0,0,1,2,325,280,109,109,68,38,,,,,,,,,A
r5Fb6XX6,18.08.2021 19:00,Ghazl El Mahallah,El-Entag El-Harby,1,3,50%,50%,7,12,2,6,5,6,3,6,2,1,3,1,17,16,1,0,3,0,224,209,112,99,47,49,,,,,,,,,A
vmDLLCXg,17.08.2021 21:00,El Gaish,Al Ahly,0,0,40%,60%,4,16,3,4,1,12,4,14,3,3,4,3,17,10,0,0,4,1,129,400,85,138,44,110,,,,,,,,,D
l26lTfuK,17.08.2021 21:00,Enppi,El Ismaily,2,1,42%,58%,9,20,4,4,5,16,3,5,3,2,3,2,21,16,0,0,2,0,175,381,93,103,52,68,,,,,,,,,H
Qq9HMhIm,17.08.2021 21:00,Zamalek,Wadi Degla,1,0,56%,44%,25,11,6,2,19,9,11,5,1,1,2,5,5,9,0,0,1,1,352,252,132,86,103,54,,,,,,,,,H
AB7pUzQD,17.08.2021 19:00,Al Ittihad,Ceramica Cleopatra,0,0,51%,49%,11,8,4,4,7,4,4,3,1,2,4,4,15,17,0,0,1,2,266,247,111,104,57,46,,,,,,,,,D
UDNoSEfQ,16.08.2021 21:00,Al Masry,Smouha,0,1,57%,43%,9,4,4,3,5,1,7,4,,,2,4,,,0,0,2,5,,,124,93,80,39,,,,,,,,,A
WM9DNY2s,16.08.2021 19:00,Aswan SC,Arab Contractors,1,2,51%,49%,6,11,3,6,3,5,5,5,1,1,4,2,12,19,0,0,2,4,273,220,105,118,54,57,,,,,,,,,A
d8J25imD,16.08.2021 19:00,El Gouna,Pyramids,1,2,43%,57%,9,7,3,4,6,3,2,8,,,2,2,,,0,0,4,2,,,104,116,65,79,,,,,,,,,A
fViU33sF,15.08.2021 19:00,El-Entag El-Harby,Misr Lel Makkasa,2,1,45%,55%,12,17,4,3,8,14,5,9,0,0,2,2,13,11,0,0,3,1,224,365,91,131,48,69,15,14,,,,,,,H
MHgM5PC2,14.08.2021 21:00,Al Ahly,Enppi,2,0,65%,35%,16,13,6,3,10,10,4,4,0,1,3,4,10,19,0,1,1,3,547,159,107,76,58,51,,,,,,,,,H
MPmostz2,14.08.2021 19:00,Ceramica Cleopatra,Ghazl El Mahallah,1,1,60%,40%,20,4,3,3,17,1,7,4,1,0,2,2,10,17,0,0,0,2,325,132,124,102,91,45,9,16,,,,,,,D
jcow2sCR,14.08.2021 19:00,El Ismaily,Zamalek,0,2,47%,53%,14,10,4,4,10,6,4,8,1,4,2,4,12,7,0,0,1,2,271,337,92,137,53,100,,,,,,,,,A
lCkwq25k,13.08.2021 21:00,Wadi Degla,Al Ittihad,0,0,56%,44%,18,15,4,2,14,13,3,4,0,2,2,4,6,14,0,0,1,3,378,233,111,120,75,66,10,10,,,,,,,D
h6X4c1Kr,13.08.2021 19:00,Smouha,El Gaish,4,2,43%,57%,12,20,8,6,4,14,3,7,1,0,4,4,9,15,0,0,1,1,199,343,101,138,50,70,10,13,,,,,,,H
8YeY2NdL,12.08.2021 21:00,Pyramids,Al Masry,0,1,64%,36%,18,3,1,2,17,1,11,1,0,3,1,1,13,9,0,0,2,2,544,180,141,82,93,23,11,22,,,,,,,A
rZlsrMKe,12.08.2021 19:00,Arab Contractors,El Gouna,2,1,40%,60%,10,15,6,5,4,10,1,3,3,2,4,4,20,15,0,0,1,2,102,316,87,119,40,67,15,12,,,,,,,H
08hQ4qS8,12.08.2021 19:00,National Bank Egypt,Aswan SC,2,2,50%,50%,9,18,4,6,5,12,4,5,1,4,4,2,18,11,0,0,1,2,265,249,111,124,49,59,9,5,,,,,,,D
z9oZqrjq,11.08.2021 21:00,Al Ahly,El Ismaily,1,1,54%,46%,18,10,6,3,12,7,9,5,1,1,2,5,12,12,0,0,2,2,380,232,132,89,82,50,,,,,,,,,D
0nHkh6r3,10.08.2021 21:00,Al Ittihad,Zamalek,1,2,44%,56%,6,9,2,6,4,3,2,6,1,2,4,1,17,9,0,0,3,2,168,299,106,128,50,63,18,16,,,,,,,A
21bngnTd,10.08.2021 19:00,Ghazl El Mahallah,Wadi Degla,2,2,50%,50%,14,8,3,3,11,5,4,3,1,1,1,1,17,11,0,0,1,2,244,231,115,102,69,46,9,12,,,,,,,D
M15bjpDF,10.08.2021 19:00,Misr Lel Makkasa,Ceramica Cleopatra,1,2,44%,56%,2,15,1,5,1,10,2,5,1,7,3,0,12,12,1,0,4,2,247,401,106,132,38,71,,,,,,,,,A
UR86lOsS,09.08.2021 19:00,Enppi,Smouha,0,0,50%,50%,12,4,2,2,10,2,4,3,3,1,2,2,20,10,0,0,2,4,269,270,118,101,62,42,,,,,,,,,D
lbA4U2jd,08.08.2021 21:00,Al Masry,Arab Contractors,3,1,50%,50%,12,9,7,3,5,6,9,2,3,0,2,4,15,16,0,0,2,3,238,253,111,102,50,39,9,15,,,,,,,H
jyA2k4SL,08.08.2021 21:00,El Gaish,Pyramids,1,1,42%,58%,11,5,6,1,5,4,7,3,4,1,0,5,20,25,1,0,3,4,203,371,108,90,66,40,,,,,,,,,D
rB6fiQc9,08.08.2021 19:00,Aswan SC,El-Entag El-Harby,2,2,47%,53%,5,18,4,8,1,10,4,6,2,0,6,2,14,13,0,0,2,2,211,295,102,130,61,69,,,,,,,,,D
A7B0Vryj,08.08.2021 19:00,El Gouna,National Bank Egypt,1,1,51%,49%,7,8,4,2,3,6,1,1,1,9,1,3,18,12,0,0,4,1,224,229,105,118,41,57,10,4,,,,,,,D
OQ5TO12r,07.08.2021 21:00,Al Ahly,Ceramica Cleopatra,4,0,55%,45%,29,15,10,4,19,11,9,3,2,0,4,6,12,6,0,1,,,390,286,92,95,69,33,16,11,,,,,,,H
hWGeWOLq,07.08.2021 19:00,Zamalek,Ghazl El Mahallah,3,0,57%,43%,13,10,4,1,9,9,2,2,0,1,1,1,16,11,0,0,,,372,244,109,115,53,69,10,10,,,,,,,H
4ODMSA3G,04.08.2021 21:00,Wadi Degla,Al Ahly,1,2,50%,50%,6,15,2,6,4,9,1,4,2,4,4,1,9,5,0,0,1,0,322,283,78,90,36,62,,,,,,,,,A
WGKVWG0J,04.08.2021 19:00,Pyramids,El Ismaily,2,2,49%,51%,6,10,4,2,2,8,5,5,3,1,0,2,16,11,0,1,3,1,308,349,97,112,40,46,8,8,,,,,,,D
